SSC_NAME16	MaxSchoolingCompleted	adults
Lethbridge Park	Did not go to school	31
Lethbridge Park	Year 8	311
Lethbridge Park	Year 9	375
Lethbridge Park	Year 10	1038
Lethbridge Park	Year 11	273
Lethbridge Park	Year 12	1017
Leumeah	Did not go to school	57
Leumeah	Year 8	376
Leumeah	Year 9	683
Leumeah	Year 10	2143
Leumeah	Year 11	524
Leumeah	Year 12	3507
Leura	Did not go to school	11
Leura	Year 8	108
Leura	Year 9	164
Leura	Year 10	732
Leura	Year 11	196
Leura	Year 12	2386
Levenstrath	Year 8	3
Levenstrath	Year 9	3
Levenstrath	Year 10	11
Levenstrath	Year 11	5
Levenstrath	Year 12	6
Lewinsbrook	Year 8	8
Lewinsbrook	Year 9	3
Lewinsbrook	Year 10	4
Lewinsbrook	Year 11	6
Lewinsbrook	Year 12	7
Lewis Ponds	Year 8	4
Lewis Ponds	Year 9	10
Lewis Ponds	Year 10	38
Lewis Ponds	Year 11	6
Lewis Ponds	Year 12	34
Lewisham (NSW)	Did not go to school	35
Lewisham (NSW)	Year 8	109
Lewisham (NSW)	Year 9	85
Lewisham (NSW)	Year 10	240
Lewisham (NSW)	Year 11	94
Lewisham (NSW)	Year 12	1949
Leycester	Year 8	11
Leycester	Year 9	14
Leycester	Year 10	45
Leycester	Year 11	7
Leycester	Year 12	35
Liberty Grove	Did not go to school	10
Liberty Grove	Year 8	27
Liberty Grove	Year 9	32
Liberty Grove	Year 10	121
Liberty Grove	Year 11	49
Liberty Grove	Year 12	1406
Lidcombe	Did not go to school	543
Lidcombe	Year 8	789
Lidcombe	Year 9	528
Lidcombe	Year 10	1575
Lidcombe	Year 11	599
Lidcombe	Year 12	11477
Lidsdale	Year 8	19
Lidsdale	Year 9	37
Lidsdale	Year 10	133
Lidsdale	Year 11	33
Lidsdale	Year 12	66
Lidster	Year 8	7
Lidster	Year 9	8
Lidster	Year 10	54
Lidster	Year 11	19
Lidster	Year 12	125
Lightning Ridge	Did not go to school	24
Lightning Ridge	Year 8	194
Lightning Ridge	Year 9	198
Lightning Ridge	Year 10	537
Lightning Ridge	Year 11	152
Lightning Ridge	Year 12	507
Lilli Pilli (Eurobodalla - NSW)	Year 8	24
Lilli Pilli (Eurobodalla - NSW)	Year 9	38
Lilli Pilli (Eurobodalla - NSW)	Year 10	141
Lilli Pilli (Eurobodalla - NSW)	Year 11	35
Lilli Pilli (Eurobodalla - NSW)	Year 12	260
Lilli Pilli (Sutherland Shire - NSW)	Year 8	15
Lilli Pilli (Sutherland Shire - NSW)	Year 9	71
Lilli Pilli (Sutherland Shire - NSW)	Year 10	233
Lilli Pilli (Sutherland Shire - NSW)	Year 11	66
Lilli Pilli (Sutherland Shire - NSW)	Year 12	688
Lillian Rock	Year 8	4
Lillian Rock	Year 9	6
Lillian Rock	Year 10	34
Lillian Rock	Year 11	15
Lillian Rock	Year 12	90
Lilydale (NSW)	Year 9	4
Lilydale (NSW)	Year 10	6
Lilydale (NSW)	Year 12	6
Lilyfield	Did not go to school	54
Lilyfield	Year 8	262
Lilyfield	Year 9	188
Lilyfield	Year 10	706
Lilyfield	Year 11	236
Lilyfield	Year 12	4061
Lilyvale (NSW)	Year 10	3
Limbri	Year 8	4
Limbri	Year 9	11
Limbri	Year 10	41
Limbri	Year 11	4
Limbri	Year 12	30
Limeburners Creek (Mid-Coast - NSW)	Did not go to school	3
Limeburners Creek (Mid-Coast - NSW)	Year 8	17
Limeburners Creek (Mid-Coast - NSW)	Year 9	33
Limeburners Creek (Mid-Coast - NSW)	Year 10	83
Limeburners Creek (Mid-Coast - NSW)	Year 11	16
Limeburners Creek (Mid-Coast - NSW)	Year 12	80
Limeburners Creek (Port Macquarie-Hastings - NSW)	Year 10	3
Limeburners Creek (Port Macquarie-Hastings - NSW)	Year 11	3
Limeburners Creek (Port Macquarie-Hastings - NSW)	Year 12	8
Limekilns	Year 9	8
Limekilns	Year 10	29
Limekilns	Year 11	4
Limekilns	Year 12	38
Limerick	Year 8	5
Limerick	Year 9	4
Limerick	Year 10	11
Limerick	Year 12	13
Limpinwood	Year 8	11
Limpinwood	Year 9	14
Limpinwood	Year 10	56
Limpinwood	Year 11	16
Limpinwood	Year 12	69
Linburn	Year 8	3
Linburn	Year 9	10
Linburn	Year 10	12
Linburn	Year 11	6
Linburn	Year 12	9
Linden (NSW)	Year 8	4
Linden (NSW)	Year 9	33
Linden (NSW)	Year 10	100
Linden (NSW)	Year 11	29
Linden (NSW)	Year 12	235
Lindendale	Year 8	8
Lindendale	Year 9	11
Lindendale	Year 10	62
Lindendale	Year 11	12
Lindendale	Year 12	102
Lindesay	Year 8	3
Lindesay	Year 9	4
Lindesay	Year 10	3
Lindesay	Year 11	3
Lindesay	Year 12	8
Lindesay Creek	Year 9	5
Lindesay Creek	Year 10	4
Lindesay Creek	Year 12	5
Lindfield	Did not go to school	35
Lindfield	Year 8	126
Lindfield	Year 9	196
Lindfield	Year 10	613
Lindfield	Year 11	349
Lindfield	Year 12	6101
Lindifferon	Year 8	3
Lindifferon	Year 10	6
Lindifferon	Year 11	3
Lindifferon	Year 12	21
Linley Point	Did not go to school	3
Linley Point	Year 8	8
Linley Point	Year 9	8
Linley Point	Year 10	38
Linley Point	Year 11	11
Linley Point	Year 12	214
Lionsville	Year 12	3
Lisarow	Did not go to school	8
Lisarow	Year 8	116
Lisarow	Year 9	264
Lisarow	Year 10	1138
Lisarow	Year 11	321
Lisarow	Year 12	2035
Lismore (NSW)	Did not go to school	14
Lismore (NSW)	Year 8	188
Lismore (NSW)	Year 9	253
Lismore (NSW)	Year 10	792
Lismore (NSW)	Year 11	230
Lismore (NSW)	Year 12	1219
Lismore Heights	Did not go to school	5
Lismore Heights	Year 8	87
Lismore Heights	Year 9	136
Lismore Heights	Year 10	498
Lismore Heights	Year 11	123
Lismore Heights	Year 12	778
Liston	Year 8	10
Liston	Year 10	40
Liston	Year 11	6
Liston	Year 12	37
Lithgow	Did not go to school	13
Lithgow	Year 8	307
Lithgow	Year 9	463
Lithgow	Year 10	1489
Lithgow	Year 11	307
Lithgow	Year 12	1359
Little Back Creek	Year 9	4
Little Back Creek	Year 10	14
Little Back Creek	Year 11	4
Little Back Creek	Year 12	10
Little Bay	Did not go to school	29
Little Bay	Year 8	88
Little Bay	Year 9	139
Little Bay	Year 10	530
Little Bay	Year 11	156
Little Bay	Year 12	2218
Little Billabong	Year 9	7
Little Billabong	Year 10	17
Little Billabong	Year 11	8
Little Billabong	Year 12	49
Little Forest	Year 8	8
Little Forest	Year 9	8
Little Forest	Year 10	40
Little Forest	Year 11	3
Little Forest	Year 12	79
Little Hartley	Year 8	10
Little Hartley	Year 9	21
Little Hartley	Year 10	148
Little Hartley	Year 11	23
Little Hartley	Year 12	181
Little Jacks Creek	Year 9	3
Little Jacks Creek	Year 10	7
Little Jacks Creek	Year 12	3
Little Jilliby	Year 8	3
Little Jilliby	Year 10	23
Little Jilliby	Year 12	27
Little Pelican	Year 10	3
Little Plain	Year 8	3
Little Plain	Year 9	16
Little Plain	Year 10	46
Little Plain	Year 11	8
Little Plain	Year 12	30
Little River (NSW)	Year 8	3
Little River (NSW)	Year 9	6
Little River (NSW)	Year 10	15
Little River (NSW)	Year 12	16
Little Topar	Year 8	3
Little Topar	Year 10	9
Little Topar	Year 12	11
Little Wobby	Year 10	12
Little Wobby	Year 12	21
Littleton	Year 8	41
Littleton	Year 9	68
Littleton	Year 10	271
Littleton	Year 11	53
Littleton	Year 12	190
Liverpool	Did not go to school	762
Liverpool	Year 8	1709
Liverpool	Year 9	1057
Liverpool	Year 10	2902
Liverpool	Year 11	1036
Liverpool	Year 12	10834
Llanarth (NSW)	Did not go to school	3
Llanarth (NSW)	Year 8	45
Llanarth (NSW)	Year 9	104
Llanarth (NSW)	Year 10	421
Llanarth (NSW)	Year 11	131
Llanarth (NSW)	Year 12	929
Llandilo	Did not go to school	22
Llandilo	Year 8	112
Llandilo	Year 9	132
Llandilo	Year 10	450
Llandilo	Year 11	83
Llandilo	Year 12	354
Llangothlin	Year 8	6
Llangothlin	Year 9	17
Llangothlin	Year 10	27
Llangothlin	Year 12	42
Lloyd	Year 8	17
Lloyd	Year 9	24
Lloyd	Year 10	198
Lloyd	Year 11	49
Lloyd	Year 12	293
Loadstone	Year 9	3
Loadstone	Year 10	15
Loadstone	Year 11	3
Loadstone	Year 12	17
Lochiel (NSW)	Year 8	11
Lochiel (NSW)	Year 9	19
Lochiel (NSW)	Year 10	84
Lochiel (NSW)	Year 11	27
Lochiel (NSW)	Year 12	117
Lochinvar	Year 8	33
Lochinvar	Year 9	77
Lochinvar	Year 10	257
Lochinvar	Year 11	41
Lochinvar	Year 12	206
Lockhart	Year 8	62
Lockhart	Year 9	99
Lockhart	Year 10	305
Lockhart	Year 11	72
Lockhart	Year 12	242
Locksley (NSW)	Year 9	3
Locksley (NSW)	Year 10	16
Locksley (NSW)	Year 12	9
Loftus	Year 8	73
Loftus	Year 9	205
Loftus	Year 10	896
Loftus	Year 11	186
Loftus	Year 12	1726
Loftville	Year 8	20
Loftville	Year 9	26
Loftville	Year 10	71
Loftville	Year 11	15
Loftville	Year 12	31
Logans Crossing	Year 8	3
Logans Crossing	Year 9	13
Logans Crossing	Year 10	39
Logans Crossing	Year 11	5
Logans Crossing	Year 12	51
Logie Brae	Year 8	7
Logie Brae	Year 9	4
Logie Brae	Year 10	12
Logie Brae	Year 11	4
Logie Brae	Year 12	26
Londonderry (NSW)	Did not go to school	12
Londonderry (NSW)	Year 8	214
Londonderry (NSW)	Year 9	323
Londonderry (NSW)	Year 10	1238
Londonderry (NSW)	Year 11	182
Londonderry (NSW)	Year 12	857
Long Beach	Year 8	43
Long Beach	Year 9	99
Long Beach	Year 10	385
Long Beach	Year 11	95
Long Beach	Year 12	509
Long Flat (NSW)	Year 8	6
Long Flat (NSW)	Year 9	18
Long Flat (NSW)	Year 10	25
Long Flat (NSW)	Year 11	6
Long Flat (NSW)	Year 12	22
Long Jetty	Did not go to school	10
Long Jetty	Year 8	325
Long Jetty	Year 9	543
Long Jetty	Year 10	1685
Long Jetty	Year 11	340
Long Jetty	Year 12	1796
Long Plain (Inverell - NSW)	Year 8	3
Long Plain (Inverell - NSW)	Year 10	9
Long Plain (Inverell - NSW)	Year 11	3
Long Plain (Inverell - NSW)	Year 12	11
Long Point (Campbelltown - NSW)	Did not go to school	3
Long Point (Campbelltown - NSW)	Year 8	4
Long Point (Campbelltown - NSW)	Year 9	15
Long Point (Campbelltown - NSW)	Year 10	40
Long Point (Campbelltown - NSW)	Year 11	9
Long Point (Campbelltown - NSW)	Year 12	81
Long Point (Singleton - NSW)	Year 9	4
Long Point (Singleton - NSW)	Year 10	8
Long Point (Singleton - NSW)	Year 11	3
Long Point (Singleton - NSW)	Year 12	12
Longarm	Year 10	3
Longarm	Year 12	6
Longreach (NSW)	Year 9	3
Longreach (NSW)	Year 10	13
Longreach (NSW)	Year 11	3
Longreach (NSW)	Year 12	34
Longueville	Did not go to school	3
Longueville	Year 8	17
Longueville	Year 9	46
Longueville	Year 10	162
Longueville	Year 11	74
Longueville	Year 12	1303
Loomberah	Year 8	8
Loomberah	Year 9	27
Loomberah	Year 10	140
Loomberah	Year 11	29
Loomberah	Year 12	170
Lord Howe Island	Year 8	4
Lord Howe Island	Year 9	10
Lord Howe Island	Year 10	82
Lord Howe Island	Year 11	24
Lord Howe Island	Year 12	160
Lords Hill	Year 10	11
Lords Hill	Year 11	3
Lords Hill	Year 12	4
Lorn	Did not go to school	4
Lorn	Year 8	29
Lorn	Year 9	64
Lorn	Year 10	299
Lorn	Year 11	64
Lorn	Year 12	534
Lorne (NSW)	Year 8	10
Lorne (NSW)	Year 9	21
Lorne (NSW)	Year 10	64
Lorne (NSW)	Year 11	21
Lorne (NSW)	Year 12	88
Lost River	Year 9	8
Lost River	Year 10	8
Lost River	Year 11	3
Lost River	Year 12	28
Lostock	Year 9	9
Lostock	Year 10	16
Lostock	Year 12	9
Louth	Year 8	4
Louth	Year 9	5
Louth	Year 10	4
Louth	Year 12	21
Louth Park	Did not go to school	4
Louth Park	Year 8	14
Louth Park	Year 9	49
Louth Park	Year 10	151
Louth Park	Year 11	26
Louth Park	Year 12	246
Lovedale	Year 8	9
Lovedale	Year 9	29
Lovedale	Year 10	110
Lovedale	Year 11	27
Lovedale	Year 12	205
Lovett Bay	Year 9	5
Lovett Bay	Year 10	15
Lovett Bay	Year 12	59
Lowanna	Year 8	13
Lowanna	Year 9	35
Lowanna	Year 10	93
Lowanna	Year 11	11
Lowanna	Year 12	80
Lower Acacia Creek	Year 9	4
Lower Acacia Creek	Year 10	13
Lower Acacia Creek	Year 12	4
Lower Bago	Year 11	3
Lower Bago	Year 12	3
Lower Belford	Year 8	16
Lower Belford	Year 9	37
Lower Belford	Year 10	132
Lower Belford	Year 11	26
Lower Belford	Year 12	97
Lower Boro	Year 8	8
Lower Boro	Year 9	10
Lower Boro	Year 10	41
Lower Boro	Year 11	13
Lower Boro	Year 12	60
Lower Bottle Creek	Year 10	5
Lower Bottle Creek	Year 12	8
Lower Creek	Year 8	3
Lower Creek	Year 10	8
Lower Creek	Year 11	3
Lower Creek	Year 12	6
Lower Duck Creek	Year 9	3
Lower Duck Creek	Year 10	6
Lower Duck Creek	Year 11	3
Lower Duck Creek	Year 12	3
Lower Dyraaba	Year 9	4
Lower Dyraaba	Year 10	4
Lower Dyraaba	Year 12	4
Lower Lewis Ponds	Year 8	3
Lower Lewis Ponds	Year 10	7
Lower Lewis Ponds	Year 11	3
Lower Lewis Ponds	Year 12	15
Lower Macdonald	Year 8	11
Lower Macdonald	Year 9	19
Lower Macdonald	Year 10	78
Lower Macdonald	Year 11	11
Lower Macdonald	Year 12	86
Lower Mangrove	Year 8	6
Lower Mangrove	Year 9	3
Lower Mangrove	Year 10	15
Lower Mangrove	Year 11	3
Lower Mangrove	Year 12	26
Lower Pappinbarra	Year 8	3
Lower Pappinbarra	Year 9	7
Lower Pappinbarra	Year 10	32
Lower Pappinbarra	Year 11	4
Lower Pappinbarra	Year 12	32
Lower Peacock	Year 10	4
Lower Portland	Year 8	22
Lower Portland	Year 9	48
Lower Portland	Year 10	159
Lower Portland	Year 11	22
Lower Portland	Year 12	174
Lower Southgate	Year 8	3
Lower Southgate	Year 9	11
Lower Southgate	Year 10	33
Lower Southgate	Year 11	4
Lower Southgate	Year 12	34
Lowesdale	Year 8	9
Lowesdale	Year 9	7
Lowesdale	Year 10	23
Lowesdale	Year 11	5
Lowesdale	Year 12	26
Lowther	Year 8	3
Lowther	Year 9	4
Lowther	Year 10	26
Lowther	Year 11	6
Lowther	Year 12	16
Loxford	Year 9	3
Loxford	Year 10	26
Loxford	Year 12	12
Lucknow (NSW)	Year 8	16
Lucknow (NSW)	Year 9	17
Lucknow (NSW)	Year 10	87
Lucknow (NSW)	Year 11	14
Lucknow (NSW)	Year 12	88
Luddenham	Did not go to school	15
Luddenham	Year 8	73
Luddenham	Year 9	103
Luddenham	Year 10	459
Luddenham	Year 11	89
Luddenham	Year 12	552
Lue	Year 8	14
Lue	Year 9	12
Lue	Year 10	54
Lue	Year 11	7
Lue	Year 12	46
Lugarno	Did not go to school	32
Lugarno	Year 8	146
Lugarno	Year 9	235
Lugarno	Year 10	958
Lugarno	Year 11	240
Lugarno	Year 12	2843
Lurnea	Did not go to school	251
Lurnea	Year 8	634
Lurnea	Year 9	543
Lurnea	Year 10	1440
Lurnea	Year 11	466
Lurnea	Year 12	2989
Luskintyre	Year 8	5
Luskintyre	Year 9	6
Luskintyre	Year 10	51
Luskintyre	Year 11	12
Luskintyre	Year 12	59
Lynchs Creek	Year 8	3
Lynchs Creek	Year 9	17
Lynchs Creek	Year 10	29
Lynchs Creek	Year 11	5
Lynchs Creek	Year 12	25
Lyndhurst (Armidale Regional - NSW)	Year 10	5
Lyndhurst (Armidale Regional - NSW)	Year 12	9
Lyndhurst (Blayney - NSW)	Year 8	17
Lyndhurst (Blayney - NSW)	Year 9	32
Lyndhurst (Blayney - NSW)	Year 10	117
Lyndhurst (Blayney - NSW)	Year 11	18
Lyndhurst (Blayney - NSW)	Year 12	89
Lynwood (NSW)	Year 8	16
Lynwood (NSW)	Year 9	15
Lynwood (NSW)	Year 10	45
Lynwood (NSW)	Year 11	13
Lynwood (NSW)	Year 12	89
Mabins Well	Year 10	3
Mabins Well	Year 11	3
Mabins Well	Year 12	8
Macdonalds Creek	Year 10	4
Macdonalds Creek	Year 12	5
Macksville	Did not go to school	3
Macksville	Year 8	194
Macksville	Year 9	269
Macksville	Year 10	697
Macksville	Year 11	132
Macksville	Year 12	546
Maclean	Did not go to school	12
Maclean	Year 8	198
Maclean	Year 9	280
Maclean	Year 10	722
Maclean	Year 11	163
Maclean	Year 12	659
Macmasters Beach	Year 8	9
Macmasters Beach	Year 9	63
Macmasters Beach	Year 10	244
Macmasters Beach	Year 11	76
Macmasters Beach	Year 12	626
Macquarie Fields	Did not go to school	127
Macquarie Fields	Year 8	632
Macquarie Fields	Year 9	816
Macquarie Fields	Year 10	2373
Macquarie Fields	Year 11	642
Macquarie Fields	Year 12	4992
Macquarie Hills	Did not go to school	7
Macquarie Hills	Year 8	75
Macquarie Hills	Year 9	180
Macquarie Hills	Year 10	799
Macquarie Hills	Year 11	179
Macquarie Hills	Year 12	1237
Macquarie Links	Did not go to school	7
Macquarie Links	Year 8	10
Macquarie Links	Year 9	30
Macquarie Links	Year 10	201
Macquarie Links	Year 11	58
Macquarie Links	Year 12	707
Macquarie Park	Did not go to school	38
Macquarie Park	Year 8	95
Macquarie Park	Year 9	130
Macquarie Park	Year 10	342
Macquarie Park	Year 11	184
Macquarie Park	Year 12	5875
Maddens Plains	Year 12	4
Maffra (NSW)	Year 10	9
Maffra (NSW)	Year 12	7
Magenta (NSW)	Year 8	3
Magenta (NSW)	Year 9	5
Magenta (NSW)	Year 10	49
Magenta (NSW)	Year 11	19
Magenta (NSW)	Year 12	103
Magometon	Year 10	3
Magometon	Year 12	16
Maianbar	Year 8	10
Maianbar	Year 9	18
Maianbar	Year 10	113
Maianbar	Year 11	25
Maianbar	Year 12	238
Maimuru	Did not go to school	3
Maimuru	Year 9	6
Maimuru	Year 10	45
Maimuru	Year 11	7
Maimuru	Year 12	44
Main Arm	Year 8	13
Main Arm	Year 9	13
Main Arm	Year 10	114
Main Arm	Year 11	39
Main Arm	Year 12	209
Main Creek	Year 9	4
Main Creek	Year 10	23
Main Creek	Year 11	3
Main Creek	Year 12	27
Mairjimmy	Year 9	7
Mairjimmy	Year 10	16
Mairjimmy	Year 12	14
Maison Dieu	Year 8	3
Maison Dieu	Year 9	18
Maison Dieu	Year 10	51
Maison Dieu	Year 11	6
Maison Dieu	Year 12	43
Maitland (NSW)	Did not go to school	7
Maitland (NSW)	Year 8	112
Maitland (NSW)	Year 9	153
Maitland (NSW)	Year 10	470
Maitland (NSW)	Year 11	107
Maitland (NSW)	Year 12	568
Maitland Bar	Year 9	3
Maitland Bar	Year 10	3
Maitland Bar	Year 12	4
Maitland Vale	Year 8	3
Maitland Vale	Year 9	10
Maitland Vale	Year 10	19
Maitland Vale	Year 11	8
Maitland Vale	Year 12	44
Majors Creek (NSW)	Year 8	6
Majors Creek (NSW)	Year 9	16
Majors Creek (NSW)	Year 10	49
Majors Creek (NSW)	Year 11	9
Majors Creek (NSW)	Year 12	99
Malabar	Did not go to school	20
Malabar	Year 8	126
Malabar	Year 9	204
Malabar	Year 10	651
Malabar	Year 11	172
Malabar	Year 12	1647
Maldon (NSW)	Year 8	3
Maldon (NSW)	Year 10	3
Maldon (NSW)	Year 12	4
Mallabula	Year 8	35
Mallabula	Year 9	102
Mallabula	Year 10	270
Mallabula	Year 11	65
Mallabula	Year 12	205
Mallan	Year 9	5
Mallan	Year 10	4
Mallan	Year 11	5
Mallan	Year 12	17
Mallanganee	Year 8	15
Mallanganee	Year 9	9
Mallanganee	Year 10	49
Mallanganee	Year 11	6
Mallanganee	Year 12	35
Mallowa	Year 8	5
Mallowa	Year 9	3
Mallowa	Year 10	9
Mallowa	Year 11	3
Mallowa	Year 12	39
Maloneys Beach	Year 8	9
Maloneys Beach	Year 9	40
Maloneys Beach	Year 10	107
Maloneys Beach	Year 11	24
Maloneys Beach	Year 12	115
Malua Bay	Did not go to school	5
Malua Bay	Year 8	66
Malua Bay	Year 9	127
Malua Bay	Year 10	460
Malua Bay	Year 11	107
Malua Bay	Year 12	699
Manar	Year 8	3
Manar	Year 9	10
Manar	Year 10	32
Manar	Year 11	8
Manar	Year 12	37
Manchester Square	Year 10	3
Manchester Square	Year 12	8
Mandagery	Year 9	3
Mandagery	Year 10	16
Mandagery	Year 11	5
Mandagery	Year 12	22
Mandalong	Year 8	14
Mandalong	Year 9	29
Mandalong	Year 10	104
Mandalong	Year 11	28
Mandalong	Year 12	135
Mandemar	Year 8	4
Mandemar	Year 10	14
Mandemar	Year 11	3
Mandemar	Year 12	26
Mandurama	Year 8	14
Mandurama	Year 9	22
Mandurama	Year 10	96
Mandurama	Year 11	25
Mandurama	Year 12	108
Mangerton	Did not go to school	16
Mangerton	Year 8	93
Mangerton	Year 9	124
Mangerton	Year 10	450
Mangerton	Year 11	125
Mangerton	Year 12	1352
Mangoola	Year 8	6
Mangoola	Year 10	18
Mangoola	Year 11	3
Mangoola	Year 12	6
Mangoplah	Year 8	15
Mangoplah	Year 9	14
Mangoplah	Year 10	87
Mangoplah	Year 11	17
Mangoplah	Year 12	80
Mangrove Creek	Year 10	8
Mangrove Creek	Year 12	25
Mangrove Mountain	Did not go to school	9
Mangrove Mountain	Year 8	26
Mangrove Mountain	Year 9	56
Mangrove Mountain	Year 10	159
Mangrove Mountain	Year 11	37
Mangrove Mountain	Year 12	249
Manildra	Year 8	46
Manildra	Year 9	54
Manildra	Year 10	220
Manildra	Year 11	43
Manildra	Year 12	163
Manilla	Did not go to school	7
Manilla	Year 8	216
Manilla	Year 9	258
Manilla	Year 10	684
Manilla	Year 11	130
Manilla	Year 12	497
Manly (NSW)	Did not go to school	18
Manly (NSW)	Year 8	142
Manly (NSW)	Year 9	311
Manly (NSW)	Year 10	1158
Manly (NSW)	Year 11	517
Manly (NSW)	Year 12	10195
Manly Vale	Did not go to school	14
Manly Vale	Year 8	107
Manly Vale	Year 9	155
Manly Vale	Year 10	676
Manly Vale	Year 11	254
Manly Vale	Year 12	3334
Mannering Park	Did not go to school	3
Mannering Park	Year 8	98
Mannering Park	Year 9	240
Mannering Park	Year 10	809
Mannering Park	Year 11	160
Mannering Park	Year 12	556
Manning Point	Year 8	13
Manning Point	Year 9	40
Manning Point	Year 10	69
Manning Point	Year 11	17
Manning Point	Year 12	42
Mannus	Year 9	3
Mannus	Year 10	21
Mannus	Year 11	3
Mannus	Year 12	16
Manobalai	Year 8	3
Manobalai	Year 9	12
Manobalai	Year 10	19
Manobalai	Year 11	5
Manobalai	Year 12	18
Manton (NSW)	Year 8	11
Manton (NSW)	Year 9	8
Manton (NSW)	Year 10	49
Manton (NSW)	Year 11	19
Manton (NSW)	Year 12	127
Manyana	Year 8	19
Manyana	Year 9	47
Manyana	Year 10	164
Manyana	Year 11	18
Manyana	Year 12	169
Maragle	Year 8	4
Maragle	Year 9	5
Maragle	Year 10	12
Maragle	Year 11	10
Maragle	Year 12	27
Maraylya	Year 8	36
Maraylya	Year 9	57
Maraylya	Year 10	327
Maraylya	Year 11	44
Maraylya	Year 12	432
Marayong	Did not go to school	80
Marayong	Year 8	455
Marayong	Year 9	472
Marayong	Year 10	1296
Marayong	Year 11	346
Marayong	Year 12	3183
March	Year 8	3
March	Year 9	12
March	Year 10	30
March	Year 11	4
March	Year 12	40
Marchmont	Year 8	4
Marchmont	Year 9	10
Marchmont	Year 10	38
Marchmont	Year 11	5
Marchmont	Year 12	96
Mardi	Did not go to school	3
Mardi	Year 8	87
Mardi	Year 9	218
Mardi	Year 10	807
Mardi	Year 11	218
Mardi	Year 12	1262
Marengo (NSW)	Year 12	6
Marinna	Year 9	3
Marinna	Year 10	8
Marinna	Year 11	4
Marinna	Year 12	14
Marks Point	Did not go to school	8
Marks Point	Year 8	79
Marks Point	Year 9	164
Marks Point	Year 10	582
Marks Point	Year 11	97
Marks Point	Year 12	466
Markwell	Year 8	11
Markwell	Year 9	5
Markwell	Year 10	46
Markwell	Year 11	3
Markwell	Year 12	20
Marlee	Year 8	4
Marlee	Year 9	15
Marlee	Year 10	60
Marlee	Year 11	11
Marlee	Year 12	54
Marlo Merrican	Year 9	3
Marlo Merrican	Year 10	15
Marlo Merrican	Year 11	5
Marlo Merrican	Year 12	20
Marlow	Year 10	5
Marlow	Year 11	3
Marlow	Year 12	8
Marlowe	Year 12	3
Marmong Point	Year 8	25
Marmong Point	Year 9	44
Marmong Point	Year 10	247
Marmong Point	Year 11	44
Marmong Point	Year 12	255
Marom Creek	Year 8	4
Marom Creek	Year 9	4
Marom Creek	Year 10	35
Marom Creek	Year 11	8
Marom Creek	Year 12	49
Maroota	Did not go to school	3
Maroota	Year 8	26
Maroota	Year 9	39
Maroota	Year 10	150
Maroota	Year 11	30
Maroota	Year 12	171
Maroubra	Did not go to school	228
Maroubra	Year 8	951
Maroubra	Year 9	930
Maroubra	Year 10	3089
Maroubra	Year 11	1026
Maroubra	Year 12	17428
Marrangaroo	Did not go to school	3
Marrangaroo	Year 8	23
Marrangaroo	Year 9	24
Marrangaroo	Year 10	160
Marrangaroo	Year 11	38
Marrangaroo	Year 12	127
Marrar	Year 8	15
Marrar	Year 9	31
Marrar	Year 10	111
Marrar	Year 11	27
Marrar	Year 12	91
Marrickville	Did not go to school	622
Marrickville	Year 8	1444
Marrickville	Year 9	603
Marrickville	Year 10	2280
Marrickville	Year 11	894
Marrickville	Year 12	14796
Marsden Park	Did not go to school	14
Marsden Park	Year 8	64
Marsden Park	Year 9	74
Marsden Park	Year 10	262
Marsden Park	Year 11	42
Marsden Park	Year 12	263
Marsfield	Did not go to school	113
Marsfield	Year 8	333
Marsfield	Year 9	359
Marsfield	Year 10	1114
Marsfield	Year 11	352
Marsfield	Year 12	8457
Marshall Mount	Did not go to school	3
Marshall Mount	Year 8	3
Marshall Mount	Year 9	9
Marshall Mount	Year 10	34
Marshall Mount	Year 11	4
Marshall Mount	Year 12	47
Marshdale	Year 8	4
Marshdale	Year 9	4
Marshdale	Year 10	10
Marshdale	Year 11	3
Marshdale	Year 12	14
Marthaguy	Year 10	12
Marthaguy	Year 12	25
Martindale	Year 8	7
Martindale	Year 9	20
Martindale	Year 10	47
Martindale	Year 11	5
Martindale	Year 12	40
Martins Creek	Year 8	12
Martins Creek	Year 9	32
Martins Creek	Year 10	133
Martins Creek	Year 11	12
Martins Creek	Year 12	82
Martinsville	Year 8	4
Martinsville	Year 9	18
Martinsville	Year 10	83
Martinsville	Year 11	19
Martinsville	Year 12	147
Marulan	Did not go to school	5
Marulan	Year 8	66
Marulan	Year 9	84
Marulan	Year 10	329
Marulan	Year 11	68
Marulan	Year 12	280
Maryland (Newcastle - NSW)	Did not go to school	25
Maryland (Newcastle - NSW)	Year 8	277
Maryland (Newcastle - NSW)	Year 9	584
Maryland (Newcastle - NSW)	Year 10	2055
Maryland (Newcastle - NSW)	Year 11	460
Maryland (Newcastle - NSW)	Year 12	2403
Maryland (Tenterfield - NSW)	Year 8	4
Maryland (Tenterfield - NSW)	Year 9	6
Maryland (Tenterfield - NSW)	Year 10	14
Maryland (Tenterfield - NSW)	Year 11	3
Maryland (Tenterfield - NSW)	Year 12	27
Marys Mount	Year 10	15
Marys Mount	Year 11	5
Marys Mount	Year 12	33
Maryvale (NSW)	Year 8	9
Maryvale (NSW)	Year 9	12
Maryvale (NSW)	Year 10	38
Maryvale (NSW)	Year 11	6
