SSC_NAME16	Sex	persons
Silverton (NSW)	F	26
Silverton (NSW)	M	23
Silverwater (Lake Macquarie - NSW)	F	163
Silverwater (Lake Macquarie - NSW)	M	141
Silverwater (Parramatta - NSW)	F	1406
Silverwater (Parramatta - NSW)	M	2758
Simpkins Creek	F	7
Simpkins Creek	M	14
Singleton (NSW)	F	2520
Singleton (NSW)	M	2480
Singleton Heights	F	2348
Singleton Heights	M	2345
Singleton Military Area	F	14
Singleton Military Area	M	308
Singletons Mill	F	3
Skennars Head	F	566
Skennars Head	M	596
Skillion Flat	F	37
Skillion Flat	M	41
Skinners Shoot	F	60
Skinners Shoot	M	73
Sleepy Hollow	F	43
Sleepy Hollow	M	57
Smeaton Grange	F	8
Smeaton Grange	M	10
Smithfield (NSW)	F	6040
Smithfield (NSW)	M	5932
Smiths Creek (Clarence Valley - NSW)	F	3
Smiths Creek (Clarence Valley - NSW)	M	4
Smiths Creek (Kyogle - NSW)	F	31
Smiths Creek (Kyogle - NSW)	M	30
Smiths Creek (Tweed - NSW)	F	156
Smiths Creek (Tweed - NSW)	M	146
Smiths Lake	F	612
Smiths Lake	M	619
Smithtown	F	301
Smithtown	M	290
Snakes Plain	F	3
Snakes Plain	M	8
Sodwalls	F	39
Sodwalls	M	34
Sofala	F	55
Sofala	M	76
Soldiers Point	F	725
Soldiers Point	M	698
Somersby	F	496
Somersby	M	567
Somerton (NSW)	F	130
Somerton (NSW)	M	146
South Albury	F	643
South Albury	M	732
South Arm (Clarence Valley - NSW)	F	117
South Arm (Clarence Valley - NSW)	M	120
South Arm (Nambucca - NSW)	F	152
South Arm (Nambucca - NSW)	M	162
South Ballina	F	17
South Ballina	M	18
South Bathurst	F	850
South Bathurst	M	738
South Bowenfels	F	610
South Bowenfels	M	554
South Coogee	F	2919
South Coogee	M	2579
South Durras	F	171
South Durras	M	173
South Golden Beach	F	464
South Golden Beach	M	347
South Grafton	F	3115
South Grafton	M	2952
South Granville	F	2717
South Granville	M	2776
South Gundagai	F	390
South Gundagai	M	421
South Gundurimba	F	149
South Gundurimba	M	167
South Guyra	F	159
South Guyra	M	175
South Hurstville	F	2674
South Hurstville	M	2464
South Kempsey	F	1185
South Kempsey	M	1122
South Lismore	F	888
South Lismore	M	989
South Littleton	F	146
South Littleton	M	153
South Maitland	F	224
South Maitland	M	246
South Maroota	F	272
South Maroota	M	285
South Murwillumbah	F	534
South Murwillumbah	M	584
South Nowra	F	1005
South Nowra	M	926
South Pambula	F	241
South Pambula	M	238
South Penrith	F	6013
South Penrith	M	5779
South Tamworth	F	3373
South Tamworth	M	3195
South Turramurra	F	1560
South Turramurra	M	1521
South Wentworthville	F	3093
South Wentworthville	M	3110
South West Rocks	F	2360
South West Rocks	M	2245
South Windsor	F	3040
South Windsor	M	2854
South Wolumla	F	90
South Wolumla	M	86
Southampton (NSW)	F	15
Southampton (NSW)	M	9
Southgate	F	92
Southgate	M	94
Speers Point	F	1689
Speers Point	M	1626
Speewa	F	46
Speewa	M	53
Spencer	F	137
Spencer	M	166
Spicers Creek	F	37
Spicers Creek	M	39
Spicketts Creek	F	21
Spicketts Creek	M	25
Splitters Creek	F	141
Splitters Creek	M	131
Spring Creek (NSW)	F	55
Spring Creek (NSW)	M	73
Spring Farm (NSW)	F	2167
Spring Farm (NSW)	M	2141
Spring Flat	F	95
Spring Flat	M	106
Spring Grove	F	207
Spring Grove	M	225
Spring Hill (Cabonne - NSW)	F	240
Spring Hill (Cabonne - NSW)	M	257
Spring Mountain (NSW)	F	6
Spring Mountain (NSW)	M	11
Spring Plains	F	32
Spring Plains	M	45
Spring Ridge	F	108
Spring Ridge	M	136
Spring Terrace	F	62
Spring Terrace	M	65
Springdale (NSW)	F	74
Springdale (NSW)	M	81
Springdale Heights	F	1065
Springdale Heights	M	965
Springfield (Central Coast - NSW)	F	2132
Springfield (Central Coast - NSW)	M	1976
Springfield (Snowy Monaro Regional - NSW)	F	20
Springfield (Snowy Monaro Regional - NSW)	M	18
Springrange	F	151
Springrange	M	152
Springside (NSW)	F	147
Springside (NSW)	M	157
Springvale (Lithgow - NSW)	F	23
Springvale (Lithgow - NSW)	M	22
Springvale (Wagga Wagga - NSW)	F	847
Springvale (Wagga Wagga - NSW)	M	882
Springwood (NSW)	F	4540
Springwood (NSW)	M	3938
St Albans (NSW)	F	76
St Albans (NSW)	M	79
St Andrews (NSW)	F	2835
St Andrews (NSW)	M	2892
St Clair (Penrith - NSW)	F	10002
St Clair (Penrith - NSW)	M	9894
St Clair (Singleton - NSW)	F	3
St Fillans	F	115
St Fillans	M	125
St Georges Basin	F	1515
St Georges Basin	M	1397
St Helens Park	F	3392
St Helens Park	M	3214
St Huberts Island	F	541
St Huberts Island	M	519
St Ives (NSW)	F	9060
St Ives (NSW)	M	8241
St Ives Chase	F	1606
St Ives Chase	M	1552
St Johns Park	F	3161
St Johns Park	M	2962
St Leonards (NSW)	F	2769
St Leonards (NSW)	M	2727
St Marys (NSW)	F	6145
St Marys (NSW)	M	6049
St Peters (NSW)	F	1550
St Peters (NSW)	M	1590
Stanborough	F	37
Stanborough	M	36
Stanbridge	F	96
Stanbridge	M	102
Stanford Merthyr	F	290
Stanford Merthyr	M	263
Stanhope (NSW)	F	78
Stanhope (NSW)	M	72
Stanhope Gardens	F	4672
Stanhope Gardens	M	4490
Stanmore (NSW)	F	4002
Stanmore (NSW)	M	3939
Stannifer	F	42
Stannifer	M	34
Stannum	F	27
Stannum	M	28
Stanwell Park	F	686
Stanwell Park	M	730
Stanwell Tops	F	243
Stanwell Tops	M	256
State Mine Gully	F	9
State Mine Gully	M	10
Steam Plains	F	3
Steeple Flat	F	15
Steeple Flat	M	22
Stewarts Brook	F	17
Stewarts Brook	M	18
Stewarts River	F	52
Stewarts River	M	62
Stockinbingal	F	188
Stockinbingal	M	186
Stockrington	F	41
Stockrington	M	42
Stockton (NSW)	F	2078
Stockton (NSW)	M	2079
Stockyard Creek (NSW)	F	24
Stockyard Creek (NSW)	M	23
Stokers Siding	F	318
Stokers Siding	M	347
Stonehenge (NSW)	F	63
Stonehenge (NSW)	M	67
Stonequarry	F	11
Stonequarry	M	12
Stony Chute	F	80
Stony Chute	M	87
Stony Creek (Bega Valley - NSW)	F	71
Stony Creek (Bega Valley - NSW)	M	66
Stony Creek (Mid-Western Regional - NSW)	F	27
Stony Creek (Mid-Western Regional - NSW)	M	29
Stony Crossing	F	11
Stony Crossing	M	7
Stotts Creek	F	3
Stotts Creek	M	3
Stratford (NSW)	F	68
Stratford (NSW)	M	84
Strathcedar	F	39
Strathcedar	M	37
Stratheden	F	96
Stratheden	M	120
Strathfield (NSW)	F	12883
Strathfield (NSW)	M	12931
Strathfield South	F	1804
Strathfield South	M	1743
Stroud	F	501
Stroud	M	433
Stroud Hill	F	12
Stroud Hill	M	14
Stroud Road	F	109
Stroud Road	M	117
Stuart Town	F	112
Stuart Town	M	121
Stuarts Point	F	377
Stuarts Point	M	389
Stubbo	F	97
Stubbo	M	135
Stud Park	F	26
Stud Park	M	26
Suffolk Park	F	1972
Suffolk Park	M	1782
Sugarloaf (NSW)	F	32
Sugarloaf (NSW)	M	34
Summer Hill (Dungog - NSW)	F	26
Summer Hill (Dungog - NSW)	M	25
Summer Hill (Inner West - NSW)	F	3751
Summer Hill (Inner West - NSW)	M	3553
Summer Hill Creek	F	99
Summer Hill Creek	M	116
Summer Island	F	48
Summer Island	M	49
Summerland Point	F	1266
Summerland Point	M	1228
Sun Valley (NSW)	F	120
Sun Valley (NSW)	M	111
Sunny Corner	F	51
Sunny Corner	M	45
Sunset Strip (NSW)	F	31
Sunset Strip (NSW)	M	52
Sunshine (NSW)	F	208
Sunshine (NSW)	M	219
Sunshine Bay	F	668
Sunshine Bay	M	559
Suntop	F	36
Suntop	M	37
Surf Beach (NSW)	F	993
Surf Beach (NSW)	M	883
Surfside	F	693
Surfside	M	678
Surry Hills	F	6985
Surry Hills	M	9431
Sussex Inlet	F	1773
Sussex Inlet	M	1801
Sutherland (NSW)	F	5628
Sutherland (NSW)	M	5189
Sutton (NSW)	F	797
Sutton (NSW)	M	865
Sutton Forest	F	216
Sutton Forest	M	260
Swan Bay (Port Stephens - NSW)	F	153
Swan Bay (Port Stephens - NSW)	M	165
Swan Bay (Richmond Valley - NSW)	F	108
Swan Bay (Richmond Valley - NSW)	M	113
Swan Creek (NSW)	F	45
Swan Creek (NSW)	M	61
Swan Vale	F	20
Swan Vale	M	20
Swanbrook	F	4
Swanbrook	M	10
Swanhaven	F	99
Swanhaven	M	97
Swansea (NSW)	F	2582
Swansea (NSW)	M	2476
Swansea Heads	F	297
Swansea Heads	M	318
Sweetmans Creek	F	32
Sweetmans Creek	M	30
Sydenham (NSW)	F	562
Sydenham (NSW)	M	578
Sydney	F	8437
Sydney	M	8814
Sydney Olympic Park	F	834
Sydney Olympic Park	M	900
Sylvania	F	5532
Sylvania	M	4951
Sylvania Waters	F	1578
Sylvania Waters	M	1588
Tabbil Creek	F	19
Tabbil Creek	M	25
Tabbimoble	F	11
Tabbimoble	M	22
Tabbita	F	34
Tabbita	M	36
Table Top	F	714
Table Top	M	715
Tabulam	F	228
Tabulam	M	239
Tacoma	F	317
Tacoma	M	315
Tacoma South	F	111
Tacoma South	M	133
Tahlee	F	11
Tahlee	M	8
Tahmoor	F	2611
Tahmoor	M	2455
Talarm	F	108
Talarm	M	110
Talawanta	F	13
Talawanta	M	18
Talbingo	F	116
Talbingo	M	126
Tallawang	F	78
Tallawang	M	89
Tallimba	F	80
Tallimba	M	99
Tallong	F	382
Tallong	M	434
Tallowwood Ridge	F	23
Tallowwood Ridge	M	30
Tallwood	F	36
Tallwood	M	41
Tallwoods Village	F	358
Tallwoods Village	M	346
Talmalmo	F	27
Talmalmo	M	31
Talofa	F	57
Talofa	M	50
Taloumbi	F	51
Taloumbi	M	55
Tamarama	F	835
Tamarama	M	789
Tamban	F	50
Tamban	M	43
Tambar Springs	F	83
Tambar Springs	M	107
Tambaroora	F	14
Tambaroora	M	22
Taminda	F	21
Taminda	M	35
Tamworth	F	71
Tamworth	M	106
Tanglewood	F	46
Tanglewood	M	48
Tanilba Bay	F	1616
Tanilba Bay	M	1536
Tanja	F	78
Tanja	M	80
Tannabar	F	31
Tannabar	M	33
Tannas Mount	F	17
Tannas Mount	M	25
Tantawangalo	F	79
Tantawangalo	M	81
Tantonan	F	14
Tantonan	M	12
Tapitallee	F	303
Tapitallee	M	311
Tara (NSW)	F	16
Tara (NSW)	M	11
Taradale (NSW)	F	15
Taradale (NSW)	M	16
Tarago	F	205
Tarago	M	223
Taralga	F	219
Taralga	M	241
Tarana	F	82
Tarana	M	90
Tarban	F	3
Tarban	M	4
Tarbuck Bay	F	92
Tarbuck Bay	M	96
Tarcutta	F	207
Tarcutta	M	233
Taree	F	8447
Taree	M	7745
Taree South	F	166
Taree South	M	153
Taren Point	F	949
Taren Point	M	779
Tarlo	F	82
Tarlo	M	87
Tarraganda	F	173
Tarraganda	M	162
Tarrawanna	F	1125
Tarrawanna	M	948
Tarriaro	F	52
Tarriaro	M	62
Tarro	F	859
Tarro	M	787
Tascott	F	806
Tascott	M	798
Tatham	F	108
Tatham	M	97
Tathra	F	836
Tathra	M	842
Tatton	F	1346
Tatton	M	1272
Taylors Arm	F	74
Taylors Arm	M	77
Taylors Beach (NSW)	F	54
Taylors Beach (NSW)	M	64
Taylors Flat	F	33
Taylors Flat	M	34
Tea Gardens	F	1474
Tea Gardens	M	1409
Telarah	F	1190
Telarah	M	1147
Telegraph Point	F	290
Telegraph Point	M	319
Telopea	F	2757
Telopea	M	2668
Temagog	F	114
Temagog	M	125
Temora	F	2386
Temora	M	2305
Tempe	F	1793
Tempe	M	1760
Tenambit	F	1484
Tenambit	M	1418
Tenandra	F	41
Tenandra	M	38
Tennyson (NSW)	F	200
Tennyson (NSW)	M	182
Tennyson Point	F	602
Tennyson Point	M	616
Tenterden (NSW)	F	17
Tenterden (NSW)	M	18
Tenterfield	F	2149
Tenterfield	M	1914
Teralba	F	781
Teralba	M	809
Terania Creek	F	93
Terania Creek	M	93
Terara	F	114
Terara	M	118
Teridgerie	F	26
Teridgerie	M	30
Termeil	F	126
Termeil	M	128
Terrabella	F	10
Terrabella	M	8
Terrace Creek	F	25
Terrace Creek	M	26
Terragon	F	41
Terragon	M	32
Terramungamine	F	138
Terramungamine	M	139
Terranora	F	1476
Terranora	M	1445
Terreel	F	3
Terreel	M	3
Terrey Hills	F	1534
Terrey Hills	M	1498
Terrigal	F	5795
Terrigal	M	5550
Terry Hie Hie	F	38
Terry Hie Hie	M	37
Teven	F	126
Teven	M	162
Tewinga	F	44
Tewinga	M	46
Texas (NSW)	F	20
Texas (NSW)	M	23
Thalgarrah	F	83
Thalgarrah	M	99
Tharbogang	F	233
Tharbogang	M	280
The Angle	F	44
The Angle	M	47
The Bight	F	34
The Bight	M	31
The Branch	F	37
The Branch	M	49
The Brothers	F	22
The Brothers	M	11
The Channon	F	185
The Channon	M	187
The Entrance	F	2101
The Entrance	M	1905
The Entrance North	F	752
The Entrance North	M	726
The Freshwater	F	5
The Freshwater	M	3
The Gap (Wagga Wagga - NSW)	F	33
The Gap (Wagga Wagga - NSW)	M	30
The Glen (NSW)	F	4
The Glen (NSW)	M	4
The Hatch	F	24
The Hatch	M	20
The Hill	F	971
The Hill	M	969
The Junction	F	540
The Junction	M	504
The Lagoon	F	111
The Lagoon	M	98
The Marra	F	32
The Marra	M	29
The Meadows	F	3
The Meadows	M	3
The Oaks	F	1288
The Oaks	M	1235
The Pinnacles	F	44
The Pinnacles	M	36
The Pocket	F	133
The Pocket	M	143
The Ponds	F	5894
The Ponds	M	5843
The Ridgeway	F	71
The Ridgeway	M	88
The Risk	F	35
The Risk	M	33
The Rock	F	624
The Rock	M	613
The Rocks (Bathurst Regional - NSW)	F	27
The Rocks (Bathurst Regional - NSW)	M	33
The Rocks (Sydney - NSW)	F	346
The Rocks (Sydney - NSW)	M	429
The Sandon	M	3
The Slopes	F	171
The Slopes	M	164
The Whiteman	F	61
The Whiteman	M	76
Theresa Creek (NSW)	F	32
Theresa Creek (NSW)	M	32
Theresa Park	F	260
Theresa Park	M	274
Thirldene	F	4
Thirlmere	F	2051
Thirlmere	M	1991
Thirroul	F	3054
Thirroul	M	3032
Thora	F	167
Thora	M	163
Thornleigh	F	4302
Thornleigh	M	4164
Thornton (NSW)	F	4068
Thornton (NSW)	M	3996
Thrumster	F	212
Thrumster	M	211
Thuddungra	F	49
Thuddungra	M	69
Thule	F	17
Thule	M	17
Thumb Creek	F	11
Thumb Creek	M	15
Thurgoona	F	4449
Thurgoona	M	4206
Thyra	F	9
Thyra	M	4
Tibbuc	F	18
Tibbuc	M	16
Tibooburra	F	58
Tibooburra	M	80
Tichborne	F	41
Tichborne	M	35
Tighes Hill	F	841
Tighes Hill	M	842
Tilba Tilba	F	45
Tilba Tilba	M	48
Tilbuster	F	27
Tilbuster	M	33
Tilpa	F	19
Tilpa	M	23
Timbarra (NSW)	F	20
Timbarra (NSW)	M	14
Timbillica	F	5
Timbillica	M	3
Timbumburi	F	73
Timbumburi	M	70
Timor (NSW)	F	23
Timor (NSW)	M	33
Tindarey	F	16
Tindarey	M	18
Tinderry	F	30
Tinderry	M	34
Tingha	F	413
Tingha	M	417
Tingira Heights	F	1113
Tingira Heights	M	1033
Tinonee	F	562
Tinonee	M	526
Tinpot	F	3
Tinpot	M	3
Tintenbar	F	402
Tintenbar	M	422
Tintinhull	F	194
Tintinhull	M	203
Tipperary (NSW)	F	18
Tipperary (NSW)	M	14
Tirrannaville	F	116
Tirrannaville	M	118
Titaatee Creek	F	9
Titaatee Creek	M	9
Tocal (NSW)	F	27
Tocal (NSW)	M	23
Tocumwal	F	1356
Tocumwal	M	1329
Tolland	F	1744
Tolland	M	1616
Tomago	F	99
Tomago	M	183
Tomakin	F	480
Tomakin	M	517
Tomalla	F	3
Tomalla	M	13
Tombong	F	7
Tombong	M	10
Tomboye	F	19
Tomboye	M	21
Tomerong	F	525
Tomerong	M	547
Tomewin	F	49
Tomewin	M	61
Tomingley	F	134
Tomingley	M	171
Tomki	F	36
Tomki	M	36
Toms Creek	F	19
Toms Creek	M	23
Tonderburine	F	29
Tonderburine	M	29
Tongarra	F	55
Tongarra	M	55
Toogong	F	40
Toogong	M	40
Tooleybuc	F	143
Tooleybuc	M	139
Toolijooa	F	53
Toolijooa	M	72
Tooloom	F	8
Tooloom	M	15
Tooloon	F	24
Tooloon	M	20
Tooma	F	49
Tooma	M	58
Toongabbie (NSW)	F	7147
Toongabbie (NSW)	M	7190
Toongi	F	31
Toongi	M	27
Toonumbar	F	10
Toonumbar	M	25
Tooranie	M	5
Tooraweenah	F	112
Tooraweenah	M	118
Toormina	F	3289
Toormina	M	2904
Toorooka	F	25
Toorooka	M	26
Toothdale	F	84
Toothdale	M	93
Tootool	F	30
Tootool	M	41
Toowoon Bay	F	266
Toowoon Bay	M	264
Topi Topi	F	29
Topi Topi	M	22
Toronto	F	2915
Toronto	M	2688
Torrington (NSW)	F	41
Torrington (NSW)	M	42
Torryburn (Dungog - NSW)	F	71
Torryburn (Dungog - NSW)	M	77
Torryburn (Uralla - NSW)	F	19
Torryburn (Uralla - NSW)	M	18
Totnes Valley	F	17
Totnes Valley	M	14
Tottenham (NSW)	F	225
Tottenham (NSW)	M	230
Toukley	F	2311
Toukley	M	2239
Towamba	F	104
Towamba	M	123
Townsend	F	453
Townsend	M	435
Towradgi	F	1617
Towradgi	M	1510
Towrang	F	86
Towrang	M	90
Tralee	F	4
Tralee	M	7
Trangie	F	576
Trangie	M	612
Tregeagle	F	220
Tregeagle	M	238
Tregear	F	1975
Tregear	M	1915
Trenayr	F	36
Trenayr	M	51
Trentham Cliffs	F	30
Trentham Cliffs	M	42
Trewilga	F	18
Trewilga	M	23
Triamble	F	11
Triamble	M	4
Triangle Flat	F	24
Triangle Flat	M	38
Trundle	F	333
Trundle	M	349
Trungley Hall	F	38
Trungley Hall	M	37
Trunkey Creek	F	51
Trunkey Creek	M	63
Tubbamurra	F	7
Tubbamurra	M	8
Tubbul	F	41
Tubbul	M	35
Tucabia	F	184
Tucabia	M	189
Tucki Tucki	F	76
Tucki Tucki	M	92
Tuckombil	F	120
Tuckombil	M	139
Tuckurimba	F	50
Tuckurimba	M	48
Tuena	F	22
Tuena	M	35
Tuggerah	F	473
Tuggerah	M	454
Tuggerawong	F	651
Tuggerawong	M	632
Tugrabakh	F	33
Tugrabakh	M	43
Tullakool	F	33
Tullakool	M	39
Tullamore	F	197
Tullamore	M	229
Tullera	F	140
Tullera	M	139
Tullibigeal	F	106
Tullibigeal	M	125
Tullimbar	F	273
Tullimbar	M	253
Tulloona	F	20
Tulloona	M	30
Tullymorgan	F	64
Tullymorgan	M	69
Tumbarumba	F	944
Tumbarumba	M	916
Tumbi Umbi	F	2605
Tumbi Umbi	M	2507
Tumblong	F	95
Tumblong	M	106
Tumbulgum	F	223
Tumbulgum	M	190
Tumorrama	F	16
Tumorrama	M	20
Tumut	F	3190
Tumut	M	3040
Tumut Plains	F	32
Tumut Plains	M	34
Tuncester	F	36
Tuncester	M	33
Tuncurry	F	3238
Tuncurry	M	2944
Tunglebung	F	12
Tunglebung	M	17
Tuntable Creek	F	94
Tuntable Creek	M	96
Tuppal	F	8
Tuppal	M	3
Tura Beach	F	1668
Tura Beach	M	1494
Turill	F	47
Turill	M	57
Turlinjah	F	75
Turlinjah	M	83
Turners Flat	F	74
Turners Flat	M	74
Turondale	F	36
Turondale	M	46
Tuross	F	3
Tuross	M	4
Tuross Head	F	1146
Tuross Head	M	1094
Turramurra	F	6146
Turramurra	M	5776
Turrawan	F	36
Turrawan	M	37
Turrella	F	1230
Turrella	M	1283
Turvey Park	F	1745
Turvey Park	M	1579
Tweed Heads	F	4272
Tweed Heads	M	3905
Tweed Heads South	F	4094
Tweed Heads South	M	3525
Tweed Heads West	F	3254
Tweed Heads West	M	2945
Twelve Mile	F	16
Twelve Mile	M	15
Twelve Mile Creek	F	70
Twelve Mile Creek	M	91
Twin Rivers	F	14
Twin Rivers	M	17
Two Mile Flat	F	38
Two Mile Flat	M	50
Tyagarah	F	78
Tyagarah	M	73
Tyalgum	F	298
Tyalgum	M	252
Tyalgum Creek	F	54
Tyalgum Creek	M	60
Tygalgah	F	59
Tygalgah	M	65
Tyndale	F	80
Tyndale	M	96
Tyringham	F	38
Tyringham	M	62
Uarbry	F	18
Uarbry	M	27
Uki	F	342
Uki	M	355
Ulamambri	F	111
Ulamambri	M	104
Ulan	F	30
Ulan	M	28
Ulladulla	F	3421
Ulladulla	M	3198
Ulmarra	F	390
Ulmarra	M	391
Ulong	F	111
Ulong	M	125
Ultimo	F	4592
Ultimo	M	4250
Umina Beach	F	8707
Umina Beach	M	8022
Unanderra	F	2859
Unanderra	M	2570
Underbank	F	18
Underbank	M	13
Undercliffe	F	6
Undercliffe	M	7
Ungarie	F	278
Ungarie	M	287
Unumgar	F	12
Unumgar	M	16
Upper Allyn	F	4
Upper Allyn	M	9
Upper Bingara	F	18
Upper Bingara	M	15
Upper Burringbar	F	123
Upper Burringbar	M	151
Upper Bylong	F	3
Upper Colo	F	30
Upper Colo	M	27
Upper Coopers Creek	F	33
Upper Coopers Creek	M	30
Upper Copmanhurst	F	40
Upper Copmanhurst	M	44
Upper Corindi	F	76
Upper Corindi	M	81
Upper Crystal Creek	F	83
Upper Crystal Creek	M	101
Upper Dartbrook	F	71
Upper Dartbrook	M	73
Upper Duck Creek	F	3
Upper Duck Creek	M	3
Upper Duroby	F	53
Upper Duroby	M	52
Upper Eden Creek	F	22
Upper Eden Creek	M	19
Upper Fine Flower	F	14
Upper Fine Flower	M	20
Upper Growee	F	3
Upper Growee	M	3
Upper Horseshoe Creek	F	64
Upper Horseshoe Creek	M	63
Upper Horton	F	90
Upper Horton	M	85
Upper Kangaroo River	F	58
Upper Kangaroo River	M	60
Upper Karuah River	F	3
Upper Lansdowne	F	266
Upper Lansdowne	M	300
Upper Macdonald	F	16
Upper Macdonald	M	16
Upper Main Arm	F	100
Upper Main Arm	M	123
Upper Manilla	F	61
Upper Manilla	M	62
Upper Mongogarie	F	11
Upper Mongogarie	M	11
Upper Myall	F	11
Upper Myall	M	10
Upper Nile	F	3
Upper Nile	M	6
Upper Orara	F	398
Upper Orara	M	416
Upper Pappinbarra	F	20
Upper Pappinbarra	M	38
Upper Rollands Plains	F	62
Upper Rollands Plains	M	86
Upper Rouchel	F	30
Upper Rouchel	M	40
Upper Taylors Arm	F	65
Upper Taylors Arm	M	58
Upper Tooloom	F	20
Upper Tooloom	M	24
Upper Turon	F	4
Upper Turon	M	10
Upper Wilsons Creek	F	36
Upper Wilsons Creek	M	35
Upsalls Creek	F	52
Upsalls Creek	M	65
Uralba	F	108
Uralba	M	108
Uralla (NSW)	F	1469
Uralla (NSW)	M	1274
Urana	F	175
Urana	M	210
Urangeline	F	8
Urangeline	M	7
Urangeline East	F	11
Urangeline East	M	12
Uranquinty	F	449
Uranquinty	M	455
Urawilkie	F	5
Urawilkie	M	6
Urbenville	F	162
Urbenville	M	159
Uriarra	F	14
Uriarra	M	11
Urila	F	71
Urila	M	69
Urliup	F	93
Urliup	M	98
Urunga	F	1522
Urunga	M	1479
Utungun	F	82
Utungun	M	86
Vacy	F	307
Vacy	M	323
Vale Of Clwydd	F	238
Vale Of Clwydd	M	248
Valentine	F	2782
Valentine	M	2736
Valery	F	75
Valery	M	63
Valla	F	476
Valla	M	457
Valla Beach	F	704
Valla Beach	M	612
Valley Heights	F	586
Valley Heights	M	626
Varroville	F	57
Varroville	M	58
Vaucluse	F	4918
Vaucluse	M	4421
Verges Creek	F	111
Verges Creek	M	122
Verona	F	160
Verona	M	127
Villawood	F	2810
Villawood	M	3223
Vincentia	F	1714
Vincentia	M	1579
Vineyard	F	587
Vineyard	M	577
Vittoria (NSW)	F	38
Vittoria (NSW)	M	28
Voyager Point	F	817
Voyager Point	M	846
Wadalba	F	1430
Wadalba	M	1398
Wadeville	F	73
Wadeville	M	94
Wagga Wagga	F	3697
Wagga Wagga	M	3406
Wagstaffe	F	111
Wagstaffe	M	111
Wahroonga	F	9003
Wahroonga	M	8363
Waitara	F	3093
Waitara	M	2850
Waitui	F	57
Waitui	M	51
Wakefield	F	69
Wakefield	M	71
Wakeley	F	2425
Wakeley	M	2321
Wakool	F	140
Wakool	M	164
Walang	F	44
Walang	M	42
Walbundrie	F	71
Walbundrie	M	76
Walcha	F	1278
Walcha	M	1279
Walcha Road	F	26
Walcha Road	M	31
Waldegrave	F	10
Waldegrave	M	18
Walgett	F	1061
Walgett	M	1087
Walla Walla	F	424
Walla Walla	M	410
Wallabadah	F	198
Wallabadah	M	223
Wallabi Point	F	348
Wallabi Point	M	345
Wallacetown	M	3
Wallacia	F	785
Wallacia	M	840
Wallaga Lake	F	271
Wallaga Lake	M	279
Wallagoot	F	277
Wallagoot	M	242
Wallalong	F	515
Wallalong	M	520
Wallamore	F	62
Wallamore	M	59
Wallanbah	F	35
Wallanbah	M	44
Wallangra	F	47
Wallangra	M	54
Wallanthery	F	17
Wallanthery	M	15
Wallarah	F	181
Wallarah	M	183
Wallaringa	F	5
Wallaringa	M	8
Wallarobba	F	90
Wallarobba	M	81
Wallaroo (NSW)	F	369
Wallaroo (NSW)	M	343
Wallendbeen	F	132
Wallendbeen	M	131
Wallerawang	F	988
Wallerawang	M	992
Walleroobie	F	34
Walleroobie	M	32
Wallsend	F	6445
Wallsend	M	6022
Walmer (NSW)	F	18
Walmer (NSW)	M	20
Wamban	F	41
Wamban	M	44
Wambangalang	F	35
Wambangalang	M	60
Wamberal	F	3310
Wamberal	M	3237
Wamboin	F	853
Wamboin	M	858
Wambool	F	14
Wambool	M	16
Wambrook	F	23
Wambrook	M	25
Wanaaring	F	72
Wanaaring	M	66
Wandandian	F	170
Wandandian	M	160
Wandella (NSW)	F	68
Wandella (NSW)	M	80
Wandera	F	15
Wandera	M	8
Wandook	F	20
Wandook	M	24
Wandsworth	F	44
Wandsworth	M	50
Wang Wauk	F	49
Wang Wauk	M	40
Wanganella	F	42
Wanganella	M	41
Wanganui	F	25
Wanganui	M	24
Wangi Wangi	F	1392
Wangi Wangi	M	1369
Wantabadgery	F	94
Wantabadgery	M	98
Wantagong	F	27
Wantagong	M	27
Wantiool	F	20
Wantiool	M	21
Wapengo	F	39
Wapengo	M	36
Warabrook	F	1054
Warabrook	M	919
Waratah (NSW)	F	2366
Waratah (NSW)	M	2126
Waratah West	F	1473
Waratah West	M	1517
Warburn	F	40
Warburn	M	52
Wardell	F	387
Wardell	M	445
Wardrop Valley	F	38
Wardrop Valley	M	48
Wards Mistake	F	14
Wards Mistake	M	13
Wards River	F	90
Wards River	M	89
Wareemba	F	849
Wareemba	M	697
Warialda	F	799
Warialda	M	791
Warialda Rail	F	47
Warialda Rail	M	71
Warilla	F	3289
Warilla	M	3161
Warkworth	F	23
Warkworth	M	25
Warners Bay	F	4031
Warners Bay	M	3584
Warnervale	F	319
Warnervale	M	327
Warraderry	F	47
Warraderry	M	47
Warragai Creek	F	48
Warragai Creek	M	53
Warragamba	F	633
Warragamba	M	606
Warragoon	F	54
Warragoon	M	62
Warrah	F	21
Warrah	M	33
Warrah Creek	F	39
Warrah Creek	M	52
Warrah Ridge	F	53
Warrah Ridge	M	45
Warral	F	171
Warral	M	195
Warranulla	F	8
Warranulla	M	24
Warrawee	F	1518
Warrawee	M	1475
Warrawidgee	F	47
Warrawidgee	M	42
Warrawong	F	2428
Warrawong	M	2326
Warrazambil Creek	F	10
Warrazambil Creek	M	11
Warregah Island	F	8
Warregah Island	M	10
Warrell Creek	F	120
Warrell Creek	M	129
Warren	F	703
Warren	M	684
Warri	F	51
