SSC_NAME16	Address5YearsAgo	Sex	persons
Carey Bay	(Overseas)	F	10
Carey Bay	(Overseas)	M	8
Carey Bay	(Same Address)	F	243
Carey Bay	(Same Address)	M	193
Carey Bay	(Same SA2)	F	52
Carey Bay	(Same SA2)	M	33
Carey Bay	New South Wales	F	135
Carey Bay	New South Wales	M	90
Carey Bay	Queensland	F	10
Carey Bay	Queensland	M	8
Carey Bay	Victoria	F	5
Carey Bay	Victoria	M	3
Carey Bay	Western Australia	F	3
Carey Bay	Western Australia	M	3
Cargo	(Same Address)	F	154
Cargo	(Same Address)	M	168
Cargo	(Same SA2)	F	24
Cargo	(Same SA2)	M	25
Cargo	New South Wales	F	58
Cargo	New South Wales	M	51
Cargo	Queensland	F	5
Cargo	Queensland	M	3
Cargo	Victoria	F	3
Cargo	Victoria	M	3
Carinda	(Overseas)	M	3
Carinda	(Same Address)	F	42
Carinda	(Same Address)	M	48
Carinda	(Same SA2)	F	9
Carinda	(Same SA2)	M	3
Carinda	New South Wales	F	13
Carinda	New South Wales	M	11
Caringbah	(Overseas)	F	264
Caringbah	(Overseas)	M	241
Caringbah	(Same Address)	F	2853
Caringbah	(Same Address)	M	2579
Caringbah	(Same SA2)	F	339
Caringbah	(Same SA2)	M	308
Caringbah	Australian Capital Territory	F	11
Caringbah	Australian Capital Territory	M	10
Caringbah	New South Wales	F	1646
Caringbah	New South Wales	M	1553
Caringbah	Northern Territory	M	3
Caringbah	Queensland	F	61
Caringbah	Queensland	M	64
Caringbah	South Australia	F	9
Caringbah	South Australia	M	6
Caringbah	Victoria	F	35
Caringbah	Victoria	M	25
Caringbah	Western Australia	F	18
Caringbah	Western Australia	M	10
Caringbah South	(Overseas)	F	120
Caringbah South	(Overseas)	M	115
Caringbah South	(Same Address)	F	3749
Caringbah South	(Same Address)	M	3536
Caringbah South	(Same SA2)	F	222
Caringbah South	(Same SA2)	M	211
Caringbah South	Australian Capital Territory	F	13
Caringbah South	Australian Capital Territory	M	10
Caringbah South	New South Wales	F	1424
Caringbah South	New South Wales	M	1438
Caringbah South	Northern Territory	F	5
Caringbah South	Northern Territory	M	9
Caringbah South	Queensland	F	22
Caringbah South	Queensland	M	19
Caringbah South	South Australia	F	7
Caringbah South	South Australia	M	10
Caringbah South	Victoria	F	21
Caringbah South	Victoria	M	21
Caringbah South	Western Australia	F	12
Caringbah South	Western Australia	M	12
Carlaminda	(Same Address)	F	7
Carlaminda	(Same Address)	M	10
Carlaminda	New South Wales	F	5
Carlaminda	New South Wales	M	11
Carlingford	(Overseas)	F	1292
Carlingford	(Overseas)	M	1138
Carlingford	(Same Address)	F	6622
Carlingford	(Same Address)	M	6399
Carlingford	(Same SA2)	F	531
Carlingford	(Same SA2)	M	510
Carlingford	Australian Capital Territory	F	13
Carlingford	Australian Capital Territory	M	19
Carlingford	New South Wales	F	2560
Carlingford	New South Wales	M	2555
Carlingford	Northern Territory	F	3
Carlingford	Northern Territory	M	3
Carlingford	Other Territories	F	3
Carlingford	Queensland	F	64
Carlingford	Queensland	M	56
Carlingford	South Australia	F	25
Carlingford	South Australia	M	20
Carlingford	Tasmania	F	11
Carlingford	Tasmania	M	5
Carlingford	Victoria	F	51
Carlingford	Victoria	M	56
Carlingford	Western Australia	F	17
Carlingford	Western Australia	M	17
Carlton (NSW)	(Overseas)	F	598
Carlton (NSW)	(Overseas)	M	543
Carlton (NSW)	(Same Address)	F	2886
Carlton (NSW)	(Same Address)	M	2876
Carlton (NSW)	(Same SA2)	F	215
Carlton (NSW)	(Same SA2)	M	206
Carlton (NSW)	New South Wales	F	999
Carlton (NSW)	New South Wales	M	1080
Carlton (NSW)	Queensland	F	13
Carlton (NSW)	Queensland	M	23
Carlton (NSW)	South Australia	F	6
Carlton (NSW)	South Australia	M	6
Carlton (NSW)	Victoria	F	23
Carlton (NSW)	Victoria	M	27
Carlton (NSW)	Western Australia	F	5
Carlton (NSW)	Western Australia	M	7
Carnes Hill	(Overseas)	F	39
Carnes Hill	(Overseas)	M	34
Carnes Hill	(Same Address)	F	197
Carnes Hill	(Same Address)	M	214
Carnes Hill	(Same SA2)	F	63
Carnes Hill	(Same SA2)	M	61
Carnes Hill	New South Wales	F	561
Carnes Hill	New South Wales	M	528
Carnes Hill	Queensland	F	4
Carnes Hill	Queensland	M	7
Carnes Hill	South Australia	F	4
Carnes Hill	South Australia	M	3
Carnes Hill	Victoria	F	6
Carool	(Overseas)	F	3
Carool	(Overseas)	M	6
Carool	(Same Address)	F	50
Carool	(Same Address)	M	55
Carool	(Same SA2)	F	4
Carool	(Same SA2)	M	4
Carool	Australian Capital Territory	M	3
Carool	New South Wales	F	6
Carool	New South Wales	M	9
Carool	Queensland	F	3
Carool	Queensland	M	3
Caroona	(Same Address)	F	63
Caroona	(Same Address)	M	81
Caroona	(Same SA2)	F	8
Caroona	(Same SA2)	M	3
Caroona	New South Wales	F	12
Caroona	New South Wales	M	7
Carramar (NSW)	(Overseas)	F	145
Carramar (NSW)	(Overseas)	M	158
Carramar (NSW)	(Same Address)	F	908
Carramar (NSW)	(Same Address)	M	900
Carramar (NSW)	(Same SA2)	F	74
Carramar (NSW)	(Same SA2)	M	66
Carramar (NSW)	Australian Capital Territory	F	3
Carramar (NSW)	New South Wales	F	358
Carramar (NSW)	New South Wales	M	367
Carramar (NSW)	Queensland	F	8
Carramar (NSW)	Queensland	M	3
Carramar (NSW)	Victoria	F	7
Carramar (NSW)	Victoria	M	6
Carrathool	(Overseas)	F	3
Carrathool	(Overseas)	M	3
Carrathool	(Same Address)	F	45
Carrathool	(Same Address)	M	57
Carrathool	(Same SA2)	F	3
Carrathool	(Same SA2)	M	9
Carrathool	New South Wales	F	21
Carrathool	New South Wales	M	36
Carrathool	Queensland	M	3
Carrathool	South Australia	F	3
Carrathool	South Australia	M	3
Carrick (NSW)	(Same Address)	F	26
Carrick (NSW)	(Same Address)	M	28
Carrick (NSW)	(Same SA2)	F	3
Carrick (NSW)	(Same SA2)	M	3
Carrick (NSW)	Australian Capital Territory	F	4
Carrick (NSW)	Australian Capital Territory	M	3
Carrick (NSW)	New South Wales	F	25
Carrick (NSW)	New South Wales	M	25
Carrington (Mid-Coast - NSW)	(Same Address)	F	8
Carrington (Mid-Coast - NSW)	(Same Address)	M	4
Carrington (Mid-Coast - NSW)	(Same SA2)	F	3
Carrington (Mid-Coast - NSW)	New South Wales	M	3
Carrington (Newcastle - NSW)	(Overseas)	F	27
Carrington (Newcastle - NSW)	(Overseas)	M	26
Carrington (Newcastle - NSW)	(Same Address)	F	375
Carrington (Newcastle - NSW)	(Same Address)	M	401
Carrington (Newcastle - NSW)	(Same SA2)	F	59
Carrington (Newcastle - NSW)	(Same SA2)	M	62
Carrington (Newcastle - NSW)	Australian Capital Territory	F	4
Carrington (Newcastle - NSW)	Australian Capital Territory	M	3
Carrington (Newcastle - NSW)	New South Wales	F	332
Carrington (Newcastle - NSW)	New South Wales	M	314
Carrington (Newcastle - NSW)	Northern Territory	F	3
Carrington (Newcastle - NSW)	Northern Territory	M	3
Carrington (Newcastle - NSW)	Queensland	F	18
Carrington (Newcastle - NSW)	Queensland	M	15
Carrington (Newcastle - NSW)	South Australia	F	3
Carrington (Newcastle - NSW)	South Australia	M	6
Carrington (Newcastle - NSW)	Victoria	F	10
Carrington (Newcastle - NSW)	Victoria	M	3
Carrington (Newcastle - NSW)	Western Australia	F	3
Carrington (Newcastle - NSW)	Western Australia	M	3
Carrington Falls	(Same Address)	F	6
Carrington Falls	(Same Address)	M	11
Carroll	(Same Address)	F	86
Carroll	(Same Address)	M	103
Carroll	(Same SA2)	F	9
Carroll	(Same SA2)	M	12
Carroll	New South Wales	F	32
Carroll	New South Wales	M	31
Carroll	Queensland	F	5
Carrowbrook	(Same Address)	F	9
Carrowbrook	(Same Address)	M	8
Carrs Creek	(Same Address)	F	43
Carrs Creek	(Same Address)	M	38
Carrs Creek	(Same SA2)	F	3
Carrs Creek	(Same SA2)	M	9
Carrs Creek	New South Wales	F	7
Carrs Creek	New South Wales	M	13
Carrs Creek	Queensland	F	3
Carrs Creek	Queensland	M	3
Carrs Creek	Western Australia	F	3
Carrs Island	(Same Address)	F	4
Carrs Island	(Same Address)	M	3
Carrs Peninsula	(Same Address)	F	7
Carrs Peninsula	(Same Address)	M	9
Carrs Peninsula	New South Wales	M	3
Carss Park	(Overseas)	F	20
Carss Park	(Overseas)	M	13
Carss Park	(Same Address)	F	443
Carss Park	(Same Address)	M	398
Carss Park	(Same SA2)	F	23
Carss Park	(Same SA2)	M	15
Carss Park	New South Wales	F	103
Carss Park	New South Wales	M	109
Carss Park	South Australia	M	4
Cartwright	(Overseas)	F	62
Cartwright	(Overseas)	M	48
Cartwright	(Same Address)	F	678
Cartwright	(Same Address)	M	687
Cartwright	(Same SA2)	F	26
Cartwright	(Same SA2)	M	16
Cartwright	New South Wales	F	202
Cartwright	New South Wales	M	198
Cartwright	Queensland	F	3
Cartwright	Queensland	M	7
Cartwright	Victoria	F	3
Cartwright	Victoria	M	3
Cartwrights Hill	(Same Address)	F	53
Cartwrights Hill	(Same Address)	M	66
Cartwrights Hill	(Same SA2)	F	3
Cartwrights Hill	(Same SA2)	M	3
Cartwrights Hill	New South Wales	F	13
Cartwrights Hill	New South Wales	M	21
Cartwrights Hill	Queensland	M	3
Carwell	(Same Address)	F	9
Carwell	(Same Address)	M	8
Carwoola	(Overseas)	F	8
Carwoola	(Overseas)	M	9
Carwoola	(Same Address)	F	420
Carwoola	(Same Address)	M	476
Carwoola	(Same SA2)	F	18
Carwoola	(Same SA2)	M	25
Carwoola	Australian Capital Territory	F	57
Carwoola	Australian Capital Territory	M	70
Carwoola	New South Wales	F	74
Carwoola	New South Wales	M	84
Carwoola	Northern Territory	M	3
Carwoola	Queensland	F	3
Carwoola	Queensland	M	4
Carwoola	Victoria	F	3
Carwoola	Victoria	M	3
Cascade (NSW)	(Same Address)	F	3
Cascade (NSW)	(Same Address)	M	4
Casino	(Overseas)	F	48
Casino	(Overseas)	M	29
Casino	(Same Address)	F	3005
Casino	(Same Address)	M	2750
Casino	(Same SA2)	F	820
Casino	(Same SA2)	M	730
Casino	Australian Capital Territory	F	4
Casino	New South Wales	F	706
Casino	New South Wales	M	644
Casino	Northern Territory	F	9
Casino	Northern Territory	M	13
Casino	Queensland	F	156
Casino	Queensland	M	149
Casino	South Australia	F	10
Casino	South Australia	M	9
Casino	Tasmania	F	3
Casino	Tasmania	M	7
Casino	Victoria	F	12
Casino	Victoria	M	14
Casino	Western Australia	F	4
Casino	Western Australia	M	7
Cassilis (NSW)	(Same Address)	F	95
Cassilis (NSW)	(Same Address)	M	96
Cassilis (NSW)	(Same SA2)	F	7
Cassilis (NSW)	(Same SA2)	M	8
Cassilis (NSW)	New South Wales	F	19
Cassilis (NSW)	New South Wales	M	29
Castle Cove	(Overseas)	F	51
Castle Cove	(Overseas)	M	49
Castle Cove	(Same Address)	F	768
Castle Cove	(Same Address)	M	752
Castle Cove	(Same SA2)	F	113
Castle Cove	(Same SA2)	M	111
Castle Cove	Australian Capital Territory	F	4
Castle Cove	New South Wales	F	227
Castle Cove	New South Wales	M	224
Castle Cove	Queensland	F	3
Castle Cove	Victoria	F	6
Castle Cove	Victoria	M	9
Castle Doyle	(Same Address)	F	53
Castle Doyle	(Same Address)	M	60
Castle Doyle	(Same SA2)	M	3
Castle Doyle	New South Wales	F	11
Castle Doyle	New South Wales	M	11
Castle Doyle	Northern Territory	M	3
Castle Hill (NSW)	(Overseas)	F	1291
Castle Hill (NSW)	(Overseas)	M	1153
Castle Hill (NSW)	(Same Address)	F	11557
Castle Hill (NSW)	(Same Address)	M	10790
Castle Hill (NSW)	(Same SA2)	F	426
Castle Hill (NSW)	(Same SA2)	M	445
Castle Hill (NSW)	Australian Capital Territory	F	34
Castle Hill (NSW)	Australian Capital Territory	M	37
Castle Hill (NSW)	New South Wales	F	4881
Castle Hill (NSW)	New South Wales	M	4680
Castle Hill (NSW)	Northern Territory	F	5
Castle Hill (NSW)	Northern Territory	M	5
Castle Hill (NSW)	Queensland	F	131
Castle Hill (NSW)	Queensland	M	114
Castle Hill (NSW)	South Australia	F	29
Castle Hill (NSW)	South Australia	M	28
Castle Hill (NSW)	Tasmania	F	12
Castle Hill (NSW)	Tasmania	M	6
Castle Hill (NSW)	Victoria	F	70
Castle Hill (NSW)	Victoria	M	61
Castle Hill (NSW)	Western Australia	F	29
Castle Hill (NSW)	Western Australia	M	32
Castle Rock	(Same Address)	F	42
Castle Rock	(Same Address)	M	45
Castle Rock	(Same SA2)	M	4
Castle Rock	New South Wales	F	25
Castle Rock	New South Wales	M	26
Castle Rock	Queensland	F	3
Castlecrag	(Overseas)	F	106
Castlecrag	(Overseas)	M	90
Castlecrag	(Same Address)	F	853
Castlecrag	(Same Address)	M	836
Castlecrag	(Same SA2)	F	142
Castlecrag	(Same SA2)	M	158
Castlecrag	New South Wales	F	238
Castlecrag	New South Wales	M	242
Castlecrag	Queensland	F	8
Castlecrag	Queensland	M	4
Castlecrag	Victoria	F	3
Castlecrag	Western Australia	F	3
Castlecrag	Western Australia	M	3
Castlereagh	(Overseas)	F	3
Castlereagh	(Overseas)	M	3
Castlereagh	(Same Address)	F	352
Castlereagh	(Same Address)	M	367
Castlereagh	(Same SA2)	F	23
Castlereagh	(Same SA2)	M	28
Castlereagh	New South Wales	F	104
Castlereagh	New South Wales	M	94
Castlereagh	Queensland	F	4
Castlereagh	Queensland	M	4
Casuarina (NSW)	(Overseas)	F	44
Casuarina (NSW)	(Overseas)	M	52
Casuarina (NSW)	(Same Address)	F	308
Casuarina (NSW)	(Same Address)	M	330
Casuarina (NSW)	(Same SA2)	F	162
Casuarina (NSW)	(Same SA2)	M	154
Casuarina (NSW)	Australian Capital Territory	F	6
Casuarina (NSW)	Australian Capital Territory	M	6
Casuarina (NSW)	New South Wales	F	272
Casuarina (NSW)	New South Wales	M	251
Casuarina (NSW)	Northern Territory	F	3
Casuarina (NSW)	Northern Territory	M	3
Casuarina (NSW)	Queensland	F	256
Casuarina (NSW)	Queensland	M	249
Casuarina (NSW)	South Australia	F	4
Casuarina (NSW)	South Australia	M	9
Casuarina (NSW)	Tasmania	F	4
Casuarina (NSW)	Victoria	F	31
Casuarina (NSW)	Victoria	M	25
Casuarina (NSW)	Western Australia	F	13
Casuarina (NSW)	Western Australia	M	13
Casula	(Overseas)	F	373
Casula	(Overseas)	M	353
Casula	(Same Address)	F	4475
Casula	(Same Address)	M	4232
Casula	(Same SA2)	F	356
Casula	(Same SA2)	M	323
Casula	New South Wales	F	1667
Casula	New South Wales	M	1559
Casula	Northern Territory	M	3
Casula	Queensland	F	28
Casula	Queensland	M	17
Casula	South Australia	F	3
Casula	South Australia	M	7
Casula	Victoria	F	17
Casula	Victoria	M	20
Casula	Western Australia	F	13
Casula	Western Australia	M	6
Catalina	(Overseas)	F	14
Catalina	(Overseas)	M	9
Catalina	(Same Address)	F	630
Catalina	(Same Address)	M	575
Catalina	(Same SA2)	F	104
Catalina	(Same SA2)	M	97
Catalina	Australian Capital Territory	F	33
Catalina	Australian Capital Territory	M	35
Catalina	New South Wales	F	217
Catalina	New South Wales	M	234
Catalina	Northern Territory	F	3
Catalina	Queensland	F	20
Catalina	Queensland	M	16
Catalina	South Australia	M	5
Catalina	Tasmania	F	3
Catalina	Victoria	F	9
Catalina	Victoria	M	15
Cataract	(Same Address)	F	3
Cathcart (NSW)	(Same Address)	F	38
Cathcart (NSW)	(Same Address)	M	38
Cathcart (NSW)	(Same SA2)	F	3
Cathcart (NSW)	(Same SA2)	M	3
Cathcart (NSW)	New South Wales	F	3
Catherine Field	(Overseas)	F	3
Catherine Field	(Overseas)	M	3
Catherine Field	(Same Address)	F	490
Catherine Field	(Same Address)	M	536
Catherine Field	(Same SA2)	F	18
Catherine Field	(Same SA2)	M	19
Catherine Field	New South Wales	F	144
Catherine Field	New South Wales	M	150
Catherine Field	Queensland	F	6
Catherine Field	Queensland	M	4
Catherine Hill Bay	(Overseas)	F	3
Catherine Hill Bay	(Same Address)	F	47
Catherine Hill Bay	(Same Address)	M	46
Catherine Hill Bay	New South Wales	F	12
Catherine Hill Bay	New South Wales	M	21
Cathundral	(Same Address)	F	12
Cathundral	(Same Address)	M	12
Cathundral	(Same SA2)	F	4
Cathundral	New South Wales	M	3
Cattai	(Overseas)	F	3
Cattai	(Overseas)	M	12
Cattai	(Same Address)	F	232
Cattai	(Same Address)	M	224
Cattai	(Same SA2)	F	36
Cattai	(Same SA2)	M	25
Cattai	New South Wales	F	83
Cattai	New South Wales	M	91
Cattai	Queensland	F	3
Cattle Creek (NSW)	(Same Address)	F	7
Cattle Creek (NSW)	(Same Address)	M	9
Cattle Creek (NSW)	(Same SA2)	F	3
Cattle Creek (NSW)	(Same SA2)	M	3
Cattle Creek (NSW)	New South Wales	F	3
Cattle Creek (NSW)	New South Wales	M	3
Cavan (NSW)	(Same Address)	F	6
Cavan (NSW)	(Same Address)	M	8
Cavan (NSW)	(Same SA2)	F	6
Cavan (NSW)	Australian Capital Territory	F	3
Cavan (NSW)	Australian Capital Territory	M	3
Cavan (NSW)	New South Wales	F	4
Cavan (NSW)	New South Wales	M	4
Cavan (NSW)	Queensland	M	3
Caves Beach	(Overseas)	F	31
Caves Beach	(Overseas)	M	36
Caves Beach	(Same Address)	F	1311
Caves Beach	(Same Address)	M	1204
Caves Beach	(Same SA2)	F	154
Caves Beach	(Same SA2)	M	164
Caves Beach	Australian Capital Territory	F	3
Caves Beach	Australian Capital Territory	M	5
Caves Beach	New South Wales	F	380
Caves Beach	New South Wales	M	346
Caves Beach	Northern Territory	F	3
Caves Beach	Queensland	F	10
Caves Beach	Queensland	M	13
Caves Beach	Victoria	F	4
Caves Beach	Victoria	M	4
Caves Beach	Western Australia	F	10
Caves Beach	Western Australia	M	3
Cawdor (NSW)	(Same Address)	F	122
Cawdor (NSW)	(Same Address)	M	134
Cawdor (NSW)	(Same SA2)	M	5
Cawdor (NSW)	New South Wales	F	60
Cawdor (NSW)	New South Wales	M	58
Cawdor (NSW)	Queensland	F	4
Cawdor (NSW)	Queensland	M	3
Cawongla	(Same Address)	F	49
Cawongla	(Same Address)	M	61
Cawongla	New South Wales	F	15
Cawongla	New South Wales	M	13
Cawongla	Northern Territory	M	3
Cawongla	Queensland	F	8
Cawongla	Queensland	M	9
Cawongla	South Australia	M	4
Cecil Hills	(Overseas)	F	81
Cecil Hills	(Overseas)	M	60
Cecil Hills	(Same Address)	F	2360
Cecil Hills	(Same Address)	M	2347
Cecil Hills	(Same SA2)	F	109
Cecil Hills	(Same SA2)	M	112
Cecil Hills	Australian Capital Territory	M	5
Cecil Hills	New South Wales	F	620
Cecil Hills	New South Wales	M	595
Cecil Hills	Queensland	F	9
Cecil Hills	Queensland	M	7
Cecil Hills	South Australia	F	3
Cecil Hills	Victoria	F	11
Cecil Hills	Victoria	M	6
Cecil Park	(Overseas)	F	10
Cecil Park	(Overseas)	M	8
Cecil Park	(Same Address)	F	255
Cecil Park	(Same Address)	M	270
Cecil Park	(Same SA2)	F	5
Cecil Park	(Same SA2)	M	9
Cecil Park	New South Wales	F	62
Cecil Park	New South Wales	M	64
Cecil Park	Tasmania	F	3
Cedar Brush Creek	(Same Address)	F	37
Cedar Brush Creek	(Same Address)	M	36
Cedar Brush Creek	(Same SA2)	F	4
Cedar Brush Creek	New South Wales	F	15
Cedar Brush Creek	New South Wales	M	6
Cedar Creek (Cessnock - NSW)	(Same Address)	F	9
Cedar Creek (Cessnock - NSW)	(Same Address)	M	9
Cedar Creek (Cessnock - NSW)	New South Wales	F	5
Cedar Creek (Cessnock - NSW)	New South Wales	M	3
Cedar Creek (Tweed - NSW)	(Same Address)	F	3
Cedar Creek (Tweed - NSW)	(Same Address)	M	4
Cedar Party	(Overseas)	F	3
Cedar Party	(Overseas)	M	3
Cedar Party	(Same Address)	F	120
Cedar Party	(Same Address)	M	117
Cedar Party	(Same SA2)	F	5
Cedar Party	(Same SA2)	M	4
Cedar Party	New South Wales	F	24
Cedar Party	New South Wales	M	40
Cedar Point	(Same Address)	F	56
Cedar Point	(Same Address)	M	62
Cedar Point	(Same SA2)	F	5
Cedar Point	(Same SA2)	M	6
Cedar Point	New South Wales	F	11
Cedar Point	New South Wales	M	13
Cedar Point	Queensland	M	6
Cedar Point	Western Australia	F	3
Cedar Point	Western Australia	M	4
Centennial Park (NSW)	(Overseas)	F	152
Centennial Park (NSW)	(Overseas)	M	158
Centennial Park (NSW)	(Same Address)	F	438
Centennial Park (NSW)	(Same Address)	M	413
Centennial Park (NSW)	(Same SA2)	F	57
Centennial Park (NSW)	(Same SA2)	M	61
Centennial Park (NSW)	Australian Capital Territory	F	5
Centennial Park (NSW)	Australian Capital Territory	M	5
Centennial Park (NSW)	New South Wales	F	347
Centennial Park (NSW)	New South Wales	M	321
Centennial Park (NSW)	Queensland	F	19
Centennial Park (NSW)	Queensland	M	16
Centennial Park (NSW)	South Australia	F	3
Centennial Park (NSW)	South Australia	M	4
Centennial Park (NSW)	Victoria	F	19
Centennial Park (NSW)	Victoria	M	10
Centennial Park (NSW)	Western Australia	F	8
Centennial Park (NSW)	Western Australia	M	9
Central Colo	(Overseas)	M	3
Central Colo	(Same Address)	F	3
Central Colo	(Same Address)	M	4
Central Colo	New South Wales	F	6
Central Macdonald	(Same Address)	F	14
Central Macdonald	(Same Address)	M	13
Central Macdonald	New South Wales	F	11
Central Mangrove	(Overseas)	F	4
Central Mangrove	(Same Address)	F	81
Central Mangrove	(Same Address)	M	86
Central Mangrove	(Same SA2)	F	9
Central Mangrove	(Same SA2)	M	11
Central Mangrove	New South Wales	F	19
Central Mangrove	New South Wales	M	21
Central Tilba	(Same Address)	F	73
Central Tilba	(Same Address)	M	73
Central Tilba	(Same SA2)	F	14
Central Tilba	(Same SA2)	M	15
Central Tilba	Australian Capital Territory	F	3
Central Tilba	Australian Capital Territory	M	3
Central Tilba	New South Wales	F	24
Central Tilba	New South Wales	M	21
Central Tilba	Victoria	F	6
Central Tilba	Victoria	M	3
Cessnock	(Overseas)	F	52
Cessnock	(Overseas)	M	40
Cessnock	(Same Address)	F	3649
Cessnock	(Same Address)	M	3319
Cessnock	(Same SA2)	F	1241
Cessnock	(Same SA2)	M	1042
Cessnock	Australian Capital Territory	F	4
Cessnock	Australian Capital Territory	M	6
Cessnock	New South Wales	F	1350
Cessnock	New South Wales	M	1160
Cessnock	Northern Territory	F	5
Cessnock	Northern Territory	M	3
Cessnock	Queensland	F	87
Cessnock	Queensland	M	75
Cessnock	South Australia	F	7
Cessnock	South Australia	M	8
Cessnock	Tasmania	F	7
Cessnock	Tasmania	M	3
Cessnock	Victoria	F	22
Cessnock	Victoria	M	18
Cessnock	Western Australia	F	20
Cessnock	Western Australia	M	6
Chain Valley Bay	(Overseas)	F	3
Chain Valley Bay	(Overseas)	M	7
Chain Valley Bay	(Same Address)	F	723
Chain Valley Bay	(Same Address)	M	672
Chain Valley Bay	(Same SA2)	F	72
Chain Valley Bay	(Same SA2)	M	63
Chain Valley Bay	New South Wales	F	305
Chain Valley Bay	New South Wales	M	282
Chain Valley Bay	Queensland	F	8
Chain Valley Bay	Queensland	M	9
Chain Valley Bay	South Australia	F	5
Chain Valley Bay	South Australia	M	6
Chain Valley Bay	Tasmania	F	4
Chain Valley Bay	Victoria	F	3
Chain Valley Bay	Victoria	M	5
Chain Valley Bay	Western Australia	F	3
Chain Valley Bay	Western Australia	M	4
Chakola	(Same Address)	F	12
Chakola	(Same Address)	M	17
Chambigne	(Same Address)	F	19
Chambigne	(Same Address)	M	20
Chambigne	New South Wales	F	3
Chambigne	New South Wales	M	3
Charbon	(Same Address)	F	35
Charbon	(Same Address)	M	39
Charbon	(Same SA2)	F	11
Charbon	(Same SA2)	M	12
Charbon	New South Wales	F	13
Charbon	New South Wales	M	8
Charles Sturt University	(Overseas)	F	11
Charles Sturt University	(Overseas)	M	10
Charles Sturt University	(Same Address)	F	11
Charles Sturt University	(Same Address)	M	6
Charles Sturt University	Australian Capital Territory	F	14
Charles Sturt University	Australian Capital Territory	M	3
Charles Sturt University	New South Wales	F	143
Charles Sturt University	New South Wales	M	65
Charles Sturt University	Northern Territory	M	4
Charles Sturt University	Queensland	M	3
Charles Sturt University	South Australia	F	4
Charles Sturt University	South Australia	M	3
Charles Sturt University	Tasmania	F	11
Charles Sturt University	Tasmania	M	4
Charles Sturt University	Victoria	F	34
Charles Sturt University	Victoria	M	17
Charles Sturt University	Western Australia	F	6
Charlestown (NSW)	(Overseas)	F	178
Charlestown (NSW)	(Overseas)	M	141
Charlestown (NSW)	(Same Address)	F	3673
Charlestown (NSW)	(Same Address)	M	3514
Charlestown (NSW)	(Same SA2)	F	443
Charlestown (NSW)	(Same SA2)	M	400
Charlestown (NSW)	Australian Capital Territory	F	16
Charlestown (NSW)	Australian Capital Territory	M	12
Charlestown (NSW)	New South Wales	F	1435
Charlestown (NSW)	New South Wales	M	1367
Charlestown (NSW)	Northern Territory	F	3
Charlestown (NSW)	Northern Territory	M	3
Charlestown (NSW)	Queensland	F	68
Charlestown (NSW)	Queensland	M	72
Charlestown (NSW)	South Australia	F	13
Charlestown (NSW)	South Australia	M	17
Charlestown (NSW)	Tasmania	M	3
Charlestown (NSW)	Victoria	F	38
Charlestown (NSW)	Victoria	M	21
Charlestown (NSW)	Western Australia	F	10
Charlestown (NSW)	Western Australia	M	14
Charleys Forest	(Same Address)	F	21
Charleys Forest	(Same Address)	M	15
Charleys Forest	(Same SA2)	M	3
Charleys Forest	Australian Capital Territory	M	3
Charleys Forest	New South Wales	M	4
Charlotte Bay	(Same Address)	F	42
Charlotte Bay	(Same Address)	M	48
Charlotte Bay	(Same SA2)	F	7
Charlotte Bay	(Same SA2)	M	9
Charlotte Bay	New South Wales	F	15
Charlotte Bay	New South Wales	M	15
Charlotte Bay	Queensland	M	3
Charlton (NSW)	(Same Address)	F	10
Charlton (NSW)	(Same Address)	M	5
Charmhaven	(Overseas)	F	10
Charmhaven	(Overseas)	M	7
Charmhaven	(Same Address)	F	642
Charmhaven	(Same Address)	M	655
Charmhaven	(Same SA2)	F	104
Charmhaven	(Same SA2)	M	82
Charmhaven	Australian Capital Territory	F	4
Charmhaven	New South Wales	F	314
Charmhaven	New South Wales	M	313
Charmhaven	Queensland	F	14
Charmhaven	Queensland	M	10
Charmhaven	South Australia	F	3
Charmhaven	Victoria	M	3
Charmhaven	Western Australia	M	3
Chatham Valley	(Same Address)	F	10
Chatham Valley	(Same Address)	M	5
Chatham Valley	New South Wales	F	5
Chatham Valley	New South Wales	M	4
Chatsbury	(Same Address)	F	25
Chatsbury	(Same Address)	M	27
Chatsbury	Australian Capital Territory	M	3
Chatsbury	New South Wales	F	16
Chatsbury	New South Wales	M	11
Chatswood	(Overseas)	F	3036
Chatswood	(Overseas)	M	2630
Chatswood	(Same Address)	F	4850
Chatswood	(Same Address)	M	4239
Chatswood	(Same SA2)	F	788
Chatswood	(Same SA2)	M	686
Chatswood	Australian Capital Territory	F	25
Chatswood	Australian Capital Territory	M	25
Chatswood	New South Wales	F	2604
Chatswood	New South Wales	M	2469
Chatswood	Northern Territory	F	6
Chatswood	Northern Territory	M	5
Chatswood	Queensland	F	81
Chatswood	Queensland	M	86
Chatswood	South Australia	F	43
Chatswood	South Australia	M	28
Chatswood	Tasmania	F	6
Chatswood	Tasmania	M	3
Chatswood	Victoria	F	91
Chatswood	Victoria	M	105
Chatswood	Western Australia	F	54
Chatswood	Western Australia	M	48
Chatswood West	(Overseas)	F	56
Chatswood West	(Overseas)	M	60
Chatswood West	(Same Address)	F	478
Chatswood West	(Same Address)	M	450
Chatswood West	(Same SA2)	F	22
Chatswood West	(Same SA2)	M	26
