SSC_NAME16	FamilyComposition	families_with_children
Largs	Step family with no other children present	16
Larnook	Blended family with no other children present	3
Larnook	Intact family with no other children present	26
Larnook	Step family with no other children present	3
Larras Lee	Intact family with no other children present	7
Laughtondale	Intact family with no other children present	13
Laurel Hill	Intact family with no other children present	3
Laurieton	Blended family with no other children present	3
Laurieton	Intact family with no other children present	67
Laurieton	Step family with no other children present	8
Lavender Bay	Intact family with no other children present	59
Lavender Bay	Step family with no other children present	4
Laverstock	Intact family with no other children present	3
Lavington	Blended family with no other children present	62
Lavington	Intact family with no other children present	938
Lavington	Intact family with other children present	18
Lavington	Other couple family with other children only	11
Lavington	Step family with no other children present	91
Lavington	Step family with other children present	3
Lawrence (NSW)	Blended family with no other children present	7
Lawrence (NSW)	Intact family with no other children present	66
Lawrence (NSW)	Step family with no other children present	6
Lawrence (NSW)	Step family with other children present	3
Lawson (NSW)	Blended family with no other children present	16
Lawson (NSW)	Intact family with no other children present	246
Lawson (NSW)	Intact family with other children present	3
Lawson (NSW)	Other couple family with other children only	3
Lawson (NSW)	Step family with no other children present	21
Leadville	Intact family with no other children present	14
Leconfield	Intact family with no other children present	15
Leconfield	Step family with no other children present	6
Leeton	Blended family with no other children present	58
Leeton	Intact family with no other children present	782
Leeton	Intact family with other children present	6
Leeton	Other couple family with other children only	13
Leeton	Step family with no other children present	39
Leeton	Step family with other children present	5
Leets Vale	Intact family with no other children present	3
Leeville	Intact family with no other children present	25
Leeville	Step family with no other children present	5
Legume	Intact family with no other children present	14
Leichhardt (NSW)	Blended family with no other children present	29
Leichhardt (NSW)	Intact family with no other children present	1592
Leichhardt (NSW)	Intact family with other children present	6
Leichhardt (NSW)	Step family with no other children present	97
Lemon Tree	Intact family with no other children present	11
Lemon Tree Passage	Blended family with no other children present	14
Lemon Tree Passage	Intact family with no other children present	171
Lemon Tree Passage	Other couple family with other children only	6
Lemon Tree Passage	Step family with no other children present	24
Lenaghan	Intact family with no other children present	9
Lennox Head	Blended family with no other children present	33
Lennox Head	Intact family with no other children present	712
Lennox Head	Other couple family with other children only	3
Lennox Head	Step family with no other children present	55
Leonay	Blended family with no other children present	18
Leonay	Intact family with no other children present	312
Leonay	Intact family with other children present	7
Leonay	Step family with no other children present	29
Leppington	Blended family with no other children present	18
Leppington	Intact family with no other children present	431
Leppington	Intact family with other children present	10
Leppington	Step family with no other children present	23
Lethbridge Park	Blended family with no other children present	22
Lethbridge Park	Blended family with other children present	6
Lethbridge Park	Intact family with no other children present	314
Lethbridge Park	Intact family with other children present	20
Lethbridge Park	Other couple family with other children only	10
Lethbridge Park	Step family with no other children present	34
Leumeah	Blended family with no other children present	50
Leumeah	Intact family with no other children present	1010
Leumeah	Intact family with other children present	29
Leumeah	Other couple family with other children only	13
Leumeah	Step family with no other children present	75
Leumeah	Step family with other children present	3
Leura	Blended family with no other children present	13
Leura	Intact family with no other children present	326
Leura	Step family with no other children present	28
Levenstrath	Intact family with no other children present	3
Lewinsbrook	Intact family with no other children present	6
Lewis Ponds	Intact family with no other children present	23
Lewisham (NSW)	Intact family with no other children present	281
Lewisham (NSW)	Step family with no other children present	15
Leycester	Intact family with no other children present	13
Liberty Grove	Blended family with no other children present	5
Liberty Grove	Intact family with no other children present	316
Liberty Grove	Intact family with other children present	4
Liberty Grove	Step family with no other children present	10
Lidcombe	Blended family with no other children present	40
Lidcombe	Intact family with no other children present	2278
Lidcombe	Intact family with other children present	45
Lidcombe	Other couple family with other children only	11
Lidcombe	Step family with no other children present	107
Lidcombe	Step family with other children present	7
Lidsdale	Blended family with no other children present	7
Lidsdale	Intact family with no other children present	41
Lidsdale	Step family with no other children present	4
Lidster	Blended family with no other children present	3
Lidster	Intact family with no other children present	38
Lightning Ridge	Blended family with no other children present	3
Lightning Ridge	Intact family with no other children present	94
Lightning Ridge	Intact family with other children present	8
Lightning Ridge	Other couple family with other children only	4
Lightning Ridge	Step family with no other children present	8
Lilli Pilli (Eurobodalla - NSW)	Intact family with no other children present	48
Lilli Pilli (Eurobodalla - NSW)	Step family with no other children present	6
Lilli Pilli (Sutherland Shire - NSW)	Blended family with no other children present	3
Lilli Pilli (Sutherland Shire - NSW)	Intact family with no other children present	223
Lilli Pilli (Sutherland Shire - NSW)	Step family with no other children present	12
Lillian Rock	Intact family with no other children present	11
Lillian Rock	Step family with no other children present	3
Lilyfield	Blended family with no other children present	14
Lilyfield	Intact family with no other children present	921
Lilyfield	Intact family with other children present	7
Lilyfield	Other couple family with other children only	3
Lilyfield	Step family with no other children present	51
Limbri	Intact family with no other children present	3
Limeburners Creek (Mid-Coast - NSW)	Blended family with no other children present	3
Limeburners Creek (Mid-Coast - NSW)	Intact family with no other children present	36
Limeburners Creek (Mid-Coast - NSW)	Step family with no other children present	3
Limekilns	Intact family with no other children present	9
Limerick	Intact family with no other children present	4
Limpinwood	Intact family with no other children present	19
Limpinwood	Step family with no other children present	3
Linburn	Intact family with no other children present	3
Linden (NSW)	Blended family with no other children present	3
Linden (NSW)	Intact family with no other children present	45
Lindendale	Intact family with no other children present	26
Lindfield	Blended family with no other children present	27
Lindfield	Intact family with no other children present	1431
Lindfield	Intact family with other children present	15
Lindfield	Step family with no other children present	59
Lindifferon	Intact family with no other children present	6
Linley Point	Intact family with no other children present	44
Linley Point	Step family with no other children present	8
Lisarow	Blended family with no other children present	28
Lisarow	Intact family with no other children present	662
Lisarow	Intact family with other children present	7
Lisarow	Other couple family with other children only	3
Lisarow	Step family with no other children present	56
Lismore (NSW)	Blended family with no other children present	15
Lismore (NSW)	Intact family with no other children present	213
Lismore (NSW)	Step family with no other children present	27
Lismore Heights	Blended family with no other children present	8
Lismore Heights	Intact family with no other children present	148
Lismore Heights	Intact family with other children present	3
Lismore Heights	Step family with no other children present	10
Liston	Intact family with no other children present	3
Lithgow	Blended family with no other children present	20
Lithgow	Intact family with no other children present	332
Lithgow	Intact family with other children present	4
Lithgow	Other couple family with other children only	6
Lithgow	Step family with no other children present	46
Little Back Creek	Intact family with no other children present	4
Little Bay	Blended family with no other children present	21
Little Bay	Intact family with no other children present	473
Little Bay	Intact family with other children present	4
Little Bay	Step family with no other children present	33
Little Billabong	Intact family with no other children present	18
Little Forest	Intact family with no other children present	15
Little Hartley	Blended family with no other children present	3
Little Hartley	Intact family with no other children present	55
Little Hartley	Step family with no other children present	3
Little Jacks Creek	Intact family with no other children present	5
Little Jilliby	Intact family with no other children present	8
Little Plain	Blended family with no other children present	3
Little Plain	Intact family with no other children present	18
Little River (NSW)	Intact family with no other children present	5
Little Wobby	Intact family with no other children present	3
Littleton	Blended family with no other children present	6
Littleton	Intact family with no other children present	75
Littleton	Step family with no other children present	3
Liverpool	Blended family with no other children present	67
Liverpool	Blended family with other children present	3
Liverpool	Intact family with no other children present	2955
Liverpool	Intact family with other children present	46
Liverpool	Other couple family with other children only	14
Liverpool	Step family with no other children present	125
Llanarth (NSW)	Blended family with no other children present	11
Llanarth (NSW)	Intact family with no other children present	276
Llanarth (NSW)	Intact family with other children present	3
Llanarth (NSW)	Step family with no other children present	22
Llandilo	Blended family with no other children present	4
Llandilo	Intact family with no other children present	210
Llandilo	Other couple family with other children only	3
Llandilo	Step family with no other children present	5
Llangothlin	Intact family with no other children present	17
Lloyd	Blended family with no other children present	7
Lloyd	Intact family with no other children present	109
Lloyd	Intact family with other children present	3
Lloyd	Other couple family with other children only	3
Lloyd	Step family with no other children present	6
Loadstone	Intact family with no other children present	3
Lochiel (NSW)	Blended family with no other children present	4
Lochiel (NSW)	Intact family with no other children present	29
Lochiel (NSW)	Step family with no other children present	4
Lochinvar	Blended family with no other children present	3
Lochinvar	Intact family with no other children present	89
Lochinvar	Step family with no other children present	4
Lockhart	Blended family with no other children present	10
Lockhart	Intact family with no other children present	87
Lockhart	Step family with no other children present	3
Locksley (NSW)	Intact family with no other children present	3
Loftus	Blended family with no other children present	18
Loftus	Intact family with no other children present	592
Loftus	Intact family with other children present	6
Loftus	Step family with no other children present	21
Loftville	Intact family with no other children present	7
Logans Crossing	Intact family with no other children present	12
Logie Brae	Intact family with no other children present	11
Londonderry (NSW)	Blended family with no other children present	28
Londonderry (NSW)	Intact family with no other children present	431
Londonderry (NSW)	Intact family with other children present	9
Londonderry (NSW)	Other couple family with other children only	3
Londonderry (NSW)	Step family with no other children present	47
Long Beach	Blended family with no other children present	5
Long Beach	Intact family with no other children present	126
Long Beach	Other couple family with other children only	3
Long Beach	Step family with no other children present	9
Long Flat (NSW)	Intact family with no other children present	9
Long Jetty	Blended family with no other children present	26
Long Jetty	Intact family with no other children present	461
Long Jetty	Intact family with other children present	6
Long Jetty	Step family with no other children present	57
Long Jetty	Step family with other children present	3
Long Point (Campbelltown - NSW)	Blended family with no other children present	4
Long Point (Campbelltown - NSW)	Intact family with no other children present	30
Long Point (Singleton - NSW)	Intact family with no other children present	3
Longreach (NSW)	Intact family with no other children present	12
Longueville	Blended family with no other children present	4
Longueville	Intact family with no other children present	331
Longueville	Step family with no other children present	6
Loomberah	Blended family with no other children present	7
Loomberah	Intact family with no other children present	71
Loomberah	Step family with no other children present	6
Lord Howe Island	Intact family with no other children present	30
Lord Howe Island	Step family with no other children present	3
Lords Hill	Intact family with no other children present	3
Lorn	Blended family with no other children present	8
Lorn	Intact family with no other children present	156
Lorn	Step family with no other children present	11
Lorne (NSW)	Intact family with no other children present	23
Lost River	Intact family with no other children present	4
Lostock	Intact family with no other children present	5
Louth	Intact family with no other children present	4
Louth Park	Blended family with no other children present	3
Louth Park	Intact family with no other children present	106
Louth Park	Step family with no other children present	7
Lovedale	Intact family with no other children present	56
Lovedale	Step family with no other children present	8
Lovett Bay	Intact family with no other children present	8
Lowanna	Intact family with no other children present	16
Lowanna	Step family with no other children present	5
Lower Acacia Creek	Intact family with no other children present	3
Lower Belford	Intact family with no other children present	46
Lower Belford	Step family with no other children present	7
Lower Boro	Intact family with no other children present	8
Lower Boro	Step family with no other children present	3
Lower Bottle Creek	Intact family with no other children present	3
Lower Duck Creek	Intact family with no other children present	3
Lower Dyraaba	Intact family with no other children present	3
Lower Lewis Ponds	Intact family with no other children present	3
Lower Macdonald	Intact family with no other children present	27
Lower Macdonald	Step family with no other children present	5
Lower Mangrove	Intact family with no other children present	6
Lower Pappinbarra	Intact family with no other children present	8
Lower Portland	Intact family with no other children present	65
Lower Portland	Step family with no other children present	6
Lower Southgate	Intact family with no other children present	15
Lower Southgate	Step family with no other children present	3
Lowesdale	Intact family with no other children present	12
Lowther	Intact family with no other children present	3
Loxford	Intact family with no other children present	3
Lucknow (NSW)	Blended family with no other children present	3
Lucknow (NSW)	Intact family with no other children present	33
Lucknow (NSW)	Step family with no other children present	4
Luddenham	Blended family with no other children present	13
Luddenham	Intact family with no other children present	253
Luddenham	Intact family with other children present	3
Luddenham	Step family with no other children present	13
Lue	Intact family with no other children present	18
Lue	Step family with no other children present	3
Lugarno	Blended family with no other children present	18
Lugarno	Intact family with no other children present	823
Lugarno	Intact family with other children present	5
Lugarno	Step family with no other children present	31
Lurnea	Blended family with no other children present	30
Lurnea	Intact family with no other children present	1039
Lurnea	Intact family with other children present	23
Lurnea	Other couple family with other children only	12
Lurnea	Step family with no other children present	44
Luskintyre	Intact family with no other children present	23
Luskintyre	Step family with no other children present	3
Lynchs Creek	Intact family with no other children present	9
Lyndhurst (Armidale Regional - NSW)	Intact family with no other children present	3
Lyndhurst (Blayney - NSW)	Intact family with no other children present	28
Lyndhurst (Blayney - NSW)	Step family with no other children present	4
Lynwood (NSW)	Intact family with no other children present	26
Macksville	Blended family with no other children present	17
Macksville	Intact family with no other children present	170
Macksville	Intact family with other children present	4
Macksville	Step family with no other children present	10
Maclean	Blended family with no other children present	11
Maclean	Intact family with no other children present	138
Maclean	Intact family with other children present	3
Maclean	Step family with no other children present	20
Macmasters Beach	Blended family with no other children present	3
Macmasters Beach	Intact family with no other children present	146
Macmasters Beach	Step family with no other children present	8
Macquarie Fields	Blended family with no other children present	58
Macquarie Fields	Intact family with no other children present	1548
Macquarie Fields	Intact family with other children present	38
Macquarie Fields	Other couple family with other children only	13
Macquarie Fields	Step family with no other children present	99
Macquarie Hills	Blended family with no other children present	18
Macquarie Hills	Intact family with no other children present	442
Macquarie Hills	Intact family with other children present	10
Macquarie Hills	Other couple family with other children only	3
Macquarie Hills	Step family with no other children present	25
Macquarie Hills	Step family with other children present	3
Macquarie Links	Blended family with no other children present	7
Macquarie Links	Intact family with no other children present	217
Macquarie Links	Intact family with other children present	6
Macquarie Links	Step family with no other children present	10
Macquarie Park	Blended family with no other children present	6
Macquarie Park	Intact family with no other children present	575
Macquarie Park	Intact family with other children present	3
Macquarie Park	Step family with no other children present	20
Maffra (NSW)	Intact family with no other children present	3
Magenta (NSW)	Intact family with no other children present	7
Magenta (NSW)	Step family with no other children present	7
Maianbar	Blended family with no other children present	5
Maianbar	Intact family with no other children present	53
Maianbar	Step family with no other children present	3
Maimuru	Intact family with no other children present	14
Main Arm	Blended family with no other children present	3
Main Arm	Intact family with no other children present	52
Main Creek	Intact family with no other children present	6
Mairjimmy	Intact family with no other children present	8
Maison Dieu	Intact family with no other children present	21
Maitland (NSW)	Blended family with no other children present	7
Maitland (NSW)	Intact family with no other children present	111
Maitland (NSW)	Other couple family with other children only	4
Maitland (NSW)	Step family with no other children present	14
Maitland Vale	Intact family with no other children present	16
Maitland Vale	Step family with no other children present	3
Majors Creek (NSW)	Blended family with no other children present	4
Majors Creek (NSW)	Intact family with no other children present	16
Majors Creek (NSW)	Other couple family with other children only	3
Malabar	Blended family with no other children present	11
Malabar	Intact family with no other children present	421
Malabar	Intact family with other children present	9
Malabar	Other couple family with other children only	7
Malabar	Step family with no other children present	16
Mallabula	Blended family with no other children present	7
Mallabula	Intact family with no other children present	73
Mallabula	Intact family with other children present	3
Mallabula	Step family with no other children present	13
Mallan	Intact family with no other children present	5
Mallan	Step family with no other children present	3
Mallanganee	Intact family with no other children present	5
Mallowa	Intact family with no other children present	14
Maloneys Beach	Intact family with no other children present	26
Malua Bay	Blended family with no other children present	3
Malua Bay	Intact family with no other children present	140
Malua Bay	Step family with no other children present	11
Manar	Intact family with no other children present	6
Manar	Step family with no other children present	3
Mandagery	Intact family with no other children present	5
Mandalong	Blended family with no other children present	3
Mandalong	Intact family with no other children present	56
Mandalong	Intact family with other children present	3
Mandalong	Step family with no other children present	5
Mandemar	Intact family with no other children present	12
Mandurama	Blended family with no other children present	3
Mandurama	Intact family with no other children present	33
Mangerton	Blended family with no other children present	11
Mangerton	Intact family with no other children present	343
Mangerton	Step family with no other children present	25
Mangoola	Intact family with no other children present	6
Mangoplah	Intact family with no other children present	33
Mangrove Mountain	Blended family with no other children present	8
Mangrove Mountain	Intact family with no other children present	85
Mangrove Mountain	Step family with no other children present	5
Manildra	Blended family with no other children present	7
Manildra	Intact family with no other children present	72
Manildra	Other couple family with other children only	4
Manildra	Step family with no other children present	8
Manilla	Blended family with no other children present	15
Manilla	Intact family with no other children present	168
Manilla	Intact family with other children present	3
Manilla	Step family with no other children present	15
Manly (NSW)	Blended family with no other children present	18
Manly (NSW)	Intact family with no other children present	1288
Manly (NSW)	Intact family with other children present	10
Manly (NSW)	Other couple family with other children only	3
Manly (NSW)	Step family with no other children present	85
Manly Vale	Blended family with no other children present	7
Manly Vale	Intact family with no other children present	735
Manly Vale	Intact family with other children present	7
Manly Vale	Other couple family with other children only	3
Manly Vale	Step family with no other children present	33
Mannering Park	Blended family with no other children present	34
Mannering Park	Intact family with no other children present	191
Mannering Park	Intact family with other children present	9
Mannering Park	Step family with no other children present	30
Manning Point	Intact family with no other children present	5
Mannus	Intact family with no other children present	6
Manobalai	Intact family with no other children present	7
Manton (NSW)	Blended family with no other children present	3
Manton (NSW)	Intact family with no other children present	29
Manton (NSW)	Step family with no other children present	6
Manyana	Intact family with no other children present	33
Manyana	Step family with no other children present	5
Maragle	Intact family with no other children present	3
Maragle	Step family with no other children present	3
Maraylya	Blended family with no other children present	10
Maraylya	Intact family with no other children present	161
Maraylya	Intact family with other children present	3
Maraylya	Step family with no other children present	10
Marayong	Blended family with no other children present	41
Marayong	Intact family with no other children present	867
Marayong	Intact family with other children present	13
Marayong	Other couple family with other children only	7
Marayong	Step family with no other children present	47
March	Intact family with no other children present	14
Marchmont	Intact family with no other children present	28
Mardi	Blended family with no other children present	22
Mardi	Blended family with other children present	3
Mardi	Intact family with no other children present	404
Mardi	Other couple family with other children only	3
Mardi	Step family with no other children present	54
Marinna	Intact family with no other children present	3
Marks Point	Blended family with no other children present	12
Marks Point	Intact family with no other children present	119
Marks Point	Step family with no other children present	9
Markwell	Intact family with no other children present	10
Marlee	Intact family with no other children present	22
Marlee	Step family with no other children present	3
Marlo Merrican	Intact family with no other children present	8
Marmong Point	Intact family with no other children present	81
Marmong Point	Step family with no other children present	3
Marom Creek	Intact family with no other children present	14
Marom Creek	Step family with no other children present	4
Maroota	Blended family with no other children present	3
Maroota	Intact family with no other children present	67
Maroota	Step family with no other children present	3
Maroubra	Blended family with no other children present	53
Maroubra	Blended family with other children present	3
Maroubra	Intact family with no other children present	3309
Maroubra	Intact family with other children present	26
Maroubra	Other couple family with other children only	12
Maroubra	Step family with no other children present	139
Maroubra	Step family with other children present	3
Marrangaroo	Blended family with no other children present	3
Marrangaroo	Intact family with no other children present	62
Marrangaroo	Intact family with other children present	4
Marrar	Blended family with no other children present	3
Marrar	Intact family with no other children present	41
Marrar	Step family with no other children present	7
Marrickville	Blended family with no other children present	46
Marrickville	Blended family with other children present	3
Marrickville	Intact family with no other children present	2331
Marrickville	Intact family with other children present	28
Marrickville	Other couple family with other children only	10
Marrickville	Step family with no other children present	137
Marsden Park	Blended family with no other children present	6
Marsden Park	Intact family with no other children present	96
Marsden Park	Intact family with other children present	4
Marsden Park	Step family with no other children present	4
Marsfield	Blended family with no other children present	23
Marsfield	Intact family with no other children present	1374
Marsfield	Intact family with other children present	21
Marsfield	Step family with no other children present	63
Marsfield	Step family with other children present	3
Marshall Mount	Intact family with no other children present	17
Marshdale	Intact family with no other children present	4
Marthaguy	Intact family with no other children present	6
Martindale	Intact family with no other children present	11
Martindale	Step family with no other children present	3
Martins Creek	Intact family with no other children present	39
Martins Creek	Step family with no other children present	4
Martinsville	Blended family with no other children present	3
Martinsville	Intact family with no other children present	34
Martinsville	Step family with no other children present	9
Marulan	Blended family with no other children present	9
Marulan	Intact family with no other children present	98
Marulan	Step family with no other children present	15
Maryland (Newcastle - NSW)	Blended family with no other children present	68
Maryland (Newcastle - NSW)	Intact family with no other children present	901
Maryland (Newcastle - NSW)	Intact family with other children present	22
Maryland (Newcastle - NSW)	Other couple family with other children only	4
Maryland (Newcastle - NSW)	Step family with no other children present	76
Maryland (Newcastle - NSW)	Step family with other children present	4
Maryland (Tenterfield - NSW)	Intact family with no other children present	4
Marys Mount	Intact family with no other children present	11
Maryvale (NSW)	Blended family with no other children present	3
Maryvale (NSW)	Intact family with no other children present	14
Maryville	Blended family with no other children present	3
Maryville	Intact family with no other children present	110
Maryville	Intact family with other children present	3
Maryville	Step family with no other children present	13
Mascot	Blended family with no other children present	46
Mascot	Intact family with no other children present	1405
Mascot	Intact family with other children present	20
Mascot	Other couple family with other children only	4
Mascot	Step family with no other children present	70
Matcham	Blended family with no other children present	8
Matcham	Intact family with no other children present	144
Matcham	Step family with no other children present	7
Matheson	Intact family with no other children present	6
Mathoura	Blended family with no other children present	5
Mathoura	Intact family with no other children present	61
Mathoura	Other couple family with other children only	3
Mathoura	Step family with no other children present	7
Matong	Intact family with no other children present	14
Matraville	Blended family with no other children present	38
Matraville	Intact family with no other children present	1196
Matraville	Intact family with other children present	7
Matraville	Other couple family with other children only	3
Matraville	Step family with no other children present	71
Maude (NSW)	Intact family with no other children present	9
Maude (NSW)	Step family with no other children present	3
Maules Creek	Intact family with no other children present	14
Maxwell	Intact family with no other children present	12
Maybole	Intact family with no other children present	3
Mayers Flat	Intact family with no other children present	7
Mayfield (Newcastle - NSW)	Blended family with no other children present	27
Mayfield (Newcastle - NSW)	Intact family with no other children present	678
Mayfield (Newcastle - NSW)	Intact family with other children present	5
Mayfield (Newcastle - NSW)	Other couple family with other children only	8
Mayfield (Newcastle - NSW)	Step family with no other children present	63
Mayfield (Queanbeyan-Palerang Regional - NSW)	Intact family with no other children present	3
Mayfield (Shoalhaven - NSW)	Intact family with no other children present	3
Mayfield East	Blended family with no other children present	4
Mayfield East	Intact family with no other children present	119
Mayfield East	Step family with no other children present	15
Mayfield West	Blended family with no other children present	12
Mayfield West	Intact family with no other children present	148
Mayfield West	Step family with no other children present	15
Mayrung	Intact family with no other children present	15
Mays Hill	Intact family with no other children present	97
Mays Hill	Step family with no other children present	3
Mayvale	Intact family with no other children present	3
McCullys Gap	Blended family with no other children present	3
McCullys Gap	Intact family with no other children present	32
McCullys Gap	Step family with no other children present	3
McDougalls Hill	Intact family with no other children present	7
McDougalls Hill	Step family with no other children present	5
McGraths Hill	Blended family with no other children present	23
McGraths Hill	Intact family with no other children present	324
McGraths Hill	Intact family with other children present	4
McGraths Hill	Other couple family with other children only	4
McGraths Hill	Step family with no other children present	22
McKees Hill	Intact family with no other children present	39
McKees Hill	Step family with no other children present	4
McKellars Park	Blended family with no other children present	4
McKellars Park	Intact family with no other children present	20
McLeans Ridges	Blended family with no other children present	3
McLeans Ridges	Intact family with no other children present	66
McLeods Shoot	Intact family with no other children present	10
McMahons Point	Blended family with no other children present	3
McMahons Point	Intact family with no other children present	138
McMahons Point	Step family with no other children present	10
McMahons Reef	Blended family with no other children present	3
McMahons Reef	Intact family with no other children present	8
Meadow Flat	Blended family with no other children present	4
Meadow Flat	Intact family with no other children present	42
Meadowbank (NSW)	Blended family with no other children present	4
Meadowbank (NSW)	Intact family with no other children present	397
Meadowbank (NSW)	Step family with no other children present	13
Mebul	Intact family with no other children present	3
Medlow Bath	Blended family with no other children present	6
Medlow Bath	Intact family with no other children present	39
Medlow Bath	Step family with no other children present	7
Medowie	Blended family with no other children present	47
Medowie	Intact family with no other children present	1184
Medowie	Intact family with other children present	9
Medowie	Other couple family with other children only	7
Medowie	Step family with no other children present	82
Medowie	Step family with other children present	5
Medway	Intact family with no other children present	12
Meerschaum Vale	Intact family with no other children present	36
Meerschaum Vale	Step family with no other children present	4
Megalong Valley	Intact family with no other children present	20
Megan	Intact family with no other children present	12
Melinga	Intact family with no other children present	10
Mellool	Intact family with no other children present	7
Melrose Park (NSW)	Blended family with no other children present	5
Melrose Park (NSW)	Intact family with no other children present	239
Melrose Park (NSW)	Step family with no other children present	13
Melville (NSW)	Intact family with no other children present	9
Memagong	Intact family with no other children present	15
Menah	Intact family with no other children present	14
Menai	Blended family with no other children present	54
Menai	Intact family with no other children present	1505
Menai	Intact family with other children present	14
Menai	Other couple family with other children only	4
Menai	Step family with no other children present	93
Menangle	Intact family with no other children present	141
Menangle	Step family with no other children present	6
Menangle Park	Intact family with no other children present	24
Menangle Park	Step family with no other children present	3
Mendooran	Blended family with no other children present	3
Mendooran	Intact family with no other children present	42
Mendooran	Step family with no other children present	3
Menindee	Intact family with no other children present	29
Menindee	Other couple family with other children only	6
Merah North	Intact family with no other children present	19
Merewether	Blended family with no other children present	41
Merewether	Intact family with no other children present	1181
Merewether	Intact family with other children present	7
Merewether	Step family with no other children present	66
Merewether Heights	Blended family with no other children present	4
Merewether Heights	Intact family with no other children present	184
Merewether Heights	Step family with no other children present	17
Merimbula	Blended family with no other children present	7
Merimbula	Intact family with no other children present	170
Merimbula	Other couple family with other children only	5
Merimbula	Step family with no other children present	38
Meringo	Intact family with no other children present	10
Meroo	Intact family with no other children present	6
Meroo Meadow	Blended family with no other children present	3
Meroo Meadow	Intact family with no other children present	54
Meroo Meadow	Step family with no other children present	12
Merricumbene	Intact family with no other children present	3
Merrigal	Intact family with no other children present	3
Merrill	Intact family with no other children present	6
Merriwa (NSW)	Blended family with no other children present	11
Merriwa (NSW)	Intact family with no other children present	143
Merriwa (NSW)	Other couple family with other children only	4
Merriwa (NSW)	Step family with no other children present	14
Merriwagga	Intact family with no other children present	10
Merrygoen	Intact family with no other children present	12
Merrylands	Blended family with no other children present	85
Merrylands	Blended family with other children present	5
Merrylands	Intact family with no other children present	3578
Merrylands	Intact family with other children present	59
Merrylands	Other couple family with other children only	9
Merrylands	Step family with no other children present	119
Merrylands	Step family with other children present	3
Merrylands West	Blended family with no other children present	23
Merrylands West	Intact family with no other children present	703
Merrylands West	Intact family with other children present	13
Merrylands West	Other couple family with other children only	3
Merrylands West	Step family with no other children present	52
Merungle Hill	Intact family with no other children present	21
Merungle Hill	Other couple family with other children only	3
Metford	Blended family with no other children present	37
Metford	Intact family with no other children present	455
Metford	Intact family with other children present	4
Metford	Other couple family with other children only	3
Metford	Step family with no other children present	40
Methul	Intact family with no other children present	9
Metz	Intact family with no other children present	15
Miandetta (NSW)	Intact family with no other children present	4
Micalo Island	Intact family with no other children present	4
Micalo Island	Step family with no other children present	3
Michelago	Blended family with no other children present	4
Michelago	Intact family with no other children present	69
Michelago	Intact family with other children present	3
Michelago	Step family with no other children present	10
Middle Arm	Intact family with no other children present	43
Middle Arm	Step family with no other children present	7
Middle Brook	Intact family with no other children present	24
Middle Brook	Step family with no other children present	4
Middle Brother	Intact family with no other children present	4
Middle Cove	Blended family with no other children present	8
Middle Cove	Intact family with no other children present	212
Middle Cove	Intact family with other children present	3
Middle Cove	Step family with no other children present	3
Middle Dural	Blended family with no other children present	4
Middle Dural	Intact family with no other children present	124
Middle Dural	Intact family with other children present	6
Middle Dural	Step family with no other children present	4
Middle Falbrook	Intact family with no other children present	11
Middle Flat	Intact family with no other children present	7
Middle Pocket	Intact family with no other children present	16
Middleton Grange	Blended family with no other children present	26
Middleton Grange	Intact family with no other children present	793
Middleton Grange	Intact family with other children present	10
Middleton Grange	Step family with no other children present	30
Midginbil	Intact family with no other children present	4
Mihi	Intact family with no other children present	6
Mila	Intact family with no other children present	3
Milbrodale	Blended family with no other children present	4
Milbrodale	Intact family with no other children present	11
Milbrulong	Intact family with no other children present	8
Millah Murrah	Intact family with no other children present	5
Millbank (NSW)	Intact family with no other children present	3
Miller	Blended family with no other children present	15
Miller	Intact family with no other children present	249
Miller	Intact family with other children present	6
Miller	Other couple family with other children only	5
Miller	Step family with no other children present	20
Miller	Step family with other children present	3
Millers Forest	Blended family with no other children present	5
Millers Forest	Intact family with no other children present	37
Millers Point	Intact family with no other children present	68
Millers Point	Step family with no other children present	7
Millfield	Blended family with no other children present	5
Millfield	Intact family with no other children present	96
Millfield	Intact family with other children present	3
Millfield	Step family with no other children present	8
Millie	Intact family with no other children present	3
Millingandi	Blended family with no other children present	3
Millingandi	Intact family with no other children present	21
Millingandi	Step family with no other children present	3
Millthorpe	Blended family with no other children present	10
Millthorpe	Intact family with no other children present	137
Millthorpe	Other couple family with other children only	3
Millthorpe	Step family with no other children present	11
Milparinka	Intact family with no other children present	6
Milperra	Blended family with no other children present	17
Milperra	Intact family with no other children present	530
Milperra	Intact family with other children present	4
Milperra	Step family with no other children present	28
Milroy (Gunnedah - NSW)	Intact family with no other children present	7
Milroy (Mid-Western Regional - NSW)	Intact family with no other children present	8
Milsons Point	Blended family with no other children present	4
Milsons Point	Intact family with no other children present	149
Milsons Point	Step family with no other children present	9
Milton (NSW)	Blended family with no other children present	3
Milton (NSW)	Intact family with no other children present	122
Milton (NSW)	Intact family with other children present	3
Milton (NSW)	Step family with no other children present	8
Milvale	Intact family with no other children present	10
Mimosa (NSW)	Intact family with no other children present	14
Minchinbury	Blended family with no other children present	33
Minchinbury	Intact family with no other children present	838
Minchinbury	Intact family with other children present	11
Minchinbury	Other couple family with other children only	3
Minchinbury	Step family with no other children present	39
Mindaribba	Intact family with no other children present	10
Minimbah	Intact family with no other children present	17
