SSC_NAME16	NonSchoolQualification	persons
Darlinghurst	Postgraduate	1439
Darlington (Singleton - NSW)	Certificate nfd	4
Darlington (Singleton - NSW)	Certificate I and II Level	5
Darlington (Singleton - NSW)	Certificate III and IV Level	76
Darlington (Singleton - NSW)	Advanced Diploma and Diploma	21
Darlington (Singleton - NSW)	Bachelor	33
Darlington (Singleton - NSW)	Graduate Diploma and Graduate Certificate	3
Darlington (Singleton - NSW)	Postgraduate	3
Darlington (Sydney - NSW)	Certificate nfd	26
Darlington (Sydney - NSW)	Certificate I and II Level	5
Darlington (Sydney - NSW)	Certificate III and IV Level	114
Darlington (Sydney - NSW)	Advanced Diploma and Diploma	149
Darlington (Sydney - NSW)	Bachelor	1030
Darlington (Sydney - NSW)	Graduate Diploma and Graduate Certificate	67
Darlington (Sydney - NSW)	Postgraduate	353
Darlington Point	Certificate nfd	24
Darlington Point	Certificate I and II Level	16
Darlington Point	Certificate III and IV Level	158
Darlington Point	Advanced Diploma and Diploma	43
Darlington Point	Bachelor	55
Darlington Point	Graduate Diploma and Graduate Certificate	8
Darlington Point	Postgraduate	3
Darlow	Certificate III and IV Level	4
Darlow	Advanced Diploma and Diploma	3
Dartbrook	Certificate I and II Level	4
Dartbrook	Certificate III and IV Level	15
Dartbrook	Advanced Diploma and Diploma	9
Dartbrook	Bachelor	5
Dartbrook	Graduate Diploma and Graduate Certificate	3
Daruka	Certificate nfd	11
Daruka	Certificate I and II Level	15
Daruka	Certificate III and IV Level	159
Daruka	Advanced Diploma and Diploma	97
Daruka	Bachelor	86
Daruka	Graduate Diploma and Graduate Certificate	10
Daruka	Postgraduate	22
Davidson	Certificate nfd	91
Davidson	Certificate I and II Level	17
Davidson	Certificate III and IV Level	260
Davidson	Advanced Diploma and Diploma	292
Davidson	Bachelor	500
Davidson	Graduate Diploma and Graduate Certificate	71
Davidson	Postgraduate	151
Davis Creek	Certificate I and II Level	3
Davis Creek	Certificate III and IV Level	3
Davistown	Certificate nfd	57
Davistown	Certificate I and II Level	29
Davistown	Certificate III and IV Level	505
Davistown	Advanced Diploma and Diploma	232
Davistown	Bachelor	168
Davistown	Graduate Diploma and Graduate Certificate	27
Davistown	Postgraduate	29
Dawes Point	Certificate nfd	3
Dawes Point	Certificate III and IV Level	13
Dawes Point	Advanced Diploma and Diploma	24
Dawes Point	Bachelor	113
Dawes Point	Graduate Diploma and Graduate Certificate	7
Dawes Point	Postgraduate	67
Daysdale	Certificate nfd	3
Daysdale	Certificate III and IV Level	8
Daysdale	Advanced Diploma and Diploma	4
Daysdale	Bachelor	5
Daysdale	Graduate Diploma and Graduate Certificate	3
Dean Park	Certificate nfd	39
Dean Park	Certificate I and II Level	32
Dean Park	Certificate III and IV Level	476
Dean Park	Advanced Diploma and Diploma	205
Dean Park	Bachelor	267
Dean Park	Graduate Diploma and Graduate Certificate	18
Dean Park	Postgraduate	73
Deauville	Certificate III and IV Level	9
Deauville	Advanced Diploma and Diploma	3
Dee Why	Certificate nfd	453
Dee Why	Certificate I and II Level	205
Dee Why	Certificate III and IV Level	2523
Dee Why	Advanced Diploma and Diploma	2183
Dee Why	Bachelor	3786
Dee Why	Graduate Diploma and Graduate Certificate	363
Dee Why	Postgraduate	1078
Deep Creek (Clarence Valley - NSW)	Postgraduate	3
Deep Creek (Kempsey - NSW)	Certificate nfd	5
Deep Creek (Kempsey - NSW)	Certificate III and IV Level	17
Deep Creek (Kempsey - NSW)	Advanced Diploma and Diploma	6
Deep Creek (Kempsey - NSW)	Bachelor	4
Deep Creek (Kyogle - NSW)	Certificate III and IV Level	8
Deep Creek (Kyogle - NSW)	Graduate Diploma and Graduate Certificate	3
Deepwater (NSW)	Certificate nfd	7
Deepwater (NSW)	Certificate I and II Level	8
Deepwater (NSW)	Certificate III and IV Level	71
Deepwater (NSW)	Advanced Diploma and Diploma	29
Deepwater (NSW)	Bachelor	21
Deepwater (NSW)	Graduate Diploma and Graduate Certificate	3
Deepwater (NSW)	Postgraduate	4
Deer Vale	Certificate nfd	4
Deer Vale	Certificate I and II Level	3
Deer Vale	Certificate III and IV Level	17
Deer Vale	Advanced Diploma and Diploma	11
Deer Vale	Bachelor	10
Delegate	Certificate nfd	3
Delegate	Certificate I and II Level	3
Delegate	Certificate III and IV Level	47
Delegate	Advanced Diploma and Diploma	23
Delegate	Bachelor	15
Delungra	Certificate nfd	15
Delungra	Certificate I and II Level	8
Delungra	Certificate III and IV Level	94
Delungra	Advanced Diploma and Diploma	25
Delungra	Bachelor	26
Delungra	Graduate Diploma and Graduate Certificate	10
Delungra	Postgraduate	4
Denham Court	Certificate nfd	49
Denham Court	Certificate I and II Level	10
Denham Court	Certificate III and IV Level	282
Denham Court	Advanced Diploma and Diploma	136
Denham Court	Bachelor	249
Denham Court	Graduate Diploma and Graduate Certificate	18
Denham Court	Postgraduate	73
Denhams Beach	Certificate nfd	23
Denhams Beach	Certificate I and II Level	8
Denhams Beach	Certificate III and IV Level	79
Denhams Beach	Advanced Diploma and Diploma	44
Denhams Beach	Bachelor	46
Denhams Beach	Graduate Diploma and Graduate Certificate	12
Denhams Beach	Postgraduate	7
Deniliquin	Certificate nfd	131
Deniliquin	Certificate I and II Level	87
Deniliquin	Certificate III and IV Level	1212
Deniliquin	Advanced Diploma and Diploma	428
Deniliquin	Bachelor	478
Deniliquin	Graduate Diploma and Graduate Certificate	80
Deniliquin	Postgraduate	85
Denistone	Certificate nfd	65
Denistone	Certificate I and II Level	21
Denistone	Certificate III and IV Level	257
Denistone	Advanced Diploma and Diploma	266
Denistone	Bachelor	849
Denistone	Graduate Diploma and Graduate Certificate	96
Denistone	Postgraduate	348
Denistone East	Certificate nfd	41
Denistone East	Certificate I and II Level	12
Denistone East	Certificate III and IV Level	150
Denistone East	Advanced Diploma and Diploma	175
Denistone East	Bachelor	444
Denistone East	Graduate Diploma and Graduate Certificate	41
Denistone East	Postgraduate	218
Denistone West	Certificate nfd	18
Denistone West	Certificate I and II Level	5
Denistone West	Certificate III and IV Level	54
Denistone West	Advanced Diploma and Diploma	69
Denistone West	Bachelor	196
Denistone West	Graduate Diploma and Graduate Certificate	17
Denistone West	Postgraduate	100
Denman	Certificate nfd	29
Denman	Certificate I and II Level	19
Denman	Certificate III and IV Level	316
Denman	Advanced Diploma and Diploma	99
Denman	Bachelor	58
Denman	Graduate Diploma and Graduate Certificate	8
Denman	Postgraduate	8
Depot Beach	Certificate nfd	3
Depot Beach	Certificate III and IV Level	4
Depot Beach	Bachelor	3
Derriwong	Certificate III and IV Level	10
Deua River Valley	Certificate nfd	5
Deua River Valley	Certificate III and IV Level	13
Deua River Valley	Advanced Diploma and Diploma	4
Deua River Valley	Bachelor	10
Devils Hole	Certificate III and IV Level	3
Devils Hole	Bachelor	3
Dharruk	Certificate nfd	46
Dharruk	Certificate I and II Level	32
Dharruk	Certificate III and IV Level	315
Dharruk	Advanced Diploma and Diploma	143
Dharruk	Bachelor	135
Dharruk	Graduate Diploma and Graduate Certificate	12
Dharruk	Postgraduate	26
Dhulura	Bachelor	9
Dhuragoon	Certificate III and IV Level	5
Diamond Beach	Certificate nfd	26
Diamond Beach	Certificate I and II Level	9
Diamond Beach	Certificate III and IV Level	178
Diamond Beach	Advanced Diploma and Diploma	96
Diamond Beach	Bachelor	77
Diamond Beach	Graduate Diploma and Graduate Certificate	17
Diamond Beach	Postgraduate	15
Diehard	Certificate I and II Level	4
Diehard	Certificate III and IV Level	8
Diehard	Advanced Diploma and Diploma	3
Diehard	Bachelor	3
Diggers Camp	Certificate III and IV Level	3
Dignams Creek	Certificate I and II Level	7
Dignams Creek	Certificate III and IV Level	11
Dignams Creek	Advanced Diploma and Diploma	4
Dignams Creek	Bachelor	13
Dignams Creek	Graduate Diploma and Graduate Certificate	3
Dignams Creek	Postgraduate	4
Dilkoon	Certificate III and IV Level	13
Dilkoon	Advanced Diploma and Diploma	3
Dilpurra	Advanced Diploma and Diploma	7
Dinoga	Certificate III and IV Level	8
Dinoga	Advanced Diploma and Diploma	3
Dinoga	Bachelor	3
Dirnaseer	Certificate I and II Level	3
Dirnaseer	Certificate III and IV Level	14
Dirnaseer	Advanced Diploma and Diploma	5
Dirnaseer	Bachelor	6
Dirty Creek	Certificate III and IV Level	19
Dirty Creek	Advanced Diploma and Diploma	6
Dirty Creek	Bachelor	3
Dobies Bight	Certificate I and II Level	4
Dobies Bight	Certificate III and IV Level	12
Dobies Bight	Advanced Diploma and Diploma	8
Dobies Bight	Bachelor	14
Dobies Bight	Graduate Diploma and Graduate Certificate	3
Dobies Bight	Postgraduate	3
Doctor George Mountain	Certificate III and IV Level	10
Doctor George Mountain	Advanced Diploma and Diploma	7
Doctor George Mountain	Bachelor	8
Doctor George Mountain	Postgraduate	3
Doctors Gap	Certificate III and IV Level	5
Doctors Gap	Bachelor	3
Dolans Bay	Certificate nfd	17
Dolans Bay	Certificate III and IV Level	81
Dolans Bay	Advanced Diploma and Diploma	69
Dolans Bay	Bachelor	100
Dolans Bay	Graduate Diploma and Graduate Certificate	10
Dolans Bay	Postgraduate	30
Dolls Point	Certificate nfd	52
Dolls Point	Certificate I and II Level	23
Dolls Point	Certificate III and IV Level	214
Dolls Point	Advanced Diploma and Diploma	196
Dolls Point	Bachelor	238
Dolls Point	Graduate Diploma and Graduate Certificate	25
Dolls Point	Postgraduate	62
Dollys Flat	Certificate III and IV Level	12
Dollys Flat	Advanced Diploma and Diploma	5
Dollys Flat	Bachelor	3
Dolphin Point	Certificate nfd	3
Dolphin Point	Certificate III and IV Level	35
Dolphin Point	Advanced Diploma and Diploma	16
Dolphin Point	Bachelor	16
Dolphin Point	Graduate Diploma and Graduate Certificate	8
Dolphin Point	Postgraduate	3
Dombarton	Certificate nfd	3
Dombarton	Certificate I and II Level	3
Dombarton	Certificate III and IV Level	22
Dombarton	Advanced Diploma and Diploma	8
Dombarton	Bachelor	17
Dombarton	Postgraduate	5
Donald Creek	Certificate III and IV Level	3
Donald Creek	Advanced Diploma and Diploma	3
Donald Creek	Bachelor	4
Donald Creek	Postgraduate	4
Dondingalong	Certificate nfd	21
Dondingalong	Certificate I and II Level	9
Dondingalong	Certificate III and IV Level	133
Dondingalong	Advanced Diploma and Diploma	47
Dondingalong	Bachelor	40
Dondingalong	Graduate Diploma and Graduate Certificate	11
Dondingalong	Postgraduate	5
Doon Doon	Certificate III and IV Level	7
Doon Doon	Advanced Diploma and Diploma	8
Doon Doon	Bachelor	12
Doon Doon	Postgraduate	3
Doonbah	Certificate nfd	7
Doonbah	Certificate I and II Level	3
Doonbah	Certificate III and IV Level	40
Doonbah	Advanced Diploma and Diploma	13
Doonbah	Bachelor	16
Doonside	Certificate nfd	202
Doonside	Certificate I and II Level	145
Doonside	Certificate III and IV Level	1422
Doonside	Advanced Diploma and Diploma	834
Doonside	Bachelor	1314
Doonside	Graduate Diploma and Graduate Certificate	81
Doonside	Postgraduate	326
Dooralong	Certificate nfd	8
Dooralong	Certificate I and II Level	4
Dooralong	Certificate III and IV Level	54
Dooralong	Advanced Diploma and Diploma	34
Dooralong	Bachelor	36
Dooralong	Graduate Diploma and Graduate Certificate	4
Dooralong	Postgraduate	9
Dora Creek	Certificate nfd	43
Dora Creek	Certificate I and II Level	16
Dora Creek	Certificate III and IV Level	325
Dora Creek	Advanced Diploma and Diploma	110
Dora Creek	Bachelor	110
Dora Creek	Graduate Diploma and Graduate Certificate	16
Dora Creek	Postgraduate	33
Dorrigo	Certificate nfd	29
Dorrigo	Certificate I and II Level	15
Dorrigo	Certificate III and IV Level	187
Dorrigo	Advanced Diploma and Diploma	70
Dorrigo	Bachelor	94
Dorrigo	Graduate Diploma and Graduate Certificate	18
Dorrigo	Postgraduate	15
Dorrigo Mountain	Certificate nfd	7
Dorrigo Mountain	Certificate I and II Level	3
Dorrigo Mountain	Certificate III and IV Level	11
Dorrigo Mountain	Advanced Diploma and Diploma	11
Dorrigo Mountain	Bachelor	16
Dorrigo Mountain	Postgraduate	6
Dorroughby	Certificate nfd	3
Dorroughby	Certificate I and II Level	3
Dorroughby	Certificate III and IV Level	15
Dorroughby	Advanced Diploma and Diploma	8
Dorroughby	Bachelor	21
Dorroughby	Postgraduate	3
Double Bay	Certificate nfd	64
Double Bay	Certificate I and II Level	23
Double Bay	Certificate III and IV Level	168
Double Bay	Advanced Diploma and Diploma	349
Double Bay	Bachelor	1377
Double Bay	Graduate Diploma and Graduate Certificate	104
Double Bay	Postgraduate	554
Doubtful Creek	Certificate nfd	4
Doubtful Creek	Certificate III and IV Level	23
Doubtful Creek	Advanced Diploma and Diploma	12
Doubtful Creek	Bachelor	6
Doubtful Creek	Graduate Diploma and Graduate Certificate	3
Douglas Park	Certificate nfd	24
Douglas Park	Certificate I and II Level	12
Douglas Park	Certificate III and IV Level	260
Douglas Park	Advanced Diploma and Diploma	94
Douglas Park	Bachelor	119
Douglas Park	Graduate Diploma and Graduate Certificate	19
Douglas Park	Postgraduate	28
Dover Heights	Certificate nfd	57
Dover Heights	Certificate I and II Level	9
Dover Heights	Certificate III and IV Level	158
Dover Heights	Advanced Diploma and Diploma	302
Dover Heights	Bachelor	1026
Dover Heights	Graduate Diploma and Graduate Certificate	66
Dover Heights	Postgraduate	334
Downside	Certificate nfd	3
Downside	Certificate I and II Level	3
Downside	Certificate III and IV Level	19
Downside	Advanced Diploma and Diploma	5
Downside	Bachelor	19
Doyalson	Certificate nfd	3
Doyalson	Certificate I and II Level	3
Doyalson	Certificate III and IV Level	51
Doyalson	Advanced Diploma and Diploma	14
Doyalson	Bachelor	8
Doyalson North	Certificate nfd	7
Doyalson North	Certificate I and II Level	3
Doyalson North	Certificate III and IV Level	79
Doyalson North	Advanced Diploma and Diploma	23
Doyalson North	Bachelor	9
Doyles Creek	Certificate III and IV Level	16
Drake	Certificate nfd	3
Drake	Certificate III and IV Level	57
Drake	Advanced Diploma and Diploma	15
Drake	Bachelor	13
Drake	Graduate Diploma and Graduate Certificate	4
Drake	Postgraduate	4
Drildool	Bachelor	3
Dripstone	Certificate III and IV Level	15
Dripstone	Advanced Diploma and Diploma	7
Dripstone	Bachelor	4
Dripstone	Graduate Diploma and Graduate Certificate	5
Drummoyne	Certificate nfd	235
Drummoyne	Certificate I and II Level	69
Drummoyne	Certificate III and IV Level	894
Drummoyne	Advanced Diploma and Diploma	1021
Drummoyne	Bachelor	2627
Drummoyne	Graduate Diploma and Graduate Certificate	311
Drummoyne	Postgraduate	1055
Dry Creek (NSW)	Certificate III and IV Level	4
Dry Creek (NSW)	Advanced Diploma and Diploma	3
Dry Creek (NSW)	Bachelor	8
Dry Plain	Certificate III and IV Level	6
Dry Plain	Advanced Diploma and Diploma	3
Dry Plain	Bachelor	3
Dubbo	Certificate nfd	656
Dubbo	Certificate I and II Level	492
Dubbo	Certificate III and IV Level	6226
Dubbo	Advanced Diploma and Diploma	2270
Dubbo	Bachelor	3443
Dubbo	Graduate Diploma and Graduate Certificate	488
Dubbo	Postgraduate	721
Duck Creek	Certificate III and IV Level	5
Duck Creek	Bachelor	4
Duck Creek	Graduate Diploma and Graduate Certificate	3
Duckenfield	Certificate I and II Level	4
Duckenfield	Certificate III and IV Level	26
Duckenfield	Advanced Diploma and Diploma	4
Duckenfield	Bachelor	11
Duckenfield	Postgraduate	3
Duckmaloi	Certificate nfd	4
Duckmaloi	Certificate III and IV Level	13
Duckmaloi	Bachelor	3
Dudley	Certificate nfd	48
Dudley	Certificate I and II Level	11
Dudley	Certificate III and IV Level	334
Dudley	Advanced Diploma and Diploma	208
Dudley	Bachelor	410
Dudley	Graduate Diploma and Graduate Certificate	40
Dudley	Postgraduate	130
Duffys Forest	Certificate nfd	8
Duffys Forest	Certificate I and II Level	3
Duffys Forest	Certificate III and IV Level	45
Duffys Forest	Advanced Diploma and Diploma	32
Duffys Forest	Bachelor	100
Duffys Forest	Graduate Diploma and Graduate Certificate	5
Duffys Forest	Postgraduate	21
Dulguigan	Certificate I and II Level	4
Dulguigan	Certificate III and IV Level	20
Dulguigan	Advanced Diploma and Diploma	17
Dulguigan	Bachelor	20
Dulguigan	Graduate Diploma and Graduate Certificate	3
Dulwich Hill	Certificate nfd	164
Dulwich Hill	Certificate I and II Level	97
Dulwich Hill	Certificate III and IV Level	1144
Dulwich Hill	Advanced Diploma and Diploma	1062
Dulwich Hill	Bachelor	2774
Dulwich Hill	Graduate Diploma and Graduate Certificate	428
Dulwich Hill	Postgraduate	1157
Dum Dum	Certificate III and IV Level	15
Dum Dum	Advanced Diploma and Diploma	11
Dum Dum	Bachelor	18
Dum Dum	Graduate Diploma and Graduate Certificate	3
Dum Dum	Postgraduate	4
Dumaresq	Certificate nfd	3
Dumaresq	Certificate III and IV Level	6
Dumaresq	Advanced Diploma and Diploma	9
Dumaresq	Bachelor	13
Dumaresq	Postgraduate	4
Dumaresq Island	Certificate III and IV Level	12
Dumaresq Island	Advanced Diploma and Diploma	9
Dumaresq Island	Bachelor	4
Dumaresq Island	Postgraduate	3
Dumaresq Valley	Certificate I and II Level	3
Dumaresq Valley	Advanced Diploma and Diploma	3
Dumaresq Valley	Bachelor	7
Dunbible	Certificate nfd	8
Dunbible	Certificate I and II Level	3
Dunbible	Certificate III and IV Level	54
Dunbible	Advanced Diploma and Diploma	24
Dunbible	Bachelor	42
Dunbible	Graduate Diploma and Graduate Certificate	9
Dunbible	Postgraduate	3
Dunbogan	Certificate nfd	40
Dunbogan	Certificate I and II Level	11
Dunbogan	Certificate III and IV Level	205
Dunbogan	Advanced Diploma and Diploma	83
Dunbogan	Bachelor	65
Dunbogan	Graduate Diploma and Graduate Certificate	14
Dunbogan	Postgraduate	12
Duncans Creek	Certificate III and IV Level	14
Duncans Creek	Advanced Diploma and Diploma	3
Duncans Creek	Bachelor	3
Dundas (NSW)	Certificate nfd	62
Dundas (NSW)	Certificate I and II Level	26
Dundas (NSW)	Certificate III and IV Level	451
Dundas (NSW)	Advanced Diploma and Diploma	357
Dundas (NSW)	Bachelor	747
Dundas (NSW)	Graduate Diploma and Graduate Certificate	75
Dundas (NSW)	Postgraduate	293
Dundas Valley	Certificate nfd	90
Dundas Valley	Certificate I and II Level	39
Dundas Valley	Certificate III and IV Level	504
Dundas Valley	Advanced Diploma and Diploma	382
Dundas Valley	Bachelor	840
Dundas Valley	Graduate Diploma and Graduate Certificate	65
Dundas Valley	Postgraduate	381
Dundee	Certificate nfd	3
Dundee	Certificate III and IV Level	25
Dundee	Advanced Diploma and Diploma	6
Dundee	Bachelor	18
Dundee	Graduate Diploma and Graduate Certificate	3
Dundurrabin	Certificate III and IV Level	14
Dundurrabin	Advanced Diploma and Diploma	8
Dundurrabin	Postgraduate	3
Dunedoo	Certificate nfd	23
Dunedoo	Certificate I and II Level	15
Dunedoo	Certificate III and IV Level	135
Dunedoo	Advanced Diploma and Diploma	55
Dunedoo	Bachelor	59
Dunedoo	Graduate Diploma and Graduate Certificate	5
Dunedoo	Postgraduate	8
Dungarubba	Certificate III and IV Level	7
Dungarubba	Advanced Diploma and Diploma	5
Dungay	Certificate nfd	3
Dungay	Certificate III and IV Level	41
Dungay	Advanced Diploma and Diploma	18
Dungay	Bachelor	25
Dungay	Graduate Diploma and Graduate Certificate	4
Dungay	Postgraduate	3
Dungog	Certificate nfd	49
Dungog	Certificate I and II Level	25
Dungog	Certificate III and IV Level	318
Dungog	Advanced Diploma and Diploma	109
Dungog	Bachelor	124
Dungog	Graduate Diploma and Graduate Certificate	21
Dungog	Postgraduate	22
Dungowan	Certificate nfd	7
Dungowan	Certificate III and IV Level	82
Dungowan	Advanced Diploma and Diploma	24
Dungowan	Bachelor	26
Dungowan	Graduate Diploma and Graduate Certificate	5
Dungowan	Postgraduate	7
Dunkeld (NSW)	Certificate III and IV Level	14
Dunkeld (NSW)	Bachelor	8
Dunkeld (NSW)	Postgraduate	3
Dunmore (NSW)	Certificate nfd	5
Dunmore (NSW)	Certificate I and II Level	7
Dunmore (NSW)	Certificate III and IV Level	41
Dunmore (NSW)	Advanced Diploma and Diploma	18
Dunmore (NSW)	Bachelor	19
Dunmore (NSW)	Postgraduate	5
Dunolly (NSW)	Certificate nfd	3
Dunolly (NSW)	Certificate III and IV Level	13
Dunolly (NSW)	Bachelor	4
Dunoon	Certificate nfd	18
Dunoon	Certificate I and II Level	5
Dunoon	Certificate III and IV Level	101
Dunoon	Advanced Diploma and Diploma	45
Dunoon	Bachelor	95
Dunoon	Graduate Diploma and Graduate Certificate	17
Dunoon	Postgraduate	16
Duns Creek	Certificate nfd	12
Duns Creek	Certificate I and II Level	5
Duns Creek	Certificate III and IV Level	91
Duns Creek	Advanced Diploma and Diploma	51
Duns Creek	Bachelor	56
Duns Creek	Graduate Diploma and Graduate Certificate	9
Duns Creek	Postgraduate	10
Dunville Loop	Certificate III and IV Level	4
Dunville Loop	Advanced Diploma and Diploma	3
Dural (Hornsby - NSW)	Certificate nfd	170
Dural (Hornsby - NSW)	Certificate I and II Level	54
Dural (Hornsby - NSW)	Certificate III and IV Level	781
Dural (Hornsby - NSW)	Advanced Diploma and Diploma	675
Dural (Hornsby - NSW)	Bachelor	1270
Dural (Hornsby - NSW)	Graduate Diploma and Graduate Certificate	134
Dural (Hornsby - NSW)	Postgraduate	398
Duramana	Certificate nfd	8
Duramana	Certificate I and II Level	3
Duramana	Certificate III and IV Level	39
Duramana	Advanced Diploma and Diploma	17
Duramana	Bachelor	26
Duramana	Graduate Diploma and Graduate Certificate	7
Duramana	Postgraduate	4
Duranbah	Certificate nfd	8
Duranbah	Certificate I and II Level	4
Duranbah	Certificate III and IV Level	35
Duranbah	Advanced Diploma and Diploma	16
Duranbah	Bachelor	24
Duranbah	Graduate Diploma and Graduate Certificate	3
Duranbah	Postgraduate	3
Duri	Certificate nfd	8
Duri	Certificate I and II Level	15
Duri	Certificate III and IV Level	105
Duri	Advanced Diploma and Diploma	26
Duri	Bachelor	33
Duri	Graduate Diploma and Graduate Certificate	3
Duri	Postgraduate	6
Duroby	Certificate III and IV Level	15
Duroby	Advanced Diploma and Diploma	8
Duroby	Bachelor	4
Durran Durra	Certificate nfd	6
Durran Durra	Certificate III and IV Level	20
Durran Durra	Advanced Diploma and Diploma	7
Durran Durra	Bachelor	10
Durran Durra	Postgraduate	9
Durras North	Certificate III and IV Level	7
Durras North	Bachelor	7
Durren Durren	Certificate III and IV Level	14
Durren Durren	Advanced Diploma and Diploma	8
Durren Durren	Bachelor	9
Durren Durren	Postgraduate	3
Dyers Crossing	Certificate nfd	6
Dyers Crossing	Certificate I and II Level	8
Dyers Crossing	Certificate III and IV Level	77
Dyers Crossing	Advanced Diploma and Diploma	26
Dyers Crossing	Bachelor	20
Dyers Crossing	Graduate Diploma and Graduate Certificate	4
Dyers Crossing	Postgraduate	6
Dyraaba	Certificate III and IV Level	20
Dyraaba	Advanced Diploma and Diploma	11
Dyraaba	Bachelor	3
Dyrring	Certificate nfd	3
Dyrring	Certificate III and IV Level	26
Dyrring	Advanced Diploma and Diploma	3
Dyrring	Bachelor	3
Eagle Vale	Certificate nfd	122
Eagle Vale	Certificate I and II Level	77
Eagle Vale	Certificate III and IV Level	870
Eagle Vale	Advanced Diploma and Diploma	421
Eagle Vale	Bachelor	391
Eagle Vale	Graduate Diploma and Graduate Certificate	37
Eagle Vale	Postgraduate	80
Eagleton	Certificate nfd	6
Eagleton	Certificate I and II Level	3
Eagleton	Certificate III and IV Level	31
Eagleton	Advanced Diploma and Diploma	14
Eagleton	Bachelor	22
Eagleton	Graduate Diploma and Graduate Certificate	8
Eagleton	Postgraduate	3
Earlwood	Certificate nfd	357
Earlwood	Certificate I and II Level	113
Earlwood	Certificate III and IV Level	1691
Earlwood	Advanced Diploma and Diploma	1323
Earlwood	Bachelor	2445
Earlwood	Graduate Diploma and Graduate Certificate	249
Earlwood	Postgraduate	800
East Albury	Certificate nfd	108
East Albury	Certificate I and II Level	70
East Albury	Certificate III and IV Level	900
East Albury	Advanced Diploma and Diploma	496
East Albury	Bachelor	830
East Albury	Graduate Diploma and Graduate Certificate	149
East Albury	Postgraduate	183
East Ballina	Certificate nfd	118
East Ballina	Certificate I and II Level	68
East Ballina	Certificate III and IV Level	907
East Ballina	Advanced Diploma and Diploma	491
East Ballina	Bachelor	787
East Ballina	Graduate Diploma and Graduate Certificate	145
East Ballina	Postgraduate	156
East Branxton	Certificate nfd	27
East Branxton	Certificate I and II Level	34
East Branxton	Certificate III and IV Level	385
East Branxton	Advanced Diploma and Diploma	111
East Branxton	Bachelor	78
East Branxton	Graduate Diploma and Graduate Certificate	11
East Branxton	Postgraduate	18
East Coraki	Certificate nfd	9
East Coraki	Certificate III and IV Level	37
East Coraki	Advanced Diploma and Diploma	13
East Coraki	Bachelor	20
East Corrimal	Certificate nfd	58
East Corrimal	Certificate I and II Level	48
East Corrimal	Certificate III and IV Level	582
East Corrimal	Advanced Diploma and Diploma	263
East Corrimal	Bachelor	357
East Corrimal	Graduate Diploma and Graduate Certificate	60
East Corrimal	Postgraduate	136
East Gosford	Certificate nfd	91
East Gosford	Certificate I and II Level	43
East Gosford	Certificate III and IV Level	561
East Gosford	Advanced Diploma and Diploma	390
East Gosford	Bachelor	536
East Gosford	Graduate Diploma and Graduate Certificate	58
East Gosford	Postgraduate	131
East Gresford	Certificate nfd	4
East Gresford	Certificate I and II Level	3
East Gresford	Certificate III and IV Level	59
East Gresford	Advanced Diploma and Diploma	20
East Gresford	Bachelor	12
East Gresford	Postgraduate	5
East Hills	Certificate nfd	60
East Hills	Certificate I and II Level	16
East Hills	Certificate III and IV Level	473
East Hills	Advanced Diploma and Diploma	260
East Hills	Bachelor	355
East Hills	Graduate Diploma and Graduate Certificate	31
East Hills	Postgraduate	96
East Jindabyne	Certificate nfd	5
East Jindabyne	Certificate I and II Level	10
East Jindabyne	Certificate III and IV Level	129
East Jindabyne	Advanced Diploma and Diploma	66
East Jindabyne	Bachelor	111
East Jindabyne	Graduate Diploma and Graduate Certificate	14
East Jindabyne	Postgraduate	29
East Kangaloon	Certificate nfd	4
East Kangaloon	Certificate III and IV Level	14
East Kangaloon	Advanced Diploma and Diploma	13
East Kangaloon	Bachelor	13
East Kangaloon	Graduate Diploma and Graduate Certificate	3
East Kangaloon	Postgraduate	5
East Kempsey	Certificate nfd	25
East Kempsey	Certificate I and II Level	27
East Kempsey	Certificate III and IV Level	203
East Kempsey	Advanced Diploma and Diploma	68
East Kempsey	Bachelor	90
East Kempsey	Graduate Diploma and Graduate Certificate	18
East Kempsey	Postgraduate	9
East Killara	Certificate nfd	46
East Killara	Certificate I and II Level	19
East Killara	Certificate III and IV Level	116
East Killara	Advanced Diploma and Diploma	189
East Killara	Bachelor	726
East Killara	Graduate Diploma and Graduate Certificate	46
East Killara	Postgraduate	297
East Kurrajong	Certificate nfd	35
East Kurrajong	Certificate I and II Level	20
East Kurrajong	Certificate III and IV Level	431
East Kurrajong	Advanced Diploma and Diploma	184
East Kurrajong	Bachelor	156
East Kurrajong	Graduate Diploma and Graduate Certificate	22
East Kurrajong	Postgraduate	47
East Lindfield	Certificate nfd	70
East Lindfield	Certificate I and II Level	13
East Lindfield	Certificate III and IV Level	119
East Lindfield	Advanced Diploma and Diploma	282
East Lindfield	Bachelor	924
East Lindfield	Graduate Diploma and Graduate Certificate	86
East Lindfield	Postgraduate	400
East Lismore	Certificate nfd	87
East Lismore	Certificate I and II Level	80
East Lismore	Certificate III and IV Level	755
East Lismore	Advanced Diploma and Diploma	262
East Lismore	Bachelor	478
East Lismore	Graduate Diploma and Graduate Certificate	62
East Lismore	Postgraduate	122
East Lynne	Certificate III and IV Level	16
East Lynne	Advanced Diploma and Diploma	11
East Lynne	Bachelor	6
East Lynne	Graduate Diploma and Graduate Certificate	5
East Lynne	Postgraduate	6
East Maitland	Certificate nfd	221
