SSC_NAME16	AgeStudent	students
Cudgera Creek	20-24	3
Cudgera Creek	25+	7
Cudmirrah	5-14	21
Cudmirrah	15-19	9
Cudmirrah	20-24	3
Cudmirrah	25+	3
Culburra Beach	0-4	41
Culburra Beach	5-14	225
Culburra Beach	15-19	106
Culburra Beach	20-24	24
Culburra Beach	25+	48
Culcairn	0-4	24
Culcairn	5-14	219
Culcairn	15-19	61
Culcairn	20-24	15
Culcairn	25+	30
Cullen Bullen	5-14	14
Cullen Bullen	15-19	6
Cullen Bullen	25+	5
Cullenbone	5-14	9
Cullerin	25+	4
Cullivel	5-14	3
Cumbalum	0-4	29
Cumbalum	5-14	225
Cumbalum	15-19	68
Cumbalum	20-24	20
Cumbalum	25+	57
Cumbandry	5-14	7
Cumberland Reach	0-4	3
Cumberland Reach	5-14	18
Cumberland Reach	15-19	14
Cumberland Reach	25+	3
Cumbo	5-14	6
Cumborah	5-14	23
Cumborah	15-19	8
Cumborah	25+	3
Cumnock	0-4	9
Cumnock	5-14	51
Cumnock	15-19	16
Cumnock	25+	14
Cundletown	0-4	42
Cundletown	5-14	257
Cundletown	15-19	92
Cundletown	20-24	15
Cundletown	25+	45
Cundumbul	0-4	3
Cundumbul	5-14	6
Cunjurong Point	5-14	7
Cunningar	5-14	9
Cunningar	15-19	4
Cunningar	20-24	3
Cunninyeuk	5-14	3
Curban	5-14	9
Curban	15-19	3
Curban	20-24	3
Curban	25+	4
Curl Curl	0-4	38
Curl Curl	5-14	383
Curl Curl	15-19	132
Curl Curl	20-24	46
Curl Curl	25+	65
Curlew Waters	5-14	3
Curlewis (NSW)	0-4	18
Curlewis (NSW)	5-14	85
Curlewis (NSW)	15-19	23
Curlewis (NSW)	20-24	6
Curlewis (NSW)	25+	23
Curlwaa	0-4	5
Curlwaa	5-14	33
Curlwaa	15-19	6
Curlwaa	20-24	10
Curlwaa	25+	4
Curra Creek	5-14	3
Curra Creek	15-19	7
Currabubula	0-4	12
Currabubula	5-14	45
Currabubula	15-19	9
Currabubula	25+	11
Curramore (NSW)	0-4	3
Curramore (NSW)	5-14	22
Curramore (NSW)	15-19	14
Curramore (NSW)	20-24	10
Curramore (NSW)	25+	8
Currans Hill	0-4	109
Currans Hill	5-14	906
Currans Hill	15-19	255
Currans Hill	20-24	82
Currans Hill	25+	152
Currarong	5-14	28
Currarong	15-19	14
Currarong	20-24	8
Currarong	25+	3
Currawang	0-4	3
Currawang	5-14	16
Currawang	15-19	3
Currawang	20-24	3
Currawang	25+	7
Currawarna	0-4	6
Currawarna	5-14	20
Currawarna	15-19	10
Currawarna	25+	6
Curraweela	5-14	4
Curraweela	25+	5
Currowan	5-14	4
Currowan	15-19	3
Cuttabri	5-14	5
Cuttagee	5-14	3
Dabee	5-14	4
Daceyville	0-4	7
Daceyville	5-14	87
Daceyville	15-19	35
Daceyville	20-24	21
Daceyville	25+	42
Dairy Arm	5-14	6
Dairy Arm	15-19	3
Dairymans Plains	5-14	20
Dairymans Plains	15-19	15
Dairymans Plains	25+	3
Daleys Point	0-4	6
Daleys Point	5-14	46
Daleys Point	15-19	13
Daleys Point	20-24	13
Daleys Point	25+	22
Dalgety	5-14	23
Dalgety	15-19	6
Dalgety	20-24	6
Dalgety	25+	10
Dalmeny	0-4	24
Dalmeny	5-14	185
Dalmeny	15-19	47
Dalmeny	20-24	7
Dalmeny	25+	38
Dalswinton	0-4	3
Dalswinton	5-14	5
Dalswinton	15-19	4
Dalton	0-4	5
Dalton	5-14	14
Dalton	15-19	8
Dalton	25+	7
Dalwood (Ballina - NSW)	0-4	3
Dalwood (Ballina - NSW)	5-14	28
Dalwood (Ballina - NSW)	15-19	22
Dalwood (Ballina - NSW)	20-24	3
Dalwood (Ballina - NSW)	25+	9
Dalwood (Singleton - NSW)	5-14	6
Dalwood (Singleton - NSW)	15-19	10
Dalwood (Singleton - NSW)	20-24	5
Dalwood (Singleton - NSW)	25+	3
Dandaloo	5-14	6
Dandry	5-14	12
Dandry	25+	5
Dangar Island	0-4	4
Dangar Island	5-14	43
Dangar Island	15-19	4
Dangar Island	20-24	3
Dangar Island	25+	13
Dangarsleigh	5-14	11
Dangarsleigh	15-19	15
Dangarsleigh	25+	3
Dapto	0-4	202
Dapto	5-14	1287
Dapto	15-19	500
Dapto	20-24	164
Dapto	25+	267
Darawank	0-4	4
Darawank	5-14	61
Darawank	15-19	17
Darawank	25+	15
Darbalara	5-14	6
Darbalara	15-19	3
Darbys Falls	0-4	3
Darbys Falls	5-14	9
Darbys Falls	15-19	14
Darbys Falls	25+	7
Dareton	0-4	10
Dareton	5-14	41
Dareton	15-19	16
Dareton	20-24	4
Dareton	25+	9
Dargan	5-14	3
Dark Corner	15-19	3
Dark Corner	25+	4
Darkes Forest	0-4	3
Darkes Forest	5-14	11
Darkes Forest	15-19	7
Darkes Forest	20-24	5
Darkwood	0-4	3
Darkwood	5-14	22
Darkwood	15-19	5
Darkwood	25+	6
Darling Point	0-4	31
Darling Point	5-14	239
Darling Point	15-19	88
Darling Point	20-24	60
Darling Point	25+	148
Darlinghurst	0-4	43
Darlinghurst	5-14	213
Darlinghurst	15-19	114
Darlinghurst	20-24	287
Darlinghurst	25+	952
Darlington (Singleton - NSW)	0-4	7
Darlington (Singleton - NSW)	5-14	31
Darlington (Singleton - NSW)	15-19	9
Darlington (Singleton - NSW)	20-24	7
Darlington (Singleton - NSW)	25+	11
Darlington (Sydney - NSW)	0-4	10
Darlington (Sydney - NSW)	5-14	80
Darlington (Sydney - NSW)	15-19	262
Darlington (Sydney - NSW)	20-24	794
Darlington (Sydney - NSW)	25+	377
Darlington Point	0-4	7
Darlington Point	5-14	147
Darlington Point	15-19	43
Darlington Point	20-24	13
Darlington Point	25+	22
Darlow	5-14	3
Dartbrook	0-4	3
Dartbrook	5-14	11
Dartbrook	15-19	3
Daruka	0-4	11
Daruka	5-14	133
Daruka	15-19	49
Daruka	20-24	5
Daruka	25+	15
Davidson	0-4	50
Davidson	5-14	424
Davidson	15-19	175
Davidson	20-24	84
Davidson	25+	88
Davis Creek	5-14	3
Davistown	0-4	35
Davistown	5-14	251
Davistown	15-19	80
Davistown	20-24	21
Davistown	25+	57
Dawes Point	0-4	5
Dawes Point	5-14	16
Dawes Point	15-19	12
Dawes Point	20-24	9
Dawes Point	25+	7
Daysdale	5-14	13
Daysdale	15-19	3
Dean Park	0-4	42
Dean Park	5-14	426
Dean Park	15-19	174
Dean Park	20-24	63
Dean Park	25+	92
Dee Why	0-4	285
Dee Why	5-14	1723
Dee Why	15-19	677
Dee Why	20-24	509
Dee Why	25+	1291
Deep Creek (Kempsey - NSW)	5-14	11
Deep Creek (Kempsey - NSW)	15-19	5
Deep Creek (Kempsey - NSW)	25+	3
Deep Creek (Kyogle - NSW)	5-14	8
Deepwater (NSW)	5-14	23
Deepwater (NSW)	15-19	18
Deepwater (NSW)	20-24	3
Deepwater (NSW)	25+	9
Deer Vale	0-4	5
Deer Vale	5-14	25
Deer Vale	15-19	6
Deer Vale	25+	3
Delegate	0-4	8
Delegate	5-14	28
Delegate	15-19	9
Delegate	25+	8
Delungra	0-4	9
Delungra	5-14	83
Delungra	15-19	18
Delungra	20-24	7
Delungra	25+	10
Denham Court	0-4	28
Denham Court	5-14	179
Denham Court	15-19	99
Denham Court	20-24	53
Denham Court	25+	23
Denhams Beach	0-4	4
Denhams Beach	5-14	55
Denhams Beach	15-19	17
Denhams Beach	20-24	3
Denhams Beach	25+	14
Deniliquin	0-4	86
Deniliquin	5-14	835
Deniliquin	15-19	289
Deniliquin	20-24	72
Deniliquin	25+	149
Denistone	0-4	64
Denistone	5-14	410
Denistone	15-19	226
Denistone	20-24	141
Denistone	25+	155
Denistone East	0-4	40
Denistone East	5-14	338
Denistone East	15-19	123
Denistone East	20-24	80
Denistone East	25+	78
Denistone West	0-4	23
Denistone West	5-14	149
Denistone West	15-19	48
Denistone West	20-24	25
Denistone West	25+	31
Denman	0-4	23
Denman	5-14	239
Denman	15-19	86
Denman	20-24	17
Denman	25+	33
Derriwong	5-14	4
Deua River Valley	5-14	9
Deua River Valley	15-19	3
Dharruk	0-4	33
Dharruk	5-14	399
Dharruk	15-19	148
Dharruk	20-24	48
Dharruk	25+	69
Dhulura	5-14	13
Dhuragoon	0-4	3
Diamond Beach	0-4	18
Diamond Beach	5-14	102
Diamond Beach	15-19	47
Diamond Beach	20-24	12
Diamond Beach	25+	24
Diehard	5-14	3
Dignams Creek	5-14	4
Dignams Creek	15-19	3
Dignams Creek	25+	5
Dilkoon	5-14	4
Dilpurra	5-14	3
Dinoga	5-14	3
Dirnaseer	5-14	7
Dirnaseer	15-19	6
Dirty Creek	0-4	3
Dirty Creek	5-14	13
Dirty Creek	25+	3
Dobies Bight	5-14	16
Dobies Bight	15-19	3
Doctor George Mountain	15-19	3
Dolans Bay	0-4	8
Dolans Bay	5-14	69
Dolans Bay	15-19	49
Dolans Bay	20-24	24
Dolans Bay	25+	15
Dolls Point	0-4	26
Dolls Point	5-14	136
Dolls Point	15-19	53
Dolls Point	20-24	20
Dolls Point	25+	60
Dollys Flat	5-14	11
Dollys Flat	15-19	3
Dollys Flat	25+	3
Dolphin Point	0-4	3
Dolphin Point	5-14	14
Dolphin Point	15-19	7
Dolphin Point	20-24	5
Dolphin Point	25+	5
Dombarton	0-4	3
Dombarton	5-14	23
Dombarton	15-19	11
Dombarton	20-24	3
Dombarton	25+	3
Donald Creek	5-14	7
Donald Creek	15-19	4
Dondingalong	0-4	5
Dondingalong	5-14	62
Dondingalong	15-19	30
Dondingalong	20-24	3
Dondingalong	25+	10
Doon Doon	0-4	3
Doon Doon	5-14	6
Doon Doon	15-19	3
Doonbah	5-14	15
Doonbah	15-19	11
Doonbah	25+	4
Doonside	0-4	165
Doonside	5-14	1679
Doonside	15-19	746
Doonside	20-24	336
Doonside	25+	483
Dooralong	0-4	8
Dooralong	5-14	34
Dooralong	15-19	26
Dooralong	20-24	7
Dooralong	25+	13
Dora Creek	0-4	26
Dora Creek	5-14	135
Dora Creek	15-19	56
Dora Creek	20-24	17
Dora Creek	25+	47
Dorrigo	0-4	12
Dorrigo	5-14	102
Dorrigo	15-19	47
Dorrigo	20-24	4
Dorrigo	25+	25
Dorrigo Mountain	5-14	4
Dorrigo Mountain	15-19	4
Dorroughby	5-14	11
Dorroughby	15-19	3
Dorroughby	25+	6
Double Bay	0-4	50
Double Bay	5-14	281
Double Bay	15-19	144
Double Bay	20-24	112
Double Bay	25+	210
Doubtful Creek	5-14	25
Doubtful Creek	15-19	3
Doubtful Creek	25+	3
Douglas Park	0-4	15
Douglas Park	5-14	177
Douglas Park	15-19	63
Douglas Park	20-24	28
Douglas Park	25+	36
Dover Heights	0-4	81
Dover Heights	5-14	551
Dover Heights	15-19	229
Dover Heights	20-24	133
Dover Heights	25+	84
Downside	5-14	11
Downside	15-19	14
Doyalson	0-4	3
Doyalson	5-14	36
Doyalson	15-19	16
Doyalson	20-24	10
Doyalson	25+	9
Doyalson North	0-4	3
Doyalson North	5-14	8
Doyalson North	15-19	4
Doyalson North	20-24	3
Doyalson North	25+	3
Doyles Creek	5-14	3
Doyles Creek	15-19	3
Drake	0-4	3
Drake	5-14	26
Drake	15-19	12
Drake	25+	10
Dripstone	5-14	11
Dripstone	15-19	3
Drummoyne	0-4	162
Drummoyne	5-14	1090
Drummoyne	15-19	384
Drummoyne	20-24	253
Drummoyne	25+	475
Dubbo	0-4	700
Dubbo	5-14	4877
Dubbo	15-19	1605
Dubbo	20-24	486
Dubbo	25+	1224
Duck Creek	5-14	5
Duck Creek	15-19	7
Duckenfield	5-14	17
Duckenfield	15-19	3
Duckenfield	20-24	3
Duckmaloi	15-19	4
Duckmaloi	20-24	3
Dudley	0-4	44
Dudley	5-14	306
Dudley	15-19	122
Dudley	20-24	47
Dudley	25+	79
Duffys Forest	0-4	11
Duffys Forest	5-14	63
Duffys Forest	15-19	40
Duffys Forest	20-24	25
Duffys Forest	25+	10
Dulguigan	5-14	14
Dulguigan	15-19	8
Dulguigan	20-24	3
Dulguigan	25+	3
Dulwich Hill	0-4	180
Dulwich Hill	5-14	1304
Dulwich Hill	15-19	479
Dulwich Hill	20-24	393
Dulwich Hill	25+	803
Dum Dum	5-14	8
Dum Dum	15-19	10
Dumaresq	5-14	9
Dumaresq	15-19	3
Dumaresq	25+	3
Dumaresq Island	5-14	3
Dumaresq Island	15-19	4
Dumaresq Island	25+	3
Dumaresq Valley	5-14	7
Dumaresq Valley	15-19	3
Dunbible	0-4	3
Dunbible	5-14	30
Dunbible	15-19	14
Dunbible	20-24	3
Dunbible	25+	6
Dunbogan	0-4	12
Dunbogan	5-14	43
Dunbogan	15-19	33
Dunbogan	20-24	4
Dunbogan	25+	23
Duncans Creek	5-14	4
Duncans Creek	20-24	3
Dundas (NSW)	0-4	63
Dundas (NSW)	5-14	534
Dundas (NSW)	15-19	245
Dundas (NSW)	20-24	117
Dundas (NSW)	25+	226
Dundas Valley	0-4	83
Dundas Valley	5-14	623
Dundas Valley	15-19	279
Dundas Valley	20-24	196
Dundas Valley	25+	268
Dundee	0-4	3
Dundee	5-14	18
Dundee	15-19	5
Dundee	25+	8
Dundurrabin	5-14	9
Dundurrabin	15-19	6
Dundurrabin	25+	4
Dunedoo	0-4	13
Dunedoo	5-14	131
Dunedoo	15-19	45
Dunedoo	20-24	18
Dunedoo	25+	27
Dungarubba	5-14	6
Dungarubba	15-19	3
Dungay	5-14	26
Dungay	15-19	9
Dungay	20-24	3
Dungay	25+	3
Dungog	0-4	24
Dungog	5-14	216
Dungog	15-19	80
Dungog	20-24	15
Dungog	25+	31
Dungowan	0-4	12
Dungowan	5-14	71
Dungowan	15-19	11
Dungowan	20-24	4
Dungowan	25+	10
Dunkeld (NSW)	5-14	5
Dunkeld (NSW)	15-19	4
Dunmore (NSW)	0-4	3
Dunmore (NSW)	5-14	24
Dunmore (NSW)	15-19	18
Dunmore (NSW)	20-24	5
Dunmore (NSW)	25+	7
Dunolly (NSW)	5-14	6
Dunolly (NSW)	15-19	3
Dunolly (NSW)	25+	3
Dunoon	0-4	8
Dunoon	5-14	84
Dunoon	15-19	37
Dunoon	20-24	6
Dunoon	25+	22
Duns Creek	0-4	9
Duns Creek	5-14	76
Duns Creek	15-19	31
Duns Creek	20-24	7
Duns Creek	25+	14
Dural (Hornsby - NSW)	0-4	102
Dural (Hornsby - NSW)	5-14	987
Dural (Hornsby - NSW)	15-19	530
Dural (Hornsby - NSW)	20-24	238
Dural (Hornsby - NSW)	25+	192
Duramana	0-4	5
Duramana	5-14	19
Duramana	15-19	16
Duramana	20-24	3
Duranbah	5-14	23
Duranbah	15-19	3
Duranbah	20-24	3
Duranbah	25+	10
Duri	0-4	3
Duri	5-14	66
Duri	15-19	26
Duri	25+	7
Duroby	5-14	3
Duroby	15-19	4
Duroby	20-24	3
Duroby	25+	3
Durran Durra	0-4	3
Durran Durra	5-14	15
Durran Durra	15-19	3
Durran Durra	25+	3
Durren Durren	0-4	3
Durren Durren	5-14	13
Dyers Crossing	5-14	33
Dyers Crossing	15-19	15
Dyers Crossing	20-24	3
Dyers Crossing	25+	7
Dyraaba	5-14	13
Dyraaba	15-19	3
Dyrring	5-14	23
Dyrring	15-19	4
Dyrring	25+	3
Eagle Vale	0-4	84
Eagle Vale	5-14	761
Eagle Vale	15-19	321
Eagle Vale	20-24	128
Eagle Vale	25+	179
Eagleton	5-14	36
Eagleton	15-19	6
Eagleton	25+	9
Earlwood	0-4	267
Earlwood	5-14	2082
Earlwood	15-19	909
Earlwood	20-24	472
Earlwood	25+	555
East Albury	0-4	73
East Albury	5-14	683
East Albury	15-19	262
East Albury	20-24	122
East Albury	25+	207
East Ballina	0-4	82
East Ballina	5-14	599
East Ballina	15-19	206
East Ballina	20-24	69
East Ballina	25+	189
East Branxton	0-4	48
East Branxton	5-14	280
East Branxton	15-19	70
East Branxton	20-24	20
East Branxton	25+	47
East Coraki	5-14	23
East Coraki	15-19	15
East Coraki	25+	3
East Corrimal	0-4	63
East Corrimal	5-14	343
East Corrimal	15-19	149
East Corrimal	20-24	67
East Corrimal	25+	135
East Gosford	0-4	63
East Gosford	5-14	402
East Gosford	15-19	134
East Gosford	20-24	82
East Gosford	25+	179
East Gresford	0-4	9
East Gresford	5-14	40
East Gresford	15-19	13
East Gresford	20-24	3
East Gresford	25+	12
East Hills	0-4	44
East Hills	5-14	355
East Hills	15-19	171
East Hills	20-24	77
East Hills	25+	90
East Jindabyne	0-4	16
East Jindabyne	5-14	106
East Jindabyne	15-19	30
East Jindabyne	20-24	3
East Jindabyne	25+	19
East Kangaloon	5-14	4
East Kangaloon	15-19	3
East Kempsey	0-4	33
East Kempsey	5-14	170
East Kempsey	15-19	51
East Kempsey	20-24	9
East Kempsey	25+	35
East Killara	0-4	31
East Killara	5-14	420
East Killara	15-19	280
East Killara	20-24	150
East Killara	25+	103
East Kurrajong	0-4	42
East Kurrajong	5-14	322
East Kurrajong	15-19	119
East Kurrajong	20-24	41
East Kurrajong	25+	46
East Lindfield	0-4	52
East Lindfield	5-14	649
East Lindfield	15-19	281
East Lindfield	20-24	136
East Lindfield	25+	93
East Lismore	0-4	69
East Lismore	5-14	545
East Lismore	15-19	218
East Lismore	20-24	165
East Lismore	25+	251
East Lynne	5-14	16
East Lynne	15-19	6
East Lynne	25+	3
East Maitland	0-4	165
East Maitland	5-14	1313
East Maitland	15-19	530
East Maitland	20-24	200
East Maitland	25+	407
East Ryde	0-4	46
East Ryde	5-14	365
East Ryde	15-19	138
East Ryde	20-24	63
East Ryde	25+	61
East Seaham	0-4	3
East Seaham	5-14	32
East Seaham	15-19	20
East Seaham	20-24	4
East Seaham	25+	14
East Tamworth	0-4	81
East Tamworth	5-14	610
East Tamworth	15-19	260
East Tamworth	20-24	69
East Tamworth	25+	192
East Wagga Wagga	0-4	3
East Wagga Wagga	5-14	24
East Wagga Wagga	20-24	4
East Wagga Wagga	25+	4
East Wardell	0-4	3
East Wardell	5-14	45
East Wardell	15-19	16
East Wardell	20-24	3
East Wardell	25+	6
Eastern Creek	0-4	14
Eastern Creek	5-14	140
Eastern Creek	15-19	41
Eastern Creek	20-24	13
Eastern Creek	25+	29
Eastgardens	0-4	15
Eastgardens	5-14	85
Eastgardens	15-19	43
Eastgardens	20-24	25
Eastgardens	25+	18
Eastlakes	0-4	87
Eastlakes	5-14	732
Eastlakes	15-19	340
Eastlakes	20-24	278
Eastlakes	25+	418
Eastwood (NSW)	0-4	203
Eastwood (NSW)	5-14	1661
Eastwood (NSW)	15-19	950
Eastwood (NSW)	20-24	1116
Eastwood (NSW)	25+	1191
Eatonsville	0-4	3
Eatonsville	5-14	26
Eatonsville	15-19	14
Eatonsville	20-24	3
Ebenezer (NSW)	0-4	10
Ebenezer (NSW)	5-14	141
Ebenezer (NSW)	15-19	68
Ebenezer (NSW)	20-24	8
Ebenezer (NSW)	25+	19
Ebor	5-14	12
Ebor	15-19	4
Ebor	20-24	3
Eccleston	5-14	3
Eden	0-4	38
Eden	5-14	291
Eden	15-19	110
Eden	20-24	19
Eden	25+	52
Eden Creek	5-14	6
Eden Creek	15-19	14
Eden Creek	25+	3
Edensor Park	0-4	117
Edensor Park	5-14	1146
Edensor Park	15-19	615
Edensor Park	20-24	344
Edensor Park	25+	288
Edenville	5-14	5
Edenville	25+	3
Edgecliff	0-4	21
Edgecliff	5-14	142
Edgecliff	15-19	75
Edgecliff	20-24	49
Edgecliff	25+	124
Edgeroi	5-14	10
Edgeroi	15-19	3
Edgeworth	0-4	105
Edgeworth	5-14	693
Edgeworth	15-19	230
Edgeworth	20-24	89
Edgeworth	25+	150
Edith (NSW)	5-14	4
Edith (NSW)	15-19	3
Edith (NSW)	25+	3
Edmondson Park	0-4	53
Edmondson Park	5-14	335
Edmondson Park	15-19	134
Edmondson Park	20-24	58
Edmondson Park	25+	80
Eglinton (NSW)	0-4	44
Eglinton (NSW)	5-14	339
Eglinton (NSW)	15-19	125
Eglinton (NSW)	20-24	28
Eglinton (NSW)	25+	74
Elands	0-4	3
Elands	5-14	21
Elands	15-19	3
Elands	20-24	3
Elands	25+	9
Elanora Heights	0-4	99
Elanora Heights	5-14	706
Elanora Heights	15-19	222
Elanora Heights	20-24	104
Elanora Heights	25+	115
Elcombe	5-14	3
Elcombe	15-19	3
Elderslie (Camden - NSW)	0-4	139
Elderslie (Camden - NSW)	5-14	890
Elderslie (Camden - NSW)	15-19	286
Elderslie (Camden - NSW)	20-24	106
Elderslie (Camden - NSW)	25+	161
Elderslie (Singleton - NSW)	0-4	3
Elderslie (Singleton - NSW)	5-14	13
Elderslie (Singleton - NSW)	15-19	6
Elderslie (Singleton - NSW)	25+	3
Eleebana	0-4	94
Eleebana	5-14	776
Eleebana	15-19	332
Eleebana	20-24	138
Eleebana	25+	159
Elermore Vale	0-4	85
Elermore Vale	5-14	641
Elermore Vale	15-19	237
Elermore Vale	20-24	116
Elermore Vale	25+	215
Elizabeth Bay	0-4	26
Elizabeth Bay	5-14	90
Elizabeth Bay	15-19	25
Elizabeth Bay	20-24	76
Elizabeth Bay	25+	324
Elizabeth Beach	0-4	4
Elizabeth Beach	5-14	27
Elizabeth Beach	15-19	3
Elizabeth Beach	25+	7
Elizabeth Hills	0-4	68
Elizabeth Hills	5-14	397
Elizabeth Hills	15-19	123
Elizabeth Hills	20-24	54
Elizabeth Hills	25+	79
Ellalong	0-4	21
Ellalong	5-14	143
Ellalong	15-19	50
Ellalong	20-24	22
Ellalong	25+	25
Elland	5-14	32
Elland	15-19	14
Elland	20-24	4
Elland	25+	7
Ellangowan (NSW)	5-14	33
Ellangowan (NSW)	15-19	9
Ellangowan (NSW)	20-24	3
Ellangowan (NSW)	25+	9
Ellenborough	0-4	3
Ellenborough	5-14	19
Ellenborough	15-19	6
Ellenborough	25+	7
Ellerslie (Snowy Valleys - NSW)	0-4	4
Ellerslie (Snowy Valleys - NSW)	5-14	14
Ellerslie (Wentworth - NSW)	0-4	4
Ellerslie (Wentworth - NSW)	5-14	11
Ellerslie (Wentworth - NSW)	25+	4
Ellerston	0-4	3
Ellerston	5-14	15
Ellis Lane	0-4	13
Ellis Lane	5-14	141
Ellis Lane	15-19	45
Ellis Lane	20-24	22
Ellis Lane	25+	29
Elong Elong	0-4	3
Elong Elong	5-14	4
Elong Elong	15-19	3
Elrington	5-14	15
Elrington	15-19	3
Elsmore	0-4	11
Elsmore	5-14	38
Elsmore	15-19	25
Elsmore	20-24	3
Elsmore	25+	3
Eltham (NSW)	0-4	3
Eltham (NSW)	5-14	40
Eltham (NSW)	15-19	18
Eltham (NSW)	20-24	3
Eltham (NSW)	25+	5
Elvina Bay	5-14	3
Elvina Bay	25+	3
Emerald Beach	0-4	40
Emerald Beach	5-14	315
Emerald Beach	15-19	97
Emerald Beach	20-24	20
Emerald Beach	25+	78
Emerald Hill	0-4	3
Emerald Hill	5-14	16
Emerton	0-4	36
Emerton	5-14	300
Emerton	15-19	90
Emerton	20-24	29
Emerton	25+	58
Emmaville	0-4	3
Emmaville	5-14	47
Emmaville	15-19	10
Emmaville	25+	6
Empire Bay	0-4	40
Empire Bay	5-14	300
Empire Bay	15-19	150
Empire Bay	20-24	39
Empire Bay	25+	72
Empire Vale	5-14	23
Empire Vale	15-19	13
Empire Vale	20-24	3
Empire Vale	25+	4
Emu Heights (NSW)	0-4	51
Emu Heights (NSW)	5-14	465
Emu Heights (NSW)	15-19	196
Emu Heights (NSW)	20-24	72
Emu Heights (NSW)	25+	88
Emu Plains	0-4	141
Emu Plains	5-14	1014
Emu Plains	15-19	394
Emu Plains	20-24	123
Emu Plains	25+	234
Emu Swamp	0-4	3
Emu Swamp	5-14	21
Emu Swamp	15-19	4
Emu Swamp	25+	4
Enfield (NSW)	0-4	29
Enfield (NSW)	5-14	285
Enfield (NSW)	15-19	163
Enfield (NSW)	20-24	93
Enfield (NSW)	25+	116
Engadine	0-4	403
Engadine	5-14	2691
Engadine	15-19	851
Engadine	20-24	315
Engadine	25+	454
Englorie Park	0-4	5
Englorie Park	5-14	44
Englorie Park	15-19	10
Englorie Park	20-24	5
Englorie Park	25+	22
Enmore (Armidale Regional - NSW)	5-14	3
Enmore (Inner West - NSW)	0-4	29
Enmore (Inner West - NSW)	5-14	235
Enmore (Inner West - NSW)	15-19	73
Enmore (Inner West - NSW)	20-24	128
Enmore (Inner West - NSW)	25+	270
Enngonia	0-4	3
Enngonia	5-14	20
Enngonia	15-19	3
Enngonia	25+	6
Epping (NSW)	0-4	322
Epping (NSW)	5-14	2589
Epping (NSW)	15-19	1440
Epping (NSW)	20-24	1319
Epping (NSW)	25+	1346
Eraring	0-4	3
Eraring	5-14	28
Eraring	15-19	11
Eraring	20-24	3
Eraring	25+	5
Eremerang	5-14	4
Erigolia	0-4	3
Erigolia	5-14	7
Erin Vale	5-14	8
Erin Vale	15-19	3
Erina	0-4	49
Erina	5-14	382
Erina	15-19	181
Erina	20-24	57
Erina	25+	117
Erina Heights	0-4	8
Erina Heights	5-14	80
Erina Heights	15-19	32
Erina Heights	20-24	8
Erina Heights	25+	16
Ermington	0-4	198
Ermington	5-14	1247
Ermington	15-19	513
Ermington	20-24	270
Ermington	25+	440
Erowal Bay	0-4	12
Erowal Bay	5-14	72
Erowal Bay	15-19	24
Erowal Bay	20-24	3
Erowal Bay	25+	14
Errowanbang	5-14	7
Errowanbang	25+	3
Erskine Park	0-4	94
Erskine Park	5-14	803
Erskine Park	15-19	430
Erskine Park	20-24	190
Erskine Park	25+	168
Erskineville	0-4	72
Erskineville	5-14	429
Erskineville	15-19	143
Erskineville	20-24	232
Erskineville	25+	553
Erudgere	5-14	14
Erudgere	15-19	4
Erudgere	25+	4
Eschol Park	0-4	44
Eschol Park	5-14	326
Eschol Park	15-19	122
Eschol Park	20-24	53
Eschol Park	25+	92
Essington	5-14	6
Essington	15-19	4
Essington	25+	3
Estella	0-4	48
Estella	5-14	269
Estella	15-19	130
Estella	20-24	212
Estella	25+	145
Ettalong Beach	0-4	55
Ettalong Beach	5-14	347
Ettalong Beach	15-19	122
Ettalong Beach	20-24	50
Ettalong Beach	25+	132
Ettamogah	5-14	11
Ettamogah	15-19	3
Ettrick (NSW)	0-4	4
Ettrick (NSW)	5-14	15
Ettrick (NSW)	15-19	10
Euabalong	0-4	7
Euabalong	5-14	26
Euabalong	15-19	12
Euabalong West	5-14	13
Euberta	5-14	20
Euberta	15-19	7
Euberta	20-24	7
Euberta	25+	3
Euchareena	0-4	3
Euchareena	5-14	25
Euchareena	15-19	9
Euchareena	25+	9
Eugowra	0-4	6
Eugowra	5-14	90
Eugowra	15-19	14
Eugowra	20-24	8
Eugowra	25+	16
Eulah Creek	5-14	12
Eulah Creek	15-19	3
Eumungerie	5-14	29
Eumungerie	15-19	14
Eumungerie	20-24	3
Eumungerie	25+	13
Eunanoreenya	0-4	3
Eunanoreenya	5-14	31
Eunanoreenya	15-19	9
Eunanoreenya	20-24	10
Eungai Creek	0-4	7
Eungai Creek	5-14	65
Eungai Creek	15-19	10
Eungai Creek	20-24	6
Eungai Creek	25+	13
Eungai Rail	0-4	4
Eungai Rail	5-14	32
Eungai Rail	15-19	15
Eungai Rail	20-24	3
Eungai Rail	25+	3
Eungella (NSW)	0-4	4
Eungella (NSW)	5-14	44
Eungella (NSW)	15-19	13
Eungella (NSW)	25+	13
Eureka (NSW)	0-4	4
Eureka (NSW)	5-14	50
Eureka (NSW)	15-19	7
Eureka (NSW)	20-24	4
Eureka (NSW)	25+	16
Eurimbla	5-14	7
Eurobodalla	0-4	4
Eurobodalla	5-14	4
Eurobodalla	25+	3
Euroka	0-4	6
Euroka	5-14	50
Euroka	15-19	22
Euroka	20-24	3
Euroka	25+	13
Euroley	0-4	3
Euroley	5-14	9
