SSC_NAME16	medianRent
Peel	7176
Peelwood	3016
Pejar	5200
Pelaw Main	13520
Pelican (NSW)	16640
Pelton	
Pembrooke	16640
Pemulwuy	25792
Pendle Hill	20800
Pennant Hills	26000
Penrith	17160
Penrose	10400
Penshurst (NSW)	20800
Pericoe	
Perrys Crossing	
Perthville	11960
Petersham	22880
Pheasants Nest	25376
Phegans Bay	19240
Phillip Bay	8840
Phoenix Park	5200
Piallamore	15600
Piallaway	1300
Piambong	5200
Picketts Valley	42640
Picnic Point	27300
Picton (NSW)	17680
Pigeonbah	
Piggabeen	19240
Pikapene	
Pillar Valley	7800
Pilliga	8320
Pilot Wilderness	
Pimlico (NSW)	16640
Pimlico Island	
Pinbeyan	
Pindaroi	
Pindimar	16120
Pine Camp	
Pine Clump	
Pine Grove (NSW)	
Pine Lodge (NSW)	3900
Pine Ridge	
Pine Valley	
Piney Range	
Pinkett	
Pinnacle (NSW)	
Pinnacle Swamp	
Pinny Beach	
Piora	
Pipeclay	
Pitnacree	
Pitt Town	20800
Pitt Town Bottoms	15600
Pleasant Hills	
Pleasure Point	24076
Plumpton (NSW)	20800
Point Clare	18720
Point Frederick	16640
Point Piper	44200
Point Wolstoncroft	
Pointer Mountain	
Pokolbin	13000
Pola Creek	7800
Polo Flat	8008
Pomeroy	3120
Pomona (NSW)	7696
Ponto	
Pooncarie	
Port Botany	
Port Hacking	39000
Port Kembla	14040
Port Macquarie	16900
Port Stephens	
Porters Creek	
Porters Retreat	
Portland (NSW)	11336
Possum Brush	13520
Possum Creek	20800
Potato Point	
Pottery Estate	10920
Potts Hill	28600
Potts Point	25220
Pottsville	20540
Prairiewood	17264
Premer	1560
Prestons	24960
Pretty Beach (Central Coast - NSW)	22360
Pretty Beach (Shoalhaven - NSW)	
Pretty Pine	4160
Primbee	13676
Primrose Valley	15600
Prospect (NSW)	21320
Pucawan	
Puddledock	
Pulganbar	
Pullabooka	
Pulletop	
Pumpenbil	17420
Punchbowl (Canterbury-Bankstown - NSW)	18980
Punchbowl (Clarence Valley - NSW)	
Purfleet	7800
Purlewaugh	5200
Putney	33800
Putta Bucca	17680
Putty	
Pyangle	
Pymble	34320
Pyramul	
Pyree	14040
Pyrmont	33904
Quaama	10400
Quakers Hill	22880
Quambone	260
Quanda	
Quandary	
Quandialla	4420
Queanbeyan	15080
Queanbeyan East	14040
Queanbeyan West	16640
Queens Park (NSW)	34320
Queens Pinch	
Queenscliff (NSW)	31200
Quialigo	15496
Quidong	
Quiera	
Quipolly	7280
Quirindi	10660
Quorrobolong	16640
Raby	20800
Raglan (NSW)	16120
Rainbow Flat	20800
Rainbow Reach	
Raleigh	14560
Ramornie	15340
Ramsgate	23920
Ramsgate Beach	22880
Rand	4680
Randwick	29120
Rangari	6500
Rangers Valley	
Rankin Park	20800
Rankins Springs	
Rannock	
Rappville	10400
Rathmines	17160
Ravensdale	
Ravenswood (NSW)	7800
Ravensworth (NSW)	
Rawdon Island	20956
Rawdon Vale	
Raworth	20800
Rawsonville	
Raymond Terrace	14040
Razorback	18200
Red Head	18720
Red Hill (Snowy Valleys - NSW)	
Red Hill (Tamworth Regional - NSW)	
Red Hill (Warren - NSW)	
Red Range	8840
Red Rock	14040
Red Rocks	
Redbank (NSW)	13000
Redbournberry	17160
Reddestone	
Redfern	26000
Redhead	19240
Redlands	2600
Reedy Creek (NSW)	10452
Reedy Swamp	
Reefton (NSW)	
Regents Park (NSW)	19240
Regentville	19760
Reids Flat	6760
Reidsdale	13000
Rennie	
Renwick	29380
Repentance Creek	10400
Repton	16536
Reserve Creek	11440
Retreat (NSW)	7800
Revesby	20800
Revesby Heights	26520
Rhine Falls	
Rhodes	32240
Richlands (NSW)	
Richmond (NSW)	17680
Richmond Hill (NSW)	20800
Richmond Lowlands	15600
Richmond Vale	
Rileys Hill	15080
Ringwood (NSW)	
Riverlea	
Riverside (NSW)	18720
Riverstone	20800
Rivertree	
Riverview (NSW)	37856
Riverwood	11856
Rixs Creek	13260
Rob Roy	
Robertson (NSW)	18200
Robin Hill	11960
Rock Flat	
Rock Forest	12636
Rock Valley	15080
Rockdale	24440
Rockley	2600
Rockley Mount	
Rockton	
Rocky Creek (Gwydir - NSW)	
Rocky Creek (Inverell - NSW)	
Rocky Glen	
Rocky Hall	
Rocky Plain (NSW)	
Rocky Point (NSW)	18200
Rocky River (Tenterfield - NSW)	
Rocky River (Uralla - NSW)	10036
Rodd Point	36400
Rollands Plains	18200
Rookhurst	
Rookwood (NSW)	
Rooty Hill	20800
Ropers Road	
Ropes Crossing	24960
Rose Bay (NSW)	31200
Rose Valley (Kiama - NSW)	
Rose Valley (Snowy Monaro Regional - NSW)	
Rosebank	14300
Roseberg	
Roseberry	9360
Roseberry Creek	
Rosebery (NSW)	30160
Rosebrook (NSW)	
Rosedale (NSW)	11700
Rosehill (NSW)	20800
Roselands	19760
Rosemeadow	18200
Rosemeath	
Roseville	32760
Roseville Chase	37960
Rosewood (Port Macquarie-Hastings - NSW)	14300
Rosewood (Snowy Valleys - NSW)	7800
Roslyn	9360
Rossglen	
Rossgole	
Rossi	
Rossmore (NSW)	21996
Roto	
Rouchel	
Rouchel Brook	4160
Roughit	11440
Round Mountain	18200
Round Swamp	
Rous	19968
Rous Mill	17160
Rouse Hill	30940
Rowan	
Rowena	2600
Rowlands Creek	
Royal National Park	19656
Royalla	27404
Rozelle	34060
Ruby Creek	
Rufus	
Rugby	
Rukenvale	
Run-o-Waters	13676
Running Stream	9100
Runnyford	
Ruse	20800
Rushcutters Bay	21840
Rushes Creek	10400
Rushforth	17680
Russell Lea	26520
Russell Vale	18200
Rutherford	16120
Ruthven	15600
Ryan (NSW)	
Rydal	6916
Rydalmere	20800
Ryde	24180
Rye Park	7696
Ryhope	
Rylstone	11440
Sackville	15600
Sackville North	17316
Saddleback Mountain	
Sadleir	10868
Safety Beach (NSW)	19760
Salamander Bay	17680
Salisbury (NSW)	10140
Salisbury Plains	7540
Sallys Flat	
Salt Ash	15600
Saltwater	
San Isidore	14196
San Remo (NSW)	17680
Sancrox	11440
Sanctuary Point	14560
Sandbar	
Sandgate (NSW)	13000
Sandigo	
Sandilands (NSW)	
Sandon (NSW)	
Sandringham (NSW)	24440
Sandy Beach	17420
Sandy Creek (Cobar - NSW)	
Sandy Creek (Upper Hunter Shire - NSW)	
Sandy Crossing	
Sandy Flat	
Sandy Gully (NSW)	
Sandy Hill	
Sandy Hollow	10660
Sandy Point (NSW)	21320
Sanger	
Sans Souci	23920
Sapphire	
Sapphire Beach	21320
Saratoga	21060
Sassafras (NSW)	
Saumarez	
Saumarez Ponds	7800
Savernake	
Sawpit Creek	
Sawtell	16640
Sawyers Gully	22360
Scarborough (NSW)	22360
Scheyville	
Schofields	24440
Scone	13000
Scotia	
Scotland Island	24180
Scotts Creek (NSW)	
Scotts Flat	2600
Scotts Head	14300
Seaforth (NSW)	40560
Seaham	20800
Seahampton	19500
Seal Rocks	
Sebastopol (NSW)	
Sedgefield	
Seelands	13520
Sefton	20800
Segenhoe	5720
Seven Hills (NSW)	19760
Seven Oaks	
Sextonville	
Shadforth (NSW)	13000
Shallow Bay	
Shalvey	14560
Shanes Park	18720
Shannon Brook	13520
Shannon Vale	10400
Shannondale	
Shannons Flat	
Shark Creek	
Sharps Creek	
Sheedys Gully	
Shell Cove	28600
Shellharbour	18200
Shellharbour City Centre	5616
Shelly Beach (NSW)	20800
Sherwood (Clarence Valley - NSW)	7800
Sherwood (Kempsey - NSW)	9256
Sherwood (Kyogle - NSW)	
Shoal Bay (NSW)	15600
Shoalhaven Heads	15600
Shooters Hill	
Shortland	17160
Silent Grove	
Silverdale (NSW)	20800
Silverton (NSW)	
Silverwater (Lake Macquarie - NSW)	17940
Silverwater (Parramatta - NSW)	23400
Simpkins Creek	
Singleton (NSW)	13520
Singleton Heights	14560
Singleton Military Area	
Singletons Mill	
Six Mile Swamp	
Skennars Head	23920
Skillion Flat	
Skinners Shoot	13000
Sleepy Hollow	16640
Smeaton Grange	13156
Smithfield (NSW)	18720
Smiths Creek (Clarence Valley - NSW)	
Smiths Creek (Kyogle - NSW)	
Smiths Creek (Tweed - NSW)	14300
Smiths Lake	15600
Smithtown	13520
Snakes Plain	
Snowball	
Snowy Plain	
Sodwalls	
Sofala	5980
Soldiers Point	18200
Somersby	12480
Somerton (NSW)	8060
South Albury	8684
South Arm (Clarence Valley - NSW)	10400
South Arm (Nambucca - NSW)	7800
South Ballina	
South Bathurst	14560
South Bowenfels	17160
South Coogee	9204
South Durras	10400
South Golden Beach	20176
South Grafton	12012
South Granville	11752
South Gundagai	8320
South Gundurimba	13000
South Guyra	12480
South Hurstville	24440
South Kempsey	11440
South Lismore	13000
South Littleton	11440
South Maitland	10400
South Maroota	20800
South Murwillumbah	16640
South Nowra	15600
South Pambula	14040
South Penrith	20280
South Tamworth	12220
South Turramurra	37700
South Wentworthville	21840
South West Rocks	14300
South Windsor	16900
South Wolumla	7800
Southampton (NSW)	
Southgate	10400
Speers Point	18200
Speewa	
Spencer	13000
Spicers Creek	
Spicketts Creek	
Splitters Creek	
Spring Creek (NSW)	11440
Spring Farm (NSW)	25844
Spring Flat	13260
Spring Grove	14560
Spring Hill (Cabonne - NSW)	14040
Spring Hill (Wollongong - NSW)	
Spring Mountain (NSW)	
Spring Plains	
Spring Ridge	3120
Spring Terrace	15496
Springdale (NSW)	5720
Springdale Heights	11960
Springfield (Central Coast - NSW)	16640
Springfield (Snowy Monaro Regional - NSW)	
Springrange	11180
Springside (NSW)	12480
Springvale (Lithgow - NSW)	
Springvale (Wagga Wagga - NSW)	13520
Springwood (NSW)	18460
St Albans (NSW)	7956
St Andrews (NSW)	19760
St Clair (Penrith - NSW)	21320
St Clair (Singleton - NSW)	
St Fillans	3536
St George (NSW)	
St Georges Basin	15600
St Helens Park	19760
St Huberts Island	24960
St Ives (NSW)	35360
St Ives Chase	49400
St Johns Park	21736
St Leonards (NSW)	30160
St Marys (NSW)	18200
St Peters (NSW)	31200
Stanborough	11440
Stanbridge	4420
Stanford Merthyr	14040
Stanhope (NSW)	15756
Stanhope Gardens	29900
Stanmore (NSW)	26000
Stannifer	
Stannum	
Stanwell Park	23140
Stanwell Tops	20800
State Mine Gully	
Steam Plains	
Steeple Flat	
Stewarts Brook	
Stewarts River	11336
Stockinbingal	4160
Stockrington	
Stockton (NSW)	15600
Stockyard Creek (NSW)	
Stokers Siding	15600
Stonehenge (NSW)	9620
Stonequarry	
Stony Chute	10400
Stony Creek (Bega Valley - NSW)	
Stony Creek (Mid-Western Regional - NSW)	
Stony Crossing	
Stotts Creek	
Stratford (NSW)	10400
Strathcedar	
Stratheden	9620
Strathfield (NSW)	26000
Strathfield South	25480
Stroud	13520
Stroud Hill	
Stroud Road	10660
Stuart Town	1976
Stuarts Point	11440
Stubbo	9360
Stud Park	
Suffolk Park	28600
Sugarloaf (NSW)	
Summer Hill (Dungog - NSW)	
Summer Hill (Inner West - NSW)	23140
Summer Hill Creek	
Summer Island	
Summerland Point	18200
Sun Valley (NSW)	18512
Sunny Corner	6500
Sunset Strip (NSW)	
Sunshine (NSW)	17680
Sunshine Bay	14872
Suntop	
Surf Beach (NSW)	13780
Surfside	14560
Surry Hills	28600
Sussex Inlet	13000
Sutherland (NSW)	22100
Sutton (NSW)	18200
Sutton Forest	11440
Swan Bay (Port Stephens - NSW)	13000
Swan Bay (Richmond Valley - NSW)	13000
Swan Creek (NSW)	11752
Swan Vale	
Swanbrook	
Swanhaven	11440
Swans Crossing	
Swansea (NSW)	15080
Swansea Heads	22880
Sweetmans Creek	
Sydenham (NSW)	28600
Sydney	35880
Sydney Olympic Park	27976
Sylvania	22880
Sylvania Waters	26000
Tabbil Creek	
Tabbimoble	
Tabbita	
Table Top	10400
Tabulam	6760
Tacoma	17160
Tacoma South	22100
Tahlee	
Tahmoor	19240
Talarm	11700
Talawanta	
Talbingo	6760
Tallawang	13000
Tallimba	
Tallong	13000
Tallowal	
Tallowwood Ridge	3120
Tallwood	9620
Tallwoods Village	19760
Talmalmo	
Talofa	19500
Taloumbi	8580
Tamarama	36920
Tamban	
Tambar Springs	6240
Tambaroora	
Taminda	13260
Tamworth	10556
Tanglewood	15340
Tanilba Bay	16640
Tanja	9620
Tannabar	
Tannas Mount	8580
Tantangara	
Tantawangalo	1300
Tantonan	
Tapitallee	21060
Tara (NSW)	
Taradale (NSW)	
Tarago	11440
Taralga	7020
Tarana	8580
Tarban	
Tarbuck Bay	11700
Tarcutta	7800
Taree	12480
Taree South	11440
Taren Point	28340
Tarlo	9932
Tarraganda	11440
Tarrawanna	13416
Tarriaro	3900
Tarro	15600
Tascott	21320
Tatham	12220
Tathra	13520
Tatton	19240
Taylors Arm	5200
Taylors Beach (NSW)	15600
Taylors Flat	
Tea Gardens	15600
Telarah	13676
Telegraph Point	16120
Telopea	15860
Temagog	10400
Temora	9516
Tempe	27560
Ten Mile Hollow	
Tenambit	13520
Tenandra	7800
Tennyson (NSW)	18200
Tennyson Point	33280
Tenterden (NSW)	
Tenterfield	10140
Teralba	13260
Terania Creek	12220
Terara	10400
Teridgerie	
Termeil	11700
Terrabella	
Terrace Creek	8320
Terragon	
Terramungamine	9620
Terranora	24960
Terreel	
Terrey Hills	33800
Terrigal	23400
Terry Hie Hie	
Teven	14300
Tewinga	16120
Texas (NSW)	
Thalgarrah	5720
Tharbogang	9880
The Angle	
The Bight	10400
The Branch	
The Brothers	
The Channon	13000
The Devils Wilderness	
The Entrance	16640
The Entrance North	17160
The Freshwater	
The Gap (Richmond Valley - NSW)	
The Gap (Wagga Wagga - NSW)	6500
The Glen (NSW)	
The Gulf	
The Hatch	
The Hill	17680
The Junction	18200
The Lagoon	10400
The Marra	
The Meadows	
The Oaks	18200
The Pilliga	
The Pinnacles	
The Pocket	16120
The Ponds	33280
The Ridgeway	26000
The Risk	
The Rock	10400
The Rocks (Bathurst Regional - NSW)	
The Rocks (Sydney - NSW)	46800
The Sandon	
The Slopes	22360
The Whiteman	15080
Theresa Creek (NSW)	9880
Theresa Park	15600
Thirldene	
Thirlmere	18720
Thirroul	22516
Thora	11076
Thornleigh	26520
Thornton (NSW)	17160
Thrumster	23400
Thuddungra	6500
Thule	
Thumb Creek	
Thurgoona	16640
Thyra	
Tianjara	
Tibbuc	
Tibooburra	5200
Tichborne	
Tichular	
Tighes Hill	17160
Tilba Tilba	11440
Tilbuster	11960
Tilligerry Creek	
Tilpa	1560
Timbarra (NSW)	
Timbillica	
Timbumburi	20436
Timor (NSW)	5460
Tindarey	
Tinderry	
Tingha	8060
Tingira Heights	18200
Tinonee	13260
Tinpot	
Tintenbar	18200
Tintinhull	11076
Tiona	
Tipperary (NSW)	
Tiri	
Tirrannaville	9360
Titaatee Creek	
Tocal (NSW)	
Tocumwal	10400
Tolland	10348
Tolwong	
Tomago	11492
Tomakin	13728
Tomalla	
Tombong	
Tomboye	
Tomerong	11960
Tomewin	19500
Tomingley	6032
Tomki	
Toms Creek	13000
Tonderburine	
Tongarra	14560
Toogong	
Tooleybuc	7800
Toolijooa	25480
Tooloom	
Tooloon	
Tooma	8840
Toongabbie (NSW)	20800
Toongi	10400
Toonumbar	
Tooranie	
Tooraweenah	
Toormina	14560
Toorooka	
Toothdale	11856
Tootool	
Toowoon Bay	15600
Topi Topi	
Toronto	14560
Torrington (NSW)	3120
Torryburn (Dungog - NSW)	5200
Torryburn (Uralla - NSW)	
Totnes Valley	
Tottenham (NSW)	5616
Touga	
Toukley	15600
Towallum	
Towamba	6500
Townsend	15340
Towradgi	15236
Towrang	12012
Tralee	
Trangie	7800
Tregeagle	14976
Tregear	15080
Trenayr	9516
Trentham Cliffs	5200
Trewilga	
Triamble	
Triangle Flat	
Trundle	6136
Trungley Hall	2080
Trunkey Creek	
Tubbamurra	
Tubbul	
Tucabia	10400
Tucki Tucki	16536
Tuckombil	16900
Tuckurimba	18200
Tuena	
Tuggerah	18720
Tuggerawong	15600
Tugrabakh	9100
Tullakool	
Tullamore	2340
Tullarwalla	
Tullera	15080
Tullibigeal	4160
Tullimbar	23400
Tulloona	
Tullymorgan	6500
Tumbarumba	9360
Tumbi Umbi	18720
Tumblong	3952
Tumbulgum	17680
Tumorrama	
Tumut	10400
Tumut Plains	
Tuncester	11700
Tuncurry	13000
Tunglebung	
Tuntable Creek	7280
Tuppal	
Tura Beach	17160
Turill	
Turlinjah	7800
Turners Flat	
Turondale	14300
Tuross	
Tuross Head	14040
Turramurra	30680
Turrawan	10036
Turrella	29640
Turvey Park	15600
Tweed Heads	17160
Tweed Heads South	17680
Tweed Heads West	15600
Twelve Mile	
Twelve Mile Creek	11700
Twelve Mile Peg	
Twenty Forests	
Twin Rivers	
Two Mile Flat	1300
Tyagarah	16848
Tyalgum	15860
Tyalgum Creek	9620
Tygalgah	14820
Tyndale	10400
Tyringham	5200
Uarbry	
Uki	15860
Ulamambri	
Ulan	10920
Ulladulla	15080
Ulmarra	10400
Ulong	12480
Ultimo	28808
Umina Beach	18720
Unanderra	11284
Underbank	11076
Undercliffe	
Ungarie	2236
Unumgar	
Upper Allyn	
Upper Bingara	
Upper Burringbar	15600
Upper Bylong	
Upper Colo	2600
Upper Coopers Creek	9100
Upper Copmanhurst	11700
Upper Corindi	6500
Upper Crystal Creek	15340
Upper Dartbrook	4160
Upper Duck Creek	
Upper Duroby	19240
Upper Eden Creek	
Upper Fine Flower	
Upper Growee	
Upper Horseshoe Creek	11440
Upper Horton	1300
Upper Kangaroo River	
Upper Kangaroo Valley	
Upper Karuah River	
Upper Lansdowne	13000
Upper Macdonald	
Upper Main Arm	15600
Upper Mangrove	
Upper Manilla	6916
Upper Mongogarie	
Upper Myall	
Upper Nile	
Upper Orara	14820
Upper Pappinbarra	
Upper Rollands Plains	16640
Upper Rouchel	7800
Upper Taylors Arm	
Upper Tooloom	9880
Upper Turon	
Upper Wilsons Creek	19500
Upsalls Creek	14820
Uralba	11700
Uralla (NSW)	11440
Urana	4160
Urangeline	
Urangeline East	
Uranquinty	13780
Urawilkie	
Urbenville	9620
Uriarra	
Urila	20800
Urliup	14300
Urunga	14196
Utungun	10400
Vacy	10920
Vale Of Clwydd	12480
Valentine	21840
Valery	14560
Valla	14040
Valla Beach	16380
Valley Heights	18720
Varroville	23400
Vaucluse	33800
Verges Creek	12480
Verona	10660
Villawood	9204
Vincentia	17160
Vineyard	20540
Violet Hill	
Vittoria (NSW)	
Voyager Point	15600
Wadalba	22880
Wadbilliga	
Wadeville	8840
Wagga Wagga	13780
Wagstaffe	15600
Wahroonga	31200
Waitara	26416
Waitui	20540
Wakefield	13260
Wakeley	21840
Wakool	5200
Walang	
Walbundrie	
Walcha	7904
Walcha Road	1300
Waldegrave	
Walgett	7800
Walla Walla	8320
Wallabadah	8320
Wallabi Point	18200
Wallacetown	
Wallacia	15600
Wallaga Lake	12272
Wallagoot	15080
Wallalong	17680
Wallamore	11440
Wallanbah	9880
Wallangra	4160
Wallanthery	
Wallarah	26520
Wallaringa	
Wallarobba	11180
Wallaroo (NSW)	18096
Wallendbeen	5200
Wallerawang	10400
Walleroobie	2080
Wallingat	
Wallis Lake	
Wallsend	16640
Walmer (NSW)	1300
Wamban	9360
Wambangalang	7800
Wamberal	22100
Wamboin	18980
Wambool	
Wambrook	
Wanaaring	2340
Wandandian	12480
Wandella (NSW)	
Wandera	
Wandook	
Wandsworth	
Wang Wauk	10400
Wanganella	
Wanganui	15600
Wangi Wangi	15600
Wantabadgery	
Wantagong	
Wantiool	
Wapengo	
Warabrook	17680
Waratah (NSW)	15600
Waratah West	18200
Warburn	6500
Wardell	15600
Wardrop Valley	8580
Wards Mistake	
Wards River	11960
Wareemba	28600
Warialda	7800
Warialda Rail	6760
Warilla	13780
Warkworth	13936
Warners Bay	18200
Warnervale	22100
Warrabah	
Warraderry	4420
Warragai Creek	
Warragamba	17680
Warragoon	3900
Warrah	
Warrah Creek	
Warrah Ridge	9100
Warral	13260
Warranulla	
Warrawee	31200
Warrawidgee	7800
Warrawong	11180
Warrazambil Creek	
Warregah Island	12220
Warrell Creek	9100
Warren	7800
Warri	10400
Warriewood	35360
Warrimoo	20696
Warroo (NSW)	
Warrumbungle	
Warwick Farm	15600
Washpool (Clarence Valley - NSW)	
Washpool (Mid-Coast - NSW)	
Watagan	11336
Watanobbi	17420
Waterfall	23400
Waterloo (NSW)	27040
Watersleigh	
Waterview	10400
Waterview Heights	14040
Watsons Bay	33800
Watsons Creek (NSW)	
Wattamolla	
Wattamondara	6500
Wattle Flat (NSW)	10400
Wattle Grove (NSW)	23400
Wattle Ponds	23400
Wattle Ridge (NSW)	
Wattle Springs	2600
Watton	
Wauchope	15080
Waugorah	
Waukivory	
Waverley (NSW)	28600
Waverly	
Waverton	31200
Way Way	12480
Wayo	
Weabonga	
Wean	
Webbers Creek	
Webbs Creek	
Wedderburn (NSW)	16900
Wee Jasper	13000
Wee Waa	8320
Weedallion	
Weemelah	
Weetaliba	
Weethalle	
Weilmoringle	4160
Weismantels	
Welaregang	
Welby	16120
Wellingrove	4680
Wellington (NSW)	9360
Wellington Vale	
Wells Crossing	15600
Wendoree Park	
Wentworth (NSW)	8840
Wentworth Falls	19240
Wentworth Point	26520
Wentworthville	21320
Werai	19500
Wereboldera	
Wermatong	
Werombi	19760
Werri Beach	18980
Werrikimbe	
Werrington	17160
Werrington County	20280
Werrington Downs	20800
Werris Creek	9880
West Albury	11960
West Ballina	16640
West Bathurst	14300
West Bungawalbin	
West Coraki	16536
West Gosford	17680
West Haven	17680
West Hoxton	26052
West Kempsey	11960
West Nowra	15600
West Pennant Hills	30680
West Pymble	36400
West Ryde	21320
West Tamworth	11960
West Wallsend	17420
West Wiangaree	8840
West Wollongong	16900
West Wyalong	8840
Westbrook (NSW)	
Westdale (Snowy Valleys - NSW)	
Westdale (Tamworth Regional - NSW)	16900
Westleigh	33436
Westmead	22360
Weston (NSW)	12480
Westwood (NSW)	
Wetherill Park	23400
Wetuppa	
Whalan	14040
Whale Beach	28600
Wheeler Heights	37076
Wheeny Creek	
Wheeo	
Wherrol Flat	10660
Whian Whian	16380
Whiporie	6240
White Cliffs	
White Rock (NSW)	4680
Whitebridge	18200
Whiteman Creek	
Whitlow	
Whittingham	9360
Whitton	7800
Whoota	
Wiagdon	
Wiangaree	9880
Wiarborough	
Wickham (NSW)	19760
Widden	
Widgelli	8060
Wilberforce (NSW)	15756
Wilbetree	
Wilcannia	5720
Wild Cattle Creek	
Wildes Meadow	15600
Wiley Park	18200
Willala	
Willawarrin	10400
Willbriggie	4576
Willi Willi	
Williamsdale	
Williamtown	12636
Willigobung	
Willina	9880
Willmot	14560
Willoughby (NSW)	29900
Willoughby East	43524
Willow Tree	8840
Willow Vale (Kiama - NSW)	18720
Willow Vale (Wingecarribee - NSW)	22360
Willurah	
Wilpinjong	
Wilsons Creek	15600
Wilton (NSW)	28600
Wimbledon	
Wimborne	
Winburndale	
Windale	8632
Windang	14040
Windella	20800
Windellama	3900
Windera (NSW)	
Windermere (NSW)	15600
Windermere Park	17680
Windeyer (NSW)	
Windowie	
Windradyne	16640
Windsor (NSW)	17680
Windsor Downs	24700
Windy	
Winegrove	
Wingadee	
Wingello	13520
Wingen	12220
Wingham	13000
Winifred	
Winmalee	20800
Winston Hills	26000
Winton (NSW)	
Wirlinga	11856
Wirraba	
Wirragulla	15600
Wirrimah	
Wirrimbi	
Wirrinya	
Wisemans Creek	
Wisemans Ferry	13000
Wittitrin	6760
Wog Wog (Bega Valley - NSW)	
Wog Wog (Queanbeyan-Palerang Regional - NSW)	
Woko	
Wolgan Valley	
Wollangambe	
Wollar	3380
Wollemi	
Wolli Creek	30160
Wollogorang	9880
Wollombi	12220
Wollomombi	8320
Wollongbar	17680
Wollongong	18200
Wollstonecraft	29640
Wollumboola	
Wollun	2600
Wolumla	13520
Wombarra	25740
Wombat	7800
Wombat Creek (NSW)	
Wombeyan Caves	
Womboota	2392
Womerah	
Wonboyn	
Wonboyn North	
Wondabyne	
Wondalga	
Wongarbon	13520
Wongawilli	
Wongo Creek	
Wongwibinda	1300
Woodberry	13000
Woodbine (NSW)	19760
Woodburn (Richmond Valley - NSW)	13000
Woodburn (Shoalhaven - NSW)	
Woodcroft (NSW)	22880
Woodenbong	9100
Woodford (NSW)	18200
Woodford Island	13000
Woodhill (NSW)	
Woodhouselee	
Woodlands (Eurobodalla - NSW)	
Woodlands (Wingecarribee - NSW)	13676
Woodlawn	15600
Woodpark	23400
Woodrising	17316
Woodside (NSW)	
Woodsreef	
Woodstock (Cowra - NSW)	6760
Woodstock (Inverell - NSW)	
Woodstock (Shoalhaven - NSW)	6240
Woodview	13000
Woodville (NSW)	12480
Woody Head	
Woolbrook	
Woolgarlo	
Woolgoolga	15600
Wooli	13000
Woollahra	34060
Woollamia	11076
Woolloomooloo	26000
Woolners Arm	
Woolomin	14040
Woolooma	
Woolooware	21060
Wooloweyah	17940
Woolwich	24440
Woomargama	5200
Woombah	13000
Woongarrah	24440
Woonona	16640
Wootton	13000
Wooyung	19916
Worlds End (NSW)	
Woronora	18200
Woronora Dam	
Woronora Heights	31200
Worrigee	16900
Worrowing Heights	5460
Woy Woy	17420
Woy Woy Bay	20800
Wrathall	
Wrights Beach	15080
Wrights Creek (NSW)	
Wuuluman	
Wyalong	9880
Wyan	
Wyanbene	
Wyangala	5200
Wyangle	9100
Wybong	10920
Wybung	
Wyee	13000
Wyee Point	18200
Wylie Creek	
Wylies Flat	13000
Wymah	
Wyndham (NSW)	7020
Wyneden	
Wyoming	18200
Wyong	15600
Wyong Creek	18200
Wyongah	18200
Wyrallah	16380
Yabbra	
Yadboro	
Yagon	
Yagoona	19760
Yalbraith	
Yallah	16120
Yallaroi	1508
Yalwal	
Yamba (NSW)	15600
Yambulla	
Yanco	6916
Yanderra	18200
Yanga	416
Yankees Creek	
Yannergee	
Yantabulla	
Yaouk	
Yarara	
Yarra	8580
Yarrabandai	5200
Yarrabin	
Yarragal	
Yarragrin	
Yarragundry	10920
Yarrahapinni	11960
Yarramalong	16120
Yarraman (NSW)	
Yarramundi	28600
Yarranbella	7540
Yarrangobilly	
Yarras (Bathurst Regional - NSW)	
Yarras (Port Macquarie-Hastings - NSW)	
Yarratt Forest	
Yarravel	12740
Yarrawa	
Yarrawarrah	28600
Yarrawonga (NSW)	15080
Yarrawonga Park	17680
Yarrie Lake	
Yarrow	
Yarrowford	11440
Yarrowitch	1924
Yarrowyck	5200
Yass	15600
Yass River	15600
Yathella	
Yattalunga (NSW)	20540
Yatte Yattah	13780
Yaven Creek	
Yelgun	10920
Yellow Dam	
Yellow Pinch	
Yellow Rock (Blue Mountains - NSW)	18720
Yellow Rock (Shellharbour - NSW)	26156
Yenda (NSW)	9620
Yengo National Park	
Yennora	9100
Yeoval	7020
Yerong Creek	5200
Yerranderie	
Yerrinbool	19240
Yerriyong	
Yessabah	5200
Yetholme	10400
Yetman	4420
Yippin Creek	15600
Yoogali	13000
Yorklea	12740
Young	11700
Yowie Bay	35620
Yowrie	12220
Yullundry	5720
Yuraygir	
Zara	5200
Zetland	33800
No usual address (NSW)	
Migratory - Offshore - Shipping (NSW)	
Abbeyard	
Abbotsford (Vic.)	22152
Aberfeldie	18252
Aberfeldy	
Acheron	
Ada	
Adams Estate	
Addington	
Adelaide Lead	
Agnes	
Aire Valley	
Aireys Inlet	16068
Airly	
Airport West	18200
Albacutya	
Albanvale	15600
Albert Park (Vic.)	26000
Alberton (Vic.)	7800
Alberton West	
Albion (Vic.)	13208
Alexandra (Vic.)	10400
Alfredton	15600
Allambee	
Allambee Reserve	
Allambee South	
Allans Flat	14040
Allansford	12480
Allendale	
Allestree	12480
Alma (Vic.)	10660
Almonds	
Almurta	
Alphington	19240
Altona (Vic.)	17212
Altona Meadows	16120
