SSC_NAME16	Sex	employmentToPopulation
Freemans Waterhole	F	51.2
Freemans Waterhole	M	50
Freemantle	F	44.4
Freemantle	M	120
French Park	F	30
French Park	M	83.3
Frenchs Forest	F	62.4
Frenchs Forest	M	68.5
Freshwater (NSW)	F	67.9
Freshwater (NSW)	M	73.9
Frog Rock	F	36.9
Frog Rock	M	66.7
Frogmore	F	53.8
Frogmore	M	53.7
Frogs Hollow	F	42.2
Frogs Hollow	M	51.1
Fullerton	F	85
Fullerton	M	59.1
Fullerton Cove	F	32.1
Fullerton Cove	M	32.4
Furracabad	F	70
Furracabad	M	35
Gadara	F	82.4
Gadara	M	50
Galambine	F	52.4
Galambine	M	65.2
Galong	F	47.4
Galong	M	50.5
Galore	F	48.5
Galore	M	85.7
Galston	F	53.5
Galston	M	65
Ganbenang	F	40.5
Ganbenang	M	56.4
Gangat	F	60
Gangat	M	36.4
Ganmain	F	36.4
Ganmain	M	50
Garah	F	61.9
Garah	M	71.1
Garden Suburb	F	55.6
Garden Suburb	M	60.5
Garema	F	51.4
Garema	M	76.7
Garland	F	61.5
Garland	M	55
Garland Valley	M	57.1
Garoo	F	73
Garoo	M	77.8
Garra	F	60.6
Garra	M	61.1
Garthowen	F	54
Garthowen	M	85.9
Gateshead	F	40.1
Gateshead	M	47.8
Gelston Park	F	68.6
Gelston Park	M	67.9
Gemalla	F	30
Gemalla	M	166.7
Geneva	F	34.3
Geneva	M	45
Georges Creek (NSW)	M	72.7
Georges Hall	F	44.6
Georges Hall	M	56.4
Georges Plains	F	57.4
Georges Plains	M	47.6
Georgetown (NSW)	F	59.4
Georgetown (NSW)	M	60.3
Georgica	F	60.7
Georgica	M	47.7
Gerogery	F	66.5
Gerogery	M	66.7
Gerringong	F	48.4
Gerringong	M	59.1
Gerroa	F	47.7
Gerroa	M	49.1
Geurie	F	57.3
Geurie	M	61.1
Ghinni Ghi	F	76.5
Ghinni Ghi	M	70.6
Ghinni Ghinni	F	26.1
Ghinni Ghinni	M	43.5
Ghoolendaadi	F	36.4
Ghoolendaadi	M	52
Giants Creek	F	68.6
Giants Creek	M	53.7
Gibberagee	M	20
Gidginbung	F	58.3
Gidginbung	M	54.2
Gidley	F	51.7
Gidley	M	103.4
Gilead	F	13.1
Gilead	M	15.9
Gilgai	F	44.9
Gilgai	M	49.8
Gilgandra	F	42.3
Gilgandra	M	49.5
Gilgooma	F	52.9
Gilgooma	M	52.9
Gillenbah	F	52.7
Gillenbah	M	51.5
Gilletts Ridge	F	140
Gilletts Ridge	M	54.5
Gillieston Heights	F	60.3
Gillieston Heights	M	71.4
Gilmandyke	F	66.7
Gilmandyke	M	30
Gilmore (NSW)	F	63.1
Gilmore (NSW)	M	85.5
Gin Gin (NSW)	F	55.6
Gin Gin (NSW)	M	67.5
Gineroi	F	65.2
Gineroi	M	77.8
Gingkin	F	60.6
Gingkin	M	76.3
Girards Hill	F	45.9
Girards Hill	M	48.9
Girilambone	F	58.3
Girilambone	M	72.7
Girral	F	82.4
Girral	M	65.5
Girralong	F	56.3
Girralong	M	29.2
Girraween (NSW)	F	47.7
Girraween (NSW)	M	64.3
Girvan	F	46.2
Girvan	M	45.2
Gladesville	F	59.8
Gladesville	M	66.7
Gladstone (NSW)	F	43.7
Gladstone (NSW)	M	45.3
Glanmire (NSW)	F	66.2
Glanmire (NSW)	M	63.8
Glebe (NSW)	F	53.4
Glebe (NSW)	M	58.9
Gledswood Hills	F	37.5
Gledswood Hills	M	44.4
Glen Alice	F	32
Glen Alice	M	30.4
Glen Allen	F	125
Glen Allen	M	60
Glen Alpine	F	63.7
Glen Alpine	M	70.7
Glen Davis	F	34.3
Glen Davis	M	29.6
Glen Elgin	F	84.6
Glen Elgin	M	4.7
Glen Innes	F	40.2
Glen Innes	M	48.1
Glen Martin	F	44.9
Glen Martin	M	47.5
Glen Oak	F	53.1
Glen Oak	M	65.5
Glen Ward	M	200
Glen William	F	60.4
Glen William	M	84.1
Glenbawn	F	62.1
Glenbawn	M	60.7
Glenbrook	F	59.2
Glenbrook	M	66.9
Glencoe (NSW)	F	50
Glencoe (NSW)	M	47.1
Glendale (NSW)	F	48.5
Glendale (NSW)	M	56.3
Glendenning	F	59.5
Glendenning	M	72
Glendon	F	40.7
Glendon	M	71.8
Glendon Brook	F	71.6
Glendon Brook	M	68.9
Glenelg (NSW)	F	50
Glenelg (NSW)	M	76.5
Glenellen	F	71.2
Glenellen	M	81
Glenfield (NSW)	F	51.5
Glenfield (NSW)	M	64.9
Glenfield Park	F	58.2
Glenfield Park	M	69.9
Glengarrie	F	42.9
Glengarrie	M	27.8
Glenhaven	F	52.9
Glenhaven	M	66.1
Gleniffer	F	48.2
Gleniffer	M	57.4
Glenmore (NSW)	F	74.5
Glenmore (NSW)	M	65.2
Glenmore Park	F	68.5
Glenmore Park	M	77.2
Glennies Creek	F	50
Glennies Creek	M	62.5
Glenning Valley	F	62.4
Glenning Valley	M	69.1
Glenorie	F	58.1
Glenorie	M	66.4
Glenquarry	F	58
Glenquarry	M	69.4
Glenreagh	F	43.4
Glenreagh	M	47
Glenridding	F	36.4
Glenridding	M	57.5
Glenrock (NSW)	F	66.7
Glenrock (NSW)	M	83.3
Glenroy (Albury - NSW)	F	56.5
Glenroy (Albury - NSW)	M	60.7
Glenroy (Snowy Valleys - NSW)	F	51.7
Glenroy (Snowy Valleys - NSW)	M	86.2
Glenthorne	F	40.6
Glenthorne	M	46.9
Glenugie	F	44.6
Glenugie	M	53.6
Glenwood (NSW)	F	63.1
Glenwood (NSW)	M	72.8
Glossodia	F	66.1
Glossodia	M	75.7
Gloucester	F	35.4
Gloucester	M	46.9
Gobarralong	F	52.4
Gobarralong	M	76.2
Gobbagombalin	F	73.1
Gobbagombalin	M	75.3
Gocup	F	59.3
Gocup	M	63.5
Godfreys Creek	F	50
Godfreys Creek	M	60
Gogeldrie	F	72.4
Gogeldrie	M	75.6
Gol Gol	F	61.2
Gol Gol	M	67.2
Gollan	F	46.9
Gollan	M	54.2
Golspie	F	64
Golspie	M	78.6
Gongolgon	F	66.7
Gongolgon	M	52.4
Gonn	F	66.7
Gonn	M	52.9
Goobarragandra	F	34.5
Goobarragandra	M	40
Good Forest	F	53.3
Good Forest	M	41.7
Good Hope	F	68.7
Good Hope	M	63.5
Goodnight	F	42.9
Goodnight	M	67.4
Goodooga	F	36.7
Goodooga	M	52.4
Goodwood Island	F	33.3
Goodwood Island	M	27.3
Googong	F	71.9
Googong	M	74
Goolgowi	F	57
Goolgowi	M	74.3
Goolhi	F	74.3
Goolhi	M	67.6
Goolma	F	37.2
Goolma	M	52.1
Goolmangar	F	62.8
Goolmangar	M	73.2
Gooloogong	F	44.4
Gooloogong	M	53.4
Goombargana	F	46.2
Goombargana	M	77.8
Goonellabah	F	48.1
Goonellabah	M	54.9
Goonengerry	F	43.9
Goonengerry	M	52.5
Goonoo Goonoo	F	50
Goonoo Goonoo	M	52.2
Goonumbla	F	66.7
Goonumbla	M	80.4
Goorangoola	F	63.2
Goorangoola	M	72.4
Goorianawa	F	25
Goorianawa	M	73.3
Gordon (NSW)	F	51.5
Gordon (NSW)	M	62.6
Gorge Creek	M	100
Gormans Hill	F	33.2
Gormans Hill	M	50.5
Gorokan	F	40.3
Gorokan	M	49.2
Gosford	F	51.6
Gosford	M	60.1
Gosforth	F	51.7
Gosforth	M	41.2
Gostwyck	F	83.3
Gostwyck	M	66.7
Goulburn	F	48.8
Goulburn	M	54.4
Gouldsville	F	50
Gowan	F	25
Gowan	M	66.7
Gowang	F	37.5
Gowang	M	72.7
Gowrie (Singleton - NSW)	F	54.3
Gowrie (Singleton - NSW)	M	68.5
Gowrie (Tamworth Regional - NSW)	F	74.2
Gowrie (Tamworth Regional - NSW)	M	72.2
Grabben Gullen	F	51
Grabben Gullen	M	46.5
Gradys Creek	F	50
Gradys Creek	M	75
Grafton	F	41.6
Grafton	M	47.7
Grahamstown	F	54.5
Grahamstown	M	95.7
Graman	F	26.5
Graman	M	37
Granville (NSW)	F	45.5
Granville (NSW)	M	58.5
Grasmere	F	35.9
Grasmere	M	52.6
Grassy Head	F	45.7
Grassy Head	M	64.9
Grattai	F	59.8
Grattai	M	50.3
Gravesend	F	60.3
Gravesend	M	69.6
Grays Point	F	67.6
Grays Point	M	68.9
Great Mackerel Beach	F	26.7
Great Mackerel Beach	M	46.7
Great Marlow	F	60.3
Great Marlow	M	74
Green Creek	F	100
Green Creek	M	100
Green Gully (NSW)	F	41.2
Green Gully (NSW)	M	86.7
Green Hills (Armidale Regional - NSW)	F	85.7
Green Hills (Armidale Regional - NSW)	M	46.7
Green Pigeon	F	45.3
Green Pigeon	M	38.4
Green Point (Central Coast - NSW)	F	51.3
Green Point (Central Coast - NSW)	M	56.6
Green Point (Mid-Coast - NSW)	F	44.9
Green Point (Mid-Coast - NSW)	M	38.6
Green Valley (NSW)	F	46.6
Green Valley (NSW)	M	59.7
Greenacre	F	36.7
Greenacre	M	53
Greendale (Bega Valley - NSW)	F	77.4
Greendale (Bega Valley - NSW)	M	50
Greendale (Liverpool - NSW)	F	39.6
Greendale (Liverpool - NSW)	M	66.9
Greenethorpe	F	44.7
Greenethorpe	M	48.5
Greenfield Park	F	41.2
Greenfield Park	M	53.3
Greengrove	F	60
Greengrove	M	80
Greenhill (NSW)	F	28.7
Greenhill (NSW)	M	36.4
Greenhills Beach	F	70.3
Greenhills Beach	M	81.8
Greenlands (Singleton - NSW)	F	50
Greenlands (Singleton - NSW)	M	63.3
Greenlands (Snowy Monaro Regional - NSW)	F	37.5
Greenlands (Snowy Monaro Regional - NSW)	M	85.7
Greenleigh	F	66.2
Greenleigh	M	65.6
Greenridge	F	56
Greenridge	M	64.3
Greenwell Point	F	37.9
Greenwell Point	M	42.4
Greenwich	F	59
Greenwich	M	66.8
Greenwich Park	F	52.3
Greenwich Park	M	36
Greg Greg	F	81.3
Greg Greg	M	38.1
Gregadoo	F	72
Gregadoo	M	75.9
Gregory Hills	F	67.5
Gregory Hills	M	76.5
Greigs Flat	F	45
Greigs Flat	M	61.5
Grenfell	F	40.9
Grenfell	M	48.4
Gresford	F	43.8
Gresford	M	48.6
Greta (NSW)	F	50.4
Greta (NSW)	M	62.7
Greta Main	F	50
Greta Main	M	55.2
Grevillia	F	32.4
Grevillia	M	37.1
Greystanes	F	50.6
Greystanes	M	60.9
Griffith (NSW)	F	50.7
Griffith (NSW)	M	60.7
Grogan	F	53.1
Grogan	M	93.5
Grong Grong	F	60.8
Grong Grong	M	61
Grose Vale	F	59
Grose Vale	M	71.2
Grose Wold	F	55.3
Grose Wold	M	67.7
Grosses Plain	F	83.3
Grosses Plain	M	77.8
Guerilla Bay	F	29.6
Guildford (NSW)	F	36
Guildford (NSW)	M	51
Guildford West	F	44.8
Guildford West	M	58.2
Gulargambone	F	35.9
Gulargambone	M	38.9
Gulf Creek	F	30
Gulf Creek	M	18.8
Gulgong	F	41.8
Gulgong	M	53.5
Gulmarrad	F	43.6
Gulmarrad	M	47.9
Gum Flat	F	54.3
Gum Flat	M	65.9
Gum Scrub	F	71.4
Gum Scrub	M	35.8
Gumbalie	M	42.9
Gumble	F	52.4
Gumble	M	79.2
Gumly Gumly	F	47.4
Gumly Gumly	M	60.6
Gumma	F	41.2
Gumma	M	47.4
Gunbar	F	50
Gunbar	M	76.9
Gundagai	F	45.2
Gundagai	M	55.9
Gundamulda	M	100
Gundaroo	F	68.4
Gundaroo	M	70.1
Gundary	F	50.5
Gundary	M	61.2
Gunderbooka	M	75
Gunderman	F	36.5
Gunderman	M	32
Gundy	F	56.8
Gundy	M	73.2
Gungal	F	34.8
Gungal	M	53.6
Gunnedah	F	49.1
Gunnedah	M	60.1
Gunning	F	57
Gunning	M	58.9
Gunning Gap	F	95.5
Gunning Gap	M	84.6
Gunningbland	F	54.2
Gunningbland	M	79.4
Gurley	F	60.9
Gurley	M	74.8
Gurranang	F	12.1
Gurranang	M	13.3
Gurrundah	F	41.7
Gurrundah	M	56
Guyong	F	54.5
Guyong	M	56
Guyra	F	44.1
Guyra	M	55.4
Gwabegar	F	28.6
Gwabegar	M	44.4
Gwandalan	F	47.7
Gwandalan	M	55.2
Gwynneville	F	42.4
Gwynneville	M	44.9
Gymea	F	60.5
Gymea	M	67.5
Gymea Bay	F	62.8
Gymea Bay	M	70.3
Haberfield	F	54.3
Haberfield	M	61.8
Hacks Ferry	M	80
Halekulani	F	37.9
Halekulani	M	47.5
Halfway Creek	F	37
Halfway Creek	M	29.6
Hallidays Point	F	49.5
Hallidays Point	M	54.7
Halloran	F	43.8
Halloran	M	68.2
Halls Creek (NSW)	F	64
Halls Creek (NSW)	M	53.4
Hallsville	F	60.1
Hallsville	M	64.7
Halton	F	42.9
Halton	M	30
Hambledon Hill	M	133.3
Hamilton (NSW)	F	58.2
Hamilton (NSW)	M	60.8
Hamilton East	F	58.9
Hamilton East	M	59.5
Hamilton North	F	64.5
Hamilton North	M	67.6
Hamilton South	F	47
Hamilton South	M	49.8
Hamilton Valley	F	68.5
Hamilton Valley	M	67
Hamlyn Terrace	F	50.6
Hamlyn Terrace	M	60.1
Hammondville	F	48.9
Hammondville	M	57.6
Hampden Hall	F	44.4
Hampden Hall	M	66.7
Hampton (NSW)	F	43.8
Hampton (NSW)	M	54
Hanging Rock	F	29.6
Hanging Rock	M	35.7
Hannam Vale	F	50.6
Hannam Vale	M	50
Hanwood	F	61.9
Hanwood	M	66.4
Harden	F	37.1
Harden	M	46.5
Hardys Bay	F	44
Hardys Bay	M	49.5
Harefield	F	72.4
Harefield	M	69
Hargraves	F	30.5
Hargraves	M	46.1
Harolds Cross	F	32
Harolds Cross	M	42.9
Harparary	F	112.5
Harparary	M	71.4
Harpers Hill	F	38.5
Harpers Hill	M	30
Harrington	F	28.5
Harrington	M	26.8
Harrington Park	F	65.1
Harrington Park	M	76
Harris Park	F	44.7
Harris Park	M	68
Hartley (NSW)	F	53.4
Hartley (NSW)	M	66.8
Hartley Vale	F	66.7
Hartley Vale	M	65.6
Hartwood	F	33.3
Hartys Plains	F	75
Hartys Plains	M	80
Harwood	F	47.4
Harwood	M	47
Hassall Grove	F	56.8
Hassall Grove	M	69.4
Hastings Point	F	22.6
Hastings Point	M	27.4
Hat Head	F	44.1
Hat Head	M	39.6
Hatfield	F	42.9
Hatfield	M	100
Havilah (NSW)	F	76.9
Havilah (NSW)	M	100
Hawkesbury Heights	F	64.3
Hawkesbury Heights	M	67.1
Hawks Nest	F	30.6
Hawks Nest	M	35.9
Hay (NSW)	F	46.9
Hay (NSW)	M	56.1
Hay South	F	60.1
Hay South	M	68.1
Hayes Gap	F	50
Hayes Gap	M	50
Haymarket	F	49.2
Haymarket	M	54.9
Haystack	M	60
Hayters Hill	F	27.3
Hayters Hill	M	20
Haywards Bay	F	62
Haywards Bay	M	73.5
Hazelbrook	F	56.2
Hazelbrook	M	65.8
Hazelgrove	F	35
Hazelgrove	M	40.5
Heathcote (NSW)	F	55.5
Heathcote (NSW)	M	66.9
Heatherbrae	F	32.9
Heatherbrae	M	39.1
Hebden	F	90.9
Hebden	M	56.3
Hebersham	F	40.9
Hebersham	M	54.7
Heckenberg	F	32
Heckenberg	M	42.3
Heddon Greta	F	62.2
Heddon Greta	M	65.4
Heifer Station	M	42.9
Helensburgh	F	66.6
Helensburgh	M	69.6
Henley	F	55.5
Henley	M	64.6
Henty (NSW)	F	37.6
Henty (NSW)	M	51.1
Hereford Hall	F	53.8
Hereford Hall	M	30.8
Hermidale	F	54.2
Hermidale	M	58.6
Hermitage Flat	F	38.1
Hermitage Flat	M	38
Hernani	F	55.8
Hernani	M	73.6
Herons Creek	F	57.6
Herons Creek	M	54.4
Hexham (NSW)	F	26.5
Hexham (NSW)	M	46.7
Hickeys Creek	F	33.3
Hickeys Creek	M	47.5
High Range	F	59.9
High Range	M	69.7
Higher Macdonald	F	57.1
Higher Macdonald	M	100
Highfields (NSW)	F	56.1
Highfields (NSW)	M	69
Hill End (NSW)	F	40
Hill End (NSW)	M	46
Hill Top (Snowy Monaro Regional - NSW)	F	63.9
Hill Top (Snowy Monaro Regional - NSW)	M	65.6
Hill Top (Wingecarribee - NSW)	F	59.9
Hill Top (Wingecarribee - NSW)	M	67.6
Hilldale	F	60.8
Hilldale	M	52.9
Hillgrove (Armidale Regional - NSW)	F	57.1
Hillgrove (Armidale Regional - NSW)	M	58.4
Hillgrove (Wagga Wagga - NSW)	M	58.8
Hillsborough (Lake Macquarie - NSW)	F	57
Hillsborough (Lake Macquarie - NSW)	M	58.6
Hillsborough (Maitland - NSW)	F	64.7
Hillsborough (Maitland - NSW)	M	92.9
Hillsdale	F	53.2
Hillsdale	M	62.7
Hillston	F	52.5
Hillston	M	67.1
Hillville	F	46.4
Hillville	M	52.8
Hillvue	F	58.1
Hillvue	M	65.1
Hinchinbrook (NSW)	F	51.1
Hinchinbrook (NSW)	M	63.9
Hinton	F	51.1
Hinton	M	64.9
Hobartville (NSW)	F	54.2
Hobartville (NSW)	M	67.6
Hobbys Yards	F	58.1
Hobbys Yards	M	65.7
Hogarth Range	F	53.8
Hogarth Range	M	59.3
Holbrook	F	45.5
Holbrook	M	51.7
Holgate	F	59.2
Holgate	M	64.5
Hollisdale	F	83.3
Hollisdale	M	48
Hollydeen	F	41.4
Hollydeen	M	37.5
Holmesville	F	53.3
Holmesville	M	55.7
Holroyd	F	55
Holroyd	M	68.3
Holsworthy	F	65.1
Holsworthy	M	75.5
Holts Flat	M	100
Home Rule	F	37.5
Home Rule	M	52.6
Homebush (NSW)	F	54.2
Homebush (NSW)	M	65.8
Homebush West	F	51.4
Homebush West	M	64.2
Homeleigh	F	46.8
Homeleigh	M	65.2
Honeybugle	F	50
Honeybugle	M	45.5
Hopefield	F	40.6
Hopefield	M	73
Hopkins Creek	F	35.9
Hopkins Creek	M	44.7
Horningsea Park	F	59.4
Horningsea Park	M	72.1
Hornsby	F	55.7
Hornsby	M	68.7
Hornsby Heights	F	64.5
Hornsby Heights	M	70.2
Horse Station Creek	F	41.9
Horse Station Creek	M	51.1
Horseshoe Bend	F	49.4
Horseshoe Bend	M	46
Horseshoe Creek	F	75
Horseshoe Creek	M	75.8
Horsfield Bay	F	59.5
Horsfield Bay	M	57.2
Horsley	F	61.5
Horsley	M	68.9
Horsley Park	F	48.9
Horsley Park	M	59.5
Hoskinstown	F	69.3
Hoskinstown	M	65
Hovells Creek	F	42.1
Hovells Creek	M	76.9
Howards Grass	F	51.7
Howards Grass	M	64.7
Howell	F	42.9
Howell	M	33.3
Howes Valley	F	14
Howes Valley	M	18.6
Howlong	F	43.8
Howlong	M	50.1
Hoxton Park	F	51
Hoxton Park	M	65.5
Humula	F	52.9
Humula	M	55.9
Hunters Hill	F	50.4
Hunters Hill	M	56.7
Hunterview	F	59.7
Hunterview	M	77.4
Huntingdon	F	63.4
Huntingdon	M	54.8
Huntley (Orange - NSW)	F	69.4
Huntley (Orange - NSW)	M	74
Huntley (Wollongong - NSW)	F	60
Huntley (Wollongong - NSW)	M	37.5
Huntleys Cove	F	56.3
Huntleys Cove	M	60.1
Huntleys Point	F	44.3
Huntleys Point	M	60.3
Huonbrook	F	38.5
Huonbrook	M	23
Hurlstone Park	F	57.7
Hurlstone Park	M	62.4
Hurstville	F	47.2
Hurstville	M	58.6
Hurstville Grove	F	54.1
Hurstville Grove	M	64.2
Huskisson	F	39.7
Huskisson	M	45.6
Hyams Beach	F	27.5
Hyams Beach	M	28.8
Hyland Park	F	58.9
Hyland Park	M	48.6
Hyndmans Creek	F	50
Hyndmans Creek	M	45.5
Ilarwill	F	50
Ilarwill	M	43.4
Ilford	F	38.6
Ilford	M	43.9
Illabo	F	45.9
Illabo	M	69.2
Illaroo	F	54.5
Illaroo	M	83.3
Illawong	F	64.3
Illawong	M	67.6
Iluka (NSW)	F	25.8
Iluka (NSW)	M	24.6
Indi	F	127.3
Indi	M	68.8
Ingebirah	F	51.3
Ingebirah	M	45
Ingleburn	F	49.9
Ingleburn	M	62.5
Ingleside	F	58.7
Ingleside	M	66.9
Innes View	F	54.5
Innes View	M	45.5
Inverell	F	45
Inverell	M	53.2
Invergordon (NSW)	F	21.4
Invergordon (NSW)	M	17.6
Invergowrie	F	57
Invergowrie	M	62
Iron Pot Creek	F	25
Iron Pot Creek	M	61.5
Ironbark (NSW)	F	42.9
Ironbark (NSW)	M	45.5
Irvington	F	39.4
Irvington	M	81.8
Isabella	F	41.7
Isabella	M	75
Islington	F	63.5
Islington	M	63.6
Ivanhoe (NSW)	F	50
Ivanhoe (NSW)	M	48.8
Jackadgery	F	34.3
Jackadgery	M	55.6
Jacks Creek	F	46.8
Jacks Creek	M	60.3
Jacksons Flat	M	60
Jamberoo	F	48.7
Jamberoo	M	60.9
James Creek	F	45.6
James Creek	M	55.6
Jamisontown	F	54.4
Jamisontown	M	66
Jannali	F	56.8
Jannali	M	66.4
Jaspers Brush	F	56.4
Jaspers Brush	M	51.3
Jeir	F	68.2
Jeir	M	72.8
Jellat Jellat	F	57.1
Jellat Jellat	M	54.8
Jemalong	F	30.3
Jemalong	M	61.5
Jembaicumbene	F	100
Jembaicumbene	M	73.3
Jennings	F	23.8
Jennings	M	28.4
Jenolan	F	33.3
Jenolan	M	50
Jeogla	F	76.5
Jeogla	M	71.4
Jerangle	F	84.6
Jerangle	M	68.8
Jeremadra	F	67.7
Jeremadra	M	40.5
Jerilderie	F	47.1
Jerilderie	M	56
Jerrabattgulla	F	37.5
Jerrabattgulla	M	133.3
Jerrabomberra	F	73.3
Jerrabomberra	M	78
Jerrara	F	49.2
Jerrara	M	59.6
Jerrawa	F	44.1
Jerrawa	M	64.3
Jerrawangala	F	48.1
Jerrawangala	M	56.5
Jerrong	M	60
Jerrys Plains	F	58.6
Jerrys Plains	M	75
Jerseyville	F	53.2
Jerseyville	M	51
Jesmond	F	34.7
Jesmond	M	41.6
Jewells	F	54.2
Jewells	M	58.7
Jiggi	F	54.4
Jiggi	M	49.1
Jilliby	F	59.3
Jilliby	M	68.2
Jimenbuen	F	60
Jimenbuen	M	57.9
Jindabyne	F	73.4
Jindabyne	M	72.4
Jinden	F	50
Jinden	M	40
Jindera	F	59.4
Jindera	M	66.8
Jingellic	F	53.6
Jingellic	M	71
Jingera	F	33.3
Jingera	M	33.3
Joadja	F	67.4
Joadja	M	69.4
Joes Box	F	37.5
Joes Box	M	100
Johns River	F	43.5
Johns River	M	43.1
Jones Bridge	F	30
Jones Bridge	M	57.1
Jones Creek	F	59.5
Jones Creek	M	81.6
Jones Island	F	44.1
Jones Island	M	55.2
Jordan Springs	F	68.5
Jordan Springs	M	81
Judds Creek	F	140
Judds Creek	M	30
Jugiong	F	55.9
Jugiong	M	71.6
Junction Hill	F	42.2
Junction Hill	M	52.3
Junee	F	46
Junee	M	35.2
Junee Reefs	F	58.8
Junee Reefs	M	64.5
Kahibah	F	57.5
Kahibah	M	62.1
Kains Flat	F	39.7
Kains Flat	M	28.8
Kalang	F	44.3
Kalang	M	38.8
Kalaru	F	52.6
Kalaru	M	59.8
Kalkite	F	61.4
Kalkite	M	73.1
Kamarah	F	60.5
Kamarah	M	54.3
Kameruka	F	46
Kameruka	M	61.7
Kanahooka	F	43.8
Kanahooka	M	52.3
Kandos	F	27.5
Kandos	M	28.8
Kangaloon	F	50.8
Kangaloon	M	69.1
Kangaroo Creek	F	42.9
Kangaroo Creek	M	46.9
Kangaroo Point (NSW)	F	57.3
Kangaroo Point (NSW)	M	67.1
Kangaroo Valley	F	49.2
Kangaroo Valley	M	55
Kangaroobie	F	100
Kangaroobie	M	68.4
Kangiara	F	110
Kangiara	M	84.6
Kangy Angy	F	40.9
Kangy Angy	M	58.8
Kanimbla (NSW)	F	40.7
Kanimbla (NSW)	M	58.6
Kanoona	F	58.6
Kanoona	M	60.4
Kanwal	F	38.8
Kanwal	M	48
Kapooka	F	75.3
Kapooka	M	79.5
Karaak Flat	F	54.5
Karaak Flat	M	18.8
Karabar	F	59.7
Karabar	M	66.5
Karangi	F	57
Karangi	M	52.9
Kareela	F	57.3
Kareela	M	65.8
Kariong	F	60.2
Kariong	M	66.7
Kars Springs	F	112.5
Kars Springs	M	70.6
Karuah	F	33.6
Karuah	M	40.6
Katoomba	F	48.4
Katoomba	M	54
Kayuga	F	65
Kayuga	M	48.1
Kearns	F	66.8
Kearns	M	75.9
Kearsley	F	54.9
Kearsley	M	54.2
Keepit	F	100
Keepit	M	57.1
Keera	F	35
Keera	M	52.9
Keerrong	F	47.6
Keerrong	M	57.1
Keinbah	F	53.8
Keinbah	M	64.6
Keiraville	F	47.3
Keiraville	M	48.3
Keith Hall	F	54.1
Keith Hall	M	48.8
Kellys Plains	F	50.7
Kellys Plains	M	78.9
Kellyville	F	64.3
Kellyville	M	73.9
Kellyville Ridge	F	67.4
Kellyville Ridge	M	78.6
Kelso (NSW)	F	54
Kelso (NSW)	M	60.5
Kelvin	F	74.6
Kelvin	M	62.2
Kembla Grange	F	54.9
Kembla Grange	M	58.2
Kembla Heights	F	42.3
Kembla Heights	M	48.8
Kemps Creek	F	42.7
Kemps Creek	M	60.2
Kempsey	F	34.6
Kempsey	M	36.7
Kendall	F	44.8
Kendall	M	48.8
Kenebri	F	30
Kenebri	M	36.8
Kennaicle Creek	M	75
Kensington (NSW)	F	46.9
Kensington (NSW)	M	50.3
Kenthurst	F	59.9
Kenthurst	M	68.4
Kentlyn	F	53.6
Kentlyn	M	62.7
Kentucky	F	58.6
Kentucky	M	73
Kentucky South	F	56.5
Kentucky South	M	65.3
Kerewong	M	42.9
Keri Keri	M	100
Kerrigundi	F	75
Kerrigundi	M	125
Kerrs Creek	F	57.9
Kerrs Creek	M	55
Kew (NSW)	F	38.4
Kew (NSW)	M	36.9
Khancoban	F	31.1
Khancoban	M	43.1
Kia Ora (NSW)	F	64.3
Kia Ora (NSW)	M	46.2
Kiacatoo	F	54.5
Kiacatoo	M	64.3
Kiah	F	55.4
Kiah	M	45.6
Kiama	F	45.5
Kiama	M	52.1
Kiama Downs	F	55
Kiama Downs	M	62.4
Kiama Heights	F	50
Kiama Heights	M	52.9
Kianga (NSW)	F	31.9
Kianga (NSW)	M	33
Kiar	F	41.2
Kiar	M	69.2
Kickabil	F	85.2
Kickabil	M	90.5
Kielvale	F	57.5
Kielvale	M	67.3
Kikiamah	F	60
Kikiamah	M	45.5
Kikoira	F	73.9
Kikoira	M	82.1
Kilaben Bay	F	52.1
Kilaben Bay	M	62
Kilgin	F	40
Kilgin	M	50
Kilgra	F	45.5
Kilgra	M	37.1
Killabakh	F	42.5
Killabakh	M	50.5
Killara (NSW)	F	50.7
Killara (NSW)	M	63.3
Killarney Heights	F	56.5
Killarney Heights	M	65.8
Killarney Vale	F	48.1
Killarney Vale	M	56.8
Killawarra (NSW)	F	53
Killawarra (NSW)	M	50.7
Killcare	F	50.5
Killcare	M	57.2
Killcare Heights	F	53.1
Killcare Heights	M	54.6
Killimicat	F	50
Killimicat	M	90.9
Killingworth (NSW)	F	62.2
Killingworth (NSW)	M	66
Killongbutta	F	100
Killongbutta	M	86.7
Kimbriki	F	51.7
Kimbriki	M	59
Kinchela	F	47.2
Kinchela	M	55.2
Kincumber	F	43.5
Kincumber	M	53.9
Kincumber South	F	21.1
Kincumber South	M	29.9
Kindee	F	48.7
Kindee	M	37.2
Kindervale	F	100
Kindervale	M	30.8
King Creek	F	56.8
King Creek	M	57.4
Kingfisher Shores	F	54.4
Kingfisher Shores	M	60.6
Kings Forest	F	68.4
Kings Forest	M	100
Kings Langley	F	61.3
Kings Langley	M	68.8
Kings Park (NSW)	F	62.9
Kings Park (NSW)	M	73.1
Kings Plains (Blayney - NSW)	F	74
Kings Plains (Blayney - NSW)	M	60.8
Kings Plains (Inverell - NSW)	M	33.3
