SSC_NAME16	employmentToPopulation
Strathfield (NSW)	57.7
Strathfield South	60.1
Stroud	49
Stroud Hill	61.5
Stroud Road	50.5
Stuart Town	45.7
Stuarts Point	32.2
Stubbo	48.9
Stud Park	66.7
Suffolk Park	59.4
Sugarloaf (NSW)	48.4
Summer Hill (Dungog - NSW)	68
Summer Hill (Inner West - NSW)	67.6
Summer Hill Creek	67.9
Summer Island	73
Summerland Point	46.9
Sun Valley (NSW)	57.1
Sunny Corner	39.1
Sunset Strip (NSW)	22.7
Sunshine (NSW)	44.7
Sunshine Bay	37.6
Suntop	74.5
Surf Beach (NSW)	39.6
Surfside	42.4
Surry Hills	65.3
Sussex Inlet	30.5
Sutherland (NSW)	65.5
Sutton (NSW)	55.4
Sutton Forest	57.1
Swan Bay (Port Stephens - NSW)	52.8
Swan Bay (Richmond Valley - NSW)	60
Swan Creek (NSW)	55.3
Swan Vale	51.5
Swanbrook	112.5
Swanhaven	28.5
Swansea (NSW)	40.1
Swansea Heads	54.4
Sweetmans Creek	48.1
Sydenham (NSW)	64.6
Sydney	60.9
Sydney Olympic Park	56.7
Sylvania	54.1
Sylvania Waters	59.3
Tabbil Creek	66.7
Tabbimoble	38.5
Tabbita	64.2
Table Top	70.6
Tabulam	34.8
Tacoma	58.4
Tacoma South	62.4
Tahmoor	55.5
Talarm	51.9
Talawanta	50
Talbingo	30
Tallawang	45.9
Tallimba	57.3
Tallong	51
Tallowwood Ridge	24.3
Tallwood	68.8
Tallwoods Village	41.9
Talmalmo	69.8
Talofa	54.8
Taloumbi	33.7
Tamarama	67.1
Tamban	30.2
Tambar Springs	46.9
Tambaroora	22.2
Taminda	63.6
Tamworth	49.4
Tanglewood	54.2
Tanilba Bay	41
Tanja	50.4
Tannabar	76.4
Tannas Mount	50
Tantawangalo	51.6
Tantonan	87.5
Tapitallee	54.2
Tara (NSW)	75
Taradale (NSW)	44
Tarago	64
Taralga	52.7
Tarana	67.4
Tarban	75
Tarbuck Bay	41.8
Tarcutta	55.9
Taree	37.8
Taree South	39.8
Taren Point	40
Tarlo	51.4
Tarraganda	59.6
Tarrawanna	48
Tarriaro	62.4
Tarro	46.2
Tascott	57.9
Tatham	63.3
Tathra	48.3
Tatton	67.6
Taylors Arm	37.9
Taylors Beach (NSW)	47.4
Taylors Flat	49.1
Tea Gardens	27.1
Telarah	49
Telegraph Point	59
Telopea	51.6
Temagog	38.5
Temora	48.9
Tempe	64
Tenambit	49.4
Tenandra	86.5
Tennyson (NSW)	63.8
Tennyson Point	58.9
Tenterden (NSW)	86.2
Tenterfield	42.4
Teralba	46.7
Terania Creek	48.1
Terara	46.6
Teridgerie	82.1
Termeil	61.8
Terrabella	64.3
Terrace Creek	40
Terragon	62.1
Terramungamine	74.9
Terranora	61
Terrey Hills	61.9
Terrigal	59
Terry Hie Hie	50
Teven	58.3
Tewinga	44.7
Texas (NSW)	53.3
Thalgarrah	67.1
Tharbogang	55
The Angle	58.3
The Bight	57.4
The Branch	64.3
The Brothers	51.7
The Channon	55.4
The Entrance	39.5
The Entrance North	48.7
The Freshwater	85.7
The Gap (Wagga Wagga - NSW)	54.5
The Glen (NSW)	150
The Hatch	52.4
The Hill	68.4
The Junction	62.8
The Lagoon	57.9
The Marra	88.1
The Meadows	60
The Oaks	65.9
The Pinnacles	38.9
The Pocket	62.3
The Ponds	71.4
The Ridgeway	66.4
The Risk	57.7
The Rock	51.1
The Rocks (Bathurst Regional - NSW)	70.8
The Rocks (Sydney - NSW)	47.3
The Slopes	65.5
The Whiteman	55.2
Theresa Creek (NSW)	51.7
Theresa Park	61.9
Thirlmere	55.6
Thirroul	59.8
Thora	52.5
Thornleigh	63.2
Thornton (NSW)	65.5
Thrumster	73
Thuddungra	77.2
Thule	56
Thurgoona	65.3
Thyra	64.3
Tibbuc	52.4
Tibooburra	69.4
Tichborne	55.4
Tighes Hill	58.1
Tilba Tilba	57
Tilbuster	63.6
Tilpa	53.8
Timbarra (NSW)	81.8
Timbillica	33.3
Timbumburi	74.1
Timor (NSW)	46.5
Tindarey	55.6
Tinderry	30.5
Tingha	34.2
Tingira Heights	62.6
Tinonee	49.2
Tintenbar	53.2
Tintinhull	56.8
Tipperary (NSW)	40.7
Tirrannaville	66
Titaatee Creek	42.9
Tocal (NSW)	27.1
Tocumwal	41.6
Tolland	49
Tomago	36.3
Tomakin	38.8
Tomalla	31.3
Tombong	50
Tomboye	28.1
Tomerong	59.3
Tomewin	59.8
Tomingley	52.4
Tomki	48.2
Toms Creek	42.4
Tonderburine	77.1
Tongarra	77.2
Toogong	49.3
Tooleybuc	51.3
Toolijooa	46.4
Tooloom	72.2
Tooloon	51.4
Tooma	82.6
Toongabbie (NSW)	58.5
Toongi	93.5
Toonumbar	58.1
Tooranie	75
Tooraweenah	67.2
Toormina	42.7
Toorooka	55.1
Toothdale	52.6
Tootool	49
Toowoon Bay	43.3
Topi Topi	48.8
Toronto	40.2
Torrington (NSW)	21.1
Torryburn (Dungog - NSW)	66.4
Torryburn (Uralla - NSW)	93.1
Totnes Valley	43.8
Tottenham (NSW)	46.6
Toukley	37.3
Towamba	28.1
Townsend	45.5
Towradgi	54.1
Towrang	50.4
Tralee	75
Trangie	48.2
Tregeagle	61
Tregear	36.1
Trenayr	46.7
Trentham Cliffs	45.9
Trewilga	46.9
Triamble	25
Triangle Flat	78.3
Trundle	44.9
Trungley Hall	66.7
Trunkey Creek	50.5
Tubbamurra	66.7
Tubbul	61.3
Tucabia	46.9
Tucki Tucki	49.6
Tuckombil	60.3
Tuckurimba	64.9
Tuena	31
Tuggerah	59.9
Tuggerawong	53.4
Tugrabakh	38.1
Tullakool	63.2
Tullamore	55.9
Tullera	72.4
Tullibigeal	62
Tullimbar	62.8
Tulloona	71.8
Tullymorgan	50.9
Tumbarumba	50.9
Tumbi Umbi	53.5
Tumblong	59.3
Tumbulgum	62.5
Tumorrama	85.7
Tumut	48.8
Tumut Plains	69.8
Tuncester	50.8
Tuncurry	29.5
Tunglebung	63
Tuntable Creek	49.4
Tuppal	77.8
Tura Beach	39.7
Turill	36.3
Turlinjah	54.2
Turners Flat	59.2
Turondale	46.4
Tuross	33.3
Tuross Head	33.7
Turramurra	59
Turrawan	78.8
Turrella	58.9
Turvey Park	64.3
Tweed Heads	39.1
Tweed Heads South	38.4
Tweed Heads West	40.6
Twelve Mile	26.1
Twelve Mile Creek	37.4
Twin Rivers	54.8
Two Mile Flat	68.9
Tyagarah	48.9
Tyalgum	42.9
Tyalgum Creek	42.4
Tygalgah	59.8
Tyndale	38
Tyringham	41.3
Uarbry	15.8
Uki	47.2
Ulamambri	50
Ulan	29.1
Ulladulla	39.1
Ulmarra	43.8
Ulong	31.9
Ultimo	43.6
Umina Beach	49.5
Unanderra	42.6
Underbank	64
Undercliffe	46.2
Ungarie	48.4
Unumgar	55
Upper Allyn	116.7
Upper Bingara	44.4
Upper Burringbar	51.3
Upper Bylong	75
Upper Colo	64.6
Upper Coopers Creek	46
Upper Copmanhurst	35.5
Upper Corindi	43.8
Upper Crystal Creek	45.9
Upper Dartbrook	64.7
Upper Duck Creek	50
Upper Duroby	55.8
Upper Eden Creek	41.5
Upper Fine Flower	20.8
Upper Growee	120
Upper Horseshoe Creek	31.9
Upper Horton	52.8
Upper Kangaroo River	53.5
Upper Lansdowne	46.6
Upper Macdonald	50
Upper Main Arm	37.7
Upper Manilla	56.1
Upper Mongogarie	33.3
Upper Myall	52.2
Upper Nile	37.5
Upper Orara	54.9
Upper Pappinbarra	51.1
Upper Rollands Plains	61.5
Upper Rouchel	52.3
Upper Taylors Arm	36.8
Upper Tooloom	65.5
Upper Wilsons Creek	34.6
Upsalls Creek	42.1
Uralba	55.1
Uralla (NSW)	50.3
Urana	41.2
Urangeline	83.3
Urangeline East	58.3
Uranquinty	65
Urawilkie	75
Urbenville	28.4
Uriarra	93.8
Urila	54
Urliup	43.5
Urunga	41.4
Utungun	49.6
Vacy	67.7
Vale Of Clwydd	42.7
Valentine	57.9
Valery	59.3
Valla	51.8
Valla Beach	43.5
Valley Heights	61
Varroville	46.1
Vaucluse	58.4
Verges Creek	49.5
Verona	51.6
Villawood	30.2
Vincentia	47.5
Vineyard	51.4
Vittoria (NSW)	65
Voyager Point	70.8
Wadalba	61.6
Wadeville	28.2
Wagga Wagga	57.9
Wagstaffe	49.5
Wahroonga	57.3
Waitara	60.2
Waitui	30.3
Wakefield	60.5
Wakeley	48.3
Wakool	53.8
Walang	47.3
Walbundrie	64.2
Walcha	54.6
Walcha Road	55.6
Waldegrave	69.6
Walgett	47.6
Walla Walla	53.8
Wallabadah	50.4
Wallabi Point	59.7
Wallacetown	42.9
Wallacia	61
Wallaga Lake	32.7
Wallagoot	55.3
Wallalong	66.9
Wallamore	78.2
Wallanbah	47.8
Wallangra	43.4
Wallanthery	85.2
Wallarah	54.4
Wallaringa	50
Wallarobba	63.4
Wallaroo (NSW)	62.2
Wallendbeen	54.1
Wallerawang	48.2
Walleroobie	52.9
Wallsend	49.2
Walmer (NSW)	50
Wamban	69.2
Wambangalang	42.6
Wamberal	63.1
Wamboin	64.2
Wambool	59.3
Wambrook	44.7
Wanaaring	43.8
Wandandian	52.2
Wandella (NSW)	54.3
Wandera	17.6
Wandook	60
Wandsworth	67.9
Wang Wauk	23.2
Wanganella	71
Wanganui	35.1
Wangi Wangi	45.3
Wantabadgery	57
Wantagong	51.9
Wantiool	55.2
Wapengo	46
Warabrook	48.7
Waratah (NSW)	52.5
Waratah West	48.7
Warburn	67.1
Wardell	39.1
Wardrop Valley	52.6
Wards Mistake	85.7
Wards River	38.4
Wareemba	60.8
Warialda	43.6
Warialda Rail	38.5
Warilla	38.6
Warkworth	47.4
Warners Bay	52.8
Warnervale	64.2
Warraderry	74.6
Warragai Creek	42.7
Warragamba	61.1
Warragoon	64.2
Warrah	62.9
Warrah Creek	48.6
Warrah Ridge	66.2
Warral	62.1
Warranulla	58.8
Warrawee	59.4
Warrawidgee	54.7
Warrawong	32.6
Warrazambil Creek	36.4
Warregah Island	60
Warrell Creek	51.5
Warren	50.6
Warri	69.9
Warriewood	64.9
Warrimoo	68.2
Warroo (NSW)	73.5
Warrumbungle	100
Warwick Farm	40.7
Washpool (Mid-Coast - NSW)	56
Watagan	51
Watanobbi	51.7
Waterfall	65.2
Waterloo (NSW)	52.5
Watersleigh	76.2
Waterview	51.4
Waterview Heights	50.3
Watsons Bay	59.4
Watsons Creek (NSW)	34.3
Wattamolla	54
Wattamondara	54.4
Wattle Flat (NSW)	37.8
Wattle Grove (NSW)	70
Wattle Ponds	67.9
Wattle Springs	58.6
Watton	60.3
Wauchope	41.9
Waugorah	60
Waukivory	44.6
Waverley (NSW)	56.5
Waverly	63.4
Waverton	67.1
Way Way	50.7
Wayo	60.9
Weabonga	44.2
Wean	72.2
Webbers Creek	61.9
Webbs Creek	66.7
Wedderburn (NSW)	59.9
Wee Jasper	54.5
Wee Waa	50.2
Weedallion	84.6
Weemelah	53.7
Weetaliba	31.9
Weethalle	56.7
Weilmoringle	32
Weismantels	11.1
Welaregang	75.8
Welby	51.4
Wellingrove	51.9
Wellington (NSW)	35.7
Wellington Vale	78.8
Wells Crossing	30.4
Wendoree Park	77.3
Wentworth (NSW)	37
Wentworth Falls	49.3
Wentworth Point	67.8
Wentworthville	57.9
Werai	43.9
Wermatong	61.1
Werombi	66.6
Werri Beach	57.3
Werrington	56.7
Werrington County	64.7
Werrington Downs	68.5
Werris Creek	35.6
West Albury	48.5
West Ballina	38.3
West Bathurst	51.9
West Bungawalbin	20.8
West Coraki	30.7
West Gosford	44.4
West Haven	25.9
West Hoxton	63.8
West Kempsey	33.4
West Nowra	56.7
West Pennant Hills	62.4
West Pymble	63.1
West Ryde	61.7
West Tamworth	43.9
West Wallsend	54.6
West Wiangaree	64
West Wollongong	56.3
West Wyalong	52.8
Westbrook (NSW)	73.3
Westdale (Tamworth Regional - NSW)	63.6
Westleigh	62.5
Westmead	57.6
Weston (NSW)	46.1
Westwood (NSW)	100
Wetherill Park	50
Wetuppa	33.3
Whalan	38.4
Whale Beach	51.8
Wheeler Heights	66.5
Wheeny Creek	57.9
Wheeo	65.6
Wherrol Flat	50.4
Whian Whian	55.9
Whiporie	40
White Cliffs	55.3
White Rock (NSW)	61.8
Whitebridge	59.3
Whiteman Creek	38.1
Whitlow	72.5
Whittingham	55.2
Whitton	43.8
Whoota	33.3
Wiagdon	48
Wiangaree	52.6
Wickham (NSW)	64.5
Widden	85
Widgelli	68.6
Wilberforce (NSW)	65.7
Wilbetree	42.3
Wilcannia	36.8
Wildes Meadow	58.9
Wiley Park	47.2
Willala	55.6
Willawarrin	44.2
Willbriggie	62.9
Willi Willi	37.9
Williamsdale	68.6
Williamtown	45
Willigobung	71.4
Willina	36
Willmot	34
Willoughby (NSW)	64.6
Willoughby East	63.6
Willow Tree	41.1
Willow Vale (Kiama - NSW)	50.7
Willow Vale (Wingecarribee - NSW)	59.7
Wilsons Creek	38.9
Wilton (NSW)	75.4
Wimbledon	59.4
Wimborne	55.6
Windale	28.6
Windang	40.3
Windella	69.4
Windellama	42.2
Windera (NSW)	72
Windermere (NSW)	77.5
Windermere Park	51.8
Windeyer (NSW)	28.1
Windowie	70
Windradyne	56.9
Windsor (NSW)	54.8
Windsor Downs	66.4
Winegrove	33.3
Wingadee	57.1
Wingello	58.3
Wingen	50.4
Wingham	42.1
Winifred	74.1
Winmalee	63.6
Winston Hills	61
Winton (NSW)	64.2
Wirlinga	71.6
Wirragulla	37.9
Wirrimah	39.7
Wirrimbi	42.2
Wirrinya	62.3
Wisemans Creek	54.8
Wisemans Ferry	54.5
Wittitrin	32.4
Wog Wog (Queanbeyan-Palerang Regional - NSW)	53.3
Wolgan Valley	79
Wollar	29.1
Wolli Creek	65.4
Wollogorang	59.6
Wollombi	43.5
Wollomombi	69.9
Wollongbar	58.8
Wollongong	48
Wollstonecraft	71.2
Wollumboola	58.3
Wollun	70.5
Wolumla	53.6
Wombarra	63.6
Wombat	56.5
Wombeyan Caves	23.9
Womboota	55.3
Wonboyn	39.6
Wondalga	62.5
Wongarbon	65.5
Wongawilli	67.9
Wongo Creek	78.9
Wongwibinda	77.3
Woodberry	44.3
Woodbine (NSW)	56.3
Woodburn (Richmond Valley - NSW)	46.3
Woodburn (Shoalhaven - NSW)	58.1
Woodcroft (NSW)	66.9
Woodenbong	45.4
Woodford (NSW)	59.9
Woodford Island	55.1
Woodhill (NSW)	44.3
Woodhouselee	92.9
Woodlands (Eurobodalla - NSW)	38.5
Woodlands (Wingecarribee - NSW)	65.2
Woodlawn	64.3
Woodpark	54.8
Woodrising	57.7
Woodside (NSW)	48.6
Woodsreef	56.9
Woodstock (Cowra - NSW)	41.6
Woodstock (Inverell - NSW)	53.6
Woodstock (Shoalhaven - NSW)	44.9
Woodview	63.7
Woodville (NSW)	60.7
Woolbrook	46.7
Woolgarlo	54.2
Woolgoolga	44.8
Wooli	32.7
Woollahra	60.6
Woollamia	53.1
Woolloomooloo	58.3
Woolners Arm	27.3
Woolomin	46.1
Woolooma	75
Woolooware	66.6
Wooloweyah	57.4
Woolwich	52.1
Woomargama	57.6
Woombah	32.1
Woongarrah	61.4
Woonona	55.7
Wootton	40.9
Wooyung	38.3
Woronora	66.8
Woronora Heights	74.9
Worrigee	57.4
Worrowing Heights	7.4
Woy Woy	42.3
Woy Woy Bay	58.3
Wrathall	52.6
Wrights Beach	31
Wuuluman	6.7
Wyalong	59.4
Wyan	18.2
Wyanbene	40.7
Wyangala	34.7
Wyangle	87.5
Wybong	43.3
Wyee	48
Wyee Point	61
Wylie Creek	50
Wylies Flat	66.7
Wymah	64.7
Wyndham (NSW)	44.1
Wyneden	36.4
Wyoming	48.9
Wyong	41
Wyong Creek	62.1
Wyongah	60.1
Wyrallah	58.7
Yagoona	46.1
Yalbraith	50
Yallah	60.2
Yallaroi	76.2
Yamba (NSW)	36
Yanco	38.5
Yanderra	65.7
Yanga	44.4
Yannergee	76.9
Yantabulla	13.6
Yaouk	40.9
Yarara	85
Yarra	67.3
Yarrabandai	67.9
Yarrabin	57.4
Yarragal	46.7
Yarragrin	42.3
Yarragundry	65.2
Yarrahapinni	46.7
Yarramalong	68.2
Yarraman (NSW)	30.8
Yarramundi	67.4
Yarranbella	48.3
Yarras (Bathurst Regional - NSW)	90
Yarras (Port Macquarie-Hastings - NSW)	56.6
Yarravel	46.9
Yarrawa	59.7
Yarrawarrah	69.2
Yarrawonga (NSW)	42.3
Yarrawonga Park	50.9
Yarrie Lake	50.8
Yarrow	140
Yarrowford	52.4
Yarrowitch	49.7
Yarrowyck	51.5
Yass	57.1
Yass River	73.2
Yathella	88.6
Yattalunga (NSW)	62.7
Yatte Yattah	56
Yaven Creek	70
Yelgun	40.7
Yellow Dam	50
Yellow Pinch	35
Yellow Rock (Blue Mountains - NSW)	70.7
Yellow Rock (Shellharbour - NSW)	59.3
Yenda (NSW)	61.4
Yennora	30.5
Yeoval	42.9
Yerong Creek	45
Yerrinbool	63.7
Yerriyong	80
Yessabah	51.5
Yetholme	60
Yetman	51.9
Yippin Creek	51.2
Yoogali	61.8
Yorklea	54.8
Young	49.8
Yowie Bay	62.3
Yowrie	43.6
Yullundry	111.1
Zara	50.8
Zetland	56
No usual address (NSW)	28.8
Migratory - Offshore - Shipping (NSW)	32.6
Abbotsford (Vic.)	68.7
Aberfeldie	67
Acheron	46.5
Adams Estate	54.3
Addington	67.9
Adelaide Lead	52.6
Agnes	57.7
Aireys Inlet	52.1
Airly	65.8
Airport West	56.5
Albanvale	45.9
Albert Park (Vic.)	59.5
Alberton (Vic.)	49.5
Alberton West	54.9
Albion (Vic.)	49.1
Alexandra (Vic.)	47
Alfredton	62.9
Allambee	57.9
Allambee Reserve	47.9
Allambee South	39.4
Allans Flat	61
Allansford	63.4
Allendale	52.1
Allestree	57.8
Alma (Vic.)	39.9
Almonds	21.4
Almurta	70.7
Alphington	66.5
Altona (Vic.)	56.7
Altona Meadows	55.8
Altona North	46.9
Alvie	56.5
Amherst	37.3
Amphitheatre	39.8
Anakie	58.5
Ancona	54.2
Anderson	52.2
Anglers Rest	36.8
Anglesea	53.2
Annuello	56.5
Antwerp	36.7
Apollo Bay (Vic.)	53.2
Appin (Vic.)	27.3
Appin South	64
Apsley (Vic.)	57.7
Ararat	45.8
Arawata	67.1
Arcadia (Vic.)	74.1
Arcadia South	61.5
Archdale	30.4
Archdale Junction	80
Archerton	85.7
Archies Creek	70
Ardeer	49
Ardmona	62.6
Areegra	30
Argyle (Vic.)	38.3
Armadale (Vic.)	62.5
Armstrong	50
Armstrong Creek (Vic.)	74.8
Arnold (Vic.)	67.4
Arnold West	16.7
Arthurs Creek	56.3
Arthurs Seat	56.3
Ascot (Ballarat - Vic.)	59.7
Ascot (Greater Bendigo - Vic.)	62.1
Ascot Vale	62.9
Ashbourne (Vic.)	63.9
Ashburton	60.2
Ashwood	55.3
Aspendale	64.3
Aspendale Gardens	64.5
Athlone	57.8
Attwood	66.4
Aubrey	30
Auchmore	75
Avalon	46.7
Avenel	56.4
Avoca (Vic.)	40.2
Avon Plains	57.1
Avondale Heights	48.7
Avonmore	79.3
Avonsleigh	64.9
Axe Creek	66.7
Axedale	60.7
Ayrford	72.7
Bacchus Marsh	50.8
Baddaginnie	51.5
Badger Creek	57.8
Bael Bael	50
Bagshot	70
Bagshot North	56.7
Bahgallah	54.3
Bailieston	59.1
Bairnsdale	45.7
Bakery Hill	57
Balaclava (Vic.)	68.1
Bald Hills (Vic.)	55.3
Balintore	47.9
Ballan	51.6
Ballangeich	73.5
Ballapur	125
Ballarat Central	56.5
Ballarat East	47.3
Ballarat North	52.3
Ballendella	54.4
Balliang	50.8
Balliang East	60.9
Ballyrogan	68.9
Balmattum	59.6
Balmoral (Vic.)	54.4
Balnarring	58.4
Balnarring Beach	42.4
Balook	75
Balwyn	53.2
Balwyn North	56.2
Bamawm	61.5
Bamawm Extension	57.4
Bambra	61.2
Bamganie	65.7
Bandiana	74.9
Bangerang	60.5
Bangholme	22.1
Bannerton	86.2
Bannockburn (Vic.)	63.5
Banyan	39.1
Banyena	80
Baranduda	61.9
Barfold	61
Baringhup	48.3
Baringhup West	120
Barjarg	56.9
Barkers Creek	56.6
Barkly (Vic.)	29.7
Barkstead	60
Barmah	38.1
Barnadown	110
Barnawartha	68.1
Barnawartha North	68.4
Baromi	58.1
Barongarook	62.5
Barongarook West	56.6
Barrabool	64.3
Barrakee	46.7
Barramunga	42.9
Barraport	81
Barraport West	72.7
Barrys Reef	39.3
Barunah Park	57.1
Barunah Plains	60
Barwidgee	52.8
Barwite	55.9
Barwon Downs	66.7
Barwon Heads	59
Bass	53.2
Batesford	67
Bathumi	44.9
Baw Baw Village	73.9
Baxter	60.9
Bayindeen	23.5
Bayles	60.4
Baynton (Vic.)	60.4
Bayswater (Vic.)	57.2
Bayswater North	62.2
Beaconsfield (Vic.)	68
Beaconsfield Upper	65.8
Bealiba	25.7
Bearii	29.2
Bears Lagoon	58.5
Beauchamp	80
Beaufort (Vic.)	41.9
Beaumaris (Vic.)	58.5
Beazleys Bridge	65
Beeac	55.4
Beech Forest	55.4
Beechworth	51.4
Beenak	33.3
Belgrave	66.7
Belgrave Heights	66.7
Belgrave South	64.3
Bell Park	50.6
Bell Post Hill	49.7
Bellarine	47.3
Bellbrae	51.9
Bellbridge	56.1
Bellellen	80.4
Bellfield (Banyule - Vic.)	53.9
Bells Beach	53.2
Belmont (Vic.)	55.5
Bemm River	29
Bena	62.3
Benalla	45.7
Benambra	62.5
Benayeo	77.8
Bend Of Islands	62.1
Bendigo	54.3
Bendoc	51.5
Bengworden	63
Benjeroop	54.3
Benloch	47.7
Bennison	57.5
Bentleigh	60.7
Bentleigh East	60.4
Benwerrin	60
Beremboke	70
Berrimal	53.8
Berringa	30.4
Berringama	29.4
Berriwillock	48
Berrybank	42.1
Berrys Creek	63.1
Berwick	62.5
Bessiebelle	62.8
Bet Bet	39.2
Bete Bolong	74
Bete Bolong North	166.7
Bethanga	61.6
Betley	30.3
Beulah (Vic.)	44.6
Beverford	58.8
Beveridge	64.7
Big Hill (Greater Bendigo - Vic.)	64.1
Big Hill (Surf Coast - Vic.)	30.8
Big Pats Creek	32.1
Biggara	78.8
Bimbourie	100
Bindi	59.1
Binginwarri	59.8
Birchip	50.1
Birchip West	100
Birdwoodton	62.4
Birregurra	58.8
Bittern	60.5
Black Hill (Vic.)	56.4
Black Range (Vic.)	44
Black Rock (Vic.)	57.6
Blackburn	58.1
Blackburn North	57.9
Blackburn South	53.5
Blackwarry	58.3
Blackwood (Vic.)	55.1
Blairgowrie	41.7
Blakeville	80
Blampied	69.9
Blind Bight	64.5
Blowhard	67.9
Bo Peep	45
Bobinawarrah	85.1
Bochara	63.2
Bogong	100
Boho	84.2
Boho South	49.3
Boinka	66.7
Boisdale	61.7
Bolinda	56.9
Bolton	72.7
Bolwarra (Vic.)	57.2
Bolwarrah	57.1
Bona Vista	74
Bonang	46.8
Bonbeach	59.6
Bonegilla	79.9
Boneo	56.6
Bonn	76.9
Bonnie Doon (Vic.)	47.8
Bonshaw (Vic.)	76.7
Bookaar	62.9
Boolarong	40
Boolarra	50.1
Boolarra South	64
Boolite	65.2
Boomahnoomoonah	63.6
Boonah (Vic.)	33.3
Boorcan	72.9
Boorhaman	49.5
Boorhaman East	133.3
Boorhaman North	64.5
Boorolite	55.9
Boorool	51.3
Boort	43.2
Boosey	58
Boralma	74.1
Bornes Hill	50
Boronia	58.9
Borung	36.2
Bostocks Creek	76.1
Botanic Ridge	77.4
Boundary Bend	40.9
Bowenvale	49
Boweya	63.2
Boweya North	70.7
Bowmans Forest	68.4
Bowser	46.2
Box Hill (Vic.)	48.8
Box Hill North	56.1
Box Hill South	56.3
Boxwood	83.3
Bradford	66.7
Bradvale	58.1
Braeside	44.4
Brandy Creek (Vic.)	61
Branxholme	55.4
Bravington	52.9
Braybrook	46.5
Breakaway Creek	32.4
Breakwater	46.5
Breamlea	45.9
Brenanah	30.8
Brewster	38.1
Briagolong	54.6
Briar Hill	60.6
Bridge Creek	72
Bridgewater (Vic.)	64.7
Bridgewater North	71.1
Bridgewater On Loddon	46.5
Bright (Vic.)	49.1
Brighton (Vic.)	55.8
Brighton East	56.6
Brim	54.5
Brimin	58.7
Brimpaen	50.8
Bringalbert	66.7
Brit Brit	48.1
Broadford	54.8
Broadmeadows (Vic.)	35.5
Broadwater (Vic.)	73
Brodribb River	72.7
Broken Creek	53.1
Bromley	21.4
Brookfield (Vic.)	57.4
Brooklyn (Vic.)	60.6
Broomfield	43.4
Broughton (Vic.)	57.7
Brown Hill (Vic.)	62.7
Browns Plains (Vic.)	74.1
Bruarong	58.3
Brucknell	62.2
Brumby	100
Brunswick (Vic.)	66.2
Brunswick East	68.3
Brunswick West	62.4
Bruthen	50.6
Buangor	57.1
Buchan	50.8
Buchan South	48.1
Buckland (Vic.)	56.8
Buckley	61.7
Buckley Swamp	73.9
Buckrabanyule	45.2
Budgeree	51.7
Budgerum East	60
Buffalo	57.7
Buffalo River	54.3
Bulart	71.6
Bulgana	29.6
Bulla (Vic.)	54.4
Bullaharre	93.3
Bullarook	57.1
Bullarto	53.7
Bullarto South	72.2
Bulleen	52.3
Bullengarook	62.9
Bullioh	73.1
Bullumwaal	57.7
Buln Buln	65.6
Buln Buln East	57.3
Bumberrah	53.5
Bunbartha	71.2
Bundalaguah	61.9
Bundalong	56.6
Bundalong South	45.7
Bunding	63.3
Bundoora (Vic.)	51.6
Bung Bong	43.5
Bungador	78.2
Bungal	60.5
Bungalally	80.8
Bungaree (Vic.)	63.6
Bungeet	60.9
Bungeet West	68.4
Bunguluke	57.1
Buninyong	56.5
Bunkers Hill	64.3
Bunyip	57.4
Bunyip North	53.8
Burkes Bridge	38.5
Burkes Flat	36.4
Burnbank	35.6
Burnewang	67.7
Burnley	73.9
Burnside (Vic.)	54.3
Burnside Heights	64.2
Burramboot	80.8
Burramine	72.2
Burramine South	23.8
Burrowye	68.6
Burrumbeet	48.3
Burwood (Vic.)	46.8
Burwood East	50.8
Bushfield	68.6
Bushy Park (Vic.)	53.5
Buxton (Vic.)	50.8
Byaduk	73.4
Byaduk North	57.8
Byawatha	73.5
Bylands	58.3
Byrneside	65.9
Cabarita (Vic.)	64.9
Cabbage Tree	42.1
Cabbage Tree Creek	36.1
Cadello	50
Cairnlea	58.6
Caldermeade	59.2
California Gully	45.4
Calivil	59.3
Callawadda	63.2
Callignee	51.5
Callignee North	66.7
Callignee South	66.7
Calrossie	57.9
Calulu	56.8
Camberwell (Vic.)	57.4
Cambrian Hill	63.6
Campbellfield	35.5
Campbells Bridge	58.8
Campbells Creek	56.6
Campbells Forest	37.8
Campbelltown (Vic.)	48.6
Camperdown (Vic.)	47.5
Canadian	58.3
Canary Island	60
Caniambo	67.2
Cann River	33.9
Cannie	61.1
Cannons Creek	59.1
Cannum	50
Canterbury (Vic.)	55.7
Cape Bridgewater	53.1
Cape Clear	44.8
Cape Conran	100
Cape Otway	107.7
Cape Paterson	46.5
Cape Schanck	56.9
Cape Woolamai	57.5
Capels Crossing	54.8
Carag Carag	42
Caralulup	100
Caramut	50.8
Carapooee	27.8
Carapooee West	75
Carapook	63.5
Carboor	75.3
Cardigan	71.2
Cardigan Village	62.6
Cardinia	63.9
Cardross	61
Cargerie	53.6
Carina (Vic.)	91.3
Caringal	25
Carisbrook	51.7
Carlisle River	57.3
Carlsruhe	63.1
Carlton (Vic.)	36.5
Carlton North	69.6
Carlyle	68.1
Carnegie	58.6
Carngham	55
Caroline Springs	64.2
Carpendeit	54.4
Carrajung	50.6
Carrajung Lower	41.2
Carrajung South	38.5
Carranballac	70.4
Carron	50
Carrum	59.9
Carrum Downs	60.3
