SSC_NAME16	HomeCensusNight	persons
Moolarben	1	17
Moolpa	0	3
Moombooldool	1	30
Moonan Brook	0	3
Moonan Brook	1	24
Moonan Flat	0	11
Moonan Flat	1	120
Moonbah	0	44
Moonbah	1	524
Moonbi	0	65
Moonbi	1	1063
Moonbria	1	7
Mooneba	0	8
Mooneba	1	71
Moonee Beach	0	95
Moonee Beach	1	1836
Mooney Mooney	0	16
Mooney Mooney	1	295
Mooney Mooney Creek	0	3
Mooney Mooney Creek	1	23
Moonpar	0	3
Moonpar	1	12
Mooral Creek	0	9
Mooral Creek	1	75
Moorara	1	3
Moorbel	0	15
Moorbel	1	221
Moore Creek	0	158
Moore Creek	1	2214
Moore Park	1	28
Moorebank	0	324
Moorebank	1	9424
Moorilda	1	26
Moorland (NSW)	0	41
Moorland (NSW)	1	456
Moorong	0	10
Moorong	1	173
Moorwatha	1	45
Moparrabah	0	10
Moparrabah	1	100
Moppy	1	13
Morago	1	38
Morangarell	0	3
Morangarell	1	40
Morans Crossing	0	3
Morans Crossing	1	64
Moree	0	642
Moree	1	8668
Morisset	0	133
Morisset	1	3083
Morisset Park	0	37
Morisset Park	1	709
Morning Bay	0	4
Morning Bay	1	26
Mororo	0	4
Mororo	1	75
Morpeth	0	72
Morpeth	1	1328
Mortdale	0	307
Mortdale	1	10114
Mortlake (NSW)	0	59
Mortlake (NSW)	1	1002
Morton	0	22
Morton	1	194
Mortons Creek	0	7
Mortons Creek	1	269
Morts Estate	0	43
Morts Estate	1	587
Morundah	0	7
Morundah	1	68
Moruya	0	281
Moruya	1	3697
Moruya Heads	0	91
Moruya Heads	1	889
Morven (Greater Hume Shire - NSW)	0	6
Morven (Greater Hume Shire - NSW)	1	132
Mosman	0	1397
Mosman	1	27076
Moss Vale	0	434
Moss Vale	1	8145
Mossgiel	1	41
Mossy Point	0	58
Mossy Point	1	508
Moto	0	8
Moto	1	124
Moulamein	0	41
Moulamein	1	446
Mount Adrah	0	10
Mount Adrah	1	28
Mount Annan	0	310
Mount Annan	1	11399
Mount Arthur	0	17
Mount Arthur	1	151
Mount Austin	0	185
Mount Austin	1	3770
Mount Burrell	0	10
Mount Burrell	1	212
Mount Colah	0	234
Mount Colah	1	6859
Mount Collins	1	12
Mount Darragh	1	24
Mount David	0	7
Mount David	1	37
Mount Dee	1	6
Mount Druitt	0	424
Mount Druitt	1	16304
Mount Elliot (NSW)	0	16
Mount Elliot (NSW)	1	147
Mount Fairy	0	7
Mount Fairy	1	200
Mount Frome	0	18
Mount Frome	1	116
Mount George (NSW)	0	20
Mount George (NSW)	1	267
Mount Harris	0	3
Mount Harris	1	15
Mount Hope (NSW)	0	3
Mount Hope (NSW)	1	20
Mount Horeb	0	3
Mount Horeb	1	26
Mount Hunter	0	44
Mount Hunter	1	691
Mount Hutton (NSW)	0	151
Mount Hutton (NSW)	1	3382
Mount Irvine	0	7
Mount Irvine	1	21
Mount Keira	0	85
Mount Keira	1	1581
Mount Kembla	0	62
Mount Kembla	1	1004
Mount Kingiman	1	8
Mount Knowles	0	4
Mount Knowles	1	38
Mount Kuring-Gai	0	54
Mount Kuring-Gai	1	1656
Mount Lambie	0	4
Mount Lambie	1	72
Mount Lewis	0	41
Mount Lewis	1	1156
Mount Marsden	1	56
Mount Marsh	1	6
Mount Mitchell	0	4
Mount Mitchell	1	81
Mount Murray	0	6
Mount Murray	1	51
Mount Olive (Oberon - NSW)	1	13
Mount Olive (Singleton - NSW)	0	19
Mount Olive (Singleton - NSW)	1	129
Mount Ousley	0	78
Mount Ousley	1	1521
Mount Panorama	0	5
Mount Panorama	1	110
Mount Pleasant (NSW)	0	44
Mount Pleasant (NSW)	1	1330
Mount Pritchard	0	286
Mount Pritchard	1	9670
Mount Rankin	0	47
Mount Rankin	1	340
Mount Rivers	0	3
Mount Rivers	1	44
Mount Riverview	0	108
Mount Riverview	1	2922
Mount Royal	0	3
Mount Royal	1	23
Mount Russell	0	9
Mount Russell	1	99
Mount Saint Thomas	0	46
Mount Saint Thomas	1	1416
Mount Seaview	1	26
Mount Tenandra	1	18
Mount Thorley	0	3
Mount Thorley	1	66
Mount Tomah	0	6
Mount Tomah	1	67
Mount Vernon	0	31
Mount Vernon	1	1159
Mount Victoria	0	73
Mount Victoria	1	941
Mount View	0	10
Mount View	1	120
Mount Vincent	0	17
Mount Vincent	1	351
Mount Warning	1	93
Mount Warrigal	0	235
Mount Warrigal	1	4672
Mount Werong	0	4
Mount White	0	13
Mount White	1	165
Mount Wilson	0	12
Mount Wilson	1	86
Mountain Creek (NSW)	1	47
Mountain Lagoon	1	87
Mountain Top	0	3
Mountain Top	1	60
Mountain View (NSW)	0	7
Mountain View (NSW)	1	180
Mourquong	0	4
Mourquong	1	75
Mowbray Park	1	92
Mozart	1	50
Mudgee	0	583
Mudgee	1	10339
Mulbring	0	20
Mulbring	1	572
Mulgoa	0	86
Mulgoa	1	1811
Mulgrave (NSW)	0	3
Mulgrave (NSW)	1	90
Mulguthrie	1	3
Muli Muli	1	49
Mulla	1	10
Mulla Creek	0	5
Mulla Creek	1	81
Mullaley	0	6
Mullaley	1	147
Mullamuddy	0	3
Mullamuddy	1	60
Mullaway	0	51
Mullaway	1	517
Mullengandra	0	5
Mullengandra	1	120
Mullengudgery	0	8
Mullengudgery	1	43
Mullion	0	11
Mullion	1	80
Mullion Creek	0	38
Mullion Creek	1	521
Mulloon	0	9
Mulloon	1	132
Mullumbimby	0	176
Mullumbimby	1	3417
Mullumbimby Creek	0	36
Mullumbimby Creek	1	511
Mulwala	0	190
Mulwala	1	1978
Mulyandry	0	3
Mulyandry	1	65
Mumbil	0	20
Mumbil	1	266
Mumblebone Plain	1	24
Mummel	0	3
Mummel	1	109
Mummulgum	0	12
Mummulgum	1	87
Mundamia	0	12
Mundamia	1	60
Mundarlo	0	3
Mundarlo	1	74
Munderoo	0	3
Munderoo	1	37
Mundongo	0	12
Mundongo	1	196
Mungay Creek	0	21
Mungay Creek	1	119
Mungindi (NSW)	0	59
Mungindi (NSW)	1	541
Munni	0	7
Munni	1	36
Munyabla	1	43
Murga	0	4
Murga	1	56
Murrah	0	3
Murrah	1	47
Murrami	0	8
Murrami	1	227
Murrawombie	1	9
Murray Downs	0	30
Murray Downs	1	239
Murrays Beach	0	39
Murrays Beach	1	589
Murrays Run	0	12
Murrays Run	1	142
Murrin Bridge	0	8
Murrin Bridge	1	80
Murringo	0	28
Murringo	1	340
Murrulebale	0	3
Murrulebale	1	42
Murrumbateman	0	144
Murrumbateman	1	3076
Murrumbo	1	6
Murrumbucca	0	8
Murrumbucca	1	80
Murrumburrah	0	3
Murrumburrah	1	101
Murrurundi	0	59
Murrurundi	1	976
Murulla	1	9
Murwillumbah	0	331
Murwillumbah	1	6699
Muscle Creek	0	11
Muscle Creek	1	304
Muswellbrook	0	592
Muswellbrook	1	11483
Mutawintji	0	7
Mutawintji	1	24
Muttama	0	22
Muttama	1	106
Myall Creek	0	3
Myall Creek	1	33
Myall Park (NSW)	0	3
Myall Park (NSW)	1	194
Myalla (NSW)	1	7
Mylestom	0	29
Mylestom	1	310
Mylneford	1	81
Myocum	0	51
Myocum	1	932
Myola (NSW)	0	11
Myola (NSW)	1	94
Myrtle Creek (NSW)	0	3
Myrtle Creek (NSW)	1	83
Myrtle Mountain	0	6
Myrtle Mountain	1	46
Myrtle Park	0	11
Myrtle Park	1	42
Myrtleville	0	11
Myrtleville	1	67
Mystery Bay	0	17
Mystery Bay	1	167
Myuna Bay	1	11
Nabiac	0	73
Nabiac	1	1179
Nambucca Heads	0	362
Nambucca Heads	1	5964
Namoi River	1	53
Nana Glen	0	58
Nana Glen	1	995
Nangus	0	3
Nangus	1	196
Nanima	1	163
Napier Lane	1	30
Napoleon Reef	0	3
Napoleon Reef	1	146
Naradhan	0	11
Naradhan	1	68
Narara	0	316
Narara	1	7616
Narellan	0	131
Narellan	1	3480
Narellan Vale	0	187
Narellan Vale	1	7007
Naremburn	0	244
Naremburn	1	5647
Narone Creek	1	27
Narooma	0	242
Narooma	1	2367
Narrabarba	1	11
Narrabeen	0	383
Narrabeen	1	7820
Narrabri	0	448
Narrabri	1	7162
Narraburra	0	3
Narraburra	1	59
Narrandera	0	296
Narrandera	1	4079
Narrangullen	1	27
Narrawa	0	3
Narrawa	1	85
Narrawallee	0	107
Narrawallee	1	1135
Narraweena	0	256
Narraweena	1	6353
Narromine	0	301
Narromine	1	4393
Narwee	0	125
Narwee	1	5494
Nashdale	0	20
Nashdale	1	381
Nashua	0	3
Nashua	1	234
Nattai	0	4
Nattai	1	61
Naughtons Gap	1	77
Neath	0	48
Neath	1	443
Nebea	1	10
Neilrex	0	3
Neilrex	1	70
Nelligen	0	28
Nelligen	1	310
Nelson (Bega Valley - NSW)	1	8
Nelson (The Hills Shire - NSW)	0	30
Nelson (The Hills Shire - NSW)	1	425
Nelson Bay (NSW)	0	456
Nelson Bay (NSW)	1	5367
Nelsons Plains	0	21
Nelsons Plains	1	340
Nelungaloo	0	3
Nelungaloo	1	49
Nemingha	0	34
Nemingha	1	636
Nericon	0	7
Nericon	1	277
Neringla	0	5
Neringla	1	17
Nerong	0	6
Nerong	1	99
Nerriga	0	3
Nerriga	1	71
Nerrigundah	0	3
Nerrigundah	1	27
Nethercote	0	33
Nethercote	1	309
Neurea	0	4
Neurea	1	127
Neutral Bay	0	518
Neutral Bay	1	9965
Nevertire	0	23
Nevertire	1	166
Neville	0	17
Neville	1	229
New Berrima	0	16
New Berrima	1	564
New Brighton	0	23
New Brighton	1	332
New Buildings	0	7
New Buildings	1	33
New Italy	0	12
New Italy	1	169
New Lambton	0	469
New Lambton	1	9580
New Lambton Heights	0	130
New Lambton Heights	1	2332
New Mexico	0	4
New Mexico	1	54
New Park	0	3
New Park	1	141
New Valley	1	35
Newbold	1	7
Newbridge (NSW)	0	10
Newbridge (NSW)	1	177
Newcastle	0	227
Newcastle	1	2529
Newcastle East	0	108
Newcastle East	1	897
Newcastle West	0	44
Newcastle West	1	571
Newee Creek	0	22
Newee Creek	1	371
Newington (NSW)	0	158
Newington (NSW)	1	5647
Newnes	1	4
Newport (NSW)	0	524
Newport (NSW)	1	8781
Newrybar	0	24
Newrybar	1	414
Newstead (NSW)	0	3
Newstead (NSW)	1	20
Newton Boyd	0	3
Newton Boyd	1	22
Newtown (NSW)	0	747
Newtown (NSW)	1	14280
Niagara Park	0	108
Niagara Park	1	2637
Niangala	0	9
Niangala	1	111
Niemur	0	5
Niemur	1	31
Nimbin	0	80
Nimbin	1	1398
Nimmitabel	0	24
Nimmitabel	1	295
Nimmo	0	4
Nimmo	1	11
Nobbys Creek	0	14
Nobbys Creek	1	264
Nombi	0	4
Nombi	1	34
Noona	1	12
Noorong	1	15
Nooroo	0	11
Nooroo	1	45
Norah Head	0	58
Norah Head	1	1078
Noraville	0	151
Noraville	1	2766
Nords Wharf	0	66
Nords Wharf	1	825
Normanhurst	0	195
Normanhurst	1	5092
North Albury	0	373
North Albury	1	5682
North Arm (NSW)	0	16
North Arm (NSW)	1	111
North Arm Cove	0	39
North Arm Cove	1	408
North Avoca	0	129
North Avoca	1	2065
North Balgowlah	0	126
North Balgowlah	1	3538
North Batemans Bay	0	48
North Batemans Bay	1	507
North Boambee Valley	0	71
North Boambee Valley	1	1924
North Bondi	0	410
North Bondi	1	8750
North Bourke	0	17
North Bourke	1	277
North Casino	0	23
North Casino	1	920
North Curl Curl	0	140
North Curl Curl	1	3969
North Dorrigo	0	12
North Dorrigo	1	181
North Epping	0	134
North Epping	1	4397
North Gosford	0	195
North Gosford	1	3498
North Haven (NSW)	0	124
North Haven (NSW)	1	1549
North Lambton	0	173
North Lambton	1	3135
North Lismore	0	34
North Lismore	1	734
North Macksville	0	40
North Macksville	1	562
North Macquarie	1	26
North Manly	0	104
North Manly	1	2989
North Narooma	0	53
North Narooma	1	573
North Narrabeen	0	234
North Narrabeen	1	5617
North Nowra	0	368
North Nowra	1	5423
North Parramatta	0	399
North Parramatta	1	12844
North Richmond	0	253
North Richmond	1	4728
North Rocks	0	212
North Rocks	1	7750
North Rothbury	0	33
North Rothbury	1	872
North Ryde	0	343
North Ryde	1	10517
North Shore (NSW)	0	21
North Shore (NSW)	1	350
North St Marys	0	145
North St Marys	1	3783
North Star	0	20
North Star	1	212
North Strathfield	0	261
North Strathfield	1	4502
North Sydney	0	383
North Sydney	1	7326
North Tamworth	0	251
North Tamworth	1	4889
North Tumbulgum	0	9
North Tumbulgum	1	249
North Turramurra	0	221
North Turramurra	1	4037
North Wagga Wagga	0	48
North Wagga Wagga	1	669
North Wahroonga	0	54
North Wahroonga	1	1942
North Willoughby	0	133
North Willoughby	1	4041
North Wollongong	0	154
North Wollongong	1	2456
North Woodburn	0	4
North Woodburn	1	84
North Yalgogrin	0	7
North Yalgogrin	1	77
North Yeoval	0	3
North Yeoval	1	74
Northangera	1	37
Northbridge (NSW)	0	256
Northbridge (NSW)	1	6092
Northmead	0	371
Northmead	1	10849
Northwood (NSW)	0	47
Northwood (NSW)	1	929
Norway	1	59
Nowendoc	0	12
Nowendoc	1	130
Nowley	0	3
Nowley	1	68
Nowra	0	440
Nowra	1	8747
Nowra Hill	0	127
Nowra Hill	1	1966
Nubba	0	4
Nubba	1	75
Nulkaba	0	34
Nulkaba	1	664
Nullamanna	0	22
Nullamanna	1	137
Nullica	0	3
Nullica	1	5
Nullo Mountain	0	15
Nullo Mountain	1	16
Numbaa	0	5
Numbaa	1	108
Number One	0	3
Number One	1	23
Numbla Vale	0	3
Numbla Vale	1	34
Numbugga	0	9
Numbugga	1	113
Numeralla	0	25
Numeralla	1	233
Numinbah	0	8
Numinbah	1	122
Numulgi	0	10
Numulgi	1	199
Nunderi	0	27
Nunderi	1	632
Nundle	0	41
Nundle	1	457
Nurenmerenmong	0	3
Nurenmerenmong	1	9
Nymagee	0	9
Nymagee	1	95
Nymboida	0	22
Nymboida	1	279
Nyngan	0	166
Nyngan	1	1999
Nyora (NSW)	1	17
Nyrang Creek	1	24
O'Connell (NSW)	0	36
O'Connell (NSW)	1	529
Oak Flats	0	268
Oak Flats	1	6138
Oakdale (NSW)	0	70
Oakdale (NSW)	1	1768
Oakey Park	0	9
Oakey Park	1	316
Oakhampton	0	5
Oakhampton	1	184
Oakhampton Heights	0	11
Oakhampton Heights	1	123
Oakhurst (NSW)	0	143
Oakhurst (NSW)	1	6815
Oaklands	0	40
Oaklands	1	309
Oakville	0	58
Oakville	1	1901
Oakwood (NSW)	0	15
Oakwood (NSW)	1	150
Oallen	0	8
Oallen	1	134
Oatlands (NSW)	0	164
Oatlands (NSW)	1	5493
Oatley	0	386
Oatley	1	10099
Oban	1	7
Obanvale	1	17
Oberne Creek	0	6
Oberne Creek	1	42
Oberon	0	149
Oberon	1	3103
Obley	0	3
Obley	1	95
Ocean Shores	0	243
Ocean Shores	1	4893
Ogunbil	0	3
Ogunbil	1	147
Old Adaminaby	0	5
Old Adaminaby	1	28
Old Bar	0	218
Old Bar	1	4170
Old Bonalbo	0	9
Old Bonalbo	1	69
Old Erowal Bay	0	41
Old Erowal Bay	1	998
Old Grevillia	0	7
Old Grevillia	1	39
Old Guildford	0	47
Old Guildford	1	2611
Old Junee	0	25
Old Junee	1	236
Old Mill	1	12
Old Station	0	5
Old Station	1	25
Old Toongabbie	0	87
Old Toongabbie	1	3043
Olinda (NSW)	1	18
Omadale	1	4
One Mile (NSW)	0	35
One Mile (NSW)	1	377
One Tree	1	17
Oolong	0	3
Oolong	1	53
Ooma	1	32
Ootha	0	7
Ootha	1	73
Ophir	0	4
Ophir	1	123
Oran Park	0	144
Oran Park	1	4619
Orange	0	2143
Orange	1	35961
Orange Grove (NSW)	1	33
Orangeville	0	38
Orangeville	1	1213
Orchard Hills	0	72
Orchard Hills	1	1808
Orient Point	0	29
Orient Point	1	579
Orton Park	1	25
Osborne (NSW)	1	29
Osterley (NSW)	0	5
Osterley (NSW)	1	111
Oswald	0	7
Oswald	1	82
Otford	0	13
Otford	1	357
Oura	0	10
Oura	1	208
Ourimbah	0	146
Ourimbah	1	3801
Ournie	1	31
Owens Gap	0	6
Owens Gap	1	53
Oxford Falls	0	5
Oxford Falls	1	134
Oxley (Balranald - NSW)	0	3
Oxley (Balranald - NSW)	1	31
Oxley (Warren - NSW)	1	8
Oxley Island	0	28
Oxley Island	1	296
Oxley Park	0	118
Oxley Park	1	2993
Oxley Vale	0	257
Oxley Vale	1	3488
Oyster Bay	0	201
Oyster Bay	1	5289
Oyster Cove (NSW)	0	9
Oyster Cove (NSW)	1	76
Packsaddle	0	4
Packsaddle	1	84
Paddington (NSW)	0	653
Paddington (NSW)	1	12260
Paddys Flat (Kyogle - NSW)	1	15
Paddys River (Snowy Valleys - NSW)	1	19
Paddys River (Wingecarribee - NSW)	0	3
Paddys River (Wingecarribee - NSW)	1	34
Padstow	0	358
Padstow	1	12949
Padstow Heights	0	113
Padstow Heights	1	3426
Pagans Flat	1	3
Pages Creek	1	4
Pagewood	0	140
Pagewood	1	3665
Palarang	0	8
Palarang	1	50
Paling Yards (Bathurst Regional - NSW)	1	16
Paling Yards (Oberon - NSW)	1	16
Pallal	0	9
Pallal	1	75
Pallamallawa	0	31
Pallamallawa	1	412
Palm Beach (NSW)	0	218
Palm Beach (NSW)	1	1378
Palm Grove (NSW)	0	6
Palm Grove (NSW)	1	100
Palmdale (NSW)	0	13
Palmdale (NSW)	1	86
Palmers Channel	0	3
Palmers Channel	1	119
Palmers Island	0	25
Palmers Island	1	432
Palmers Oaky	1	32
Palmvale	0	7
Palmvale	1	78
Palmwoods (NSW)	0	8
Palmwoods (NSW)	1	98
Pambula	0	62
Pambula	1	914
Pambula Beach	0	45
Pambula Beach	1	606
Pampoolah	0	19
Pampoolah	1	371
Pan Ban	0	3
Pan Ban	1	23
Panania	0	324
Panania	1	12095
Pangee	1	10
Panuara	1	67
Pappinbarra	0	10
Pappinbarra	1	71
Paradise (NSW)	1	18
Paringi	1	15
Parkes (NSW)	0	737
Parkes (NSW)	1	10663
Parkesbourne	0	10
Parkesbourne	1	161
Parklea	0	50
Parklea	1	3419
Parkville (NSW)	0	12
Parkville (NSW)	1	286
Parma	0	5
Parma	1	167
Parramatta	0	645
Parramatta	1	25153
Parraweena	0	3
Parraweena	1	33
Patchs Beach	1	62
Paterson (NSW)	0	41
Paterson (NSW)	1	854
Patonga	0	27
Patonga	1	176
Paupong	1	13
Paxton	0	43
Paxton	1	899
Paynes Crossing	0	5
Paynes Crossing	1	111
Paytens Bridge	0	7
Paytens Bridge	1	91
Peacock Creek	1	28
Peak Hill (NSW)	0	78
Peak Hill (NSW)	1	1032
Peak View	0	3
Peak View	1	46
Peakhurst	0	303
Peakhurst	1	10238
Peakhurst Heights	0	56
Peakhurst Heights	1	2276
Pearces Creek	0	5
Pearces Creek	1	177
Pearl Beach	0	54
Pearl Beach	1	477
Peats Ridge	0	9
Peats Ridge	1	362
Pebbly Beach	1	3
Peel	0	15
Peel	1	275
Peelwood	1	36
Pejar	0	3
Pejar	1	49
Pelaw Main	0	59
Pelaw Main	1	961
Pelican (NSW)	0	44
Pelican (NSW)	1	838
Pelton	1	86
Pembrooke	0	23
Pembrooke	1	104
Pemulwuy	0	125
Pemulwuy	1	4886
Pendle Hill	0	197
Pendle Hill	1	7050
Pennant Hills	0	241
Pennant Hills	1	7049
Penrith	0	522
Penrith	1	12775
Penrose	0	20
Penrose	1	231
Penshurst (NSW)	0	335
Penshurst (NSW)	1	12452
Pericoe	1	7
Perthville	0	39
Perthville	1	589
Petersham	0	346
Petersham	1	7771
Pheasants Nest	0	39
Pheasants Nest	1	646
Phegans Bay	0	27
Phegans Bay	1	409
Phillip Bay	0	24
Phillip Bay	1	681
Phoenix Park	0	11
Phoenix Park	1	89
Piallamore	0	13
Piallamore	1	256
Piallaway	0	16
Piallaway	1	120
Piambong	0	11
Piambong	1	139
Picketts Valley	0	7
Picketts Valley	1	212
Picnic Point	0	200
Picnic Point	1	5955
Picton (NSW)	0	206
Picton (NSW)	1	4609
Pigeonbah	1	8
Piggabeen	0	12
Piggabeen	1	310
Pillar Valley	0	12
Pillar Valley	1	297
Pilliga	0	14
Pilliga	1	203
Pimlico (NSW)	0	15
Pimlico (NSW)	1	285
Pindaroi	1	39
Pindimar	0	19
Pindimar	1	318
Pine Camp	1	18
Pine Clump	0	3
Pine Clump	1	4
Pine Grove (NSW)	1	7
Pine Lodge (NSW)	1	62
Pine Ridge	0	5
Pine Ridge	1	113
Pine Valley	0	4
Pine Valley	1	26
Piney Range	1	72
Pinkett	0	5
Pinkett	1	52
Pinnacle (NSW)	1	42
Pinnacle Swamp	1	34
Piora	0	3
Piora	1	87
Pipeclay	0	10
Pipeclay	1	53
Pitnacree	1	43
Pitt Town	0	99
Pitt Town	1	2936
Pitt Town Bottoms	1	102
Pleasant Hills	0	13
Pleasant Hills	1	120
Pleasure Point	0	7
Pleasure Point	1	514
Plumpton (NSW)	0	201
Plumpton (NSW)	1	8999
Point Clare	0	165
Point Clare	1	3574
Point Frederick	0	116
Point Frederick	1	1812
Point Piper	0	88
Point Piper	1	1336
Pointer Mountain	0	3
Pointer Mountain	1	7
Pokolbin	0	75
Pokolbin	1	887
Pola Creek	0	4
Pola Creek	1	59
Polo Flat	0	3
Polo Flat	1	19
Pomeroy	0	4
Pomeroy	1	104
Pomona (NSW)	0	10
Pomona (NSW)	1	147
Ponto	1	45
Pooncarie	0	18
Pooncarie	1	144
Port Hacking	0	33
Port Hacking	1	1058
Port Kembla	0	197
Port Kembla	1	4811
Port Macquarie	0	2518
Port Macquarie	1	42318
Porters Retreat	0	8
Porters Retreat	1	44
Portland (NSW)	0	172
Portland (NSW)	1	2257
Possum Brush	0	19
Possum Brush	1	129
Possum Creek	0	26
Possum Creek	1	255
Potato Point	0	10
Potato Point	1	128
Pottery Estate	0	15
Pottery Estate	1	124
Potts Hill	0	13
Potts Hill	1	883
Potts Point	0	458
Potts Point	1	8968
Pottsville	0	283
Pottsville	1	6420
Prairiewood	0	110
Prairiewood	1	3138
Premer	0	3
Premer	1	78
Prestons	0	325
Prestons	1	14988
Pretty Beach (Central Coast - NSW)	0	22
Pretty Beach (Central Coast - NSW)	1	322
Pretty Pine	0	6
Pretty Pine	1	54
Primbee	0	80
Primbee	1	1562
Primrose Valley	0	8
Primrose Valley	1	135
Prospect (NSW)	0	127
Prospect (NSW)	1	4587
Pucawan	1	37
Puddledock	1	44
Pulganbar	1	12
Pullabooka	0	3
Pullabooka	1	42
Pulletop	0	16
Pulletop	1	67
Pumpenbil	0	14
Pumpenbil	1	184
Punchbowl (Canterbury-Bankstown - NSW)	0	514
Punchbowl (Canterbury-Bankstown - NSW)	1	19725
Punchbowl (Clarence Valley - NSW)	1	3
Purfleet	0	8
Purfleet	1	118
Purlewaugh	0	19
Purlewaugh	1	86
Putney	0	155
Putney	1	3948
Putta Bucca	0	19
Putta Bucca	1	205
Putty	0	7
Putty	1	154
Pyangle	1	18
Pymble	0	420
Pymble	1	10629
Pyramul	0	9
Pyramul	1	66
Pyree	0	3
Pyree	1	99
Pyrmont	0	526
Pyrmont	1	12286
Quaama	0	33
Quaama	1	250
Quakers Hill	0	611
Quakers Hill	1	26468
Quambone	0	7
Quambone	1	158
Quanda	0	4
Quanda	1	4
Quandary	1	42
Quandialla	0	12
Quandialla	1	182
Queanbeyan	0	347
Queanbeyan	1	5893
Queanbeyan East	0	191
Queanbeyan East	1	3743
Queanbeyan West	0	124
Queanbeyan West	1	3013
Queens Park (NSW)	0	117
Queens Park (NSW)	1	2952
Queens Pinch	1	28
Queenscliff (NSW)	0	182
Queenscliff (NSW)	1	3192
Quialigo	0	12
Quialigo	1	239
Quidong	1	11
Quipolly	0	17
Quipolly	1	165
Quirindi	0	223
Quirindi	1	3218
Quorrobolong	0	47
Quorrobolong	1	466
Raby	0	182
Raby	1	5759
Raglan (NSW)	0	57
Raglan (NSW)	1	1143
Rainbow Flat	0	42
Rainbow Flat	1	628
Rainbow Reach	0	8
Rainbow Reach	1	82
Raleigh	0	39
Raleigh	1	612
Ramornie	0	17
Ramornie	1	185
Ramsgate	0	42
Ramsgate	1	1068
Ramsgate Beach	0	68
Ramsgate Beach	1	1594
Rand	0	5
Rand	1	199
Randwick	0	1182
Randwick	1	28805
Rangari	0	4
Rangari	1	36
Rangers Valley	1	24
Rankin Park	0	102
Rankin Park	1	2350
Rankins Springs	0	18
Rankins Springs	1	156
Rannock	1	55
Rappville	0	6
Rappville	1	157
Rathmines	0	115
Rathmines	1	1782
Ravensdale	0	9
Ravensdale	1	51
Ravenswood (NSW)	0	37
Ravenswood (NSW)	1	460
Ravensworth (NSW)	1	12
Rawdon Island	0	11
Rawdon Island	1	90
Rawdon Vale	0	3
Rawdon Vale	1	19
Raworth	0	99
Raworth	1	1683
Rawsonville	0	3
Rawsonville	1	49
Raymond Terrace	0	657
Raymond Terrace	1	12164
Razorback	0	29
Razorback	1	1050
Red Head	0	24
Red Head	1	489
Red Hill (Tamworth Regional - NSW)	1	23
Red Hill (Warren - NSW)	1	7
Red Range	0	16
Red Range	1	166
Red Rock	0	28
Red Rock	1	411
Red Rocks	1	6
Redbank (NSW)	0	19
Redbank (NSW)	1	351
Redbournberry	0	17
Redbournberry	1	214
Reddestone	1	52
Redfern	0	637
Redfern	1	12580
Redhead	0	209
Redhead	1	3308
Redlands	1	36
Reedy Creek (NSW)	0	7
Reedy Creek (NSW)	1	169
Reedy Swamp	0	5
Reedy Swamp	1	76
Reefton (NSW)	1	41
Regents Park (NSW)	0	124
Regents Park (NSW)	1	4801
Regentville	0	27
Regentville	1	778
Reids Flat	0	10
Reids Flat	1	74
Reidsdale	0	14
Reidsdale	1	109
Rennie	0	3
Rennie	1	43
Renwick	0	16
Renwick	1	558
Repentance Creek	0	7
Repentance Creek	1	94
Repton	0	33
Repton	1	612
Reserve Creek	0	3
Reserve Creek	1	125
Retreat (NSW)	0	4
Retreat (NSW)	1	46
Revesby	0	419
Revesby	1	13753
Revesby Heights	0	42
Revesby Heights	1	1631
Rhine Falls	1	37
Rhodes	0	316
Rhodes	1	11589
Richlands (NSW)	1	34
Richmond (NSW)	0	239
Richmond (NSW)	1	5245
Richmond Hill (NSW)	0	43
Richmond Hill (NSW)	1	781
Richmond Lowlands	1	42
Richmond Vale	1	84
Rileys Hill	0	5
Rileys Hill	1	166
Ringwood (NSW)	0	3
Ringwood (NSW)	1	32
Riverlea	0	10
Riverlea	1	35
Riverside (NSW)	0	25
Riverside (NSW)	1	294
Riverstone	0	248
Riverstone	1	6998
Rivertree	0	3
Rivertree	1	15
Riverview (NSW)	0	92
Riverview (NSW)	1	3267
Riverwood	0	322
Riverwood	1	11775
Rixs Creek	1	24
Rob Roy	0	13
Rob Roy	1	54
Robertson (NSW)	0	130
Robertson (NSW)	1	1733
Robin Hill	0	51
Robin Hill	1	875
Rock Flat	0	4
Rock Flat	1	72
Rock Forest	0	11
Rock Forest	1	189
Rock Valley	0	13
Rock Valley	1	252
Rockdale	0	426
Rockdale	1	15113
Rockley	0	15
Rockley	1	174
Rockley Mount	0	5
Rockley Mount	1	80
Rockton	0	3
Rockton	1	22
Rocky Creek (Gwydir - NSW)	0	3
Rocky Creek (Gwydir - NSW)	1	48
Rocky Creek (Inverell - NSW)	1	8
Rocky Glen	0	11
Rocky Glen	1	72
Rocky Hall	0	8
Rocky Hall	1	35
Rocky Plain (NSW)	0	4
Rocky Plain (NSW)	1	58
Rocky Point (NSW)	0	9
Rocky Point (NSW)	1	251
Rocky River (Tenterfield - NSW)	0	3
Rocky River (Tenterfield - NSW)	1	16
Rocky River (Uralla - NSW)	0	23
Rocky River (Uralla - NSW)	1	247
Rodd Point	0	31
Rodd Point	1	1342
Rollands Plains	0	24
