SSC_NAME16	OnlyEnglishSpokenHome	persons
Rye Park	1	228
Ryhope	1	24
Rylstone	0	20
Rylstone	1	832
Sackville	0	3
Sackville	1	223
Sackville North	0	11
Sackville North	1	262
Saddleback Mountain	0	3
Saddleback Mountain	1	56
Sadleir	0	1579
Sadleir	1	1318
Safety Beach (NSW)	0	57
Safety Beach (NSW)	1	837
Salamander Bay	0	197
Salamander Bay	1	4304
Salisbury (NSW)	1	50
Salisbury Plains	1	80
Sallys Flat	1	11
Salt Ash	0	24
Salt Ash	1	1022
Saltwater	1	3
San Isidore	0	11
San Isidore	1	341
San Remo (NSW)	0	165
San Remo (NSW)	1	3964
Sancrox	0	15
Sancrox	1	520
Sanctuary Point	0	317
Sanctuary Point	1	6495
Sandbar	1	3
Sandgate (NSW)	0	15
Sandgate (NSW)	1	270
Sandigo	1	79
Sandilands (NSW)	1	11
Sandon (NSW)	1	11
Sandringham (NSW)	0	430
Sandringham (NSW)	1	763
Sandy Beach	0	105
Sandy Beach	1	2039
Sandy Creek (Cobar - NSW)	1	23
Sandy Creek (Upper Hunter Shire - NSW)	1	21
Sandy Crossing	1	21
Sandy Flat	1	78
Sandy Gully (NSW)	1	23
Sandy Hill	0	4
Sandy Hill	1	19
Sandy Hollow	0	7
Sandy Hollow	1	136
Sandy Point (NSW)	0	68
Sandy Point (NSW)	1	495
Sanger	1	7
Sans Souci	0	3935
Sans Souci	1	5750
Sapphire	1	37
Sapphire Beach	0	141
Sapphire Beach	1	1817
Saratoga	0	156
Saratoga	1	3618
Sassafras (NSW)	0	3
Sassafras (NSW)	1	18
Saumarez	1	78
Saumarez Ponds	0	9
Saumarez Ponds	1	408
Savernake	1	79
Sawpit Creek	1	11
Sawtell	0	133
Sawtell	1	3370
Sawyers Gully	0	4
Sawyers Gully	1	453
Scarborough (NSW)	0	12
Scarborough (NSW)	1	286
Scheyville	1	10
Schofields	0	1405
Schofields	1	3343
Scone	0	283
Scone	1	4959
Scotia	1	11
Scotland Island	0	46
Scotland Island	1	505
Scotts Creek (NSW)	1	21
Scotts Flat	1	36
Scotts Head	0	20
Scotts Head	1	824
Seaforth (NSW)	0	1009
Seaforth (NSW)	1	5891
Seaham	0	9
Seaham	1	957
Seahampton	0	5
Seahampton	1	282
Seal Rocks	1	36
Sebastopol (NSW)	1	54
Sedgefield	0	4
Sedgefield	1	165
Seelands	0	7
Seelands	1	360
Sefton	0	3859
Sefton	1	1657
Segenhoe	0	7
Segenhoe	1	192
Seven Hills (NSW)	0	7686
Seven Hills (NSW)	1	10634
Seven Oaks	1	57
Sextonville	0	3
Sextonville	1	16
Shadforth (NSW)	1	80
Shallow Bay	0	4
Shallow Bay	1	41
Shalvey	0	802
Shalvey	1	2370
Shanes Park	0	116
Shanes Park	1	254
Shannon Brook	1	152
Shannon Vale	1	131
Shannondale	1	77
Shannons Flat	0	4
Shannons Flat	1	73
Shark Creek	1	16
Sharps Creek	0	3
Sharps Creek	1	10
Sheedys Gully	0	3
Sheedys Gully	1	73
Shell Cove	0	676
Shell Cove	1	4794
Shellharbour	0	288
Shellharbour	1	3020
Shellharbour City Centre	0	62
Shellharbour City Centre	1	172
Shelly Beach (NSW)	0	41
Shelly Beach (NSW)	1	1204
Sherwood (Clarence Valley - NSW)	0	4
Sherwood (Clarence Valley - NSW)	1	52
Sherwood (Kempsey - NSW)	1	144
Sherwood (Kyogle - NSW)	1	24
Shoal Bay (NSW)	0	94
Shoal Bay (NSW)	1	1401
Shoalhaven Heads	0	89
Shoalhaven Heads	1	2773
Shooters Hill	1	34
Shortland	0	519
Shortland	1	3252
Silent Grove	1	15
Silverdale (NSW)	0	266
Silverdale (NSW)	1	3237
Silverton (NSW)	1	48
Silverwater (Lake Macquarie - NSW)	0	8
Silverwater (Lake Macquarie - NSW)	1	277
Silverwater (Parramatta - NSW)	0	1413
Silverwater (Parramatta - NSW)	1	747
Simpkins Creek	1	22
Singleton (NSW)	0	171
Singleton (NSW)	1	4521
Singleton Heights	0	167
Singleton Heights	1	4213
Singleton Military Area	0	21
Singleton Military Area	1	294
Singletons Mill	1	3
Skennars Head	0	40
Skennars Head	1	1069
Skillion Flat	0	3
Skillion Flat	1	61
Skinners Shoot	0	4
Skinners Shoot	1	82
Sleepy Hollow	0	8
Sleepy Hollow	1	85
Smeaton Grange	1	15
Smithfield (NSW)	0	7145
Smithfield (NSW)	1	4213
Smiths Creek (Clarence Valley - NSW)	1	12
Smiths Creek (Kyogle - NSW)	1	53
Smiths Creek (Tweed - NSW)	0	6
Smiths Creek (Tweed - NSW)	1	264
Smiths Lake	0	37
Smiths Lake	1	1136
Smithtown	0	3
Smithtown	1	551
Snakes Plain	1	9
Sodwalls	1	61
Sofala	1	105
Soldiers Point	0	56
Soldiers Point	1	1284
Somersby	0	68
Somersby	1	902
Somerton (NSW)	0	3
Somerton (NSW)	1	226
South Albury	0	159
South Albury	1	1099
South Arm (Clarence Valley - NSW)	0	3
South Arm (Clarence Valley - NSW)	1	221
South Arm (Nambucca - NSW)	0	7
South Arm (Nambucca - NSW)	1	298
South Ballina	1	35
South Bathurst	0	66
South Bathurst	1	1426
South Bowenfels	0	37
South Bowenfels	1	1040
South Coogee	0	1319
South Coogee	1	3850
South Durras	0	16
South Durras	1	278
South Golden Beach	0	45
South Golden Beach	1	685
South Grafton	0	132
South Grafton	1	5550
South Granville	0	3720
South Granville	1	1314
South Gundagai	0	9
South Gundagai	1	732
South Gundurimba	0	5
South Gundurimba	1	291
South Guyra	0	11
South Guyra	1	295
South Hurstville	0	2961
South Hurstville	1	1924
South Kempsey	0	48
South Kempsey	1	1973
South Lismore	0	28
South Lismore	1	1721
South Littleton	0	9
South Littleton	1	274
South Maitland	0	18
South Maitland	1	361
South Maroota	0	12
South Maroota	1	482
South Murwillumbah	0	28
South Murwillumbah	1	982
South Nowra	0	114
South Nowra	1	1616
South Pambula	0	12
South Pambula	1	433
South Penrith	0	1169
South Penrith	1	10089
South Tamworth	0	316
South Tamworth	1	5649
South Turramurra	0	580
South Turramurra	1	2389
South Wentworthville	0	3326
South Wentworthville	1	2535
South West Rocks	0	89
South West Rocks	1	4212
South Windsor	0	331
South Windsor	1	5131
South Wolumla	1	163
Southampton (NSW)	1	23
Southgate	1	176
Speers Point	0	125
Speers Point	1	3053
Speewa	1	82
Spencer	0	9
Spencer	1	216
Spicers Creek	1	69
Spicketts Creek	1	38
Splitters Creek	0	4
Splitters Creek	1	260
Spring Creek (NSW)	1	125
Spring Farm (NSW)	0	472
Spring Farm (NSW)	1	3666
Spring Flat	0	5
Spring Flat	1	173
Spring Grove	0	3
Spring Grove	1	422
Spring Hill (Cabonne - NSW)	0	13
Spring Hill (Cabonne - NSW)	1	448
Spring Mountain (NSW)	1	12
Spring Plains	1	56
Spring Ridge	0	3
Spring Ridge	1	231
Spring Terrace	1	121
Springdale (NSW)	1	127
Springdale Heights	0	139
Springdale Heights	1	1777
Springfield (Central Coast - NSW)	0	288
Springfield (Central Coast - NSW)	1	3660
Springfield (Snowy Monaro Regional - NSW)	1	33
Springrange	0	26
Springrange	1	256
Springside (NSW)	0	3
Springside (NSW)	1	294
Springvale (Lithgow - NSW)	1	41
Springvale (Wagga Wagga - NSW)	0	37
Springvale (Wagga Wagga - NSW)	1	1650
Springwood (NSW)	0	436
Springwood (NSW)	1	7721
St Albans (NSW)	0	12
St Albans (NSW)	1	107
St Andrews (NSW)	0	1611
St Andrews (NSW)	1	3902
St Clair (Penrith - NSW)	0	4466
St Clair (Penrith - NSW)	1	14502
St Clair (Singleton - NSW)	1	8
St Fillans	0	8
St Fillans	1	219
St Georges Basin	0	108
St Georges Basin	1	2665
St Helens Park	0	1287
St Helens Park	1	5040
St Huberts Island	0	58
St Huberts Island	1	961
St Ives (NSW)	0	4858
St Ives (NSW)	1	11933
St Ives Chase	0	793
St Ives Chase	1	2281
St Johns Park	0	4609
St Johns Park	1	1298
St Leonards (NSW)	0	2579
St Leonards (NSW)	1	2494
St Marys (NSW)	0	3410
St Marys (NSW)	1	7749
St Peters (NSW)	0	632
St Peters (NSW)	1	2266
Stanborough	0	3
Stanborough	1	61
Stanbridge	0	26
Stanbridge	1	137
Stanford Merthyr	0	4
Stanford Merthyr	1	514
Stanhope (NSW)	1	125
Stanhope Gardens	0	3760
Stanhope Gardens	1	5115
Stanmore (NSW)	0	1592
Stanmore (NSW)	1	5654
Stannifer	0	4
Stannifer	1	57
Stannum	1	43
Stanwell Park	0	97
Stanwell Park	1	1262
Stanwell Tops	0	26
Stanwell Tops	1	449
State Mine Gully	1	10
Steam Plains	1	5
Steeple Flat	0	3
Steeple Flat	1	34
Stewarts Brook	1	29
Stewarts River	0	3
Stewarts River	1	110
Stockinbingal	1	339
Stockrington	1	78
Stockton (NSW)	0	117
Stockton (NSW)	1	3383
Stockyard Creek (NSW)	1	40
Stokers Siding	0	47
Stokers Siding	1	553
Stonehenge (NSW)	0	3
Stonehenge (NSW)	1	118
Stonequarry	1	19
Stony Chute	0	4
Stony Chute	1	130
Stony Creek (Bega Valley - NSW)	1	126
Stony Creek (Mid-Western Regional - NSW)	1	47
Stony Crossing	1	12
Stotts Creek	1	3
Stratford (NSW)	0	3
Stratford (NSW)	1	139
Strathcedar	1	68
Stratheden	0	4
Stratheden	1	206
Strathfield (NSW)	0	16882
Strathfield (NSW)	1	7501
Strathfield South	0	1946
Strathfield South	1	1438
Stroud	0	12
Stroud	1	883
Stroud Hill	1	28
Stroud Road	1	203
Stuart Town	1	198
Stuarts Point	0	21
Stuarts Point	1	693
Stubbo	1	200
Stud Park	1	43
Suffolk Park	0	306
Suffolk Park	1	3041
Sugarloaf (NSW)	1	68
Summer Hill (Dungog - NSW)	1	54
Summer Hill (Inner West - NSW)	0	2175
Summer Hill (Inner West - NSW)	1	4669
Summer Hill Creek	0	6
Summer Hill Creek	1	195
Summer Island	0	3
Summer Island	1	83
Summerland Point	0	102
Summerland Point	1	2318
Sun Valley (NSW)	0	12
Sun Valley (NSW)	1	214
Sunny Corner	0	7
Sunny Corner	1	87
Sunset Strip (NSW)	1	69
Sunshine (NSW)	0	15
Sunshine (NSW)	1	394
Sunshine Bay	0	45
Sunshine Bay	1	1127
Suntop	1	61
Surf Beach (NSW)	0	95
Surf Beach (NSW)	1	1616
Surfside	0	63
Surfside	1	1213
Surry Hills	0	4685
Surry Hills	1	9565
Sussex Inlet	0	111
Sussex Inlet	1	3260
Sutherland (NSW)	0	2103
Sutherland (NSW)	1	8171
Sutton (NSW)	0	110
Sutton (NSW)	1	1245
Sutton Forest	0	16
Sutton Forest	1	418
Swan Bay (Port Stephens - NSW)	0	4
Swan Bay (Port Stephens - NSW)	1	281
Swan Bay (Richmond Valley - NSW)	1	208
Swan Creek (NSW)	1	103
Swan Vale	1	38
Swanbrook	1	10
Swanhaven	1	165
Swansea (NSW)	0	133
Swansea (NSW)	1	4616
Swansea Heads	0	20
Swansea Heads	1	574
Sweetmans Creek	1	46
Sydenham (NSW)	0	487
Sydenham (NSW)	1	587
Sydney	0	10608
Sydney	1	4354
Sydney Olympic Park	0	1035
Sydney Olympic Park	1	389
Sylvania	0	2649
Sylvania	1	7335
Sylvania Waters	0	1165
Sylvania Waters	1	1877
Tabbil Creek	1	35
Tabbimoble	0	4
Tabbimoble	1	20
Tabbita	1	64
Table Top	0	22
Table Top	1	1317
Tabulam	0	18
Tabulam	1	411
Tacoma	0	15
Tacoma	1	589
Tacoma South	0	6
Tacoma South	1	232
Tahlee	0	4
Tahlee	1	12
Tahmoor	0	283
Tahmoor	1	4443
Talarm	0	4
Talarm	1	201
Talawanta	1	20
Talbingo	0	19
Talbingo	1	191
Tallawang	1	126
Tallimba	1	154
Tallong	0	44
Tallong	1	737
Tallowwood Ridge	0	3
Tallowwood Ridge	1	42
Tallwood	1	66
Tallwoods Village	0	26
Tallwoods Village	1	648
Talmalmo	1	54
Talofa	0	4
Talofa	1	84
Taloumbi	1	98
Tamarama	0	241
Tamarama	1	1168
Tamban	1	67
Tambar Springs	1	156
Tambaroora	1	33
Taminda	1	51
Tamworth	0	29
Tamworth	1	137
Tanglewood	0	10
Tanglewood	1	75
Tanilba Bay	0	81
Tanilba Bay	1	2884
Tanja	0	4
Tanja	1	130
Tannabar	1	65
Tannas Mount	1	39
Tantawangalo	1	139
Tantonan	1	26
Tapitallee	0	7
Tapitallee	1	560
Tara (NSW)	1	25
Taradale (NSW)	1	35
Tarago	0	15
Tarago	1	370
Taralga	0	5
Taralga	1	427
Tarana	0	10
Tarana	1	142
Tarban	1	8
Tarbuck Bay	1	180
Tarcutta	0	3
Tarcutta	1	399
Taree	0	545
Taree	1	14515
Taree South	0	11
Taree South	1	274
Taren Point	0	367
Taren Point	1	1289
Tarlo	0	7
Tarlo	1	147
Tarraganda	0	3
Tarraganda	1	327
Tarrawanna	0	340
Tarrawanna	1	1655
Tarriaro	1	112
Tarro	0	54
Tarro	1	1490
Tascott	0	146
Tascott	1	1394
Tatham	0	6
Tatham	1	190
Tathra	0	50
Tathra	1	1488
Tatton	0	242
Tatton	1	2283
Taylors Arm	0	3
Taylors Arm	1	126
Taylors Beach (NSW)	1	113
Taylors Flat	1	54
Tea Gardens	0	95
Tea Gardens	1	2639
Telarah	0	61
Telarah	1	2155
Telegraph Point	0	15
Telegraph Point	1	557
Telopea	0	2945
Telopea	1	2205
Temagog	1	213
Temora	0	127
Temora	1	4333
Tempe	0	1225
Tempe	1	2164
Tenambit	0	63
Tenambit	1	2700
Tenandra	1	73
Tennyson (NSW)	0	13
Tennyson (NSW)	1	363
Tennyson Point	0	327
Tennyson Point	1	823
Tenterden (NSW)	1	29
Tenterfield	0	80
Tenterfield	1	3519
Teralba	0	28
Teralba	1	1399
Terania Creek	0	11
Terania Creek	1	169
Terara	0	7
Terara	1	210
Teridgerie	1	53
Termeil	0	3
Termeil	1	237
Terrabella	1	15
Terrace Creek	1	48
Terragon	1	62
Terramungamine	0	5
Terramungamine	1	252
Terranora	0	115
Terranora	1	2682
Terreel	1	6
Terrey Hills	0	271
Terrey Hills	1	2610
Terrigal	0	815
Terrigal	1	10061
Terry Hie Hie	0	3
Terry Hie Hie	1	59
Teven	0	8
Teven	1	241
Tewinga	1	83
Texas (NSW)	1	41
Thalgarrah	0	9
Thalgarrah	1	158
Tharbogang	0	88
Tharbogang	1	333
The Angle	0	3
The Angle	1	77
The Bight	1	63
The Branch	1	75
The Brothers	0	3
The Brothers	1	29
The Channon	0	16
The Channon	1	328
The Entrance	0	372
The Entrance	1	3247
The Entrance North	0	73
The Entrance North	1	1300
The Freshwater	0	3
The Freshwater	1	8
The Gap (Wagga Wagga - NSW)	1	53
The Glen (NSW)	1	5
The Hatch	1	43
The Hill	0	187
The Hill	1	1651
The Junction	0	52
The Junction	1	944
The Lagoon	0	5
The Lagoon	1	201
The Marra	1	56
The Meadows	1	3
The Oaks	0	130
The Oaks	1	2277
The Pinnacles	0	3
The Pinnacles	1	77
The Pocket	0	16
The Pocket	1	224
The Ponds	0	5508
The Ponds	1	5797
The Ridgeway	0	13
The Ridgeway	1	147
The Risk	1	57
The Rock	0	10
The Rock	1	1125
The Rocks (Bathurst Regional - NSW)	1	59
The Rocks (Sydney - NSW)	0	149
The Rocks (Sydney - NSW)	1	386
The Slopes	0	8
The Slopes	1	295
The Whiteman	1	132
Theresa Creek (NSW)	1	59
Theresa Park	0	55
Theresa Park	1	451
Thirldene	1	3
Thirlmere	0	255
Thirlmere	1	3566
Thirroul	0	347
Thirroul	1	5448
Thora	0	23
Thora	1	282
Thornleigh	0	2383
Thornleigh	1	5809
Thornton (NSW)	0	299
Thornton (NSW)	1	7541
Thrumster	0	42
Thrumster	1	359
Thuddungra	1	111
Thule	1	23
Thumb Creek	1	20
Thurgoona	0	393
Thurgoona	1	7917
Thyra	1	12
Tibbuc	1	20
Tibooburra	0	3
Tibooburra	1	125
Tichborne	1	56
Tichular	1	4
Tighes Hill	0	146
Tighes Hill	1	1433
Tilba Tilba	1	91
Tilbuster	0	3
Tilbuster	1	52
Tilpa	1	34
Timbarra (NSW)	1	30
Timbillica	1	9
Timbumburi	1	136
Timor (NSW)	0	4
Timor (NSW)	1	48
Tindarey	1	28
Tinderry	1	47
Tingha	0	5
Tingha	1	729
Tingira Heights	0	73
Tingira Heights	1	1937
Tinonee	0	28
Tinonee	1	969
Tinpot	1	4
Tintenbar	0	36
Tintenbar	1	704
Tintinhull	0	11
Tintinhull	1	373
Tipperary (NSW)	1	30
Tirrannaville	0	5
Tirrannaville	1	211
Titaatee Creek	1	14
Tocal (NSW)	1	48
Tocumwal	0	73
Tocumwal	1	2408
Tolland	0	352
Tolland	1	2764
Tomago	0	5
Tomago	1	226
Tomakin	0	20
Tomakin	1	866
Tomalla	1	15
Tombong	1	14
Tomboye	1	29
Tomerong	0	44
Tomerong	1	963
Tomewin	0	4
Tomewin	1	96
Tomingley	0	11
Tomingley	1	258
Tomki	1	67
Toms Creek	1	41
Tonderburine	1	59
Tongarra	1	100
Toogong	1	72
Tooleybuc	0	25
Tooleybuc	1	219
Toolijooa	0	7
Toolijooa	1	101
Tooloom	1	24
Tooloon	1	36
Tooma	1	89
Toongabbie (NSW)	0	7132
Toongabbie (NSW)	1	6501
Toongi	1	55
Toonumbar	1	33
Tooranie	1	6
Tooraweenah	0	4
Tooraweenah	1	217
Toormina	0	235
Toormina	1	5606
Toorooka	0	3
Toorooka	1	48
Toothdale	0	6
Toothdale	1	152
Tootool	1	67
Toowoon Bay	0	21
Toowoon Bay	1	466
Topi Topi	0	7
Topi Topi	1	46
Toronto	0	241
Toronto	1	5016
Torrington (NSW)	1	67
Torryburn (Dungog - NSW)	1	134
Torryburn (Uralla - NSW)	1	42
Totnes Valley	1	30
Tottenham (NSW)	0	4
Tottenham (NSW)	1	372
Toukley	0	173
Toukley	1	3895
Towamba	1	212
Townsend	0	19
Townsend	1	822
Towradgi	0	399
Towradgi	1	2619
Towrang	0	4
Towrang	1	154
Tralee	1	8
Trangie	0	8
Trangie	1	1051
Tregeagle	0	23
Tregeagle	1	412
Tregear	0	740
Tregear	1	2735
Trenayr	1	70
Trentham Cliffs	1	56
Trewilga	1	27
Triamble	1	12
Triangle Flat	1	52
Trundle	0	22
Trundle	1	589
Trungley Hall	1	75
Trunkey Creek	0	3
Trunkey Creek	1	105
Tubbamurra	1	19
Tubbul	1	64
Tucabia	0	7
Tucabia	1	337
Tucki Tucki	0	3
Tucki Tucki	1	143
Tuckombil	0	9
Tuckombil	1	247
Tuckurimba	1	102
Tuena	1	52
Tuggerah	0	115
Tuggerah	1	769
Tuggerawong	0	38
Tuggerawong	1	1169
Tugrabakh	1	73
Tullakool	1	59
Tullamore	1	381
Tullera	0	12
Tullera	1	262
Tullibigeal	1	212
Tullimbar	0	20
Tullimbar	1	496
Tulloona	1	44
Tullymorgan	1	117
Tumbarumba	0	37
Tumbarumba	1	1676
Tumbi Umbi	0	194
Tumbi Umbi	1	4676
Tumblong	0	3
Tumblong	1	170
Tumbulgum	0	4
Tumbulgum	1	364
Tumorrama	1	34
Tumut	0	205
Tumut	1	5381
Tumut Plains	1	54
Tuncester	0	3
Tuncester	1	60
Tuncurry	0	186
Tuncurry	1	5510
Tunglebung	1	24
Tuntable Creek	0	10
Tuntable Creek	1	172
Tuppal	1	12
Tura Beach	0	110
Tura Beach	1	2866
Turill	0	3
Turill	1	87
Turlinjah	1	152
Turners Flat	1	137
Turondale	0	3
Turondale	1	77
Tuross	1	8
Tuross Head	0	96
Tuross Head	1	2054
Turramurra	0	2828
Turramurra	1	8725
Turrawan	0	3
Turrawan	1	65
Turrella	0	1469
Turrella	1	919
Turvey Park	0	211
Turvey Park	1	2971
Tweed Heads	0	560
Tweed Heads	1	6847
Tweed Heads South	0	473
Tweed Heads South	1	6654
Tweed Heads West	0	291
Tweed Heads West	1	5325
Twelve Mile	1	25
Twelve Mile Creek	0	3
Twelve Mile Creek	1	123
Twin Rivers	1	33
Two Mile Flat	1	75
Tyagarah	0	8
Tyagarah	1	131
Tyalgum	0	8
Tyalgum	1	480
Tyalgum Creek	0	3
Tyalgum Creek	1	82
Tygalgah	1	109
Tyndale	1	158
Tyringham	0	3
Tyringham	1	93
Uarbry	1	23
Uki	0	22
Uki	1	593
Ulamambri	0	3
Ulamambri	1	186
Ulan	0	3
Ulan	1	42
Ulladulla	0	286
Ulladulla	1	5907
Ulmarra	0	10
Ulmarra	1	714
Ulong	0	6
Ulong	1	172
Ultimo	0	5698
Ultimo	1	2091
Umina Beach	0	995
Umina Beach	1	14643
Unanderra	0	854
Unanderra	1	4130
Underbank	1	28
Undercliffe	1	12
Ungarie	1	487
Unumgar	1	25
Upper Allyn	1	12
Upper Bingara	1	32
Upper Burringbar	0	9
Upper Burringbar	1	231
Upper Bylong	1	4
Upper Colo	1	51
Upper Coopers Creek	0	3
Upper Coopers Creek	1	46
Upper Copmanhurst	1	71
Upper Corindi	0	9
Upper Corindi	1	126
Upper Crystal Creek	0	14
Upper Crystal Creek	1	171
Upper Dartbrook	1	132
Upper Duck Creek	1	6
Upper Duroby	1	91
Upper Eden Creek	1	35
Upper Fine Flower	1	28
Upper Growee	1	10
Upper Horseshoe Creek	1	104
Upper Horton	0	3
Upper Horton	1	147
Upper Kangaroo River	1	99
Upper Karuah River	1	6
Upper Lansdowne	0	6
Upper Lansdowne	1	521
Upper Macdonald	1	24
Upper Main Arm	0	14
Upper Main Arm	1	168
Upper Manilla	1	106
Upper Mongogarie	1	16
Upper Myall	1	25
Upper Nile	1	9
Upper Orara	0	63
Upper Orara	1	679
Upper Pappinbarra	1	49
Upper Rollands Plains	0	9
Upper Rollands Plains	1	127
Upper Rouchel	1	59
Upper Taylors Arm	1	116
Upper Tooloom	1	40
Upper Turon	1	9
Upper Wilsons Creek	0	4
Upper Wilsons Creek	1	51
Upsalls Creek	0	3
Upsalls Creek	1	98
Uralba	0	20
Uralba	1	192
Uralla (NSW)	0	32
Uralla (NSW)	1	2555
Urana	0	9
Urana	1	306
Urangeline	1	14
Urangeline East	1	16
Uranquinty	0	12
Uranquinty	1	835
Urawilkie	1	12
Urbenville	0	7
Urbenville	1	246
Uriarra	1	27
Urila	0	3
Urila	1	97
Urliup	0	7
Urliup	1	168
Urunga	0	48
Urunga	1	2744
Utungun	1	165
Vacy	0	3
Vacy	1	612
Vale Of Clwydd	0	9
Vale Of Clwydd	1	417
Valentine	0	193
Valentine	1	5163
Valery	0	3
Valery	1	130
Valla	0	25
Valla	1	846
Valla Beach	0	28
Valla Beach	1	1232
Valley Heights	0	49
Valley Heights	1	1119
Varroville	0	31
Varroville	1	76
Vaucluse	0	1855
Vaucluse	1	6933
Verges Creek	1	208
Verona	0	9
Verona	1	268
Villawood	0	3564
Villawood	1	1571
Vincentia	0	267
Vincentia	1	2852
Vineyard	0	157
Vineyard	1	871
Vittoria (NSW)	0	3
Vittoria (NSW)	1	59
Voyager Point	0	549
Voyager Point	1	1065
Wadalba	0	255
Wadalba	1	2494
Wadeville	0	19
Wadeville	1	132
Wagga Wagga	0	773
Wagga Wagga	1	5825
Wagstaffe	0	5
Wagstaffe	1	207
Wahroonga	0	4153
Wahroonga	1	12442
Waitara	0	3585
Waitara	1	2054
Waitui	0	8
Waitui	1	83
Wakefield	1	128
Wakeley	0	3529
Wakeley	1	1053
Wakool	0	4
Wakool	1	284
Walang	0	4
Walang	1	67
Walbundrie	1	140
Walcha	0	35
Walcha	1	2234
Walcha Road	1	48
Waldegrave	1	27
Walgett	0	60
Walgett	1	1799
Walla Walla	0	17
Walla Walla	1	771
Wallabadah	0	3
Wallabadah	1	381
Wallabi Point	0	31
Wallabi Point	1	646
Wallacetown	1	7
Wallacia	0	138
Wallacia	1	1353
Wallaga Lake	0	22
Wallaga Lake	1	474
Wallagoot	0	22
Wallagoot	1	441
Wallalong	0	19
Wallalong	1	962
Wallamore	0	6
Wallamore	1	104
Wallanbah	1	79
Wallangra	0	3
Wallangra	1	79
Wallanthery	1	34
Wallarah	0	26
Wallarah	1	305
Wallaringa	1	11
Wallarobba	0	3
Wallarobba	1	162
Wallaroo (NSW)	0	52
Wallaroo (NSW)	1	586
Wallendbeen	0	4
Wallendbeen	1	237
Wallerawang	0	40
Wallerawang	1	1737
Walleroobie	1	59
Wallsend	0	1374
Wallsend	1	10500
Walmer (NSW)	1	39
Wamban	1	85
Wambangalang	1	73
Wamberal	0	261
Wamberal	1	6000
Wamboin	0	79
Wamboin	1	1480
Wambool	1	27
Wambrook	1	44
Wanaaring	1	90
Wandandian	0	16
Wandandian	1	298
Wandella (NSW)	0	6
Wandella (NSW)	1	133
Wandera	1	11
Wandook	1	32
Wandsworth	0	7
Wandsworth	1	83
Wang Wauk	1	70
Wanganella	0	3
Wanganella	1	68
Wanganui	0	4
Wanganui	1	42
Wangi Wangi	0	73
Wangi Wangi	1	2565
Wantabadgery	1	163
Wantagong	1	47
Wantiool	1	39
Wapengo	1	72
Warabrook	0	414
Warabrook	1	1379
Waratah (NSW)	0	415
Waratah (NSW)	1	3509
Waratah West	0	414
Waratah West	1	2364
Warburn	0	7
Warburn	1	78
Wardell	0	30
Wardell	1	661
Wardrop Valley	0	3
Wardrop Valley	1	70
Wards Mistake	1	23
Wards River	0	3
Wards River	1	164
Wareemba	0	433
Wareemba	1	1048
Warialda	0	17
Warialda	1	1446
Warialda Rail	1	111
Warilla	0	593
Warilla	1	5265
Warkworth	1	33
Warners Bay	0	346
Warners Bay	1	6954
Warnervale	0	21
Warnervale	1	602
Warraderry	1	91
Warragai Creek	1	84
Warragamba	0	37
Warragamba	1	1148
Warragoon	1	113
Warrah	1	37
Warrah Creek	1	62
Warrah Ridge	1	88
Warral	0	5
Warral	1	343
Warranulla	1	35
Warrawee	0	678
Warrawee	1	2209
Warrawidgee	0	4
Warrawidgee	1	70
Warrawong	0	1740
Warrawong	1	2671
Warrazambil Creek	1	15
Warregah Island	0	3
Warregah Island	1	21
Warrell Creek	0	3
Warrell Creek	1	241
Warren	0	38
Warren	1	1225
Warri	1	102
Warriewood	0	1054
Warriewood	1	6051
Warrimoo	0	116
Warrimoo	1	2235
Warroo (NSW)	1	115
Warrumbungle	1	5
Warwick Farm	0	3389
Warwick Farm	1	1653
Washpool (Mid-Coast - NSW)	1	34
Watagan	0	3
Watagan	1	110
Watanobbi	0	295
Watanobbi	1	3348
Waterfall	0	29
Waterfall	1	451
Waterloo (NSW)	0	5915
Waterloo (NSW)	1	6935
Watersleigh	0	7
Watersleigh	1	24
Waterview	1	74
Waterview Heights	0	21
Waterview Heights	1	1263
Watsons Bay	0	103
Watsons Bay	1	661
Watsons Creek (NSW)	1	92
Wattamolla	0	10
Wattamolla	1	41
Wattamondara	1	205
Wattle Flat (NSW)	1	230
Wattle Grove (NSW)	0	2778
Wattle Grove (NSW)	1	5928
Wattle Ponds	0	13
Wattle Ponds	1	1068
Wattle Ridge (NSW)	1	4
Wattle Springs	0	9
Wattle Springs	1	54
Watton	1	73
Wauchope	0	106
Wauchope	1	5809
Waugorah	1	13
Waukivory	0	3
Waukivory	1	92
Waverley (NSW)	0	795
Waverley (NSW)	1	3018
Waverly	1	43
Waverton	0	662
Waverton	1	2162
Way Way	0	11
Way Way	1	217
Wayo	0	4
Wayo	1	104
Weabonga	1	51
Wean	0	3
Wean	1	17
Webbers Creek	0	3
Webbers Creek	1	30
Webbs Creek	1	40
Wedderburn (NSW)	0	94
Wedderburn (NSW)	1	488
Wee Jasper	0	3
Wee Jasper	1	89
Wee Waa	0	30
Wee Waa	1	1730
Weedallion	1	13
Weemelah	1	59
Weetaliba	1	37
Weethalle	1	230
Weilmoringle	1	72
Weismantels	1	25
Welaregang	1	38
Welby	0	28
Welby	1	650
Wellingrove	1	71
Wellington (NSW)	0	88
