SSC_NAME16	labourForceParticipation
Berowra Creek	33.3
Berowra Heights	71.1
Berowra Waters	17.8
Berrambool	49.7
Berrara	46
Berremangra	64.7
Berrico	40
Berridale	61.3
Berrigal	70
Berrigan	48.6
Berrilee	64.7
Berrima	56.4
Berringer Lake	38.5
Berry	45.2
Berry Jerry	62.1
Berry Mountain	32.1
Berry Park	58.8
Berthong	58.5
Beryl	45.5
Bethungra	59.3
Bevendale	43.9
Beverley Park	62
Beverly Hills	57.8
Bewong	57.6
Bexhill	66.1
Bexley	56.4
Bexley North	56.9
Biala	87.2
Bibbenluke	59.2
Biddon	66.2
Bidgeemia	71.4
Bidwill (NSW)	38.9
Bielsdown Hills	59.6
Big Hill (NSW)	68.6
Big Jacks Creek	78
Big Ridge	78.6
Big Springs	69.6
Bigga	42.1
Bilambil	57.8
Bilambil Heights	58.8
Bilbul	70
Bilgola Beach	57.4
Bilgola Plateau	67.8
Billeroy	81.8
Billilingra	100
Billimari	47.5
Billinudgel	55.2
Billys Creek	52
Billywillinga	62.9
Bilpin	61.1
Bimbi	42.9
Bimbimbie	61.1
Binalong	56.9
Binda	51.6
Bindera	59.3
Bingara	37.6
Bingeebeebra Creek	32.1
Bingie	43
Bingleburra	50
Biniguy	60.9
Binjura	60.9
Binna Burra (NSW)	49.2
Binnaway	34.2
Binya	77.9
Birchgrove	68.2
Birdwood (NSW)	40
Birganbigil	71.1
Birmingham Gardens	51.2
Birriwa	52.5
Birrong	53.6
Bishops Bridge	61.5
Bithramere	64.2
Black Creek (Port Macquarie-Hastings - NSW)	55.6
Black Creek (Snowy Valleys - NSW)	27.3
Black Head	36.3
Black Hill (NSW)	58.6
Black Hollow	88.9
Black Mountain (NSW)	63.8
Black Range (NSW)	63.7
Black Springs (NSW)	45.1
Blackalls Park	55.5
Blackbutt (NSW)	61.7
Blackett	45.2
Blackheath	52.3
Blackmans Flat	50
Blackmans Point	40.1
Blacksmiths	52.1
Blacktown	60.7
Blackville	50.5
Blackwall (NSW)	52.3
Blair Athol (NSW)	70.5
Blairmount	64.5
Blakebrook	59.3
Blakehurst	59.4
Blakney Creek	71.4
Bland	63.9
Blandford	65.6
Blaxland (NSW)	64.5
Blaxlands Creek	50.9
Blaxlands Ridge	66.5
Blayney	56.7
Bligh Park	73.8
Blighty	76
Blue Bay	53.6
Blue Haven	61.2
Blue Knob	36.8
Blue Nobby	63.6
Blue Vale	71.2
Blueys Beach	41.3
Boambee	62.6
Boambee East	58.5
Boambolo	73.3
Boat Harbour (Lismore - NSW)	60.7
Boat Harbour (Port Stephens - NSW)	60
Bobadah	64.3
Bobin	47
Bobs Creek	52.9
Bobs Farm	58.3
Bobundara	109.1
Boco	100
Bocoble	38.8
Bocobra	51.2
Bodalla	54.2
Bodangora	60.6
Boeill Creek	65.1
Bogan	137.5
Bogan Gate	44.2
Bogangar	62
Bogee	40.3
Boggabilla	40.5
Boggabri	52.1
Bohena Creek	67.1
Bohnock	59.6
Bolaro	43.2
Bolivia	54.4
Bolong	64.6
Bolton Point	46.3
Bolwarra (NSW)	63.5
Bolwarra Heights	67.9
Bomaderry	47.1
Bombah Point	21.4
Bombala	57.5
Bombay	52.2
Bombira	64.8
Bombo	51.6
Bombowlee	58
Bombowlee Creek	62
Bomen	95.7
Bomera	57.1
Bonalbo	34.2
Bondi	69.2
Bondi Beach	69.7
Bondi Junction	63.7
Bonnells Bay	54.6
Bonnet Bay	68.6
Bonny Hills	53.2
Bonnyrigg	49.2
Bonnyrigg Heights	58.2
Bonshaw (NSW)	57.1
Bonville	59
Booerie Creek	49.3
Book Book	62
Booker Bay	43.6
Bookham	61.2
Bookookoorara	50
Boolambayte	42.3
Boolaroo	61
Boolcarroll	111.1
Booligal	74.7
Boomanoomana	61.1
Boomerang Beach	54.2
Boomey	81
Boomi	65.6
Boomi Creek	65
Boona Mount	50
Boonal	60.6
Boonoo Boonoo	29.4
Boorabee Park	66.7
Booragul	46.3
Booral (NSW)	60.5
Boorga	80
Boorganna	27.3
Boorolong	56.7
Boorook	26.1
Boorooma	75.2
Booroorban	65.5
Boorowa	53.6
Bootawa	45.8
Booyong	57.1
Bora Ridge	47.1
Borah Creek	76
Borambola	83.1
Boree	71.1
Boree Creek	56.3
Borenore	66.9
Boro	48.6
Bossley Park	51.9
Bostobrick	55.9
Botany	68.2
Botobolar	82.5
Bottle Creek	60
Bouddi	75
Bourbah	59.4
Bourke	55
Bourkelands	74.4
Bournda	52
Bournewood	68.3
Bow Bowing	73.1
Bowan Park	74.1
Bowen Mountain	71.2
Bowenfels	39.3
Bowling Alley Point	66.7
Bowman	46
Bowman Farm	57.5
Bowmans Creek	50
Bowna	80.7
Bowning	62.6
Bowral	48.7
Bowraville	43.1
Box Hill (NSW)	58.4
Box Ridge	67.6
Boxers Creek	57.8
Boydtown	29
Bradbury (NSW)	58.8
Braefield	55.9
Braemar	72.1
Braemar Bay	23.8
Braidwood	54.1
Brandy Hill	66.1
Branxton	64.1
Braunstone	53.5
Brawboy	75
Bray Park (NSW)	45.7
Brays Creek	41.7
Brayton	52.4
Breadalbane (NSW)	61.4
Breakfast Creek	28.2
Breakfast Point	65.2
Bredbo	67.6
Breelong	47.2
Breeza	61.7
Bretti	23.1
Brewarrina	44.2
Brewongle	51.4
Briarbrook	70
Bribbaree	56.8
Bridgman	72.5
Brierfield	56.6
Brighton-le-Sands	58.4
Brightwaters	54.7
Brimbin	46.3
Brindabella	60.9
Bringelly	61.3
Bringenbrong	72.2
Brisbane Grove	64.8
Broadmeadow	68.8
Broadwater (Bega Valley - NSW)	51.1
Broadwater (Richmond Valley - NSW)	53.6
Broadway	59.3
Brobenah	78.6
Brocklehurst	60
Brocklesby	67.6
Brockley	84
Brodies Plains	53.8
Brogans Creek	30
Brogers Creek	40.5
Brogo	52.4
Broke (NSW)	52.7
Broken Head	57.3
Broken Hill	51.4
Brombin	62.9
Bronte	69.8
Brookdale (NSW)	93.3
Brookfield (NSW)	54.6
Brooklana	57.8
Brooklet	61.5
Brooklyn (NSW)	65.2
Brookong	80
Brookvale	72.7
Brooman	76.5
Brooms Head	34.5
Broughams Gate	69.2
Broughton (NSW)	54.9
Broughton Vale	47.2
Broughton Village	84.1
Broulee	46.2
Brownlow Hill	57.4
Browns Creek	78.6
Browns Mountain	33.3
Brownsville	50.3
Brucedale	73.1
Bruie Plains	74.2
Bruinbun	31
Brumby Plains	100
Brundee	73.7
Brungle	46.3
Brungle Creek	64
Brunkerville	60.7
Brunswick Heads	49.5
Brushgrove	43.6
Brushy Creek	75
Bucca (NSW)	62.2
Bucca Wauka	50.7
Buccarumbi	35.3
Buchanan (NSW)	61.4
Buckajo	69
Buckaroo	60.4
Buckenbowra	35.7
Buckenderra	23.8
Buckendoon	60
Bucketty	54.5
Buckra Bendinni	36.8
Budawang	36.4
Buddabadah	70.5
Budden	55.6
Budgee Budgee (NSW)	63.9
Budgewoi	52.2
Budgong	53.4
Buff Point	51.6
Bugaldie	44.1
Bukkulla	67.3
Bulahdelah	43.9
Bulga (NSW)	58.3
Bulgary	81.8
Bulla (NSW)	100
Bulla Creek	80.6
Bullaburra	60
Bullagreen	77.4
Bullarah	71
Bullatale	76.5
Bullawa Creek	48.3
Bulldog	13
Bulli	65.1
Bulliac	57.6
Bullio	56.7
Bulyeroi	100
Bumbaldry	42.1
Bumbalong	72.2
Bundabah	48.9
Bundagen	44
Bundanoon (NSW)	46
Bundarra	45.4
Bundeena	61.9
Bundella	86
Bundemar	87.1
Bundewallah	35.6
Bundook	41.4
Bundure	133.3
Bungaba	37.7
Bungalora	46.6
Bungarby	34.8
Bungarribee	75.2
Bungawalbin	52.9
Bungendore	72.7
Bungonia	56.4
Bungowannah	70.1
Bungwahl	52.1
Bunnaloo	77.5
