SSC_NAME16	labourForceParticipation
Koolunga	61.6
Koolywurtie	59.5
Koongawa	80.6
Koonibba	20.9
Koonoona	100
Koonunga	68.3
Koorine	94.6
Kooroona	54.5
Koppamurra	84.1
Koppio	62.1
Korunye	62.8
Kringin	100
Krondorf	77.6
Krongart	100
Kudla	53.9
Kuitpo	63.6
Kuitpo Colony	62.5
Kulpara	65.1
Kurralta Park	66.4
Kyancutta	82.5
Kybunga	76.5
Kybybolite	69.1
Kyeema	80
Laffer	86.7
Lake Everard	75
Lake Plains	65.2
Lake View	25
Lameroo	57.6
Langhorne Creek	72.4
Largs Bay	61.2
Largs North	60.3
Laura (SA)	59.7
Laura Bay	78.6
Laurie Park	97.7
Leabrook	43.8
Leasingham	73.1
Leawood Gardens	53.1
Leigh Creek (SA)	69.4
Leighton	61.8
Lenswood	65.6
Lewiston	66.2
Light Pass	64.7
Lincoln Gap	38.5
Lincoln National Park	83.3
Linden Park	50.4
Lindley	100
Linwood	47.5
Lipson	58.6
Littlehampton	69.6
Lobethal	61.2
Lochaber	83.1
Lochiel (SA)	60.9
Lock	61.8
Lockleys	60
Long Flat (SA)	68.7
Long Plains	73.9
Longwood (SA)	74.8
Lonsdale	41.7
Louth Bay	54.4
Loveday	63.5
Lowan Vale	79.4
Lowbank	55.6
Lower Broughton	65.8
Lower Hermitage	63.2
Lower Inman Valley	65.1
Lower Light	56.9
Lower Mitcham	64.5
Loxton	54.3
Loxton North	65.1
Lucindale	66.3
Lucky Bay	20.8
Lyndhurst (SA)	59.1
Lyndoch	59.8
Lynton	63.8
Lyrup	49.8
Maaoupe	83.8
Macclesfield (SA)	66
Macdonald Park	55
Macgillivray	71.6
Magarey	100
Magdala	74
Maggea	41.7
Magill	57.9
Maitland (SA)	52.3
Makin	44.4
Malinong	79.3
Mallala	59.1
Malpas	27.3
Maltee	100
Malvern (SA)	60.7
Mambray Creek	66.7
Mangalo	86.5
Mannanarie	69.5
Manningham	66.8
Mannum	42.8
Manoora (SA)	53.6
Mansfield Park	51.8
Mantung	63.2
Marama	60.4
Marananga	63.5
Marble Hill	69.1
Marcollat	83.1
Marden	60.2
Marino	64.1
Marion	48
Marion Bay (SA)	51
Markaranka	90
Marla	48.4
Marleston	56
Marola	75
Marrabel	66.7
Marree	47.1
Marryatville	60.4
Maryvale (SA)	80
Maslin Beach	63
Matta Flat	44.4
Mawson Lakes	70.4
Mayfield (SA)	100
Maylands (SA)	65
McBean Pound	50
McCallum	73.3
McCracken	37.6
McHarg Creek	69.8
McLaren Flat	71.3
McLaren Vale	52.4
Meadows	67.8
Medindie	56.4
Medindie Gardens	68.8
Melrose (SA)	61.2
Melrose Park (SA)	60.4
Melton (SA)	29.4
Melton Station	88.9
Meningie	52.8
Meningie East	64.3
Meningie West	43.3
Menzies (SA)	82.7
Mercunda	150
Merghiny	133.3
Meribah	72.7
Merriton	80
Middle Beach	40.9
Middle River	23.5
Middleback Range	133.3
Middleton (SA)	58.3
Midgee (SA)	53.8
Mil-Lel	74.5
Milang	47.2
Mile End	62
Mile End South	76.5
Milendella	75.5
Millbrook (SA)	71.9
Millicent	50
Millswood	63.9
Miltalie	75.6
Mimili	35.3
Minbrie	59.3
Mindarie (SA)	46.9
Mingary	72.1
Mingbool	64.5
Minlaton	49
Minnipa	57.6
Mintaro	62.4
Minvalara	33.3
Miranda (SA)	60.5
Mitcham (SA)	55.7
Mitchell (SA)	78.4
Mitchell Park (SA)	51.7
Mitchellville	89.5
Moana	64.3
Mobilong	100
Moculta	71.8
Modbury	55.5
Modbury Heights	64.7
Modbury North	62.9
Moerlong	120
Monarto	57.3
Monarto South	56.1
Monash (SA)	66.6
Monbulla	75
Mongolata	100
Montacute	60.6
Montarra	33.3
Monteith	70.6
Moockra	44.4
Moody	82.4
Moonta	39.2
Moonta Bay	42.6
Moonta Mines	40.9
Moorak	37.7
Moorlands	55.8
Moorook	53.3
Moorook South	50.7
Moppa	70.5
Morchard	70.6
Morgan	40.4
Morn Hill	110
Morphett Vale	55.8
Morphettville	51.4
Mortana	100
Moseley	86.7
Mosquito Hill	67.7
Mount Barker (SA)	62.5
Mount Barker Junction	100
Mount Barker Springs	65.5
Mount Barker Summit	70.2
Mount Benson	79.3
Mount Bryan	58.2
Mount Bryan East	100
Mount Burr	43.2
Mount Charles	78.1
Mount Compass	63.5
Mount Cooper (SA)	100
Mount Crawford	61.8
Mount Damper	69.2
Mount Drummond	100
Mount Dutton Bay	46.2
Mount Eba	69.2
Mount Gambier	58.6
Mount George (SA)	58.7
Mount Hope (SA)	80.6
Mount Jagged	63.8
Mount Light	71.9
Mount Magnificent	58.7
Mount Mary	28
Mount Mcintyre	78.8
Mount Mckenzie	57.9
Mount Observation (SA)	25
Mount Osmond	67.6
Mount Pleasant (SA)	57.6
Mount Schank	74.5
Mount Serle	60
Mount Templeton	62.1
Mount Torrens	66.3
Mount Wedge	58.3
Mount Willoughby	61.9
Moyhall	57.1
Mudamuckla	30.3
Mulgundawa	86.5
Mullaquana	73.1
Mundic Creek	50
Mundoora	55.9
Mundulla	72.3
Mundulla West	76.3
Mungeranie	49.1
Munno Para	58.7
Munno Para Downs	54.8
Munno Para West	69.9
Murbko	46.7
Murdinga	74
Murlong	90.9
Murninnie Beach	22.2
Murputja	65.1
Murrawong	50
Murray Bridge	50.2
Murray Bridge East	61.7
Murray Bridge North	55.7
Murray Bridge South	65.2
Murray Town	54
Murtho	66.7
Muston	50
Mylor	63.6
Mypolonga	64.9
Myponga	64.8
Myponga Beach	63.6
Myrtle Bank (SA)	48.6
Nailsworth	69.6
Nain	109.5
Nairne	70.5
Nalyappa	82.4
Nangkita	59.2
Nangwarry	47
Nantawarra	61.7
Napperby	53.3
Naracoorte	62.8
Narridy	57.4
Narrung (SA)	46.4
Naturi	43.5
Neales Flat	73.7
Nectar Brook	58.8
Nelshaby	67.1
Nene Valley	62.2
Nepabunna	28.8
Nepean Bay	59.3
Netherby (SA)	62.9
Netherton	77.1
Netley	51.7
New Port	78.3
New Residence	64.5
New Town (SA)	56.5
New Well	60
Newland	84.6
Newton	60.8
Ngapala	75
Nildottie	57.4
Ninnes	79.5
Noarlunga Centre	52.9
Noarlunga Downs	56.8
Nora Creina	50
Normanville (SA)	39.8
North Adelaide	55.6
North Beach (SA)	44.8
North Booborowie	47.8
North Brighton	55.5
North Haven (SA)	61.9
North Moonta	23.3
North Plympton	52.8
North Shields	59.7
North West Bend	23.1
North Yelta	28.6
Northern Heights	58.8
Northfield	42.6
Northgate (SA)	69.2
Norton Summit	59.1
Norwood (SA)	62.8
Novar Gardens	51.3
Nullarbor	70
Nunjikompita	104.5
Nuriootpa	58.2
Nurom	57.1
Nurragi	55.2
O'Halloran Hill	63.2
O'Sullivan Beach	51.5
Oakbank	66
Oakden	56
Oakden Hills	100
Oaklands Park	50.9
Ob Flat	72.5
Olary	100
Old Calperum	81.8
Old Noarlunga	60.9
Old Reynella	60.2
One Tree Hill	65.3
Onkaparinga Hills	69.2
Oodla Wirra	100
Oodnadatta	39.4
Orroroo	51.7
Osborne (SA)	52.8
Ottoway	51.6
Outer Harbor	25
Overland Corner	42.9
Ovingham	62.9
Owen	52.1
Padthaway	67.2
Paechtown	64.4
Pages Flat	63.8
Paisley	65.6
Palkagee	100
Pallamana	72.4
Palmer (SA)	56.7
Panitya (SA)	50
Panorama	56.5
Para Hills	58.4
Para Hills West	54.3
Para Vista	56.5
Parachilna	75
Paracombe	64.8
Paradise (SA)	57.3
Parafield	12.4
Parafield Gardens	55.6
Paralowie	63.2
Paramatta	60
Parawa	76.1
Parham	38.5
Parilla	64.7
Paringa	60.6
Paris Creek	62.4
Park Holme	53.2
Parkside (SA)	65.8
Parndana	63.1
Parrakie	62.9
Paruna	68.4
Pasadena	49
Paskeville	50.3
Pata	66.7
Payneham	60.5
Payneham South	60.8
Peake	54.4
Pearlah	48.9
Peebinga	70
Peep Hill	73.3
Pekina	68.3
Pelican Lagoon	49.1
Pelican Point (SA)	47.4
Penfield	49.3
Penfield Gardens	57.1
Penneshaw	57.4
Pennington	51.3
Penola	64.8
Penong	63.1
Penrice	68.5
Penwortham	61.9
Perlubie	42.9
Perponda	82.2
Peterborough (SA)	37.9
Peterhead	62.4
Petersville	55.2
Petherick	79.3
Petina	73.1
Petwood	61.1
Pewsey Vale	70.5
Piccadilly (SA)	65.5
Piednippie	87.5
Pike River	83.3
Pimba	61.1
Pimbaacla	35.7
Pine Hill (SA)	68.4
Pine Point	40.8
Pinery	69.9
Pinkawillinie	88.2
Pinkerton Plains	81.8
Pinks Beach	39.4
Pinnaroo	60.2
Pipalyatjara	51
Pirie East	72.2
Pleasant Park	106.9
Plympton	66.2
Plympton Park	62.6
Point Boston	78.9
Point Lowly	55
Point Pass	53.4
Point Pearce	35.4
Point Souttar	56
Point Sturt	57.7
Point Turton	41.9
Polda	100
Polish Hill River	71
Poltalloch	67.7
Pompoota	52
Ponde	54
Poochera	72.7
Pooginagoric	73.6
Pooginook	71.4
Poonindie	55.2
Pooraka	54.5
Porky Flat	50
Port Adelaide	53.1
Port Augusta	50.8
Port Augusta West	56.8
Port Bonython	35.7
Port Broughton	39
Port Davis	57.1
Port Elliot	38
Port Gawler	64.2
Port Germein	41.6
Port Gibbon	31.3
Port Hughes	47.5
Port Julia	40
Port Kenny	58.9
Port Lincoln	57.8
Port Macdonnell	46.7
Port Mannum	42.7
Port Moorowie	39
Port Neill	54.5
Port Noarlunga	56
Port Noarlunga South	60.7
Port Paterson	58.9
Port Pirie	24.9
Port Pirie South	53.4
Port Pirie West	41.5
Port Rickaby	28.9
Port Victoria	36.9
Port Vincent	34
Port Wakefield	56.5
Port Willunga	57.5
Porter Lagoon	100
Price	36.5
Proof Range	60
Prospect (SA)	65.8
Prospect Hill	65.9
Pukatja	24.4
Puntabie	100
Punthari	71.8
Punyelroo	42.9
Purnong	28.6
Pyap	68.3
Pyap West	80.8
Pygery	70.4
Qualco	74.5
Queenstown (SA)	52.4
Quinyambie	53.3
Quorn	50.1
Racecourse Bay	54.8
Ramco	66.9
Ramco Heights	64.8
Ramsay (SA)	71.9
Rapid Bay	55.6
Red Creek	64.8
Redbanks	63.5
Redhill	44.2
Redwood Park	68
Reedy Creek (SA)	80.6
Reeves Plains	64.7
Regency Park	6.7
Reid (SA)	74.2
Rendelsham	63.6
Renmark	48
Renmark North	62.4
Renmark South	67.5
Renmark West	65.3
Renown Park	52.8
Reynella	62.2
Reynella East	58.3
Rhynie	48.3
Richmond (SA)	63.3
Ridgehaven	55.3
Ridleyton	63.3
Risdon Park	50.5
Risdon Park South	58.7
Riverglades	62.7
Riverglen	73.7
Riverton (SA)	44
Robe	56.2
Robertstown	45.4
Rockleigh	51.2
Rocky Camp	65.8
Rocky Gully (SA)	65.7
Rocky Plain (SA)	91.7
Rogues Point	23.3
Rose Park	60
Rosedale (SA)	75.5
Rosetown	65.3
Rosewater	58.7
Roseworthy	71.4
Rosslyn Park	56.3
Rostrevor	56.9
Rowland Flat	63.8
Roxby Downs	79.7
Royal Park	58.1
Royston Park	66.4
Rudall	57.1
SA Remainder	16
Saddleworth	47.4
Saints	200
Salisbury (SA)	47.1
Salisbury Downs	52.5
Salisbury East	53.7
Salisbury Heights	69.5
Salisbury North	49.9
Salisbury Park	55.7
Salisbury Plain	55.5
Salisbury South	3
Salt Creek	57.7
Salter Springs	72.5
Saltia	80
Sampson Flat	64.7
Sandalwood	63.8
Sandergrove	73.5
Sanderston	56.1
Sandilands (SA)	69.1
Sandleton	38.5
Sandy Creek (SA)	71.2
Sandy Grove	59.1
Sapphiretown	54.5
Sceale Bay	60
Schell Well	50
Scott Creek	70.7
Seacliff	63.4
Seacliff Park	64.3
Seacombe Gardens	53.9
Seacombe Heights	62.4
Seaford (SA)	52.4
Seaford Heights	83.7
Seaford Meadows	71.3
Seaford Rise	62.4
Seaton (SA)	55.4
Seaview Downs	63
Sebastopol (SA)	59.6
Second Valley	44.5
Sedan	51.1
Seddon (SA)	69.3
Sefton Park	64.6
Sellicks Beach	59
Sellicks Hill	63.5
Semaphore	62.5
Semaphore Park	53.1
Semaphore South	63.8
Senior	85.9
Seppeltsfield	76.9
Sevenhill	67
Shaugh	111.1
Shea-Oak Log	61.9
Sheaoak Flat	37
Sheidow Park	75.8
Sheringa	64
Sherlock (SA)	59.6
Sherwood (SA)	76.4
Short	27.3
Silverton (SA)	48.1
Skye (SA)	57.6
Sleaford	67.4
Smithfield (SA)	46.8
Smithfield Plains	45.4
Smoky Bay	56.7
Snowtown	40.6
Solomon	100
Solomontown	46.6
Somerton Park	57.3
South Brighton	56.7
South Hummocks	78.1
South Kilkerran	54.3
South Plympton	62.7
Southend	60.7
Spalding (SA)	51.7
Spectacle Lake	100
Spence (SA)	92.5
Spring Farm (SA)	61.9
Spring Gully (SA)	72.3
Springfield (SA)	58.6
Springton	57.7
Square Mile	74.1
St Agnes (SA)	61.2
St Clair (SA)	75.1
St Georges	58.6
St Ives (SA)	50
St Johns	40
St Kilda (SA)	50
St Kitts	86.7
St Marys (SA)	60.5
St Morris	61.5
St Peters (SA)	65
Stanley (SA)	60
Stanley Flat	66.9
Stansbury	37.5
Steelton	56
Steinfeld	60
Stepney	64.3
Stewart Range	62
Stirling (SA)	60.1
Stirling North	51.5
Stockport	54.3
Stockwell	75.5
Stockyard Creek (SA)	56.3
Stockyard Plain	60
Stokes Bay	59.1
Stone Hut	52.4
Stone Well	75.3
Stonyfell	62.7
Stow	83.3
Strathalbyn (SA)	53.9
Streaky Bay	57.8
Struan	56.8
Stuart (SA)	28.6
Sturt (SA)	53.9
Sultana Point	36
Summertown	65.6
Sunlands	55.8
Sunnybrae	86.7
Sunnydale	38.9
Sunnyside (SA)	71.1
Sunnyvale	66.7
Surrey Downs	67.8
Sutherlands	44.1
Suttontown	72.5
Swan Reach (SA)	45.1
Swanport	73.9
Swede Flat	100
Tailem Bend	46.7
Taldra	68.2
Talia	100
Tantanoola	60
Tanunda	58.9
Taperoo	49.5
Taplan	50
Taratap	56.8
Tarcowie	52.3
Tarlee	52.4
Tarnma	33.3
Tarpeena	48.9
Tatachilla	70.7
Taunton (SA)	75
Taylorville	56.5
Tea Tree Gully	61.4
Telowie	58.8
Templers	69.3
Tennyson (SA)	58.4
Tepko	50
Teringie	66.9
Terowie	25.8
The Gap (SA)	76.5
The Pines (SA)	34.7
The Range (SA)	64.9
Thebarton	59
Thevenard	61.2
Thomas Plain	83.9
Thompson Beach	48
Thorngate	60.5
Thornlea	82.9
Thrington	56.3
Tiatukia	70.6
Tickera	40.6
Tiddy Widdy Beach	27.2
Tilley Swamp	81
Tintinara	65.3
Tolderol	42.9
Tooligie	100
Tooperang	62.7
Toora (SA)	62.1
Toorak Gardens	60.8
Tootenilla	68.4
Torrens Park	63.7
Torrens Vale	75.4
Torrensville	62
Tothill Belt	83.3
Tothill Creek	35.3
Totness	62.8
Towitta	70.4
Tranmere (SA)	62.5
Trinity Gardens	67.4
Trott Park	68.6
Truro	67.7
Tulka	69.9
Tumby Bay	45.8
Tungkillo	56.3
Tunkalilla	62.5
Tusmore	63
Two Wells	63.3
Tyringa	133.3
Ucolta	100
Uleybury	68.9
Ulyerra	104.5
Undalya	66.7
Underdale	63.6
Ungarra	63.6
Unley	66
Unley Park	61.6
Upper Hermitage	61.4
Upper Sturt	68.4
Uraidla	65.8
Urania	78
Urrbrae	60.5
Uworra	100
Vale Park	57.5
Valley View	57.3
Veitch	85.7
Venus Bay (SA)	38.2
Verdun	65.5
Verran	87.9
Victor Harbor	39.4
Vine Vale	73.7
Virginia (SA)	58.1
Vista	60.4
Vivonne Bay	78.9
Waddikee	86.7
Waikerie	48.9
Waitpinga	47.6
Walker Flat	39.8
Walkerville (SA)	53.3
Walkley Heights	59
Wall Flat	66.7
Wallala	150
Wallaroo (SA)	41
Wallaroo Mines	50.7
Wallaroo Plain	80.6
Walloway	66.7
Waltowa	65
Wami Kata	175
Wanbi	54.1
Wandana (SA)	70.8
Wandearah East	84.2
Wandearah West	100
Wandilo	69.9
Wangary	56.5
Wangolina	72.7
Wanilla	62.3
Wappilka	41.7
Warburto	69.5
Ward Belt	70.2
Ward Hill	60.4
Warnertown	60
Warnes	100
Warooka	56.5
Warradale	59.8
Warramboo	61.7
Warraweena	64.7
Washpool (SA)	66.7
Wasleys	67.2
Watchman	88
Waterfall Gully	70.8
Waterloo (SA)	51.5
Waterloo Corner	37.1
Watervale	66.9
Wattle Flat (SA)	63
Wattle Park	57.4
Wattle Range	79.3
Wattle Range East	75
Wauraltee	79.1
Wayville	64.1
Webb Beach	39
Weeroona Island	36.7
Weetulta	75
Welland	57.4
Wellington (SA)	47.6
Wellington East	40
Wepar	76.7
West Beach (SA)	62.9
West Bundaleer	100
West Croydon	62.3
West Hindmarsh	64.5
West Lakes	52.5
West Lakes Shore	57.7
West Range	42.1
West Richmond	61.9
Westall	83.3
Westbourne Park	61.3
Western Flat	74.2
Western River	68.4
Wharminda	58.3
White Hill	57.1
White Hut	92.9
White Sands	58.1
Whites Flat	88.2
Whites River	145.5
Whites Valley	63.6
Whitwarta	51.4
Whyalla	59.7
Whyalla Jenkins	67.5
Whyalla Norrie	51.8
Whyalla Playford	59.7
Whyalla Stuart	45.8
Whyte Yarcowie	52.5
Wigley Flat	40
Wilcherry	133.3
Wild Dog Valley (SA)	73.4
Wild Horse Plains	54.3
Wilgena	72.2
Willalo	68.9
Willalooka	77
Willamulka	70.2
Willaston	58.6
William Creek	60
Williamstown (SA)	65
Willippa	94.4
Willochra	27.3
Willoughby (SA)	45.5
Willow Creek	75.9
Willowie	84.8
Willunga	61.5
Willunga Hill	77
Willunga South	67.9
Willyaroo	58.6
Wilmington	56.1
Windsor (SA)	57.8
Windsor Gardens	61.4
Wingfield	48
Winkie	65
Winulta	72
Wirrabara	53.4
Wirrega	70.8
Wirrina Cove	35.8
Wirrulla	73.7
Wisanger	70.8
Wistow	62.9
Witera	100
Wokurna	79.2
Wolseley	62.8
Wongulla	35.1
Wongyarra	60
Wonuarra	72.1
Woodchester	69.4
Woodcroft (SA)	66.5
Woodforde	58.6
Woodlane	61.5
Woodleigh (SA)	77.6
Woods Point (SA)	64.2
Woodside (SA)	57.9
Woodville (SA)	62.5
Woodville Gardens	46.1
Woodville North	55.3
Woodville Park	65.6
Woodville South	64.4
Woodville West	60.2
Wool Bay	31.3
Woolpunda	90.9
Woolshed Flat (SA)	78.3
Woolsheds	44.4
Woolumbool	74.6
Woolundunga	55.6
Woomera	77
Worrolong	78
Wrattonbully	87.5
Wudinna	65.9
Wunkar	74.1
Wye	62.7
Wynarka	84.2
Wynn Vale	67.8
Wyomi	43.5
Yacka	45.5
Yahl	66.8
Yalanda	100
Yalata	30.9
Yallunda Flat	58.8
Yalpara	100
Yamba (SA)	100
Yanerbie	75
Yaninee	84.2
Yankalilla	39.6
Yantanabie	77.8
Yarrah	100
Yatala Vale	63.3
Yatina	27.3
Yattalunga (SA)	66.2
Yeelanna	66.1
Yelta (SA)	23.1
Yinkanie	25
Yongala	35.5
Yorke Valley	43.5
Yorketown	51.7
Younghusband	44.3
Yumali	64.3
Yundi	63.4
Yunta	62
Zadows Landing	54.5
No usual address (SA)	39.2
Migratory - Offshore - Shipping (SA)	100
Abba River	71.7
Abbey	64.3
Acton Park (WA)	66.7
Adamsvale	71.4
Ajana	50
Albany	58.8
Aldersyde	84.2
Alexander Heights	65.6
Alexandra Bridge	44.4
Alfred Cove	64.3
Alkimos	75.4
Allanooka	78.9
Allanson	63
Alma (WA)	68.9
Ambania	36.4
Ambergate	72.9
Amelup	80.4
Angelo River	100
Anketell	60.5
Anniebrook	74
Applecross	59.2
Ardath	75
Ardross	62.9
Argyle (WA)	62.1
Armadale (WA)	50.9
Arrino	70
Arrowsmith	100
Arrowsmith East	85.7
Arthur River (WA)	59.6
Ascot (WA)	65.7
Ashby (WA)	60.7
Ashendon	30
Ashfield (WA)	58.8
Attadale	62.6
Atwell	75.6
Aubin Grove	75.4
Augusta	42.9
Australind	63.7
Aveley	76
Avon Valley National Park	87.5
Baandee	60
Babakin	81
Babbage Island	82.6
Badgebup	61.8
Badgerin Rock	81.3
Badgin	57.1
Badgingarra	86.1
Badjaling	72.7
Bailup	50
Bakers Hill	61.1
Balbarrup	67.2
Balcatta	58.5
Baldivis	69.3
Balga	58.3
Balingup	52.7
Balkuling	35
Balladong	65.6
Ballajura	66.6
Ballaying	84.2
Ballidu	55.9
Bally Bally	41.5
Bambun	65
Bandy Creek	69.6
Bandya	86.2
Banjup	69.7
Banksia Grove	73.6
Bannister (WA)	82.9
Barbalin	76.2
Barberton	91.7
Barrabup	52.4
Barragup	62
Barrow Island	79.1
Baskerville	64.8
Bassendean (WA)	65.1
Bateman	63.7
Baynton (WA)	70.8
Bayonet Head	59.7
Bayswater (WA)	66.7
Beachlands	56.5
Beacon	84.5
Beaconsfield (WA)	59.8
Beaufort River	67.3
Beaumont (WA)	63.2
Beckenham	62.3
Bedford	65.4
Bedfordale	65.8
Beechboro	60.8
Beechina	70.2
Beedelup	50
Beela	59.3
Beelerup	57.4
Beeliar	73.4
Beenong	94.7
Beermullah	73
Bejoording	61.8
Beldon	70.2
Belhus	57
Bellevue (WA)	63.9
Belmont (WA)	61.5
Bencubbin	61.5
Benger	68.2
Benjaberring	40
Benjinup	63.2
Bennett Springs	68.2
Bentley (WA)	46.8
Beresford	60.9
Berkshire Valley	76
Bertram	74.1
Beverley (WA)	43
Bibra Lake	65
Bickley	57.8
Bicton	61.5
Biddelia	60
Big Grove	47.5
Bilbarin	66.7
Bilingurr	75.9
Bindi Bindi	78.4
Bindoon	53
Binduli	75
Binningup	60.8
Binnu	69
Birchmont	55.7
Bluff Point	50.7
Blythewood	75.5
Boallia	62.2
Bobalong	63.6
Bodallin	66
Boddington	61.9
Boilup	64.7
Bokal	77.4
Bolgart	58.3
Bonnie Rock	85.7
Bonniefield	61.3
Boodarie	60.4
Bookara	55.6
Boonanarring	83.3
Booragoon	59
Booralaming	41.7
Boorara Brook	40.8
Bootenal	73.1
Boothendarra	74.1
Borden	57.1
Borderdale	63.6
Bornholm	54.3
Boscabel	76.9
Boulder	64.7
Boundain	61.9
Bouvard	48.3
Bovell	64.1
Bow Bridge	57.6
Bowelling	72.1
Bowes	65.5
Bowgada	68.6
Boxwood Hill	69.5
Boya	69.7
Boyanup	66.1
Boyatup	75
Boyerine	82.6
Boyup Brook	49.5
Brabham	79.3
Bramley	57.4
Brazier	48.7
Breera	51.6
Bremer Bay	56.7
Brentwood (WA)	59.4
Bridgetown	51.6
Brigadoon	65.6
Bringo	45.5
Broadwater (WA)	48.7
Broadwood	79.1
Brockman	51.7
Broke (WA)	69.2
Brookdale (WA)	61
Brookhampton	60.6
Brookton	49.2
Broome	55.3
Broomehill East	81.3
Broomehill Village	50
Broomehill West	76.6
Brown Range	55.3
Bruce Rock	56.6
Brunswick (WA)	56.7
Buckingham (WA)	63.2
Buckland (WA)	41.5
Bulgarra	73.8
Bull Creek (WA)	57
Bullabulling	175
Bullaring	84.8
Buller	52.5
Bullfinch	67.6
Bullock Hills	37.5
Bullsbrook	63.8
Bulyee	55.8
Bunbury (WA)	59.2
Bundanoon (WA)	128.6
Buniche	105.3
Bunjil	69.8
Buntine	52.3
Burakin	53.8
Burekup	66.5
Burges	42.9
Burlong	4
Burma Road	75
Burns Beach	78.5
Burnside (WA)	66.8
Burracoppin	57.1
Burran Rock	75
Burswood	66
Busselton	46.4
Butler (WA)	67.5
Byford	72.6
Cable Beach	67.8
Cadoux	75
Caiguna	75
Calingiri	57.4
Calista	41.3
Caljie	47.4
Callcup	78.6
Camballin	37.9
Cambridge Gulf	70.8
Camillo	59.3
Cancanning	47.8
Cane	53.8
Canna	71.4
Canning Mills	100
Canning Vale	67.6
Cannington	63.2
Cape Burney	56.6
Cape Le Grand	17.6
Cape Range National Park	30.8
Capel	57.8
Capel River	61.8
Capricorn	34.7
Caraban	38.1
Carabooda	62.4
Carani	115.4
Carbunup River	65.3
Cardiff (WA)	56.3
Cardup	69.7
Carey Park	54.1
Carine	67.3
Carlisle	62.5
Carlotta	50
Carmel	55.6
Carnamah	64.2
Carnarvon	53
Carrabin	60
Carramar (WA)	74.8
Carrolup	78.9
Cartmeticup	72.1
Cascade (WA)	82.6
Castletown	62.2
Casuarina (WA)	28
Cataby	72
Catterick	71.1
Caversham	73.1
Centennial Park (WA)	46.3
Cervantes	48.3
Chadwick	57.1
Champion Lakes	63.9
Chandler (WA)	76.9
Changerup	50
Channybearup	69.3
Chapman Hill	63.3
Charley Creek	58.8
Cherry Tree Pool	100
Cheynes	100
Chichester (WA)	31.6
Chidlow	64.7
Chittering	62.1
Chowerup	70.4
Churchlands	66.9
City Beach	58.1
Clackline	55.2
Claremont (WA)	54.5
Clarkson	70.3
Cleary	100
Cloverdale	58.6
Coblinine	75.7
Cockburn Central	74.5
Cocklebiddy	31.6
Codjatotine	68.3
Cold Harbour	58.2
Collanilling	68.4
College Grove	48.9
Collie (WA)	50.3
Collie Burn	79.1
Collingwood Heights	59
Collingwood Park (WA)	59.6
Collins	51.7
Commodine	60
Como (WA)	64
Condingup	57
Connolly	69.8
Contine	81.3
Coodanup	41.8
Coogee (WA)	62.9
Cookernup	56.1
Cooladar Hill	200
Coolbellup	59
Coolbinia	67.7
Coolcalalaya	37.5
Coolgardie (WA)	50.2
Cooljarloo	100
Cooloongup	54.1
Coolup	66.3
Coomalbidgup	72.4
Coomberdale	77.8
Coonabidgee	50.5
Coondle	46.6
Coorow	63.9
Cooya Pooya	100
Copley (WA)	55.1
Coral Bay	83.5
Corrigin	53.4
Cosmo Newbery	53.7
Cottesloe	62.6
Courtenay	75.8
Cowalellup	60
Cowalla	56.4
Cowaramup	68.4
Cowcowing	108.3
Coyrecup	70.6
Craigie (WA)	67.5
Cramphorne	71.4
Cranbrook (WA)	59.4
Crawley	44.2
Crooked Brook	64
Crossman	58.6
Crowea	53.6
Cuballing	57
Cubbine	73.7
Cue	43.3
Culham	62.1
Cullalla	56
Cundeelee	85
Cunderdin	57.9
Cundinup	56.3
Cunjardine	89.5
Currambine	72.3
Cuthbert	61.7
Daadenning Creek	66.7
Daglish	65.4
Dale	63.4
Daliak	35.8
Dalkeith	58.4
Dalwallinu	69
Dalyellup	70.1
Dalyup	58.3
Dampier	77.7
Dampier Peninsula	44.4
Dandanning	84.6
Dandaragan	69
Dangin	53.3
Darch	71.6
Dardadine	93.8
Dardanup	64
Dardanup West	69.4
Darkan	65.1
Darling Downs	63.9
Darlington (WA)	62.8
Darradup	47.1
Dartmoor (WA)	100
Dartnall	92.9
Datatine	66.7
Davenport (WA)	100
Dawesville	55.5
Dayton	76.4
De Grey	29.6
Deanmill	69
Deepdale	71.3
Deepdene (WA)	65.1
Denbarker	75.8
Denham	53.7
Denmark	47.3
Derby (WA)	52.5
Devils Creek	83.3
Dewars Pool	38.2
Diamond Tree	90
Dianella	60.9
Dindiloa	64.7
Dingup	67.7
Dinninup	65.3
Dixvale	72.5
Djugun	77
Dongara	49.7
Dongolocking	72
Donnelly River	60
Donnybrook (WA)	52.8
Doodenanning	48.6
Doodlakine	60.9
Doubleview	67.7
Dowerin	55.5
Drome	68.3
Drummond Cove	68.4
Drysdale River	52.2
Dudawa	90
Dudinin	66.7
Dudley Park (WA)	47.5
Dukin	100
Dulbelling	51.2
Dulyalbin	78.9
Dumbarton	60.1
Dumberning	47.6
Dumbleyung	57.7
Duncraig	65.7
Dunn Rock	54.5
Dunsborough	65.2
Durack (WA)	50.6
Duranillin	65.4
Durawah	100
Dwarda	46.7
Dwellingup	55.1
Eagle Bay	35.2
East Augusta	38.5
East Ballidu	78
East Beverley	73.1
East Bowes	64.4
East Bunbury	55.2
East Cannington	65.2
