SSC_NAME16	ModeTravelToWork	NumberModes	employed_persons
East Killara	Motorbike scooter	1	9
East Killara	Other two methods	2	7
East Killara	Taxi	1	3
East Killara	Train	1	201
East Killara	Train and two other methods	3	16
East Killara	Truck	1	3
East Killara	Walked only	1	12
East Kurrajong			14
East Kurrajong	(Other)	1	3
East Kurrajong	Car as driver	1	812
East Kurrajong	Car as passenger	1	27
East Kurrajong	Motorbike scooter	1	6
East Kurrajong	Other two methods	2	18
East Kurrajong	Train	1	14
East Kurrajong	Train and two other methods	3	3
East Kurrajong	Truck	1	44
East Kurrajong	Walked only	1	12
East Lindfield			10
East Lindfield	(Other)	1	13
East Lindfield	Bicycle	1	15
East Lindfield	Bus	1	85
East Lindfield	Car as driver	1	768
East Lindfield	Car as passenger	1	57
East Lindfield	Motorbike scooter	1	9
East Lindfield	Other three methods	3	3
East Lindfield	Other two methods	2	8
East Lindfield	Taxi	1	3
East Lindfield	Train	1	166
East Lindfield	Train and two other methods	3	15
East Lindfield	Truck	1	3
East Lindfield	Walked only	1	31
East Lismore			11
East Lismore	(Other)	1	14
East Lismore	Bicycle	1	27
East Lismore	Bus	1	16
East Lismore	Car as driver	1	1350
East Lismore	Car as passenger	1	132
East Lismore	Motorbike scooter	1	12
East Lismore	Other two methods	2	9
East Lismore	Taxi	1	4
East Lismore	Truck	1	19
East Lismore	Walked only	1	98
East Lynne	(Other)	1	4
East Lynne	Car as driver	1	24
East Maitland			47
East Maitland	(Other)	1	17
East Maitland	Bicycle	1	28
East Maitland	Bus	1	25
East Maitland	Car as driver	1	3704
East Maitland	Car as passenger	1	250
East Maitland	Motorbike scooter	1	18
East Maitland	Other two methods	2	26
East Maitland	Taxi	1	3
East Maitland	Train	1	59
East Maitland	Train and two other methods	3	15
East Maitland	Truck	1	39
East Maitland	Walked only	1	76
East Ryde			5
East Ryde	(Other)	1	8
East Ryde	Bicycle	1	11
East Ryde	Bus	1	151
East Ryde	Car as driver	1	716
East Ryde	Car as passenger	1	52
East Ryde	Motorbike scooter	1	14
East Ryde	Other two methods	2	3
East Ryde	Train	1	17
East Ryde	Train and two other methods	3	3
East Ryde	Truck	1	7
East Ryde	Walked only	1	13
East Seaham	Car as driver	1	125
East Seaham	Car as passenger	1	8
East Seaham	Truck	1	3
East Seaham	Walked only	1	3
East Tamworth			22
East Tamworth	(Other)	1	10
East Tamworth	Bicycle	1	13
East Tamworth	Bus	1	9
East Tamworth	Car as driver	1	1826
East Tamworth	Car as passenger	1	129
East Tamworth	Motorbike scooter	1	9
East Tamworth	Other two methods	2	12
East Tamworth	Taxi	1	9
East Tamworth	Truck	1	21
East Tamworth	Walked only	1	120
East Wagga Wagga	Car as driver	1	60
East Wagga Wagga	Car as passenger	1	6
East Wagga Wagga	Truck	1	4
East Wagga Wagga	Walked only	1	14
East Wardell	(Other)	1	4
East Wardell	Car as driver	1	79
East Wardell	Car as passenger	1	9
East Wardell	Truck	1	3
East Wardell	Walked only	1	4
Eastern Creek			8
Eastern Creek	(Other)	1	4
Eastern Creek	Bus	1	7
Eastern Creek	Car as driver	1	243
Eastern Creek	Car as passenger	1	22
Eastern Creek	Other two methods	2	3
Eastern Creek	Train	1	12
Eastern Creek	Truck	1	9
Eastern Creek	Walked only	1	3
Eastgardens			7
Eastgardens	Bicycle	1	10
Eastgardens	Bus	1	64
Eastgardens	Car as driver	1	183
Eastgardens	Car as passenger	1	20
Eastgardens	Motorbike scooter	1	9
Eastgardens	Taxi	1	3
Eastgardens	Train and two other methods	3	3
Eastgardens	Walked only	1	12
Eastlakes			24
Eastlakes	(Other)	1	16
Eastlakes	Bicycle	1	40
Eastlakes	Bus	1	509
Eastlakes	Bus and two other methods excludes train	3	4
Eastlakes	Car as driver	1	1360
Eastlakes	Car as passenger	1	187
Eastlakes	Motorbike scooter	1	30
Eastlakes	Other two methods	2	18
Eastlakes	Taxi	1	14
Eastlakes	Train	1	32
Eastlakes	Train and two other methods	3	23
Eastlakes	Truck	1	9
Eastlakes	Walked only	1	121
Eastwood (NSW)			70
Eastwood (NSW)	(Other)	1	41
Eastwood (NSW)	Bicycle	1	30
Eastwood (NSW)	Bus	1	317
Eastwood (NSW)	Bus and two other methods excludes train	3	3
Eastwood (NSW)	Car as driver	1	3755
Eastwood (NSW)	Car as passenger	1	316
Eastwood (NSW)	Motorbike scooter	1	26
Eastwood (NSW)	Other two methods	2	49
Eastwood (NSW)	Taxi	1	19
Eastwood (NSW)	Train	1	1674
Eastwood (NSW)	Train and two other methods	3	60
Eastwood (NSW)	Tram includes light rail	1	5
Eastwood (NSW)	Truck	1	33
Eastwood (NSW)	Walked only	1	351
Eatonsville	Car as driver	1	61
Eatonsville	Car as passenger	1	3
Ebenezer (NSW)			10
Ebenezer (NSW)	(Other)	1	3
Ebenezer (NSW)	Bus	1	3
Ebenezer (NSW)	Car as driver	1	347
Ebenezer (NSW)	Car as passenger	1	26
Ebenezer (NSW)	Train	1	6
Ebenezer (NSW)	Truck	1	18
Ebenezer (NSW)	Walked only	1	12
Ebor	Car as driver	1	25
Ebor	Car as passenger	1	5
Ebor	Other two methods	2	3
Ebor	Walked only	1	17
Eccleston	Car as driver	1	6
Eccleston	Walked only	1	3
Eden			26
Eden	(Other)	1	12
Eden	Bicycle	1	3
Eden	Bus	1	4
Eden	Car as driver	1	748
Eden	Car as passenger	1	54
Eden	Other two methods	2	11
Eden	Taxi	1	3
Eden	Truck	1	19
Eden	Walked only	1	73
Eden Creek	(Other)	1	4
Eden Creek	Car as driver	1	41
Eden Creek	Car as passenger	1	3
Edensor Park			45
Edensor Park	(Other)	1	22
Edensor Park	Bicycle	1	3
Edensor Park	Bus	1	77
Edensor Park	Car as driver	1	2810
Edensor Park	Car as passenger	1	258
Edensor Park	Motorbike scooter	1	4
Edensor Park	Other two methods	2	28
Edensor Park	Taxi	1	7
Edensor Park	Train	1	185
Edensor Park	Train and two other methods	3	26
Edensor Park	Truck	1	65
Edensor Park	Walked only	1	26
Edenville	Car as driver	1	17
Edenville	Walked only	1	6
Edgecliff			4
Edgecliff	(Other)	1	5
Edgecliff	Bicycle	1	18
Edgecliff	Bus	1	45
Edgecliff	Car as driver	1	318
Edgecliff	Car as passenger	1	18
Edgecliff	Ferry	1	3
Edgecliff	Motorbike scooter	1	7
Edgecliff	Other two methods	2	7
Edgecliff	Taxi	1	3
Edgecliff	Train	1	555
Edgecliff	Train and two other methods	3	4
Edgecliff	Walked only	1	137
Edgeroi	Car as driver	1	32
Edgeworth			30
Edgeworth	(Other)	1	7
Edgeworth	Bicycle	1	3
Edgeworth	Bus	1	20
Edgeworth	Car as driver	1	2015
Edgeworth	Car as passenger	1	129
Edgeworth	Motorbike scooter	1	10
Edgeworth	Other two methods	2	12
Edgeworth	Train	1	3
Edgeworth	Train and two other methods	3	3
Edgeworth	Truck	1	30
Edgeworth	Walked only	1	29
Edith (NSW)	Car as driver	1	38
Edith (NSW)	Truck	1	3
Edmondson Park			5
Edmondson Park	(Other)	1	3
Edmondson Park	Bus	1	12
Edmondson Park	Car as driver	1	662
Edmondson Park	Car as passenger	1	27
Edmondson Park	Motorbike scooter	1	5
Edmondson Park	Other two methods	2	10
Edmondson Park	Taxi	1	3
Edmondson Park	Train	1	119
Edmondson Park	Train and two other methods	3	6
Edmondson Park	Truck	1	9
Edmondson Park	Walked only	1	4
Eenaweena	Walked only	1	4
Eglinton (NSW)			14
Eglinton (NSW)	(Other)	1	4
Eglinton (NSW)	Bicycle	1	5
Eglinton (NSW)	Bus	1	3
Eglinton (NSW)	Car as driver	1	823
Eglinton (NSW)	Car as passenger	1	45
Eglinton (NSW)	Motorbike scooter	1	4
Eglinton (NSW)	Other two methods	2	4
Eglinton (NSW)	Truck	1	13
Eglinton (NSW)	Walked only	1	20
Elands	Car as driver	1	25
Elands	Car as passenger	1	3
Elands	Walked only	1	3
Elanora Heights			5
Elanora Heights	(Other)	1	10
Elanora Heights	Bicycle	1	8
Elanora Heights	Bus	1	143
Elanora Heights	Car as driver	1	1445
Elanora Heights	Car as passenger	1	62
Elanora Heights	Motorbike scooter	1	19
Elanora Heights	Other two methods	2	9
Elanora Heights	Taxi	1	3
Elanora Heights	Train	1	5
Elanora Heights	Train and two other methods	3	6
Elanora Heights	Truck	1	20
Elanora Heights	Walked only	1	27
Elcombe	Car as driver	1	3
Elderslie (Camden - NSW)			24
Elderslie (Camden - NSW)	(Other)	1	20
Elderslie (Camden - NSW)	Bicycle	1	13
Elderslie (Camden - NSW)	Bus	1	15
Elderslie (Camden - NSW)	Car as driver	1	2241
Elderslie (Camden - NSW)	Car as passenger	1	139
Elderslie (Camden - NSW)	Motorbike scooter	1	16
Elderslie (Camden - NSW)	Other two methods	2	15
Elderslie (Camden - NSW)	Train	1	47
Elderslie (Camden - NSW)	Train and two other methods	3	11
Elderslie (Camden - NSW)	Truck	1	34
Elderslie (Camden - NSW)	Walked only	1	17
Elderslie (Singleton - NSW)			4
Elderslie (Singleton - NSW)	Car as driver	1	34
Elderslie (Singleton - NSW)	Truck	1	4
Elderslie (Singleton - NSW)	Walked only	1	4
Eleebana			18
Eleebana	(Other)	1	7
Eleebana	Bicycle	1	10
Eleebana	Bus	1	19
Eleebana	Car as driver	1	2024
Eleebana	Car as passenger	1	113
Eleebana	Motorbike scooter	1	11
Eleebana	Other two methods	2	12
Eleebana	Train	1	15
Eleebana	Train and two other methods	3	3
Eleebana	Truck	1	19
Eleebana	Walked only	1	27
Elermore Vale			12
Elermore Vale	(Other)	1	3
Elermore Vale	Bicycle	1	14
Elermore Vale	Bus	1	19
Elermore Vale	Car as driver	1	1743
Elermore Vale	Car as passenger	1	144
Elermore Vale	Motorbike scooter	1	20
Elermore Vale	Other two methods	2	9
Elermore Vale	Taxi	1	5
Elermore Vale	Train	1	8
Elermore Vale	Truck	1	18
Elermore Vale	Walked only	1	21
Elizabeth Bay			22
Elizabeth Bay	(Other)	1	23
Elizabeth Bay	Bicycle	1	59
Elizabeth Bay	Bus	1	219
Elizabeth Bay	Car as driver	1	588
Elizabeth Bay	Car as passenger	1	67
Elizabeth Bay	Ferry	1	3
Elizabeth Bay	Motorbike scooter	1	56
Elizabeth Bay	Other two methods	2	13
Elizabeth Bay	Taxi	1	75
Elizabeth Bay	Train	1	867
Elizabeth Bay	Train and two other methods	3	17
Elizabeth Bay	Walked only	1	766
Elizabeth Beach	(Other)	1	3
Elizabeth Beach	Car as driver	1	54
Elizabeth Beach	Car as passenger	1	3
Elizabeth Beach	Tram includes light rail	1	3
Elizabeth Beach	Walked only	1	3
Elizabeth Hills			9
Elizabeth Hills	(Other)	1	6
Elizabeth Hills	Bus	1	18
Elizabeth Hills	Car as driver	1	845
Elizabeth Hills	Car as passenger	1	54
Elizabeth Hills	Other two methods	2	10
Elizabeth Hills	Train	1	45
Elizabeth Hills	Train and two other methods	3	7
Elizabeth Hills	Truck	1	13
Ellalong			3
Ellalong	Car as driver	1	343
Ellalong	Car as passenger	1	22
Ellalong	Truck	1	3
Elland	(Other)	1	3
Elland	Car as driver	1	107
Elland	Car as passenger	1	6
Elland	Truck	1	4
Elland	Walked only	1	4
Ellangowan (NSW)	(Other)	1	3
Ellangowan (NSW)	Car as driver	1	73
Ellangowan (NSW)	Car as passenger	1	3
Ellangowan (NSW)	Truck	1	4
Ellangowan (NSW)	Walked only	1	3
Ellenborough	Car as driver	1	44
Ellenborough	Car as passenger	1	3
Ellerslie (Snowy Valleys - NSW)	Car as driver	1	10
Ellerslie (Wentworth - NSW)	Car as driver	1	15
Ellerslie (Wentworth - NSW)	Walked only	1	8
Ellerston	Car as driver	1	29
Ellerston	Car as passenger	1	4
Ellerston	Walked only	1	5
Ellis Lane			7
Ellis Lane	Bus	1	3
Ellis Lane	Car as driver	1	304
Ellis Lane	Car as passenger	1	18
Ellis Lane	Motorbike scooter	1	3
Ellis Lane	Other two methods	2	3
Ellis Lane	Train	1	3
Ellis Lane	Train and two other methods	3	3
Ellis Lane	Truck	1	11
Ellis Lane	Walked only	1	5
Elong Elong	(Other)	1	3
Elong Elong	Car as driver	1	22
Elrington	Car as driver	1	51
Elrington	Car as passenger	1	3
Elsmore			3
Elsmore	Car as driver	1	41
Elsmore	Car as passenger	1	3
Eltham (NSW)			4
Eltham (NSW)	Bus	1	4
Eltham (NSW)	Car as driver	1	108
Eltham (NSW)	Car as passenger	1	4
Eltham (NSW)	Walked only	1	6
Elvina Bay	(Other)	1	8
Elvina Bay	Car as driver	1	13
Elvina Bay	Car as passenger	1	3
Elvina Bay	Other two methods	2	8
Emerald Beach			6
Emerald Beach	(Other)	1	3
Emerald Beach	Bicycle	1	3
Emerald Beach	Bus	1	9
Emerald Beach	Car as driver	1	755
Emerald Beach	Car as passenger	1	44
Emerald Beach	Motorbike scooter	1	4
Emerald Beach	Other two methods	2	5
Emerald Beach	Truck	1	13
Emerald Beach	Walked only	1	25
Emerald Hill	Car as driver	1	39
Emerald Hill	Walked only	1	7
Emerton			11
Emerton	(Other)	1	8
Emerton	Bicycle	1	4
Emerton	Bus	1	17
Emerton	Car as driver	1	428
Emerton	Car as passenger	1	64
Emerton	Motorbike scooter	1	6
Emerton	Other two methods	2	4
Emerton	Train	1	31
Emerton	Train and two other methods	3	8
Emerton	Truck	1	11
Emerton	Walked only	1	13
Emmaville			4
Emmaville	Bicycle	1	5
Emmaville	Car as driver	1	86
Emmaville	Car as passenger	1	3
Emmaville	Truck	1	6
Emmaville	Walked only	1	16
Empire Bay			11
Empire Bay	(Other)	1	3
Empire Bay	Bus	1	6
Empire Bay	Car as driver	1	615
Empire Bay	Car as passenger	1	36
Empire Bay	Ferry	1	3
Empire Bay	Motorbike scooter	1	7
Empire Bay	Other two methods	2	9
Empire Bay	Train	1	60
Empire Bay	Train and two other methods	3	10
Empire Bay	Truck	1	9
Empire Bay	Walked only	1	12
Empire Vale	Car as driver	1	40
Empire Vale	Car as passenger	1	3
Empire Vale	Other two methods	2	8
Empire Vale	Truck	1	3
Emu Heights (NSW)			7
Emu Heights (NSW)	(Other)	1	4
Emu Heights (NSW)	Bicycle	1	7
Emu Heights (NSW)	Bus	1	10
Emu Heights (NSW)	Car as driver	1	1217
Emu Heights (NSW)	Car as passenger	1	87
Emu Heights (NSW)	Motorbike scooter	1	6
Emu Heights (NSW)	Other two methods	2	5
Emu Heights (NSW)	Taxi	1	5
Emu Heights (NSW)	Train	1	98
Emu Heights (NSW)	Train and two other methods	3	13
Emu Heights (NSW)	Truck	1	26
Emu Heights (NSW)	Walked only	1	17
Emu Plains			26
Emu Plains	(Other)	1	6
Emu Plains	Bicycle	1	8
Emu Plains	Bus	1	15
Emu Plains	Car as driver	1	2509
Emu Plains	Car as passenger	1	173
Emu Plains	Motorbike scooter	1	21
Emu Plains	Other two methods	2	15
Emu Plains	Taxi	1	6
Emu Plains	Train	1	306
Emu Plains	Train and two other methods	3	20
Emu Plains	Truck	1	60
Emu Plains	Walked only	1	60
Emu Swamp	Car as driver	1	56
Emu Swamp	Car as passenger	1	4
Emu Swamp	Walked only	1	6
Enfield (NSW)			17
Enfield (NSW)	(Other)	1	6
Enfield (NSW)	Bicycle	1	6
Enfield (NSW)	Bus	1	78
Enfield (NSW)	Car as driver	1	716
Enfield (NSW)	Car as passenger	1	71
Enfield (NSW)	Motorbike scooter	1	5
Enfield (NSW)	Other two methods	2	6
Enfield (NSW)	Train	1	129
Enfield (NSW)	Train and two other methods	3	11
Enfield (NSW)	Truck	1	22
Enfield (NSW)	Walked only	1	25
Engadine			64
Engadine	(Other)	1	27
Engadine	Bicycle	1	18
Engadine	Bus	1	26
Engadine	Car as driver	1	5403
Engadine	Car as passenger	1	254
Engadine	Motorbike scooter	1	35
Engadine	Other three methods	3	3
Engadine	Other two methods	2	35
Engadine	Taxi	1	7
Engadine	Train	1	847
Engadine	Train and two other methods	3	31
Engadine	Truck	1	90
Engadine	Walked only	1	157
Englorie Park	(Other)	1	3
Englorie Park	Car as driver	1	107
Englorie Park	Car as passenger	1	10
Englorie Park	Train	1	26
Englorie Park	Walked only	1	8
Enmore (Armidale Regional - NSW)	Car as driver	1	16
Enmore (Armidale Regional - NSW)	Walked only	1	3
Enmore (Inner West - NSW)			11
Enmore (Inner West - NSW)	(Other)	1	19
Enmore (Inner West - NSW)	Bicycle	1	92
Enmore (Inner West - NSW)	Bus	1	278
Enmore (Inner West - NSW)	Bus and two other methods excludes train	3	3
Enmore (Inner West - NSW)	Car as driver	1	665
Enmore (Inner West - NSW)	Car as passenger	1	43
Enmore (Inner West - NSW)	Motorbike scooter	1	37
Enmore (Inner West - NSW)	Other two methods	2	11
Enmore (Inner West - NSW)	Taxi	1	15
Enmore (Inner West - NSW)	Train	1	534
Enmore (Inner West - NSW)	Train and two other methods	3	17
Enmore (Inner West - NSW)	Tram includes light rail	1	3
Enmore (Inner West - NSW)	Walked only	1	207
Enngonia	Car as driver	1	9
Enngonia	Motorbike scooter	1	4
Enngonia	Other two methods	2	4
Enngonia	Walked only	1	11
Epping (NSW)			70
Epping (NSW)	(Other)	1	37
Epping (NSW)	Bicycle	1	45
Epping (NSW)	Bus	1	339
Epping (NSW)	Bus and two other methods excludes train	3	5
Epping (NSW)	Car as driver	1	4912
Epping (NSW)	Car as passenger	1	357
Epping (NSW)	Motorbike scooter	1	62
Epping (NSW)	Other two methods	2	53
Epping (NSW)	Taxi	1	9
Epping (NSW)	Train	1	2891
Epping (NSW)	Train and two other methods	3	106
Epping (NSW)	Tram includes light rail	1	3
Epping (NSW)	Truck	1	38
Epping (NSW)	Walked only	1	210
Eraring	(Other)	1	3
Eraring	Car as driver	1	48
Eraring	Truck	1	5
Eremerang	Car as driver	1	3
Erigolia	Car as driver	1	14
Erigolia	Walked only	1	3
Erin Vale	Car as driver	1	10
Erina			11
Erina	(Other)	1	5
Erina	Bicycle	1	10
Erina	Bus	1	9
Erina	Bus and two other methods excludes train	3	4
Erina	Car as driver	1	949
Erina	Car as passenger	1	78
Erina	Ferry	1	3
Erina	Motorbike scooter	1	5
Erina	Other two methods	2	8
Erina	Train	1	51
Erina	Train and two other methods	3	8
Erina	Truck	1	16
Erina	Walked only	1	77
Erina Heights	(Other)	1	3
Erina Heights	Bus	1	3
Erina Heights	Car as driver	1	129
Erina Heights	Car as passenger	1	7
Erina Heights	Train	1	4
Erina Heights	Truck	1	4
Erina Heights	Walked only	1	3
Ermington			43
Ermington	(Other)	1	43
Ermington	Bicycle	1	29
Ermington	Bus	1	234
Ermington	Car as driver	1	2900
Ermington	Car as passenger	1	207
Ermington	Ferry	1	6
Ermington	Motorbike scooter	1	56
Ermington	Other two methods	2	42
Ermington	Taxi	1	8
Ermington	Train	1	222
Ermington	Train and two other methods	3	36
Ermington	Truck	1	48
Ermington	Walked only	1	54
Erowal Bay			3
Erowal Bay	Car as driver	1	187
Erowal Bay	Car as passenger	1	8
Erowal Bay	Motorbike scooter	1	4
Erowal Bay	Other two methods	2	3
Erowal Bay	Truck	1	6
Erowal Bay	Walked only	1	4
Errowanbang	Car as driver	1	15
Erskine Park			36
Erskine Park	(Other)	1	15
Erskine Park	Bicycle	1	4
Erskine Park	Bus	1	19
Erskine Park	Car as driver	1	2659
Erskine Park	Car as passenger	1	204
Erskine Park	Motorbike scooter	1	8
Erskine Park	Other two methods	2	19
Erskine Park	Taxi	1	8
Erskine Park	Train	1	137
Erskine Park	Train and two other methods	3	11
Erskine Park	Truck	1	51
Erskine Park	Walked only	1	17
Erskineville			22
Erskineville	(Other)	1	19
Erskineville	Bicycle	1	269
Erskineville	Bus	1	154
Erskineville	Car as driver	1	1345
Erskineville	Car as passenger	1	113
Erskineville	Motorbike scooter	1	68
Erskineville	Other three methods	3	4
Erskineville	Other two methods	2	23
Erskineville	Taxi	1	17
Erskineville	Train	1	2045
Erskineville	Train and two other methods	3	17
Erskineville	Truck	1	4
Erskineville	Walked only	1	454
Erudgere	Car as driver	1	23
Erudgere	Car as passenger	1	5
Erudgere	Walked only	1	4
Eschol Park			12
Eschol Park	(Other)	1	3
Eschol Park	Bus	1	15
Eschol Park	Car as driver	1	958
Eschol Park	Car as passenger	1	71
Eschol Park	Motorbike scooter	1	6
Eschol Park	Other two methods	2	3
Eschol Park	Train	1	78
Eschol Park	Train and two other methods	3	7
Eschol Park	Truck	1	22
Eschol Park	Walked only	1	4
Essington	Car as driver	1	27
Essington	Truck	1	3
Estella			6
Estella	(Other)	1	10
Estella	Bicycle	1	14
Estella	Bus	1	5
Estella	Car as driver	1	858
Estella	Car as passenger	1	59
Estella	Motorbike scooter	1	6
Estella	Other two methods	2	4
Estella	Truck	1	9
Estella	Walked only	1	18
Ettalong Beach			30
Ettalong Beach	(Other)	1	8
Ettalong Beach	Bicycle	1	7
Ettalong Beach	Bus	1	22
Ettalong Beach	Car as driver	1	891
Ettalong Beach	Car as passenger	1	62
Ettalong Beach	Motorbike scooter	1	10
Ettalong Beach	Other two methods	2	19
Ettalong Beach	Train	1	132
Ettalong Beach	Train and two other methods	3	24
Ettalong Beach	Truck	1	10
Ettalong Beach	Walked only	1	49
Ettamogah			3
Ettamogah	Car as driver	1	18
Ettrick (NSW)	Car as driver	1	31
Ettrick (NSW)	Walked only	1	6
Euabalong	(Other)	1	7
Euabalong	Car as driver	1	34
Euabalong	Truck	1	4
Euabalong	Walked only	1	9
Euabalong West	Car as driver	1	5
Euabalong West	Car as passenger	1	3
Euabalong West	Walked only	1	3
Euberta	Car as driver	1	38
Euchareena	Car as driver	1	42
Euchareena	Car as passenger	1	7
Euchareena	Walked only	1	4
Eugowra			8
Eugowra	(Other)	1	4
Eugowra	Car as driver	1	209
Eugowra	Car as passenger	1	5
Eugowra	Truck	1	10
Eugowra	Walked only	1	20
Eulah Creek	Car as driver	1	23
Eulah Creek	Car as passenger	1	3
Eumungerie	(Other)	1	3
Eumungerie	Car as driver	1	88
Eumungerie	Other two methods	2	3
Eumungerie	Truck	1	3
Eumungerie	Walked only	1	3
Eunanoreenya	Car as driver	1	67
Eunanoreenya	Car as passenger	1	3
Eunanoreenya	Walked only	1	9
Eungai Creek			5
Eungai Creek	Car as driver	1	115
Eungai Creek	Car as passenger	1	4
Eungai Creek	Other two methods	2	3
Eungai Creek	Truck	1	3
Eungai Creek	Walked only	1	3
Eungai Rail			3
Eungai Rail	Car as driver	1	41
Eungai Rail	Car as passenger	1	3
Eungella (NSW)	Car as driver	1	80
Eungella (NSW)	Truck	1	3
Eungella (NSW)	Walked only	1	4
Eureka (NSW)	(Other)	1	4
Eureka (NSW)	Car as driver	1	92
Eureka (NSW)	Car as passenger	1	11
Eureka (NSW)	Walked only	1	10
Eurimbla	Car as driver	1	4
Eurobodalla	Car as driver	1	25
Euroka			3
Euroka	(Other)	1	3
Euroka	Car as driver	1	104
Euroka	Car as passenger	1	11
Euroka	Truck	1	6
Euroley	Car as driver	1	23
Euroley	Walked only	1	6
Eurongilly	Car as driver	1	33
Eurongilly	Car as passenger	1	3
Eurongilly	Walked only	1	3
Eurunderee			4
Eurunderee	Car as driver	1	54
Eurunderee	Car as passenger	1	4
Eurunderee	Truck	1	3
Eurunderee	Walked only	1	3
Euston			6
Euston	(Other)	1	3
Euston	Bus	1	4
Euston	Car as driver	1	236
Euston	Car as passenger	1	17
Euston	Motorbike scooter	1	3
Euston	Truck	1	8
Euston	Walked only	1	20
Evans Head			17
Evans Head	(Other)	1	5
Evans Head	Bicycle	1	16
Evans Head	Bus	1	3
Evans Head	Car as driver	1	677
Evans Head	Car as passenger	1	54
Evans Head	Motorbike scooter	1	5
Evans Head	Other two methods	2	11
Evans Head	Truck	1	10
Evans Head	Walked only	1	64
Evans Plains	Car as driver	1	57
Evans Plains	Car as passenger	1	3
Evans Plains	Truck	1	7
Eveleigh			3
Eveleigh	Bicycle	1	12
Eveleigh	Bus	1	16
Eveleigh	Car as driver	1	79
Eveleigh	Car as passenger	1	12
Eveleigh	Motorbike scooter	1	6
Eveleigh	Other two methods	2	3
Eveleigh	Taxi	1	3
Eveleigh	Train	1	102
Eveleigh	Train and two other methods	3	3
Eveleigh	Walked only	1	40
Eviron			8
Eviron	Car as driver	1	49
Eviron	Taxi	1	3
Eviron	Truck	1	5
Ewingar	Car as driver	1	10
Ewingsdale			9
Ewingsdale	(Other)	1	3
Ewingsdale	Bicycle	1	7
Ewingsdale	Car as driver	1	222
Ewingsdale	Car as passenger	1	14
Ewingsdale	Truck	1	9
Ewingsdale	Walked only	1	17
Exeter (NSW)			4
Exeter (NSW)	Bus	1	5
Exeter (NSW)	Car as driver	1	251
Exeter (NSW)	Car as passenger	1	9
Exeter (NSW)	Motorbike scooter	1	3
Exeter (NSW)	Train	1	9
Exeter (NSW)	Truck	1	13
Exeter (NSW)	Walked only	1	23
Failford			3
Failford	Car as driver	1	105
Failford	Car as passenger	1	4
Failford	Truck	1	3
Failford	Walked only	1	8
Fairfield (NSW)			74
Fairfield (NSW)	(Other)	1	31
Fairfield (NSW)	Bicycle	1	18
Fairfield (NSW)	Bus	1	77
Fairfield (NSW)	Bus and two other methods excludes train	3	3
Fairfield (NSW)	Car as driver	1	2994
Fairfield (NSW)	Car as passenger	1	346
Fairfield (NSW)	Ferry	1	4
Fairfield (NSW)	Motorbike scooter	1	12
Fairfield (NSW)	Other two methods	2	33
Fairfield (NSW)	Taxi	1	9
Fairfield (NSW)	Train	1	786
Fairfield (NSW)	Train and two other methods	3	41
Fairfield (NSW)	Truck	1	43
Fairfield (NSW)	Walked only	1	136
Fairfield East			41
Fairfield East	(Other)	1	9
Fairfield East	Bicycle	1	5
Fairfield East	Bus	1	20
Fairfield East	Car as driver	1	1022
Fairfield East	Car as passenger	1	111
Fairfield East	Motorbike scooter	1	4
Fairfield East	Other two methods	2	10
Fairfield East	Train	1	179
Fairfield East	Train and two other methods	3	9
Fairfield East	Truck	1	29
Fairfield East	Walked only	1	30
Fairfield Heights			31
Fairfield Heights	(Other)	1	14
Fairfield Heights	Bicycle	1	3
Fairfield Heights	Bus	1	22
Fairfield Heights	Car as driver	1	1365
Fairfield Heights	Car as passenger	1	166
Fairfield Heights	Motorbike scooter	1	11
Fairfield Heights	Other two methods	2	9
Fairfield Heights	Train	1	194
Fairfield Heights	Train and two other methods	3	19
Fairfield Heights	Truck	1	37
Fairfield Heights	Walked only	1	30
Fairfield West			56
Fairfield West	(Other)	1	16
Fairfield West	Bicycle	1	8
Fairfield West	Bus	1	63
Fairfield West	Car as driver	1	2776
Fairfield West	Car as passenger	1	303
Fairfield West	Motorbike scooter	1	17
Fairfield West	Other two methods	2	37
Fairfield West	Taxi	1	5
Fairfield West	Train	1	248
Fairfield West	Train and two other methods	3	25
Fairfield West	Truck	1	71
Fairfield West	Walked only	1	37
Fairholme	Car as driver	1	9
Fairholme	Walked only	1	3
Fairlight			28
Fairlight	(Other)	1	14
Fairlight	Bicycle	1	73
Fairlight	Bus	1	406
Fairlight	Car as driver	1	1341
Fairlight	Car as passenger	1	66
Fairlight	Ferry	1	338
Fairlight	Motorbike scooter	1	50
Fairlight	Other two methods	2	52
Fairlight	Taxi	1	13
Fairlight	Train	1	7
Fairlight	Train and two other methods	3	63
Fairlight	Tram includes light rail	1	3
Fairlight	Truck	1	9
Fairlight	Walked only	1	176
Fairy Hill			3
Fairy Hill	(Other)	1	3
Fairy Hill	Car as driver	1	106
Fairy Hill	Car as passenger	1	6
Fairy Hill	Truck	1	4
Fairy Hill	Walked only	1	4
Fairy Meadow			26
Fairy Meadow	(Other)	1	16
Fairy Meadow	Bicycle	1	28
Fairy Meadow	Bus	1	138
Fairy Meadow	Car as driver	1	1928
Fairy Meadow	Car as passenger	1	175
Fairy Meadow	Motorbike scooter	1	14
Fairy Meadow	Other two methods	2	28
Fairy Meadow	Taxi	1	5
Fairy Meadow	Train	1	98
