SSC_NAME16	Sex	labourForceParticipation
Kangiara	F	70
Kangiara	M	69.2
Kangy Angy	F	46.5
Kangy Angy	M	62.5
Kanimbla (NSW)	F	46.3
Kanimbla (NSW)	M	56.9
Kanoona	F	60.3
Kanoona	M	67.9
Kanwal	F	43.3
Kanwal	M	52.4
Kapooka	F	73
Kapooka	M	79.5
Karaak Flat	F	59.1
Karaak Flat	M	56.3
Karabar	F	62.8
Karabar	M	69.9
Karangi	F	55.2
Karangi	M	58.1
Kareela	F	59.7
Kareela	M	67.8
Kariong	F	64.8
Kariong	M	70.9
Kars Springs	F	112.5
Kars Springs	M	88.2
Karuah	F	37.3
Karuah	M	44.6
Katoomba	F	52.3
Katoomba	M	58.1
Kayuga	F	65
Kayuga	M	40.7
Kearns	F	69.8
Kearns	M	78.7
Kearsley	F	57.8
Kearsley	M	59.9
Keepit	F	100
Keepit	M	57.1
Keera	F	45
Keera	M	52.9
Keerrong	F	49.2
Keerrong	M	62.5
Keinbah	F	57.7
Keinbah	M	68.8
Keiraville	F	52.8
Keiraville	M	55.7
Keith Hall	F	47.5
Keith Hall	M	50
Kellys Plains	F	61.3
Kellys Plains	M	77.2
Kellyville	F	67.4
Kellyville	M	77.3
Kellyville Ridge	F	70.9
Kellyville Ridge	M	81.7
Kelso (NSW)	F	57.2
Kelso (NSW)	M	64.7
Kelvin	F	69.8
Kelvin	M	66.2
Kembla Grange	F	50
Kembla Grange	M	59.2
Kembla Heights	F	53.8
Kembla Heights	M	65.1
Kemps Creek	F	47.6
Kemps Creek	M	63.7
Kempsey	F	35.8
Kempsey	M	43.9
Kendall	F	48.4
Kendall	M	52.1
Kenebri	F	45
Kenebri	M	57.9
Kennaicle Creek	M	75
Kensington (NSW)	F	53.1
Kensington (NSW)	M	55.9
Kenthurst	F	62.3
Kenthurst	M	70.8
Kentlyn	F	56.1
Kentlyn	M	65.3
Kentucky	F	60
Kentucky	M	79.4
Kentucky South	F	65.2
Kentucky South	M	65.3
Kerewong	F	100
Kerewong	M	42.9
Keri Keri	F	75
Keri Keri	M	100
Kerrabee	F	100
Kerrabee	M	44.4
Kerrigundi	F	62.5
Kerrigundi	M	100
Kerrs Creek	F	47.4
Kerrs Creek	M	40
Kew (NSW)	F	40
Kew (NSW)	M	40.7
Khancoban	F	33.6
Khancoban	M	50
Kia Ora (NSW)	F	50
Kia Ora (NSW)	M	69.2
Kiacatoo	F	27.3
Kiacatoo	M	71.4
Kiah	F	57.1
Kiah	M	52.9
Kiama	F	47.5
Kiama	M	55.3
Kiama Downs	F	58.1
Kiama Downs	M	65.7
Kiama Heights	F	54
Kiama Heights	M	57.2
Kianga (NSW)	F	34.3
Kianga (NSW)	M	37.6
Kiar	F	35.3
Kiar	M	76.9
Kickabil	F	88.9
Kickabil	M	90.5
Kielvale	F	62.3
Kielvale	M	72.6
Kikiamah	F	64.4
Kikiamah	M	65.9
Kikoira	F	87
Kikoira	M	75
Kilaben Bay	F	55.9
Kilaben Bay	M	65
Kilgin	F	35
Kilgin	M	45.5
Kilgra	F	42.4
Kilgra	M	45.7
Killabakh	F	50.4
Killabakh	M	49.5
Killara (NSW)	F	53.9
Killara (NSW)	M	66.9
Killarney Heights	F	58.8
Killarney Heights	M	68.8
Killarney Vale	F	51.7
Killarney Vale	M	61.2
Killawarra (NSW)	F	50
Killawarra (NSW)	M	56.3
Killcare	F	53.8
Killcare	M	65.3
Killcare Heights	F	54.8
Killcare Heights	M	60.1
Killimicat	F	70
Killimicat	M	100
Killingworth (NSW)	F	65.6
Killingworth (NSW)	M	73.9
Killongbutta	F	100
Killongbutta	M	80
Kimbriki	F	51.7
Kimbriki	M	52.5
Kinchela	F	50.9
Kinchela	M	53.6
Kincumber	F	46.2
Kincumber	M	57.5
Kincumber South	F	24
Kincumber South	M	33
Kindee	F	43.6
Kindee	M	58.1
Kindervale	F	100
Kindervale	M	30.8
King Creek	F	59.2
King Creek	M	62
Kingfisher Shores	F	54.4
Kingfisher Shores	M	66.7
Kings Forest	F	47.4
Kings Forest	M	86.7
Kings Langley	F	63.6
Kings Langley	M	72
Kings Park (NSW)	F	65.7
Kings Park (NSW)	M	76.4
Kings Plains (Blayney - NSW)	F	68
Kings Plains (Blayney - NSW)	M	66.7
Kings Plains (Inverell - NSW)	F	75
Kings Plains (Inverell - NSW)	M	33.3
Kings Point	F	52.3
Kings Point	M	61.4
Kingscliff	F	50.4
Kingscliff	M	56.9
Kingsdale	F	65.6
Kingsdale	M	76.5
Kingsford (NSW)	F	49.5
Kingsford (NSW)	M	53.3
Kingsgate	F	133.3
Kingsgrove	F	52
Kingsgrove	M	63.7
Kingsland	F	75
Kingsland	M	80
Kingstown	F	40
Kingstown	M	82.1
Kingsvale	F	48.5
Kingsvale	M	62.5
Kingswood (Bega Valley - NSW)	F	100
Kingswood (Penrith - NSW)	F	53.9
Kingswood (Penrith - NSW)	M	63.9
Kingswood (Tamworth Regional - NSW)	F	63.4
Kingswood (Tamworth Regional - NSW)	M	64.1
Kioloa	F	31
Kioloa	M	43.9
Kiora	F	90
Kiora	M	62.5
Kippenduff	F	26.7
Kippenduff	M	20
Kirkconnell	F	31.8
Kirkconnell	M	2.8
Kirkham	F	66.1
Kirkham	M	77.9
Kirrawee	F	57.4
Kirrawee	M	68.5
Kirribilli	F	63.9
Kirribilli	M	67.2
Kitchener	F	45.5
Kitchener	M	53.5
Klori	F	47.8
Klori	M	63.2
Knights Hill	F	50
Knights Hill	M	31.8
Knockrow	F	51.2
Knockrow	M	56.2
Knorrit Flat	F	46.2
Knorrit Flat	M	33.3
Kogarah	F	60.5
Kogarah	M	71.9
Kogarah Bay	F	54.8
Kogarah Bay	M	66
Kooba	F	58.3
Kooba	M	60
Kookabookra	F	80
Koolewong	F	59.6
Koolewong	M	61.6
Koolkhan	F	27.8
Koolkhan	M	60
Koonawarra	F	49.2
Koonawarra	M	56.6
Koonorigan	F	61.6
Koonorigan	M	65
Koonyum Range	F	27.3
Koonyum Range	M	27.3
Koorainghat	F	47.6
Koorainghat	M	52.2
Koorawatha	F	43.1
Koorawatha	M	42.4
Kooringal (NSW)	F	56.9
Kooringal (NSW)	M	66
Kootingal	F	58.5
Kootingal	M	65.5
Koraleigh	F	48.9
Koraleigh	M	61.8
Koreelah	F	51.6
Koreelah	M	61.3
Korora	F	57.6
Korora	M	61.6
Kosciuszko National Park	F	66.5
Kosciuszko National Park	M	63
Kotara	F	61.2
Kotara	M	66.8
Kotara South	F	58
Kotara South	M	66.5
Krambach	F	47.1
Krambach	M	49.7
Krawarree	F	35.7
Krawarree	M	55.6
Kremnos	F	53.1
Kremnos	M	44
Ku-Ring-Gai Chase	M	75
Kulnura	F	58.9
Kulnura	M	65.4
Kulwin (NSW)	F	100
Kulwin (NSW)	M	100
Kunama	F	50
Kunama	M	70
Kundabung	F	50.2
Kundabung	M	51.4
Kundibakh	F	44.4
Kundibakh	M	45.5
Kundle Kundle	F	57.7
Kundle Kundle	M	67.5
Kungala	F	49.2
Kungala	M	53.6
Kunghur	F	67.6
Kunghur	M	59.6
Kunghur Creek	F	40
Kunghur Creek	M	33.3
Kurmond	F	58.8
Kurmond	M	66.8
Kurnell	F	61.8
Kurnell	M	73.1
Kurraba Point	F	65.3
Kurraba Point	M	74.1
Kurrajong	F	61.6
Kurrajong	M	70.5
Kurrajong Heights	F	63.5
Kurrajong Heights	M	67.3
Kurrajong Hills	F	61
Kurrajong Hills	M	71.4
Kurri Kurri	F	45.7
Kurri Kurri	M	56
Kyalite	F	51.7
Kyalite	M	75.7
Kyarran	F	50
Kyarran	M	50
Kybeyan	F	30.8
Kybeyan	M	57.9
Kyeamba	F	50
Kyeamba	M	76.2
Kyeemagh	F	50.4
Kyeemagh	M	58.3
Kyle Bay	F	57.5
Kyle Bay	M	68.6
Kynnumboon	F	58.6
Kynnumboon	M	62.5
Kyogle	F	35.8
Kyogle	M	46
La Perouse	F	48
La Perouse	M	51.9
Lacmalac	F	54.7
Lacmalac	M	61.3
Lade Vale	F	80
Lade Vale	M	80
Ladysmith	F	63.6
Ladysmith	M	66.7
Laffing Waters	F	55.6
Laffing Waters	M	57.1
Laggan	F	61.2
Laggan	M	72
Lagoon Grass	F	61.1
Lagoon Grass	M	66.7
Laguna	F	32.9
Laguna	M	50.5
Lake Albert (NSW)	F	60.5
Lake Albert (NSW)	M	67.2
Lake Bathurst	F	48.8
Lake Bathurst	M	48.7
Lake Brewster	F	100
Lake Brewster	M	100
Lake Cargelligo	F	44.8
Lake Cargelligo	M	56.3
Lake Cathie	F	45.9
Lake Cathie	M	50.1
Lake Conjola	F	32.1
Lake Conjola	M	35
Lake Cowal	F	64.3
Lake Cowal	M	82.4
Lake George	F	78.9
Lake George	M	73.7
Lake Haven	F	37.9
Lake Haven	M	47.2
Lake Heights	F	47.5
Lake Heights	M	56.7
Lake Hume Village	F	55.6
Lake Hume Village	M	73.9
Lake Illawarra	F	44.7
Lake Illawarra	M	54.4
Lake Innes	F	58.7
Lake Innes	M	63.1
Lake Munmorah	F	45.5
Lake Munmorah	M	52.9
Lake Tabourie	F	44.9
Lake Tabourie	M	50.5
Lake Wyangan	F	67.4
Lake Wyangan	M	73.7
Lakelands (NSW)	F	65.4
Lakelands (NSW)	M	70.2
Lakemba	F	37
Lakemba	M	63.3
Lakesland	F	58.1
Lakesland	M	66.9
Lakewood	F	33.5
Lakewood	M	34.7
Lalalty	F	65.6
Lalalty	M	85.7
Lalor Park	F	52.2
Lalor Park	M	63.6
Lambs Valley (Glen Innes Severn - NSW)	F	68.6
Lambs Valley (Glen Innes Severn - NSW)	M	77.4
Lambs Valley (Singleton - NSW)	F	54.5
Lambs Valley (Singleton - NSW)	M	65.9
Lambton	F	60.1
Lambton	M	67.3
Landervale	F	150
Landervale	M	142.9
Lane Cove	F	63.8
Lane Cove	M	73.7
Lane Cove North	F	68.2
Lane Cove North	M	76.8
Lane Cove West	F	66.3
Lane Cove West	M	73.8
Langley Vale	F	26.3
Langley Vale	M	22.2
Lanitza	F	47.8
Lanitza	M	48.5
Lankeys Creek	F	34.8
Lankeys Creek	M	68.2
Lansdowne (Canterbury-Bankstown - NSW)	F	128.6
Lansdowne (Canterbury-Bankstown - NSW)	M	80
Lansdowne (Mid-Coast - NSW)	F	41.5
Lansdowne (Mid-Coast - NSW)	M	47.1
Lansvale	F	45.5
Lansvale	M	56.8
Lapstone	F	58.4
Lapstone	M	64
Larbert	F	61.5
Larbert	M	40
Largs	F	62.3
Largs	M	69.9
Larnook	F	45.4
Larnook	M	57.2
Larras Lee	F	63.6
Larras Lee	M	78.9
Laughtondale	F	57.1
Laughtondale	M	56.4
Laurel Hill	F	38.5
Laurel Hill	M	42.9
Laurieton	F	24.5
Laurieton	M	28.5
Lavadia	F	27.3
Lavadia	M	50
Lavender Bay	F	61.3
Lavender Bay	M	70.2
Laverstock	F	80
Laverstock	M	63.6
Lavington	F	49.7
Lavington	M	59.2
Lawrence (NSW)	F	41.4
Lawrence (NSW)	M	38.7
Lawson (NSW)	F	57.1
Lawson (NSW)	M	65.8
Leadville	F	39.3
Leadville	M	38.2
Leconfield	F	66
Leconfield	M	65
Leeton	F	51.5
Leeton	M	63.3
Leets Vale	F	23.8
Leets Vale	M	33.3
Leeville	F	53.5
Leeville	M	60.6
Legume	F	52.2
Legume	M	51.7
Leichhardt (NSW)	F	67.1
Leichhardt (NSW)	M	73.9
Lemington	M	60
Lemon Tree	F	43.5
Lemon Tree	M	67.9
Lemon Tree Passage	F	41.2
Lemon Tree Passage	M	48.3
Lenaghan	F	47.8
Lenaghan	M	84
Lennox Head	F	62.9
Lennox Head	M	67.5
Leonay	F	64.7
Leonay	M	70.3
Leppington	F	53.2
Leppington	M	65.5
Lerida	F	80
Lerida	M	100
Lethbridge Park	F	39.1
Lethbridge Park	M	50.8
Leumeah	F	53.3
Leumeah	M	66.4
Leura	F	45.5
Leura	M	49.7
Levenstrath	F	46.2
Levenstrath	M	69.2
Lewinsbrook	F	23.1
Lewinsbrook	M	66.7
Lewis Ponds	F	68.9
Lewis Ponds	M	74.1
Lewisham (NSW)	F	65.7
Lewisham (NSW)	M	69.7
Leycester	F	49.2
Leycester	M	56.9
Liberty Grove	F	65
Liberty Grove	M	76.2
Lidcombe	F	53.2
Lidcombe	M	65.4
Lidsdale	F	55.2
Lidsdale	M	57.2
Lidster	F	67.5
Lidster	M	69.4
Lightning Ridge	F	40.8
Lightning Ridge	M	35.1
Lilli Pilli (Eurobodalla - NSW)	F	47.8
Lilli Pilli (Eurobodalla - NSW)	M	44.9
Lilli Pilli (Sutherland Shire - NSW)	F	64.1
Lilli Pilli (Sutherland Shire - NSW)	M	76
Lillian Rock	F	44.2
Lillian Rock	M	44.4
Lilydale (NSW)	F	57.1
Lilydale (NSW)	M	50
Lilyfield	F	65.2
Lilyfield	M	68.9
Limbri	F	51
Limbri	M	51.1
Limeburners Creek (Mid-Coast - NSW)	F	50
Limeburners Creek (Mid-Coast - NSW)	M	57.6
Limeburners Creek (Port Macquarie-Hastings - NSW)	M	37.5
Limekilns	F	70.2
Limekilns	M	75.6
Limerick	F	55.6
Limerick	M	90.5
Limpinwood	F	47.5
Limpinwood	M	54.4
Linburn	F	75
Linburn	M	100
Linden (NSW)	F	64.6
Linden (NSW)	M	67.5
Lindendale	F	66.7
Lindendale	M	74.5
Lindesay	F	41.7
Lindesay	M	30
Lindesay Creek	F	100
Lindesay Creek	M	33.3
Lindfield	F	56.7
Lindfield	M	67.9
Lindifferon	F	90.9
Lindifferon	M	72.7
Linley Point	F	69.1
Linley Point	M	70.8
Lionsville	F	133.3
Lionsville	M	100
Lisarow	F	60.5
Lisarow	M	70.7
Lismore (NSW)	F	47.3
Lismore (NSW)	M	52.7
Lismore Heights	F	56.1
Lismore Heights	M	64.5
Liston	F	50.9
Liston	M	49.2
Lithgow	F	43
Lithgow	M	51.4
Little Back Creek	F	50
Little Back Creek	M	72.2
Little Bay	F	52.8
Little Bay	M	63.6
Little Billabong	F	73.8
Little Billabong	M	102.5
Little Forest	F	56.9
Little Forest	M	50
Little Hartley	F	59.8
Little Hartley	M	63.9
Little Jacks Creek	F	75
Little Jacks Creek	M	44.4
Little Jilliby	F	48.8
Little Jilliby	M	38.9
Little Pelican	M	100
Little Plain	F	65.5
Little Plain	M	73.6
Little River (NSW)	F	61.9
Little River (NSW)	M	73.7
Little Topar	F	33.3
Little Topar	M	66.7
Little Wobby	F	23.5
Little Wobby	M	42.4
Littleton	F	53.2
Littleton	M	59.1
Liverpool	F	37.6
Liverpool	M	52.4
Llanarth (NSW)	F	64.4
Llanarth (NSW)	M	72
Llandilo	F	61.2
Llandilo	M	64.3
Llangothlin	F	61.5
Llangothlin	M	67.3
Lloyd	F	74.4
Lloyd	M	76.6
Loadstone	F	20
Loadstone	M	33.3
Lochiel (NSW)	F	57.5
Lochiel (NSW)	M	62.9
Lochinvar	F	59
Lochinvar	M	68.7
Lockhart	F	49
Lockhart	M	56.4
Locksley (NSW)	F	18.2
Locksley (NSW)	M	38.5
Loftus	F	61.1
Loftus	M	69.8
Loftville	F	32.9
Loftville	M	35.3
Logans Crossing	F	48.1
Logans Crossing	M	49.1
Logie Brae	F	66.7
Logie Brae	M	63.4
Londonderry (NSW)	F	60.3
Londonderry (NSW)	M	69.1
Long Beach	F	48.5
Long Beach	M	49.9
Long Flat (NSW)	F	51
Long Flat (NSW)	M	50
Long Jetty	F	48.8
Long Jetty	M	56.8
Long Plain (Inverell - NSW)	F	66.7
Long Plain (Inverell - NSW)	M	38.5
Long Point (Campbelltown - NSW)	F	52.9
Long Point (Campbelltown - NSW)	M	72.1
Long Point (Singleton - NSW)	F	80
Long Point (Singleton - NSW)	M	87.5
Longarm	F	30
Longarm	M	100
Longreach (NSW)	F	66.7
Longreach (NSW)	M	66.7
Longueville	F	57.6
Longueville	M	67.7
Loomberah	F	76.9
Loomberah	M	74.5
Lord Howe Island	F	68.1
Lord Howe Island	M	70.9
Lords Hill	F	75
Lords Hill	M	50
Lorn	F	63.5
Lorn	M	66.1
Lorne (NSW)	F	48.6
Lorne (NSW)	M	54.2
Lost River	F	55.2
Lost River	M	67.9
Lostock	F	33.3
Lostock	M	38.1
Louth	F	50
Louth	M	70.8
Louth Park	F	72.4
Louth Park	M	79
Lovedale	F	61.8
Lovedale	M	66.8
Lovett Bay	F	30.2
Lovett Bay	M	43.8
Lowanna	F	42.6
Lowanna	M	40.6
Lower Acacia Creek	F	90.9
Lower Acacia Creek	M	75
Lower Bago	M	75
Lower Belford	F	64.6
Lower Belford	M	70.4
Lower Boro	F	49.3
Lower Boro	M	61.4
Lower Bottle Creek	F	50
Lower Bottle Creek	M	35.7
Lower Creek	F	75
Lower Creek	M	60
Lower Duck Creek	F	53.8
Lower Duck Creek	M	100
Lower Dyraaba	F	75
Lower Dyraaba	M	58.3
Lower Lewis Ponds	F	91.7
Lower Lewis Ponds	M	80
Lower Macdonald	F	62.2
Lower Macdonald	M	64.6
Lower Mangrove	F	32.1
Lower Mangrove	M	42.9
Lower Pappinbarra	F	31.4
Lower Pappinbarra	M	54.8
Lower Portland	F	60.2
Lower Portland	M	66.4
Lower Southgate	F	50
Lower Southgate	M	65.3
Lowesdale	F	64.9
Lowesdale	M	66.7
Lowther	F	37.5
Lowther	M	68.6
Loxford	F	62.1
Loxford	M	41.9
Lucknow (NSW)	F	63.6
Lucknow (NSW)	M	71.7
Luddenham	F	65.6
Luddenham	M	75.4
Lue	F	49.3
Lue	M	49.4
Lugarno	F	58
Lugarno	M	67.8
Lurnea	F	37.3
Lurnea	M	52.4
Luskintyre	F	54.4
Luskintyre	M	70.9
Lynchs Creek	F	75
Lynchs Creek	M	63.6
Lyndhurst (Armidale Regional - NSW)	F	27.3
Lyndhurst (Armidale Regional - NSW)	M	100
Lyndhurst (Blayney - NSW)	F	52.6
Lyndhurst (Blayney - NSW)	M	61.5
Lynwood (NSW)	F	42.6
Lynwood (NSW)	M	55.1
Mabins Well	M	71.4
Macdonalds Creek	F	100
Macdonalds Creek	M	100
Macksville	F	39
Macksville	M	46
Maclean	F	33.4
Maclean	M	41
Macmasters Beach	F	57.3
Macmasters Beach	M	61.8
Macquarie Fields	F	46.5
Macquarie Fields	M	61.2
Macquarie Hills	F	68.9
Macquarie Hills	M	74.6
Macquarie Links	F	66.1
Macquarie Links	M	77.5
Macquarie Park	F	57
Macquarie Park	M	67.4
Maddens Plains	M	100
Maffra (NSW)	F	75
Maffra (NSW)	M	80
Magenta (NSW)	F	51.1
Magenta (NSW)	M	58.6
Magometon	F	100
Magometon	M	66.7
Maianbar	F	72.4
Maianbar	M	74.3
Maimuru	F	70.2
Maimuru	M	70.8
Main Arm	F	59.2
Main Arm	M	56.4
Main Creek	F	30.2
Main Creek	M	48.5
Mairjimmy	F	50
Mairjimmy	M	56.7
Maison Dieu	F	50
Maison Dieu	M	59.5
Maitland (NSW)	F	47.7
Maitland (NSW)	M	55.4
Maitland Bar	M	40
Maitland Vale	F	62
Maitland Vale	M	67.3
Majors Creek (NSW)	F	54.2
Majors Creek (NSW)	M	57.6
Malabar	F	50.4
Malabar	M	28.4
Maldon (NSW)	F	30
Maldon (NSW)	M	60
Mallabula	F	44.5
Mallabula	M	56
Mallan	F	84.6
Mallan	M	64.7
Mallanganee	F	30.6
Mallanganee	M	51.2
Mallee	F	75
Mallee	M	100
Mallowa	F	51.2
Mallowa	M	70.5
Maloneys Beach	F	45.3
Maloneys Beach	M	47
Malua Bay	F	47.9
Malua Bay	M	49.1
Manar	F	64.2
Manar	M	71.7
Manchester Square	M	116.7
Mandagery	F	51.6
Mandagery	M	64.3
Mandalong	F	61.2
Mandalong	M	62.4
Mandemar	F	56.7
Mandemar	M	68.2
Mandurama	F	50
Mandurama	M	54.9
Mangerton	F	60.1
Mangerton	M	63.1
Mangoola	F	50
Mangoola	M	57.9
Mangoplah	F	52.5
Mangoplah	M	63.8
Mangrove Creek	F	52.9
Mangrove Creek	M	20
Mangrove Mountain	F	58.8
Mangrove Mountain	M	68.7
Manildra	F	51.1
Manildra	M	63.2
Manilla	F	39.3
Manilla	M	45
Manly (NSW)	F	63.8
Manly (NSW)	M	71.7
Manly Vale	F	66.6
Manly Vale	M	73.5
Mannering Park	F	51.8
Mannering Park	M	61.3
Manning Point	F	28.4
Manning Point	M	23.8
Mannus	F	52.2
Mannus	M	11.7
Manobalai	F	44.1
Manobalai	M	61.3
Manton (NSW)	F	67.5
Manton (NSW)	M	69
Manyana	F	42.9
Manyana	M	46
Maragle	F	69.6
Maragle	M	63.3
Maraylya	F	66.5
Maraylya	M	71.9
Marayong	F	52.6
Marayong	M	65.9
March	F	59.1
March	M	75.6
Marchmont	F	69.4
Marchmont	M	77.4
Mardi	F	58.3
Mardi	M	65.2
Marinna	F	78.6
Marinna	M	47.8
Marks Point	F	46.1
Marks Point	M	53.3
Markwell	F	58
Markwell	M	76
Marlee	F	56.7
Marlee	M	54.3
Marlo Merrican	F	29.6
Marlo Merrican	M	62.1
Marlow	F	50
Marlow	M	23.1
Marmong Point	F	60.8
Marmong Point	M	64.5
Marom Creek	F	82.1
Marom Creek	M	77.4
Maroota	F	58.6
Maroota	M	70.2
Maroubra	F	55.6
Maroubra	M	63.4
Marrangaroo	F	57.3
Marrangaroo	M	21.3
Marrar	F	64.6
Marrar	M	73.1
Marrickville	F	62.5
Marrickville	M	67.3
Marsden Park	F	49.4
Marsden Park	M	56.8
Marsfield	F	51.2
Marsfield	M	62.6
Marshall Mount	F	55.4
Marshall Mount	M	63.6
Marshdale	F	30
Marshdale	M	47.4
Marthaguy	F	73.9
Marthaguy	M	84.2
Martindale	F	50.8
Martindale	M	56.9
Martins Creek	F	57.1
Martins Creek	M	58.2
Martinsville	F	57.2
Martinsville	M	59.6
Marulan	F	54.9
Marulan	M	59.2
Maryland (Newcastle - NSW)	F	62.1
Maryland (Newcastle - NSW)	M	70.5
Maryland (Tenterfield - NSW)	F	51.6
Maryland (Tenterfield - NSW)	M	60.9
Marys Mount	F	70.4
Marys Mount	M	66.7
Maryvale (NSW)	F	57.1
Maryvale (NSW)	M	60.5
Maryville	F	65.4
Maryville	M	68.7
Mascot	F	63.6
Mascot	M	71.5
Matcham	F	58.8
Matcham	M	64.4
Matheson	F	68.8
Matheson	M	80
Mathoura	F	50.4
Mathoura	M	50.8
Matong	F	50
Matong	M	51.2
Matraville	F	55.7
Matraville	M	63.9
Maude (NSW)	F	48
Maude (NSW)	M	53.5
Maules Creek	F	64.4
Maules Creek	M	64
Maxwell	F	68.6
Maxwell	M	88.9
Maybole	F	56.3
Maybole	M	68.8
Mayers Flat	F	50
Mayers Flat	M	55.6
Mayfield (Newcastle - NSW)	F	59.3
Mayfield (Newcastle - NSW)	M	62.2
Mayfield (Oberon - NSW)	M	100
Mayfield (Queanbeyan-Palerang Regional - NSW)	F	120
Mayfield (Queanbeyan-Palerang Regional - NSW)	M	66.7
Mayfield (Shoalhaven - NSW)	F	69.2
Mayfield (Shoalhaven - NSW)	M	35.3
Mayfield East	F	63.3
Mayfield East	M	66.1
Mayfield West	F	60.7
Mayfield West	M	62.8
Mayrung	F	67.3
Mayrung	M	79.4
Mays Hill	F	52.1
Mays Hill	M	62.5
Mayvale	F	60
Mayvale	M	37.5
McCullys Gap	F	60.8
McCullys Gap	M	68.5
McDougalls Hill	F	58.5
McDougalls Hill	M	81.3
McGraths Hill	F	67.2
McGraths Hill	M	79.3
McKees Hill	F	54.5
McKees Hill	M	69.9
McKellars Park	F	57.5
McKellars Park	M	63.9
McLeans Ridges	F	61.1
McLeans Ridges	M	73.3
McLeods Shoot	F	53.8
McLeods Shoot	M	59.5
McMahons Point	F	64
McMahons Point	M	72.2
McMahons Reef	F	56.5
McMahons Reef	M	66.7
Meadow Flat	F	60.8
Meadow Flat	M	66.7
Meadowbank (NSW)	F	71
Meadowbank (NSW)	M	80.6
Mebul	F	45
Mebul	M	86.7
Medlow Bath	F	55.6
Medlow Bath	M	61.4
Medowie	F	61.5
Medowie	M	68.5
Medway	F	58
Medway	M	66.7
Meerschaum Vale	F	60
Meerschaum Vale	M	64.4
Megalong Valley	F	54.2
Megalong Valley	M	53.8
Megan	F	59.1
Megan	M	64.3
Melbergen	M	100
Melinga	F	46
Melinga	M	42.6
Mellool	F	42.1
Mellool	M	73.7
Melrose Park (NSW)	F	60.6
Melrose Park (NSW)	M	67.3
Melville (NSW)	F	44
Melville (NSW)	M	82.6
Memagong	F	87.5
Memagong	M	106.3
Menah	F	64.3
Menah	M	67.3
Menai	F	68.4
Menai	M	76.9
Menangle	F	45.7
Menangle	M	60
Menangle Park	F	52
Menangle Park	M	66.7
Mendooran	F	49.8
Mendooran	M	49.8
Menindee	F	37.1
Menindee	M	40.1
Merah North	F	70.3
Merah North	M	85.7
Merewether	F	64.6
Merewether	M	70.6
Merewether Heights	F	58.9
Merewether Heights	M	62.9
Merimbula	F	44.9
Merimbula	M	51.5
Meringo	F	56.5
Meringo	M	57.5
Meroo	F	57.1
Meroo	M	71.4
Meroo Meadow	F	58.2
Meroo Meadow	M	66.5
Merotherie	F	100
Merotherie	M	50
Merricumbene	F	80
Merricumbene	M	90
Merrigal	F	87.5
Merrigal	M	100
Merrill	F	76.9
Merrill	M	100
Merriwa (NSW)	F	49
Merriwa (NSW)	M	58.6
Merriwagga	F	57.1
Merriwagga	M	66.7
Merrygoen	F	62
Merrygoen	M	60.4
Merrylands	F	45.8
Merrylands	M	62.3
Merrylands West	F	43.9
Merrylands West	M	60.5
Merungle Hill	F	50.9
Merungle Hill	M	57.8
Meryla	M	100
Metford	F	54.4
Metford	M	66.1
Methul	F	58.3
Methul	M	85.7
Metz	F	68.2
Metz	M	77.3
Miandetta (NSW)	F	25
Miandetta (NSW)	M	50
Micalo Island	F	35.7
Micalo Island	M	30
Michelago	F	68.7
Michelago	M	75
Middle Arm	F	64.4
Middle Arm	M	62.7
Middle Brook	F	60.7
Middle Brook	M	72.5
Middle Brother	F	70
Middle Brother	M	58.3
Middle Cove	F	59.5
Middle Cove	M	66.2
Middle Dural	F	57
Middle Dural	M	68.4
Middle Falbrook	F	74.2
Middle Falbrook	M	76.9
Middle Flat	F	66.7
Middle Flat	M	60
Middle Pocket	F	45.8
Middle Pocket	M	62
Middleton Grange	F	62.8
Middleton Grange	M	76.5
Middlingbank	F	200
Middlingbank	M	60
Midginbil	F	41.9
Midginbil	M	43.8
Mihi	F	64.7
Mihi	M	108.3
Mila	F	61.1
Mila	M	75
Milbrodale	F	56.5
Milbrodale	M	59.6
Milbrulong	F	58.3
Milbrulong	M	55
Millah Murrah	F	66.7
Millah Murrah	M	60
Millbank (NSW)	F	36.6
Millbank (NSW)	M	39.3
Miller	F	29.5
Miller	M	42.2
Millers Forest	F	65.4
Millers Forest	M	72
Millers Point	F	53.8
Millers Point	M	63.4
Millfield	F	50.4
Millfield	M	54.3
Millie	F	80
Millie	M	75
Millingandi	F	36.2
Millingandi	M	42.6
Millthorpe	F	62.6
Millthorpe	M	67.2
Milparinka	F	43.5
Milparinka	M	78.6
Milperra	F	59
Milperra	M	68.7
Milroy (Gunnedah - NSW)	F	70
Milroy (Gunnedah - NSW)	M	75
Milroy (Mid-Western Regional - NSW)	F	81.8
Milroy (Mid-Western Regional - NSW)	M	100
Milsons Point	F	59.5
Milsons Point	M	71.1
Milton (NSW)	F	38.1
Milton (NSW)	M	46.8
Milvale	F	50
Milvale	M	57.9
Mimosa (NSW)	F	54.8
Mimosa (NSW)	M	71.9
Minchinbury	F	62.7
Minchinbury	M	76.2
Mindaribba	F	82.8
Mindaribba	M	89.7
Mingoola (NSW)	F	75
Mingoola (NSW)	M	55.6
Minimbah	F	44
Minimbah	M	48.8
Minjary	F	54.5
Minjary	M	100
Minmi	F	66
