SSC_NAME16	unemployment
Camperdown (NSW)	7.3
Campsie	9.3
Cams Wharf	5.7
Canada Bay	5.7
Canbelego	25
Candelo	5.9
Caniaba	2.1
Canley Heights	11.8
Canley Vale	13.8
Canobolas	2.9
Canowindra	5.3
Canterbury (NSW)	6.2
Canton Beach	10.1
Canyonleigh	3.8
Capertee	4.9
Captains Flat	6.5
Carcalgong	23.5
Carcoar	6.7
Cardiff (NSW)	7.7
Cardiff Heights	5.3
Cardiff South	5.7
Carey Bay	6.3
Cargo	3.6
Carinda	2.9
Caringbah	3.6
Caringbah South	3.1
Carlingford	6.6
Carlton (NSW)	6.4
Carnes Hill	4.4
Carool	8.5
Caroona	12.6
Carramar (NSW)	12.9
Carrathool	4.8
Carrick (NSW)	5.6
Carrington (Newcastle - NSW)	7.4
Carroll	7.2
Carrs Creek	12.3
Carss Park	5.6
Cartwright	14.8
Cartwrights Hill	6.5
Carwoola	2.9
Casino	9.2
Cassilis (NSW)	3.8
Castle Cove	3.5
Castle Hill (NSW)	5.1
Castle Rock	3.3
Castlecrag	5.1
Castlereagh	1.9
Casuarina (NSW)	3.9
Casula	7.5
Catalina	8.8
Catherine Field	3.4
Catherine Hill Bay	9.5
Cattai	3
Caves Beach	6.5
Cawdor (NSW)	3.9
Cawongla	12.9
Cecil Hills	5.7
Cecil Park	4.3
Cedar Brush Creek	8.8
Cedar Party	6
Cedar Point	5.4
Centennial Park (NSW)	4
Central Macdonald	11.5
Central Mangrove	4.2
Cessnock	10.6
Chain Valley Bay	6.7
Chakola	15
Chambigne	12
Charbon	24.3
Charles Sturt University	19.3
Charlestown (NSW)	5.9
Charlotte Bay	4.3
Charmhaven	10
Chatham Valley	18.8
Chatswood	6.7
Chatswood West	4.1
Cheero Point	6.3
Cheltenham (NSW)	5.4
Cherrybrook	5.3
Chester Hill	10
Chifley (NSW)	4.1
Chilcotts Grass	3.3
Chillingham	5.9
Chinderah	10.4
Chippendale	11.5
Chipping Norton	5.1
Chisholm (NSW)	4.2
Chiswick	3.6
Chittaway Bay	6.6
Chittaway Point	5.9
Church Point	3.7
Clandulla	9.1
Claremont Meadows	5.2
Clarence	4.9
Clarence Town	6
Clarenza	5.4
Clareville	4.7
Claymore	25.3
Clear Creek	4.4
Clear Range	14.3
Clemton Park	4.9
Clergate	3.4
Cliftleigh	12.9
Clifton Grove	4.8
Clontarf (NSW)	4.7
Clothiers Creek	7.6
Clovelly	3.4
Clunes (NSW)	5.7
Clybucca	3.9
Clydesdale (NSW)	14
Coal Point	4.7
Coalcliff	3
Coaldale	9.7
Cobaki	11.4
Cobaki Lakes	26.9
Cobar	5.8
Cobar Park	30.8
Cobargo	8.2
Cobbitty	2.7
Codrington (NSW)	9.7
Coffee Camp	10.8
Coffs Harbour	7.7
Coleambally	2.8
Colebee	4.3
Coledale	4.7
Collarenebri	12.9
Collaroy (NSW)	3.2
Collaroy Plateau	2.9
Collector	3.9
Collie (NSW)	2.7
Collingullie	3.7
Collombatti	8.8
Colo Heights	2.3
Colo Vale	4.9
Colyton	7.7
Comboyne	8.2
Come By Chance	4.6
Commissioners Creek	15.8
Como (NSW)	2.9
Conargo	5.1
Concord	4.4
Concord West	4.2
Condell Park	8.2
Condobolin	8.1
Condong	5.7
Congarinni	2.2
Congarinni North	5.7
Congewai	6.7
Congo	6.5
Coniston	8.7
Conjola	3.5
Conjola Park	8.2
Connells Point	3.2
Constitution Hill	7.4
Coogee (NSW)	3.3
Cookamidgera	6
Cooks Gap	4.3
Cooks Hill	6.1
Coolac	3.7
Coolagolite	8.2
Coolah	5.3
Coolamon	5.7
Coolgardie (NSW)	11.4
Coolongolook	6.6
Cooma (NSW)	4.8
Coomba Bay	9.5
Coomba Park	20.8
Coomealla	5.9
Coonabarabran	8.7
Coonamble	9.6
Cooperabung	2.8
Coopernook	14.3
Coopers Shoot	2.8
Coorabell	7.5
Cooranbong	7.2
Cootamundra	6.4
Cooyal	5.5
Copacabana	6.4
Cope	6.5
Copeton	20
Copmanhurst	10.3
Coraki	6.2
Coralville	11.6
Coramba	5.5
Corbie Hill	2.4
Cordeaux Heights	5.6
Corindi Beach	9.4
Corlette	5.6
Corndale (NSW)	3
Corney Town	26.7
Corobimilla	6.3
Corowa	5.9
Corrimal	6.1
Cottage Point	8.3
Courabyra	6.3
Couridjah	3.7
Coutts Crossing	10
Cowan	3.8
Cowra	6.7
Crabbes Creek	8.6
Crackenback	2.7
Cranebrook	5
Craven	11.1
Cremorne (NSW)	3.8
Cremorne Point	3.3
Crescent Head	6.8
Crestwood	5.3
Cringila	12.4
Cromer (NSW)	3
Cronulla	3.3
Crookwell	4.3
Crosslands	4.1
Croudace Bay	6.2
Crows Nest (NSW)	3.4
Croydon (NSW)	6.1
Croydon Park (NSW)	5.1
Crudine	10.7
Crystal Creek (NSW)	3.5
Cudal	4.2
Cudgen	6.8
Cudgera Creek	2.9
Cudmirrah	10.9
Culburra Beach	8.2
Culcairn	4.1
Cullen Bullen	10
Cumbalum	5.1
Cumberland Reach	9.2
Cumborah	10.3
Cumnock	8.9
Cundletown	7
Curl Curl	3.4
Curlewis (NSW)	7.8
Curlwaa	6.1
Currabubula	4.1
Curramore (NSW)	3.3
Currans Hill	5
Currarong	4.6
Currawang	4.1
Currawarna	8
Daceyville	13.4
Daleys Point	6.4
Dalmeny	6.4
Dalton	3.7
Dalwood (Ballina - NSW)	2.5
Dandry	9.1
Dangar Island	6.8
Dapto	7.5
Darawank	11.8
Darbys Falls	12
Dareton	18.3
Dargan	11.1
Darkwood	21.7
Darling Point	2.7
Darlinghurst	4.6
Darlington (Singleton - NSW)	8.4
Darlington (Sydney - NSW)	9.9
Darlington Point	6.9
Daruka	3.6
Davidson	3.6
Davistown	5.7
Dawes Point	1.8
Daysdale	7.5
Dean Park	6.7
Dee Why	3.7
Deep Creek (Kempsey - NSW)	21.4
Deepwater (NSW)	8
Deer Vale	5.2
Delegate	8.3
Delungra	7.1
Denham Court	4
Denhams Beach	10.8
Deniliquin	5.4
Denistone	4.2
Denistone East	3.6
Denistone West	3.9
Denman	4.2
Deua River Valley	12
Dharruk	11
Diamond Beach	8.8
Dignams Creek	8.1
Dilkoon	23.5
Dirty Creek	22.5
Dobies Bight	4.9
Dolls Point	5.1
Dolphin Point	6.7
Dondingalong	7.9
Doon Doon	10.8
Doonbah	8.6
Doonside	9.3
Dooralong	7
Dora Creek	8.3
Dorrigo	6.2
Dorrigo Mountain	6.7
Dorroughby	4.4
Double Bay	3.4
Douglas Park	3.9
Dover Heights	3.2
Downside	5.9
Doyalson	6.5
Doyalson North	4.8
Drake	13.3
Dripstone	10.3
Drummoyne	3.6
Dry Plain	12.5
Dubbo	5.5
Dudley	4.6
Duffys Forest	3.9
Dulguigan	12.5
Dulwich Hill	4.8
Dum Dum	13.3
Dumaresq	5.8
Dunbible	5.1
Dunbogan	10
Duncans Creek	13.6
Dundas (NSW)	5.9
Dundas Valley	6.9
Dundee	8.3
Dunedoo	8.6
Dungarubba	12.1
Dungay	4.7
Dungog	7.3
Dungowan	1.5
Dunmore (NSW)	2.9
Dunolly (NSW)	7.5
Dunoon	5.4
Duns Creek	4.7
Dural (Hornsby - NSW)	3.6
Duramana	5.1
Duranbah	4.9
Duri	1.4
Dyers Crossing	6.7
Dyraaba	14.3
Dyrring	6.1
Eagle Vale	6.7
Eagleton	6.8
Earlwood	4.5
East Albury	5.4
East Ballina	4.9
East Branxton	6.3
East Coraki	5.7
East Corrimal	7.1
East Gosford	6.3
East Gresford	4.7
East Hills	5.8
East Jindabyne	2.5
East Kempsey	5.8
East Killara	6.6
East Kurrajong	2.9
East Lindfield	5.5
East Lismore	8.8
East Lynne	6.5
