SSC_NAME16	AgeStudent	Sex	students
St Marys (NSW)	15-19	F	234
St Marys (NSW)	15-19	M	211
St Marys (NSW)	20-24	F	130
St Marys (NSW)	20-24	M	101
St Marys (NSW)	25+	F	260
St Marys (NSW)	25+	M	164
St Peters (NSW)	0-4	F	17
St Peters (NSW)	0-4	M	22
St Peters (NSW)	5-14	F	95
St Peters (NSW)	5-14	M	89
St Peters (NSW)	15-19	F	22
St Peters (NSW)	15-19	M	31
St Peters (NSW)	20-24	F	69
St Peters (NSW)	20-24	M	46
St Peters (NSW)	25+	F	111
St Peters (NSW)	25+	M	84
Stanborough	5-14	F	4
Stanborough	5-14	M	3
Stanborough	15-19	M	3
Stanbridge	0-4	F	3
Stanbridge	5-14	F	15
Stanbridge	5-14	M	15
Stanbridge	15-19	F	6
Stanbridge	15-19	M	3
Stanbridge	25+	F	3
Stanford Merthyr	0-4	F	7
Stanford Merthyr	0-4	M	3
Stanford Merthyr	5-14	F	27
Stanford Merthyr	5-14	M	21
Stanford Merthyr	15-19	F	3
Stanford Merthyr	15-19	M	13
Stanford Merthyr	20-24	F	5
Stanford Merthyr	25+	F	4
Stanford Merthyr	25+	M	5
Stanhope (NSW)	5-14	F	6
Stanhope (NSW)	5-14	M	8
Stanhope (NSW)	15-19	F	3
Stanhope (NSW)	15-19	M	3
Stanhope (NSW)	25+	F	6
Stanhope Gardens	0-4	F	87
Stanhope Gardens	0-4	M	95
Stanhope Gardens	5-14	F	701
Stanhope Gardens	5-14	M	764
Stanhope Gardens	15-19	F	241
Stanhope Gardens	15-19	M	258
Stanhope Gardens	20-24	F	107
Stanhope Gardens	20-24	M	108
Stanhope Gardens	25+	F	196
Stanhope Gardens	25+	M	128
Stanmore (NSW)	0-4	F	37
Stanmore (NSW)	0-4	M	45
Stanmore (NSW)	5-14	F	284
Stanmore (NSW)	5-14	M	349
Stanmore (NSW)	15-19	F	93
Stanmore (NSW)	15-19	M	122
Stanmore (NSW)	20-24	F	171
Stanmore (NSW)	20-24	M	116
Stanmore (NSW)	25+	F	332
Stanmore (NSW)	25+	M	244
Stannifer	15-19	F	5
Stannifer	20-24	F	3
Stannum	5-14	F	3
Stanwell Park	0-4	F	14
Stanwell Park	0-4	M	13
Stanwell Park	5-14	F	79
Stanwell Park	5-14	M	83
Stanwell Park	15-19	F	40
Stanwell Park	15-19	M	47
Stanwell Park	20-24	F	19
Stanwell Park	20-24	M	28
Stanwell Park	25+	F	30
Stanwell Park	25+	M	28
Stanwell Tops	0-4	F	7
Stanwell Tops	0-4	M	3
Stanwell Tops	5-14	F	20
Stanwell Tops	5-14	M	34
Stanwell Tops	15-19	F	16
Stanwell Tops	15-19	M	17
Stanwell Tops	20-24	F	3
Stanwell Tops	20-24	M	9
Stanwell Tops	25+	F	10
Stanwell Tops	25+	M	5
Steeple Flat	5-14	M	3
Stewarts Brook	5-14	M	4
Stewarts River	5-14	F	8
Stewarts River	5-14	M	5
Stewarts River	15-19	F	4
Stewarts River	15-19	M	10
Stewarts River	20-24	M	5
Stockinbingal	0-4	F	6
Stockinbingal	5-14	F	23
Stockinbingal	5-14	M	21
Stockinbingal	15-19	F	9
Stockinbingal	15-19	M	5
Stockrington	0-4	M	3
Stockrington	5-14	F	4
Stockrington	5-14	M	8
Stockrington	15-19	F	6
Stockrington	15-19	M	4
Stockrington	25+	F	3
Stockton (NSW)	0-4	F	25
Stockton (NSW)	0-4	M	24
Stockton (NSW)	5-14	F	174
Stockton (NSW)	5-14	M	189
Stockton (NSW)	15-19	F	67
Stockton (NSW)	15-19	M	84
Stockton (NSW)	20-24	F	29
Stockton (NSW)	20-24	M	30
Stockton (NSW)	25+	F	86
Stockton (NSW)	25+	M	50
Stokers Siding	0-4	F	5
Stokers Siding	0-4	M	5
Stokers Siding	5-14	F	29
Stokers Siding	5-14	M	34
Stokers Siding	15-19	F	13
Stokers Siding	15-19	M	9
Stokers Siding	20-24	F	6
Stokers Siding	20-24	M	4
Stokers Siding	25+	F	8
Stokers Siding	25+	M	4
Stonehenge (NSW)	5-14	F	8
Stonehenge (NSW)	5-14	M	5
Stonehenge (NSW)	15-19	F	3
Stony Chute	5-14	F	9
Stony Chute	5-14	M	5
Stony Chute	15-19	F	3
Stony Chute	15-19	M	3
Stony Chute	20-24	M	3
Stony Chute	25+	M	3
Stony Creek (Bega Valley - NSW)	5-14	F	7
Stony Creek (Bega Valley - NSW)	5-14	M	4
Stony Creek (Bega Valley - NSW)	15-19	F	3
Stony Creek (Bega Valley - NSW)	15-19	M	3
Stony Creek (Bega Valley - NSW)	25+	F	3
Stony Creek (Mid-Western Regional - NSW)	5-14	F	3
Stony Creek (Mid-Western Regional - NSW)	5-14	M	3
Stony Crossing	5-14	M	3
Stratford (NSW)	5-14	F	6
Stratford (NSW)	5-14	M	11
Stratford (NSW)	15-19	M	3
Stratford (NSW)	25+	F	3
Strathcedar	5-14	F	8
Strathcedar	5-14	M	5
Strathcedar	15-19	F	3
Strathcedar	15-19	M	3
Strathcedar	25+	M	3
Stratheden	5-14	F	11
Stratheden	5-14	M	14
Stratheden	15-19	F	4
Stratheden	15-19	M	3
Stratheden	20-24	F	3
Strathfield (NSW)	0-4	F	125
Strathfield (NSW)	0-4	M	118
Strathfield (NSW)	5-14	F	1016
Strathfield (NSW)	5-14	M	955
Strathfield (NSW)	15-19	F	743
Strathfield (NSW)	15-19	M	685
Strathfield (NSW)	20-24	F	855
Strathfield (NSW)	20-24	M	932
Strathfield (NSW)	25+	F	923
Strathfield (NSW)	25+	M	915
Strathfield South	0-4	F	31
Strathfield South	0-4	M	22
Strathfield South	5-14	F	194
Strathfield South	5-14	M	187
Strathfield South	15-19	F	100
Strathfield South	15-19	M	115
Strathfield South	20-24	F	67
Strathfield South	20-24	M	52
Strathfield South	25+	F	91
Strathfield South	25+	M	74
Stroud	0-4	F	3
Stroud	0-4	M	5
Stroud	5-14	F	70
Stroud	5-14	M	50
Stroud	15-19	F	18
Stroud	15-19	M	17
Stroud	20-24	F	7
Stroud	20-24	M	5
Stroud	25+	F	12
Stroud	25+	M	6
Stroud Hill	5-14	M	5
Stroud Road	0-4	M	3
Stroud Road	5-14	F	15
Stroud Road	5-14	M	7
Stroud Road	15-19	F	8
Stroud Road	15-19	M	3
Stroud Road	25+	F	4
Stuart Town	5-14	F	3
Stuart Town	5-14	M	5
Stuart Town	15-19	F	6
Stuart Town	15-19	M	3
Stuarts Point	0-4	F	7
Stuarts Point	0-4	M	7
Stuarts Point	5-14	F	37
Stuarts Point	5-14	M	24
Stuarts Point	15-19	F	16
Stuarts Point	15-19	M	10
Stuarts Point	20-24	F	3
Stuarts Point	25+	F	4
Stuarts Point	25+	M	3
Stubbo	5-14	F	9
Stubbo	5-14	M	20
Stubbo	15-19	F	3
Stubbo	25+	F	4
Stud Park	5-14	M	3
Suffolk Park	0-4	F	28
Suffolk Park	0-4	M	36
Suffolk Park	5-14	F	172
Suffolk Park	5-14	M	190
Suffolk Park	15-19	F	63
Suffolk Park	15-19	M	66
Suffolk Park	20-24	F	26
Suffolk Park	20-24	M	18
Suffolk Park	25+	F	92
Suffolk Park	25+	M	53
Sugarloaf (NSW)	15-19	M	3
Summer Hill (Dungog - NSW)	5-14	F	3
Summer Hill (Dungog - NSW)	15-19	F	5
Summer Hill (Inner West - NSW)	0-4	F	46
Summer Hill (Inner West - NSW)	0-4	M	53
Summer Hill (Inner West - NSW)	5-14	F	312
Summer Hill (Inner West - NSW)	5-14	M	340
Summer Hill (Inner West - NSW)	15-19	F	100
Summer Hill (Inner West - NSW)	15-19	M	132
Summer Hill (Inner West - NSW)	20-24	F	137
Summer Hill (Inner West - NSW)	20-24	M	89
Summer Hill (Inner West - NSW)	25+	F	292
Summer Hill (Inner West - NSW)	25+	M	230
Summer Hill Creek	0-4	F	3
Summer Hill Creek	5-14	F	18
Summer Hill Creek	5-14	M	16
Summer Hill Creek	15-19	F	3
Summer Hill Creek	15-19	M	10
Summer Hill Creek	25+	M	3
Summer Island	5-14	F	7
Summer Island	5-14	M	9
Summer Island	15-19	M	3
Summerland Point	0-4	F	21
Summerland Point	0-4	M	18
Summerland Point	5-14	F	158
Summerland Point	5-14	M	151
Summerland Point	15-19	F	48
Summerland Point	15-19	M	48
Summerland Point	20-24	F	9
Summerland Point	20-24	M	16
Summerland Point	25+	F	30
Summerland Point	25+	M	14
Sun Valley (NSW)	5-14	F	15
Sun Valley (NSW)	5-14	M	18
Sun Valley (NSW)	15-19	F	12
Sun Valley (NSW)	15-19	M	4
Sun Valley (NSW)	20-24	M	7
Sun Valley (NSW)	25+	F	3
Sunny Corner	5-14	F	4
Sunny Corner	5-14	M	3
Sunny Corner	15-19	F	4
Sunny Corner	15-19	M	4
Sunny Corner	20-24	F	3
Sunset Strip (NSW)	5-14	F	3
Sunset Strip (NSW)	5-14	M	8
Sunset Strip (NSW)	25+	F	3
Sunshine (NSW)	0-4	M	3
Sunshine (NSW)	5-14	F	23
Sunshine (NSW)	5-14	M	32
Sunshine (NSW)	15-19	F	10
Sunshine (NSW)	15-19	M	8
Sunshine (NSW)	20-24	F	3
Sunshine (NSW)	20-24	M	7
Sunshine (NSW)	25+	F	3
Sunshine (NSW)	25+	M	3
Sunshine Bay	0-4	F	6
Sunshine Bay	0-4	M	3
Sunshine Bay	5-14	F	63
Sunshine Bay	5-14	M	55
Sunshine Bay	15-19	F	23
Sunshine Bay	15-19	M	18
Sunshine Bay	20-24	M	4
Sunshine Bay	25+	F	22
Sunshine Bay	25+	M	10
Suntop	5-14	F	7
Suntop	5-14	M	3
Surf Beach (NSW)	0-4	F	6
Surf Beach (NSW)	0-4	M	9
Surf Beach (NSW)	5-14	F	82
Surf Beach (NSW)	5-14	M	93
Surf Beach (NSW)	15-19	F	33
Surf Beach (NSW)	15-19	M	38
Surf Beach (NSW)	20-24	F	5
Surf Beach (NSW)	20-24	M	6
Surf Beach (NSW)	25+	F	33
Surf Beach (NSW)	25+	M	11
Surfside	0-4	F	14
Surfside	0-4	M	11
Surfside	5-14	F	89
Surfside	5-14	M	91
Surfside	15-19	F	12
Surfside	15-19	M	13
Surfside	20-24	F	6
Surfside	20-24	M	3
Surfside	25+	F	21
Surfside	25+	M	6
Surry Hills	0-4	F	29
Surry Hills	0-4	M	40
Surry Hills	5-14	F	168
Surry Hills	5-14	M	167
Surry Hills	15-19	F	95
Surry Hills	15-19	M	87
Surry Hills	20-24	F	263
Surry Hills	20-24	M	276
Surry Hills	25+	F	744
Surry Hills	25+	M	759
Sussex Inlet	0-4	F	22
Sussex Inlet	0-4	M	16
Sussex Inlet	5-14	F	111
Sussex Inlet	5-14	M	133
Sussex Inlet	15-19	F	40
Sussex Inlet	15-19	M	33
Sussex Inlet	20-24	F	15
Sussex Inlet	20-24	M	5
Sussex Inlet	25+	F	24
Sussex Inlet	25+	M	9
Sutherland (NSW)	0-4	F	80
Sutherland (NSW)	0-4	M	93
Sutherland (NSW)	5-14	F	449
Sutherland (NSW)	5-14	M	455
Sutherland (NSW)	15-19	F	151
Sutherland (NSW)	15-19	M	194
Sutherland (NSW)	20-24	F	101
Sutherland (NSW)	20-24	M	83
Sutherland (NSW)	25+	F	316
Sutherland (NSW)	25+	M	183
Sutton (NSW)	0-4	F	4
Sutton (NSW)	0-4	M	14
Sutton (NSW)	5-14	F	96
Sutton (NSW)	5-14	M	88
Sutton (NSW)	15-19	F	57
Sutton (NSW)	15-19	M	48
Sutton (NSW)	20-24	F	13
Sutton (NSW)	20-24	M	16
Sutton (NSW)	25+	F	27
Sutton (NSW)	25+	M	19
Sutton Forest	0-4	F	3
Sutton Forest	5-14	F	14
Sutton Forest	5-14	M	38
Sutton Forest	15-19	F	16
Sutton Forest	15-19	M	5
Sutton Forest	25+	F	6
Sutton Forest	25+	M	6
Swan Bay (Port Stephens - NSW)	0-4	F	3
Swan Bay (Port Stephens - NSW)	5-14	F	18
Swan Bay (Port Stephens - NSW)	5-14	M	22
Swan Bay (Port Stephens - NSW)	15-19	F	9
Swan Bay (Port Stephens - NSW)	15-19	M	9
Swan Bay (Port Stephens - NSW)	25+	F	10
Swan Bay (Richmond Valley - NSW)	0-4	F	4
Swan Bay (Richmond Valley - NSW)	5-14	F	14
Swan Bay (Richmond Valley - NSW)	5-14	M	20
Swan Bay (Richmond Valley - NSW)	15-19	F	7
Swan Bay (Richmond Valley - NSW)	15-19	M	3
Swan Creek (NSW)	0-4	M	3
Swan Creek (NSW)	5-14	F	6
Swan Creek (NSW)	5-14	M	13
Swan Creek (NSW)	15-19	F	5
Swan Vale	5-14	F	6
Swan Vale	5-14	M	3
Swan Vale	25+	F	3
Swanhaven	0-4	M	4
Swanhaven	5-14	F	3
Swanhaven	5-14	M	6
Swanhaven	15-19	M	4
Swansea (NSW)	0-4	F	25
Swansea (NSW)	0-4	M	28
Swansea (NSW)	5-14	F	182
Swansea (NSW)	5-14	M	211
Swansea (NSW)	15-19	F	85
Swansea (NSW)	15-19	M	90
Swansea (NSW)	20-24	F	39
Swansea (NSW)	20-24	M	33
Swansea (NSW)	25+	F	56
Swansea (NSW)	25+	M	35
Swansea Heads	0-4	M	5
Swansea Heads	5-14	F	33
Swansea Heads	5-14	M	36
Swansea Heads	15-19	F	16
Swansea Heads	15-19	M	20
Swansea Heads	20-24	F	7
Swansea Heads	20-24	M	7
Swansea Heads	25+	F	8
Swansea Heads	25+	M	6
Sweetmans Creek	5-14	M	5
Sydenham (NSW)	0-4	F	5
Sydenham (NSW)	0-4	M	6
Sydenham (NSW)	5-14	F	20
Sydenham (NSW)	5-14	M	29
Sydenham (NSW)	15-19	F	12
Sydenham (NSW)	15-19	M	17
Sydenham (NSW)	20-24	F	34
Sydenham (NSW)	20-24	M	21
Sydenham (NSW)	25+	F	44
Sydenham (NSW)	25+	M	36
Sydney	0-4	F	26
Sydney	0-4	M	36
Sydney	5-14	F	122
Sydney	5-14	M	136
Sydney	15-19	F	233
Sydney	15-19	M	248
Sydney	20-24	F	893
Sydney	20-24	M	808
Sydney	25+	F	1641
Sydney	25+	M	1137
Sydney Olympic Park	0-4	F	3
Sydney Olympic Park	0-4	M	3
Sydney Olympic Park	5-14	F	24
Sydney Olympic Park	5-14	M	22
Sydney Olympic Park	15-19	F	24
Sydney Olympic Park	15-19	M	23
Sydney Olympic Park	20-24	F	53
Sydney Olympic Park	20-24	M	50
Sydney Olympic Park	25+	F	86
Sydney Olympic Park	25+	M	64
Sylvania	0-4	F	79
Sylvania	0-4	M	102
Sylvania	5-14	F	590
Sylvania	5-14	M	586
Sylvania	15-19	F	236
Sylvania	15-19	M	203
Sylvania	20-24	F	108
Sylvania	20-24	M	81
Sylvania	25+	F	144
Sylvania	25+	M	95
Sylvania Waters	0-4	F	20
Sylvania Waters	0-4	M	33
Sylvania Waters	5-14	F	182
Sylvania Waters	5-14	M	191
Sylvania Waters	15-19	F	100
Sylvania Waters	15-19	M	94
Sylvania Waters	20-24	F	41
Sylvania Waters	20-24	M	44
Sylvania Waters	25+	F	40
Sylvania Waters	25+	M	24
Tabbil Creek	5-14	M	3
Tabbimoble	5-14	F	6
Tabbimoble	5-14	M	3
Tabbita	5-14	F	10
Tabbita	5-14	M	9
Tabbita	15-19	F	3
Table Top	0-4	F	7
Table Top	0-4	M	15
Table Top	5-14	F	128
Table Top	5-14	M	129
Table Top	15-19	F	44
Table Top	15-19	M	49
Table Top	20-24	F	8
Table Top	20-24	M	6
Table Top	25+	F	16
Table Top	25+	M	8
Tabulam	0-4	F	3
Tabulam	0-4	M	3
Tabulam	5-14	F	32
Tabulam	5-14	M	22
Tabulam	15-19	F	6
Tabulam	15-19	M	12
Tabulam	20-24	M	3
Tabulam	25+	F	10
Tacoma	0-4	F	7
Tacoma	0-4	M	3
Tacoma	5-14	F	42
Tacoma	5-14	M	38
Tacoma	15-19	F	12
Tacoma	15-19	M	18
Tacoma	20-24	F	4
Tacoma	20-24	M	4
Tacoma	25+	F	4
Tacoma	25+	M	7
Tacoma South	0-4	F	3
Tacoma South	5-14	F	9
Tacoma South	5-14	M	10
Tacoma South	15-19	F	8
Tacoma South	15-19	M	13
Tacoma South	20-24	F	3
Tacoma South	25+	F	5
Tacoma South	25+	M	4
Tahlee	15-19	F	3
Tahmoor	0-4	F	51
Tahmoor	0-4	M	43
Tahmoor	5-14	F	312
Tahmoor	5-14	M	332
Tahmoor	15-19	F	102
Tahmoor	15-19	M	108
Tahmoor	20-24	F	47
Tahmoor	20-24	M	27
Tahmoor	25+	F	84
Tahmoor	25+	M	37
Talarm	5-14	F	15
Talarm	5-14	M	14
Talarm	15-19	F	4
Talarm	15-19	M	6
Talarm	25+	F	5
Talbingo	0-4	M	3
Talbingo	5-14	F	9
Talbingo	5-14	M	5
Talbingo	15-19	F	4
Talbingo	25+	F	3
Tallawang	0-4	F	3
Tallawang	0-4	M	3
Tallawang	5-14	F	5
Tallawang	5-14	M	9
Tallawang	15-19	M	8
Tallimba	0-4	F	3
Tallimba	5-14	F	13
Tallimba	5-14	M	19
Tallimba	15-19	F	4
Tallimba	15-19	M	3
Tallong	0-4	F	3
Tallong	0-4	M	4
Tallong	5-14	F	49
Tallong	5-14	M	63
Tallong	15-19	F	13
Tallong	15-19	M	13
Tallong	20-24	F	3
Tallong	20-24	M	4
Tallong	25+	F	15
Tallong	25+	M	5
Tallowwood Ridge	5-14	F	3
Tallowwood Ridge	5-14	M	3
Tallwood	5-14	M	6
Tallwoods Village	0-4	F	6
Tallwoods Village	0-4	M	7
Tallwoods Village	5-14	F	32
Tallwoods Village	5-14	M	32
Tallwoods Village	15-19	F	10
Tallwoods Village	15-19	M	14
Tallwoods Village	20-24	F	3
Tallwoods Village	25+	F	6
Tallwoods Village	25+	M	5
Talmalmo	5-14	M	3
Talmalmo	15-19	F	3
Talofa	5-14	F	5
Talofa	5-14	M	4
Talofa	15-19	F	3
Talofa	15-19	M	3
Talofa	25+	F	4
Talofa	25+	M	4
Taloumbi	5-14	F	15
Taloumbi	5-14	M	10
Taloumbi	25+	F	3
Tamarama	0-4	F	14
Tamarama	0-4	M	12
Tamarama	5-14	F	60
Tamarama	5-14	M	61
Tamarama	15-19	F	20
Tamarama	15-19	M	38
Tamarama	20-24	F	18
Tamarama	20-24	M	13
Tamarama	25+	F	53
Tamarama	25+	M	34
Tamban	15-19	F	3
Tambar Springs	5-14	F	10
Tambar Springs	5-14	M	17
Tambar Springs	20-24	F	3
Taminda	5-14	F	4
Tamworth	5-14	F	9
Tamworth	5-14	M	6
Tamworth	15-19	M	3
Tamworth	20-24	M	4
Tamworth	25+	F	3
Tamworth	25+	M	3
Tanglewood	5-14	F	6
Tanglewood	5-14	M	5
Tanglewood	15-19	F	4
Tanglewood	25+	F	3
Tanglewood	25+	M	3
Tanilba Bay	0-4	F	27
Tanilba Bay	0-4	M	29
Tanilba Bay	5-14	F	180
Tanilba Bay	5-14	M	201
Tanilba Bay	15-19	F	40
Tanilba Bay	15-19	M	54
Tanilba Bay	20-24	F	17
Tanilba Bay	20-24	M	12
Tanilba Bay	25+	F	70
Tanilba Bay	25+	M	23
Tanja	5-14	F	5
Tanja	5-14	M	8
Tanja	15-19	F	3
Tanja	15-19	M	3
Tanja	25+	F	4
Tannabar	5-14	F	9
Tannabar	15-19	F	3
Tannabar	15-19	M	3
Tannas Mount	5-14	M	3
Tantawangalo	5-14	F	17
Tantawangalo	5-14	M	8
Tantawangalo	15-19	M	5
Tantawangalo	25+	F	5
Tantonan	5-14	F	4
Tapitallee	0-4	F	5
Tapitallee	0-4	M	4
Tapitallee	5-14	F	25
Tapitallee	5-14	M	37
Tapitallee	15-19	F	19
Tapitallee	15-19	M	14
Tapitallee	20-24	F	6
Tapitallee	20-24	M	3
Tapitallee	25+	F	4
Tapitallee	25+	M	3
Tara (NSW)	0-4	F	3
Tara (NSW)	5-14	F	3
Tara (NSW)	25+	F	3
Taradale (NSW)	5-14	M	3
Tarago	0-4	F	9
Tarago	0-4	M	3
Tarago	5-14	F	26
Tarago	5-14	M	25
Tarago	15-19	F	7
Tarago	15-19	M	8
Tarago	25+	F	7
Tarago	25+	M	3
Taralga	0-4	F	4
Taralga	0-4	M	9
Taralga	5-14	F	20
Taralga	5-14	M	35
Taralga	15-19	F	12
Taralga	15-19	M	11
Taralga	20-24	M	4
Taralga	25+	F	12
Tarana	0-4	F	3
Tarana	5-14	F	13
Tarana	5-14	M	10
Tarana	15-19	F	4
Tarana	15-19	M	9
Tarana	25+	F	3
Tarana	25+	M	3
Tarbuck Bay	0-4	F	3
Tarbuck Bay	0-4	M	3
Tarbuck Bay	5-14	F	14
Tarbuck Bay	5-14	M	11
Tarbuck Bay	15-19	F	7
Tarbuck Bay	25+	F	6
Tarbuck Bay	25+	M	4
Tarcutta	0-4	F	3
Tarcutta	0-4	M	4
Tarcutta	5-14	F	15
Tarcutta	5-14	M	20
Tarcutta	15-19	F	10
Tarcutta	15-19	M	4
Tarcutta	20-24	F	3
Tarcutta	20-24	M	3
Tarcutta	25+	M	3
Taree	0-4	F	110
Taree	0-4	M	124
Taree	5-14	F	885
Taree	5-14	M	897
Taree	15-19	F	295
Taree	15-19	M	312
Taree	20-24	F	101
Taree	20-24	M	55
Taree	25+	F	292
Taree	25+	M	121
Taree South	5-14	F	16
Taree South	5-14	M	9
Taree South	15-19	F	5
Taree South	15-19	M	9
Taree South	25+	F	5
Taren Point	0-4	F	3
Taren Point	0-4	M	15
Taren Point	5-14	F	75
Taren Point	5-14	M	63
Taren Point	15-19	F	35
Taren Point	15-19	M	28
Taren Point	20-24	F	21
Taren Point	20-24	M	13
Taren Point	25+	F	11
Taren Point	25+	M	17
Tarlo	5-14	F	3
Tarlo	5-14	M	12
Tarlo	15-19	F	3
Tarlo	15-19	M	7
Tarlo	20-24	F	4
Tarlo	25+	F	4
Tarlo	25+	M	3
Tarraganda	0-4	M	3
Tarraganda	5-14	F	15
Tarraganda	5-14	M	14
Tarraganda	15-19	F	3
Tarraganda	15-19	M	10
Tarraganda	20-24	F	3
Tarraganda	25+	F	3
Tarraganda	25+	M	5
Tarrawanna	0-4	F	23
Tarrawanna	0-4	M	9
Tarrawanna	5-14	F	110
Tarrawanna	5-14	M	90
Tarrawanna	15-19	F	52
Tarrawanna	15-19	M	56
Tarrawanna	20-24	F	30
Tarrawanna	20-24	M	24
Tarrawanna	25+	F	34
Tarrawanna	25+	M	23
Tarriaro	5-14	F	11
Tarriaro	5-14	M	10
Tarriaro	25+	F	3
Tarro	0-4	F	16
Tarro	0-4	M	10
Tarro	5-14	F	72
Tarro	5-14	M	85
Tarro	15-19	F	33
Tarro	15-19	M	29
Tarro	20-24	F	4
Tarro	20-24	M	3
Tarro	25+	F	22
Tarro	25+	M	11
Tascott	0-4	F	13
Tascott	0-4	M	13
Tascott	5-14	F	95
Tascott	5-14	M	86
Tascott	15-19	F	18
Tascott	15-19	M	36
Tascott	20-24	F	15
Tascott	20-24	M	18
Tascott	25+	F	55
Tascott	25+	M	20
Tatham	0-4	F	4
Tatham	0-4	M	4
Tatham	5-14	F	19
Tatham	5-14	M	3
Tatham	25+	F	4
Tathra	0-4	F	8
Tathra	0-4	M	8
Tathra	5-14	F	70
Tathra	5-14	M	64
Tathra	15-19	F	22
Tathra	15-19	M	39
Tathra	20-24	F	6
Tathra	20-24	M	7
Tathra	25+	F	28
Tathra	25+	M	8
Tatton	0-4	F	10
Tatton	0-4	M	27
Tatton	5-14	F	227
Tatton	5-14	M	238
Tatton	15-19	F	89
Tatton	15-19	M	76
Tatton	20-24	F	19
Tatton	20-24	M	13
Tatton	25+	F	43
Tatton	25+	M	21
Taylors Arm	0-4	M	3
Taylors Arm	5-14	F	10
Taylors Arm	5-14	M	10
Taylors Arm	20-24	M	3
Taylors Beach (NSW)	5-14	F	6
Taylors Beach (NSW)	5-14	M	8
Taylors Beach (NSW)	15-19	F	4
Taylors Beach (NSW)	25+	F	3
Taylors Flat	5-14	F	4
Tea Gardens	0-4	F	13
Tea Gardens	0-4	M	13
Tea Gardens	5-14	F	64
Tea Gardens	5-14	M	80
Tea Gardens	15-19	F	34
Tea Gardens	15-19	M	30
Tea Gardens	20-24	F	17
Tea Gardens	20-24	M	3
Tea Gardens	25+	F	31
Tea Gardens	25+	M	15
Telarah	0-4	F	15
Telarah	0-4	M	20
Telarah	5-14	F	133
Telarah	5-14	M	132
Telarah	15-19	F	29
Telarah	15-19	M	38
Telarah	20-24	F	20
Telarah	20-24	M	11
Telarah	25+	F	50
Telarah	25+	M	30
Telegraph Point	0-4	F	6
Telegraph Point	0-4	M	3
Telegraph Point	5-14	F	38
Telegraph Point	5-14	M	35
Telegraph Point	15-19	F	16
Telegraph Point	15-19	M	7
Telegraph Point	20-24	F	3
Telegraph Point	20-24	M	5
Telegraph Point	25+	F	12
Telegraph Point	25+	M	6
Telopea	0-4	F	31
Telopea	0-4	M	32
Telopea	5-14	F	244
Telopea	5-14	M	297
Telopea	15-19	F	115
Telopea	15-19	M	123
Telopea	20-24	F	74
Telopea	20-24	M	64
Telopea	25+	F	194
Telopea	25+	M	127
Temagog	5-14	F	9
Temagog	5-14	M	7
Temagog	15-19	F	3
Temagog	15-19	M	5
Temagog	25+	F	3
Temagog	25+	M	3
Temora	0-4	F	34
Temora	0-4	M	33
Temora	5-14	F	262
Temora	5-14	M	282
Temora	15-19	F	92
Temora	15-19	M	108
Temora	20-24	F	23
Temora	20-24	M	7
Temora	25+	F	57
Temora	25+	M	34
Tempe	0-4	F	30
Tempe	0-4	M	17
Tempe	5-14	F	197
Tempe	5-14	M	213
Tempe	15-19	F	58
Tempe	15-19	M	74
Tempe	20-24	F	57
Tempe	20-24	M	54
Tempe	25+	F	93
Tempe	25+	M	91
Tenambit	0-4	F	13
Tenambit	0-4	M	17
Tenambit	5-14	F	166
Tenambit	5-14	M	188
Tenambit	15-19	F	46
Tenambit	15-19	M	74
Tenambit	20-24	F	31
Tenambit	20-24	M	23
Tenambit	25+	F	51
Tenambit	25+	M	30
Tenandra	0-4	F	5
Tenandra	5-14	F	8
Tenandra	5-14	M	3
Tenandra	15-19	M	3
Tenandra	25+	F	3
Tennyson (NSW)	0-4	F	4
Tennyson (NSW)	5-14	F	21
Tennyson (NSW)	5-14	M	17
Tennyson (NSW)	15-19	F	11
Tennyson (NSW)	15-19	M	4
Tennyson (NSW)	20-24	F	3
Tennyson (NSW)	20-24	M	4
Tennyson (NSW)	25+	F	4
Tennyson Point	0-4	F	7
Tennyson Point	0-4	M	8
Tennyson Point	5-14	F	71
Tennyson Point	5-14	M	85
Tennyson Point	15-19	F	33
Tennyson Point	15-19	M	42
Tennyson Point	20-24	F	15
Tennyson Point	20-24	M	22
Tennyson Point	25+	F	28
Tennyson Point	25+	M	9
Tenterden (NSW)	5-14	M	4
Tenterfield	0-4	F	21
Tenterfield	0-4	M	30
Tenterfield	5-14	F	208
Tenterfield	5-14	M	189
Tenterfield	15-19	F	64
Tenterfield	15-19	M	62
Tenterfield	20-24	F	12
Tenterfield	20-24	M	11
Tenterfield	25+	F	61
Tenterfield	25+	M	21
Teralba	0-4	F	13
Teralba	0-4	M	12
Teralba	5-14	F	52
Teralba	5-14	M	87
Teralba	15-19	F	34
Teralba	15-19	M	34
Teralba	20-24	F	7
Teralba	20-24	M	6
Teralba	25+	F	23
Teralba	25+	M	11
Terania Creek	0-4	M	3
Terania Creek	5-14	F	10
Terania Creek	5-14	M	5
Terania Creek	15-19	F	3
Terania Creek	15-19	M	3
Terania Creek	20-24	F	3
Terania Creek	25+	F	3
Terara	5-14	F	7
Terara	5-14	M	4
Terara	15-19	F	3
Terara	15-19	M	5
Terara	25+	F	3
Terara	25+	M	3
Teridgerie	5-14	F	3
Termeil	0-4	F	3
Termeil	5-14	F	14
Termeil	5-14	M	11
