SSC_NAME16	Age	persons
Arakoon	45-54	67
Arakoon	55-64	98
Arakoon	65-74	85
Arakoon	75-84	35
Arakoon	85+	6
Araluen (NSW)	0-4	3
Araluen (NSW)	5-14	7
Araluen (NSW)	15-19	7
Araluen (NSW)	20-24	7
Araluen (NSW)	25-34	7
Araluen (NSW)	35-44	10
Araluen (NSW)	45-54	35
Araluen (NSW)	55-64	41
Araluen (NSW)	65-74	29
Araluen (NSW)	75-84	6
Araluen (NSW)	85+	7
Aratula (NSW)	0-4	3
Aratula (NSW)	25-34	3
Arcadia (NSW)	0-4	52
Arcadia (NSW)	5-14	220
Arcadia (NSW)	15-19	102
Arcadia (NSW)	20-24	78
Arcadia (NSW)	25-34	88
Arcadia (NSW)	35-44	158
Arcadia (NSW)	45-54	248
Arcadia (NSW)	55-64	183
Arcadia (NSW)	65-74	157
Arcadia (NSW)	75-84	76
Arcadia (NSW)	85+	17
Arcadia Vale	0-4	99
Arcadia Vale	5-14	165
Arcadia Vale	15-19	80
Arcadia Vale	20-24	59
Arcadia Vale	25-34	129
Arcadia Vale	35-44	170
Arcadia Vale	45-54	211
Arcadia Vale	55-64	207
Arcadia Vale	65-74	157
Arcadia Vale	75-84	69
Arcadia Vale	85+	23
Ardglen	5-14	14
Ardglen	20-24	6
Ardglen	25-34	8
Ardglen	35-44	3
Ardglen	45-54	9
Ardglen	55-64	14
Ardglen	65-74	6
Arding	0-4	6
Arding	5-14	32
Arding	15-19	17
Arding	20-24	3
Arding	25-34	11
Arding	35-44	18
Arding	45-54	31
Arding	55-64	35
Arding	65-74	32
Arding	75-84	20
Arding	85+	4
Ardlethan	0-4	16
Ardlethan	5-14	47
Ardlethan	15-19	25
Ardlethan	20-24	23
Ardlethan	25-34	34
Ardlethan	35-44	40
Ardlethan	45-54	84
Ardlethan	55-64	86
Ardlethan	65-74	85
Ardlethan	75-84	55
Ardlethan	85+	22
Argalong	5-14	8
Argalong	15-19	4
Argalong	20-24	3
Argalong	35-44	9
Argalong	45-54	3
Argalong	55-64	3
Argenton	0-4	89
Argenton	5-14	149
Argenton	15-19	63
Argenton	20-24	88
Argenton	25-34	191
Argenton	35-44	167
Argenton	45-54	154
Argenton	55-64	187
Argenton	65-74	151
Argenton	75-84	71
Argenton	85+	36
Argents Hill	0-4	7
Argents Hill	5-14	23
Argents Hill	15-19	9
Argents Hill	20-24	8
Argents Hill	25-34	15
Argents Hill	35-44	13
Argents Hill	45-54	38
Argents Hill	55-64	46
Argents Hill	65-74	41
Argents Hill	75-84	9
Argents Hill	85+	3
Argoon (NSW)	0-4	3
Argoon (NSW)	5-14	3
Argoon (NSW)	35-44	8
Ariah Park	0-4	29
Ariah Park	5-14	79
Ariah Park	15-19	28
Ariah Park	20-24	3
Ariah Park	25-34	27
Ariah Park	35-44	64
Ariah Park	45-54	61
Ariah Park	55-64	77
Ariah Park	65-74	75
Ariah Park	75-84	27
Ariah Park	85+	11
Arkell	0-4	5
Arkell	35-44	8
Arkell	45-54	6
Arkell	55-64	13
Arkell	65-74	3
Arkell	75-84	6
Arkstone	0-4	3
Arkstone	5-14	7
Arkstone	15-19	3
Arkstone	25-34	3
Arkstone	35-44	3
Arkstone	65-74	3
Armatree	0-4	13
Armatree	5-14	30
Armatree	15-19	7
Armatree	20-24	8
Armatree	25-34	10
Armatree	35-44	22
Armatree	45-54	22
Armatree	55-64	13
Armatree	65-74	21
Armatree	75-84	5
Armidale	0-4	1312
Armidale	5-14	2820
Armidale	15-19	2171
Armidale	20-24	2547
Armidale	25-34	2894
Armidale	35-44	2431
Armidale	45-54	2794
Armidale	55-64	2632
Armidale	65-74	1989
Armidale	75-84	1241
Armidale	85+	521
Arncliffe	0-4	647
Arncliffe	5-14	1040
Arncliffe	15-19	548
Arncliffe	20-24	951
Arncliffe	25-34	2438
Arncliffe	35-44	1486
Arncliffe	45-54	1141
Arncliffe	55-64	973
Arncliffe	65-74	660
Arncliffe	75-84	458
Arncliffe	85+	244
Arndell Park	15-19	5
Arndell Park	20-24	8
Arndell Park	25-34	3
Arndell Park	45-54	4
Arndell Park	55-64	6
Arndell Park	65-74	4
Arrawarra	0-4	4
Arrawarra	5-14	28
Arrawarra	15-19	15
Arrawarra	20-24	13
Arrawarra	25-34	21
Arrawarra	35-44	23
Arrawarra	45-54	40
Arrawarra	55-64	83
Arrawarra	65-74	163
Arrawarra	75-84	107
Arrawarra	85+	33
Arrawarra Headland	0-4	38
Arrawarra Headland	5-14	59
Arrawarra Headland	15-19	40
Arrawarra Headland	20-24	9
Arrawarra Headland	25-34	54
Arrawarra Headland	35-44	53
Arrawarra Headland	45-54	75
Arrawarra Headland	55-64	116
Arrawarra Headland	65-74	59
Arrawarra Headland	75-84	29
Arrawarra Headland	85+	10
Artarmon	0-4	628
Artarmon	5-14	1201
Artarmon	15-19	406
Artarmon	20-24	522
Artarmon	25-34	1955
Artarmon	35-44	1805
Artarmon	45-54	1170
Artarmon	55-64	871
Artarmon	65-74	557
Artarmon	75-84	281
Artarmon	85+	135
Arthurville	5-14	3
Arthurville	25-34	5
Arthurville	35-44	3
Arthurville	45-54	6
Arthurville	55-64	8
Arthurville	65-74	8
Arumpo	0-4	3
Arumpo	5-14	4
Arumpo	20-24	4
Arumpo	25-34	3
Arumpo	35-44	3
Arumpo	45-54	9
Arumpo	55-64	7
Arumpo	65-74	3
Ashbury	0-4	180
Ashbury	5-14	482
Ashbury	15-19	224
Ashbury	20-24	172
Ashbury	25-34	283
Ashbury	35-44	434
Ashbury	45-54	567
Ashbury	55-64	420
Ashbury	65-74	321
Ashbury	75-84	195
Ashbury	85+	53
Ashby (NSW)	0-4	10
Ashby (NSW)	5-14	27
Ashby (NSW)	15-19	14
Ashby (NSW)	20-24	8
Ashby (NSW)	25-34	16
Ashby (NSW)	35-44	24
Ashby (NSW)	45-54	39
Ashby (NSW)	55-64	81
Ashby (NSW)	65-74	71
Ashby (NSW)	75-84	20
Ashby (NSW)	85+	16
Ashby Heights	0-4	12
Ashby Heights	5-14	27
Ashby Heights	15-19	9
Ashby Heights	20-24	11
Ashby Heights	25-34	10
Ashby Heights	35-44	26
Ashby Heights	45-54	39
Ashby Heights	55-64	50
Ashby Heights	65-74	36
Ashby Heights	75-84	14
Ashby Island	45-54	7
Ashby Island	55-64	3
Ashby Island	65-74	5
Ashcroft	0-4	321
Ashcroft	5-14	577
Ashcroft	15-19	289
Ashcroft	20-24	278
Ashcroft	25-34	467
Ashcroft	35-44	442
Ashcroft	45-54	411
Ashcroft	55-64	397
Ashcroft	65-74	195
Ashcroft	75-84	161
Ashcroft	85+	33
Ashfield (NSW)	0-4	1249
Ashfield (NSW)	5-14	1695
Ashfield (NSW)	15-19	992
Ashfield (NSW)	20-24	2215
Ashfield (NSW)	25-34	5993
Ashfield (NSW)	35-44	3385
Ashfield (NSW)	45-54	2716
Ashfield (NSW)	55-64	2269
Ashfield (NSW)	65-74	1514
Ashfield (NSW)	75-84	1102
Ashfield (NSW)	85+	705
Ashford (NSW)	0-4	23
Ashford (NSW)	5-14	75
Ashford (NSW)	15-19	47
Ashford (NSW)	20-24	17
Ashford (NSW)	25-34	27
Ashford (NSW)	35-44	66
Ashford (NSW)	45-54	88
Ashford (NSW)	55-64	142
Ashford (NSW)	65-74	92
Ashford (NSW)	75-84	59
Ashford (NSW)	85+	23
Ashley	0-4	39
Ashley	5-14	69
Ashley	15-19	13
Ashley	20-24	26
Ashley	25-34	53
Ashley	35-44	40
Ashley	45-54	55
Ashley	55-64	31
Ashley	65-74	28
Ashley	75-84	6
Ashmont	0-4	319
Ashmont	5-14	558
Ashmont	15-19	287
Ashmont	20-24	311
Ashmont	25-34	500
Ashmont	35-44	413
Ashmont	45-54	434
Ashmont	55-64	419
Ashmont	65-74	322
Ashmont	75-84	189
Ashmont	85+	86
Ashtonfield	0-4	328
Ashtonfield	5-14	797
Ashtonfield	15-19	322
Ashtonfield	20-24	257
Ashtonfield	25-34	518
Ashtonfield	35-44	682
Ashtonfield	45-54	669
Ashtonfield	55-64	574
Ashtonfield	65-74	334
Ashtonfield	75-84	129
Ashtonfield	85+	48
Asquith	0-4	213
Asquith	5-14	502
Asquith	15-19	209
Asquith	20-24	190
Asquith	25-34	347
Asquith	35-44	529
Asquith	45-54	466
Asquith	55-64	414
Asquith	65-74	278
Asquith	75-84	136
Asquith	85+	87
Atholwood	5-14	12
Atholwood	15-19	9
Atholwood	20-24	4
Atholwood	25-34	5
Atholwood	35-44	7
Atholwood	45-54	6
Atholwood	55-64	12
Atholwood	65-74	19
Atholwood	75-84	7
Attunga	0-4	37
Attunga	5-14	74
Attunga	15-19	32
Attunga	20-24	20
Attunga	25-34	72
Attunga	35-44	75
Attunga	45-54	73
Attunga	55-64	91
Attunga	65-74	68
Attunga	75-84	28
Attunga	85+	5
Auburn (NSW)	0-4	2885
Auburn (NSW)	5-14	4362
Auburn (NSW)	15-19	2206
Auburn (NSW)	20-24	3815
Auburn (NSW)	25-34	9161
Auburn (NSW)	35-44	4689
Auburn (NSW)	45-54	3975
Auburn (NSW)	55-64	3066
Auburn (NSW)	65-74	1734
Auburn (NSW)	75-84	989
Auburn (NSW)	85+	484
Auburn Vale	0-4	10
Auburn Vale	5-14	17
Auburn Vale	20-24	3
Auburn Vale	25-34	9
