SSC_NAME16	persons
Pambula Beach	654
Pampoolah	393
Pan Ban	26
Panania	12419
Pangee	10
Panuara	70
Pappinbarra	81
Paradise (NSW)	16
Paringi	15
Parkes (NSW)	11408
Parkesbourne	170
Parklea	3465
Parkville (NSW)	302
Parma	169
Parramatta	25798
Parraweena	40
Patchs Beach	62
Paterson (NSW)	892
Patonga	206
Paupong	13
Paxton	942
Paynes Crossing	118
Paytens Bridge	104
Peacock Creek	28
Peak Hill (NSW)	1106
Peak View	52
Peakhurst	10539
Peakhurst Heights	2336
Pearces Creek	184
Pearl Beach	536
Peats Ridge	377
Pebbly Beach	3
Peel	290
Peelwood	34
Pejar	50
Pelaw Main	1021
Pelican (NSW)	881
Pelton	86
Pembrooke	127
Pemulwuy	5009
Pendle Hill	7247
Pennant Hills	7287
Penrith	13295
Penrose	247
Penshurst (NSW)	12786
Pericoe	13
Perthville	624
Petersham	8116
Pheasants Nest	688
Phegans Bay	432
Phillip Bay	704
Phoenix Park	95
Piallamore	261
Piallaway	132
Piambong	154
Picketts Valley	218
Picnic Point	6160
Picton (NSW)	4816
Pigeonbah	12
Piggabeen	322
Pillar Valley	314
Pilliga	217
Pimlico (NSW)	297
Pindaroi	39
Pindimar	336
Pine Camp	18
Pine Clump	9
Pine Grove (NSW)	7
Pine Lodge (NSW)	60
Pine Ridge	119
Pine Valley	32
Piney Range	72
Pinkett	63
Pinnacle (NSW)	39
Pinnacle Swamp	32
Piora	86
Pipeclay	64
Pitnacree	43
Pitt Town	3033
Pitt Town Bottoms	102
Pleasant Hills	130
Pleasure Point	528
Plumpton (NSW)	9209
Point Clare	3731
Point Frederick	1927
Point Piper	1424
Pointer Mountain	9
Pokolbin	961
Pola Creek	67
Polo Flat	24
Pomeroy	115
Pomona (NSW)	161
Ponto	51
Pooncarie	166
Port Hacking	1093
Port Kembla	5014
Port Macquarie	44830
Porters Retreat	60
Portland (NSW)	2424
Possum Brush	148
Possum Creek	284
Potato Point	135
Pottery Estate	132
Potts Hill	893
Potts Point	9423
Pottsville	6704
Prairiewood	3246
Premer	85
Prestons	15313
Pretty Beach (Central Coast - NSW)	352
Pretty Pine	63
Primbee	1640
Primrose Valley	146
Prospect (NSW)	4716
Pucawan	37
Puddledock	48
Pulganbar	12
Pullabooka	43
Pulletop	83
Pumpenbil	204
Punchbowl (Canterbury-Bankstown - NSW)	20236
Punchbowl (Clarence Valley - NSW)	3
Purfleet	127
Purlewaugh	101
Putney	4107
Putta Bucca	224
Putty	161
Pyangle	18
Pymble	11051
Pyramul	69
Pyree	101
Pyrmont	12813
Quaama	281
Quakers Hill	27080
Quambone	166
Quanda	9
Quandary	44
Quandialla	197
Queanbeyan	6237
Queanbeyan East	3936
Queanbeyan West	3136
Queens Park (NSW)	3066
Queens Pinch	31
Queenscliff (NSW)	3376
Quialigo	253
Quidong	10
Quipolly	177
Quirindi	3444
Quorrobolong	512
Raby	5944
Raglan (NSW)	1199
Rainbow Flat	671
Rainbow Reach	83
Raleigh	645
Ramornie	206
Ramsgate	1114
Ramsgate Beach	1660
Rand	204
Randwick	29986
Rangari	37
Rangers Valley	24
Rankin Park	2460
Rankins Springs	173
Rannock	55
Rappville	169
Rathmines	1905
Ravensdale	64
Ravenswood (NSW)	497
Ravensworth (NSW)	12
Rawdon Island	98
Rawdon Vale	17
Raworth	1788
Rawsonville	50
Raymond Terrace	12820
Razorback	1082
Red Head	514
Red Hill (Tamworth Regional - NSW)	23
Red Hill (Warren - NSW)	7
Red Range	187
Red Rock	435
Red Rocks	6
Redbank (NSW)	376
Redbournberry	232
Reddestone	53
Redfern	13213
Redhead	3516
Redlands	36
Reedy Creek (NSW)	174
Reedy Swamp	81
Reefton (NSW)	41
Regents Park (NSW)	4926
Regentville	809
Reids Flat	85
Reidsdale	125
Rennie	43
Renwick	573
Repentance Creek	104
Repton	646
Reserve Creek	126
Retreat (NSW)	52
Revesby	14176
Revesby Heights	1667
Rhine Falls	42
Rhodes	11906
Richlands (NSW)	34
Richmond (NSW)	5482
Richmond Hill (NSW)	821
Richmond Lowlands	42
Richmond Vale	84
Rileys Hill	177
Ringwood (NSW)	37
Riverlea	42
Riverside (NSW)	322
Riverstone	7247
Rivertree	17
Riverview (NSW)	3354
Riverwood	12103
Rixs Creek	24
Rob Roy	64
Robertson (NSW)	1865
Robin Hill	925
Rock Flat	77
Rock Forest	198
Rock Valley	265
Rockdale	15534
Rockley	182
Rockley Mount	82
Rockton	30
Rocky Creek (Gwydir - NSW)	52
Rocky Creek (Inverell - NSW)	11
Rocky Glen	80
Rocky Hall	45
Rocky Plain (NSW)	64
Rocky Point (NSW)	262
Rocky River (Tenterfield - NSW)	18
Rocky River (Uralla - NSW)	270
Rodd Point	1376
Rollands Plains	155
Rookhurst	65
Rookwood (NSW)	3
Rooty Hill	14704
Ropers Road	18
Ropes Crossing	6171
Rose Bay (NSW)	10053
Rose Valley (Kiama - NSW)	76
Rose Valley (Snowy Monaro Regional - NSW)	33
Rosebank	413
Roseberg	29
Roseberry	42
Roseberry Creek	35
Rosebery (NSW)	10117
Rosebrook (NSW)	76
Rosedale (NSW)	221
Rosehill (NSW)	3806
Roselands	11579
Rosemeadow	7862
Rosemeath	20
Roseville	10082
Roseville Chase	1616
Rosewood (Port Macquarie-Hastings - NSW)	224
Rosewood (Snowy Valleys - NSW)	214
Roslyn	92
Rossglen	58
Rossgole	3
Rossi	95
Rossmore (NSW)	2286
Roto	41
Rouchel	147
Rouchel Brook	28
Roughit	110
Round Mountain	143
Round Swamp	20
Rous	227
Rous Mill	194
Rouse Hill	7965
Rowan	86
Rowena	181
Rowlands Creek	74
Royal National Park	27
Royalla	984
Rozelle	8725
Ruby Creek	68
Rufus	24
Rugby	73
Rukenvale	32
Run-o-Waters	471
Running Stream	134
Runnyford	19
Ruse	5584
Rushcutters Bay	2547
Rushes Creek	106
Rushforth	245
Russell Lea	5001
Russell Vale	1547
Rutherford	11884
Ruthven	103
Ryan (NSW)	15
Rydal	213
Rydalmere	6642
Ryde	26499
Rye Park	258
Ryhope	24
Rylstone	920
Sackville	298
Sackville North	312
Saddleback Mountain	73
Sadleir	3135
Safety Beach (NSW)	930
Salamander Bay	4815
Salisbury (NSW)	58
Salisbury Plains	88
Sallys Flat	11
Salt Ash	1128
Saltwater	3
San Isidore	381
San Remo (NSW)	4351
Sancrox	572
Sanctuary Point	7225
Sandbar	3
Sandgate (NSW)	305
Sandigo	84
Sandilands (NSW)	11
Sandon (NSW)	11
Sandringham (NSW)	1238
Sandy Beach	2287
Sandy Creek (Cobar - NSW)	25
Sandy Creek (Upper Hunter Shire - NSW)	25
Sandy Crossing	37
Sandy Flat	82
Sandy Gully (NSW)	23
Sandy Hill	31
Sandy Hollow	169
Sandy Point (NSW)	590
Sanger	7
Sans Souci	10304
Sapphire	44
Sapphire Beach	2084
Saratoga	3938
Sassafras (NSW)	31
Saumarez	88
Saumarez Ponds	438
Savernake	94
Sawpit Creek	9
Sawtell	3682
Sawyers Gully	500
Scarborough (NSW)	308
Scheyville	10
Schofields	4983
Scone	5624
Scotia	26
Scotland Island	579
Scotts Creek (NSW)	21
Scotts Flat	36
Scotts Head	899
Seaforth (NSW)	7139
Seaham	1007
Seahampton	303
Seal Rocks	44
Sebastopol (NSW)	61
Sedgefield	184
Seelands	420
Sefton	5808
Segenhoe	227
Seven Hills (NSW)	19326
Seven Oaks	68
Sextonville	24
Shadforth (NSW)	80
Shallow Bay	44
Shalvey	3467
Shanes Park	407
Shannon Brook	177
Shannon Vale	152
Shannondale	89
Shannons Flat	78
Shark Creek	22
Sharps Creek	17
Sheedys Gully	86
Shell Cove	5624
Shellharbour	3561
Shellharbour City Centre	244
Shelly Beach (NSW)	1318
Sherwood (Clarence Valley - NSW)	64
Sherwood (Kempsey - NSW)	144
Sherwood (Kyogle - NSW)	28
Shoal Bay (NSW)	1864
Shoalhaven Heads	3059
Shooters Hill	37
Shortland	3905
Silent Grove	21
Silverdale (NSW)	3682
Silverton (NSW)	50
Silverwater (Lake Macquarie - NSW)	301
Silverwater (Parramatta - NSW)	4166
Simpkins Creek	22
Singleton (NSW)	5000
Singleton Heights	4693
Singleton Military Area	319
Singletons Mill	7
Skennars Head	1158
Skillion Flat	76
Skinners Shoot	128
Sleepy Hollow	98
Smeaton Grange	15
Smithfield (NSW)	11972
Smiths Creek (Clarence Valley - NSW)	10
Smiths Creek (Kyogle - NSW)	62
Smiths Creek (Tweed - NSW)	301
Smiths Lake	1235
Smithtown	590
Snakes Plain	9
Sodwalls	70
Sofala	131
Soldiers Point	1426
Somersby	1066
Somerton (NSW)	277
South Albury	1379
South Arm (Clarence Valley - NSW)	237
South Arm (Nambucca - NSW)	313
South Ballina	37
South Bathurst	1583
South Bowenfels	1162
South Coogee	5502
South Durras	341
South Golden Beach	809
South Grafton	6068
South Granville	5500
South Gundagai	811
South Gundurimba	322
South Guyra	335
South Hurstville	5147
South Kempsey	2302
South Lismore	1879
South Littleton	301
South Maitland	471
South Maroota	557
South Murwillumbah	1114
South Nowra	1928
South Pambula	483
South Penrith	11790
South Tamworth	6565
South Turramurra	3084
South Wentworthville	6197
South West Rocks	4603
South Windsor	5892
South Wolumla	174
Southampton (NSW)	24
Southgate	184
Speers Point	3313
Speewa	98
Spencer	306
Spicers Creek	75
Spicketts Creek	45
Splitters Creek	267
Spring Creek (NSW)	130
Spring Farm (NSW)	4307
Spring Flat	205
Spring Grove	431
Spring Hill (Cabonne - NSW)	502
Spring Mountain (NSW)	20
Spring Plains	75
Spring Ridge	240
Spring Terrace	125
Springdale (NSW)	150
Springdale Heights	2036
Springfield (Central Coast - NSW)	4104
Springfield (Snowy Monaro Regional - NSW)	39
Springrange	295
Springside (NSW)	305
Springvale (Lithgow - NSW)	46
Springvale (Wagga Wagga - NSW)	1733
Springwood (NSW)	8475
St Albans (NSW)	158
St Andrews (NSW)	5730
St Clair (Penrith - NSW)	19897
St Clair (Singleton - NSW)	5
St Fillans	239
St Georges Basin	2913
St Helens Park	6602
St Huberts Island	1058
St Ives (NSW)	17300
St Ives Chase	3154
St Johns Park	6119
St Leonards (NSW)	5495
St Marys (NSW)	12195
St Peters (NSW)	3145
Stanborough	67
Stanbridge	206
Stanford Merthyr	552
Stanhope (NSW)	144
Stanhope Gardens	9163
Stanmore (NSW)	7938
Stannifer	73
Stannum	54
Stanwell Park	1410
Stanwell Tops	495
State Mine Gully	21
Steam Plains	5
Steeple Flat	37
Stewarts Brook	38
Stewarts River	117
Stockinbingal	374
Stockrington	81
Stockton (NSW)	4160
Stockyard Creek (NSW)	41
Stokers Siding	663
Stonehenge (NSW)	130
Stonequarry	21
Stony Chute	169
Stony Creek (Bega Valley - NSW)	143
Stony Creek (Mid-Western Regional - NSW)	51
Stony Crossing	17
Stotts Creek	3
Stratford (NSW)	145
Strathcedar	80
Stratheden	217
Strathfield (NSW)	25813
Strathfield South	3546
Stroud	938
Stroud Hill	28
Stroud Road	230
Stuart Town	235
Stuarts Point	766
Stubbo	232
Stud Park	52
Suffolk Park	3750
Sugarloaf (NSW)	71
Summer Hill (Dungog - NSW)	55
Summer Hill (Inner West - NSW)	7311
Summer Hill Creek	216
Summer Island	101
Summerland Point	2493
Sun Valley (NSW)	227
Sunny Corner	92
Sunset Strip (NSW)	83
Sunshine (NSW)	430
Sunshine Bay	1221
Suntop	70
Surf Beach (NSW)	1874
Surfside	1371
Surry Hills	16412
Sussex Inlet	3575
Sutherland (NSW)	10816
Sutton (NSW)	1660
Sutton Forest	477
Swan Bay (Port Stephens - NSW)	316
Swan Bay (Richmond Valley - NSW)	223
Swan Creek (NSW)	111
Swan Vale	42
Swanbrook	10
Swanhaven	193
Swansea (NSW)	5058
Swansea Heads	614
Sweetmans Creek	59
Sydenham (NSW)	1145
Sydney	17252
Sydney Olympic Park	1736
Sylvania	10479
Sylvania Waters	3169
Tabbil Creek	40
Tabbimoble	31
Tabbita	73
Table Top	1425
Tabulam	470
Tacoma	633
Tacoma South	248
Tahlee	21
Tahmoor	5067
Talarm	219
Talawanta	28
Talbingo	239
Tallawang	168
Tallimba	184
Tallong	813
Tallowwood Ridge	45
Tallwood	73
Tallwoods Village	705
Talmalmo	53
Talofa	110
Taloumbi	106
Tamarama	1622
Tamban	92
Tambar Springs	187
Tambaroora	41
Taminda	53
Tamworth	180
Tanglewood	97
Tanilba Bay	3156
Tanja	157
Tannabar	69
Tannas Mount	43
Tantawangalo	156
Tantonan	24
Tapitallee	612
Tara (NSW)	27
Taradale (NSW)	35
Tarago	426
Taralga	467
Tarana	171
Tarban	8
Tarbuck Bay	188
Tarcutta	446
Taree	16197
Taree South	315
Taren Point	1734
Tarlo	164
Tarraganda	334
Tarrawanna	2069
Tarriaro	116
Tarro	1645
Tascott	1602
Tatham	207
Tathra	1675
Tatton	2616
Taylors Arm	149
Taylors Beach (NSW)	117
Taylors Flat	59
Tea Gardens	2884
Telarah	2329
Telegraph Point	609
Telopea	5426
Temagog	236
Temora	4693
Tempe	3556
Tenambit	2901
Tenandra	83
Tennyson (NSW)	384
Tennyson Point	1219
Tenterden (NSW)	29
Tenterfield	4066
Teralba	1588
Terania Creek	185
Terara	234
Teridgerie	60
Termeil	252
Terrabella	17
Terrace Creek	52
Terragon	73
Terramungamine	271
Terranora	2926
Terreel	7
Terrey Hills	3041
Terrigal	11349
Terry Hie Hie	72
Teven	286
Tewinga	86
Texas (NSW)	37
Thalgarrah	178
Tharbogang	511
The Angle	88
The Bight	66
The Branch	81
The Brothers	35
The Channon	374
The Entrance	4006
The Entrance North	1474
The Freshwater	7
The Gap (Wagga Wagga - NSW)	62
The Glen (NSW)	4
The Hatch	40
The Hill	1943
The Junction	1052
The Lagoon	216
The Marra	58
The Meadows	3
The Oaks	2525
The Pinnacles	85
The Pocket	271
The Ponds	11731
The Ridgeway	163
The Risk	64
The Rock	1236
The Rocks (Bathurst Regional - NSW)	60
The Rocks (Sydney - NSW)	774
The Slopes	326
The Whiteman	140
Theresa Creek (NSW)	67
Theresa Park	535
Thirldene	5
Thirlmere	4046
Thirroul	6083
Thora	332
Thornleigh	8464
Thornton (NSW)	8062
Thrumster	417
Thuddungra	118
Thule	32
Thumb Creek	23
Thurgoona	8656
Thyra	14
Tibbuc	27
Tibooburra	134
Tichborne	78
Tichular	4
Tighes Hill	1680
Tilba Tilba	95
Tilbuster	62
Tilpa	44
Timbarra (NSW)	29
Timbillica	9
Timbumburi	142
Timor (NSW)	55
Tindarey	35
Tinderry	66
Tingha	833
Tingira Heights	2149
Tinonee	1092
Tinpot	9
Tintenbar	822
Tintinhull	391
Tipperary (NSW)	31
Tirrannaville	237
Titaatee Creek	14
Tocal (NSW)	50
Tocumwal	2682
Tolland	3357
Tomago	277
Tomakin	1001
Tomalla	21
Tombong	14
Tomboye	40
Tomerong	1065
Tomewin	108
Tomingley	306
Tomki	76
Toms Creek	39
Tonderburine	59
Tongarra	107
Toogong	79
Tooleybuc	277
Toolijooa	127
Tooloom	24
Tooloon	49
Tooma	104
Toongabbie (NSW)	14337
Toongi	61
Toonumbar	39
Tooranie	6
Tooraweenah	232
Toormina	6192
Toorooka	47
Toothdale	172
Tootool	70
Toowoon Bay	530
Topi Topi	53
Toronto	5602
Torrington (NSW)	81
Torryburn (Dungog - NSW)	142
Torryburn (Uralla - NSW)	42
Totnes Valley	33
Tottenham (NSW)	453
Toukley	4550
Towamba	234
Townsend	890
Towradgi	3127
Towrang	171
Tralee	8
Trangie	1188
Tregeagle	456
Tregear	3886
Trenayr	81
Trentham Cliffs	69
Trewilga	34
Triamble	19
Triangle Flat	56
Trundle	687
Trungley Hall	81
Trunkey Creek	120
Tubbamurra	19
Tubbul	79
Tucabia	367
Tucki Tucki	167
Tuckombil	259
Tuckurimba	102
Tuena	59
Tuggerah	927
Tuggerawong	1280
Tugrabakh	75
Tullakool	76
Tullamore	424
Tullera	279
Tullibigeal	233
Tullimbar	532
Tulloona	50
Tullymorgan	132
Tumbarumba	1862
Tumbi Umbi	5108
Tumblong	196
Tumbulgum	405
Tumorrama	33
Tumut	6230
Tumut Plains	60
Tuncester	71
Tuncurry	6186
Tunglebung	26
Tuntable Creek	191
Tuppal	9
Tura Beach	3158
Turill	105
Turlinjah	157
Turners Flat	148
Turondale	85
Tuross	13
Tuross Head	2241
Turramurra	11919
Turrawan	72
Turrella	2511
Turvey Park	3329
Tweed Heads	8176
Tweed Heads South	7615
Tweed Heads West	6196
Twelve Mile	27
Twelve Mile Creek	161
Twin Rivers	35
Two Mile Flat	89
Tyagarah	152
Tyalgum	545
Tyalgum Creek	107
Tygalgah	126
Tyndale	175
Tyringham	100
Uarbry	49
Uki	696
Ulamambri	210
Ulan	58
Ulladulla	6615
Ulmarra	779
Ulong	233
Ultimo	8845
Umina Beach	16733
Unanderra	5434
Underbank	34
Undercliffe	12
Ungarie	557
Unumgar	26
Upper Allyn	12
Upper Bingara	29
Upper Burringbar	279
Upper Bylong	4
Upper Colo	60
Upper Coopers Creek	65
Upper Copmanhurst	86
Upper Corindi	156
Upper Crystal Creek	189
Upper Dartbrook	146
Upper Duck Creek	6
Upper Duroby	104
Upper Eden Creek	46
Upper Fine Flower	27
Upper Growee	8
Upper Horseshoe Creek	124
Upper Horton	168
Upper Kangaroo River	122
Upper Karuah River	6
Upper Lansdowne	565
Upper Macdonald	33
Upper Main Arm	225
Upper Manilla	124
Upper Mongogarie	25
Upper Myall	25
Upper Nile	9
Upper Orara	814
Upper Pappinbarra	59
Upper Rollands Plains	147
Upper Rouchel	73
Upper Taylors Arm	127
Upper Tooloom	45
Upper Turon	12
Upper Wilsons Creek	72
Upsalls Creek	118
Uralba	216
Uralla (NSW)	2743
Urana	384
Urangeline	14
Urangeline East	16
Uranquinty	909
Urawilkie	12
Urbenville	321
Uriarra	30
Urila	142
Urliup	194
Urunga	3000
Utungun	168
Vacy	625
Vale Of Clwydd	484
Valentine	5516
Valery	140
Valla	936
Valla Beach	1313
Valley Heights	1211
Varroville	113
Vaucluse	9337
Verges Creek	233
Verona	288
Villawood	6032
Vincentia	3290
Vineyard	1166
Vittoria (NSW)	62
Voyager Point	1668
Wadalba	2831
Wadeville	170
Wagga Wagga	7104
Wagstaffe	222
Wahroonga	17371
Waitara	5941
Waitui	105
Wakefield	144
Wakeley	4746
Wakool	297
Walang	84
Walbundrie	149
Walcha	2553
Walcha Road	54
Waldegrave	27
Walgett	2145
Walla Walla	836
Wallabadah	421
Wallabi Point	694
Wallacetown	7
Wallacia	1627
Wallaga Lake	548
Wallagoot	518
Wallalong	1030
Wallamore	121
Wallanbah	83
Wallangra	99
Wallanthery	33
Wallarah	370
Wallaringa	11
Wallarobba	172
Wallaroo (NSW)	707
Wallendbeen	260
Wallerawang	1980
Walleroobie	71
Wallsend	12470
Walmer (NSW)	38
Wamban	90
Wambangalang	89
Wamberal	6550
Wamboin	1708
Wambool	35
Wambrook	44
Wanaaring	140
Wandandian	326
Wandella (NSW)	141
Wandera	23
Wandook	42
Wandsworth	98
Wang Wauk	87
Wanganella	86
Wanganui	52
Wangi Wangi	2759
Wantabadgery	187
Wantagong	57
Wantiool	39
Wapengo	69
Warabrook	1972
Waratah (NSW)	4491
Waratah West	2988
Warburn	98
Wardell	832
Wardrop Valley	89
Wards Mistake	23
Wards River	178
Wareemba	1546
Warialda	1590
Warialda Rail	112
Warilla	6449
Warkworth	49
Warners Bay	7614
Warnervale	641
Warraderry	94
Warragai Creek	101
Warragamba	1241
Warragoon	115
Warrah	49
Warrah Creek	90
Warrah Ridge	99
Warral	370
Warranulla	31
Warrawee	2995
Warrawidgee	86
Warrawong	4752
Warrazambil Creek	20
Warregah Island	23
Warrell Creek	255
Warren	1389
Warri	109
Warriewood	7501
Warrimoo	2450
Warroo (NSW)	125
Warrumbungle	5
Warwick Farm	5884
Washpool (Mid-Coast - NSW)	36
Watagan	120
Watanobbi	3861
Waterfall	494
Waterloo (NSW)	14616
Watersleigh	24
Waterview	79
Waterview Heights	1325
Watsons Bay	850
Watsons Creek (NSW)	115
Wattamolla	61
Wattamondara	213
Wattle Flat (NSW)	257
Wattle Grove (NSW)	8952
Wattle Ponds	1123
Wattle Ridge (NSW)	4
Wattle Springs	73
Watton	81
Wauchope	6312
Waugorah	9
Waukivory	94
Waverley (NSW)	4346
Waverly	50
Waverton	3020
Way Way	239
Wayo	119
Weabonga	49
Wean	25
Webbers Creek	30
Webbs Creek	44
Wedderburn (NSW)	633
Wee Jasper	100
Wee Waa	2080
Weedallion	13
Weemelah	72
Weetaliba	50
Weethalle	250
Weilmoringle	77
Weismantels	28
Welaregang	38
Welby	758
Wellingrove	96
Wellington (NSW)	4077
Wellington Vale	35
Wells Crossing	163
Wendoree Park	134
Wentworth (NSW)	1437
Wentworth Falls	6076
Wentworth Point	6994
Wentworthville	11318
Werai	90
Wermatong	45
Werombi	930
Werri Beach	562
Werrington	4031
Werrington County	3645
Werrington Downs	3249
Werris Creek	1572
West Albury	3851
West Ballina	3023
West Bathurst	3672
West Bungawalbin	64
West Coraki	122
West Gosford	1335
West Haven	1110
West Hoxton	10012
West Kempsey	4919
West Nowra	1406
West Pennant Hills	16374
West Pymble	5298
West Ryde	13394
West Tamworth	5201
West Wallsend	2240
West Wiangaree	114
West Wollongong	4827
West Wyalong	3141
Westbrook (NSW)	151
Westdale (Tamworth Regional - NSW)	2755
Westleigh	4456
Westmead	16309
Weston (NSW)	3693
Westwood (NSW)	12
Wetherill Park	6127
Wetuppa	9
Whalan	5973
Whale Beach	253
Wheeler Heights	2986
Wheeny Creek	19
Wheeo	77
Wherrol Flat	319
Whian Whian	140
Whiporie	73
White Cliffs	148
White Rock (NSW)	797
Whitebridge	2612
Whiteman Creek	166
Whitlow	46
Whittingham	364
Whitton	496
Whoota	68
Wiagdon	37
Wiangaree	131
Wiarborough	20
Wickham (NSW)	1079
Widden	69
Widgelli	67
Wilberforce (NSW)	3007
Wilbetree	29
Wilcannia	745
Wildes Meadow	259
Wiley Park	10126
Willala	57
Willawarrin	191
Willbriggie	131
Willi Willi	30
Williamsdale	63
Williamtown	885
Willigobung	48
Willina	60
Willmot	2430
Willoughby (NSW)	6540
Willoughby East	1822
Willow Tree	308
Willow Vale (Kiama - NSW)	79
Willow Vale (Wingecarribee - NSW)	717
Wilsons Creek	452
Wilton (NSW)	3080
Wimbledon	109
Wimborne	18
Windale	3358
Windang	2656
Windella	738
Windellama	357
Windera (NSW)	297
Windermere (NSW)	55
Windermere Park	696
Windeyer (NSW)	176
Windowie	28
Windradyne	2936
Windsor (NSW)	1891
Windsor Downs	1179
Winegrove	40
Wingadee	16
Wingello	573
Wingen	323
Wingham	5374
Winifred	29
Winmalee	6202
Winston Hills	11674
Winton (NSW)	222
Wirlinga	127
Wirragulla	30
Wirrimah	64
Wirrimbi	81
Wirrinya	89
Wisemans Creek	113
Wisemans Ferry	220
Wittitrin	87
Wog Wog (Queanbeyan-Palerang Regional - NSW)	15
Woko	5
Wolgan Valley	69
Wollar	69
Wolli Creek	6394
Wollogorang	67
Wollombi	188
Wollomombi	112
Wollongbar	2828
Wollongong	18442
Wollstonecraft	8323
Wollumboola	28
Wollun	67
Wolumla	703
Wombarra	872
Wombat	225
Wombat Creek (NSW)	7
Wombeyan Caves	57
Womboota	105
Wonboyn	103
Wondabyne	4
Wondalga	100
Wongarbon	766
Wongawilli	141
Wongo Creek	26
Wongwibinda	61
Woodberry	2993
Woodbine (NSW)	2741
Woodburn (Richmond Valley - NSW)	739
Woodburn (Shoalhaven - NSW)	54
Woodcroft (NSW)	6440
Woodenbong	381
Woodford (NSW)	1934
Woodford Island	245
Woodhill (NSW)	72
Woodhouselee	15
Woodlands (Eurobodalla - NSW)	73
Woodlands (Wingecarribee - NSW)	272
Woodlawn	38
Woodpark	1523
Woodrising	1168
Woodside (NSW)	45
Woodsreef	69
Woodstock (Cowra - NSW)	701
Woodstock (Inverell - NSW)	32
Woodstock (Shoalhaven - NSW)	253
Woodview	143
Woodville (NSW)	428
Woolbrook	185
Woolgarlo	26
Woolgoolga	5290
Wooli	414
Woollahra	7405
Woollamia	560
Woolloomooloo	4011
Woolners Arm	12
Woolomin	279
Woolooma	43
Woolooware	3962
Wooloweyah	406
Woolwich	814
Woomargama	157
Woombah	844
Woongarrah	5226
Woonona	12187
Wootton	195
Wooyung	118
Worlds End (NSW)	5
Woronora	2201
Woronora Dam	3
Woronora Heights	2855
Worrigee	5068
Worrowing Heights	506
Woy Woy	10643
Woy Woy Bay	419
Wrathall	17
Wrights Beach	132
Wrights Creek (NSW)	25
Wuuluman	776
Wyalong	654
Wyan	44
Wyanbene	33
Wyangala	182
Wyangle	47
Wybong	125
Wyee	2406
Wyee Point	1129
Wylie Creek	14
Wylies Flat	55
Wymah	37
Wyndham (NSW)	386
Wyneden	49
Wyoming	10134
Wyong	4326
Wyong Creek	434
Wyongah	2020
Wyrallah	441
Yabbra	4
Yadboro	8
Yagoona	18013
Yalbraith	19
Yallah	138
Yallaroi	118
Yamba (NSW)	6076
Yanco	984
Yanderra	661
Yanga	37
Yannergee	24
Yantabulla	28
Yaouk	25
Yarara	21
Yarra	173
Yarrabandai	37
Yarrabin	87
Yarragal	22
Yarragrin	34
Yarragundry	75
Yarrahapinni	194
Yarramalong	340
Yarraman (NSW)	11
Yarramundi	840
Yarranbella	193
Yarrangobilly	3
Yarras (Bathurst Regional - NSW)	10
Yarras (Port Macquarie-Hastings - NSW)	65
Yarravel	1114
Yarrawa	98
Yarrawarrah	2733
Yarrawonga (NSW)	421
Yarrawonga Park	380
Yarrie Lake	65
Yarrow	6
Yarrowford	69
Yarrowitch	166
Yarrowyck	132
Yass	6506
Yass River	350
Yathella	135
Yattalunga (NSW)	551
Yatte Yattah	180
Yaven Creek	58
Yelgun	103
Yellow Dam	14
Yellow Pinch	51
Yellow Rock (Blue Mountains - NSW)	1029
Yellow Rock (Shellharbour - NSW)	206
Yenda (NSW)	1537
Yennora	1615
Yeoval	430
Yerong Creek	352
Yerranderie	4
Yerrinbool	1164
Yerriyong	25
Yessabah	107
Yetholme	243
Yetman	207
Yippin Creek	195
Yoogali	1231
Yorklea	409
Young	10295
Yowie Bay	3074
Yowrie	117
Yullundry	23
Zara	76
Zetland	10078
No usual address (NSW)	12288
Migratory - Offshore - Shipping (NSW)	412
Abbotsford (Vic.)	8184
Aberfeldie	3897
Acheron	171
Adams Estate	59
Addington	71
Adelaide Lead	81
Agnes	57
Aireys Inlet	802
Airly	146
Airport West	7564
Albanvale	5491
Albert Park (Vic.)	6215
Alberton (Vic.)	262
Alberton West	81
Albion (Vic.)	4731
Alexandra (Vic.)	2695
Alfredton	9220
Allambee	19
Allambee Reserve	95
Allambee South	76
Allans Flat	318
Allansford	1521
Allendale	166
Allestree	128
Alma (Vic.)	201
Almonds	26
Almurta	48
Alphington	5080
Altona (Vic.)	10762
Altona Meadows	19160
Altona North	12152
Alvie	132
Amherst	65
Amphitheatre	248
Anakie	690
Ancona	84
Anderson	28
Anglers Rest	21
Anglesea	2545
Annuello	25
Antwerp	63
Apollo Bay (Vic.)	1598
Appin (Vic.)	11
Appin South	29
Apsley (Vic.)	277
Ararat	8297
Arawata	79
Arcadia (Vic.)	217
Arcadia South	75
Archdale	21
Archdale Junction	6
Archerton	17
Archies Creek	22
Ardeer	3103
Ardmona	487
Areegra	35
Argyle (Vic.)	215
Armadale (Vic.)	9054
Armstrong	88
Armstrong Creek (Vic.)	4247
Arnold (Vic.)	47
Arnold West	22
Arthurs Creek	496
Arthurs Seat	394
Ascot (Ballarat - Vic.)	96
Ascot (Greater Bendigo - Vic.)	1968
Ascot Vale	14750
Ashbourne (Vic.)	196
Ashburton	7751
Ashwood	6886
Aspendale	6940
Aspendale Gardens	6530
Athlone	122
Attwood	3419
Aubrey	10
