SSC_NAME16	medianMortgageRepayment
Pearces Creek	20796
Pearl Beach	20400
Peats Ridge	34716
Pebbly Beach	
Peel	23964
Peelwood	
Pejar	20472
Pelaw Main	15600
Pelican (NSW)	22512
Pelton	16644
Pembrooke	19296
Pemulwuy	31200
Pendle Hill	24000
Pennant Hills	30000
Penrith	20796
Penrose	18204
Penshurst (NSW)	24000
Pericoe	
Perrys Crossing	
Perthville	20796
Petersham	31200
Pheasants Nest	26652
Phegans Bay	24000
Phillip Bay	31200
Phoenix Park	26004
Piallamore	18204
Piallaway	12996
Piambong	23568
Picketts Valley	30000
Picnic Point	28188
Picton (NSW)	26004
Pigeonbah	
Piggabeen	20796
Pikapene	
Pillar Valley	14952
Pilliga	
Pilot Wilderness	
Pimlico (NSW)	18720
Pimlico Island	
Pinbeyan	
Pindaroi	10332
Pindimar	18108
Pine Camp	
Pine Clump	
Pine Grove (NSW)	
Pine Lodge (NSW)	
Pine Ridge	18648
Pine Valley	
Piney Range	16140
Pinkett	24000
Pinnacle (NSW)	
Pinnacle Swamp	
Pinny Beach	
Piora	19896
Pipeclay	20280
Pitnacree	20796
Pitt Town	31200
Pitt Town Bottoms	24000
Pleasant Hills	7776
Pleasure Point	36000
Plumpton (NSW)	24000
Point Clare	22692
Point Frederick	22884
Point Piper	48000
Point Wolstoncroft	
Pointer Mountain	
Pokolbin	31200
Pola Creek	17676
Polo Flat	
Pomeroy	26400
Pomona (NSW)	11100
Ponto	26004
Pooncarie	10404
Port Botany	
Port Hacking	38376
Port Kembla	20796
Port Macquarie	20796
Port Stephens	
Porters Creek	
Porters Retreat	9972
Portland (NSW)	14400
Possum Brush	28200
Possum Creek	16932
Potato Point	17676
Pottery Estate	13548
Potts Hill	32400
Potts Point	25512
Pottsville	23400
Prairiewood	26004
Premer	4968
Prestons	26004
Pretty Beach (Central Coast - NSW)	20796
Pretty Beach (Shoalhaven - NSW)	
Pretty Pine	
Primbee	22104
Primrose Valley	28200
Prospect (NSW)	26004
Pucawan	
Puddledock	15552
Pulganbar	
Pullabooka	
Pulletop	
Pumpenbil	15600
Punchbowl (Canterbury-Bankstown - NSW)	23820
Punchbowl (Clarence Valley - NSW)	
Purfleet	
Purlewaugh	7800
Putney	36000
Putta Bucca	18204
Putty	14088
Pyangle	
Pymble	37200
Pyramul	15960
Pyree	23052
Pyrmont	31164
Quaama	12996
Quakers Hill	26004
Quambone	4608
Quanda	
Quandary	14664
Quandialla	5196
Queanbeyan	20796
Queanbeyan East	20796
Queanbeyan West	23400
Queens Park (NSW)	36000
Queens Pinch	
Queenscliff (NSW)	32244
Quialigo	20256
Quidong	
Quiera	
Quipolly	20940
Quirindi	14400
Quorrobolong	26004
Raby	22800
Raglan (NSW)	20796
Rainbow Flat	20796
Rainbow Reach	21708
Raleigh	16728
Ramornie	16536
Ramsgate	28800
Ramsgate Beach	26004
Rand	9696
Randwick	31200
Rangari	
Rangers Valley	
Rankin Park	21468
Rankins Springs	8316
Rannock	
Rappville	12996
Rathmines	19356
Ravensdale	22836
Ravenswood (NSW)	9252
Ravensworth (NSW)	
Rawdon Island	23700
Rawdon Vale	
Raworth	26004
Rawsonville	34908
Raymond Terrace	17676
Razorback	30000
Red Head	18204
Red Hill (Snowy Valleys - NSW)	
Red Hill (Tamworth Regional - NSW)	
Red Hill (Warren - NSW)	
Red Range	9756
Red Rock	15600
Red Rocks	
Redbank (NSW)	22848
Redbournberry	24000
Reddestone	16020
Redfern	30000
Redhead	24444
Redlands	
Reedy Creek (NSW)	27708
Reedy Swamp	18204
Reefton (NSW)	
Regents Park (NSW)	20508
Regentville	27600
Reids Flat	5604
Reidsdale	18504
Rennie	12000
Renwick	26004
Repentance Creek	13656
Repton	18960
Reserve Creek	20808
Retreat (NSW)	10404
Revesby	26004
Revesby Heights	28800
Rhine Falls	11184
Rhodes	26400
Richlands (NSW)	
Richmond (NSW)	20796
Richmond Hill (NSW)	24000
Richmond Lowlands	
Richmond Vale	25200
Rileys Hill	19500
Ringwood (NSW)	11652
Riverlea	12996
Riverside (NSW)	20400
Riverstone	26292
Rivertree	
Riverview (NSW)	48000
Riverwood	24000
Rixs Creek	
Rob Roy	10080
Robertson (NSW)	21528
Robin Hill	26004
Rock Flat	28596
Rock Forest	20796
Rock Valley	16488
Rockdale	24960
Rockley	10404
Rockley Mount	26004
Rockton	
Rocky Creek (Gwydir - NSW)	18504
Rocky Creek (Inverell - NSW)	
Rocky Glen	17556
Rocky Hall	
Rocky Plain (NSW)	12000
Rocky Point (NSW)	20796
Rocky River (Tenterfield - NSW)	
Rocky River (Uralla - NSW)	18000
Rodd Point	34584
Rollands Plains	12996
Rookhurst	26940
Rookwood (NSW)	
Rooty Hill	24000
Ropers Road	
Ropes Crossing	28596
Rose Bay (NSW)	36000
Rose Valley (Kiama - NSW)	44676
Rose Valley (Snowy Monaro Regional - NSW)	26004
Rosebank	20604
Roseberg	
Roseberry	
Roseberry Creek	8580
Rosebery (NSW)	26400
Rosebrook (NSW)	29400
Rosedale (NSW)	25008
Rosehill (NSW)	24000
Roselands	26004
Rosemeadow	20796
Rosemeath	
Roseville	36000
Roseville Chase	45600
Rosewood (Port Macquarie-Hastings - NSW)	23400
Rosewood (Snowy Valleys - NSW)	14820
Roslyn	14400
Rossglen	
Rossgole	
Rossi	30000
Rossmore (NSW)	26004
Roto	
Rouchel	23400
Rouchel Brook	
Roughit	36204
Round Mountain	20400
Round Swamp	
Rous	15960
Rous Mill	14304
Rouse Hill	31200
Rowan	15600
Rowena	
Rowlands Creek	19800
Royal National Park	
Royalla	33804
Rozelle	36000
Ruby Creek	15600
Rufus	
Rugby	18468
Rukenvale	7212
Run-o-Waters	24708
Running Stream	13152
Runnyford	
Ruse	21600
Rushcutters Bay	22800
Rushes Creek	27480
Rushforth	21324
Russell Lea	33600
Russell Vale	23400
Rutherford	20400
Ruthven	24696
Ryan (NSW)	
Rydal	15600
Rydalmere	26004
Ryde	26400
Rye Park	15600
Ryhope	
Rylstone	17940
Sackville	24960
Sackville North	30000
Saddleback Mountain	26004
Sadleir	20292
Safety Beach (NSW)	21600
Salamander Bay	19500
Salisbury (NSW)	
Salisbury Plains	13656
Sallys Flat	
Salt Ash	20796
Saltwater	
San Isidore	19308
San Remo (NSW)	18204
Sancrox	20004
Sanctuary Point	15600
Sandbar	
Sandgate (NSW)	18204
Sandigo	9204
Sandilands (NSW)	
Sandon (NSW)	
Sandringham (NSW)	28596
Sandy Beach	18000
Sandy Creek (Cobar - NSW)	
Sandy Creek (Upper Hunter Shire - NSW)	
Sandy Crossing	
Sandy Flat	20124
Sandy Gully (NSW)	13380
Sandy Hill	
Sandy Hollow	15084
Sandy Point (NSW)	31200
Sanger	
Sans Souci	28716
Sapphire	17304
Sapphire Beach	22356
Saratoga	24000
Sassafras (NSW)	
Saumarez	24552
Saumarez Ponds	21600
Savernake	3540
Sawpit Creek	
Sawtell	20796
Sawyers Gully	21972
Scarborough (NSW)	30000
Scheyville	
Schofields	28800
Scone	21600
Scotia	
Scotland Island	26076
Scotts Creek (NSW)	
Scotts Flat	
Scotts Head	14508
Seaforth (NSW)	44400
Seaham	23400
Seahampton	19140
Seal Rocks	
Sebastopol (NSW)	
Sedgefield	26004
Seelands	18000
Sefton	24000
Segenhoe	38748
Seven Hills (NSW)	24696
Seven Oaks	14304
Sextonville	
Shadforth (NSW)	19320
Shallow Bay	10536
Shalvey	20796
Shanes Park	26004
Shannon Brook	16800
Shannon Vale	14628
Shannondale	15600
Shannons Flat	17928
Shark Creek	
Sharps Creek	
Sheedys Gully	18852
Shell Cove	26328
Shellharbour	20796
Shellharbour City Centre	25224
Shelly Beach (NSW)	26004
Sherwood (Clarence Valley - NSW)	5952
Sherwood (Kempsey - NSW)	20400
Sherwood (Kyogle - NSW)	
Shoal Bay (NSW)	21600
Shoalhaven Heads	20796
Shooters Hill	
Shortland	18204
Silent Grove	
Silverdale (NSW)	27840
Silverton (NSW)	
Silverwater (Lake Macquarie - NSW)	22104
Silverwater (Parramatta - NSW)	24000
Simpkins Creek	
Singleton (NSW)	20016
Singleton Heights	21000
Singleton Military Area	
Singletons Mill	
Six Mile Swamp	
Skennars Head	20796
Skillion Flat	14400
Skinners Shoot	
Sleepy Hollow	26004
Smeaton Grange	
Smithfield (NSW)	24000
Smiths Creek (Clarence Valley - NSW)	
Smiths Creek (Kyogle - NSW)	17640
Smiths Creek (Tweed - NSW)	15600
Smiths Lake	15600
Smithtown	13776
Snakes Plain	
Snowball	
Snowy Plain	
Sodwalls	31200
Sofala	9108
Soldiers Point	21600
Somersby	29124
Somerton (NSW)	13104
South Albury	15600
South Arm (Clarence Valley - NSW)	14556
South Arm (Nambucca - NSW)	10644
South Ballina	
South Bathurst	16644
South Bowenfels	24000
South Coogee	37584
South Durras	15600
South Golden Beach	21300
South Grafton	12996
South Granville	24000
South Gundagai	13524
South Gundurimba	16332
South Guyra	13524
South Hurstville	26004
South Kempsey	13524
South Lismore	14736
South Littleton	20796
South Maitland	16644
South Maroota	25572
South Murwillumbah	16644
South Nowra	20796
South Pambula	16308
South Penrith	24000
South Tamworth	15132
South Turramurra	36000
South Wentworthville	25200
South West Rocks	18000
South Windsor	21600
South Wolumla	23136
Southampton (NSW)	
Southgate	16776
Speers Point	22092
Speewa	7872
Spencer	14400
Spicers Creek	
Spicketts Creek	18720
Splitters Creek	24000
Spring Creek (NSW)	26568
Spring Farm (NSW)	27600
Spring Flat	23136
Spring Grove	19056
Spring Hill (Cabonne - NSW)	19092
Spring Hill (Wollongong - NSW)	
Spring Mountain (NSW)	
Spring Plains	
Spring Ridge	7788
Spring Terrace	18204
Springdale (NSW)	14304
Springdale Heights	16644
Springfield (Central Coast - NSW)	21600
Springfield (Snowy Monaro Regional - NSW)	
Springrange	30000
Springside (NSW)	28800
Springvale (Lithgow - NSW)	
Springvale (Wagga Wagga - NSW)	26004
Springwood (NSW)	23400
St Albans (NSW)	18000
St Andrews (NSW)	20796
St Clair (Penrith - NSW)	23820
St Clair (Singleton - NSW)	
St Fillans	19500
St George (NSW)	
St Georges Basin	18000
St Helens Park	21600
St Huberts Island	26784
St Ives (NSW)	36000
St Ives Chase	37704
St Johns Park	23400
St Leonards (NSW)	30000
St Marys (NSW)	20436
St Peters (NSW)	31200
Stanborough	20028
Stanbridge	15504
Stanford Merthyr	16896
Stanhope (NSW)	20664
Stanhope Gardens	30000
Stanmore (NSW)	31200
Stannifer	7800
Stannum	
Stanwell Park	26004
Stanwell Tops	30000
State Mine Gully	
Steam Plains	
Steeple Flat	17712
Stewarts Brook	
Stewarts River	18204
Stockinbingal	9360
Stockrington	36396
Stockton (NSW)	23400
Stockyard Creek (NSW)	16200
Stokers Siding	18204
Stonehenge (NSW)	17832
Stonequarry	
Stony Chute	12996
Stony Creek (Bega Valley - NSW)	20796
Stony Creek (Mid-Western Regional - NSW)	27540
Stony Crossing	
Stotts Creek	
Stratford (NSW)	11040
Strathcedar	24000
Stratheden	15600
Strathfield (NSW)	27612
Strathfield South	27600
Stroud	15600
Stroud Hill	20052
Stroud Road	18204
Stuart Town	13500
Stuarts Point	13920
Stubbo	20280
Stud Park	
Suffolk Park	24000
Sugarloaf (NSW)	21456
Summer Hill (Dungog - NSW)	31200
Summer Hill (Inner West - NSW)	26004
Summer Hill Creek	24228
Summer Island	19968
Summerland Point	18720
Sun Valley (NSW)	26004
Sunny Corner	16800
Sunset Strip (NSW)	5856
Sunshine (NSW)	21108
Sunshine Bay	18000
Suntop	15600
Surf Beach (NSW)	16824
Surfside	17424
Surry Hills	30000
Sussex Inlet	15600
Sutherland (NSW)	24696
Sutton (NSW)	31200
Sutton Forest	28728
Swan Bay (Port Stephens - NSW)	14556
Swan Bay (Richmond Valley - NSW)	18204
Swan Creek (NSW)	14040
Swan Vale	24000
Swanbrook	
Swanhaven	14556
Swans Crossing	
Swansea (NSW)	20796
Swansea Heads	26004
Sweetmans Creek	23220
Sydenham (NSW)	30000
Sydney	27624
Sydney Olympic Park	25788
Sylvania	30000
Sylvania Waters	32400
Tabbil Creek	32304
Tabbimoble	15600
Tabbita	
Table Top	23400
Tabulam	10404
Tacoma	20796
Tacoma South	20796
Tahlee	
Tahmoor	22104
Talarm	15600
Talawanta	
Talbingo	12588
Tallawang	24444
Tallimba	
Tallong	21348
Tallowal	
Tallowwood Ridge	
Tallwood	26208
Tallwoods Village	21600
Talmalmo	15600
Talofa	17580
Taloumbi	12576
Tamarama	43680
Tamban	13104
Tambar Springs	4608
Tambaroora	11700
Taminda	
Tamworth	
Tanglewood	17160
Tanilba Bay	18000
Tanja	15684
Tannabar	12792
Tannas Mount	
Tantangara	
Tantawangalo	15300
Tantonan	
Tapitallee	21324
Tara (NSW)	
Taradale (NSW)	
Tarago	18936
Taralga	13368
Tarana	18984
Tarban	
Tarbuck Bay	15300
Tarcutta	10404
Taree	15072
Taree South	19512
Taren Point	33804
Tarlo	25008
Tarraganda	16380
Tarrawanna	24960
Tarriaro	26004
Tarro	17736
Tascott	20796
Tatham	18468
Tathra	17160
Tatton	23400
Taylors Arm	10404
Taylors Beach (NSW)	16800
Taylors Flat	13884
Tea Gardens	18108
Telarah	16452
Telegraph Point	16140
Telopea	24000
Temagog	12480
Temora	14400
Tempe	31200
Ten Mile Hollow	
Tenambit	19428
Tenandra	15348
Tennyson (NSW)	32508
Tennyson Point	39000
Tenterden (NSW)	17400
Tenterfield	12996
Teralba	18456
Terania Creek	15840
Terara	10248
Teridgerie	15408
Termeil	20400
Terrabella	
Terrace Creek	25824
Terragon	19500
Terramungamine	24000
Terranora	24000
Terreel	
Terrey Hills	34680
Terrigal	26004
Terry Hie Hie	20796
Teven	26004
Tewinga	15600
Texas (NSW)	
Thalgarrah	12000
Tharbogang	12000
The Angle	30000
The Bight	23400
The Branch	26004
The Brothers	
The Channon	15864
The Devils Wilderness	
The Entrance	17676
The Entrance North	23400
The Freshwater	
The Gap (Richmond Valley - NSW)	
The Gap (Wagga Wagga - NSW)	40800
The Glen (NSW)	
The Gulf	
The Hatch	15600
The Hill	23400
The Junction	26004
The Lagoon	18204
The Marra	
The Meadows	
The Oaks	24000
The Pilliga	
The Pinnacles	12948
The Pocket	24048
The Ponds	34800
The Ridgeway	30000
The Risk	
The Rock	14148
The Rocks (Bathurst Regional - NSW)	20796
The Rocks (Sydney - NSW)	40800
The Sandon	
The Slopes	26004
The Whiteman	18204
Theresa Creek (NSW)	
Theresa Park	24420
Thirldene	
Thirlmere	24000
Thirroul	27036
Thora	16644
Thornleigh	30000
Thornton (NSW)	20796
Thrumster	26004
Thuddungra	15876
Thule	6504
Thumb Creek	
Thurgoona	20268
Thyra	
Tianjara	
Tibbuc	
Tibooburra	4068
Tichborne	21600
Tichular	
Tighes Hill	20796
Tilba Tilba	20352
Tilbuster	30876
Tilligerry Creek	
Tilpa	
Timbarra (NSW)	
Timbillica	
Timbumburi	26208
Timor (NSW)	20796
Tindarey	34308
Tinderry	20016
Tingha	10404
Tingira Heights	21600
Tinonee	15600
Tinpot	
Tintenbar	24000
Tintinhull	19200
Tiona	
Tipperary (NSW)	23700
Tiri	
Tirrannaville	21600
Titaatee Creek	
Tocal (NSW)	
Tocumwal	14400
Tolland	15828
Tolwong	
Tomago	18204
Tomakin	18204
Tomalla	
Tombong	
Tomboye	
Tomerong	20796
Tomewin	21408
Tomingley	14400
Tomki	15600
Toms Creek	
Tonderburine	15600
Tongarra	19200
Toogong	15084
Tooleybuc	10008
Toolijooa	25296
Tooloom	36852
Tooloon	26004
Tooma	11148
Toongabbie (NSW)	24000
Toongi	16800
Toonumbar	10008
Tooranie	
Tooraweenah	4800
Toormina	17676
Toorooka	10056
Toothdale	19236
Tootool	
Toowoon Bay	31200
Topi Topi	11100
Toronto	18000
Torrington (NSW)	11904
Torryburn (Dungog - NSW)	29904
Torryburn (Uralla - NSW)	
Totnes Valley	
Tottenham (NSW)	7860
Touga	
Toukley	19224
Towallum	
Towamba	10404
Townsend	16800
Towradgi	24528
Towrang	18720
Tralee	
Trangie	9828
Tregeagle	23400
Tregear	17676
Trenayr	14820
Trentham Cliffs	22080
Trewilga	
Triamble	
Triangle Flat	20796
Trundle	8712
Trungley Hall	11700
Trunkey Creek	10404
Tubbamurra	
Tubbul	13524
Tucabia	12996
Tucki Tucki	23016
Tuckombil	22200
Tuckurimba	23988
Tuena	
Tuggerah	20400
Tuggerawong	20796
Tugrabakh	31500
Tullakool	13200
Tullamore	6720
Tullarwalla	
Tullera	16980
Tullibigeal	9600
Tullimbar	26004
Tulloona	
Tullymorgan	15600
Tumbarumba	14040
Tumbi Umbi	23400
Tumblong	16680
Tumbulgum	18252
Tumorrama	
Tumut	16332
Tumut Plains	33732
Tuncester	20796
Tuncurry	15600
Tunglebung	
Tuntable Creek	14400
Tuppal	
Tura Beach	17424
Turill	18984
Turlinjah	18948
Turners Flat	18204
Turondale	13524
Tuross	
Tuross Head	15600
Turramurra	36000
Turrawan	30600
Turrella	26400
Turvey Park	18204
Tweed Heads	18204
Tweed Heads South	19140
Tweed Heads West	18204
Twelve Mile	
Twelve Mile Creek	11244
Twelve Mile Peg	
Twenty Forests	
Twin Rivers	
Two Mile Flat	16200
Tyagarah	20400
Tyalgum	15600
Tyalgum Creek	19500
Tygalgah	19200
Tyndale	12924
Tyringham	8940
Uarbry	
Uki	18204
Ulamambri	10404
Ulan	
Ulladulla	18000
Ulmarra	12996
Ulong	10332
Ultimo	24000
Umina Beach	21600
Unanderra	20484
Underbank	
Undercliffe	
Ungarie	6504
Unumgar	
Upper Allyn	
Upper Bingara	
Upper Burringbar	16800
Upper Bylong	
Upper Colo	22104
Upper Coopers Creek	17652
Upper Copmanhurst	11856
Upper Corindi	16800
Upper Crystal Creek	17448
Upper Dartbrook	26208
Upper Duck Creek	
Upper Duroby	19200
Upper Eden Creek	
Upper Fine Flower	
Upper Growee	
Upper Horseshoe Creek	11184
Upper Horton	6900
Upper Kangaroo River	30000
Upper Kangaroo Valley	
Upper Karuah River	
Upper Lansdowne	14796
Upper Macdonald	34896
Upper Main Arm	23916
Upper Mangrove	
Upper Manilla	12252
Upper Mongogarie	
Upper Myall	
Upper Nile	
Upper Orara	19224
Upper Pappinbarra	26136
Upper Rollands Plains	21324
Upper Rouchel	45600
Upper Taylors Arm	9888
Upper Tooloom	
Upper Turon	
Upper Wilsons Creek	26004
Upsalls Creek	20796
Uralba	23604
Uralla (NSW)	15336
Urana	6756
Urangeline	
Urangeline East	
Uranquinty	15600
Urawilkie	
Urbenville	11052
Uriarra	
Urila	30012
Urliup	24000
Urunga	18204
Utungun	15600
Vacy	23400
Vale Of Clwydd	15216
Valentine	24000
Valery	16176
Valla	20796
Valla Beach	19632
Valley Heights	23400
Varroville	34404
Vaucluse	41604
Verges Creek	21132
Verona	18000
Villawood	23400
Vincentia	21600
Vineyard	26004
Violet Hill	
Vittoria (NSW)	20796
Voyager Point	30000
Wadalba	24180
Wadbilliga	
Wadeville	10404
Wagga Wagga	18204
Wagstaffe	30000
Wahroonga	36000
Waitara	24000
Waitui	15180
Wakefield	20796
Wakeley	23400
Wakool	6900
Walang	16200
Walbundrie	5604
Walcha	12996
Walcha Road	
Waldegrave	41088
Walgett	11436
Walla Walla	12480
Wallabadah	12996
Wallabi Point	20796
Wallacetown	
Wallacia	25476
Wallaga Lake	13200
Wallagoot	16392
Wallalong	24840
Wallamore	23664
Wallanbah	15600
Wallangra	2604
Wallanthery	
Wallarah	24348
Wallaringa	
Wallarobba	26004
Wallaroo (NSW)	27756
Wallendbeen	10404
Wallerawang	18204
Walleroobie	
Wallingat	
Wallis Lake	
Wallsend	19764
Walmer (NSW)	
Wamban	12504
Wambangalang	
Wamberal	26004
Wamboin	31200
Wambool	20208
Wambrook	11400
Wanaaring	3600
Wandandian	19200
Wandella (NSW)	12000
Wandera	
Wandook	
Wandsworth	2868
Wang Wauk	16920
Wanganella	5208
Wanganui	
Wangi Wangi	20796
Wantabadgery	13200
Wantagong	
Wantiool	
Wapengo	5196
Warabrook	20400
Waratah (NSW)	20796
Waratah West	20796
Warburn	16800
Wardell	16116
Wardrop Valley	
Wards Mistake	
Wards River	7032
Wareemba	32112
Warialda	12348
Warialda Rail	22488
Warilla	19080
Warkworth	
Warners Bay	21600
Warnervale	22200
Warrabah	
Warraderry	36000
Warragai Creek	18468
Warragamba	18720
Warragoon	16116
Warrah	15864
Warrah Creek	24192
Warrah Ridge	7800
Warral	18204
Warranulla	
Warrawee	36000
Warrawidgee	
Warrawong	17052
Warrazambil Creek	
Warregah Island	
Warrell Creek	15084
Warren	11700
Warri	31200
Warriewood	32532
Warrimoo	24000
Warroo (NSW)	20796
Warrumbungle	
Warwick Farm	18204
Washpool (Clarence Valley - NSW)	
Washpool (Mid-Coast - NSW)	
Watagan	22356
Watanobbi	19296
Waterfall	25872
Waterloo (NSW)	28800
Watersleigh	
Waterview	20748
Waterview Heights	17676
Watsons Bay	32400
Watsons Creek (NSW)	16380
Wattamolla	14208
Wattamondara	10920
Wattle Flat (NSW)	14040
Wattle Grove (NSW)	26004
Wattle Ponds	26400
Wattle Ridge (NSW)	
Wattle Springs	
Watton	23268
Wauchope	17676
Waugorah	
Waukivory	5196
Waverley (NSW)	36000
Waverly	18204
Waverton	30000
Way Way	15600
Wayo	19572
Weabonga	10404
Wean	
Webbers Creek	31200
Webbs Creek	20016
Wedderburn (NSW)	33804
Wee Jasper	24960
Wee Waa	12612
Weedallion	
Weemelah	
Weetaliba	
Weethalle	10140
Weilmoringle	
Weismantels	
Welaregang	
Welby	20796
Wellingrove	14400
Wellington (NSW)	12000
Wellington Vale	6000
Wells Crossing	14952
Wendoree Park	20796
Wentworth (NSW)	10656
Wentworth Falls	20796
Wentworth Point	25200
Wentworthville	24000
Werai	22008
Wereboldera	
Wermatong	21708
Werombi	31200
Werri Beach	24012
Werrikimbe	
Werrington	19764
Werrington County	22884
Werrington Downs	23400
Werris Creek	11028
West Albury	15912
West Ballina	18144
West Bathurst	16248
West Bungawalbin	12876
West Coraki	20796
West Gosford	19200
West Haven	16644
West Hoxton	26928
West Kempsey	13680
West Nowra	16896
West Pennant Hills	33000
West Pymble	36000
West Ryde	25200
West Tamworth	14556
West Wallsend	19500
West Wiangaree	24960
West Wollongong	23400
West Wyalong	12984
Westbrook (NSW)	22560
Westdale (Snowy Valleys - NSW)	
Westdale (Tamworth Regional - NSW)	18204
Westleigh	29376
Westmead	24000
Weston (NSW)	16644
Westwood (NSW)	
Wetherill Park	23400
Wetuppa	
Whalan	18204
Whale Beach	57204
Wheeler Heights	33600
Wheeny Creek	
Wheeo	16404
Wherrol Flat	15444
Whian Whian	13920
Whiporie	12000
White Cliffs	5520
White Rock (NSW)	26004
Whitebridge	21900
Whiteman Creek	13968
Whitlow	10092
Whittingham	29748
Whitton	7800
Whoota	12000
Wiagdon	26004
Wiangaree	10404
Wiarborough	
Wickham (NSW)	21132
Widden	
Widgelli	
Wilberforce (NSW)	26004
Wilbetree	
Wilcannia	4860
Wild Cattle Creek	
Wildes Meadow	26328
Wiley Park	20280
Willala	
Willawarrin	12480
Willbriggie	19236
Willi Willi	16200
Williamsdale	26004
Williamtown	24960
Willigobung	17292
Willina	15180
Willmot	17580
Willoughby (NSW)	36000
Willoughby East	36000
Willow Tree	12000
Willow Vale (Kiama - NSW)	21300
Willow Vale (Wingecarribee - NSW)	22800
Willurah	
Wilpinjong	
Wilsons Creek	20268
Wilton (NSW)	30960
Wimbledon	26988
Wimborne	
Winburndale	
Windale	17772
Windang	20796
Windella	26208
Windellama	20796
Windera (NSW)	30600
Windermere (NSW)	27324
Windermere Park	18204
Windeyer (NSW)	13656
Windowie	18504
Windradyne	19008
Windsor (NSW)	23268
Windsor Downs	26004
Windy	
Winegrove	
Wingadee	
Wingello	18204
Wingen	18108
Wingham	14940
Winifred	20796
Winmalee	23400
Winston Hills	28800
Winton (NSW)	24348
Wirlinga	24000
Wirraba	
Wirragulla	
Wirrimah	7692
Wirrimbi	19452
Wirrinya	
Wisemans Creek	15600
Wisemans Ferry	18000
Wittitrin	10404
Wog Wog (Bega Valley - NSW)	
Wog Wog (Queanbeyan-Palerang Regional - NSW)	
Woko	
Wolgan Valley	23400
Wollangambe	
Wollar	
Wollemi	
Wolli Creek	26004
Wollogorang	
Wollombi	20148
Wollomombi	10404
Wollongbar	20796
Wollongong	21012
Wollstonecraft	30492
Wollumboola	
Wollun	
Wolumla	16596
Wombarra	31200
Wombat	16116
Wombat Creek (NSW)	
Wombeyan Caves	
Womboota	5304
Womerah	
Wonboyn	11700
Wonboyn North	
Wondabyne	
Wondalga	23964
Wongarbon	16644
Wongawilli	24000
Wongo Creek	
Wongwibinda	
Woodberry	15600
Woodbine (NSW)	21120
Woodburn (Richmond Valley - NSW)	15312
Woodburn (Shoalhaven - NSW)	27876
Woodcroft (NSW)	26004
Woodenbong	10404
Woodford (NSW)	20796
Woodford Island	16044
Woodhill (NSW)	25908
Woodhouselee	11856
Woodlands (Eurobodalla - NSW)	10404
Woodlands (Wingecarribee - NSW)	23400
Woodlawn	27324
Woodpark	24852
Woodrising	17436
Woodside (NSW)	10404
Woodsreef	
Woodstock (Cowra - NSW)	10404
Woodstock (Inverell - NSW)	
Woodstock (Shoalhaven - NSW)	26004
Woodview	13404
Woodville (NSW)	22572
Woody Head	
Woolbrook	8700
Woolgarlo	
Woolgoolga	18576
Wooli	13260
Woollahra	36396
Woollamia	18852
Woolloomooloo	30156
Woolners Arm	
Woolomin	15600
Woolooma	
Woolooware	26400
Wooloweyah	20796
Woolwich	30000
Woomargama	12000
Woombah	15300
Woongarrah	26004
Woonona	26004
Wootton	22080
Wooyung	19560
Worlds End (NSW)	
Woronora	31200
Woronora Dam	
Woronora Heights	28596
Worrigee	20316
Worrowing Heights	20808
Woy Woy	20400
Woy Woy Bay	26004
Wrathall	
Wrights Beach	20340
Wrights Creek (NSW)	
Wuuluman	18468
Wyalong	12996
Wyan	10404
Wyanbene	
Wyangala	10920
Wyangle	26004
Wybong	26004
Wybung	
Wyee	20796
Wyee Point	22104
Wylie Creek	
Wylies Flat	40800
Wymah	16896
Wyndham (NSW)	10404
Wyneden	14544
Wyoming	20796
Wyong	18204
Wyong Creek	26748
Wyongah	19236
Wyrallah	19500
Yabbra	
Yadboro	
Yagon	
Yagoona	24000
Yalbraith	
Yallah	31200
Yallaroi	7812
Yalwal	
Yamba (NSW)	18204
Yambulla	
Yanco	14016
Yanderra	22236
Yanga	
Yankees Creek	
Yannergee	13704
Yantabulla	
Yaouk	
Yarara	
Yarra	24408
Yarrabandai	
Yarrabin	20040
Yarragal	7800
Yarragrin	
Yarragundry	26076
Yarrahapinni	10404
Yarramalong	26004
Yarraman (NSW)	
Yarramundi	26004
Yarranbella	14400
Yarrangobilly	
Yarras (Bathurst Regional - NSW)	
Yarras (Port Macquarie-Hastings - NSW)	18804
Yarratt Forest	
Yarravel	17940
Yarrawa	16200
Yarrawarrah	26400
Yarrawonga (NSW)	17688
Yarrawonga Park	17400
Yarrie Lake	15108
Yarrow	
Yarrowford	
Yarrowitch	2064
Yarrowyck	13908
Yass	21156
Yass River	31200
Yathella	24000
Yattalunga (NSW)	21600
Yatte Yattah	24000
Yaven Creek	10008
Yelgun	14400
Yellow Dam	
Yellow Pinch	12876
Yellow Rock (Blue Mountains - NSW)	24000
Yellow Rock (Shellharbour - NSW)	19200
Yenda (NSW)	15168
Yengo National Park	
Yennora	23400
Yeoval	9612
Yerong Creek	9600
Yerranderie	
Yerrinbool	21600
Yerriyong	18264
Yessabah	17676
Yetholme	16800
Yetman	7668
Yippin Creek	21036
Yoogali	19200
Yorklea	15060
Young	15600
Yowie Bay	33600
Yowrie	15600
Yullundry	
Yuraygir	
Zara	15600
Zetland	26400
