SSC_NAME16	MotorVehicles.min	occupied_private_dwellings
North St Marys	1	478
North St Marys	2	367
North St Marys	3	121
North St Marys	4	63
North Star		4
North Star	0	3
North Star	1	18
North Star	2	28
North Star	3	15
North Star	4	15
North Strathfield		56
North Strathfield	0	187
North Strathfield	1	735
North Strathfield	2	456
North Strathfield	3	117
North Strathfield	4	47
North Sydney		89
North Sydney	0	846
North Sydney	1	1836
North Sydney	2	484
North Sydney	3	84
North Sydney	4	23
North Tamworth		137
North Tamworth	0	172
North Tamworth	1	765
North Tamworth	2	631
North Tamworth	3	169
North Tamworth	4	75
North Tumbulgum		3
North Tumbulgum	1	15
North Tumbulgum	2	41
North Tumbulgum	3	20
North Tumbulgum	4	13
North Turramurra		49
North Turramurra	0	67
North Turramurra	1	537
North Turramurra	2	589
North Turramurra	3	158
North Turramurra	4	59
North Wagga Wagga		12
North Wagga Wagga	0	11
North Wagga Wagga	1	51
North Wagga Wagga	2	81
North Wagga Wagga	3	46
North Wagga Wagga	4	37
North Wahroonga		14
North Wahroonga	0	10
North Wahroonga	1	140
North Wahroonga	2	353
North Wahroonga	3	92
North Wahroonga	4	52
North Willoughby		34
North Willoughby	0	127
North Willoughby	1	647
North Willoughby	2	524
North Willoughby	3	96
North Willoughby	4	37
North Wollongong		40
North Wollongong	0	119
North Wollongong	1	407
North Wollongong	2	240
North Wollongong	3	69
North Wollongong	4	31
North Woodburn		4
North Woodburn	0	4
North Woodburn	1	3
North Woodburn	2	14
North Woodburn	3	8
North Woodburn	4	3
North Yalgogrin	1	3
North Yalgogrin	2	5
North Yalgogrin	3	7
North Yeoval		4
North Yeoval	1	5
North Yeoval	2	17
North Yeoval	3	3
Northangera	1	8
Northangera	2	8
Northangera	3	3
Northbridge (NSW)		41
Northbridge (NSW)	0	89
Northbridge (NSW)	1	643
Northbridge (NSW)	2	894
Northbridge (NSW)	3	260
Northbridge (NSW)	4	95
Northmead		130
Northmead	0	341
Northmead	1	1799
Northmead	2	1472
Northmead	3	373
Northmead	4	145
Northwood (NSW)		3
Northwood (NSW)	0	4
Northwood (NSW)	1	56
Northwood (NSW)	2	161
Northwood (NSW)	3	44
Northwood (NSW)	4	20
Norway	1	3
Norway	2	8
Norway	3	3
Norway	4	7
Nowendoc		3
Nowendoc	1	14
Nowendoc	2	29
Nowendoc	3	5
Nowendoc	4	6
Nowley	1	4
Nowley	2	6
Nowley	3	4
Nowley	4	3
Nowra		219
Nowra	0	477
Nowra	1	1598
Nowra	2	947
Nowra	3	273
Nowra	4	112
Nowra Hill		18
Nowra Hill	0	3
Nowra Hill	1	44
Nowra Hill	2	119
Nowra Hill	3	89
Nowra Hill	4	77
Nubba	1	3
Nubba	2	13
Nubba	3	5
Nubba	4	3
Nulkaba		10
Nulkaba	0	4
Nulkaba	1	33
Nulkaba	2	72
Nulkaba	3	54
Nulkaba	4	37
Nullamanna		3
Nullamanna	1	6
Nullamanna	2	25
Nullamanna	3	15
Nullamanna	4	5
Nullo Mountain	1	3
Nullo Mountain	2	7
Numbaa	1	14
Numbaa	2	26
Numbaa	3	5
Number One	1	7
Numbla Vale	1	3
Numbla Vale	2	3
Numbla Vale	3	4
Numbla Vale	4	4
Numbugga		3
Numbugga	1	12
Numbugga	2	20
Numbugga	3	10
Numeralla		3
Numeralla	1	24
Numeralla	2	29
Numeralla	3	23
Numeralla	4	11
Numinbah	0	3
Numinbah	1	16
Numinbah	2	16
Numinbah	3	5
Numinbah	4	4
Numulgi		3
Numulgi	1	13
Numulgi	2	29
Numulgi	3	11
Numulgi	4	8
Nunderi		3
Nunderi	1	47
Nunderi	2	90
Nunderi	3	49
Nunderi	4	33
Nundle		8
Nundle	0	10
Nundle	1	73
Nundle	2	71
Nundle	3	23
Nundle	4	15
Nymagee		3
Nymagee	1	11
Nymagee	2	9
Nymagee	3	7
Nymagee	4	7
Nymboida	0	3
Nymboida	1	42
Nymboida	2	58
Nymboida	3	13
Nymboida	4	8
Nyngan		44
Nyngan	0	76
Nyngan	1	284
Nyngan	2	283
Nyngan	3	94
Nyngan	4	42
Nyora (NSW)	4	3
Nyrang Creek	3	3
Nyrang Creek	4	3
O'Connell (NSW)		8
O'Connell (NSW)	1	26
O'Connell (NSW)	2	72
O'Connell (NSW)	3	45
O'Connell (NSW)	4	33
Oak Flats		77
Oak Flats	0	104
Oak Flats	1	791
Oak Flats	2	829
Oak Flats	3	319
Oak Flats	4	190
Oakdale (NSW)		25
Oakdale (NSW)	0	11
Oakdale (NSW)	1	125
Oakdale (NSW)	2	190
Oakdale (NSW)	3	117
Oakdale (NSW)	4	116
Oakey Park		4
Oakey Park	0	13
Oakey Park	1	60
Oakey Park	2	40
Oakey Park	3	16
Oakey Park	4	9
Oakhampton		3
Oakhampton	0	5
Oakhampton	1	18
Oakhampton	2	27
Oakhampton	3	5
Oakhampton	4	9
Oakhampton Heights	1	3
Oakhampton Heights	2	18
Oakhampton Heights	3	8
Oakhampton Heights	4	7
Oakhurst (NSW)		49
Oakhurst (NSW)	0	57
Oakhurst (NSW)	1	504
Oakhurst (NSW)	2	784
Oakhurst (NSW)	3	334
Oakhurst (NSW)	4	171
Oaklands		12
Oaklands	0	7
Oaklands	1	43
Oaklands	2	56
Oaklands	3	13
Oaklands	4	12
Oakville		20
Oakville	0	4
Oakville	1	61
Oakville	2	188
Oakville	3	144
Oakville	4	165
Oakwood (NSW)		3
Oakwood (NSW)	1	11
Oakwood (NSW)	2	33
Oakwood (NSW)	3	12
Oakwood (NSW)	4	5
Oallen	1	14
Oallen	2	18
Oallen	3	8
Oallen	4	7
Oatlands (NSW)		50
Oatlands (NSW)	0	76
Oatlands (NSW)	1	542
Oatlands (NSW)	2	706
Oatlands (NSW)	3	238
Oatlands (NSW)	4	162
Oatley		79
Oatley	0	175
Oatley	1	1317
Oatley	2	1390
Oatley	3	394
Oatley	4	215
Obanvale	2	3
Oberne Creek	1	3
Oberne Creek	2	3
Oberne Creek	3	3
Oberne Creek	4	5
Oberon		55
Oberon	0	63
Oberon	1	385
Oberon	2	456
Oberon	3	169
Oberon	4	87
Obley	1	3
Obley	2	16
Obley	3	11
Obley	4	6
Ocean Shores		71
Ocean Shores	0	48
Ocean Shores	1	763
Ocean Shores	2	833
Ocean Shores	3	211
Ocean Shores	4	79
Ogunbil		3
Ogunbil	1	16
Ogunbil	2	18
Ogunbil	3	18
Ogunbil	4	8
Old Adaminaby	1	6
Old Adaminaby	2	3
Old Adaminaby	3	6
Old Bar		86
Old Bar	0	76
Old Bar	1	730
Old Bar	2	658
Old Bar	3	171
Old Bar	4	63
Old Bonalbo	0	3
Old Bonalbo	1	10
Old Bonalbo	2	10
Old Bonalbo	3	3
Old Erowal Bay		27
Old Erowal Bay	0	12
Old Erowal Bay	1	162
Old Erowal Bay	2	138
Old Erowal Bay	3	46
Old Erowal Bay	4	16
Old Grevillia	1	10
Old Grevillia	2	3
Old Grevillia	3	3
Old Guildford		36
Old Guildford	0	31
Old Guildford	1	197
Old Guildford	2	210
Old Guildford	3	101
Old Guildford	4	77
Old Junee	1	23
Old Junee	2	37
Old Junee	3	18
Old Junee	4	12
Old Mill	1	3
Old Mill	2	3
Old Station	1	7
Old Station	2	3
Old Station	4	3
Old Toongabbie		28
Old Toongabbie	0	66
Old Toongabbie	1	344
Old Toongabbie	2	431
Old Toongabbie	3	133
Old Toongabbie	4	66
Olinda (NSW)	2	3
Olinda (NSW)	3	3
One Mile (NSW)		4
One Mile (NSW)	1	58
One Mile (NSW)	2	48
One Mile (NSW)	3	29
One Mile (NSW)	4	17
One Tree	2	5
Oolong	1	3
Oolong	2	7
Oolong	3	3
Oolong	4	3
Ooma	2	8
Ooma	4	6
Ootha	1	3
Ootha	2	5
Ootha	3	7
Ootha	4	5
Ophir	2	19
Ophir	3	14
Ophir	4	4
Oran Park		63
Oran Park	0	11
Oran Park	1	289
Oran Park	2	689
Oran Park	3	241
Oran Park	4	103
Orange		610
Orange	0	1012
Orange	1	5152
Orange	2	5161
Orange	3	1439
Orange	4	603
Orange Grove (NSW)	1	5
Orange Grove (NSW)	2	5
Orange Grove (NSW)	3	4
Orange Grove (NSW)	4	3
Orangeville		7
Orangeville	0	8
Orangeville	1	25
Orangeville	2	130
Orangeville	3	84
Orangeville	4	105
Orchard Hills		17
Orchard Hills	0	6
Orchard Hills	1	71
Orchard Hills	2	173
Orchard Hills	3	117
Orchard Hills	4	148
Orient Point		14
Orient Point	0	11
Orient Point	1	115
Orient Point	2	73
Orient Point	3	19
Orient Point	4	7
Orton Park	3	3
Orton Park	4	3
Osborne (NSW)	2	3
Osborne (NSW)	3	3
Osborne (NSW)	4	4
Osterley (NSW)	1	5
Osterley (NSW)	2	15
Osterley (NSW)	3	14
Osterley (NSW)	4	7
Oswald	1	9
Oswald	2	8
Oswald	3	8
Oswald	4	3
Otford		5
Otford	1	39
Otford	2	56
Otford	3	11
Otford	4	11
Oura	0	3
Oura	1	8
Oura	2	32
Oura	3	12
Oura	4	8
Ourimbah		27
Ourimbah	0	34
Ourimbah	1	435
Ourimbah	2	583
Ourimbah	3	178
Ourimbah	4	124
Ournie	2	6
Ournie	3	3
Ournie	4	3
Owens Gap	1	3
Owens Gap	2	6
Owens Gap	3	6
Oxford Falls		3
Oxford Falls	1	8
Oxford Falls	2	11
Oxford Falls	3	3
Oxford Falls	4	14
Oxley (Balranald - NSW)	1	4
Oxley (Balranald - NSW)	2	6
Oxley (Balranald - NSW)	3	4
Oxley Island	0	3
Oxley Island	1	26
Oxley Island	2	37
Oxley Island	3	19
Oxley Island	4	16
Oxley Park		44
Oxley Park	0	65
Oxley Park	1	396
Oxley Park	2	341
Oxley Park	3	108
Oxley Park	4	53
Oxley Vale		52
Oxley Vale	0	64
Oxley Vale	1	457
Oxley Vale	2	498
Oxley Vale	3	132
Oxley Vale	4	56
Oyster Bay		31
Oyster Bay	0	40
Oyster Bay	1	373
Oyster Bay	2	847
Oyster Bay	3	263
Oyster Bay	4	152
Oyster Cove (NSW)		3
Oyster Cove (NSW)	1	10
Oyster Cove (NSW)	2	9
Oyster Cove (NSW)	3	8
Oyster Cove (NSW)	4	3
Packsaddle	2	7
Packsaddle	3	5
Packsaddle	4	6
Paddington (NSW)		163
Paddington (NSW)	0	1090
Paddington (NSW)	1	2670
Paddington (NSW)	2	1126
Paddington (NSW)	3	184
Paddington (NSW)	4	62
Paddys Flat (Kyogle - NSW)	3	3
Paddys River (Snowy Valleys - NSW)	1	4
Paddys River (Wingecarribee - NSW)	1	7
Paddys River (Wingecarribee - NSW)	2	5
Paddys River (Wingecarribee - NSW)	3	4
Paddys River (Wingecarribee - NSW)	4	3
Padstow		136
Padstow	0	402
Padstow	1	1635
Padstow	2	1555
Padstow	3	497
Padstow	4	250
Padstow Heights		39
Padstow Heights	0	95
Padstow Heights	1	381
Padstow Heights	2	435
Padstow Heights	3	180
Padstow Heights	4	99
Pagewood		51
Pagewood	0	139
Pagewood	1	422
Pagewood	2	426
Pagewood	3	147
Pagewood	4	68
Palarang	1	5
Palarang	2	7
Palarang	3	5
Palarang	4	3
Paling Yards (Bathurst Regional - NSW)	2	4
Paling Yards (Oberon - NSW)	2	4
Pallal		3
Pallal	1	5
Pallal	2	8
Pallal	3	6
Pallal	4	3
Pallamallawa		9
Pallamallawa	0	3
Pallamallawa	1	42
Pallamallawa	2	70
Pallamallawa	3	24
Pallamallawa	4	16
Palm Beach (NSW)		17
Palm Beach (NSW)	0	18
Palm Beach (NSW)	1	183
Palm Beach (NSW)	2	258
Palm Beach (NSW)	3	78
Palm Beach (NSW)	4	39
Palm Grove (NSW)		3
Palm Grove (NSW)	1	10
Palm Grove (NSW)	2	10
Palm Grove (NSW)	3	4
Palm Grove (NSW)	4	4
Palmdale (NSW)	1	8
Palmdale (NSW)	2	10
Palmdale (NSW)	3	5
Palmdale (NSW)	4	10
Palmers Channel		3
Palmers Channel	1	5
Palmers Channel	2	28
Palmers Channel	3	5
Palmers Channel	4	4
Palmers Island		4
Palmers Island	1	29
Palmers Island	2	86
Palmers Island	3	28
Palmers Island	4	16
Palmers Oaky	1	3
Palmers Oaky	2	4
Palmers Oaky	4	3
Palmvale	1	5
Palmvale	2	11
Palmvale	3	3
Palmvale	4	3
Palmwoods (NSW)		4
Palmwoods (NSW)	1	15
Palmwoods (NSW)	2	10
Palmwoods (NSW)	3	5
Pambula		17
Pambula	0	27
Pambula	1	162
Pambula	2	120
Pambula	3	39
Pambula	4	13
Pambula Beach		13
Pambula Beach	0	5
Pambula Beach	1	105
Pambula Beach	2	115
Pambula Beach	3	32
Pambula Beach	4	7
Pampoolah		10
Pampoolah	1	29
Pampoolah	2	52
Pampoolah	3	31
Pampoolah	4	13
Pan Ban	2	3
Pan Ban	3	3
Panania		123
Panania	0	363
Panania	1	1350
Panania	2	1513
Panania	3	520
Panania	4	263
Panuara	1	8
Panuara	2	8
Panuara	3	6
Panuara	4	5
Pappinbarra	1	11
Pappinbarra	2	9
Pappinbarra	3	6
Paradise (NSW)	3	3
Parkes (NSW)		199
Parkes (NSW)	0	315
Parkes (NSW)	1	1433
Parkes (NSW)	2	1402
Parkes (NSW)	3	508
Parkes (NSW)	4	240
Parkesbourne	1	11
Parkesbourne	2	30
Parkesbourne	3	9
Parkesbourne	4	7
Parklea		12
Parklea	0	6
Parklea	1	154
Parklea	2	325
Parklea	3	110
Parklea	4	54
Parkville (NSW)		5
Parkville (NSW)	0	4
Parkville (NSW)	1	28
Parkville (NSW)	2	37
Parkville (NSW)	3	26
Parkville (NSW)	4	4
Parma		3
Parma	1	10
Parma	2	26
Parma	3	10
Parma	4	6
Parramatta		321
Parramatta	0	2252
Parramatta	1	4675
Parramatta	2	1332
Parramatta	3	219
Parramatta	4	119
Parraweena	2	10
Parraweena	4	3
Patchs Beach		5
Patchs Beach	1	3
Patchs Beach	2	8
Paterson (NSW)		6
Paterson (NSW)	0	6
Paterson (NSW)	1	54
Paterson (NSW)	2	134
Paterson (NSW)	3	60
Paterson (NSW)	4	39
Patonga	0	4
Patonga	1	61
Patonga	2	30
Patonga	3	6
Patonga	4	3
Paupong	4	3
Paxton		4
Paxton	0	11
Paxton	1	95
Paxton	2	108
Paxton	3	59
Paxton	4	23
Paynes Crossing		3
Paynes Crossing	1	10
Paynes Crossing	2	14
Paynes Crossing	3	8
Paytens Bridge		3
Paytens Bridge	1	3
Paytens Bridge	2	16
Paytens Bridge	3	3
Paytens Bridge	4	7
Peacock Creek	1	6
Peacock Creek	2	3
Peak Hill (NSW)		22
Peak Hill (NSW)	0	45
Peak Hill (NSW)	1	166
Peak Hill (NSW)	2	133
Peak Hill (NSW)	3	56
Peak Hill (NSW)	4	34
Peak View	1	3
Peak View	2	5
Peak View	3	3
Peak View	4	7
Peakhurst		104
Peakhurst	0	310
Peakhurst	1	1129
Peakhurst	2	1279
Peakhurst	3	443
Peakhurst	4	184
Peakhurst Heights		21
Peakhurst Heights	0	44
Peakhurst Heights	1	213
Peakhurst Heights	2	350
Peakhurst Heights	3	111
Peakhurst Heights	4	70
Pearces Creek		3
Pearces Creek	1	13
Pearces Creek	2	28
Pearces Creek	3	10
Pearces Creek	4	10
Pearl Beach		3
Pearl Beach	0	11
Pearl Beach	1	115
Pearl Beach	2	83
Pearl Beach	3	12
Pearl Beach	4	7
Peats Ridge		8
Peats Ridge	0	3
Peats Ridge	1	29
Peats Ridge	2	39
Peats Ridge	3	21
Peats Ridge	4	18
Peel		4
Peel	1	15
Peel	2	29
Peel	3	26
Peel	4	11
Peelwood	2	3
Peelwood	3	3
Peelwood	4	3
Pejar	2	6
Pejar	3	6
Pejar	4	3
Pelaw Main		19
Pelaw Main	0	25
Pelaw Main	1	147
Pelaw Main	2	143
Pelaw Main	3	47
Pelaw Main	4	23
Pelican (NSW)		19
Pelican (NSW)	0	21
Pelican (NSW)	1	116
Pelican (NSW)	2	115
Pelican (NSW)	3	55
Pelican (NSW)	4	24
Pelton	1	13
Pelton	2	15
Pelton	3	7
Pembrooke	1	13
Pembrooke	2	17
Pembrooke	3	3
Pembrooke	4	6
Pemulwuy		26
Pemulwuy	0	27
Pemulwuy	1	450
Pemulwuy	2	773
Pemulwuy	3	175
Pemulwuy	4	74
Pendle Hill		95
Pendle Hill	0	298
Pendle Hill	1	992
Pendle Hill	2	663
Pendle Hill	3	174
Pendle Hill	4	78
Pennant Hills		68
Pennant Hills	0	125
Pennant Hills	1	939
Pennant Hills	2	939
Pennant Hills	3	274
Pennant Hills	4	111
Penrith		327
Penrith	0	875
Penrith	1	2305
Penrith	2	1326
Penrith	3	362
Penrith	4	170
Penrose		4
Penrose	1	27
Penrose	2	35
Penrose	3	14
Penrose	4	8
Penshurst (NSW)		128
Penshurst (NSW)	0	564
Penshurst (NSW)	1	2001
Penshurst (NSW)	2	1225
Penshurst (NSW)	3	320
Penshurst (NSW)	4	142
Pericoe	1	3
Perthville		5
Perthville	0	4
Perthville	1	39
Perthville	2	88
Perthville	3	42
Perthville	4	26
Petersham		95
Petersham	0	648
Petersham	1	1537
Petersham	2	703
Petersham	3	122
Petersham	4	41
Pheasants Nest		11
Pheasants Nest	1	23
Pheasants Nest	2	61
Pheasants Nest	3	50
Pheasants Nest	4	51
Phegans Bay		5
Phegans Bay	0	3
Phegans Bay	1	54
Phegans Bay	2	70
Phegans Bay	3	19
Phegans Bay	4	15
Phillip Bay		4
Phillip Bay	0	25
Phillip Bay	1	57
Phillip Bay	2	76
Phillip Bay	3	35
Phillip Bay	4	24
Phoenix Park	1	7
Phoenix Park	2	11
Phoenix Park	3	3
Phoenix Park	4	11
Piallamore	1	9
Piallamore	2	39
Piallamore	3	26
Piallamore	4	13
Piallaway		7
Piallaway	1	7
Piallaway	2	23
Piallaway	3	6
Piallaway	4	5
Piambong	1	7
Piambong	2	17
Piambong	3	13
Piambong	4	12
Picketts Valley	1	10
Picketts Valley	2	22
Picketts Valley	3	15
Picketts Valley	4	11
Picnic Point		49
Picnic Point	0	62
Picnic Point	1	520
Picnic Point	2	872
Picnic Point	3	301
Picnic Point	4	174
Picton (NSW)		50
Picton (NSW)	0	56
Picton (NSW)	1	398
Picton (NSW)	2	610
Picton (NSW)	3	273
Picton (NSW)	4	212
Pigeonbah	2	3
Piggabeen		3
Piggabeen	1	23
Piggabeen	2	43
Piggabeen	3	19
Piggabeen	4	19
Pillar Valley		4
Pillar Valley	0	3
Pillar Valley	1	31
Pillar Valley	2	46
Pillar Valley	3	26
Pillar Valley	4	7
Pilliga		7
Pilliga	0	3
Pilliga	1	28
Pilliga	2	18
Pilliga	3	3
Pilliga	4	6
Pimlico (NSW)		3
Pimlico (NSW)	0	4
Pimlico (NSW)	1	33
Pimlico (NSW)	2	33
Pimlico (NSW)	3	19
Pimlico (NSW)	4	16
Pindaroi	1	3
Pindaroi	2	8
Pindaroi	4	5
Pindimar		3
Pindimar	1	38
Pindimar	2	64
Pindimar	3	21
Pindimar	4	18
Pine Camp	3	3
Pine Clump	2	3
Pine Lodge (NSW)	1	7
Pine Lodge (NSW)	2	11
Pine Lodge (NSW)	3	3
Pine Lodge (NSW)	4	3
Pine Ridge	1	6
Pine Ridge	2	7
Pine Ridge	3	13
Pine Ridge	4	6
Pine Valley	2	7
Piney Range	2	8
Piney Range	3	3
Piney Range	4	8
Pinkett	1	6
Pinkett	2	6
Pinkett	4	3
Pinnacle (NSW)	1	6
Pinnacle (NSW)	2	5
Pinnacle (NSW)	4	4
Pinnacle Swamp		3
Pinnacle Swamp	2	9
Pinnacle Swamp	3	3
Piora		6
Piora	1	6
Piora	2	12
Piora	3	6
Pipeclay		3
Pipeclay	1	3
Pipeclay	2	10
Pipeclay	3	3
Pipeclay	4	3
Pitnacree	1	3
Pitnacree	2	6
Pitnacree	4	6
Pitt Town		20
Pitt Town	0	8
Pitt Town	1	132
Pitt Town	2	411
Pitt Town	3	199
Pitt Town	4	140
Pitt Town Bottoms	1	6
Pitt Town Bottoms	2	3
Pitt Town Bottoms	4	12
Pleasant Hills	1	10
Pleasant Hills	2	13
Pleasant Hills	3	12
Pleasant Hills	4	12
Pleasure Point	0	3
Pleasure Point	1	23
Pleasure Point	2	71
Pleasure Point	3	25
Pleasure Point	4	27
Plumpton (NSW)		76
Plumpton (NSW)	0	87
Plumpton (NSW)	1	639
Plumpton (NSW)	2	1023
Plumpton (NSW)	3	415
Plumpton (NSW)	4	215
Point Clare		49
Point Clare	0	102
Point Clare	1	542
Point Clare	2	512
Point Clare	3	153
Point Clare	4	56
Point Frederick		40
Point Frederick	0	98
Point Frederick	1	322
Point Frederick	2	263
Point Frederick	3	69
Point Frederick	4	28
Point Piper		19
Point Piper	0	31
Point Piper	1	199
Point Piper	2	187
Point Piper	3	74
Point Piper	4	25
Pointer Mountain	2	3
Pokolbin		8
Pokolbin	0	7
Pokolbin	1	65
Pokolbin	2	171
Pokolbin	3	62
Pokolbin	4	19
Pola Creek	1	9
Pola Creek	2	11
Pola Creek	3	3
Pola Creek	4	3
Polo Flat	1	3
Polo Flat	2	7
Pomeroy	1	5
Pomeroy	2	10
Pomeroy	3	7
Pomeroy	4	9
Pomona (NSW)		4
Pomona (NSW)	0	5
Pomona (NSW)	1	12
Pomona (NSW)	2	23
Pomona (NSW)	3	9
Pomona (NSW)	4	11
Ponto	2	5
Ponto	3	3
Ponto	4	3
Pooncarie		4
Pooncarie	1	9
Pooncarie	2	19
Pooncarie	3	7
Pooncarie	4	3
Port Hacking		3
Port Hacking	0	9
Port Hacking	1	63
Port Hacking	2	149
Port Hacking	3	80
Port Hacking	4	39
Port Kembla		98
Port Kembla	0	274
Port Kembla	1	704
Port Kembla	2	514
Port Kembla	3	189
Port Kembla	4	104
Port Macquarie		752
Port Macquarie	0	1305
Port Macquarie	1	7607
Port Macquarie	2	6270
Port Macquarie	3	1524
Port Macquarie	4	629
Porters Retreat		3
Porters Retreat	1	5
Porters Retreat	2	9
Porters Retreat	3	5
Porters Retreat	4	3
Portland (NSW)		40
Portland (NSW)	0	41
Portland (NSW)	1	280
Portland (NSW)	2	309
Portland (NSW)	3	125
Portland (NSW)	4	71
Possum Brush	1	19
Possum Brush	2	24
Possum Brush	3	6
Possum Creek		3
Possum Creek	1	23
Possum Creek	2	44
Possum Creek	3	14
Possum Creek	4	13
Potato Point		5
Potato Point	1	19
Potato Point	2	29
Potato Point	3	3
Potato Point	4	3
Pottery Estate	0	9
Pottery Estate	1	24
Pottery Estate	2	11
Pottery Estate	3	3
Pottery Estate	4	3
Potts Hill		3
Potts Hill	0	7
Potts Hill	1	88
Potts Hill	2	102
Potts Hill	3	36
Potts Hill	4	11
Potts Point		114
Potts Point	0	1986
Potts Point	1	1273
Potts Point	2	203
Potts Point	3	17
Potts Point	4	15
Pottsville		77
Pottsville	0	53
Pottsville	1	806
Pottsville	2	1072
Pottsville	3	229
Pottsville	4	101
Prairiewood		22
Prairiewood	0	61
Prairiewood	1	287
Prairiewood	2	374
Prairiewood	3	139
Prairiewood	4	84
Premer		3
Premer	0	3
Premer	1	8
Premer	2	10
Premer	3	6
Premer	4	3
Prestons		110
Prestons	0	108
Prestons	1	868
Prestons	2	1772
Prestons	3	748
Prestons	4	399
Pretty Beach (Central Coast - NSW)	1	45
Pretty Beach (Central Coast - NSW)	2	54
Pretty Beach (Central Coast - NSW)	3	16
Pretty Beach (Central Coast - NSW)	4	6
Pretty Pine	1	3
Pretty Pine	2	8
Pretty Pine	3	5
Pretty Pine	4	3
Primbee		31
Primbee	0	59
Primbee	1	201
Primbee	2	196
Primbee	3	88
Primbee	4	47
Primrose Valley	1	14
Primrose Valley	2	18
Primrose Valley	3	6
Primrose Valley	4	7
Prospect (NSW)		43
Prospect (NSW)	0	50
Prospect (NSW)	1	372
Prospect (NSW)	2	612
Prospect (NSW)	3	248
Prospect (NSW)	4	141
Pucawan	2	5
Pucawan	3	3
Pucawan	4	4
Puddledock	2	11
Puddledock	3	3
Puddledock	4	3
Pullabooka	2	5
Pullabooka	4	9
Pulletop	1	6
Pulletop	2	6
Pulletop	3	3
Pulletop	4	6
Pumpenbil		4
Pumpenbil	1	27
Pumpenbil	2	29
Pumpenbil	3	3
Pumpenbil	4	8
Punchbowl (Canterbury-Bankstown - NSW)		259
Punchbowl (Canterbury-Bankstown - NSW)	0	589
Punchbowl (Canterbury-Bankstown - NSW)	1	2078
Punchbowl (Canterbury-Bankstown - NSW)	2	1721
Punchbowl (Canterbury-Bankstown - NSW)	3	662
Punchbowl (Canterbury-Bankstown - NSW)	4	391
Purfleet	0	14
Purfleet	1	14
Purfleet	2	3
Purlewaugh	1	4
Purlewaugh	2	18
Purlewaugh	3	7
Purlewaugh	4	6
Putney		32
Putney	0	44
Putney	1	324
Putney	2	550
Putney	3	223
Putney	4	130
Putta Bucca	1	10
Putta Bucca	2	29
Putta Bucca	3	15
Putta Bucca	4	12
Putty	1	7
Putty	2	8
Putty	3	9
Putty	4	3
Pymble		58
Pymble	0	89
Pymble	1	957
Pymble	2	1648
Pymble	3	498
Pymble	4	205
Pyramul	1	10
Pyramul	2	11
Pyramul	3	4
Pyramul	4	4
Pyree	1	10
Pyree	2	19
Pyree	3	5
Pyree	4	7
Pyrmont		196
Pyrmont	0	1554
Pyrmont	1	2739
Pyrmont	2	768
Pyrmont	3	85
Pyrmont	4	23
Quaama		3
Quaama	1	51
Quaama	2	47
Quaama	3	17
Quaama	4	8
Quakers Hill		192
Quakers Hill	0	269
Quakers Hill	1	2504
Quakers Hill	2	3574
Quakers Hill	3	1078
Quakers Hill	4	576
Quambone		3
Quambone	0	3
Quambone	1	21
Quambone	2	21
Quambone	3	11
Quambone	4	3
Quanda	1	3
Quandary	2	5
Quandary	4	3
Quandialla	0	3
Quandialla	1	15
Quandialla	2	25
Quandialla	3	9
Quandialla	4	13
Queanbeyan		108
Queanbeyan	0	245
Queanbeyan	1	1253
Queanbeyan	2	763
Queanbeyan	3	179
Queanbeyan	4	80
Queanbeyan East		67
Queanbeyan East	0	131
Queanbeyan East	1	868
Queanbeyan East	2	527
Queanbeyan East	3	109
Queanbeyan East	4	49
Queanbeyan West		38
Queanbeyan West	0	40
Queanbeyan West	1	348
Queanbeyan West	2	447
Queanbeyan West	3	158
Queanbeyan West	4	93
Queens Park (NSW)		25
Queens Park (NSW)	0	130
Queens Park (NSW)	1	511
Queens Park (NSW)	2	335
Queens Park (NSW)	3	67
Queens Park (NSW)	4	21
Queens Pinch	2	7
Queenscliff (NSW)		38
Queenscliff (NSW)	0	104
Queenscliff (NSW)	1	705
Queenscliff (NSW)	2	457
Queenscliff (NSW)	3	90
Queenscliff (NSW)	4	27
Quialigo		4
Quialigo	1	10
Quialigo	2	46
Quialigo	3	19
Quialigo	4	10
Quidong	1	3
Quipolly	1	8
Quipolly	2	22
Quipolly	3	17
Quipolly	4	8
Quirindi		51
Quirindi	0	91
Quirindi	1	480
Quirindi	2	453
Quirindi	3	170
Quirindi	4	83
Quorrobolong		3
Quorrobolong	0	3
Quorrobolong	1	27
Quorrobolong	2	64
Quorrobolong	3	27
Quorrobolong	4	37
Raby		47
Raby	0	35
Raby	1	503
Raby	2	787
Raby	3	322
Raby	4	190
Raglan (NSW)		11
Raglan (NSW)	0	11
Raglan (NSW)	1	91
Raglan (NSW)	2	161
Raglan (NSW)	3	77
Raglan (NSW)	4	46
Rainbow Flat		14
Rainbow Flat	0	3
Rainbow Flat	1	37
Rainbow Flat	2	114
Rainbow Flat	3	47
Rainbow Flat	4	25
Rainbow Reach	1	7
Rainbow Reach	2	12
Rainbow Reach	3	7
Rainbow Reach	4	3
Raleigh		4
Raleigh	0	4
Raleigh	1	50
Raleigh	2	91
Raleigh	3	37
Raleigh	4	26
Ramornie		3
Ramornie	1	20
Ramornie	2	41
Ramornie	3	3
Ramornie	4	3
Ramsgate		16
