SSC_NAME16	medianTotalFamilyIncome
Uriarra	116948
Urila	123448
Urliup	62816
Urunga	59540
Utungun	62816
Vacy	98020
Vale Of Clwydd	57720
Valentine	106548
Valery	63648
Valla	72696
Valla Beach	64324
Valley Heights	106808
Varroville	92612
Vaucluse	178568
Verges Creek	79300
Verona	61360
Villawood	51636
Vincentia	78832
Vineyard	87308
Violet Hill	
Vittoria (NSW)	100724
Voyager Point	143624
Wadalba	95056
Wadbilliga	
Wadeville	37700
Wagga Wagga	86476
Wagstaffe	115336
Wahroonga	156260
Waitara	104780
Waitui	81224
Wakefield	102336
Wakeley	73736
Wakool	57200
Walang	84500
Walbundrie	63336
Walcha	71344
Walcha Road	66612
Waldegrave	149448
Walgett	60528
Walla Walla	68224
Wallabadah	59176
Wallabi Point	90428
Wallacetown	
Wallacia	100932
Wallaga Lake	53976
Wallagoot	69524
Wallalong	110084
Wallamore	97500
Wallanbah	53248
Wallangra	40560
Wallanthery	49348
Wallarah	82628
Wallaringa	58500
Wallarobba	76648
Wallaroo (NSW)	132964
Wallendbeen	76076
Wallerawang	76440
Walleroobie	86632
Wallingat	
Wallis Lake	
Wallsend	73840
Walmer (NSW)	71500
Wamban	58500
Wambangalang	107224
Wamberal	113672
Wamboin	165152
Wambool	117000
Wambrook	58500
Wanaaring	58500
Wandandian	85384
Wandella (NSW)	55224
Wandera	
Wandook	58500
Wandsworth	84448
Wang Wauk	50024
Wanganella	100724
Wanganui	61724
Wangi Wangi	72696
Wantabadgery	74724
Wantagong	139724
Wantiool	97500
Wapengo	58500
Warabrook	85124
Waratah (NSW)	81744
Waratah West	70096
Warburn	84448
Wardell	60424
Wardrop Valley	50232
Wards Mistake	46748
Wards River	42484
Wareemba	124072
Warialda	59748
Warialda Rail	46800
Warilla	58708
Warkworth	108316
Warners Bay	82576
Warnervale	91832
Warrabah	
Warraderry	81224
Warragai Creek	68224
Warragamba	90636
Warragoon	68224
Warrah	84500
Warrah Creek	68224
Warrah Ridge	108316
Warral	91832
Warranulla	40248
Warrawee	183404
Warrawidgee	87724
Warrawong	50076
Warrazambil Creek	55224
Warregah Island	58448
Warrell Creek	70980
Warren	71500
Warri	138632
Warriewood	123032
Warrimoo	118976
Warroo (NSW)	97500
Warrumbungle	
Warwick Farm	62504
Washpool (Clarence Valley - NSW)	
Washpool (Mid-Coast - NSW)	82316
Watagan	62816
Watanobbi	70876
Waterfall	102336
Waterloo (NSW)	115284
Watersleigh	87724
Waterview	61724
Waterview Heights	67756
Watsons Bay	176748
Watsons Creek (NSW)	46800
Wattamolla	71500
Wattamondara	76336
Wattle Flat (NSW)	45760
Wattle Grove (NSW)	116428
Wattle Ponds	138424
Wattle Ridge (NSW)	
Wattle Springs	55224
Watton	112632
Wauchope	59540
Waugorah	59748
Waukivory	43316
Waverley (NSW)	153244
Waverly	110448
Waverton	166088
Way Way	71500
Wayo	84448
Weabonga	36920
Wean	90948
Webbers Creek	168948
Webbs Creek	97500
Wedderburn (NSW)	103480
Wee Jasper	67184
Wee Waa	75088
Weedallion	
Weemelah	84500
Weetaliba	39624
Weethalle	58500
Weilmoringle	31824
Weismantels	37648
Welaregang	61724
Welby	68068
Wellingrove	60632
Wellington (NSW)	54080
Wellington Vale	71448
Wells Crossing	54184
Wendoree Park	114400
Wentworth (NSW)	53716
Wentworth Falls	81640
Wentworth Point	109876
Wentworthville	93704
Werai	99632
Wereboldera	
Wermatong	110500
Werombi	106704
Werri Beach	93652
Werrikimbe	
Werrington	73840
Werrington County	96616
Werrington Downs	103584
Werris Creek	57408
West Albury	80340
West Ballina	58916
West Bathurst	68380
West Bungawalbin	44148
West Coraki	46748
West Gosford	69784
West Haven	52208
West Hoxton	109772
West Kempsey	50856
West Nowra	66976
West Pennant Hills	147160
West Pymble	170196
West Ryde	98956
West Tamworth	55536
West Wallsend	74412
West Wiangaree	73632
West Wollongong	91416
West Wyalong	75556
Westbrook (NSW)	117000
Westdale (Snowy Valleys - NSW)	
Westdale (Tamworth Regional - NSW)	78104
Westleigh	140088
Westmead	104104
Weston (NSW)	66560
Westwood (NSW)	
Wetherill Park	79508
Wetuppa	
Whalan	61204
Whale Beach	152048
Wheeler Heights	127504
Wheeny Creek	162500
Wheeo	50648
Wherrol Flat	59072
Whian Whian	98748
Whiporie	68224
White Cliffs	54132
White Rock (NSW)	117000
Whitebridge	99528
Whiteman Creek	56628
Whitlow	94224
Whittingham	88348
Whitton	64428
Whoota	87724
Wiagdon	87724
Wiangaree	46800
Wiarborough	
Wickham (NSW)	108160
Widden	97500
Widgelli	71448
Wilberforce (NSW)	108056
Wilbetree	110500
Wilcannia	61152
Wild Cattle Creek	
Wildes Meadow	117000
Wiley Park	57720
Willala	82316
Willawarrin	68588
Willbriggie	87724
Willi Willi	49348
Williamsdale	143000
Williamtown	75816
Willigobung	67132
Willina	46800
Willmot	48308
Willoughby (NSW)	166972
Willoughby East	206076
Willow Tree	53300
Willow Vale (Kiama - NSW)	97500
Willow Vale (Wingecarribee - NSW)	86892
Willurah	
Wilpinjong	
Wilsons Creek	63648
Wilton (NSW)	129012
Wimbledon	108316
Wimborne	117000
Winburndale	
Windale	42640
Windang	66664
Windella	124540
Windellama	70408
Windera (NSW)	128076
Windermere (NSW)	113724
Windermere Park	69160
Windeyer (NSW)	48516
Windowie	68224
Windradyne	82524
Windsor (NSW)	90636
Windsor Downs	123448
Windy	
Winegrove	46800
Wingadee	7800
Wingello	68640
Wingen	84500
Wingham	59800
Winifred	74724
Winmalee	105300
Winston Hills	115544
Winton (NSW)	78884
Wirlinga	110500
Wirraba	
Wirragulla	46800
Wirrimah	50232
Wirrimbi	69836
Wirrinya	71448
Wisemans Creek	75816
Wisemans Ferry	75816
Wittitrin	58448
Wog Wog (Bega Valley - NSW)	
Wog Wog (Queanbeyan-Palerang Regional - NSW)	
Woko	
Wolgan Valley	117000
Wollangambe	
Wollar	53248
Wollemi	
Wolli Creek	102336
Wollogorang	108316
Wollombi	69628
Wollomombi	99320
Wollongbar	77012
Wollongong	80392
Wollstonecraft	164164
Wollumboola	58500
Wollun	74724
Wolumla	70564
Wombarra	120900
Wombat	77116
Wombat Creek (NSW)	
Wombeyan Caves	53248
Womboota	61724
Womerah	
Wonboyn	49348
Wonboyn North	
Wondabyne	
Wondalga	86112
Wongarbon	89024
Wongawilli	115128
Wongo Creek	46800
Wongwibinda	84448
Woodberry	60216
Woodbine (NSW)	84136
Woodburn (Richmond Valley - NSW)	62660
Woodburn (Shoalhaven - NSW)	86632
Woodcroft (NSW)	115492
Woodenbong	61724
Woodford (NSW)	95108
Woodford Island	80132
Woodhill (NSW)	94224
Woodhouselee	143000
Woodlands (Eurobodalla - NSW)	67184
Woodlands (Wingecarribee - NSW)	106860
Woodlawn	97448
Woodpark	86320
Woodrising	77688
Woodside (NSW)	68224
Woodsreef	63336
Woodstock (Cowra - NSW)	54860
Woodstock (Inverell - NSW)	143000
Woodstock (Shoalhaven - NSW)	73632
Woodview	75192
Woodville (NSW)	92872
Woody Head	
Woolbrook	54132
Woolgarlo	71500
Woolgoolga	62920
Wooli	49348
Woollahra	189592
Woollamia	76284
Woolloomooloo	135928
Woolners Arm	
Woolomin	54964
Woolooma	71500
Woolooware	125372
Wooloweyah	85124
Woolwich	202956
Woomargama	69836
Woombah	51012
Woongarrah	100100
Woonona	102648
Wootton	46800
Wooyung	60632
Worlds End (NSW)	
Woronora	124852
Woronora Dam	
Woronora Heights	147264
Worrigee	75296
Worrowing Heights	45604
Woy Woy	67756
Woy Woy Bay	108108
Wrathall	61724
Wrights Beach	56836
Wrights Creek (NSW)	
Wuuluman	84448
Wyalong	69212
Wyan	57408
Wyanbene	77948
Wyangala	49140
Wyangle	123448
Wybong	64012
Wybung	
Wyee	74256
Wyee Point	81952
Wylie Creek	
Wylies Flat	108316
Wymah	84500
Wyndham (NSW)	52572
Wyneden	68224
Wyoming	79716
Wyong	59800
Wyong Creek	99112
Wyongah	76440
Wyrallah	83200
Yabbra	
Yadboro	
Yagon	
Yagoona	69836
Yalbraith	31824
Yallah	139256
Yallaroi	107224
Yalwal	
Yamba (NSW)	56628
Yambulla	
Yanco	63856
Yanderra	96720
Yanga	
Yankees Creek	
Yannergee	71500
Yantabulla	
Yaouk	58500
Yarara	143000
Yarra	84500
Yarrabandai	58500
Yarrabin	46800
Yarragal	59748
Yarragrin	64948
Yarragundry	108316
Yarrahapinni	47632
Yarramalong	124748
Yarraman (NSW)	
Yarramundi	115960
Yarranbella	42900
Yarrangobilly	
Yarras (Bathurst Regional - NSW)	58500
Yarras (Port Macquarie-Hastings - NSW)	71448
Yarratt Forest	
Yarravel	64272
Yarrawa	110500
Yarrawarrah	125216
Yarrawonga (NSW)	59644
Yarrawonga Park	76648
Yarrie Lake	54184
Yarrow	
Yarrowford	58500
Yarrowitch	50648
Yarrowyck	59748
Yass	96356
Yass River	139256
Yathella	106184
Yattalunga (NSW)	90220
Yatte Yattah	68224
Yaven Creek	117000
Yelgun	58500
Yellow Dam	
Yellow Pinch	81224
Yellow Rock (Blue Mountains - NSW)	118300
Yellow Rock (Shellharbour - NSW)	93184
Yenda (NSW)	78156
Yengo National Park	
Yennora	53560
Yeoval	57408
Yerong Creek	63076
Yerranderie	
Yerrinbool	86944
Yerriyong	71500
Yessabah	71448
Yetholme	99112
Yetman	48048
Yippin Creek	66092
Yoogali	90740
Yorklea	63752
Young	63908
Yowie Bay	144872
Yowrie	55224
Yullundry	84500
Yuraygir	
Zara	58500
Zetland	116844
No usual address (NSW)	
Migratory - Offshore - Shipping (NSW)	
Abbeyard	
Abbotsford (Vic.)	127868
Aberfeldie	135304
Aberfeldy	
Acheron	73112
Ada	
Adams Estate	58500
Addington	66300
Adelaide Lead	61724
Agnes	46800
Aire Valley	
Aireys Inlet	73216
Airly	99632
Airport West	88192
Albacutya	
Albanvale	59800
Albert Park (Vic.)	175552
Alberton (Vic.)	61724
Alberton West	54184
Albion (Vic.)	65572
Alexandra (Vic.)	70824
Alfredton	94068
Allambee	55848
Allambee Reserve	58500
Allambee South	58500
Allans Flat	76024
Allansford	90064
Allendale	73632
Allestree	67184
Alma (Vic.)	46800
Almonds	46800
Almurta	80132
Alphington	145704
Altona (Vic.)	99684
Altona Meadows	82472
Altona North	76856
Alvie	88816
Amherst	44148
Amor	
Amphitheatre	63856
Anakie	95472
Ancona	71500
Anderson	40248
Anglers Rest	
Anglesea	88348
Annuello	56524
Antwerp	43316
Apollo Bay (Vic.)	60996
Appin (Vic.)	46800
Appin South	46800
Apsley (Vic.)	63180
Ararat	66768
Arawata	73112
Arbuckle	
Arcadia (Vic.)	92612
Arcadia South	68224
Archdale	40248
Archdale Junction	
Archerton	55224
Archies Creek	
Ardeer	69992
Ardmona	79040
Areegra	
Argyle (Vic.)	58500
Armadale (Vic.)	140764
Armstrong	55900
Armstrong Creek (Vic.)	102440
Arnold (Vic.)	55224
Arnold West	
Arthurs Creek	101660
Arthurs Seat	102024
Ascot (Ballarat - Vic.)	62348
Ascot (Greater Bendigo - Vic.)	79144
Ascot Vale	120276
Ashbourne (Vic.)	127088
Ashburton	143208
Ashwood	101868
Aspendale	117572
Aspendale Gardens	109200
Athlone	53612
Attwood	109096
Aubrey	
Auchmore	
Avalon	76076
Avenel	75556
Avoca (Vic.)	52780
Avon Plains	
Avondale Heights	79612
Avonmore	71448
Avonsleigh	104832
Axe Creek	101816
Axedale	83616
Ayrford	100724
Bacchus Marsh	81276
Baddaginnie	65520
Badger Creek	72540
Bael Bael	
Bagshot	81900
Bagshot North	49348
Bahgallah	71500
Bailieston	61724
Bairnsdale	62712
Bakery Hill	48516
Balaclava (Vic.)	117832
Bald Hills (Vic.)	46800
Balintore	61048
Ballan	80548
Ballangeich	81224
Ballapur	
Ballarat Central	87724
Ballarat East	67808
Ballarat North	78260
Ballendella	66612
Balliang	74724
Balliang East	89336
Ballyrogan	71448
Balmattum	69628
Balmoral (Vic.)	67600
Balnarring	95160
Balnarring Beach	91728
Balook	
Balwyn	111956
Balwyn North	117936
Bamawm	69212
Bamawm Extension	75348
Bambra	93184
Bamganie	88816
Bandiana	95316
Bangerang	84500
Bangholme	53248
Bannerton	117000
Bannockburn (Vic.)	92300
Banyan	84448
Banyena	50232
Baranduda	103324
Barfold	74724
Baringhup	66872
Baringhup West	29900
Barjarg	71500
Barkers Creek	81692
Barkly (Vic.)	46748
Barkstead	74724
Barmah	46332
Barnadown	
Barnawartha	89492
Barnawartha North	89856
Baromi	66612
Barongarook	74256
Barongarook West	64012
Barrabool	117000
Barrakee	61724
Barramunga	
Barraport	71500
Barraport West	
Barrys Reef	117000
Barunah Park	46800
Barunah Plains	
Barwidgee	87724
Barwite	75192
Barwon Downs	60112
Barwon Heads	109772
Basalt (Vic.)	
Bass	52468
Batesford	111852
Bathumi	97500
Baw Baw (Vic.)	
Baw Baw Village	
Baxter	81848
Bayindeen	
Bayles	92300
Baynton (Vic.)	81224
Bayswater (Vic.)	81848
Bayswater North	90844
Beaconsfield (Vic.)	109668
Beaconsfield Upper	117416
Bealiba	42484
Bearii	40560
Bears Lagoon	67132
Beauchamp	110500
Beaufort (Vic.)	57460
Beaumaris (Vic.)	140348
Beazleys Bridge	
Beeac	67600
Beech Forest	61724
Beechworth	75036
Beenak	143000
Belgrave	98800
Belgrave Heights	99736
Belgrave South	106860
Bell Park	68900
Bell Post Hill	69732
Bellarine	84500
Bellbird Creek	
Bellbrae	87256
Bellbridge	83304
Bellellen	51064
Bellfield (Banyule - Vic.)	81692
Bellfield (Northern Grampians - Vic.)	
Bells Beach	133224
Belmont (Vic.)	80444
Bemm River	46800
Bena	69108
Benalla	62660
Benambra	55224
Benayeo	84500
Bend Of Islands	94224
Bendigo	80860
Bendoc	58500
Bengworden	58500
Benjeroop	84448
Benloch	93132
Bennison	97500
Bentleigh	118508
Bentleigh East	106964
Benwerrin	
Beremboke	93132
Berrimal	58448
Berringa	48516
Berringama	40248
Berriwillock	55224
Berrybank	62816
Berrys Creek	59748
Berwick	100828
Bessiebelle	97448
Bet Bet	46800
Bete Bolong	84448
Bete Bolong North	
Bethanga	92196
Betley	49348
Beulah (Vic.)	63336
Beverford	68588
Beveridge	103584
Big Desert	
Big Hill (Greater Bendigo - Vic.)	106860
Big Hill (Surf Coast - Vic.)	103948
Big Pats Creek	58500
Biggara	84448
Billabong	
Bimbourie	110448
Bindi	55224
Binginwarri	62348
Bingo Munjie	
Birchip	64012
Birchip West	
Birdwoodton	90376
Birregurra	79924
Bittern	86164
Black Hill (Vic.)	77376
Black Range (Vic.)	84448
Black Rock (Vic.)	143572
Blackburn	118508
Blackburn North	94848
Blackburn South	102128
Blackwarry	81224
Blackwood (Vic.)	77116
Blairgowrie	71708
Blakeville	58500
Blampied	72384
Blind Bight	92404
Blowhard	83200
Bo Peep	103948
Bobinawarrah	92612
Bochara	97500
Bogong	
Boho	94224
Boho South	68224
Boigbeat	
Boinka	90948
Boisdale	75504
Bolangum	
Bolinda	106860
Bolton	
Bolwarra (Vic.)	80756
Bolwarrah	74724
Bona Vista	102336
Bonang	59748
Bonbeach	102908
Bonegilla	102492
Boneo	79612
Bonn	87724
Bonnie Doon (Vic.)	58968
Bonshaw (Vic.)	108888
Bookaar	73320
Boola	
Boolarong	
Boolarra	70512
Boolarra South	70408
Boole Poole	
Boolite	108316
Boomahnoomoonah	116948
Boonah (Vic.)	
Boorcan	57408
Boorhaman	61724
Boorhaman East	74724
Boorhaman North	87724
Boorolite	79612
Boorool	60632
Boort	59020
Boosey	55224
Boralma	68224
Bornes Hill	84500
Boronia	82212
Borung	55224
Bostocks Creek	70200
Botanic Ridge	118040
Boundary Bend	70408
Bowenvale	61048
Boweya	143000
Boweya North	84500
Bowmans Forest	97500
Bowser	101816
Box Hill (Vic.)	72748
Box Hill North	88348
Box Hill South	106756
Boxwood	103948
Bradford	
Bradvale	97500
Braeside	29900
Brandy Creek (Vic.)	94224
Branxholme	75816
Bravington	134316
Braybrook	59956
Breakaway Creek	58500
Breakwater	58916
Breamlea	82836
Brenanah	58500
Brewster	94224
Briagolong	68900
Briar Hill	99216
Bridge Creek	73632
Bridgewater (Vic.)	83408
Bridgewater North	71500
Bridgewater On Loddon	66040
Bright (Vic.)	65104
Brighton (Vic.)	173524
Brighton East	140296
Brim	59748
Brimboal	
Brimin	53248
Brimpaen	75816
Bringalbert	71448
Brit Brit	58500
Broadford	75140
Broadmeadows (Vic.)	51116
Broadwater (Vic.)	71500
Brodribb River	69836
Broken Creek	75816
Bromley	58448
Brookfield (Vic.)	82420
Brooklyn (Vic.)	87568
Brookville	
Broomfield	69316
Broughton (Vic.)	55224
Brown Hill (Vic.)	87464
Browns Plains (Vic.)	97500
Bruarong	71500
Brucknell	94900
Brumby	
Brunswick (Vic.)	114712
Brunswick East	115180
Brunswick West	102440
Bruthen	64220
Buangor	44200
Buchan	52728
Buchan South	45500
Buckland (Vic.)	64324
Buckley	92248
Buckley Swamp	101816
Buckrabanyule	46800
Budgee Budgee (Vic.)	
Budgeree	86632
Budgerum East	
Buffalo	79092
Buffalo River	63648
Bulart	92248
Buldah	
Bulga (Vic.)	
Bulgana	55224
Bulla (Vic.)	91520
Bullaharre	61724
Bullarook	58500
Bullarto	60112
Bullarto South	55224
Bulleen	94224
Bullengarook	114920
Bullioh	80184
Bullumwaal	84448
Buln Buln	85488
Buln Buln East	106600
Bumberrah	66612
Bunbartha	106184
Bundalaguah	94900
Bundalong	83876
Bundalong South	84448
Bundara	
Bunding	84500
Bundoora (Vic.)	82680
Bung Bong	90948
Bungador	74724
Bungal	123448
Bungalally	76336
Bungaree (Vic.)	70408
Bungeet	84448
Bungeet West	71500
Bungil (Vic.)	
Bunguluke	49348
Buninyong	98904
Bunkers Hill	95056
Bunyip	91728
Bunyip North	117000
Buragwonduc	
Burkes Bridge	116948
Burkes Flat	110448
Burnbank	67184
Burnewang	71500
Burnley	132860
Burnside (Vic.)	79040
Burnside Heights	93028
Burramboot	117000
Burramine	87724
Burramine South	74724
Burrowye	142948
Burrumbeet	75192
Burwood (Vic.)	91884
Burwood East	83460
Bushfield	101348
Bushy Park (Vic.)	117000
Butchers Ridge	
Buxton (Vic.)	68536
Byaduk	87724
Byaduk North	79612
Byawatha	93132
Bylands	113048
Byrneside	57200
Cabarita (Vic.)	89856
Cabbage Tree	71448
Cabbage Tree Creek	39624
Cadello	142948
Cairnlea	85020
Calder Park	
Caldermeade	84500
California Gully	56004
Calivil	67184
Callawadda	46748
Callignee	87724
Callignee North	84500
Callignee South	84500
Calrossie	99632
Calulu	84500
Cambarville	
Camberwell (Vic.)	144144
Cambrian Hill	93184
Campbellfield	52312
Campbells Bridge	
Campbells Creek	74256
Campbells Forest	53248
Campbelltown (Vic.)	71500
Camperdown (Vic.)	62920
Canadian	81640
Canary Island	
Caniambo	71500
Cann River	42224
Cannie	
Cannons Creek	98488
Cannum	68224
Canterbury (Vic.)	159900
Cape Bridgewater	88816
Cape Clear	66300
Cape Conran	
Cape Otway	103948
Cape Paterson	62348
Cape Schanck	93600
Cape Woolamai	69160
Capels Crossing	38948
Carag Carag	60112
Caralulup	
Caramut	79092
Carapooee	49348
Carapooee West	
Carapook	87724
Carboor	56316
Cardigan	115284
Cardigan Village	92300
Cardinia	79872
Cardross	77220
Cargerie	67184
Carina (Vic.)	68224
Caringal	58500
Carisbrook	62556
Carlisle River	59280
Carlsruhe	89648
Carlton (Vic.)	71344
Carlton North	137332
Carlyle	100724
Carnegie	106548
Carngham	61256
Caroline Springs	99580
Carpendeit	57408
Carrajung	68224
Carrajung Lower	50648
Carrajung South	61724
Carranballac	94224
Carron	
Carrum	98020
Carrum Downs	79716
Carwarp	71500
Cashmore	117000
Cassilis (Vic.)	
Castella	101816
Casterton	54444
Castle Creek (Vic.)	107224
Castle Donnington	67184
Castlemaine	67392
Catani	77324
Cathcart (Vic.)	75816
Cathkin	84500
Catumnal	51948
Caulfield	119652
Caulfield East	106340
Caulfield North	136968
Caulfield South	131820
Caveat	68224
Cavendish	65884
Ceres	128752
Chadstone	95888
Chandlers Creek	
Chapel Flat	
Chapple Vale	46800
Charam	55224
Charlemont	94900
Charleroi	97500
Charlton (Vic.)	52624
Chatsworth (Vic.)	87724
Chelsea	94900
Chelsea Heights	93912
Cheltenham (Vic.)	103844
Chepstowe	61724
Cherokee	117000
Cherrypool	
Cheshunt	57564
Cheshunt South	
Chesney Vale	61724
Chetwynd	45500
Chewton	67288
Chewton Bushlands	97500
Childers (Vic.)	62192
Chillingollah	
Chiltern	74516
Chiltern Valley	134316
Chinangin	
Chinkapook	110500
Chintin	142948
Chirnside Park	100048
Chirrip	
Chocolyn	58500
Christmas Hills (Vic.)	89856
Chum Creek	91312
Churchill (Vic.)	60944
Churchill Island	
Chute	81224
Clarendon (Vic.)	74724
Claretown	71500
Clarinda	80964
Clarkefield	79300
Clarkes Hill	73632
Clayton	71188
Clayton South	69784
Clear Lake	58500
Clematis	105352
Clifton Creek	64116
Clifton Hill	148564
Clifton Springs	69316
Clonbinane	80444
Clover Flat	
Cloverlea	97500
Club Terrace	37700
Clunes (Vic.)	54340
Clyde (Vic.)	102492
Clyde North	98904
Clydebank	109200
Clydesdale (Vic.)	46748
Coalville	44200
Cobains	80756
Cobaw	113724
Cobbannah	
Cobberas	
Cobden	67236
Cobram	64688
Cobram East	92040
Cobrico	92300
Cobungra	68224
Coburg	103792
Coburg North	96408
Cocamba	
Cochranes Creek	
Cockatoo (Vic.)	91884
Cocoroc	
Codrington (Vic.)	116948
Coghills Creek	75816
Cohuna	61880
Coimadai	100048
Cokum	
Colac	68380
Colac Colac	75816
Colac East	71500
Colac West	58448
Colbinabbin	71500
Colbrook	117000
Coldstream (Vic.)	89388
Coleraine	58032
Colignan	66924
Collingwood (Vic.)	114400
Combienbar	
Concongella	84500
Condah	86632
Congupna	87256
Connewarre	107692
Connewirricoo	50648
Coojar	142948
Coolaroo	53092
Cooma (Vic.)	71500
Coomboona	110500
Coomoora	74724
Coongulla	56316
Coonooer Bridge	58500
Coonooer West	90948
Cooriemungle	68536
Cope Cope	61724
Cora Lynn	86320
Corack	50024
Corack East	49348
Coragulac	65832
Coral Bank	84448
Corindhap	62816
Corinella (Vic.)	55120
Corio	55900
Corndale (Vic.)	58500
Cornella	35724
Cornishtown	84448
Coronet Bay	47424
Corop	44720
Cororooke	73840
Corringle	
Corryong	58136
Corunnun	87724
Cosgrove (Vic.)	121316
Cosgrove South	80132
Costerfield	74724
Cotswold	58500
Cottles Bridge	109772
Cowa	
Cowangie	117000
Cowes	58708
Cowleys Creek	97448
Cowwarr	86112
Craigie (Vic.)	90948
Craigieburn	79404
Cranbourne	72332
Cranbourne East	86164
Cranbourne North	86424
Cranbourne South	99008
Cranbourne West	83200
Creek Junction	29900
Creightons Creek	86112
Cremorne (Vic.)	159432
Cressy (Vic.)	56628
Creswick	66768
Creswick North	58448
Crib Point	74776
Crookayan	
Crooked River	
Cross Roads (Vic.)	143000
Crossley	76336
Crossover	87048
Crowlands	71500
Croxton East	142948
Croydon (Vic.)	89180
Croydon Hills	113516
Croydon North	108212
Croydon South	94328
Crymelon	
Cudgee	91832
Cudgewa	72904
Culgoa	63648
Culla	61724
Cullen	84448
Cullulleraine	55224
Cundare	
Cundare North	
Curdies River	35724
Curdievale	106340
Curlewis (Vic.)	84136
Curyo	110500
Dadswells Bridge	53612
Daisy Hill (Vic.)	54184
Dales Creek	106184
Dallas	51480
Dalmore	87048
Daltons Bridge	68224
Dalyenong	
Dalyston	65260
Dandenong	58136
Dandenong North	68380
Dandenong South	58500
Dandongadale	
Dargo	39208
Darley	91364
Darlimurla	97448
Darlington (Vic.)	55224
Darnum	75088
Darraweit Guim	93600
Darriman	
Dartmoor (Vic.)	51480
Dartmouth	55224
Dawson (Vic.)	103948
Daylesford	65728
Dean	73112
Deans Marsh	67600
Deddick Valley	
Dederang	73112
Deep Lead	70408
Deepdene (Vic.)	136760
Deer Park	68224
Delacombe	75036
Delahey	73008
Delatite	
Delburn	71500
Delegate River	97500
Denicull Creek	97500
Denison	80600
Dennington	77636
Denver	81224
Deptford	
Derby (Vic.)	
Dereel	54496
Dergholm	46800
Derrimut	95992
Derrinal	74724
Derrinallum	53924
Devenish	51064
Devils River	61724
Devon Meadows	87828
Devon North	69992
Dewhurst	106184
Dhurringile	76336
Diamond Creek	117832
Digby	67132
Diggers Rest	87776
Diggora	63856
Dimboola	63336
Dingee	49868
Dingley Village	100828
Dingwall	68900
Dinner Plain	101348
Dixie (Vic.)	92248
Dixons Creek	88816
Dobie	117000
Docker	92612
Dockers Plains	71500
Docklands	117052
Doctors Flat	
Dollar	44148
Don Valley	84500
Donald	60892
Doncaster	82056
Doncaster East	88608
Donnybrook (Vic.)	73112
Donvale	109356
Dooboobetic	37700
Dooen	93184
Dookie	76336
Dookie College	
Doreen	100308
Dorodong	84448
Double Bridges	
Douglas (Vic.)	71500
Doveton	54600
Dreeite	40248
Dreeite South	58500
Driffield	124748
Drik Drik	75816
Dromana	70512
Dropmore	
Drouin	72748
Drouin East	75192
Drouin South	76180
Drouin West	67184
Drumanure	69836
Drumborg	84500
Drumcondra	118976
Drummartin	87724
Drummond	81692
Drummond North	73320
Drung	76648
Dry Diggings	97500
Drysdale	76908
Duchembegarra	58500
Dumbalk	55640
Dumbalk North	71500
Dumosa	51948
Dunach	48516
Dundonnell	84500
Dunkeld (Vic.)	73528
Dunluce	53248
Dunneworthy	68848
Dunnstown	86632
Dunolly (Vic.)	41964
Dunrobin (Vic.)	60632
Durdidwarrah	
Durham Lead	95628
Durham Ox	49868
Dutson	94224
Dutson Downs	
Dutton Way	63336
Duverney	58500
Eagle Point	65364
Eaglehawk	64636
Eaglehawk North	
Eaglemont	150956
Earlston	101348
East Bairnsdale	50336
East Bendigo	74412
East Geelong	105196
East Melbourne	162240
East Sale	143000
East Wangaratta	97500
East Warburton	64688
Eastern View	194948
Eastville	103948
Eastwood (Vic.)	75400
Ebden	138112
Echuca	74412
Echuca Village	76648
Echuca West	85748
Ecklin South	92872
Eddington	67184
Eden Park	105196
Edenhope	67288
Edgecombe	92248
Edi	48516
Edi Upper	73632
Edithvale	108888
Eganstown	68224
Eildon	55536
Elaine	58500
Eldorado	66196
Elevated Plains	112632
Elingamite	80132
Elingamite North	108316
Elizabeth Island	
Ellaswood	80756
Ellerslie (Vic.)	78884
Elliminyt	88348
Ellinbank	87048
Elmhurst	40352
Elmore	61880
Elphinstone (Vic.)	66976
Elsternwick	134940
Eltham (Vic.)	122668
Eltham North	126724
Elwood	136552
Emerald (Vic.)	96980
Emu	39208
Emu Creek (Vic.)	98904
Endeavour Hills	79924
Enfield (Vic.)	76076
Englefield	58500
Enochs Point	
Ensay	67132
Ensay North	36400
Eppalock	83876
Epping (Vic.)	77168
Epsom (Vic.)	84604
Ercildoune	71500
Erica	64220
Errinundra	
Eskdale (Vic.)	53456
Esmond	
Essendon	123032
Essendon Fields	
Essendon North	103844
Essendon West	112060
Eumemmerring	59072
Eurack	71500
Eureka (Vic.)	57772
Euroa	62504
Eurobin	76336
Evansford	63336
Eversley	84448
Everton	58500
Everton Upper	84500
Exford	105872
Eynesbury	121316
Fairbank	55224
Fairfield (Vic.)	121264
Fairhaven	84500
Fairley	81224
Fairy Dell (Campaspe - Vic.)	76336
Fairy Dell (East Gippsland - Vic.)	
Falls Creek (Vic.)	106132
Faraday	68224
Fawcett	71500
Fawkner	63856
Fentons Creek	87724
Ferguson (Vic.)	64948
Fern Hill	107224
Fernbank	69628
Ferndale (Vic.)	56316
Fernihurst	
Fernshaw	
Ferntree Gully	91208
Ferny Creek	115128
Fiery Flat	61724
Fingal (Vic.)	91520
Fish Creek	66456
Fish Point	55224
Fiskville	37700
Fitzroy (Vic.)	115596
