SSC_NAME16	medianTotalPersonalIncome
Packsaddle	37180
Paddington (NSW)	73944
Paddys Flat (Kyogle - NSW)	37648
Paddys Flat (Snowy Monaro Regional - NSW)	
Paddys River (Snowy Valleys - NSW)	35724
Paddys River (Wingecarribee - NSW)	40560
Padstow	32292
Padstow Heights	34268
Pagans Flat	24648
Pages Creek	
Pages River	
Pagewood	38012
Palarang	46800
Palerang	
Paling Yards (Bathurst Regional - NSW)	29224
Paling Yards (Oberon - NSW)	25324
Pallal	35464
Pallamallawa	34788
Palm Beach (NSW)	54704
Palm Grove (NSW)	37336
Palmdale (NSW)	45032
Palmers Channel	30420
Palmers Island	26416
Palmers Oaky	27924
Palmvale	24336
Palmwoods (NSW)	24804
Pambula	26052
Pambula Beach	35256
Pampoolah	26416
Pan Ban	44200
Panania	34216
Pangee	33748
Panuara	42588
Pappinbarra	34580
Para	
Paradise (NSW)	29848
Paringi	53612
Parkes (NSW)	30264
Parkesbourne	38480
Parklea	43004
Parkville (NSW)	37076
Parma	36972
Parramatta	39260
Parraweena	50648
Patchs Beach	29900
Paterson (NSW)	33852
Patonga	26208
Paupong	42848
Paxton	27196
Paynes Crossing	29016
Paytens Bridge	49348
Peacock Creek	24648
Peak Hill (NSW)	23400
Peak View	38948
Peakhurst	31876
Peakhurst Heights	36816
Pearces Creek	32448
Pearl Beach	35568
Peats Ridge	38740
Pebbly Beach	
Peel	41340
Peelwood	21684
Pejar	34736
Pelaw Main	25272
Pelican (NSW)	27924
Pelton	25116
Pembrooke	29432
Pemulwuy	52832
Pendle Hill	30680
Pennant Hills	43472
Penrith	32240
Penrose	24804
Penshurst (NSW)	34684
Pericoe	23400
Perrys Crossing	
Perthville	36764
Petersham	52884
Pheasants Nest	36972
Phegans Bay	37700
Phillip Bay	37284
Phoenix Park	24908
Piallamore	34320
Piallaway	31304
Piambong	34684
Picketts Valley	41184
Picnic Point	40560
Picton (NSW)	41496
Pigeonbah	61724
Piggabeen	25480
Pikapene	
Pillar Valley	21892
Pilliga	18980
Pilot Wilderness	
Pimlico (NSW)	27924
Pimlico Island	
Pinbeyan	
Pindaroi	24128
Pindimar	30524
Pine Camp	45032
Pine Clump	23400
Pine Grove (NSW)	29900
Pine Lodge (NSW)	26728
Pine Ridge	35724
Pine Valley	27924
Piney Range	34424
Pinkett	27664
Pinnacle (NSW)	36140
Pinnacle Swamp	28912
Pinny Beach	
Piora	25168
Pipeclay	24024
Pitnacree	31148
Pitt Town	48204
Pitt Town Bottoms	34684
Pleasant Hills	27300
Pleasure Point	52312
Plumpton (NSW)	35620
Point Clare	31772
Point Frederick	36868
Point Piper	88816
Point Wolstoncroft	
Pointer Mountain	46748
Pokolbin	47892
Pola Creek	36036
Polo Flat	30628
Pomeroy	30784
Pomona (NSW)	29224
Ponto	66612
Pooncarie	38220
Port Botany	
Port Hacking	55120
Port Kembla	24908
Port Macquarie	29640
Port Stephens	
Porters Creek	
Porters Retreat	25636
Portland (NSW)	25220
Possum Brush	24128
Possum Creek	27872
Potato Point	30836
Pottery Estate	22100
Potts Hill	40820
Potts Point	69160
Pottsville	30004
Prairiewood	23088
Premer	28236
Prestons	36244
Pretty Beach (Central Coast - NSW)	34320
Pretty Beach (Shoalhaven - NSW)	
Pretty Pine	48048
Primbee	28496
Primrose Valley	53976
Prospect (NSW)	37544
Pucawan	25116
Puddledock	35100
Pulganbar	19448
Pullabooka	40924
Pulletop	45032
Pumpenbil	22828
Punchbowl (Canterbury-Bankstown - NSW)	22048
Punchbowl (Clarence Valley - NSW)	
Purfleet	12324
Purlewaugh	36036
Putney	44876
Putta Bucca	41080
Putty	22100
Pyangle	46124
Pymble	53300
Pyramul	22672
Pyree	32604
Pyrmont	57772
Quaama	23244
Quakers Hill	40196
Quambone	27820
Quanda	71500
Quandary	38428
Quandialla	24388
Queanbeyan	43108
Queanbeyan East	44408
Queanbeyan West	46020
Queens Park (NSW)	64168
Queens Pinch	23400
Queenscliff (NSW)	67028
Quialigo	33176
Quidong	42848
Quiera	
Quipolly	32708
Quirindi	29120
Quorrobolong	33904
Raby	39104
Raglan (NSW)	34996
Rainbow Flat	25480
Rainbow Reach	26416
Raleigh	29068
Ramornie	20592
Ramsgate	35464
Ramsgate Beach	39624
Rand	32136
Randwick	57460
Rangari	48048
Rangers Valley	44200
Rankin Park	37908
Rankins Springs	35568
Rannock	40248
Rappville	19604
Rathmines	30888
Ravensdale	52780
Ravenswood (NSW)	24440
Ravensworth (NSW)	35724
Rawdon Island	32032
Rawdon Vale	37648
Raworth	39832
Rawsonville	48516
Raymond Terrace	28808
Razorback	45032
Red Head	26468
Red Hill (Snowy Valleys - NSW)	
Red Hill (Tamworth Regional - NSW)	19032
Red Hill (Warren - NSW)	68224
Red Range	23504
Red Rock	28288
Red Rocks	71448
Redbank (NSW)	30524
Redbournberry	37700
Reddestone	24492
Redfern	51532
Redhead	33228
Redlands	42848
Reedy Creek (NSW)	32760
Reedy Swamp	23036
Reefton (NSW)	27924
Regents Park (NSW)	24908
Regentville	40456
Reids Flat	22984
Reidsdale	34268
Rennie	40456
Renwick	40196
Repentance Creek	28080
Repton	30264
Reserve Creek	30472
Retreat (NSW)	26988
Revesby	31616
Revesby Heights	44564
Rhine Falls	34736
Rhodes	38272
Richlands (NSW)	35724
Richmond (NSW)	32812
Richmond Hill (NSW)	38688
Richmond Lowlands	37700
Richmond Vale	45760
Rileys Hill	25480
Ringwood (NSW)	33280
Riverlea	43316
Riverside (NSW)	31512
Riverstone	36764
Rivertree	18148
Riverview (NSW)	51740
Riverwood	23764
Rixs Creek	29900
Rob Roy	31044
Robertson (NSW)	34528
Robin Hill	48516
Rock Flat	34736
Rock Forest	36608
Rock Valley	30628
Rockdale	33852
Rockley	29900
Rockley Mount	40248
Rockton	17160
Rocky Creek (Gwydir - NSW)	27560
Rocky Creek (Inverell - NSW)	14248
Rocky Glen	22256
Rocky Hall	25116
Rocky Plain (NSW)	36140
Rocky Point (NSW)	31356
Rocky River (Tenterfield - NSW)	21424
Rocky River (Uralla - NSW)	28028
Rodd Point	44876
Rollands Plains	24804
Rookhurst	23868
Rookwood (NSW)	
Rooty Hill	33176
Ropers Road	24648
Ropes Crossing	44304
Rose Bay (NSW)	60008
Rose Valley (Kiama - NSW)	54184
Rose Valley (Snowy Monaro Regional - NSW)	27248
Rosebank	26884
Roseberg	22360
Roseberry	25116
Roseberry Creek	25116
Rosebery (NSW)	42172
Rosebrook (NSW)	36400
Rosedale (NSW)	33488
Rosehill (NSW)	39624
Roselands	28288
Rosemeadow	32864
Rosemeath	24024
Roseville	51896
Roseville Chase	52728
Rosewood (Port Macquarie-Hastings - NSW)	30524
Rosewood (Snowy Valleys - NSW)	24180
Roslyn	30628
Rossglen	24648
Rossgole	
Rossi	44824
Rossmore (NSW)	29796
Roto	39624
Rouchel	53976
Rouchel Brook	49348
Roughit	42224
Round Mountain	25220
Round Swamp	19448
Rous	37700
Rous Mill	36816
Rouse Hill	45812
Rowan	44564
Rowena	28080
Rowlands Creek	24336
Royal National Park	43316
Royalla	61256
Rozelle	75764
Ruby Creek	23400
Rufus	44200
Rugby	34216
Rukenvale	20124
Run-o-Waters	38896
Running Stream	29432
Runnyford	19188
Ruse	36764
Rushcutters Bay	63284
Rushes Creek	23764
Rushforth	29900
Russell Lea	47684
Russell Vale	32916
Rutherford	29328
Ruthven	31304
Ryan (NSW)	39624
Rydal	29900
Rydalmere	33540
Ryde	39312
Rye Park	23972
Ryhope	35100
Rylstone	24648
Sackville	43992
Sackville North	31356
Saddleback Mountain	42328
Sadleir	21060
Safety Beach (NSW)	34580
Salamander Bay	27768
Salisbury (NSW)	23400
Salisbury Plains	23816
Sallys Flat	29900
Salt Ash	27560
Saltwater	
San Isidore	34372
San Remo (NSW)	27248
Sancrox	35464
Sanctuary Point	23660
Sandbar	
Sandgate (NSW)	26260
Sandigo	40924
Sandilands (NSW)	18200
Sandon (NSW)	27300
Sandringham (NSW)	39728
Sandy Beach	29952
Sandy Creek (Cobar - NSW)	39624
Sandy Creek (Upper Hunter Shire - NSW)	53612
Sandy Crossing	27924
Sandy Flat	29016
Sandy Gully (NSW)	49348
Sandy Hill	28600
Sandy Hollow	37960
Sandy Point (NSW)	48880
Sanger	37700
Sans Souci	37336
Sapphire	30524
Sapphire Beach	37492
Saratoga	36244
Sassafras (NSW)	31148
Saumarez	29120
Saumarez Ponds	38740
Savernake	31824
Sawpit Creek	13208
Sawtell	31668
Sawyers Gully	29744
Scarborough (NSW)	43680
Scheyville	68224
Schofields	42744
Scone	35048
Scotia	46800
Scotland Island	50180
Scotts Creek (NSW)	22100
Scotts Flat	46800
Scotts Head	26104
Seaforth (NSW)	55224
Seaham	37232
Seahampton	33280
Seal Rocks	23400
Sebastopol (NSW)	39988
Sedgefield	34580
Seelands	30004
Sefton	24700
Segenhoe	43368
Seven Hills (NSW)	33540
Seven Oaks	31148
Sextonville	28600
Shadforth (NSW)	44408
Shallow Bay	22412
Shalvey	25480
Shanes Park	32656
Shannon Brook	25688
Shannon Vale	27196
Shannondale	21528
Shannons Flat	25428
Shark Creek	54184
Sharps Creek	46800
Sheedys Gully	24752
Shell Cove	39208
Shellharbour	32604
Shellharbour City Centre	22256
Shelly Beach (NSW)	33696
Sherwood (Clarence Valley - NSW)	18512
Sherwood (Kempsey - NSW)	26624
Sherwood (Kyogle - NSW)	27924
Shoal Bay (NSW)	27508
Shoalhaven Heads	26936
Shooters Hill	59384
Shortland	25844
Silent Grove	20748
Silverdale (NSW)	42328
Silverton (NSW)	24388
Silverwater (Lake Macquarie - NSW)	28756
Silverwater (Parramatta - NSW)	37024
Simpkins Creek	36712
Singleton (NSW)	30784
Singleton Heights	34840
Singleton Military Area	42484
Singletons Mill	
Six Mile Swamp	
Skennars Head	32448
Skillion Flat	24388
Skinners Shoot	29172
Sleepy Hollow	34788
Smeaton Grange	37700
Smithfield (NSW)	23764
Smiths Creek (Clarence Valley - NSW)	21684
Smiths Creek (Kyogle - NSW)	26728
Smiths Creek (Tweed - NSW)	25688
Smiths Lake	25428
Smithtown	28028
Snakes Plain	42848
Snowball	
Snowy Plain	
Sodwalls	36504
Sofala	23504
Soldiers Point	31096
Somersby	34944
Somerton (NSW)	34996
South Albury	31824
South Arm (Clarence Valley - NSW)	22516
South Arm (Nambucca - NSW)	21060
South Ballina	27924
South Bathurst	30212
South Bowenfels	32916
South Coogee	39260
South Durras	34424
South Golden Beach	31512
South Grafton	23452
South Granville	20644
South Gundagai	29536
South Gundurimba	34372
South Guyra	28496
South Hurstville	30784
South Kempsey	23244
South Lismore	25012
South Littleton	31616
South Maitland	24128
South Maroota	38428
South Murwillumbah	25792
South Nowra	34164
South Pambula	28236
South Penrith	37024
South Tamworth	28548
South Turramurra	44772
South Wentworthville	32032
South West Rocks	24752
South Windsor	33696
South Wolumla	36556
Southampton (NSW)	30836
Southgate	31512
Speers Point	32500
Speewa	22100
Spencer	25376
Spicers Creek	31512
Spicketts Creek	16848
Splitters Creek	44824
Spring Creek (NSW)	38012
Spring Farm (NSW)	53196
Spring Flat	43420
Spring Grove	27404
Spring Hill (Cabonne - NSW)	38532
Spring Hill (Wollongong - NSW)	
Spring Mountain (NSW)	29900
Spring Plains	68900
Spring Ridge	37960
Spring Terrace	42224
Springdale (NSW)	22828
Springdale Heights	27300
Springfield (Central Coast - NSW)	34320
Springfield (Snowy Monaro Regional - NSW)	49348
Springrange	55952
Springside (NSW)	38428
Springvale (Lithgow - NSW)	26624
Springvale (Wagga Wagga - NSW)	47684
Springwood (NSW)	37544
St Albans (NSW)	27820
St Andrews (NSW)	34060
St Clair (Penrith - NSW)	38896
St Clair (Singleton - NSW)	37700
St Fillans	25584
St George (NSW)	
St Georges Basin	24440
St Helens Park	37336
St Huberts Island	34632
St Ives (NSW)	48464
St Ives Chase	48620
St Johns Park	23920
St Leonards (NSW)	72072
St Marys (NSW)	32760
St Peters (NSW)	58968
Stanborough	28340
Stanbridge	28704
Stanford Merthyr	26936
Stanhope (NSW)	42016
Stanhope Gardens	45864
Stanmore (NSW)	55484
Stannifer	17888
Stannum	22100
Stanwell Park	43576
Stanwell Tops	42692
State Mine Gully	24648
Steam Plains	
Steeple Flat	27924
Stewarts Brook	14560
Stewarts River	24284
Stockinbingal	23556
Stockrington	50232
Stockton (NSW)	33384
Stockyard Creek (NSW)	26520
Stokers Siding	27612
Stonehenge (NSW)	35360
Stonequarry	46800
Stony Chute	23088
Stony Creek (Bega Valley - NSW)	35100
Stony Creek (Mid-Western Regional - NSW)	35724
Stony Crossing	3900
Stotts Creek	
Stratford (NSW)	22672
Strathcedar	26780
Stratheden	26312
Strathfield (NSW)	34424
Strathfield South	36660
Stroud	25376
Stroud Hill	39416
Stroud Road	27664
Stuart Town	23244
Stuarts Point	22256
Stubbo	26780
Stud Park	29900
Suffolk Park	36712
Sugarloaf (NSW)	27248
Summer Hill (Dungog - NSW)	35048
Summer Hill (Inner West - NSW)	51636
Summer Hill Creek	43264
Summer Island	29900
Summerland Point	27768
Sun Valley (NSW)	42276
Sunny Corner	25376
Sunset Strip (NSW)	21424
Sunshine (NSW)	30420
Sunshine Bay	26156
Suntop	46124
Surf Beach (NSW)	26780
Surfside	26260
Surry Hills	60320
Sussex Inlet	23452
Sutherland (NSW)	47268
Sutton (NSW)	51480
Sutton Forest	38480
Swan Bay (Port Stephens - NSW)	24648
Swan Bay (Richmond Valley - NSW)	25844
Swan Creek (NSW)	27508
Swan Vale	23400
Swanbrook	19188
Swanhaven	22256
Swans Crossing	
Swansea (NSW)	24960
Swansea Heads	31824
Sweetmans Creek	20384
Sydenham (NSW)	38844
Sydney	35412
Sydney Olympic Park	45968
Sylvania	37284
Sylvania Waters	39572
Tabbil Creek	35100
Tabbimoble	26988
Tabbita	53248
Table Top	45292
Tabulam	21008
Tacoma	31668
Tacoma South	34164
Tahlee	6448
Tahmoor	33280
Talarm	28236
Talawanta	44148
Talbingo	28132
Tallawang	25636
Tallimba	37700
Tallong	27508
Tallowal	
Tallowwood Ridge	24648
Tallwood	45032
Tallwoods Village	29224
Talmalmo	29900
Talofa	34268
Taloumbi	22464
Tamarama	73528
Tamban	21424
Tambar Springs	24960
Tambaroora	19916
Taminda	30628
Tamworth	34788
Tanglewood	27924
Tanilba Bay	24856
Tanja	25792
Tannabar	31408
Tannas Mount	42484
Tantangara	
Tantawangalo	29900
Tantonan	37700
Tapitallee	38376
Tara (NSW)	37700
Taradale (NSW)	46800
Tarago	41756
Taralga	28860
Tarana	42224
Tarban	31148
Tarbuck Bay	26624
Tarcutta	29224
Taree	24180
Taree South	23296
Taren Point	36296
Tarlo	31148
Tarraganda	34008
Tarrawanna	25376
Tarriaro	45240
Tarro	26312
Tascott	36868
Tatham	32968
Tathra	34112
Tatton	46956
Taylors Arm	20436
Taylors Beach (NSW)	32448
Taylors Flat	23816
Tea Gardens	24752
Telarah	26468
Telegraph Point	29120
Telopea	29536
Temagog	20488
Temora	27612
Tempe	41600
Ten Mile Hollow	
Tenambit	28288
Tenandra	51064
Tennyson (NSW)	41704
Tennyson Point	48568
Tenterden (NSW)	24856
Tenterfield	24648
Teralba	28704
Terania Creek	24180
Terara	27196
Teridgerie	25116
Termeil	26936
Terrabella	53300
Terrace Creek	16900
Terragon	29900
Terramungamine	39052
Terranora	33176
Terreel	23400
Terrey Hills	42484
Terrigal	38168
Terry Hie Hie	36556
Teven	34008
Tewinga	24388
Texas (NSW)	24232
Thalgarrah	38428
Tharbogang	33384
The Angle	36400
The Bight	22984
The Branch	30836
The Brothers	36400
The Channon	25636
The Devils Wilderness	
The Entrance	26572
The Entrance North	31148
The Freshwater	35100
The Gap (Richmond Valley - NSW)	
The Gap (Wagga Wagga - NSW)	31148
The Glen (NSW)	23400
The Gulf	
The Hatch	39624
The Hill	46800
The Junction	46072
The Lagoon	36972
The Marra	39208
The Meadows	18148
The Oaks	38012
The Pilliga	
The Pinnacles	21060
The Pocket	29900
The Ponds	53716
The Ridgeway	57200
The Risk	24648
The Rock	31460
The Rocks (Bathurst Regional - NSW)	32448
The Rocks (Sydney - NSW)	81068
The Sandon	
The Slopes	43160
The Whiteman	27092
Theresa Creek (NSW)	27300
Theresa Park	38428
Thirldene	23400
Thirlmere	34216
Thirroul	41548
Thora	25844
Thornleigh	43160
Thornton (NSW)	36504
Thrumster	43108
Thuddungra	34320
Thule	27924
Thumb Creek	18928
Thurgoona	37492
Thyra	18824
Tianjara	
Tibbuc	24232
Tibooburra	36400
Tichborne	37024
Tichular	
Tighes Hill	34632
Tilba Tilba	24024
Tilbuster	42640
Tilligerry Creek	
Tilpa	27924
Timbarra (NSW)	39624
Timbillica	18200
Timbumburi	42224
Timor (NSW)	24128
Tindarey	44148
Tinderry	27300
Tingha	21372
Tingira Heights	35724
Tinonee	27092
Tinpot	
Tintenbar	34580
Tintinhull	31408
Tiona	
Tipperary (NSW)	19448
Tiri	
Tirrannaville	39104
Titaatee Creek	31148
Tocal (NSW)	8840
Tocumwal	25168
Tolland	28756
Tolwong	
Tomago	25792
Tomakin	29068
Tomalla	37700
Tombong	18200
Tomboye	14248
Tomerong	30056
Tomewin	27092
Tomingley	26624
Tomki	30368
Toms Creek	27248
Tonderburine	34268
Tongarra	34528
Toogong	28236
Tooleybuc	28756
Toolijooa	31980
Tooloom	24648
Tooloon	23400
Tooma	40560
Toongabbie (NSW)	34996
Toongi	39416
Toonumbar	21684
Tooranie	35724
Tooraweenah	27040
Toormina	25532
Toorooka	24648
Toothdale	31252
Tootool	31512
Toowoon Bay	29588
Topi Topi	23868
Toronto	25896
Torrington (NSW)	19708
Torryburn (Dungog - NSW)	34372
Torryburn (Uralla - NSW)	32448
Totnes Valley	29900
Tottenham (NSW)	25012
Touga	
Toukley	25844
Towallum	
Towamba	20488
Townsend	24804
Towradgi	31304
Towrang	25584
Tralee	55224
Trangie	29588
Tregeagle	35568
Tregear	23608
Trenayr	27664
Trentham Cliffs	39624
Trewilga	21424
Triamble	18200
Triangle Flat	42484
Trundle	26364
Trungley Hall	31148
Trunkey Creek	31824
Tubbamurra	24232
Tubbul	36504
Tucabia	24752
Tucki Tucki	35100
Tuckombil	32656
Tuckurimba	28912
Tuena	18668
Tuggerah	33904
Tuggerawong	30264
Tugrabakh	29900
Tullakool	44824
Tullamore	25532
Tullarwalla	
Tullera	35204
Tullibigeal	31512
Tullimbar	40300
Tulloona	58500
Tullymorgan	26624
Tumbarumba	29328
Tumbi Umbi	32344
Tumblong	30524
Tumbulgum	32292
Tumorrama	29900
Tumut	28704
Tumut Plains	32864
Tuncester	26416
Tuncurry	23556
Tunglebung	29848
Tuntable Creek	24024
Tuppal	23400
Tura Beach	28288
Turill	25688
Turlinjah	27144
Turners Flat	28340
Turondale	24804
Tuross	23400
Tuross Head	25376
Turramurra	49920
Turrawan	42640
Turrella	32292
Turvey Park	39624
Tweed Heads	28132
Tweed Heads South	24752
Tweed Heads West	25376
Twelve Mile	22048
Twelve Mile Creek	28288
Twelve Mile Peg	
Twenty Forests	
Twin Rivers	27924
Two Mile Flat	29900
Tyagarah	27092
Tyalgum	21944
Tyalgum Creek	28236
Tygalgah	35100
Tyndale	20956
Tyringham	23868
Uarbry	17524
Uki	27352
Ulamambri	24700
Ulan	24024
Ulladulla	24076
Ulmarra	22360
Ulong	22724
Ultimo	20072
Umina Beach	29380
Unanderra	24700
Underbank	23400
Undercliffe	13624
Ungarie	28912
Unumgar	18200
Upper Allyn	22100
Upper Bingara	23400
Upper Burringbar	26416
Upper Bylong	29848
Upper Colo	22100
Upper Coopers Creek	20228
Upper Copmanhurst	20176
Upper Corindi	24128
Upper Crystal Creek	22204
Upper Dartbrook	44460
Upper Duck Creek	17316
Upper Duroby	35516
Upper Eden Creek	23816
Upper Fine Flower	24024
Upper Growee	27300
Upper Horseshoe Creek	19916
Upper Horton	25584
Upper Kangaroo River	31044
Upper Kangaroo Valley	
Upper Karuah River	24232
Upper Lansdowne	24648
Upper Macdonald	38948
Upper Main Arm	24440
Upper Mangrove	
Upper Manilla	34372
Upper Mongogarie	21632
Upper Myall	30524
Upper Nile	12948
Upper Orara	32136
Upper Pappinbarra	24388
Upper Rollands Plains	21424
Upper Rouchel	32448
Upper Taylors Arm	19968
Upper Tooloom	22724
Upper Turon	14248
Upper Wilsons Creek	31148
Upsalls Creek	34424
Uralba	34008
Uralla (NSW)	27040
Urana	27560
Urangeline	35048
Urangeline East	28600
Uranquinty	35880
Urawilkie	30628
Urbenville	20020
Uriarra	42640
Urila	48308
Urliup	23556
Urunga	26052
Utungun	24336
Vacy	36816
Vale Of Clwydd	25376
Valentine	36764
Valery	28756
Valla	28080
Valla Beach	26260
Valley Heights	37908
Varroville	33176
Vaucluse	57148
Verges Creek	28860
Verona	29484
Villawood	19812
Vincentia	34008
Vineyard	31512
Violet Hill	
Vittoria (NSW)	29900
Voyager Point	51376
Wadalba	35464
Wadbilliga	
Wadeville	18460
Wagga Wagga	37024
Wagstaffe	41964
Wahroonga	47424
Waitara	43524
Waitui	24544
Wakefield	42068
Wakeley	23972
Wakool	25012
Walang	38324
Walbundrie	31356
Walcha	30784
Walcha Road	23400
Waldegrave	60632
Walgett	27872
Walla Walla	25740
Wallabadah	25168
Wallabi Point	36764
Wallacetown	73632
Wallacia	37596
Wallaga Lake	23972
Wallagoot	31356
Wallalong	39052
Wallamore	44564
Wallanbah	21008
Wallangra	19292
Wallanthery	24856
Wallarah	30472
Wallaringa	23400
Wallarobba	32864
Wallaroo (NSW)	45812
Wallendbeen	35880
Wallerawang	28288
Walleroobie	34788
Wallingat	
Wallis Lake	
Wallsend	28964
Walmer (NSW)	34580
Wamban	29900
Wambangalang	35100
Wamberal	41496
Wamboin	59748
Wambool	53300
Wambrook	28912
Wanaaring	31408
Wandandian	31928
Wandella (NSW)	20488
Wandera	16848
Wandook	27248
Wandsworth	24908
Wang Wauk	21684
Wanganella	42744
Wanganui	24908
Wangi Wangi	30108
Wantabadgery	35828
Wantagong	43316
Wantiool	43680
Wapengo	25168
Warabrook	29328
Waratah (NSW)	31200
Waratah West	25688
Warburn	37232
Wardell	25584
Wardrop Valley	24128
Wards Mistake	23348
Wards River	21060
Wareemba	42172
Warialda	24700
Warialda Rail	22256
Warilla	24180
Warkworth	37648
Warners Bay	32552
Warnervale	31876
Warrabah	
Warraderry	30524
Warragai Creek	23972
Warragamba	36296
Warragoon	28912
Warrah	31148
Warrah Creek	29900
Warrah Ridge	44564
Warral	35152
Warranulla	22880
Warrawee	51636
Warrawidgee	31148
Warrawong	21424
Warrazambil Creek	19708
Warregah Island	22100
Warrell Creek	30004
Warren	33592
Warri	53612
Warriewood	45552
Warrimoo	43524
Warroo (NSW)	39988
Warrumbungle	
Warwick Farm	24752
Washpool (Clarence Valley - NSW)	
Washpool (Mid-Coast - NSW)	28912
Watagan	24024
Watanobbi	27508
Waterfall	39364
Waterloo (NSW)	40872
Watersleigh	40248
Waterview	24648
Waterview Heights	25532
Watsons Bay	54184
Watsons Creek (NSW)	21008
Wattamolla	37700
Wattamondara	29328
Wattle Flat (NSW)	21008
Wattle Grove (NSW)	44096
Wattle Ponds	41028
Wattle Ridge (NSW)	46800
Wattle Springs	22412
Watton	44200
Wauchope	25376
Waugorah	33748
Waukivory	19656
Waverley (NSW)	54496
Waverly	35724
Waverton	70980
Way Way	32552
Wayo	34268
Weabonga	18512
Wean	32448
Webbers Creek	31148
Webbs Creek	38948
Wedderburn (NSW)	35672
Wee Jasper	30836
Wee Waa	31356
Weedallion	37700
Weemelah	31824
Weetaliba	21164
Weethalle	24908
Weilmoringle	20384
Weismantels	19760
Welaregang	27300
Welby	29432
Wellingrove	24544
Wellington (NSW)	23816
Wellington Vale	31824
Wells Crossing	22412
Wendoree Park	54496
Wentworth (NSW)	24024
Wentworth Falls	32812
Wentworth Point	56524
Wentworthville	34320
Werai	38012
Wereboldera	
Wermatong	44148
Werombi	37960
Werri Beach	36504
Werrikimbe	
Werrington	33436
Werrington County	38948
Werrington Downs	41184
Werris Creek	23556
West Albury	34788
West Ballina	25740
West Bathurst	31876
West Bungawalbin	21632
West Coraki	20436
West Gosford	31668
West Haven	24388
West Hoxton	36764
West Kempsey	23920
West Nowra	30056
West Pennant Hills	45500
West Pymble	48672
West Ryde	38584
West Tamworth	27144
West Wallsend	31824
West Wiangaree	29900
West Wollongong	30940
West Wyalong	31304
Westbrook (NSW)	39780
Westdale (Snowy Valleys - NSW)	
Westdale (Tamworth Regional - NSW)	37856
Westleigh	44044
Westmead	40040
Weston (NSW)	25792
Westwood (NSW)	84500
Wetherill Park	25688
Wetuppa	
Whalan	24180
Whale Beach	63128
Wheeler Heights	42848
Wheeny Creek	37700
Wheeo	26988
Wherrol Flat	24024
Whian Whian	28236
Whiporie	23400
White Cliffs	24388
White Rock (NSW)	38116
Whitebridge	35516
Whiteman Creek	23868
Whitlow	30524
Whittingham	32812
Whitton	25428
Whoota	32656
Wiagdon	29900
Wiangaree	25168
Wiarborough	11700
Wickham (NSW)	44148
Widden	48516
Widgelli	37700
Wilberforce (NSW)	39208
Wilbetree	24232
Wilcannia	22984
Wild Cattle Creek	
Wildes Meadow	52208
Wiley Park	23036
Willala	34528
Willawarrin	24024
Willbriggie	34580
Willi Willi	23400
Williamsdale	61724
Williamtown	33020
Willigobung	27924
Willina	23400
Willmot	21996
Willoughby (NSW)	55692
Willoughby East	56628
Willow Tree	21788
Willow Vale (Kiama - NSW)	36712
Willow Vale (Wingecarribee - NSW)	33072
Willurah	
Wilpinjong	
Wilsons Creek	24804
Wilton (NSW)	50856
Wimbledon	44200
Wimborne	62816
Winburndale	
Windale	21060
Windang	25064
Windella	37804
Windellama	24232
Windera (NSW)	52260
Windermere (NSW)	31824
Windermere Park	27456
Windeyer (NSW)	21476
Windowie	27924
Windradyne	35100
Windsor (NSW)	31824
Windsor Downs	43212
Windy	
Winegrove	24544
Wingadee	
Wingello	30316
Wingen	34060
Wingham	24908
Winifred	29900
Winmalee	38740
Winston Hills	40352
Winton (NSW)	39104
Wirlinga	46800
Wirraba	
Wirragulla	19448
Wirrimah	22360
Wirrimbi	24752
Wirrinya	23400
Wisemans Creek	28704
Wisemans Ferry	27924
Wittitrin	19032
Wog Wog (Bega Valley - NSW)	
Wog Wog (Queanbeyan-Palerang Regional - NSW)	46748
Woko	
Wolgan Valley	49244
Wollangambe	
Wollar	18200
Wollemi	
Wolli Creek	42432
Wollogorang	42900
Wollombi	29536
Wollomombi	36556
Wollongbar	33644
Wollongong	29796
Wollstonecraft	72176
Wollumboola	44148
Wollun	34736
Wolumla	30004
Wombarra	42484
Wombat	29900
Wombat Creek (NSW)	33748
Wombeyan Caves	22516
Womboota	22256
Womerah	
Wonboyn	24544
Wonboyn North	
Wondabyne	40248
Wondalga	35360
Wongarbon	37336
Wongawilli	43940
Wongo Creek	31148
Wongwibinda	32188
Woodberry	24908
Woodbine (NSW)	33228
Woodburn (Richmond Valley - NSW)	26052
Woodburn (Shoalhaven - NSW)	29224
Woodcroft (NSW)	40768
Woodenbong	25480
Woodford (NSW)	35776
Woodford Island	29172
Woodhill (NSW)	39624
Woodhouselee	58500
Woodlands (Eurobodalla - NSW)	23972
Woodlands (Wingecarribee - NSW)	41132
Woodlawn	36920
Woodpark	29952
Woodrising	29744
Woodside (NSW)	28340
Woodsreef	25220
Woodstock (Cowra - NSW)	23660
Woodstock (Inverell - NSW)	46800
Woodstock (Shoalhaven - NSW)	31252
Woodview	32552
Woodville (NSW)	33280
Woody Head	
Woolbrook	22568
Woolgarlo	36400
Woolgoolga	25896
Wooli	22828
Woollahra	71500
Woollamia	29276
Woolloomooloo	57564
Woolners Arm	42848
Woolomin	23140
Woolooma	35100
Woolooware	44408
Wooloweyah	33436
Woolwich	64584
