SSC_NAME16	ModeTravelToWork	NumberModes	Sex	employed_persons
North St Marys	(Other)	1	M	3
North St Marys	Bicycle	1	M	4
North St Marys	Bus	1	F	5
North St Marys	Bus	1	M	5
North St Marys	Car as driver	1	F	362
North St Marys	Car as driver	1	M	492
North St Marys	Car as passenger	1	F	40
North St Marys	Car as passenger	1	M	55
North St Marys	Motorbike scooter	1	M	10
North St Marys	Other two methods	2	M	3
North St Marys	Taxi	1	M	3
North St Marys	Train	1	F	56
North St Marys	Train	1	M	50
North St Marys	Train and two other methods	3	F	8
North St Marys	Train and two other methods	3	M	4
North St Marys	Truck	1	M	20
North St Marys	Walked only	1	F	8
North St Marys	Walked only	1	M	24
North Star			M	3
North Star	(Other)	1	M	3
North Star	Car as driver	1	F	15
North Star	Car as driver	1	M	43
North Star	Car as passenger	1	M	3
North Star	Truck	1	M	3
North Star	Walked only	1	F	8
North Star	Walked only	1	M	3
North Strathfield			F	14
North Strathfield			M	9
North Strathfield	(Other)	1	F	15
North Strathfield	(Other)	1	M	29
North Strathfield	Bicycle	1	M	10
North Strathfield	Bus	1	F	11
North Strathfield	Bus	1	M	14
North Strathfield	Car as driver	1	F	398
North Strathfield	Car as driver	1	M	606
North Strathfield	Car as passenger	1	F	45
North Strathfield	Car as passenger	1	M	23
North Strathfield	Motorbike scooter	1	M	14
North Strathfield	Other two methods	2	F	9
North Strathfield	Other two methods	2	M	4
North Strathfield	Taxi	1	M	7
North Strathfield	Train	1	F	412
North Strathfield	Train	1	M	456
North Strathfield	Train and two other methods	3	F	3
North Strathfield	Train and two other methods	3	M	12
North Strathfield	Tram includes light rail	1	M	3
North Strathfield	Truck	1	M	10
North Strathfield	Walked only	1	F	45
North Strathfield	Walked only	1	M	32
North Sydney			F	11
North Sydney			M	19
North Sydney	(Other)	1	F	10
North Sydney	(Other)	1	M	19
North Sydney	Bicycle	1	F	5
North Sydney	Bicycle	1	M	35
North Sydney	Bus	1	F	250
North Sydney	Bus	1	M	221
North Sydney	Car as driver	1	F	439
North Sydney	Car as driver	1	M	563
North Sydney	Car as passenger	1	F	66
North Sydney	Car as passenger	1	M	20
North Sydney	Ferry	1	F	13
North Sydney	Ferry	1	M	10
North Sydney	Motorbike scooter	1	M	31
North Sydney	Other two methods	2	F	3
North Sydney	Other two methods	2	M	6
North Sydney	Taxi	1	F	10
North Sydney	Taxi	1	M	22
North Sydney	Train	1	F	614
North Sydney	Train	1	M	592
North Sydney	Train and two other methods	3	F	18
North Sydney	Train and two other methods	3	M	13
North Sydney	Truck	1	M	3
North Sydney	Walked only	1	F	432
North Sydney	Walked only	1	M	498
North Tamworth			F	15
North Tamworth			M	8
North Tamworth	(Other)	1	F	6
North Tamworth	(Other)	1	M	5
North Tamworth	Bicycle	1	M	3
North Tamworth	Bus	1	M	5
North Tamworth	Car as driver	1	F	746
North Tamworth	Car as driver	1	M	828
North Tamworth	Car as passenger	1	F	82
North Tamworth	Car as passenger	1	M	58
North Tamworth	Ferry	1	M	3
North Tamworth	Motorbike scooter	1	M	21
North Tamworth	Other two methods	2	F	3
North Tamworth	Other two methods	2	M	13
North Tamworth	Taxi	1	F	4
North Tamworth	Taxi	1	M	4
North Tamworth	Truck	1	M	27
North Tamworth	Walked only	1	F	50
North Tamworth	Walked only	1	M	45
North Tumbulgum	Car as driver	1	F	31
North Tumbulgum	Car as driver	1	M	41
North Tumbulgum	Car as passenger	1	F	5
North Tumbulgum	Motorbike scooter	1	M	3
North Tumbulgum	Truck	1	M	5
North Tumbulgum	Walked only	1	F	7
North Turramurra			F	5
North Turramurra			M	3
North Turramurra	(Other)	1	F	3
North Turramurra	(Other)	1	M	3
North Turramurra	Bicycle	1	F	3
North Turramurra	Bicycle	1	M	16
North Turramurra	Bus	1	F	17
North Turramurra	Bus	1	M	13
North Turramurra	Car as driver	1	F	372
North Turramurra	Car as driver	1	M	406
North Turramurra	Car as passenger	1	F	26
North Turramurra	Car as passenger	1	M	11
North Turramurra	Motorbike scooter	1	M	9
North Turramurra	Other two methods	2	F	3
North Turramurra	Taxi	1	M	4
North Turramurra	Train	1	F	54
North Turramurra	Train	1	M	87
North Turramurra	Train and two other methods	3	F	8
North Turramurra	Train and two other methods	3	M	3
North Turramurra	Truck	1	M	4
North Turramurra	Walked only	1	F	25
North Turramurra	Walked only	1	M	10
North Wagga Wagga	Car as driver	1	F	125
North Wagga Wagga	Car as driver	1	M	148
North Wagga Wagga	Car as passenger	1	F	3
North Wagga Wagga	Car as passenger	1	M	17
North Wagga Wagga	Truck	1	M	7
North Wagga Wagga	Walked only	1	F	3
North Wagga Wagga	Walked only	1	M	4
North Wahroonga			F	3
North Wahroonga	(Other)	1	M	4
North Wahroonga	Bicycle	1	M	11
North Wahroonga	Bus	1	F	3
North Wahroonga	Car as driver	1	F	218
North Wahroonga	Car as driver	1	M	254
North Wahroonga	Car as passenger	1	F	14
North Wahroonga	Car as passenger	1	M	8
North Wahroonga	Motorbike scooter	1	M	3
North Wahroonga	Other two methods	2	F	4
North Wahroonga	Train	1	F	48
North Wahroonga	Train	1	M	78
North Wahroonga	Train and two other methods	3	F	4
North Wahroonga	Train and two other methods	3	M	4
North Wahroonga	Walked only	1	F	3
North Wahroonga	Walked only	1	M	7
North Willoughby			F	11
North Willoughby			M	7
North Willoughby	(Other)	1	M	5
North Willoughby	Bicycle	1	F	3
North Willoughby	Bicycle	1	M	19
North Willoughby	Bus	1	F	236
North Willoughby	Bus	1	M	245
North Willoughby	Bus and two other methods excludes train	3	M	3
North Willoughby	Car as driver	1	F	377
North Willoughby	Car as driver	1	M	456
North Willoughby	Car as passenger	1	F	50
North Willoughby	Car as passenger	1	M	20
North Willoughby	Motorbike scooter	1	M	12
North Willoughby	Other two methods	2	F	4
North Willoughby	Other two methods	2	M	4
North Willoughby	Taxi	1	M	3
North Willoughby	Train	1	F	22
North Willoughby	Train	1	M	17
North Willoughby	Train and two other methods	3	F	3
North Willoughby	Train and two other methods	3	M	4
North Willoughby	Truck	1	M	7
North Willoughby	Walked only	1	F	49
North Willoughby	Walked only	1	M	47
North Wollongong			F	4
North Wollongong			M	7
North Wollongong	(Other)	1	F	3
North Wollongong	(Other)	1	M	3
North Wollongong	Bicycle	1	F	10
North Wollongong	Bicycle	1	M	9
North Wollongong	Bus	1	F	25
North Wollongong	Bus	1	M	30
North Wollongong	Car as driver	1	F	306
North Wollongong	Car as driver	1	M	340
North Wollongong	Car as passenger	1	F	28
North Wollongong	Car as passenger	1	M	23
North Wollongong	Motorbike scooter	1	M	11
North Wollongong	Other two methods	2	M	8
North Wollongong	Taxi	1	F	3
North Wollongong	Train	1	F	22
North Wollongong	Train	1	M	23
North Wollongong	Train and two other methods	3	M	3
North Wollongong	Truck	1	M	7
North Wollongong	Walked only	1	F	34
North Wollongong	Walked only	1	M	58
North Woodburn	Car as driver	1	F	9
North Woodburn	Car as driver	1	M	13
North Woodburn	Car as passenger	1	M	3
North Yalgogrin			M	4
North Yalgogrin	Car as driver	1	F	6
North Yalgogrin	Car as driver	1	M	3
North Yalgogrin	Car as passenger	1	M	4
North Yeoval	Car as driver	1	F	9
North Yeoval	Car as driver	1	M	13
Northangera	Car as driver	1	F	3
Northangera	Car as driver	1	M	3
Northbridge (NSW)			F	15
Northbridge (NSW)			M	6
Northbridge (NSW)	(Other)	1	F	3
Northbridge (NSW)	(Other)	1	M	8
Northbridge (NSW)	Bicycle	1	F	6
Northbridge (NSW)	Bicycle	1	M	20
Northbridge (NSW)	Bus	1	F	238
Northbridge (NSW)	Bus	1	M	337
Northbridge (NSW)	Car as driver	1	F	578
Northbridge (NSW)	Car as driver	1	M	749
Northbridge (NSW)	Car as passenger	1	F	73
Northbridge (NSW)	Car as passenger	1	M	27
Northbridge (NSW)	Motorbike scooter	1	F	3
Northbridge (NSW)	Motorbike scooter	1	M	25
Northbridge (NSW)	Other two methods	2	F	7
Northbridge (NSW)	Other two methods	2	M	9
Northbridge (NSW)	Taxi	1	F	9
Northbridge (NSW)	Taxi	1	M	3
Northbridge (NSW)	Train	1	F	6
Northbridge (NSW)	Train	1	M	10
Northbridge (NSW)	Train and two other methods	3	F	7
Northbridge (NSW)	Train and two other methods	3	M	6
Northbridge (NSW)	Truck	1	M	4
Northbridge (NSW)	Walked only	1	F	57
Northbridge (NSW)	Walked only	1	M	51
Northmead			F	16
Northmead			M	17
Northmead	(Other)	1	F	3
Northmead	(Other)	1	M	14
Northmead	Bicycle	1	F	7
Northmead	Bicycle	1	M	20
Northmead	Bus	1	F	269
Northmead	Bus	1	M	215
Northmead	Car as driver	1	F	1508
Northmead	Car as driver	1	M	1799
Northmead	Car as passenger	1	F	116
Northmead	Car as passenger	1	M	54
Northmead	Motorbike scooter	1	F	3
Northmead	Motorbike scooter	1	M	29
Northmead	Other two methods	2	F	5
Northmead	Other two methods	2	M	11
Northmead	Taxi	1	F	5
Northmead	Taxi	1	M	3
Northmead	Train	1	F	88
Northmead	Train	1	M	75
Northmead	Train and two other methods	3	F	17
Northmead	Train and two other methods	3	M	17
Northmead	Truck	1	M	39
Northmead	Walked only	1	F	74
Northmead	Walked only	1	M	80
Northwood (NSW)	Bus	1	F	16
Northwood (NSW)	Bus	1	M	23
Northwood (NSW)	Car as driver	1	F	88
Northwood (NSW)	Car as driver	1	M	131
Northwood (NSW)	Car as passenger	1	F	8
Northwood (NSW)	Car as passenger	1	M	3
Northwood (NSW)	Ferry	1	F	9
Northwood (NSW)	Ferry	1	M	21
Northwood (NSW)	Other two methods	2	F	3
Northwood (NSW)	Train	1	F	7
Northwood (NSW)	Train	1	M	10
Northwood (NSW)	Train and two other methods	3	F	3
Northwood (NSW)	Walked only	1	M	3
Norway	Car as driver	1	F	3
Norway	Car as driver	1	M	4
Nowendoc	(Other)	1	M	3
Nowendoc	Car as driver	1	F	9
Nowendoc	Car as driver	1	M	17
Nowendoc	Walked only	1	F	3
Nowendoc	Walked only	1	M	6
Nowley	(Other)	1	M	3
Nowley	Car as driver	1	F	5
Nowley	Car as driver	1	M	8
Nowra			F	21
Nowra			M	28
Nowra	(Other)	1	F	9
Nowra	(Other)	1	M	10
Nowra	Bicycle	1	F	6
Nowra	Bicycle	1	M	27
Nowra	Bus	1	F	3
Nowra	Bus	1	M	8
Nowra	Car as driver	1	F	861
Nowra	Car as driver	1	M	920
Nowra	Car as passenger	1	F	102
Nowra	Car as passenger	1	M	81
Nowra	Motorbike scooter	1	M	24
Nowra	Other two methods	2	F	4
Nowra	Other two methods	2	M	11
Nowra	Taxi	1	F	3
Nowra	Taxi	1	M	4
Nowra	Train	1	F	3
Nowra	Train	1	M	7
Nowra	Truck	1	M	24
Nowra	Walked only	1	F	83
Nowra	Walked only	1	M	74
Nowra Hill			M	3
Nowra Hill	(Other)	1	F	7
Nowra Hill	(Other)	1	M	11
Nowra Hill	Bicycle	1	M	10
Nowra Hill	Car as driver	1	F	199
Nowra Hill	Car as driver	1	M	266
Nowra Hill	Car as passenger	1	F	24
Nowra Hill	Car as passenger	1	M	23
Nowra Hill	Motorbike scooter	1	M	7
Nowra Hill	Other two methods	2	M	7
Nowra Hill	Truck	1	M	6
Nowra Hill	Walked only	1	F	13
Nowra Hill	Walked only	1	M	32
Nubba	Car as driver	1	F	17
Nubba	Car as driver	1	M	14
Nubba	Car as passenger	1	F	3
Nulkaba			F	4
Nulkaba			M	3
Nulkaba	(Other)	1	F	3
Nulkaba	(Other)	1	M	4
Nulkaba	Car as driver	1	F	115
Nulkaba	Car as driver	1	M	132
Nulkaba	Car as passenger	1	F	7
Nulkaba	Car as passenger	1	M	10
Nulkaba	Other two methods	2	M	3
Nulkaba	Truck	1	M	7
Nulkaba	Walked only	1	F	6
Nulkaba	Walked only	1	M	3
Nullamanna	Car as driver	1	F	12
Nullamanna	Car as driver	1	M	23
Nullamanna	Walked only	1	M	3
Nullo Mountain	Walked only	1	F	3
Numbaa	Car as driver	1	F	4
Numbaa	Car as driver	1	M	14
Numbaa	Car as passenger	1	M	3
Numbaa	Walked only	1	F	3
Numbaa	Walked only	1	M	4
Numbla Vale	Car as driver	1	F	4
Numbla Vale	Car as driver	1	M	9
Numbugga	Car as driver	1	F	13
Numbugga	Car as driver	1	M	16
Numeralla	Car as driver	1	F	40
Numeralla	Car as driver	1	M	43
Numeralla	Car as passenger	1	F	3
Numeralla	Car as passenger	1	M	3
Numinbah	Car as driver	1	F	5
Numinbah	Car as driver	1	M	9
Numinbah	Truck	1	M	4
Numulgi	Car as driver	1	F	37
Numulgi	Car as driver	1	M	30
Numulgi	Car as passenger	1	F	5
Numulgi	Car as passenger	1	M	3
Numulgi	Truck	1	M	3
Numulgi	Walked only	1	F	3
Nunderi			M	4
Nunderi	Car as driver	1	F	97
Nunderi	Car as driver	1	M	116
Nunderi	Car as passenger	1	F	8
Nunderi	Car as passenger	1	M	10
Nunderi	Truck	1	M	7
Nundle	(Other)	1	F	3
Nundle	(Other)	1	M	4
Nundle	Car as driver	1	F	41
Nundle	Car as driver	1	M	51
Nundle	Other two methods	2	M	3
Nundle	Truck	1	M	4
Nundle	Walked only	1	F	7
Nundle	Walked only	1	M	4
Nurenmerenmong	Car as driver	1	F	3
Nymagee	Car as driver	1	F	3
Nymagee	Car as driver	1	M	7
Nymagee	Motorbike scooter	1	M	3
Nymagee	Walked only	1	F	5
Nymboida			F	3
Nymboida	Car as driver	1	F	30
Nymboida	Car as driver	1	M	40
Nymboida	Car as passenger	1	F	3
Nymboida	Car as passenger	1	M	3
Nymboida	Walked only	1	M	3
Nyngan			F	3
Nyngan			M	12
Nyngan	(Other)	1	M	3
Nyngan	Bicycle	1	F	3
Nyngan	Bicycle	1	M	9
Nyngan	Bus	1	F	15
Nyngan	Bus	1	M	37
Nyngan	Car as driver	1	F	261
Nyngan	Car as driver	1	M	308
Nyngan	Car as passenger	1	F	20
Nyngan	Car as passenger	1	M	34
Nyngan	Motorbike scooter	1	M	3
Nyngan	Other two methods	2	M	3
Nyngan	Truck	1	M	14
Nyngan	Walked only	1	F	39
Nyngan	Walked only	1	M	32
Nyrang Creek	Car as driver	1	F	4
O'Connell (NSW)			M	4
O'Connell (NSW)	Car as driver	1	F	88
O'Connell (NSW)	Car as driver	1	M	101
O'Connell (NSW)	Car as passenger	1	F	6
O'Connell (NSW)	Car as passenger	1	M	3
O'Connell (NSW)	Truck	1	M	5
O'Connell (NSW)	Walked only	1	F	3
O'Connell (NSW)	Walked only	1	M	4
Oak Flats			F	8
Oak Flats			M	18
Oak Flats	(Other)	1	F	8
Oak Flats	(Other)	1	M	12
Oak Flats	Bicycle	1	M	9
Oak Flats	Bus	1	F	10
Oak Flats	Bus	1	M	14
Oak Flats	Car as driver	1	F	939
Oak Flats	Car as driver	1	M	1060
Oak Flats	Car as passenger	1	F	77
Oak Flats	Car as passenger	1	M	65
Oak Flats	Ferry	1	M	3
Oak Flats	Motorbike scooter	1	M	14
Oak Flats	Other two methods	2	F	6
Oak Flats	Other two methods	2	M	9
Oak Flats	Train	1	F	15
Oak Flats	Train	1	M	19
Oak Flats	Train and two other methods	3	M	3
Oak Flats	Truck	1	F	3
Oak Flats	Truck	1	M	16
Oak Flats	Walked only	1	F	33
Oak Flats	Walked only	1	M	31
Oakdale (NSW)			F	10
Oakdale (NSW)			M	3
Oakdale (NSW)	(Other)	1	F	3
Oakdale (NSW)	(Other)	1	M	3
Oakdale (NSW)	Bus	1	F	3
Oakdale (NSW)	Car as driver	1	F	284
Oakdale (NSW)	Car as driver	1	M	387
Oakdale (NSW)	Car as passenger	1	F	13
Oakdale (NSW)	Car as passenger	1	M	14
Oakdale (NSW)	Motorbike scooter	1	M	4
Oakdale (NSW)	Other two methods	2	M	3
Oakdale (NSW)	Truck	1	M	17
Oakdale (NSW)	Walked only	1	F	3
Oakdale (NSW)	Walked only	1	M	5
Oakey Park			F	3
Oakey Park	Car as driver	1	F	45
Oakey Park	Car as driver	1	M	49
Oakey Park	Car as passenger	1	F	9
Oakey Park	Car as passenger	1	M	3
Oakhampton	Car as driver	1	F	13
Oakhampton	Car as driver	1	M	21
Oakhampton	Car as passenger	1	F	3
Oakhampton	Car as passenger	1	M	3
Oakhampton Heights	Car as driver	1	F	24
Oakhampton Heights	Car as driver	1	M	31
Oakhurst (NSW)			F	20
Oakhurst (NSW)			M	15
Oakhurst (NSW)	(Other)	1	F	8
Oakhurst (NSW)	(Other)	1	M	13
Oakhurst (NSW)	Bicycle	1	M	7
Oakhurst (NSW)	Bus	1	F	23
Oakhurst (NSW)	Bus	1	M	22
Oakhurst (NSW)	Car as driver	1	F	925
Oakhurst (NSW)	Car as driver	1	M	1291
Oakhurst (NSW)	Car as passenger	1	F	129
Oakhurst (NSW)	Car as passenger	1	M	73
Oakhurst (NSW)	Motorbike scooter	1	M	16
Oakhurst (NSW)	Other two methods	2	F	8
Oakhurst (NSW)	Other two methods	2	M	12
Oakhurst (NSW)	Train	1	F	108
Oakhurst (NSW)	Train	1	M	113
Oakhurst (NSW)	Train and two other methods	3	F	22
Oakhurst (NSW)	Train and two other methods	3	M	21
Oakhurst (NSW)	Truck	1	M	19
Oakhurst (NSW)	Walked only	1	F	20
Oakhurst (NSW)	Walked only	1	M	12
Oaklands	(Other)	1	M	4
Oaklands	Bicycle	1	F	4
Oaklands	Car as driver	1	F	26
Oaklands	Car as driver	1	M	44
Oaklands	Car as passenger	1	F	3
Oaklands	Truck	1	M	4
Oaklands	Walked only	1	F	5
Oaklands	Walked only	1	M	7
Oakville			F	4
Oakville			M	3
Oakville	(Other)	1	F	4
Oakville	(Other)	1	M	3
Oakville	Bus	1	M	3
Oakville	Car as driver	1	F	281
Oakville	Car as driver	1	M	362
Oakville	Car as passenger	1	F	21
Oakville	Car as passenger	1	M	20
Oakville	Motorbike scooter	1	M	3
Oakville	Other two methods	2	M	4
Oakville	Train	1	F	15
Oakville	Train	1	M	13
Oakville	Truck	1	M	64
Oakville	Walked only	1	F	8
Oakville	Walked only	1	M	9
Oakwood (NSW)	Car as driver	1	F	17
Oakwood (NSW)	Car as driver	1	M	27
Oakwood (NSW)	Walked only	1	F	3
Oallen	Car as driver	1	F	6
Oallen	Car as driver	1	M	19
Oallen	Walked only	1	F	3
Oallen	Walked only	1	M	3
Oatlands (NSW)			F	9
Oatlands (NSW)			M	13
Oatlands (NSW)	(Other)	1	M	7
Oatlands (NSW)	Bicycle	1	M	4
Oatlands (NSW)	Bus	1	F	47
Oatlands (NSW)	Bus	1	M	29
Oatlands (NSW)	Car as driver	1	F	772
Oatlands (NSW)	Car as driver	1	M	933
Oatlands (NSW)	Car as passenger	1	F	85
Oatlands (NSW)	Car as passenger	1	M	37
Oatlands (NSW)	Motorbike scooter	1	M	7
Oatlands (NSW)	Other two methods	2	F	3
Oatlands (NSW)	Other two methods	2	M	7
Oatlands (NSW)	Train	1	F	52
Oatlands (NSW)	Train	1	M	48
Oatlands (NSW)	Train and two other methods	3	F	9
Oatlands (NSW)	Train and two other methods	3	M	12
Oatlands (NSW)	Truck	1	M	13
Oatlands (NSW)	Walked only	1	F	13
Oatlands (NSW)	Walked only	1	M	18
Oatley			F	7
Oatley			M	9
Oatley	(Other)	1	F	3
Oatley	(Other)	1	M	19
Oatley	Bicycle	1	F	3
Oatley	Bicycle	1	M	23
Oatley	Bus	1	F	5
Oatley	Bus	1	M	4
Oatley	Car as driver	1	F	1159
Oatley	Car as driver	1	M	1386
Oatley	Car as passenger	1	F	110
Oatley	Car as passenger	1	M	61
Oatley	Motorbike scooter	1	M	16
Oatley	Other two methods	2	F	4
Oatley	Other two methods	2	M	9
Oatley	Taxi	1	F	3
Oatley	Train	1	F	594
Oatley	Train	1	M	622
Oatley	Train and two other methods	3	F	12
Oatley	Train and two other methods	3	M	15
Oatley	Tram includes light rail	1	F	3
Oatley	Truck	1	M	34
Oatley	Walked only	1	F	56
Oatley	Walked only	1	M	50
Obanvale	Car as driver	1	M	3
Oberne Creek	Car as driver	1	F	4
Oberne Creek	Car as driver	1	M	10
Oberne Creek	Walked only	1	M	4
Oberon			F	13
Oberon			M	16
Oberon	(Other)	1	F	3
Oberon	Bicycle	1	M	4
Oberon	Bus	1	M	4
Oberon	Car as driver	1	F	428
Oberon	Car as driver	1	M	529
Oberon	Car as passenger	1	F	25
Oberon	Car as passenger	1	M	30
Oberon	Motorbike scooter	1	M	3
Oberon	Other two methods	2	M	6
Oberon	Truck	1	M	21
Oberon	Walked only	1	F	28
Oberon	Walked only	1	M	24
Obley	Car as driver	1	F	8
Obley	Car as driver	1	M	8
Obley	Truck	1	M	3
Ocean Shores			F	17
Ocean Shores			M	26
Ocean Shores	(Other)	1	F	5
Ocean Shores	(Other)	1	M	12
Ocean Shores	Bicycle	1	F	3
Ocean Shores	Bicycle	1	M	7
Ocean Shores	Bus	1	F	10
Ocean Shores	Bus	1	M	5
Ocean Shores	Car as driver	1	F	735
Ocean Shores	Car as driver	1	M	738
Ocean Shores	Car as passenger	1	F	35
Ocean Shores	Car as passenger	1	M	42
Ocean Shores	Motorbike scooter	1	M	7
Ocean Shores	Other two methods	2	F	3
Ocean Shores	Truck	1	M	34
Ocean Shores	Walked only	1	F	11
Ocean Shores	Walked only	1	M	17
Ogunbil	Car as driver	1	F	19
Ogunbil	Car as driver	1	M	24
Ogunbil	Car as passenger	1	F	3
Ogunbil	Car as passenger	1	M	3
Old Adaminaby	Car as driver	1	M	3
Old Bar			F	5
Old Bar			M	5
Old Bar	(Other)	1	M	9
Old Bar	Bicycle	1	M	3
Old Bar	Bus	1	F	3
Old Bar	Bus	1	M	3
Old Bar	Car as driver	1	F	554
Old Bar	Car as driver	1	M	527
Old Bar	Car as passenger	1	F	33
Old Bar	Car as passenger	1	M	18
Old Bar	Motorbike scooter	1	M	3
Old Bar	Other two methods	2	M	3
Old Bar	Truck	1	M	27
Old Bar	Walked only	1	F	26
Old Bar	Walked only	1	M	16
Old Bonalbo	Car as driver	1	F	4
Old Bonalbo	Car as driver	1	M	8
Old Erowal Bay	(Other)	1	M	3
Old Erowal Bay	Bicycle	1	M	3
Old Erowal Bay	Bus	1	M	3
Old Erowal Bay	Car as driver	1	F	117
Old Erowal Bay	Car as driver	1	M	128
Old Erowal Bay	Car as passenger	1	F	18
Old Erowal Bay	Car as passenger	1	M	11
Old Erowal Bay	Truck	1	M	6
Old Grevillia	Car as driver	1	M	5
Old Grevillia	Car as passenger	1	M	3
Old Guildford			F	5
Old Guildford			M	15
Old Guildford	(Other)	1	F	7
Old Guildford	Bicycle	1	M	3
Old Guildford	Bus	1	F	4
Old Guildford	Car as driver	1	F	193
Old Guildford	Car as driver	1	M	324
Old Guildford	Car as passenger	1	F	12
Old Guildford	Car as passenger	1	M	32
Old Guildford	Train	1	F	37
Old Guildford	Train	1	M	36
Old Guildford	Truck	1	M	37
Old Guildford	Walked only	1	F	7
Old Guildford	Walked only	1	M	7
Old Junee	Car as driver	1	F	33
Old Junee	Car as driver	1	M	38
Old Junee	Car as passenger	1	F	3
Old Mill	Car as driver	1	F	3
Old Mill	Car as driver	1	M	3
Old Station	Car as driver	1	F	3
Old Station	Car as driver	1	M	4
Old Toongabbie			F	3
Old Toongabbie			M	7
Old Toongabbie	(Other)	1	M	6
Old Toongabbie	Bicycle	1	M	3
Old Toongabbie	Bus	1	F	49
Old Toongabbie	Bus	1	M	35
Old Toongabbie	Car as driver	1	F	442
Old Toongabbie	Car as driver	1	M	517
Old Toongabbie	Car as passenger	1	F	39
Old Toongabbie	Car as passenger	1	M	18
Old Toongabbie	Motorbike scooter	1	M	10
Old Toongabbie	Other two methods	2	F	3
Old Toongabbie	Other two methods	2	M	5
Old Toongabbie	Train	1	F	36
Old Toongabbie	Train	1	M	46
Old Toongabbie	Train and two other methods	3	F	7
Old Toongabbie	Train and two other methods	3	M	3
Old Toongabbie	Truck	1	M	27
Old Toongabbie	Walked only	1	F	10
Old Toongabbie	Walked only	1	M	9
Olinda (NSW)	Car as driver	1	F	3
Olinda (NSW)	Car as driver	1	M	3
One Mile (NSW)			M	3
One Mile (NSW)	Car as driver	1	F	47
One Mile (NSW)	Car as driver	1	M	59
One Mile (NSW)	Car as passenger	1	F	6
One Mile (NSW)	Car as passenger	1	M	3
One Mile (NSW)	Walked only	1	F	5
One Mile (NSW)	Walked only	1	M	3
Oolong	Car as driver	1	F	10
Oolong	Car as driver	1	M	8
Oolong	Walked only	1	M	3
Ooma	Car as driver	1	F	5
Ooma	Car as driver	1	M	11
Ootha	Car as driver	1	F	8
Ootha	Car as driver	1	M	15
Ophir	Car as driver	1	F	21
Ophir	Car as driver	1	M	22
Ophir	Car as passenger	1	F	3
Ophir	Truck	1	M	4
Ophir	Walked only	1	M	3
Oran Park			F	16
Oran Park			M	17
Oran Park	(Other)	1	F	4
Oran Park	(Other)	1	M	3
Oran Park	Bus	1	F	5
Oran Park	Bus	1	M	11
Oran Park	Car as driver	1	F	719
Oran Park	Car as driver	1	M	970
Oran Park	Car as passenger	1	F	38
Oran Park	Car as passenger	1	M	34
Oran Park	Motorbike scooter	1	M	4
Oran Park	Other two methods	2	F	7
Oran Park	Other two methods	2	M	6
Oran Park	Train	1	F	45
Oran Park	Train	1	M	36
Oran Park	Train and two other methods	3	F	3
Oran Park	Train and two other methods	3	M	8
Oran Park	Truck	1	M	34
Oran Park	Walked only	1	F	8
Oran Park	Walked only	1	M	6
Orange			F	76
Orange			M	75
Orange	(Other)	1	F	18
Orange	(Other)	1	M	45
Orange	Bicycle	1	F	17
Orange	Bicycle	1	M	77
Orange	Bus	1	F	33
Orange	Bus	1	M	38
Orange	Bus and two other methods excludes train	3	M	3
Orange	Car as driver	1	F	5787
Orange	Car as driver	1	M	6208
Orange	Car as passenger	1	F	554
Orange	Car as passenger	1	M	513
Orange	Ferry	1	M	9
Orange	Motorbike scooter	1	F	5
Orange	Motorbike scooter	1	M	60
Orange	Other three methods	3	M	3
Orange	Other two methods	2	F	31
Orange	Other two methods	2	M	58
Orange	Taxi	1	F	37
Orange	Taxi	1	M	16
Orange	Train	1	F	8
Orange	Train	1	M	5
Orange	Train and two other methods	3	F	3
Orange	Tram includes light rail	1	M	3
Orange	Truck	1	F	4
Orange	Truck	1	M	145
Orange	Walked only	1	F	260
Orange	Walked only	1	M	298
Orange Grove (NSW)	Car as driver	1	F	3
Orange Grove (NSW)	Car as driver	1	M	6
Orangeville			F	4
Orangeville	Bus	1	M	3
Orangeville	Car as driver	1	F	201
Orangeville	Car as driver	1	M	254
Orangeville	Car as passenger	1	F	5
Orangeville	Car as passenger	1	M	11
Orangeville	Motorbike scooter	1	M	3
Orangeville	Taxi	1	M	3
Orangeville	Train	1	F	3
Orangeville	Train	1	M	8
Orangeville	Truck	1	F	3
Orangeville	Truck	1	M	22
Orangeville	Walked only	1	M	6
Orchard Hills			F	5
Orchard Hills			M	6
Orchard Hills	(Other)	1	F	4
Orchard Hills	(Other)	1	M	9
Orchard Hills	Bicycle	1	M	3
Orchard Hills	Car as driver	1	F	264
Orchard Hills	Car as driver	1	M	367
Orchard Hills	Car as passenger	1	F	24
Orchard Hills	Car as passenger	1	M	31
Orchard Hills	Train	1	F	10
Orchard Hills	Train	1	M	19
Orchard Hills	Truck	1	M	49
Orchard Hills	Walked only	1	F	10
Orchard Hills	Walked only	1	M	18
Orient Point	Bus	1	M	5
Orient Point	Car as driver	1	F	61
Orient Point	Car as driver	1	M	69
Orient Point	Car as passenger	1	M	3
Orient Point	Truck	1	M	4
Osborne (NSW)	Car as driver	1	M	3
Osterley (NSW)	Car as driver	1	F	29
Osterley (NSW)	Car as driver	1	M	24
Osterley (NSW)	Truck	1	M	3
Oswald	Car as driver	1	F	18
Oswald	Car as driver	1	M	13
Otford	Car as driver	1	F	47
Otford	Car as driver	1	M	70
Otford	Car as passenger	1	F	3
