SSC_NAME16	AustCitizen	persons
Jones Island	0	2
Jones Island	1	57
Jordan Springs	0	926
Jordan Springs	1	4230
Judds Creek	0	0
Judds Creek	1	16
Jugiong	0	27
Jugiong	1	195
Junction Hill	0	63
Junction Hill	1	1307
Junee	0	1422
Junee	1	3500
Junee Reefs	0	9
Junee Reefs	1	75
Kahibah	0	139
Kahibah	1	2325
Kains Flat	0	15
Kains Flat	1	150
Kalang	0	51
Kalang	1	215
Kalaru	0	93
Kalaru	1	615
Kalkite	0	26
Kalkite	1	188
Kamarah	0	13
Kamarah	1	82
Kameruka	0	9
Kameruka	1	109
Kanahooka	0	493
Kanahooka	1	5082
Kanangra	0	0
Kanangra	1	0
Kandos	0	195
Kandos	1	1120
Kangaloon	0	26
Kangaloon	1	125
Kangaroo Creek	0	12
Kangaroo Creek	1	95
Kangaroo Point (NSW)	0	58
Kangaroo Point (NSW)	1	502
Kangaroo Valley	0	140
Kangaroo Valley	1	739
Kangaroobie	0	1
Kangaroobie	1	40
Kangiara	0	2
Kangiara	1	46
Kangy Angy	0	37
Kangy Angy	1	269
Kanimbla (NSW)	0	12
Kanimbla (NSW)	1	109
Kanoona	0	5
Kanoona	1	138
Kanwal	0	494
Kanwal	1	3605
Kapooka	0	112
Kapooka	1	521
Kaputar	0	3
Kaputar	1	3
Karaak Flat	0	4
Karaak Flat	1	41
Karabar	0	846
Karabar	1	7401
Karangi	0	92
Karangi	1	494
Kareela	0	282
Kareela	1	3177
Kariong	0	787
Kariong	1	5598
Kars Springs	0	0
Kars Springs	1	32
Karuah	0	159
Karuah	1	1252
Katoomba	0	1090
Katoomba	1	6874
Kayuga	0	1
Kayuga	1	56
Kearns	0	239
Kearns	1	2506
Kearsley	0	65
Kearsley	1	796
Keepit	0	3
Keepit	1	10
Keera	0	10
Keera	1	46
Keerrong	0	21
Keerrong	1	135
Keinbah	0	3
Keinbah	1	113
Keiraville	0	805
Keiraville	1	2764
Keith Hall	0	46
Keith Hall	1	125
Kellys Plains	0	0
Kellys Plains	1	157
Kellyville	0	4066
Kellyville	1	23905
Kellyville Ridge	0	1653
Kellyville Ridge	1	8815
Kelso (NSW)	0	805
Kelso (NSW)	1	8163
Kelvin	0	10
Kelvin	1	165
Kembla Grange	0	22
Kembla Grange	1	230
Kembla Heights	0	10
Kembla Heights	1	109
Kemps Creek	0	392
Kemps Creek	1	1876
Kempsey	0	96
Kempsey	1	378
Kendall	0	120
Kendall	1	1021
Kenebri	0	4
Kenebri	1	38
Kennaicle Creek	0	-4
Kennaicle Creek	1	9
Kensington (NSW)	0	6217
Kensington (NSW)	1	8787
Kenthurst	0	372
Kenthurst	1	4665
Kentlyn	0	60
Kentlyn	1	680
Kentucky	0	12
Kentucky	1	146
Kentucky South	0	16
Kentucky South	1	109
Kerewong	0	0
Kerewong	1	10
Keri Keri	0	0
Keri Keri	1	10
Kerrabee	0	9
Kerrabee	1	6
Kerrigundi	0	0
Kerrigundi	1	13
Kerrs Creek	0	7
Kerrs Creek	1	38
Kew (NSW)	0	140
Kew (NSW)	1	949
Keybarbin	0	0
Keybarbin	1	3
Khancoban	0	39
Khancoban	1	265
Khatambuhl	0	3
Khatambuhl	1	0
Kia Ora (NSW)	0	0
Kia Ora (NSW)	1	25
Kiacatoo	0	1
Kiacatoo	1	26
Kiah	0	10
Kiah	1	132
Kiama	0	782
Kiama	1	6099
Kiama Downs	0	416
Kiama Downs	1	4588
Kiama Heights	0	84
Kiama Heights	1	730
Kianga (NSW)	0	96
Kianga (NSW)	1	681
Kiar	0	-1
Kiar	1	34
Kickabil	0	1
Kickabil	1	49
Kielvale	0	18
Kielvale	1	240
Kikiamah	0	5
Kikiamah	1	92
Kikoira	0	3
Kikoira	1	62
Kilaben Bay	0	101
Kilaben Bay	1	1330
Kilgin	0	10
Kilgin	1	36
Kilgra	0	5
Kilgra	1	72
Killabakh	0	31
Killabakh	1	243
Killara (NSW)	0	2074
Killara (NSW)	1	8500
Killarney Heights	0	556
Killarney Heights	1	3913
Killarney Vale	0	767
Killarney Vale	1	6449
Killawarra (NSW)	0	11
Killawarra (NSW)	1	159
Killcare	0	52
Killcare	1	421
Killcare Heights	0	74
Killcare Heights	1	671
Killiekrankie	0	0
Killiekrankie	1	0
Killimicat	0	3
Killimicat	1	26
Killingworth (NSW)	0	23
Killingworth (NSW)	1	656
Killongbutta	0	0
Killongbutta	1	30
Kimbriki	0	14
Kimbriki	1	116
Kinchela	0	17
Kinchela	1	247
Kincumber	0	595
Kincumber	1	6498
Kincumber South	0	74
Kincumber South	1	610
Kindee	0	4
Kindee	1	90
Kindervale	0	7
Kindervale	1	11
King Creek	0	137
King Creek	1	1431
Kingfisher Shores	0	8
Kingfisher Shores	1	155
Kinghorne	0	0
Kinghorne	1	0
Kings Forest	0	3
Kings Forest	1	32
Kings Langley	0	948
Kings Langley	1	8405
Kings Park (NSW)	0	468
Kings Park (NSW)	1	2985
Kings Plains (Blayney - NSW)	0	8
Kings Plains (Blayney - NSW)	1	109
Kings Plains (Inverell - NSW)	0	4
Kings Plains (Inverell - NSW)	1	8
Kings Point	0	18
Kings Point	1	535
Kingscliff	0	908
Kingscliff	1	6556
Kingsdale	0	10
Kingsdale	1	165
Kingsford (NSW)	0	6978
Kingsford (NSW)	1	8504
Kingsgate	0	0
Kingsgate	1	5
Kingsgrove	0	1858
Kingsgrove	1	10588
Kingsland	0	0
Kingsland	1	38
Kingstown	0	1
Kingstown	1	93
Kingsvale	0	11
Kingsvale	1	161
Kingswood (Bega Valley - NSW)	0	-2
Kingswood (Bega Valley - NSW)	1	9
Kingswood (Penrith - NSW)	0	1851
Kingswood (Penrith - NSW)	1	7450
Kingswood (Tamworth Regional - NSW)	0	120
Kingswood (Tamworth Regional - NSW)	1	914
Kioloa	0	25
Kioloa	1	232
Kiora	0	10
Kiora	1	44
Kippara	0	0
Kippara	1	0
Kippaxs	0	13
Kippaxs	1	13
Kippenduff	0	6
Kippenduff	1	30
Kirkconnell	0	240
Kirkconnell	1	41
Kirkham	0	64
Kirkham	1	635
Kirrawee	0	1008
Kirrawee	1	8270
Kirribilli	0	1106
Kirribilli	1	2714
Kitchener	0	31
Kitchener	1	448
Kiwarrak	0	0
Kiwarrak	1	0
Klori	0	7
Klori	1	44
Knights Hill	0	7
Knights Hill	1	36
Knockrow	0	26
Knockrow	1	166
Knorrit Flat	0	0
Knorrit Flat	1	33
Knorrit Forest	0	0
Knorrit Forest	1	0
Kogarah	0	5832
Kogarah	1	9292
Kogarah Bay	0	213
Kogarah Bay	1	1809
Kooba	0	26
Kooba	1	50
Kookabookra	0	0
Kookabookra	1	7
Koolewong	0	85
Koolewong	1	786
Koolkhan	0	9
Koolkhan	1	30
Koonawarra	0	351
Koonawarra	1	3316
Koonorigan	0	21
Koonorigan	1	282
Koonyum Range	0	2
Koonyum Range	1	13
Kooragang	0	0
Kooragang	1	0
Koorainghat	0	15
Koorainghat	1	177
Koorawatha	0	66
Koorawatha	1	361
Kooringal (NSW)	0	807
Kooringal (NSW)	1	6420
Kootingal	0	138
Kootingal	1	1988
Koraleigh	0	39
Koraleigh	1	314
Koreelah	0	4
Koreelah	1	69
Korora	0	322
Korora	1	2166
Kosciuszko	0	0
Kosciuszko	1	0
Kosciuszko National Park	0	200
Kosciuszko National Park	1	374
Kotara	0	232
Kotara	1	3697
Kotara South	0	77
Kotara South	1	1027
Krambach	0	43
Krambach	1	335
Krawarree	0	7
Krawarree	1	38
Kremnos	0	14
Kremnos	1	158
Ku-Ring-Gai Chase	0	4
Ku-Ring-Gai Chase	1	3
Kulnura	0	54
Kulnura	1	553
Kulwin (NSW)	0	0
Kulwin (NSW)	1	12
Kunama	0	9
Kunama	1	62
Kundabung	0	123
Kundabung	1	507
Kundibakh	0	6
Kundibakh	1	68
Kundle Kundle	0	12
Kundle Kundle	1	183
Kungala	0	12
Kungala	1	133
Kunghur	0	12
Kunghur	1	95
Kunghur Creek	0	2
Kunghur Creek	1	42
Kurmond	0	73
Kurmond	1	779
Kurnell	0	183
Kurnell	1	2084
Kurraba Point	0	307
Kurraba Point	1	1214
Kurrajong	0	292
Kurrajong	1	2770
Kurrajong Heights	0	177
Kurrajong Heights	1	1165
Kurrajong Hills	0	68
Kurrajong Hills	1	600
Kurri Kurri	0	571
Kurri Kurri	1	5473
Kyalite	0	2
Kyalite	1	80
Kyarran	0	-1
Kyarran	1	18
Kybeyan	0	4
Kybeyan	1	33
Kyeamba	0	2
Kyeamba	1	52
Kyeemagh	0	126
Kyeemagh	1	793
Kyle Bay	0	95
Kyle Bay	1	940
Kynnumboon	0	20
Kynnumboon	1	114
Kyogle	0	291
Kyogle	1	1906
La Perouse	0	44
La Perouse	1	355
Lacmalac	0	23
Lacmalac	1	136
Lade Vale	0	6
Lade Vale	1	122
Ladysmith	0	37
Ladysmith	1	315
Laffing Waters	0	10
Laffing Waters	1	102
Laggan	0	24
Laggan	1	334
Lagoon Grass	0	5
Lagoon Grass	1	49
Laguna	0	48
Laguna	1	168
Lake Albert (NSW)	0	444
Lake Albert (NSW)	1	5748
Lake Bathurst	0	55
Lake Bathurst	1	173
Lake Brewster	0	3
Lake Brewster	1	8
Lake Burrendong	0	2
Lake Burrendong	1	4
Lake Cargelligo	0	226
Lake Cargelligo	1	1253
Lake Cathie	0	228
Lake Cathie	1	3266
Lake Conjola	0	31
Lake Conjola	1	406
Lake Cowal	0	-1
Lake Cowal	1	37
Lake George	0	18
Lake George	1	80
Lake Haven	0	490
Lake Haven	1	3088
Lake Heights	0	498
Lake Heights	1	3347
Lake Hume Village	0	0
Lake Hume Village	1	56
Lake Illawarra	0	353
Lake Illawarra	1	2810
Lake Innes	0	33
Lake Innes	1	393
Lake Macquarie	0	0
Lake Macquarie	1	0
Lake Munmorah	0	475
Lake Munmorah	1	4773
Lake Tabourie	0	58
Lake Tabourie	1	593
Lake Wyangan	0	76
Lake Wyangan	1	821
Lakelands (NSW)	0	91
Lakelands (NSW)	1	1333
Lakemba	0	6313
Lakemba	1	10710
Lakesland	0	39
Lakesland	1	393
Lakewood	0	105
Lakewood	1	1086
Lalalty	0	16
Lalalty	1	80
Lalor Park	0	1251
Lalor Park	1	6416
Lambs Valley (Glen Innes Severn - NSW)	0	14
Lambs Valley (Glen Innes Severn - NSW)	1	75
Lambs Valley (Singleton - NSW)	0	47
Lambs Valley (Singleton - NSW)	1	320
Lambton	0	429
Lambton	1	4480
Landervale	0	0
Landervale	1	22
Lane Cove	0	2109
Lane Cove	1	8708
Lane Cove North	0	2848
Lane Cove North	1	8588
Lane Cove West	0	414
Lane Cove West	1	2223
Langley Vale	0	4
Langley Vale	1	40
Lanitza	0	32
Lanitza	1	265
Lankeys Creek	0	4
Lankeys Creek	1	45
Lansdowne (Canterbury-Bankstown - NSW)	0	4
Lansdowne (Canterbury-Bankstown - NSW)	1	13
Lansdowne (Mid-Coast - NSW)	0	36
Lansdowne (Mid-Coast - NSW)	1	553
Lansdowne Forest	0	0
Lansdowne Forest	1	7
Lansvale	0	384
Lansvale	1	2186
Lapstone	0	102
Lapstone	1	859
Larbert	0	13
Larbert	1	26
Largs	0	145
Largs	1	1795
Larnook	0	62
Larnook	1	314
Larras Lee	0	7
Larras Lee	1	61
Laughtondale	0	4
Laughtondale	1	79
Laurel Hill	0	0
Laurel Hill	1	20
Laurieton	0	163
Laurieton	1	1823
Lavadia	0	0
Lavadia	1	21
Lavender Bay	0	247
Lavender Bay	1	694
Laverstock	0	-3
Laverstock	1	29
Lavington	0	1724
Lavington	1	10748
Lawrence (NSW)	0	111
Lawrence (NSW)	1	935
Lawson (NSW)	0	286
Lawson (NSW)	1	2328
Leadville	0	53
Leadville	1	116
Leconfield	0	5
Leconfield	1	141
Lee Creek	0	0
Lee Creek	1	3
Leeton	0	1168
Leeton	1	7455
Leets Vale	0	14
Leets Vale	1	43
Leeville	0	27
Leeville	1	220
Legume	0	13
Legume	1	139
Leichhardt (NSW)	0	2680
Leichhardt (NSW)	1	11945
Lemington	0	4
Lemington	1	4
Lemon Tree	0	9
Lemon Tree	1	51
Lemon Tree Passage	0	289
Lemon Tree Passage	1	2314
Len Waters Estate	0	0
Len Waters Estate	1	0
Lenaghan	0	9
Lenaghan	1	50
Lennox Head	0	701
Lennox Head	1	5706
Leonay	0	266
Leonay	1	2252
Leppington	0	554
Leppington	1	2944
Lerida	0	1
Lerida	1	23
Lethbridge Park	0	1085
Lethbridge Park	1	3667
Leumeah	0	1643
Leumeah	1	8192
Leura	0	824
Leura	1	3820
Levenstrath	0	5
Levenstrath	1	35
Lewinsbrook	0	1
Lewinsbrook	1	42
Lewis Ponds	0	19
Lewis Ponds	1	128
Lewisham (NSW)	0	583
Lewisham (NSW)	1	2581
Leycester	0	5
Leycester	1	144
Liberty Grove	0	717
Liberty Grove	1	1537
Lidcombe	0	7020
Lidcombe	1	12607
Liddell	0	0
Liddell	1	0
Lidsdale	0	71
Lidsdale	1	358
Lidster	0	25
Lidster	1	279
Lightning Ridge	0	389
Lightning Ridge	1	1895
Lilli Pilli (Eurobodalla - NSW)	0	88
Lilli Pilli (Eurobodalla - NSW)	1	541
Lilli Pilli (Sutherland Shire - NSW)	0	81
Lilli Pilli (Sutherland Shire - NSW)	1	1309
Lillian Rock	0	55
Lillian Rock	1	163
Lilydale (NSW)	0	12
Lilydale (NSW)	1	17
Lilyfield	0	1156
Lilyfield	1	6460
Lilyvale (NSW)	0	0
Lilyvale (NSW)	1	5
Limbri	0	11
Limbri	1	97
Limeburners Creek (Mid-Coast - NSW)	0	49
Limeburners Creek (Mid-Coast - NSW)	1	287
Limeburners Creek (Port Macquarie-Hastings - NSW)	0	5
Limeburners Creek (Port Macquarie-Hastings - NSW)	1	8
Limekilns	0	7
Limekilns	1	104
Limerick	0	5
Limerick	1	38
Limestone (NSW)	0	9
Limestone (NSW)	1	0
Limpinwood	0	21
Limpinwood	1	194
Linburn	0	7
Linburn	1	57
Linden (NSW)	0	67
Linden (NSW)	1	434
Lindendale	0	31
Lindendale	1	214
Lindesay	0	3
Lindesay	1	17
Lindesay Creek	0	0
Lindesay Creek	1	21
Lindfield	0	1698
Lindfield	1	8093
Lindifferon	0	1
Lindifferon	1	44
Linley Point	0	40
Linley Point	1	306
Lionsville	0	2
Lionsville	1	3
Lisarow	0	441
Lisarow	1	4695
Lismore (NSW)	0	504
Lismore (NSW)	1	3075
Lismore Heights	0	203
Lismore Heights	1	1990
Liston	0	11
Liston	1	122
Lithgow	0	604
Lithgow	1	4597
Little Back Creek	0	6
Little Back Creek	1	37
Little Bay	0	1130
Little Bay	1	3347
Little Billabong	0	6
Little Billabong	1	104
Little Forest	0	10
Little Forest	1	151
Little Hartley	0	57
Little Hartley	1	449
Little Jacks Creek	0	0
Little Jacks Creek	1	19
Little Jilliby	0	58
Little Jilliby	1	62
Little Pelican	0	0
Little Pelican	1	4
Little Plain	0	4
Little Plain	1	139
Little River (NSW)	0	4
Little River (NSW)	1	43
Little Topar	0	0
Little Topar	1	29
Little Wobby	0	19
Little Wobby	1	42
Littleton	0	63
Littleton	1	736
Liverpool	0	9256
Liverpool	1	17828
Llanarth (NSW)	0	185
Llanarth (NSW)	1	2013
Llandilo	0	224
Llandilo	1	1413
Llangothlin	0	8
Llangothlin	1	121
Lloyd	0	77
Lloyd	1	761
Loadstone	0	0
Loadstone	1	37
Lochiel (NSW)	0	19
Lochiel (NSW)	1	335
Lochinvar	0	76
Lochinvar	1	708
Lockhart	0	92
Lockhart	1	969
Locksley (NSW)	0	18
Locksley (NSW)	1	32
Loftus	0	242
Loftus	1	3893
Loftville	0	36
Loftville	1	193
Logans Crossing	0	6
Logans Crossing	1	127
Logie Brae	0	9
Logie Brae	1	71
Londonderry (NSW)	0	508
Londonderry (NSW)	1	3398
Long Beach	0	104
Long Beach	1	1332
Long Flat (NSW)	0	14
Long Flat (NSW)	1	110
Long Jetty	0	678
Long Jetty	1	5712
Long Plain (Inverell - NSW)	0	9
Long Plain (Inverell - NSW)	1	25
Long Plain (Snowy Monaro Regional - NSW)	0	0
Long Plain (Snowy Monaro Regional - NSW)	1	0
Long Point (Campbelltown - NSW)	0	28
Long Point (Campbelltown - NSW)	1	184
Long Point (Singleton - NSW)	0	0
Long Point (Singleton - NSW)	1	31
Longarm	0	6
Longarm	1	11
Longreach (NSW)	0	4
Longreach (NSW)	1	60
Longueville	0	163
Longueville	1	1897
Loomberah	0	23
Loomberah	1	486
Lord Howe Island	0	64
Lord Howe Island	1	318
Lords Hill	0	0
Lords Hill	1	22
Lorn	0	106
Lorn	1	1231
Lorne (NSW)	0	26
Lorne (NSW)	1	240
Lost River	0	7
Lost River	1	68
Lostock	0	11
Lostock	1	47
Louisa Creek	0	2
Louisa Creek	1	7
Louth	0	8
Louth	1	35
Louth Park	0	34
Louth Park	1	620
Lovedale	0	50
Lovedale	1	435
Lovett Bay	0	65
Lovett Bay	1	88
Lowanna	0	82
Lowanna	1	280
Lower Acacia Creek	0	9
Lower Acacia Creek	1	29
Lower Bago	0	0
Lower Bago	1	7
Lower Belford	0	20
Lower Belford	1	372
Lower Boro	0	22
Lower Boro	1	154
Lower Bottle Creek	0	1
Lower Bottle Creek	1	19
Lower Creek	0	4
Lower Creek	1	28
Lower Duck Creek	0	2
Lower Duck Creek	1	21
Lower Dyraaba	0	0
Lower Dyraaba	1	23
Lower Lewis Ponds	0	6
Lower Lewis Ponds	1	38
Lower Macdonald	0	24
Lower Macdonald	1	236
Lower Mangrove	0	11
Lower Mangrove	1	54
Lower Pappinbarra	0	21
Lower Pappinbarra	1	94
Lower Peacock	0	0
Lower Peacock	1	6
Lower Portland	0	86
Lower Portland	1	503
Lower Southgate	0	8
Lower Southgate	1	105
Lowesdale	0	11
Lowesdale	1	84
Lowther	0	16
Lowther	1	61
Loxford	0	15
Loxford	1	52
Lucas Heights	0	0
Lucas Heights	1	0
Lucknow (NSW)	0	26
Lucknow (NSW)	1	271
Luddenham	0	195
Luddenham	1	1633
Lue	0	28
Lue	1	164
Lugarno	0	396
Lugarno	1	5210
Lurnea	0	1952
Lurnea	1	7359
Luskintyre	0	9
Luskintyre	1	174
Lynchs Creek	0	7
Lynchs Creek	1	87
Lyndhurst (Armidale Regional - NSW)	0	0
Lyndhurst (Armidale Regional - NSW)	1	21
Lyndhurst (Blayney - NSW)	0	34
Lyndhurst (Blayney - NSW)	1	331
Lynwood (NSW)	0	13
Lynwood (NSW)	1	215
Mabins Well	0	0
Mabins Well	1	17
Macdonalds Creek	0	1
Macdonalds Creek	1	10
Macksville	0	308
Macksville	1	2290
Maclean	0	284
Maclean	1	2344
Macmasters Beach	0	103
Macmasters Beach	1	1191
Macquarie Fields	0	2763
Macquarie Fields	1	10951
Macquarie Hills	0	168
Macquarie Hills	1	3136
Macquarie Links	0	148
Macquarie Links	1	1212
Macquarie Marshes	0	0
Macquarie Marshes	1	3
Macquarie Park	0	3947
Macquarie Park	1	4197
Macquarie Pass	0	0
Macquarie Pass	1	0
Maddens Plains	0	0
Maddens Plains	1	4
Maffra (NSW)	0	-1
Maffra (NSW)	1	22
Magenta (NSW)	0	30
Magenta (NSW)	1	175
Magometon	0	3
Magometon	1	19
Maianbar	0	40
Maianbar	1	465
Maimuru	0	6
Maimuru	1	131
Main Arm	0	124
Main Arm	1	462
Main Creek	0	11
Main Creek	1	77
Mairjimmy	0	22
Mairjimmy	1	36
Maison Dieu	0	34
Maison Dieu	1	147
Maitland (NSW)	0	253
Maitland (NSW)	1	1632
Maitland Bar	0	4
Maitland Bar	1	14
Maitland Vale	0	23
Maitland Vale	1	112
Majors Creek (NSW)	0	25
Majors Creek (NSW)	1	224
Malabar	0	2123
Malabar	1	3297
Maldon (NSW)	0	2
Maldon (NSW)	1	13
Mallabula	0	84
Mallabula	1	847
Mallan	0	6
Mallan	1	47
Mallanganee	0	11
Mallanganee	1	137
Mallee	0	0
Mallee	1	10
Mallowa	0	35
Mallowa	1	73
Maloneys Beach	0	34
Maloneys Beach	1	337
Malua Bay	0	232
Malua Bay	1	1697
Manar	0	15
Manar	1	103
Manchester Square	0	5
Manchester Square	1	14
Mandagery	0	2
Mandagery	1	63
Mandalong	0	35
Mandalong	1	391
Mandemar	0	2
Mandemar	1	60
Mandurama	0	46
Mandurama	1	309
Mangerton	0	418
Mangerton	1	2441
Mangoola	0	5
Mangoola	1	43
Mangoplah	0	60
Mangoplah	1	249
Mangrove Creek	0	12
Mangrove Creek	1	28
Mangrove Mountain	0	79
Mangrove Mountain	1	636
Manildra	0	93
Manildra	1	667
Manilla	0	270
Manilla	1	2280
Manly (NSW)	0	5074
Manly (NSW)	1	10792
Manly Vale	0	1346
Manly Vale	1	4814
Mannering Park	0	194
Mannering Park	1	2278
Manning Point	0	32
Manning Point	1	207
Mannus	0	164
Mannus	1	58
Manobalai	0	3
Manobalai	1	64
Manton (NSW)	0	22
Manton (NSW)	1	272
Manyana	0	42
Manyana	1	479
Maragle	0	3
Maragle	1	55
Maraylya	0	138
Maraylya	1	1106
Marayong	0	1375
Marayong	1	6331
March	0	4
March	1	111
Marchmont	0	12
Marchmont	1	217
Mardi	0	497
Mardi	1	3187
Marengo (NSW)	0	0
Marengo (NSW)	1	7
Mares Run	0	0
Mares Run	1	0
Marinna	0	13
Marinna	1	34
Marks Point	0	142
Marks Point	1	1684
Markwell	0	13
Markwell	1	103
Marlee	0	49
Marlee	1	170
Marlo Merrican	0	14
Marlo Merrican	1	56
Marlow	0	4
Marlow	1	14
Marlowe	0	0
Marlowe	1	3
Marmong Point	0	39
Marmong Point	1	719
Marom Creek	0	7
Marom Creek	1	120
Maroota	0	95
Maroota	1	522
Maroubra	0	7830
Maroubra	1	22858
Marrangaroo	0	466
Marrangaroo	1	443
Marrar	0	19
Marrar	1	349
Marrickville	0	5398
Marrickville	1	21194
Marsden Park	0	213
Marsden Park	1	795
Marsfield	0	4340
Marsfield	1	8957
Marshall Mount	0	8
Marshall Mount	1	134
Marshdale	0	11
Marshdale	1	33
Marthaguy	0	2
Marthaguy	1	56
Martindale	0	36
Martindale	1	124
Martins Creek	0	55
Martins Creek	1	333
Martinsville	0	45
Martinsville	1	316
Marulan	0	104
Marulan	1	1074
Maryland (Newcastle - NSW)	0	572
Maryland (Newcastle - NSW)	1	7122
Maryland (Tenterfield - NSW)	0	4
Maryland (Tenterfield - NSW)	1	53
Marys Mount	0	4
Marys Mount	1	71
Maryvale (NSW)	0	17
Maryvale (NSW)	1	174
Maryville	0	101
Maryville	1	1343
Mascot	0	5231
Mascot	1	9541
Matcham	0	98
Matcham	1	889
Matheson	0	-1
Matheson	1	50
Mathoura	0	62
Mathoura	1	876
Matong	0	32
Matong	1	132
Matraville	0	1626
Matraville	1	8178
Maude (NSW)	0	9
Maude (NSW)	1	73
Maules Creek	0	8
Maules Creek	1	105
Maxwell	0	8
Maxwell	1	82
Maybole	0	3
Maybole	1	40
Mayers Flat	0	6
Mayers Flat	1	45
Mayfield (Newcastle - NSW)	0	1090
Mayfield (Newcastle - NSW)	1	8224
Mayfield (Oberon - NSW)	0	0
Mayfield (Oberon - NSW)	1	7
Mayfield (Queanbeyan-Palerang Regional - NSW)	0	2
Mayfield (Queanbeyan-Palerang Regional - NSW)	1	20
Mayfield (Shoalhaven - NSW)	0	7
Mayfield (Shoalhaven - NSW)	1	30
Mayfield East	0	172
Mayfield East	1	1520
Mayfield North	0	0
Mayfield North	1	0
Mayfield West	0	176
Mayfield West	1	1719
Mayrung	0	33
Mayrung	1	115
Mays Hill	0	290
Mays Hill	1	477
Mayvale	0	0
Mayvale	1	12
McCullys Gap	0	6
McCullys Gap	1	241
McDougalls Hill	0	6
McDougalls Hill	1	138
McGraths Hill	0	213
McGraths Hill	1	2339
McKees Hill	0	18
McKees Hill	1	336
McKellars Park	0	24
McKellars Park	1	203
McLeans Ridges	0	49
McLeans Ridges	1	461
McLeods Shoot	0	26
McLeods Shoot	1	76
McMahons Point	0	608
McMahons Point	1	1670
McMahons Reef	0	5
McMahons Reef	1	52
Meadow Flat	0	24
Meadow Flat	1	285
Meadowbank (NSW)	0	1770
Meadowbank (NSW)	1	2638
Mebbin	0	0
Mebbin	1	0
Mebul	0	0
Mebul	1	40
Medlow Bath	0	86
Medlow Bath	1	525
Medowie	0	862
Medowie	1	8701
Medway	0	16
Medway	1	103
Meerschaum Vale	0	42
Meerschaum Vale	1	355
Megalong Valley	0	30
Megalong Valley	1	119
Megan	0	22
Megan	1	127
Melbergen	0	0
Melbergen	1	4
Melinga	0	4
Melinga	1	99
Mellong	0	0
Mellong	1	0
Mellool	0	2
Mellool	1	42
Melrose Park (NSW)	0	182
Melrose Park (NSW)	1	1392
Melville (NSW)	0	8
Melville (NSW)	1	56
Memagong	0	6
Memagong	1	86
Menah	0	18
Menah	1	134
Menai	0	793
Menai	1	9511
Menangle	0	74
Menangle	1	1076
Menangle Park	0	31
Menangle Park	1	226
Mendooran	0	47
Mendooran	1	512
Menindee	0	79
Menindee	1	472
Merah North	0	29
Merah North	1	157
Merewether	0	863
Merewether	1	10101
Merewether Heights	0	123
Merewether Heights	1	1277
Merimbula	0	450
Merimbula	1	3094
Meringo	0	7
Meringo	1	96
Mernot	0	0
Mernot	1	0
Meroo	0	3
Meroo	1	34
Meroo Meadow	0	52
Meroo Meadow	1	420
Merotherie	0	10
Merotherie	1	14
Merriangaah	0	0
Merriangaah	1	5
Merricumbene	0	0
Merricumbene	1	19
Merrigal	0	2
Merrigal	1	29
Merrill	0	-3
Merrill	1	34
Merriwa (NSW)	0	238
Merriwa (NSW)	1	1523
Merriwagga	0	4
Merriwagga	1	103
Merrygoen	0	12
Merrygoen	1	103
Merrylands	0	7525
Merrylands	1	22128
Merrylands West	0	1364
Merrylands West	1	5228
Merungle Hill	0	62
Merungle Hill	1	200
Meryla	0	0
Meryla	1	4
Metford	0	450
Metford	1	4314
Methul	0	0
Methul	1	52
Metz	0	3
Metz	1	103
Miamley	0	0
Miamley	1	0
Miandetta (NSW)	0	17
Miandetta (NSW)	1	22
Micalo Island	0	5
Micalo Island	1	29
Michelago	0	55
Michelago	1	507
Middle Arm	0	17
Middle Arm	1	345
Middle Brook	0	24
Middle Brook	1	201
Middle Brother	0	1
Middle Brother	1	46
Middle Cove	0	156
Middle Cove	1	1184
Middle Dural	0	107
Middle Dural	1	901
Middle Falbrook	0	1
Middle Falbrook	1	91
Middle Flat	0	3
Middle Flat	1	51
Middle Pocket	0	10
Middle Pocket	1	128
Middleton Grange	0	794
Middleton Grange	1	4383
Middlingbank	0	2
Middlingbank	1	12
Midginbil	0	17
Midginbil	1	55
Mihi	0	7
Mihi	1	31
Mila	0	0
Mila	1	45
Milbrodale	0	14
Milbrodale	1	103
Milbrulong	0	12
Milbrulong	1	82
Milkers Flat	0	1
Milkers Flat	1	4
Millah Murrah	0	-2
Millah Murrah	1	28
Millbank (NSW)	0	21
Millbank (NSW)	1	103
Miller	0	620
Miller	1	2617
Millers Forest	0	14
Millers Forest	1	321
Millers Point	0	521
Millers Point	1	961
Millfield	0	156
Millfield	1	850
Millie	0	11
Millie	1	17
Millingandi	0	38
Millingandi	1	408
Millthorpe	0	95
Millthorpe	1	1158
Milparinka	0	9
Milparinka	1	68
Milperra	0	297
Milperra	1	3655
Milroy (Gunnedah - NSW)	0	11
Milroy (Gunnedah - NSW)	1	66
Milroy (Mid-Western Regional - NSW)	0	3
Milroy (Mid-Western Regional - NSW)	1	48
Milsons Passage	0	9
Milsons Passage	1	11
Milsons Point	0	741
Milsons Point	1	1417
Milton (NSW)	0	216
Milton (NSW)	1	1447
Milvale	0	-1
Milvale	1	68
Mimosa (NSW)	0	4
Mimosa (NSW)	1	80
Minchinbury	0	768
Minchinbury	1	4851
Mindaribba	0	0
Mindaribba	1	75
