SSC_NAME16	SameAddress1YearAgo	SameAddress5YearsAgo	persons
Glebe (NSW)	0	1	4486
Glebe (NSW)	1	0	7480
Gledswood Hills	0	1	17
Gledswood Hills	1	0	18
Glen Alice	0	1	16
Glen Alice	1	0	32
Glen Allen	0	1	9
Glen Allen	1	0	11
Glen Alpine	0	1	2965
Glen Alpine	1	0	3896
Glen Davis	0	1	62
Glen Davis	1	0	92
Glen Elgin	0	1	17
Glen Elgin	1	0	36
Glen Fergus	0	1	6
Glen Fergus	1	0	3
Glen Innes	0	1	3226
Glen Innes	1	0	4586
Glen Martin	0	1	113
Glen Martin	1	0	144
Glen Oak	0	1	227
Glen Oak	1	0	271
Glen Ward	0	1	6
Glen Ward	1	0	6
Glen William	0	1	57
Glen William	1	0	95
Glenbawn	0	1	25
Glenbawn	1	0	48
Glenbrook	0	1	3231
Glenbrook	1	0	4258
Glencoe (NSW)	0	1	102
Glencoe (NSW)	1	0	133
Glendale (NSW)	0	1	1760
Glendale (NSW)	1	0	2488
Glendenning	0	1	2926
Glendenning	1	0	4255
Glendon	0	1	66
Glendon	1	0	93
Glendon Brook	0	1	169
Glendon Brook	1	0	216
Glenelg (NSW)	0	1	24
Glenelg (NSW)	1	0	30
Glenellen	0	1	96
Glenellen	1	0	116
Glenfield (NSW)	0	1	4265
Glenfield (NSW)	1	0	7364
Glenfield Park	0	1	2386
Glenfield Park	1	0	3967
Glengarrie	0	1	82
Glengarrie	1	0	109
Glenhaven	0	1	3772
Glenhaven	1	0	5530
Gleniffer	0	1	211
Gleniffer	1	0	282
Glenmore (NSW)	0	1	66
Glenmore (NSW)	1	0	94
Glenmore Park	0	1	11504
Glenmore Park	1	0	18450
Glennies Creek	0	1	20
Glennies Creek	1	0	31
Glenning Valley	0	1	1147
Glenning Valley	1	0	1632
Glenorie	0	1	2078
Glenorie	1	0	2913
Glenquarry	0	1	105
Glenquarry	1	0	159
Glenreagh	0	1	458
Glenreagh	1	0	681
Glenridding	0	1	160
Glenridding	1	0	207
Glenrock (NSW)	0	1	18
Glenrock (NSW)	1	0	22
Glenroy (Albury - NSW)	0	1	1654
Glenroy (Albury - NSW)	1	0	2507
Glenroy (Snowy Valleys - NSW)	0	1	46
Glenroy (Snowy Valleys - NSW)	1	0	58
Glenthorne	0	1	116
Glenthorne	1	0	167
Glenugie	0	1	133
Glenugie	1	0	152
Glenwood (NSW)	0	1	9604
Glenwood (NSW)	1	0	13705
Glenworth Valley	0	1	3
Glenworth Valley	1	0	5
Glossodia	0	1	1666
Glossodia	1	0	2324
Gloucester	0	1	1597
Gloucester	1	0	2274
Gobarralong	0	1	21
Gobarralong	1	0	35
Gobbagombalin	0	1	90
Gobbagombalin	1	0	240
Gocup	0	1	78
Gocup	1	0	109
Godfreys Creek	0	1	46
Godfreys Creek	1	0	67
Gogeldrie	0	1	59
Gogeldrie	1	0	82
Gol Gol	0	1	855
Gol Gol	1	0	1240
Gollan	0	1	68
Gollan	1	0	91
Golspie	0	1	38
Golspie	1	0	55
Gongolgon	0	1	23
Gongolgon	1	0	36
Gonn	0	1	31
Gonn	1	0	34
Goobarragandra	0	1	41
Goobarragandra	1	0	53
Good Forest	0	1	31
Good Forest	1	0	29
Good Hope	0	1	98
Good Hope	1	0	126
Goodnight	0	1	64
Goodnight	1	0	80
Goodooga	0	1	174
Goodooga	1	0	206
Goodwood Island	0	1	42
Goodwood Island	1	0	52
Googong	0	1	766
Googong	1	0	1688
Goolgowi	0	1	222
Goolgowi	1	0	324
Goolhi	0	1	43
Goolhi	1	0	75
Goolma	0	1	63
Goolma	1	0	85
Goolmangar	0	1	109
Goolmangar	1	0	152
Gooloogong	0	1	240
Gooloogong	1	0	329
Goombargana	0	1	29
Goombargana	1	0	43
Goonellabah	0	1	6486
Goonellabah	1	0	9850
Goonengerry	0	1	208
Goonengerry	1	0	276
Goonoo Forest	0	1	7
Goonoo Forest	1	0	3
Goonoo Goonoo	0	1	34
Goonoo Goonoo	1	0	52
Goonumbla	0	1	63
Goonumbla	1	0	83
Goorangoola	0	1	41
Goorangoola	1	0	49
Goorianawa	0	1	21
Goorianawa	1	0	28
Gordon (NSW)	0	1	3555
Gordon (NSW)	1	0	5858
Gorge Creek	0	1	5
Gorge Creek	1	0	3
Gormans Hill	0	1	330
Gormans Hill	1	0	554
Gorokan	0	1	4037
Gorokan	1	0	6325
Gosford	0	1	943
Gosford	1	0	2093
Gosforth	0	1	47
Gosforth	1	0	61
Gostwyck	0	1	16
Gostwyck	1	0	17
Goulburn	0	1	10827
Goulburn	1	0	16391
Gowan	0	1	28
Gowan	1	0	27
Gowang	0	1	10
Gowang	1	0	16
Gowrie (Singleton - NSW)	0	1	186
Gowrie (Singleton - NSW)	1	0	288
Gowrie (Tamworth Regional - NSW)	0	1	56
Gowrie (Tamworth Regional - NSW)	1	0	71
Grabben Gullen	0	1	146
Grabben Gullen	1	0	195
Gradys Creek	0	1	30
Gradys Creek	1	0	45
Grafton	0	1	5089
Grafton	1	0	7656
Gragin	1	0	3
Grahamstown	0	1	50
Grahamstown	1	0	51
Graman	0	1	41
Graman	1	0	71
Granville (NSW)	0	1	6734
Granville (NSW)	1	0	11138
Grasmere	0	1	1033
Grasmere	1	0	1557
Grassy Head	0	1	35
Grassy Head	1	0	58
Grattai	0	1	194
Grattai	1	0	253
Gravesend	0	1	183
Gravesend	1	0	242
Grays Point	0	1	2070
Grays Point	1	0	2761
Great Mackerel Beach	0	1	25
Great Mackerel Beach	1	0	30
Great Marlow	0	1	121
Great Marlow	1	0	157
Green Creek	0	1	10
Green Creek	1	0	10
Green Forest	0	1	4
Green Forest	1	0	3
Green Gully (NSW)	0	1	18
Green Gully (NSW)	1	0	29
Green Hills (Armidale Regional - NSW)	0	1	12
Green Hills (Armidale Regional - NSW)	1	0	17
Green Pigeon	0	1	103
Green Pigeon	1	0	121
Green Point (Central Coast - NSW)	0	1	3664
Green Point (Central Coast - NSW)	1	0	5199
Green Point (Gosford - NSW)	0	1	19
Green Point (Gosford - NSW)	1	0	32
Green Point (Mid-Coast - NSW)	0	1	299
Green Point (Mid-Coast - NSW)	1	0	399
Green Valley (NSW)	0	1	7906
Green Valley (NSW)	1	0	10560
Greenacre	0	1	14370
Greenacre	1	0	20074
Greendale (Bega Valley - NSW)	0	1	40
Greendale (Bega Valley - NSW)	1	0	62
Greendale (Liverpool - NSW)	0	1	185
Greendale (Liverpool - NSW)	1	0	263
Greenethorpe	0	1	139
Greenethorpe	1	0	176
Greenfield Park	0	1	3371
Greenfield Park	1	0	4347
Greengrove	0	1	9
Greengrove	1	0	11
Greenhill (NSW)	0	1	421
Greenhill (NSW)	1	0	553
Greenhills Beach	0	1	18
Greenhills Beach	1	0	599
Greenlands (Singleton - NSW)	0	1	58
Greenlands (Singleton - NSW)	1	0	81
Greenlands (Snowy Monaro Regional - NSW)	0	1	6
Greenlands (Snowy Monaro Regional - NSW)	1	0	11
Greenleigh	0	1	449
Greenleigh	1	0	590
Greenridge	0	1	76
Greenridge	1	0	122
Greenwell Point	0	1	729
Greenwell Point	1	0	963
Greenwich	0	1	2642
Greenwich	1	0	4243
Greenwich Park	0	1	58
Greenwich Park	1	0	98
Greg Greg	0	1	19
Greg Greg	1	0	30
Gregadoo	0	1	131
Gregadoo	1	0	192
Gregory Hills	0	1	279
Gregory Hills	1	0	2975
Greigs Flat	0	1	85
Greigs Flat	1	0	130
Grenfell	0	1	1521
Grenfell	1	0	2070
Gresford	0	1	132
Gresford	1	0	189
Greta (NSW)	0	1	1412
Greta (NSW)	1	0	2221
Greta Main	0	1	39
Greta Main	1	0	57
Grevillia	0	1	47
Grevillia	1	0	65
Greystanes	0	1	14557
Greystanes	1	0	19068
Griffith (NSW)	0	1	8992
Griffith (NSW)	1	0	13292
Grogan	0	1	57
Grogan	1	0	86
Grong Grong	0	1	141
Grong Grong	1	0	187
Grose Vale	0	1	761
Grose Vale	1	0	1087
Grose Wold	0	1	385
Grose Wold	1	0	530
Grosses Plain	0	1	24
Grosses Plain	1	0	30
Growee	1	0	4
Guerilla Bay	0	1	22
Guerilla Bay	1	0	29
Guildford (NSW)	0	1	11250
Guildford (NSW)	1	0	17096
Guildford West	0	1	2802
Guildford West	1	0	3970
Gulargambone	0	1	310
Gulargambone	1	0	417
Gulf Creek	0	1	27
Gulf Creek	1	0	30
Gulgong	0	1	1236
Gulgong	1	0	1839
Gulmarrad	0	1	920
Gulmarrad	1	0	1339
Gum Flat	0	1	106
Gum Flat	1	0	157
Gum Scrub	0	1	69
Gum Scrub	1	0	90
Gumbalie	0	1	6
Gumbalie	1	0	8
Gumble	0	1	36
Gumble	1	0	31
Gumly Gumly	0	1	176
Gumly Gumly	1	0	232
Gumma	0	1	262
Gumma	1	0	386
Gunbar	0	1	34
Gunbar	1	0	42
Gundagai	0	1	988
Gundagai	1	0	1311
Gundamulda	0	1	9
Gundamulda	1	0	16
Gundaroo	0	1	623
Gundaroo	1	0	936
Gundary	0	1	134
Gundary	1	0	216
Gunderbooka	0	1	7
Gunderbooka	1	0	12
Gunderman	0	1	92
Gunderman	1	0	132
Gundy	0	1	99
Gundy	1	0	160
Gungal	0	1	155
Gungal	1	0	208
Gungalman	0	1	7
Gungalman	1	0	7
Gunnedah	0	1	4724
Gunnedah	1	0	7331
Gunning	0	1	334
Gunning	1	0	488
Gunning Gap	0	1	57
Gunning Gap	1	0	66
Gunningbland	0	1	64
Gunningbland	1	0	76
Gurley	0	1	152
Gurley	1	0	194
Gurranang	0	1	38
Gurranang	1	0	56
Gurrundah	0	1	26
Gurrundah	1	0	42
Guyong	0	1	65
Guyong	1	0	96
Guyra	0	1	1126
Guyra	1	0	1544
Gwabegar	0	1	96
Gwabegar	1	0	134
Gwandalan	0	1	1665
Gwandalan	1	0	2588
Gwynneville	0	1	1075
Gwynneville	1	0	2054
Gymea	0	1	3979
Gymea	1	0	5968
Gymea Bay	0	1	4511
Gymea Bay	1	0	6029
Haberfield	0	1	4085
Haberfield	1	0	5412
Hacks Ferry	0	1	3
Hacks Ferry	1	0	3
Halekulani	0	1	1401
Halekulani	1	0	1980
Halfway Creek	0	1	158
Halfway Creek	1	0	210
Hallidays Point	0	1	294
Hallidays Point	1	0	417
Halloran	0	1	21
Halloran	1	0	30
Halls Creek (NSW)	0	1	82
Halls Creek (NSW)	1	0	103
Hallsville	0	1	302
Hallsville	1	0	441
Halton	0	1	18
Halton	1	0	23
Hambledon Hill	0	1	5
Hambledon Hill	1	0	10
Hamilton (NSW)	0	1	1817
Hamilton (NSW)	1	0	3003
Hamilton East	0	1	580
Hamilton East	1	0	794
Hamilton North	0	1	418
Hamilton North	1	0	672
Hamilton South	0	1	2164
Hamilton South	1	0	3001
Hamilton Valley	0	1	211
Hamilton Valley	1	0	377
Hamlyn Terrace	0	1	2761
Hamlyn Terrace	1	0	4678
Hammondville	0	1	1882
Hammondville	1	0	2722
Hampden Hall	0	1	35
Hampden Hall	1	0	51
Hampton (NSW)	0	1	65
Hampton (NSW)	1	0	80
Hanging Rock	0	1	54
Hanging Rock	1	0	77
Hanleys Creek	0	1	4
Hanleys Creek	1	0	4
Hannam Vale	0	1	100
Hannam Vale	1	0	143
Hanwood	0	1	767
Hanwood	1	0	993
Harden	0	1	1199
Harden	1	0	1656
Hardys Bay	0	1	124
Hardys Bay	1	0	182
Harefield	0	1	92
Harefield	1	0	123
Hargraves	0	1	155
Hargraves	1	0	225
Harolds Cross	0	1	34
Harolds Cross	1	0	39
Harparary	0	1	22
Harparary	1	0	43
Harpers Hill	0	1	31
Harpers Hill	1	0	47
Harrington	0	1	1376
Harrington	1	0	2327
Harrington Park	0	1	4625
Harrington Park	1	0	8293
Harris Park	0	1	1681
Harris Park	1	0	3730
Hartley (NSW)	0	1	231
Hartley (NSW)	1	0	344
Hartley Vale	0	1	43
Hartley Vale	1	0	48
Hartwood	0	1	9
Hartwood	1	0	15
Hartys Plains	0	1	19
Hartys Plains	1	0	25
Harwood	0	1	167
Harwood	1	0	225
Hassall Grove	0	1	2831
Hassall Grove	1	0	3730
Hastings Point	0	1	309
Hastings Point	1	0	510
Hat Head	0	1	195
Hat Head	1	0	265
Hatfield	0	1	9
Hatfield	1	0	9
Havilah (NSW)	0	1	7
Havilah (NSW)	1	0	19
Hawkesbury Heights	0	1	286
Hawkesbury Heights	1	0	405
Hawks Nest	0	1	550
Hawks Nest	1	0	894
Hay (NSW)	0	1	1328
Hay (NSW)	1	0	1806
Hay South	0	1	190
Hay South	1	0	274
Hayes Gap	0	1	11
Hayes Gap	1	0	11
Haymarket	0	1	1275
Haymarket	1	0	3733
Haystack	0	1	6
Haystack	1	0	6
Hayters Hill	0	1	23
Hayters Hill	1	0	20
Haywards Bay	0	1	387
Haywards Bay	1	0	771
Hazelbrook	0	1	2984
Hazelbrook	1	0	4190
Hazelgrove	0	1	36
Hazelgrove	1	0	65
Heathcote (NSW)	0	1	3958
Heathcote (NSW)	1	0	5204
Heatherbrae	0	1	285
Heatherbrae	1	0	367
Hebden	0	1	18
Hebden	1	0	29
Hebersham	0	1	3345
Hebersham	1	0	4480
Heckenberg	0	1	1828
Heckenberg	1	0	2497
Heddon Greta	0	1	1141
Heddon Greta	1	0	1694
Heifer Station	0	1	8
Heifer Station	1	0	8
Helensburgh	0	1	3806
Helensburgh	1	0	5239
Henley	0	1	307
Henley	1	0	399
Henty (NSW)	0	1	706
Henty (NSW)	1	0	978
Hereford Hall	0	1	18
Hereford Hall	1	0	17
Hermidale	0	1	76
Hermidale	1	0	100
Hermitage Flat	0	1	180
Hermitage Flat	1	0	268
Hernani	0	1	70
Hernani	1	0	93
Herons Creek	0	1	141
Herons Creek	1	0	199
Hexham (NSW)	0	1	81
Hexham (NSW)	1	0	99
Hickeys Creek	0	1	78
Hickeys Creek	1	0	97
High Range	0	1	179
High Range	1	0	295
Higher Macdonald	0	1	6
Higher Macdonald	1	0	6
Highfields (NSW)	0	1	544
Highfields (NSW)	1	0	725
Hill End (NSW)	0	1	67
Hill End (NSW)	1	0	83
Hill Top (Snowy Monaro Regional - NSW)	0	1	36
Hill Top (Snowy Monaro Regional - NSW)	1	0	61
Hill Top (Wingecarribee - NSW)	0	1	1418
Hill Top (Wingecarribee - NSW)	1	0	2107
Hilldale	0	1	126
Hilldale	1	0	171
Hillgrove (Armidale Regional - NSW)	0	1	99
Hillgrove (Armidale Regional - NSW)	1	0	143
Hillgrove (Wagga Wagga - NSW)	0	1	14
Hillgrove (Wagga Wagga - NSW)	1	0	9
Hillsborough (Lake Macquarie - NSW)	0	1	415
Hillsborough (Lake Macquarie - NSW)	1	0	555
Hillsborough (Maitland - NSW)	0	1	26
Hillsborough (Maitland - NSW)	1	0	39
Hillsdale	0	1	2303
Hillsdale	1	0	4043
Hillston	0	1	753
Hillston	1	0	1068
Hillville	0	1	190
Hillville	1	0	261
Hillvue	0	1	3327
Hillvue	1	0	4985
Hinchinbrook (NSW)	0	1	6934
Hinchinbrook (NSW)	1	0	9504
Hinton	0	1	286
Hinton	1	0	381
Hobartville (NSW)	0	1	1583
Hobartville (NSW)	1	0	2250
Hobbys Yards	0	1	46
Hobbys Yards	1	0	68
Hogarth Range	0	1	29
Hogarth Range	1	0	32
Holbrook	0	1	977
Holbrook	1	0	1372
Holgate	0	1	624
Holgate	1	0	805
Hollisdale	0	1	44
Hollisdale	1	0	48
Hollydeen	0	1	15
Hollydeen	1	0	42
Holmesville	0	1	892
Holmesville	1	0	1103
Holroyd	0	1	442
Holroyd	1	0	902
Holsworthy	0	1	2694
Holsworthy	1	0	4165
Holts Flat	0	1	4
Holts Flat	1	0	4
Home Rule	0	1	33
Home Rule	1	0	32
Homebush (NSW)	0	1	2361
Homebush (NSW)	1	0	4675
Homebush West	0	1	2114
Homebush West	1	0	5350
Homeleigh	0	1	64
Homeleigh	1	0	88
Honeybugle	0	1	24
Honeybugle	1	0	25
Hopefield	0	1	51
Hopefield	1	0	57
Hopkins Creek	0	1	77
Hopkins Creek	1	0	95
Horningsea Park	0	1	2248
Horningsea Park	1	0	3122
Hornsby	0	1	9893
Hornsby	1	0	16520
Hornsby Heights	0	1	4035
Hornsby Heights	1	0	5448
Horse Station Creek	0	1	73
Horse Station Creek	1	0	81
Horseshoe Bend	0	1	203
Horseshoe Bend	1	0	270
Horseshoe Creek	0	1	51
Horseshoe Creek	1	0	68
Horsfield Bay	0	1	287
Horsfield Bay	1	0	419
Horsley	0	1	4410
Horsley	1	0	6836
Horsley Park	0	1	1212
Horsley Park	1	0	1559
Hoskinstown	0	1	107
Hoskinstown	1	0	143
Hovells Creek	0	1	18
Hovells Creek	1	0	25
Howards Grass	0	1	31
Howards Grass	1	0	54
Howell	0	1	21
Howell	1	0	24
Howes Valley	0	1	42
Howes Valley	1	0	61
Howlong	0	1	1452
Howlong	1	0	2090
Hoxton Park	0	1	2560
Hoxton Park	1	0	3676
Humula	0	1	85
Humula	1	0	98
Hungerford (NSW)	0	1	8
Hungerford (NSW)	1	0	3
Hunters Hill	0	1	4797
Hunters Hill	1	0	7567
Hunterview	0	1	1226
Hunterview	1	0	2219
Huntingdon	0	1	53
Huntingdon	1	0	78
Huntley (Orange - NSW)	0	1	98
Huntley (Orange - NSW)	1	0	120
Huntley (Wollongong - NSW)	0	1	24
Huntley (Wollongong - NSW)	1	0	32
Huntleys Cove	0	1	323
Huntleys Cove	1	0	562
Huntleys Point	0	1	95
Huntleys Point	1	0	127
Huonbrook	0	1	58
Huonbrook	1	0	88
Hurlstone Park	0	1	2887
Hurlstone Park	1	0	3801
Hurstville	0	1	12448
Hurstville	1	0	21497
Hurstville Grove	0	1	1678
Hurstville Grove	1	0	2280
Huskisson	0	1	379
Huskisson	1	0	600
Hyams Beach	0	1	79
Hyams Beach	1	0	96
Hyland Park	0	1	230
Hyland Park	1	0	325
Hyndmans Creek	0	1	45
Hyndmans Creek	1	0	50
Ilarwill	0	1	156
Ilarwill	1	0	178
Ilford	0	1	93
Ilford	1	0	127
Illabo	0	1	106
Illabo	1	0	129
Illaroo	0	1	20
Illaroo	1	0	32
Illawong	0	1	4807
Illawong	1	0	6323
Iluka (NSW)	0	1	967
Iluka (NSW)	1	0	1323
Indi	0	1	27
Indi	1	0	31
Ingebirah	0	1	58
Ingebirah	1	0	71
Ingleburn	0	1	7810
Ingleburn	1	0	11677
Ingleside	0	1	589
Ingleside	1	0	778
Innes View	0	1	8
Innes View	1	0	32
Inverell	0	1	5964
Inverell	1	0	8707
Invergordon (NSW)	0	1	20
Invergordon (NSW)	1	0	25
Invergowrie	0	1	471
Invergowrie	1	0	647
Iron Pot Creek	0	1	19
Iron Pot Creek	1	0	23
Ironbark (NSW)	0	1	24
Ironbark (NSW)	1	0	31
Ironmungy	0	1	3
Ironmungy	1	0	3
Irvington	0	1	63
Irvington	1	0	70
Irymple (NSW)	0	1	3
Irymple (NSW)	1	0	3
Isabella	0	1	18
Isabella	1	0	26
Islington	0	1	705
Islington	1	0	1314
Ivanhoe (NSW)	0	1	136
Ivanhoe (NSW)	1	0	198
Jackadgery	0	1	54
Jackadgery	1	0	80
Jacks Creek	0	1	99
Jacks Creek	1	0	115
Jacksons Flat	0	1	4
Jacksons Flat	1	0	6
Jacky Bulbin Flat	0	1	12
Jacky Bulbin Flat	1	0	11
Jamberoo	0	1	1005
Jamberoo	1	0	1326
James Creek	0	1	137
James Creek	1	0	185
Jamisontown	0	1	2835
Jamisontown	1	0	4192
Jannali	0	1	3697
Jannali	1	0	5092
Jaspers Brush	0	1	202
Jaspers Brush	1	0	286
Jaunter	0	1	9
Jaunter	1	0	8
Jeir	0	1	162
Jeir	1	0	215
Jellat Jellat	0	1	46
Jellat Jellat	1	0	60
Jemalong	0	1	38
Jemalong	1	0	51
Jembaicumbene	0	1	25
Jembaicumbene	1	0	34
Jennings	0	1	107
Jennings	1	0	136
Jenolan	0	1	5
Jenolan	1	0	10
Jeogla	0	1	19
Jeogla	1	0	30
Jerangle	0	1	69
Jerangle	1	0	88
Jeremadra	0	1	103
Jeremadra	1	0	130
Jeremy	0	1	3
Jeremy	1	0	3
Jerilderie	0	1	564
Jerilderie	1	0	772
Jerrabattgulla	0	1	8
Jerrabattgulla	1	0	11
Jerrabomberra	0	1	5072
Jerrabomberra	1	0	7623
Jerrara	0	1	78
Jerrara	1	0	119
Jerrawa	0	1	44
Jerrawa	1	0	55
Jerrawangala	0	1	49
Jerrawangala	1	0	61
Jerrong	0	1	4
Jerrong	1	0	11
Jerrys Plains	0	1	200
Jerrys Plains	1	0	291
Jerseyville	0	1	83
Jerseyville	1	0	98
Jesmond	0	1	968
Jesmond	1	0	1987
Jewells	0	1	1626
Jewells	1	0	2064
Jiggi	0	1	257
Jiggi	1	0	312
Jilliby	0	1	960
Jilliby	1	0	1361
Jimenbuen	0	1	7
Jimenbuen	1	0	21
Jincumbilly	0	1	4
Jincumbilly	1	0	4
Jindabyne	0	1	1111
Jindabyne	1	0	1735
Jinden	0	1	12
Jinden	1	0	16
Jindera	0	1	1150
Jindera	1	0	1778
Jingellic	0	1	35
Jingellic	1	0	44
Jingera	0	1	21
Jingera	1	0	25
Joadja	0	1	72
Joadja	1	0	97
Joes Box	0	1	10
Joes Box	1	0	8
Johns River	0	1	170
Johns River	1	0	217
Jones Bridge	0	1	12
Jones Bridge	1	0	11
Jones Creek	0	1	75
Jones Creek	1	0	90
Jones Island	0	1	41
Jones Island	1	0	48
Jordan Springs	0	1	165
Jordan Springs	1	0	2720
Judds Creek	0	1	12
Judds Creek	1	0	15
Jugiong	0	1	129
Jugiong	1	0	182
Junction Hill	0	1	789
Junction Hill	1	0	1126
Junee	0	1	2129
Junee	1	0	3023
Junee Reefs	0	1	54
Junee Reefs	1	0	75
Kahibah	0	1	1464
Kahibah	1	0	2058
Kains Flat	0	1	102
Kains Flat	1	0	134
Kalang	0	1	149
Kalang	1	0	184
Kalaru	0	1	385
Kalaru	1	0	526
Kalkite	0	1	114
Kalkite	1	0	174
Kamarah	0	1	71
Kamarah	1	0	82
Kameruka	0	1	61
Kameruka	1	0	91
Kanahooka	0	1	3466
Kanahooka	1	0	4625
Kandos	0	1	728
Kandos	1	0	963
Kangaloon	0	1	80
Kangaloon	1	0	125
Kangaroo Creek	0	1	51
Kangaroo Creek	1	0	77
Kangaroo Point (NSW)	0	1	360
Kangaroo Point (NSW)	1	0	499
Kangaroo Valley	0	1	500
Kangaroo Valley	1	0	704
Kangaroobie	0	1	36
Kangaroobie	1	0	38
Kangiara	0	1	38
Kangiara	1	0	37
Kangy Angy	0	1	186
Kangy Angy	1	0	246
Kanimbla (NSW)	0	1	95
Kanimbla (NSW)	1	0	106
Kanoona	0	1	82
Kanoona	1	0	129
Kanwal	0	1	2114
Kanwal	1	0	3081
Kapooka	0	1	121
Kapooka	1	0	255
Kaputar	0	1	3
Kaputar	1	0	3
Karaak Flat	0	1	27
Karaak Flat	1	0	41
Karabar	0	1	4795
Karabar	1	0	6573
Karangi	0	1	312
Karangi	1	0	425
Kareela	0	1	2388
Kareela	1	0	3009
Kariong	0	1	3765
Kariong	1	0	5102
Kars Springs	0	1	25
Kars Springs	1	0	34
Karuah	0	1	800
Karuah	1	0	1098
Katoomba	0	1	3985
Katoomba	1	0	6053
Kayuga	0	1	43
Kayuga	1	0	50
Kearns	0	1	1774
Kearns	1	0	2314
Kearsley	0	1	542
Kearsley	1	0	706
Keepit	1	0	5
Keera	0	1	14
Keera	1	0	32
Keerrong	0	1	97
Keerrong	1	0	117
Keinbah	0	1	71
Keinbah	1	0	111
Keiraville	0	1	1545
Keiraville	1	0	2479
Keith Hall	0	1	78
Keith Hall	1	0	113
Kellys Plains	0	1	102
Kellys Plains	1	0	144
Kellyville	0	1	12326
Kellyville	1	0	21629
Kellyville Ridge	0	1	5014
Kellyville Ridge	1	0	8315
Kelso (NSW)	0	1	4054
Kelso (NSW)	1	0	6619
Kelvin	0	1	107
Kelvin	1	0	139
Kembla Grange	0	1	176
Kembla Grange	1	0	217
Kembla Heights	0	1	63
Kembla Heights	1	0	106
Kemps Creek	0	1	1493
Kemps Creek	1	0	1879
Kempsey	0	1	187
Kempsey	1	0	310
Kendall	0	1	592
Kendall	1	0	872
Kenebri	0	1	20
Kenebri	1	0	34
Kennaicle Creek	0	1	4
Kennaicle Creek	1	0	5
Kensington (NSW)	0	1	4293
Kensington (NSW)	1	0	9151
Kenthurst	0	1	3189
Kenthurst	1	0	4364
Kentlyn	0	1	440
Kentlyn	1	0	603
Kentucky	0	1	108
Kentucky	1	0	136
Kentucky South	0	1	74
Kentucky South	1	0	89
Kerewong	0	1	11
Kerewong	1	0	10
Keri Keri	0	1	10
Keri Keri	1	0	10
Kerrabee	0	1	10
Kerrabee	1	0	6
Kerrigundi	0	1	8
Kerrigundi	1	0	6
Kerrs Creek	0	1	26
Kerrs Creek	1	0	34
Kew (NSW)	0	1	503
Kew (NSW)	1	0	722
Khancoban	0	1	159
Khancoban	1	0	232
Kia Ora (NSW)	0	1	14
Kia Ora (NSW)	1	0	22
Kiacatoo	0	1	20
Kiacatoo	1	0	22
Kiah	0	1	90
Kiah	1	0	114
Kiama	0	1	3485
Kiama	1	0	5371
Kiama Downs	0	1	2988
Kiama Downs	1	0	4153
Kiama Heights	0	1	447
Kiama Heights	1	0	659
Kianga (NSW)	0	1	412
Kianga (NSW)	1	0	600
Kiar	0	1	22
Kiar	1	0	30
Kickabil	0	1	39
Kickabil	1	0	49
Kielvale	0	1	177
Kielvale	1	0	206
Kikiamah	0	1	71
Kikiamah	1	0	73
Kikoira	0	1	52
Kikoira	1	0	58
Kilaben Bay	0	1	826
Kilaben Bay	1	0	1128
Kilgin	0	1	28
Kilgin	1	0	35
Kilgra	0	1	51
Kilgra	1	0	60
Killabakh	0	1	147
Killabakh	1	0	214
Killara (NSW)	0	1	4896
Killara (NSW)	1	0	8159
Killarney Heights	0	1	2854
Killarney Heights	1	0	3896
Killarney Vale	0	1	3784
Killarney Vale	1	0	5544
Killawarra (NSW)	0	1	90
Killawarra (NSW)	1	0	140
Killcare	0	1	236
Killcare	1	0	347
Killcare Heights	0	1	411
Killcare Heights	1	0	621
Killimicat	0	1	15
Killimicat	1	0	19
Killingworth (NSW)	0	1	488
Killingworth (NSW)	1	0	585
Killongbutta	0	1	22
Killongbutta	1	0	26
Kimbriki	0	1	82
Kimbriki	1	0	104
Kinchela	0	1	171
Kinchela	1	0	201
Kincumber	0	1	3848
Kincumber	1	0	5700
Kincumber South	0	1	375
Kincumber South	1	0	551
Kindee	0	1	45
Kindee	1	0	75
Kindervale	0	1	13
Kindervale	1	0	15
King Creek	0	1	809
King Creek	1	0	1238
Kingfisher Shores	0	1	90
Kingfisher Shores	1	0	138
Kings Forest	0	1	19
Kings Forest	1	0	29
Kings Langley	0	1	6158
Kings Langley	1	0	8070
Kings Park (NSW)	0	1	1908
Kings Park (NSW)	1	0	2792
Kings Plains (Blayney - NSW)	0	1	77
Kings Plains (Blayney - NSW)	1	0	104
Kings Plains (Inverell - NSW)	0	1	9
Kings Plains (Inverell - NSW)	1	0	8
Kings Point	0	1	314
Kings Point	1	0	432
Kingscliff	0	1	3006
Kingscliff	1	0	5227
Kingsdale	0	1	77
Kingsdale	1	0	152
Kingsford (NSW)	0	1	5881
Kingsford (NSW)	1	0	10004
Kingsgate	0	1	3
Kingsgate	1	0	3
Kingsgrove	0	1	7671
Kingsgrove	1	0	10443
Kingsland	0	1	20
Kingsland	1	0	30
Kingstown	0	1	49
Kingstown	1	0	77
Kingsvale	0	1	113
Kingsvale	1	0	142
Kingswood (Bega Valley - NSW)	0	1	3
Kingswood (Bega Valley - NSW)	1	0	8
Kingswood (Penrith - NSW)	0	1	4244
Kingswood (Penrith - NSW)	1	0	6811
