SSC_NAME16	Sex	unemployment
Pambula Beach	M	2.2
Pampoolah	F	4.1
Pampoolah	M	11.7
Panania	F	6.3
Panania	M	5.1
Parkes (NSW)	F	7
Parkes (NSW)	M	7.5
Parklea	F	6.2
Parklea	M	4.1
Parkville (NSW)	F	8
Parramatta	F	13.5
Parramatta	M	6.9
Paterson (NSW)	F	5.5
Paterson (NSW)	M	5.5
Patonga	F	11.5
Patonga	M	6.4
Paxton	F	6.8
Paxton	M	8.3
Peak Hill (NSW)	F	11.1
Peak Hill (NSW)	M	16.2
Peakhurst	F	5.7
Peakhurst	M	5.1
Peakhurst Heights	F	4.2
Peakhurst Heights	M	4.3
Pearces Creek	F	7.3
Pearl Beach	F	8.5
Pearl Beach	M	6.6
Peats Ridge	F	7.4
Peats Ridge	M	4.3
Peel	M	3.8
Pelaw Main	F	7.1
Pelaw Main	M	11.9
Pelican (NSW)	F	6.7
Pelican (NSW)	M	6
Pemulwuy	F	4.7
Pemulwuy	M	4
Pendle Hill	F	9.6
Pendle Hill	M	7.4
Pennant Hills	F	5.9
Pennant Hills	M	5.1
Penrith	F	8.3
Penrith	M	8.7
Penrose	F	5.2
Penshurst (NSW)	F	7.5
Penshurst (NSW)	M	5.5
Perthville	F	5.6
Perthville	M	2.9
Petersham	F	4.3
Petersham	M	4.8
Pheasants Nest	F	3.5
Pheasants Nest	M	2.1
Phegans Bay	F	7.2
Phegans Bay	M	6.9
Phillip Bay	F	4.1
Phillip Bay	M	3.9
Piallamore	F	4.7
Piallamore	M	7.4
Picnic Point	F	3.5
Picnic Point	M	4.4
Picton (NSW)	F	4.3
Picton (NSW)	M	3.3
Piggabeen	F	4.3
Piggabeen	M	7.8
Pillar Valley	F	5.1
Pillar Valley	M	21.2
Pilliga	F	18.2
Pilliga	M	20.5
Pimlico (NSW)	F	4.5
Pimlico (NSW)	M	8.9
Pindimar	M	8.3
Pine Camp	M	50
Pinkett	F	23.1
Piora	F	14.3
Pitnacree	M	18.8
Pitt Town	F	3.3
Pitt Town	M	2.1
Pleasure Point	M	4.9
Plumpton (NSW)	F	8.7
Plumpton (NSW)	M	6.5
Point Clare	F	6.2
Point Clare	M	5.4
Point Frederick	F	6.9
Point Frederick	M	7.5
Point Piper	F	5
Point Piper	M	0.8
Pokolbin	F	1.3
Pokolbin	M	3.6
Port Hacking	F	1.5
Port Hacking	M	1.3
Port Kembla	F	9.5
Port Kembla	M	11.8
Port Macquarie	F	6
Port Macquarie	M	7.1
Portland (NSW)	F	9.2
Portland (NSW)	M	10.6
Possum Brush	F	9.1
Possum Brush	M	8.6
Possum Creek	F	9
Possum Creek	M	11.8
Potato Point	M	15.6
Pottery Estate	M	20.7
Potts Hill	F	3.8
Potts Hill	M	4.5
Potts Point	F	4.5
Potts Point	M	3.9
Pottsville	F	6.3
Pottsville	M	6.3
Prairiewood	F	7.8
Prairiewood	M	8.7
Premer	M	16.7
Prestons	F	6.5
Prestons	M	6
Pretty Beach (Central Coast - NSW)	F	4.8
Primbee	F	9.7
Primbee	M	9.2
Primrose Valley	F	8.6
Primrose Valley	M	10.5
Prospect (NSW)	F	5.4
Prospect (NSW)	M	3.9
Pumpenbil	F	7.1
Punchbowl (Canterbury-Bankstown - NSW)	F	11.6
Punchbowl (Canterbury-Bankstown - NSW)	M	9.6
Purfleet	F	33.3
Purfleet	M	55.6
Putney	F	3.6
Putney	M	3.9
Putta Bucca	F	6.1
Pymble	F	5.1
Pymble	M	5.1
Pyrmont	F	5.3
Pyrmont	M	4.6
Quaama	F	8.6
Quaama	M	7.7
Quakers Hill	F	6.8
Quakers Hill	M	5.7
Quambone	F	14.8
Quambone	M	7.7
Quandialla	M	6.7
Queanbeyan	F	4
Queanbeyan	M	6.4
Queanbeyan East	F	6
Queanbeyan East	M	5.2
Queanbeyan West	F	4.4
Queanbeyan West	M	4
Queens Park (NSW)	F	4.7
Queens Park (NSW)	M	4.4
Queenscliff (NSW)	F	3.8
Queenscliff (NSW)	M	1.3
Quialigo	M	4.6
Quipolly	M	7.5
Quirindi	F	7.8
Quirindi	M	7
Quorrobolong	F	6.5
Quorrobolong	M	4.1
Raby	F	5.4
Raby	M	5.5
Raglan (NSW)	F	7.5
Raglan (NSW)	M	5.6
Rainbow Flat	F	9.7
Rainbow Flat	M	9.9
Rainbow Reach	M	13
Raleigh	F	8.9
Raleigh	M	4.5
Ramornie	F	13.2
Ramornie	M	13.3
Ramsgate	F	4.2
Ramsgate	M	4.2
Ramsgate Beach	F	5
Ramsgate Beach	M	3.6
Randwick	F	3.6
Randwick	M	4.1
Rankin Park	F	3.6
Rankin Park	M	5.1
Rappville	F	26.7
Rappville	M	34.6
Rathmines	F	5
Rathmines	M	6
Ravenswood (NSW)	F	15.9
Ravenswood (NSW)	M	9.6
Raworth	F	5
Raworth	M	4.9
Raymond Terrace	F	9.9
Raymond Terrace	M	9.7
Razorback	F	3.6
Razorback	M	1.6
Red Head	F	6.8
Red Head	M	9.5
Red Range	F	7.1
Red Range	M	6.8
Red Rock	F	11.5
Red Rock	M	9
Redbank (NSW)	F	5.7
Redbank (NSW)	M	4.4
Redbournberry	M	5.6
Redfern	F	4.9
Redfern	M	5.9
Redhead	F	4.9
Redhead	M	5.6
Reedy Creek (NSW)	F	8.3
Reedy Creek (NSW)	M	6.8
Regents Park (NSW)	F	9.9
Regents Park (NSW)	M	9.3
Regentville	F	1.5
Regentville	M	2.9
Reids Flat	M	17.6
Renwick	F	3.3
Renwick	M	2.1
Repentance Creek	F	26.3
Repton	F	11.7
Repton	M	2.1
Reserve Creek	F	12
Revesby	F	6
Revesby	M	6.9
Revesby Heights	F	2.9
Revesby Heights	M	5.4
Rhodes	F	10
Rhodes	M	8.8
Richmond (NSW)	F	7.7
Richmond (NSW)	M	6.9
Richmond Hill (NSW)	F	2.6
Richmond Hill (NSW)	M	2.4
Rileys Hill	F	7.5
Rileys Hill	M	6.4
Riverside (NSW)	F	13.1
Riverside (NSW)	M	8.3
Riverstone	F	6.5
Riverstone	M	6.2
Riverview (NSW)	F	4.8
Riverview (NSW)	M	3.4
Riverwood	F	10.4
Riverwood	M	8.8
Robertson (NSW)	F	4.6
Robertson (NSW)	M	3.4
Robin Hill	F	3.4
Robin Hill	M	1.1
Rock Forest	F	5.4
Rock Forest	M	6.8
Rock Valley	F	5.9
Rock Valley	M	14.9
Rockdale	F	8.2
Rockdale	M	7.1
Rockley	M	11.5
Rocky Glen	M	15.8
Rocky Point (NSW)	F	5.9
Rocky Point (NSW)	M	14.3
Rocky River (Tenterfield - NSW)	F	100
Rocky River (Uralla - NSW)	F	8.1
Rocky River (Uralla - NSW)	M	5.6
Rodd Point	F	3.6
Rodd Point	M	1.9
Rollands Plains	M	7.3
Rooty Hill	F	7.5
Rooty Hill	M	7
Ropes Crossing	F	5.8
Ropes Crossing	M	4.7
Rose Bay (NSW)	F	4
Rose Bay (NSW)	M	3.6
Rosebank	F	6.8
Rosebank	M	11.3
Roseberry	M	30
Rosebery (NSW)	F	5.4
Rosebery (NSW)	M	5.1
Rosedale (NSW)	M	8.9
Rosehill (NSW)	F	8.5
Rosehill (NSW)	M	7.9
Roselands	F	7.4
Roselands	M	7.6
Rosemeadow	F	9
Rosemeadow	M	6.9
Roseville	F	4.7
Roseville	M	4.3
Roseville Chase	F	4.1
Roseville Chase	M	2.9
Rosewood (Port Macquarie-Hastings - NSW)	F	7.2
Rosewood (Snowy Valleys - NSW)	F	11.1
Rosewood (Snowy Valleys - NSW)	M	5.5
Rossglen	M	33.3
Rossi	F	12
Rossmore (NSW)	F	4.9
Rossmore (NSW)	M	5.1
Roughit	M	9.4
Round Mountain	M	6.8
Rouse Hill	F	5.2
Rouse Hill	M	4
Rowena	F	11.4
Royalla	F	2.2
Royalla	M	2.2
Rozelle	F	3.2
Rozelle	M	3.2
Rugby	M	8.6
Run-o-Waters	F	3.1
Run-o-Waters	M	3.6
Running Stream	M	11.4
Ruse	F	5.4
Ruse	M	4.7
Rushcutters Bay	F	3.9
Rushcutters Bay	M	4.3
Russell Lea	F	3.2
Russell Lea	M	3.5
Russell Vale	F	3.9
Russell Vale	M	5.2
Rutherford	F	10.6
Rutherford	M	9.1
Rydal	M	6.8
Rydalmere	F	7.7
Rydalmere	M	7.5
Ryde	F	5.9
Ryde	M	5.8
Rye Park	F	6.3
Rye Park	M	4.6
Rylstone	F	4
Rylstone	M	9.2
Sackville	F	3.9
Sackville North	F	5
Sackville North	M	5.1
Sadleir	F	16.4
Sadleir	M	16.2
Safety Beach (NSW)	F	3.8
Safety Beach (NSW)	M	7.1
Salamander Bay	F	8
Salamander Bay	M	6.2
Salisbury Plains	F	11.5
Salisbury Plains	M	9.4
Salt Ash	F	6.7
Salt Ash	M	5.7
San Isidore	M	3.8
San Remo (NSW)	F	10.7
San Remo (NSW)	M	9.1
Sancrox	F	2.1
Sancrox	M	4.7
Sanctuary Point	F	9
Sanctuary Point	M	10.4
Sandgate (NSW)	M	23.1
Sandringham (NSW)	F	4.9
Sandringham (NSW)	M	6.8
Sandy Beach	F	7.8
Sandy Beach	M	10.3
Sandy Point (NSW)	F	1.9
Sandy Point (NSW)	M	5.4
Sans Souci	F	4.2
Sans Souci	M	4.9
Sapphire	M	23.1
Sapphire Beach	F	4.7
Sapphire Beach	M	4.6
Saratoga	F	3.9
Saratoga	M	4.7
Saumarez Ponds	F	2.6
Saumarez Ponds	M	2.5
Savernake	F	13
Sawtell	F	6.4
Sawtell	M	6.4
Sawyers Gully	F	3.7
Sawyers Gully	M	4
Scarborough (NSW)	F	3.5
Scarborough (NSW)	M	3.3
Schofields	F	6.3
Schofields	M	4.1
Scone	F	4.9
Scone	M	4
Scotland Island	F	2
Scotland Island	M	5.5
Scotts Head	F	10.1
Scotts Head	M	10.9
Seaforth (NSW)	F	4.6
Seaforth (NSW)	M	2.9
Seaham	F	4.6
Seaham	M	7.7
Seahampton	F	4
Seahampton	M	10
Sedgefield	M	6.8
Seelands	M	7.1
Sefton	F	9.4
Sefton	M	9.6
Seven Hills (NSW)	F	7.4
Seven Hills (NSW)	M	7
Sextonville	F	33.3
Shadforth (NSW)	F	16.7
Shalvey	F	12.9
Shalvey	M	7.6
Shanes Park	F	13.6
Shanes Park	M	5.2
Shannon Brook	F	10.3
Shannon Vale	F	7.9
Shannondale	F	21.4
Shannondale	M	38.9
Sheedys Gully	M	23.1
Shell Cove	F	6.6
Shell Cove	M	4.9
Shellharbour	F	4.5
Shellharbour	M	5.5
Shelly Beach (NSW)	F	3.1
Shelly Beach (NSW)	M	4.4
Sherwood (Kempsey - NSW)	M	7.1
Shoal Bay (NSW)	F	12.1
Shoal Bay (NSW)	M	10.7
Shoalhaven Heads	F	2.5
Shoalhaven Heads	M	5.1
Shortland	F	7.6
Shortland	M	9.7
Silverdale (NSW)	F	4.7
Silverdale (NSW)	M	3.3
Silverwater (Parramatta - NSW)	F	7
Silverwater (Parramatta - NSW)	M	8.1
Singleton (NSW)	F	9.2
Singleton (NSW)	M	8.9
Singleton Heights	F	8.4
Singleton Heights	M	4.7
Skennars Head	F	4.4
Skennars Head	M	3.7
Skinners Shoot	F	13.6
Skinners Shoot	M	23.3
Smeaton Grange	F	50
Smithfield (NSW)	F	9.3
Smithfield (NSW)	M	9.3
Smiths Creek (Kyogle - NSW)	F	23.1
Smiths Creek (Tweed - NSW)	F	18.6
Smiths Creek (Tweed - NSW)	M	7.1
Smiths Lake	F	8.3
Smiths Lake	M	10.8
Smithtown	F	3.7
Smithtown	M	7.4
Soldiers Point	F	4.8
Soldiers Point	M	9.1
Somersby	F	3.8
Somersby	M	5.4
Somerton (NSW)	F	4.8
Somerton (NSW)	M	4.7
South Albury	F	7.3
South Albury	M	12.7
South Arm (Clarence Valley - NSW)	F	8.7
South Arm (Clarence Valley - NSW)	M	11.3
South Arm (Nambucca - NSW)	F	5.2
South Bathurst	F	7.2
South Bathurst	M	6.9
South Bowenfels	F	1.7
South Bowenfels	M	3
South Coogee	F	5.9
South Coogee	M	6.2
South Durras	F	5.4
South Durras	M	8.5
South Golden Beach	F	7.3
South Golden Beach	M	4.6
South Grafton	F	13.9
South Grafton	M	15.6
South Granville	F	11.4
South Granville	M	12.2
South Gundagai	F	6.4
South Gundagai	M	6.3
South Gundurimba	M	2.9
South Guyra	F	14.3
South Guyra	M	3.4
South Hurstville	F	5.8
South Hurstville	M	7
South Kempsey	F	11.9
South Kempsey	M	15
South Lismore	F	10.2
South Lismore	M	9.4
South Littleton	F	5.2
South Littleton	M	5.3
South Maitland	F	20.5
South Maitland	M	13.9
South Maroota	F	2.3
South Maroota	M	4.7
South Murwillumbah	F	6.2
South Murwillumbah	M	8.9
South Nowra	F	4.9
South Nowra	M	5.4
South Pambula	M	5.1
South Penrith	F	5.6
South Penrith	M	5.4
South Tamworth	F	10.5
South Tamworth	M	8.7
South Turramurra	F	3.5
South Turramurra	M	4
South Wentworthville	F	8.5
South Wentworthville	M	6.7
South West Rocks	F	7.2
South West Rocks	M	8.6
South Windsor	F	6.9
South Windsor	M	5.7
South Wolumla	M	11.9
Southgate	M	8.5
Speers Point	F	6.3
Speers Point	M	6.7
Spencer	F	7
Spicers Creek	F	31.3
Splitters Creek	M	3.8
Spring Farm (NSW)	F	3.5
Spring Farm (NSW)	M	2
Spring Flat	M	7.3
Spring Grove	F	7.5
Spring Grove	M	7.1
Spring Hill (Cabonne - NSW)	F	2.6
Spring Ridge	F	5.7
Springdale (NSW)	M	10
Springdale Heights	F	8.3
Springdale Heights	M	10.4
Springfield (Central Coast - NSW)	F	6
Springfield (Central Coast - NSW)	M	6.4
Springrange	F	5
Springside (NSW)	M	3.6
Springvale (Lithgow - NSW)	M	27.3
Springvale (Wagga Wagga - NSW)	F	2
Springvale (Wagga Wagga - NSW)	M	3.6
Springwood (NSW)	F	3.9
Springwood (NSW)	M	4
St Andrews (NSW)	F	5.9
St Andrews (NSW)	M	7.9
St Clair (Penrith - NSW)	F	5.5
St Clair (Penrith - NSW)	M	4.7
St Fillans	M	6.5
St Georges Basin	F	7.5
St Georges Basin	M	6.6
St Helens Park	F	7.8
St Helens Park	M	5.5
St Huberts Island	F	3.1
St Huberts Island	M	3.9
St Ives (NSW)	F	4.5
St Ives (NSW)	M	4.5
St Ives Chase	F	3.1
St Ives Chase	M	3.2
St Johns Park	F	8.6
St Johns Park	M	8.2
St Leonards (NSW)	F	5.2
St Leonards (NSW)	M	3.7
St Marys (NSW)	F	10.6
St Marys (NSW)	M	8.4
St Peters (NSW)	F	3.6
St Peters (NSW)	M	3.7
Stanborough	M	25
Stanbridge	M	5.8
Stanford Merthyr	F	5
Stanford Merthyr	M	14.8
Stanhope Gardens	F	6
Stanhope Gardens	M	5
Stanmore (NSW)	F	3.7
Stanmore (NSW)	M	3.4
Stannifer	F	17.6
Stannifer	M	30.8
Stannum	M	25
Stanwell Park	F	2.5
Stanwell Park	M	4.6
Stanwell Tops	F	2.5
Stanwell Tops	M	2.2
Stewarts River	M	11.1
Stockinbingal	M	5.1
Stockton (NSW)	F	5.4
Stockton (NSW)	M	8.2
Stokers Siding	F	8.5
Stokers Siding	M	6.4
Stonehenge (NSW)	M	7.7
Stony Chute	F	9.7
Stony Chute	M	25.8
Stratford (NSW)	F	14.3
Stratford (NSW)	M	10.8
Strathcedar	F	20
Stratheden	M	9.5
Strathfield (NSW)	F	7.1
Strathfield (NSW)	M	6.5
Strathfield South	F	6
Strathfield South	M	7.1
Stroud	F	4.2
Stroud	M	6.5
Stroud Road	F	11.3
Stroud Road	M	12.5
Stuart Town	F	6.4
Stuart Town	M	11.3
Stuarts Point	F	9.3
Stuarts Point	M	18.5
Stubbo	F	7.5
Suffolk Park	F	6.3
Suffolk Park	M	6.4
Summer Hill (Inner West - NSW)	F	3.7
Summer Hill (Inner West - NSW)	M	4.7
Summerland Point	F	9.1
Summerland Point	M	11.2
Sunset Strip (NSW)	M	40
Sunshine (NSW)	F	9.6
Sunshine (NSW)	M	10.2
Sunshine Bay	F	10.4
Sunshine Bay	M	12.4
Surf Beach (NSW)	F	5.4
Surf Beach (NSW)	M	12
Surfside	F	8.2
Surfside	M	10.1
Surry Hills	F	4.3
Surry Hills	M	4.7
Sussex Inlet	F	5.5
Sussex Inlet	M	8.9
Sutherland (NSW)	F	4.7
Sutherland (NSW)	M	3.7
Sutton (NSW)	F	3.9
Sutton (NSW)	M	3.4
Sutton Forest	F	2.9
Sutton Forest	M	2.3
Swan Bay (Port Stephens - NSW)	F	4.5
Swan Bay (Port Stephens - NSW)	M	7
Swan Bay (Richmond Valley - NSW)	M	7.1
Swan Creek (NSW)	M	15.4
Swanhaven	F	23.8
Swansea (NSW)	F	8.1
Swansea (NSW)	M	9.7
Swansea Heads	F	3.8
Swansea Heads	M	9.1
Sydenham (NSW)	F	6.2
Sydenham (NSW)	M	5.6
Sydney	F	6.7
Sydney	M	5.2
Sydney Olympic Park	F	9.7
Sydney Olympic Park	M	8.4
Sylvania	F	4.7
Sylvania	M	4
Sylvania Waters	F	5.1
Sylvania Waters	M	4.6
Table Top	F	1.3
Table Top	M	2.5
Tabulam	F	4.8
Tabulam	M	12.9
Tacoma	F	5.7
Tacoma	M	5
Tahmoor	F	6.4
Tahmoor	M	5.5
Talarm	F	6.4
Talarm	M	14.6
Talbingo	M	8.1
Tallong	F	2.7
Tallong	M	5.9
Tallowwood Ridge	M	66.7
Tallwoods Village	F	5.8
Tallwoods Village	M	2.3
Talofa	M	10.3
Taloumbi	M	18.8
Tamarama	F	3.2
Tamarama	M	2.7
Tamban	F	15.8
Tamban	M	21.4
Tambar Springs	M	8.2
Tambaroora	F	100
Taminda	M	14.3
Tamworth	F	20.6
Tamworth	M	11.9
Tanglewood	F	26.1
Tanglewood	M	28
Tanilba Bay	F	7.9
Tanilba Bay	M	8.5
Tanja	F	8.8
Tapitallee	F	6.3
Tapitallee	M	6.3
Tarago	M	2.6
Taralga	F	7.5
Taralga	M	2.6
Tarbuck Bay	F	7.7
Tarbuck Bay	M	26.3
Tarcutta	F	11.8
Tarcutta	M	2.4
Taree	F	10.6
Taree	M	13
Taree South	F	14.8
Taree South	M	9.4
Taren Point	F	3.4
Taren Point	M	5.2
Tarraganda	F	3.4
Tarraganda	M	3.6
Tarrawanna	F	5.2
Tarrawanna	M	4.6
Tarro	F	8
Tarro	M	10.1
Tascott	F	5.8
Tascott	M	8
Tatham	F	5.1
Tatham	M	5.7
Tathra	F	2.5
Tathra	M	4.4
Tatton	F	4.4
Tatton	M	3.6
Taylors Arm	F	13
Taylors Arm	M	12.9
Tea Gardens	F	8.6
Tea Gardens	M	8.1
Telarah	F	10.5
Telarah	M	10.5
Telegraph Point	F	3.5
Telegraph Point	M	5.8
Telopea	F	8.7
Telopea	M	8.7
Temagog	F	15.6
Temagog	M	12.8
Temora	F	5.4
Temora	M	6
Tempe	F	5.4
Tempe	M	4.3
Tenambit	F	8.1
Tenambit	M	11
Tennyson (NSW)	F	4.9
Tennyson (NSW)	M	6.4
Tennyson Point	F	3.5
Tennyson Point	M	6
Tenterfield	F	7.5
Tenterfield	M	7.4
Teralba	F	7.8
Teralba	M	12
Terania Creek	F	7.1
Terara	M	5.3
Termeil	M	7.1
Terragon	M	17.6
Terramungamine	M	4.1
Terranora	F	7.2
Terranora	M	5.1
Terrey Hills	F	3.2
Terrey Hills	M	3
Terrigal	F	4.8
Terrigal	M	5.4
Terry Hie Hie	M	18.8
Teven	M	4
Thalgarrah	M	4.8
Tharbogang	F	6.3
Tharbogang	M	4
The Angle	M	15
The Bight	M	15
The Branch	M	19.2
The Channon	F	5.2
The Channon	M	5.4
The Entrance	F	12.5
The Entrance	M	10.9
The Entrance North	F	7.1
The Entrance North	M	8
The Gap (Wagga Wagga - NSW)	F	26.7
The Hill	F	4.9
The Hill	M	6.1
The Junction	F	5
The Junction	M	5.1
The Lagoon	F	5.8
The Marra	F	13.6
The Oaks	F	4.2
The Oaks	M	3.3
The Pinnacles	M	16.7
The Pocket	F	5.8
The Pocket	M	5.6
The Ponds	F	5
The Ponds	M	3.8
The Ridgeway	M	10.4
The Rock	F	2.9
The Rock	M	4.3
The Rocks (Sydney - NSW)	F	2.7
The Rocks (Sydney - NSW)	M	1.9
The Slopes	F	3.3
The Slopes	M	3.4
Theresa Creek (NSW)	M	15
Thirlmere	F	5.3
Thirlmere	M	5.2
Thirroul	F	4.1
Thirroul	M	4.7
Thora	F	10.8
Thora	M	7.1
Thornleigh	F	3.6
Thornleigh	M	4.4
Thornton (NSW)	F	5.4
Thornton (NSW)	M	5.8
Thrumster	M	2.5
Thurgoona	F	5.6
Thurgoona	M	4.2
Tichborne	F	17.6
Tighes Hill	F	3.3
Tighes Hill	M	9.6
Tingha	F	13.5
Tingha	M	14.5
Tingira Heights	F	5.9
Tingira Heights	M	4.7
Tinonee	F	6.7
Tinonee	M	5.6
Tintenbar	F	2.3
Tintenbar	M	4.4
Tintinhull	F	3.6
Tocal (NSW)	M	23.1
Tocumwal	F	5.2
Tocumwal	M	4
Tolland	F	10.1
Tolland	M	11.3
Tomago	F	11.8
Tomago	M	13.3
Tomakin	F	4.5
Tomakin	M	6.6
Tomerong	F	5.2
Tomerong	M	4.7
Tomewin	F	15
Tomingley	M	10.5
Tonderburine	M	11.5
Tongarra	M	7.9
Toongabbie (NSW)	F	7.6
Toongabbie (NSW)	M	6.4
Tooraweenah	F	5.8
Toormina	F	11.3
Toormina	M	11.1
Toowoon Bay	F	5
Toowoon Bay	M	3.7
Toronto	F	8
Toronto	M	12.2
Torryburn (Dungog - NSW)	F	8.3
Tottenham (NSW)	F	7.1
Tottenham (NSW)	M	4.2
Toukley	F	10.4
Toukley	M	8.5
Towamba	F	20.6
Towamba	M	15
Townsend	F	6.6
Townsend	M	7.4
Towradgi	F	5.8
Towradgi	M	4.4
Towrang	M	9.3
Trangie	F	9.2
Trangie	M	7.7
Tregeagle	F	5.3
Tregeagle	M	5.6
Tregear	F	19.3
Tregear	M	13.3
Trentham Cliffs	M	12
Trundle	F	6.5
Trundle	M	8.8
Tucabia	F	9.9
Tucabia	M	10.8
Tuckombil	F	6.8
Tuckombil	M	4.8
Tuckurimba	M	12
Tuggerah	F	5.1
Tuggerah	M	5.9
Tuggerawong	F	7.4
Tuggerawong	M	7.8
Tullamore	F	3.3
Tullamore	M	3.5
Tullera	F	3.6
Tullimbar	F	3.8
Tullimbar	M	6.3
Tumbarumba	F	4.7
Tumbarumba	M	4.3
Tumbi Umbi	F	6.6
Tumbi Umbi	M	6.1
Tumblong	F	7.3
Tumbulgum	F	3.6
Tumbulgum	M	2.8
Tumut	F	6.3
Tumut	M	6.8
Tuncester	F	22.7
Tuncurry	F	8.4
Tuncurry	M	11.2
Tuntable Creek	F	7
Tuntable Creek	M	12
Tura Beach	F	3.7
Tura Beach	M	4.2
Turners Flat	F	7.9
Turners Flat	M	8.6
Turondale	F	33.3
Tuross Head	F	10.2
Tuross Head	M	8.1
Turramurra	F	4.7
Turramurra	M	4.5
Turrella	F	9.6
Turrella	M	7
Turvey Park	F	4.7
Turvey Park	M	5.7
Tweed Heads	F	7.8
Tweed Heads	M	8.8
Tweed Heads South	F	8.3
Tweed Heads South	M	8.2
Tweed Heads West	F	8.2
Tweed Heads West	M	10.6
Twelve Mile	F	100
Twelve Mile Creek	F	25
Twelve Mile Creek	M	23.3
Tyagarah	F	17.1
Tyagarah	M	8.3
Tyalgum	F	7.1
Tyalgum	M	9.1
Tyndale	F	10.3
Uki	F	11.3
Uki	M	5.8
Ulamambri	F	8.3
Ulladulla	F	6.9
Ulladulla	M	8.6
Ulmarra	F	11
Ulmarra	M	11.9
Ulong	F	11.1
Ulong	M	7.5
Ultimo	F	13.9
Ultimo	M	11.9
Umina Beach	F	8
Umina Beach	M	7.3
Unanderra	F	7.5
Unanderra	M	10.3
Ungarie	F	3.2
Ungarie	M	6.1
Upper Burringbar	F	10.7
Upper Burringbar	M	4.5
Upper Colo	M	16.7
Upper Coopers Creek	M	30.8
Upper Copmanhurst	F	18.8
Upper Corindi	F	8.6
Upper Corindi	M	12.1
Upper Crystal Creek	F	16.2
Upper Crystal Creek	M	14.6
Upper Duroby	M	12
Upper Horseshoe Creek	F	21.1
Upper Horseshoe Creek	M	12
Upper Kangaroo River	F	11.1
Upper Lansdowne	F	5.6
Upper Lansdowne	M	13.5
Upper Main Arm	F	10.3
Upper Main Arm	M	14.6
Upper Manilla	F	10.3
Upper Nile	M	100
Upper Orara	F	1.6
Upper Orara	M	7.7
Upper Rollands Plains	F	17.2
Upper Rollands Plains	M	8.1
Upsalls Creek	M	14.8
Uralba	F	6
Uralba	M	9.8
Uralla (NSW)	F	6.7
Uralla (NSW)	M	5.6
Urana	F	5.5
Urana	M	4.9
Uranquinty	F	5.3
Uranquinty	M	1.3
Urbenville	F	16.3
Urbenville	M	10.4
Urliup	F	7.5
Urliup	M	9.3
Urunga	F	6.7
Urunga	M	10.5
Utungun	F	12.5
Utungun	M	8.1
Vacy	F	2.5
Vacy	M	3.5
Vale Of Clwydd	F	13.3
Vale Of Clwydd	M	19
Valentine	F	5.1
Valentine	M	5.9
Valery	F	8.6
Valery	M	9.7
Valla	F	6.8
Valla	M	6.8
Valla Beach	F	5.1
Valla Beach	M	5.6
Valley Heights	F	4.3
Valley Heights	M	4
Varroville	M	14.3
Vaucluse	F	4.7
Vaucluse	M	3.9
Verges Creek	F	6.3
Verges Creek	M	10.7
Verona	F	4.2
Verona	M	4.5
Villawood	F	15.2
Villawood	M	14.7
Vincentia	F	4.2
Vincentia	M	5.2
Vineyard	F	4.6
Vineyard	M	1.5
Voyager Point	F	4.5
Voyager Point	M	2.8
Wadalba	F	7.7
Wadalba	M	6.6
Wadeville	F	16.7
Wadeville	M	10.3
Wagga Wagga	F	5.9
Wagga Wagga	M	6.5
Wahroonga	F	4
Wahroonga	M	4.8
Waitara	F	9.1
Waitara	M	4.6
Wakefield	F	8.3
Wakeley	F	8.3
Wakeley	M	7.8
Wakool	M	3.8
Walbundrie	F	7.9
Walcha	F	3.4
Walcha	M	3.3
Walgett	F	8.8
Walgett	M	9.6
Walla Walla	F	8.9
Walla Walla	M	5.6
Wallabadah	F	9.6
Wallabadah	M	6.5
Wallabi Point	F	3.2
Wallabi Point	M	5.7
Wallacia	F	5.4
Wallacia	M	3.8
Wallaga Lake	F	7.1
Wallaga Lake	M	4.7
Wallagoot	F	2.4
Wallagoot	M	5.5
Wallalong	F	4.1
Wallalong	M	3.4
Wallanbah	M	17.6
Wallarah	F	5.3
Wallarah	M	11
Wallaroo (NSW)	F	1.6
Wallaroo (NSW)	M	1.6
Wallendbeen	F	5.8
Wallendbeen	M	5.5
Wallerawang	F	8.1
Wallerawang	M	6.5
Wallsend	F	7.8
Wallsend	M	9.8
Wambangalang	M	13
Wamberal	F	3.9
Wamberal	M	3.9
Wamboin	F	3.4
Wamboin	M	3
Wandella (NSW)	F	8.1
Wandella (NSW)	M	8.6
Wang Wauk	F	33.3
Wang Wauk	M	18.8
Wanganella	M	16.7
Wangi Wangi	F	6.9
Wangi Wangi	M	9
Wapengo	F	30
Wapengo	M	23.5
Warabrook	F	6.4
Warabrook	M	10.1
Waratah (NSW)	F	7.5
Waratah (NSW)	M	10.3
Waratah West	F	11
Waratah West	M	10.7
Wardell	F	9.4
Wardell	M	13.3
Wards River	F	16.7
Wards River	M	7.7
Wareemba	F	3.4
Wareemba	M	2.9
Warialda	F	7.9
Warialda	M	6.3
Warilla	F	10.1
Warilla	M	10.6
Warners Bay	F	5.7
Warners Bay	M	6.6
Warnervale	F	2.5
Warnervale	M	5
Warragamba	F	5.4
Warragamba	M	4.3
Warral	F	3.3
Warral	M	2.7
Warrawee	F	5
Warrawee	M	3.7
Warrawong	F	15.4
Warrawong	M	13.4
