SSC_NAME16	medianTotalHouseholdIncome
Mount Royal	36348
Mount Russell	45032
Mount Saint Thomas	76908
Mount Seaview	46800
Mount Tenandra	97500
Mount Thorley	113724
Mount Tomah	56316
Mount Vernon	133380
Mount Victoria	55380
Mount View	111800
Mount Vincent	97500
Mount Warning	25324
Mount Warrigal	60112
Mount Werong	
Mount White	49608
Mount Wilson	75816
Mountain Creek (NSW)	38948
Mountain Lagoon	63856
Mountain Top	71500
Mountain View (NSW)	59748
Mourquong	42900
Mowbray Park	97500
Mozart	81224
Mudgee	65312
Mulbring	75608
Mulgoa	115284
Mulgrave (NSW)	107224
Mulguthrie	
Muli Muli	40248
Mulla	
Mulla Creek	95316
Mullaley	53248
Mullamuddy	75816
Mullaway	63856
Mullengandra	70564
Mullengudgery	69316
Mullion	115336
Mullion Creek	93340
Mulloon	114400
Mullumbimby	51896
Mullumbimby Creek	58032
Mulwala	53456
Mulyandry	71448
Mumbil	36920
Mumblebone Plain	81224
Mumbulla Mountain	
Mummel	100724
Mummulgum	50232
Mundamia	71500
Mundarlo	95316
Munderoo	69316
Mundongo	99632
Mungay Creek	39104
Munghorn	
Mungindi (NSW)	63908
Mungo	
Mungo Brush	
Munni	40248
Munyabla	84448
Murga	58500
Murrah	45500
Murrami	65624
Murrawombie	
Murray Downs	86632
Murray Gorge	
Murrays Beach	107640
Murrays Run	61412
Murrengenburg	
Murrin Bridge	29848
Murringo	59176
Murrulebale	100724
Murrumbateman	146744
Murrumbo	
Murrumbucca	71448
Murrumburrah	55224
Murrurundi	42848
Murulla	
Murwillumbah	49764
Muscle Creek	125320
Muswellbrook	69212
Mutawintji	142948
Muttama	73632
Myall Creek	48516
Myall Lake	
Myall Park (NSW)	100724
Myalla (NSW)	
Mylestom	50648
Mylneford	55224
Myocum	59228
Myola (NSW)	42432
Myrtle Creek (NSW)	54132
Myrtle Mountain	68224
Myrtle Park	62816
Myrtleville	67184
Mystery Bay	48256
Myuna Bay	
Nabiac	50544
Nadgee	
Nambucca Heads	38220
Namoi River	53040
Nana Glen	64012
Nangus	58500
Nanima	149448
Napier Lane	117000
Napoleon Reef	64220
Naradhan	61724
Narara	79612
Narellan	78988
Narellan Vale	102388
Naremburn	136604
Narone Creek	61724
Narooma	40404
Narrabarba	44200
Narrabeen	82264
Narrabri	68484
Narraburra	68224
Narran Lake	
Narrandera	50076
Narrangullen	58500
Narrawa	67132
Narrawallee	49244
Narraweena	82004
Narromine	56472
Narwee	68016
Nashdale	89076
Nashua	62816
Nattai	68224
Naughtons Gap	73112
Neath	35932
Nebea	
Neilrex	58500
Nelligen	53716
Nelson (Bega Valley - NSW)	
Nelson (The Hills Shire - NSW)	91884
Nelson Bay (NSW)	59332
Nelsons Plains	101816
Nelungaloo	81224
Nemingha	71500
Nericon	74048
Neringla	42848
Nerong	38116
Nerriga	39208
Nerrigundah	38948
Nethercote	66196
Neurea	66612
Neutral Bay	119652
Never Never	
Nevertire	75816
Neville	59748
New Berrima	60528
New Brighton	60320
New Buildings	29900
New Italy	60320
New Lambton	75348
New Lambton Heights	119340
New Mexico	58500
New Park	40248
New Valley	40248
Newbold	
Newbridge (NSW)	53612
Newcastle	96148
Newcastle East	79196
Newcastle West	67912
Newee Creek	64324
Newington (NSW)	119912
Newnes	
Newnes Plateau	
Newport (NSW)	107432
Newrybar	76336
Newstead (NSW)	
Newton Boyd	58500
Newtown (NSW)	108160
Niagara Park	77064
Niangala	69524
Niemur	71500
Nightcap	
Nimbin	33852
Nimmitabel	40872
Nimmo	61724
Nobbys Creek	66456
Nombi	61724
Noona	58448
Noorong	46800
Nooroo	75816
Norah Head	81484
Noraville	62088
Nords Wharf	77220
Normanhurst	111280
North Albury	49868
North Arm (NSW)	63336
North Arm Cove	57044
North Avoca	115180
North Balgowlah	162188
North Batemans Bay	48308
North Boambee Valley	64376
North Bondi	132288
North Bourke	68224
North Brother	
North Casino	83460
North Curl Curl	143936
North Dorrigo	56836
North Epping	132028
North Gosford	62140
North Haven (NSW)	38532
North Lambton	66300
North Lismore	45916
North Macksville	47008
North Macquarie	168948
North Manly	133692
North Narooma	54028
North Narrabeen	113204
North Nowra	60268
North Parramatta	79248
North Richmond	74152
North Rocks	110812
North Rothbury	83200
North Ryde	105768
North Shore (NSW)	57928
North St Marys	57044
North Star	67444
North Strathfield	102388
North Sydney	118144
North Tamworth	60008
North Tumbulgum	73944
North Turramurra	100516
North Wagga Wagga	71708
North Wahroonga	140504
North Willoughby	114504
North Wollongong	67288
North Woodburn	66300
North Yalgogrin	37700
North Yeoval	37648
Northangera	74724
Northbridge (NSW)	173888
Northmead	85228
Northwood (NSW)	215904
Norway	55224
Nowendoc	48828
Nowley	134316
Nowra	42016
Nowra Hill	92144
Nubba	97500
Nulkaba	97500
Nullamanna	55692
Nullica	46800
Nullo Mountain	66248
Numbaa	67756
Number One	46748
Numbla Vale	67184
Numbugga	46800
Numeralla	59280
Numinbah	49348
Numulgi	85748
Nunderi	78520
Nundle	36140
Nungatta	
Nungatta South	
Nurenmerenmong	
Nymagee	63648
Nymboida	34788
Nyngan	56056
Nyora (NSW)	
Nyrang Creek	103948
O'Connell (NSW)	82056
Oak Flats	66248
Oakdale (NSW)	86944
Oakey Park	52364
Oakhampton	55224
Oakhampton Heights	137800
Oakhurst (NSW)	97760
Oaklands	44616
Oakville	108940
Oakwood (NSW)	50908
Oallen	50232
Oatlands (NSW)	99944
Oatley	111384
Oban	37648
Obanvale	66248
Oberne Creek	86632
Oberon	61776
Obley	64012
Ocean Shores	56992
Ogunbil	58500
Old Adaminaby	46800
Old Bar	47684
Old Bonalbo	35100
Old Erowal Bay	47736
Old Grevillia	34736
Old Guildford	66872
Old Junee	75088
Old Mill	58500
Old Station	58500
Old Toongabbie	88400
Olinda (NSW)	71500
Olney	
Omadale	
One Mile (NSW)	67184
One Tree	103948
Oolong	101816
Ooma	129948
Ootha	74724
Ophir	94224
Oran Park	114088
Orange	66300
Orange Grove (NSW)	116948
Orangeville	123812
Orchard Hills	107744
Orient Point	44824
Orton Park	58448
Osborne (NSW)	68224
Osterley (NSW)	97500
Oswald	133224
Otford	126256
Oura	88192
Ourimbah	83668
Ournie	106600
Owens Gap	97500
Oxford Falls	117000
Oxley (Balranald - NSW)	74724
Oxley (Warren - NSW)	
Oxley Island	61724
Oxley Park	69264
Oxley Vale	62816
Oyster Bay	134888
Oyster Cove (NSW)	46800
Packsaddle	58448
Paddington (NSW)	130468
Paddys Flat (Kyogle - NSW)	
Paddys Flat (Snowy Monaro Regional - NSW)	
Paddys River (Snowy Valleys - NSW)	87724
Paddys River (Wingecarribee - NSW)	73112
Padstow	80028
Padstow Heights	79196
Pagans Flat	
Pages Creek	
Pages River	
Pagewood	97240
Palarang	68224
Palerang	
Paling Yards (Bathurst Regional - NSW)	
Paling Yards (Oberon - NSW)	39624
Pallal	81224
Pallamallawa	61048
Palm Beach (NSW)	109772
Palm Grove (NSW)	61724
Palmdale (NSW)	94224
Palmers Channel	61724
Palmers Island	54964
Palmers Oaky	58500
Palmvale	68224
Palmwoods (NSW)	39624
Pambula	43836
Pambula Beach	65520
Pampoolah	59280
Pan Ban	90948
Panania	85384
Pangee	
Panuara	63648
Pappinbarra	49348
Para	
Paradise (NSW)	
Paringi	108316
Parkes (NSW)	59384
Parkesbourne	97500
Parklea	124384
Parkville (NSW)	72748
Parma	73112
Parramatta	90428
Parraweena	94224
Patchs Beach	46800
Paterson (NSW)	82212
Patonga	43316
Paupong	29900
Paxton	65364
Paynes Crossing	58500
Paytens Bridge	88816
Peacock Creek	40248
Peak Hill (NSW)	39156
Peak View	68224
Peakhurst	78728
Peakhurst Heights	89804
Pearces Creek	62816
Pearl Beach	68068
Peats Ridge	88192
Pebbly Beach	
Peel	87724
Peelwood	29900
Pejar	81224
Pelaw Main	51428
Pelican (NSW)	62712
Pelton	61724
Pembrooke	55224
Pemulwuy	124592
Pendle Hill	78208
Pennant Hills	115544
Penrith	59384
Penrose	48048
Penshurst (NSW)	82732
Pericoe	24024
Perrys Crossing	
Perthville	78676
Petersham	102232
Pheasants Nest	106184
Phegans Bay	87360
Phillip Bay	111228
Phoenix Park	60632
Piallamore	75088
Piallaway	59748
Piambong	95316
Picketts Valley	139724
Picnic Point	104780
Picton (NSW)	99268
Pigeonbah	
Piggabeen	65936
Pikapene	
Pillar Valley	40508
Pilliga	29900
Pilot Wilderness	
Pimlico (NSW)	61724
Pimlico Island	
Pinbeyan	
Pindaroi	45032
Pindimar	56472
Pine Camp	84500
Pine Clump	
Pine Grove (NSW)	58448
Pine Lodge (NSW)	55224
Pine Ridge	74724
Pine Valley	71500
Piney Range	68224
Pinkett	67132
Pinnacle (NSW)	39624
Pinnacle Swamp	87724
Pinny Beach	
Piora	61256
Pipeclay	54132
Pitnacree	134316
Pitt Town	120432
Pitt Town Bottoms	84448
Pleasant Hills	46748
Pleasure Point	135564
Plumpton (NSW)	97760
Point Clare	68380
Point Frederick	62036
Point Piper	189488
Point Wolstoncroft	
Pointer Mountain	
Pokolbin	108108
Pola Creek	58500
Polo Flat	61724
Pomeroy	74724
Pomona (NSW)	51064
Ponto	123448
Pooncarie	48516
Port Botany	
Port Hacking	151216
Port Kembla	52832
Port Macquarie	55588
Port Stephens	
Porters Creek	
Porters Retreat	46800
Portland (NSW)	53196
Possum Brush	53612
Possum Creek	66196
Potato Point	59384
Pottery Estate	35516
Potts Hill	102596
Potts Point	95784
Pottsville	66612
Prairiewood	69888
Premer	46800
Prestons	103324
Pretty Beach (Central Coast - NSW)	81588
Pretty Beach (Shoalhaven - NSW)	
Pretty Pine	71500
Primbee	61880
Primrose Valley	105612
Prospect (NSW)	93392
Pucawan	74724
Puddledock	88816
Pulganbar	20748
Pullabooka	92612
Pulletop	68224
Pumpenbil	44564
Punchbowl (Canterbury-Bankstown - NSW)	59592
Punchbowl (Clarence Valley - NSW)	
Purfleet	23764
Purlewaugh	69316
Putney	127712
Putta Bucca	113724
Putty	44200
Pyangle	
Pymble	160680
Pyramul	45032
Pyree	58500
Pyrmont	118560
Quaama	41912
Quakers Hill	103636
Quambone	37700
Quanda	
Quandary	71500
Quandialla	46800
Queanbeyan	73060
Queanbeyan East	69056
Queanbeyan West	94484
Queens Park (NSW)	147108
Queens Pinch	61724
Queenscliff (NSW)	122096
Quialigo	76492
Quidong	
Quiera	
Quipolly	70200
Quirindi	54704
Quorrobolong	98748
Raby	93392
Raglan (NSW)	76076
Rainbow Flat	65884
Rainbow Reach	49868
Raleigh	73632
Ramornie	39884
Ramsgate	84032
Ramsgate Beach	64844
Rand	67756
Randwick	112788
Rangari	62816
Rangers Valley	71448
Rankin Park	88868
Rankins Springs	58500
Rannock	71448
Rappville	37700
Rathmines	66924
Ravensdale	107224
Ravenswood (NSW)	42432
Ravensworth (NSW)	
Rawdon Island	80132
Rawdon Vale	84448
Raworth	95316
Rawsonville	110500
Raymond Terrace	57304
Razorback	116584
Red Head	53612
Red Hill (Snowy Valleys - NSW)	
Red Hill (Tamworth Regional - NSW)	37700
Red Hill (Warren - NSW)	
Red Range	48724
Red Rock	50128
Red Rocks	
Redbank (NSW)	69836
Redbournberry	114816
Reddestone	32448
Redfern	94692
Redhead	66612
Redlands	94224
Reedy Creek (NSW)	88816
Reedy Swamp	55224
Reefton (NSW)	108316
Regents Park (NSW)	62556
Regentville	93808
Reids Flat	29900
Reidsdale	61724
Rennie	71500
Renwick	96980
Repentance Creek	54444
Repton	62816
Reserve Creek	55224
Retreat (NSW)	28600
Revesby	78832
Revesby Heights	113776
Rhine Falls	84448
Rhodes	88036
Richlands (NSW)	71500
Richmond (NSW)	59592
Richmond Hill (NSW)	88556
Richmond Lowlands	84500
Richmond Vale	117000
Rileys Hill	66248
Ringwood (NSW)	68224
Riverlea	84448
Riverside (NSW)	65728
Riverstone	86684
Rivertree	31148
Riverview (NSW)	191984
Riverwood	52728
Rixs Creek	97448
Rob Roy	57200
Robertson (NSW)	73944
Robin Hill	117624
Rock Flat	84500
Rock Forest	93184
Rock Valley	70304
Rockdale	85020
Rockley	43316
Rockley Mount	120224
Rockton	36400
Rocky Creek (Gwydir - NSW)	55224
Rocky Creek (Inverell - NSW)	
Rocky Glen	39988
Rocky Hall	42900
Rocky Plain (NSW)	68224
Rocky Point (NSW)	73320
Rocky River (Tenterfield - NSW)	29900
Rocky River (Uralla - NSW)	51480
Rodd Point	119496
Rollands Plains	48256
Rookhurst	58500
Rookwood (NSW)	
Rooty Hill	91832
Ropers Road	58500
Ropes Crossing	105456
Rose Bay (NSW)	118144
Rose Valley (Kiama - NSW)	117000
Rose Valley (Snowy Monaro Regional - NSW)	46800
Rosebank	53196
Roseberg	46800
Roseberry	31824
Roseberry Creek	48516
Rosebery (NSW)	98332
Rosebrook (NSW)	74724
Rosedale (NSW)	61984
Rosehill (NSW)	81796
Roselands	70460
Rosemeadow	76440
Rosemeath	58500
Roseville	147264
Roseville Chase	157508
Rosewood (Port Macquarie-Hastings - NSW)	73112
Rosewood (Snowy Valleys - NSW)	49712
Roslyn	62816
Rossglen	55900
Rossgole	
Rossi	110500
Rossmore (NSW)	75504
Roto	71448
Rouchel	120224
Rouchel Brook	64948
Roughit	122512
Round Mountain	76336
Round Swamp	46748
Rous	83200
Rous Mill	75504
Rouse Hill	124852
Rowan	107224
Rowena	53612
Rowlands Creek	44200
Royal National Park	97500
Royalla	159588
Rozelle	149396
Ruby Creek	58500
Rufus	62816
Rugby	53248
Rukenvale	37700
Run-o-Waters	95836
Running Stream	53300
Runnyford	46748
Ruse	85332
Rushcutters Bay	88816
Rushes Creek	53612
Rushforth	67756
Russell Lea	111696
Russell Vale	75504
Rutherford	62504
Ruthven	62816
Ryan (NSW)	97448
Rydal	55224
Rydalmere	80756
Ryde	89128
Rye Park	59748
Ryhope	110500
Rylstone	44512
Sackville	92872
Sackville North	102336
Saddleback Mountain	110448
Sadleir	44772
Safety Beach (NSW)	80600
Salamander Bay	52832
Salisbury (NSW)	50024
Salisbury Plains	37700
Sallys Flat	
Salt Ash	67028
Saltwater	
San Isidore	93132
San Remo (NSW)	59592
Sancrox	75348
Sanctuary Point	44564
Sandbar	
Sandgate (NSW)	47944
Sandigo	67132
Sandilands (NSW)	
Sandon (NSW)	50024
Sandringham (NSW)	89180
Sandy Beach	63180
Sandy Creek (Cobar - NSW)	136448
Sandy Creek (Upper Hunter Shire - NSW)	71500
Sandy Crossing	94224
Sandy Flat	61724
Sandy Gully (NSW)	97500
Sandy Hill	37700
Sandy Hollow	62348
Sandy Point (NSW)	118404
Sanger	
Sans Souci	79872
Sapphire	71448
Sapphire Beach	80288
Saratoga	85176
Sassafras (NSW)	58500
Saumarez	74724
Saumarez Ponds	89336
Savernake	54132
Sawpit Creek	29848
Sawtell	57564
Sawyers Gully	81588
Scarborough (NSW)	107016
Scheyville	
Schofields	106652
Scone	68536
Scotia	46800
Scotland Island	93600
Scotts Creek (NSW)	45448
Scotts Flat	77948
Scotts Head	50388
Seaforth (NSW)	175968
Seaham	100880
Seahampton	75816
Seal Rocks	29848
Sebastopol (NSW)	108316
Sedgefield	108316
Seelands	63856
Sefton	66352
Segenhoe	97500
Seven Hills (NSW)	80652
Seven Oaks	61724
Sextonville	58500
Shadforth (NSW)	97500
Shallow Bay	45500
Shalvey	60684
Shanes Park	88816
Shannon Brook	57200
Shannon Vale	46800
Shannondale	58500
Shannons Flat	58500
Shark Creek	155948
Sharps Creek	74724
Sheedys Gully	50908
Shell Cove	112060
Shellharbour	72540
Shellharbour City Centre	39624
Shelly Beach (NSW)	78208
Sherwood (Clarence Valley - NSW)	38220
Sherwood (Kempsey - NSW)	51220
Sherwood (Kyogle - NSW)	35724
Shoal Bay (NSW)	47216
Shoalhaven Heads	43784
Shooters Hill	117000
Shortland	53976
Silent Grove	23400
Silverdale (NSW)	115440
Silverton (NSW)	46748
Silverwater (Lake Macquarie - NSW)	60320
Silverwater (Parramatta - NSW)	79872
Simpkins Creek	61724
Singleton (NSW)	65000
Singleton Heights	83044
Singleton Military Area	
Singletons Mill	
Six Mile Swamp	
Skennars Head	70928
Skillion Flat	48932
Skinners Shoot	49348
Sleepy Hollow	74724
Smeaton Grange	123448
Smithfield (NSW)	60996
Smiths Creek (Clarence Valley - NSW)	24648
Smiths Creek (Kyogle - NSW)	55224
Smiths Creek (Tweed - NSW)	52728
Smiths Lake	51064
Smithtown	49556
Snakes Plain	
Snowball	
Snowy Plain	
Sodwalls	63336
Sofala	29900
Soldiers Point	57824
Somersby	86268
Somerton (NSW)	65936
South Albury	45656
South Arm (Clarence Valley - NSW)	48724
South Arm (Nambucca - NSW)	39728
South Ballina	71500
South Bathurst	57148
South Bowenfels	70616
South Coogee	78884
South Durras	59696
South Golden Beach	58760
South Grafton	41652
South Granville	49764
South Gundagai	55796
South Gundurimba	66976
South Guyra	54964
South Hurstville	82212
South Kempsey	46228
South Lismore	47424
South Littleton	54600
South Maitland	48412
South Maroota	106704
South Murwillumbah	54184
South Nowra	69160
South Pambula	58240
South Penrith	81796
South Tamworth	46228
South Turramurra	133328
South Wentworthville	76388
South West Rocks	44356
South Windsor	66716
South Wolumla	81224
Southampton (NSW)	74724
Southgate	61048
Speers Point	71188
Speewa	37700
Spencer	42224
Spicers Creek	81224
Spicketts Creek	44148
Splitters Creek	131612
Spring Creek (NSW)	88816
Spring Farm (NSW)	111540
Spring Flat	79612
Spring Grove	66092
Spring Hill (Cabonne - NSW)	85748
Spring Hill (Wollongong - NSW)	
Spring Mountain (NSW)	90948
Spring Plains	121316
Spring Ridge	69160
Spring Terrace	83408
Springdale (NSW)	55224
Springdale Heights	49296
Springfield (Central Coast - NSW)	79404
Springfield (Snowy Monaro Regional - NSW)	97500
Springrange	133068
Springside (NSW)	95316
Springvale (Lithgow - NSW)	90948
Springvale (Wagga Wagga - NSW)	135720
Springwood (NSW)	80600
St Albans (NSW)	47528
St Andrews (NSW)	85436
St Clair (Penrith - NSW)	96668
St Clair (Singleton - NSW)	
St Fillans	63336
St George (NSW)	
St Georges Basin	49660
St Helens Park	85852
St Huberts Island	73528
St Ives (NSW)	128804
St Ives Chase	152776
St Johns Park	78260
St Leonards (NSW)	121004
St Marys (NSW)	61880
St Peters (NSW)	120536
Stanborough	68224
Stanbridge	54756
Stanford Merthyr	56732
Stanhope (NSW)	108316
Stanhope Gardens	119132
Stanmore (NSW)	113308
Stannifer	29900
Stannum	37700
Stanwell Park	121576
Stanwell Tops	122720
State Mine Gully	58500
Steam Plains	
Steeple Flat	67184
Stewarts Brook	37648
Stewarts River	57200
Stockinbingal	40144
Stockrington	110500
Stockton (NSW)	66872
Stockyard Creek (NSW)	32448
Stokers Siding	62192
Stonehenge (NSW)	68224
Stonequarry	143000
Stony Chute	39208
Stony Creek (Bega Valley - NSW)	67184
Stony Creek (Mid-Western Regional - NSW)	81224
Stony Crossing	
Stotts Creek	
Stratford (NSW)	43316
Strathcedar	58500
Stratheden	61724
Strathfield (NSW)	98384
Strathfield South	94068
Stroud	61984
Stroud Hill	84448
Stroud Road	67184
Stuart Town	53040
Stuarts Point	37180
Stubbo	57668
Stud Park	74724
Suffolk Park	78728
Sugarloaf (NSW)	61724
Summer Hill (Dungog - NSW)	94224
Summer Hill (Inner West - NSW)	100880
Summer Hill Creek	92248
Summer Island	68224
Summerland Point	58552
Sun Valley (NSW)	107224
Sunny Corner	43316
Sunset Strip (NSW)	35100
Sunshine (NSW)	63024
Sunshine Bay	49920
Suntop	82316
Surf Beach (NSW)	47164
Surfside	47320
Surry Hills	111488
Sussex Inlet	39936
Sutherland (NSW)	86684
Sutton (NSW)	123292
Sutton Forest	76960
Swan Bay (Port Stephens - NSW)	62660
Swan Bay (Richmond Valley - NSW)	70668
Swan Creek (NSW)	52832
Swan Vale	39624
Swanbrook	84448
Swanhaven	38168
Swans Crossing	
Swansea (NSW)	45448
Swansea Heads	84968
Sweetmans Creek	61724
Sydenham (NSW)	96772
Sydney	101348
Sydney Olympic Park	91936
Sylvania	85748
Sylvania Waters	102596
Tabbil Creek	79612
Tabbimoble	68224
Tabbita	107224
Table Top	110812
Tabulam	37700
Tacoma	77324
Tacoma South	87724
Tahlee	
Tahmoor	72956
Talarm	60320
Talawanta	71448
Talbingo	47268
Tallawang	59540
Tallimba	60112
Tallong	61152
Tallowal	
Tallowwood Ridge	24648
Tallwood	81224
Tallwoods Village	65312
Talmalmo	43316
Talofa	75816
Taloumbi	38428
Tamarama	174096
Tamban	40248
Tambar Springs	38948
Tambaroora	25428
Taminda	32448
Tamworth	42900
Tanglewood	66612
Tanilba Bay	50336
Tanja	55224
Tannabar	97500
Tannas Mount	84500
Tantangara	
Tantawangalo	58500
Tantonan	99632
Tapitallee	106704
Tara (NSW)	74724
Taradale (NSW)	97500
Tarago	85540
Taralga	54600
Tarana	79092
Tarban	42848
Tarbuck Bay	41184
Tarcutta	56316
Taree	42016
Taree South	39884
Taren Point	72332
Tarlo	92612
Tarraganda	81224
Tarrawanna	57408
Tarriaro	81224
Tarro	50700
Tascott	82160
Tatham	58500
Tathra	56524
Tatton	110136
Taylors Arm	44200
Taylors Beach (NSW)	59540
Taylors Flat	44720
Tea Gardens	46332
Telarah	52884
Telegraph Point	62348
Telopea	62504
Temagog	40560
Temora	51064
Tempe	99424
Ten Mile Hollow	
Tenambit	58136
Tenandra	94224
Tennyson (NSW)	102076
Tennyson Point	141700
Tenterden (NSW)	67132
Tenterfield	41288
Teralba	58916
Terania Creek	42432
Terara	46800
Teridgerie	46800
Termeil	56056
Terrabella	123448
Terrace Creek	35048
Terragon	71500
Terramungamine	91884
Terranora	91104
Terreel	
Terrey Hills	124332
Terrigal	87308
Terry Hie Hie	40924
Teven	85540
Tewinga	55224
Texas (NSW)	56316
Thalgarrah	74256
Tharbogang	72748
The Angle	96200
The Bight	57200
The Branch	84500
The Brothers	74724
The Channon	48828
The Devils Wilderness	
The Entrance	43992
The Entrance North	59020
The Freshwater	
The Gap (Richmond Valley - NSW)	
The Gap (Wagga Wagga - NSW)	58448
The Glen (NSW)	
The Gulf	
The Hatch	81224
The Hill	83304
The Junction	82264
The Lagoon	72904
The Marra	84500
The Meadows	
The Oaks	94692
The Pilliga	
The Pinnacles	58500
The Pocket	56316
The Ponds	137748
The Ridgeway	146224
The Risk	58448
The Rock	63856
The Rocks (Bathurst Regional - NSW)	71500
The Rocks (Sydney - NSW)	182832
The Sandon	
The Slopes	109876
The Whiteman	66612
Theresa Creek (NSW)	43316
Theresa Park	109356
Thirldene	
Thirlmere	81224
Thirroul	101244
Thora	48048
Thornleigh	117624
Thornton (NSW)	85644
Thrumster	98020
Thuddungra	58500
Thule	58500
Thumb Creek	37700
Thurgoona	84136
Thyra	58500
Tianjara	
Tibbuc	38948
Tibooburra	64116
Tichborne	74724
Tichular	
Tighes Hill	71344
Tilba Tilba	46800
Tilbuster	103948
Tilligerry Creek	
Tilpa	38948
Timbarra (NSW)	71448
Timbillica	37700
Timbumburi	84500
Timor (NSW)	46800
Tindarey	44148
Tinderry	107224
Tingha	44408
Tingira Heights	89388
Tinonee	58968
Tinpot	
Tintenbar	84812
Tintinhull	70668
Tiona	
Tipperary (NSW)	37648
Tiri	
Tirrannaville	81900
Titaatee Creek	58500
Tocal (NSW)	
Tocumwal	46176
Tolland	48932
Tolwong	
Tomago	40768
Tomakin	52936
Tomalla	62816
Tombong	29848
Tomboye	19448
Tomerong	70408
Tomewin	67600
Tomingley	60216
Tomki	71448
Toms Creek	44200
Tonderburine	71500
Tongarra	133224
Toogong	57408
Tooleybuc	55224
Toolijooa	84500
Tooloom	58500
Tooloon	116948
Tooma	77948
Toongabbie (NSW)	89908
Toongi	76856
Toonumbar	37700
Tooranie	
Tooraweenah	48308
Toormina	45552
Toorooka	37700
Toothdale	68900
Tootool	59540
Toowoon Bay	49348
Topi Topi	45032
Toronto	52936
Torrington (NSW)	25584
Torryburn (Dungog - NSW)	86632
Torryburn (Uralla - NSW)	64948
Totnes Valley	64948
Tottenham (NSW)	39468
Touga	
Toukley	46956
Towallum	
Towamba	37908
Townsend	48256
Towradgi	62868
Towrang	66248
Tralee	
Trangie	50856
Tregeagle	81588
Tregear	49244
Trenayr	58500
Trentham Cliffs	58500
Trewilga	46800
Triamble	23348
Triangle Flat	81224
Trundle	47372
Trungley Hall	67184
Trunkey Creek	53872
Tubbamurra	45448
Tubbul	71500
Tucabia	46800
Tucki Tucki	81900
Tuckombil	82316
Tuckurimba	63856
Tuena	35724
Tuggerah	66352
Tuggerawong	62608
Tugrabakh	56836
Tullakool	93132
Tullamore	52468
Tullarwalla	
Tullera	70564
Tullibigeal	53612
Tullimbar	97500
Tulloona	80184
Tullymorgan	66612
Tumbarumba	57304
Tumbi Umbi	73684
Tumblong	69628
Tumbulgum	69524
Tumorrama	55224
Tumut	55796
Tumut Plains	74724
Tuncester	53040
Tuncurry	39000
Tunglebung	48516
Tuntable Creek	42536
Tuppal	98748
Tura Beach	55328
Turill	50232
Turlinjah	70200
Turners Flat	62816
Turondale	53092
Tuross	
Tuross Head	46436
Turramurra	138164
Turrawan	108316
Turrella	93028
Turvey Park	78988
Tweed Heads	48256
Tweed Heads South	41496
Tweed Heads West	43784
Twelve Mile	46800
Twelve Mile Creek	48048
Twelve Mile Peg	
Twenty Forests	
Twin Rivers	61724
Two Mile Flat	71448
Tyagarah	53040
Tyalgum	46800
Tyalgum Creek	56316
Tygalgah	74724
Tyndale	42432
Tyringham	31408
Uarbry	37648
Uki	54756
Ulamambri	59644
Ulan	71500
Ulladulla	42276
Ulmarra	42536
Ulong	39416
Ultimo	63960
Umina Beach	60320
Unanderra	49400
Underbank	40248
Undercliffe	27924
Ungarie	49140
Unumgar	25116
Upper Allyn	
Upper Bingara	37648
Upper Burringbar	45916
Upper Bylong	
Upper Colo	47788
Upper Coopers Creek	32448
Upper Copmanhurst	36140
Upper Corindi	46800
Upper Crystal Creek	44200
Upper Dartbrook	97500
Upper Duck Creek	
Upper Duroby	97500
Upper Eden Creek	37648
Upper Fine Flower	37700
Upper Growee	49348
Upper Horseshoe Creek	42848
Upper Horton	39312
Upper Kangaroo River	68224
Upper Kangaroo Valley	
Upper Karuah River	
Upper Lansdowne	50596
Upper Macdonald	84500
Upper Main Arm	36192
Upper Mangrove	
Upper Manilla	58500
Upper Mongogarie	53248
Upper Myall	61724
Upper Nile	
Upper Orara	72488
Upper Pappinbarra	66612
Upper Rollands Plains	38948
Upper Rouchel	61724
Upper Taylors Arm	38324
Upper Tooloom	46800
Upper Turon	22100
Upper Wilsons Creek	54184
Upsalls Creek	60632
Uralba	72904
Uralla (NSW)	49764
Urana	44876
Urangeline	
Urangeline East	37700
Uranquinty	74152
Urawilkie	55224
Urbenville	34164
Uriarra	116948
Urila	112632
Urliup	60112
Urunga	48412
Utungun	48516
Vacy	91520
Vale Of Clwydd	46384
Valentine	93340
Valery	59020
Valla	64740
Valla Beach	49452
Valley Heights	91312
Varroville	94224
Vaucluse	142532
Verges Creek	66300
Verona	49868
Villawood	40612
Vincentia	65104
Vineyard	62244
Violet Hill	
Vittoria (NSW)	93132
Voyager Point	146640
Wadalba	83096
Wadbilliga	
Wadeville	27300
Wagga Wagga	62140
Wagstaffe	79612
Wahroonga	134368
Waitara	89492
Waitui	68224
Wakefield	97500
Wakeley	73008
Wakool	45292
Walang	71448
Walbundrie	53612
Walcha	55692
Walcha Road	54184
Waldegrave	136500
Walgett	54028
Walla Walla	56992
Wallabadah	50232
Wallabi Point	82212
Wallacetown	
Wallacia	89908
Wallaga Lake	39936
Wallagoot	59904
Wallalong	105612
Wallamore	81224
Wallanbah	48516
Wallangra	37128
Wallanthery	49348
Wallarah	81224
Wallaringa	55224
Wallarobba	70408
Wallaroo (NSW)	117832
Wallendbeen	63648
Wallerawang	59020
