SSC_NAME16	PrivateDwelling	persons
Norong	0	9
Norong	1	107
North Bendigo	0	571
North Bendigo	1	3518
North Blackwood	0	9
North Blackwood	1	42
North Geelong	0	737
North Geelong	1	2307
North Melbourne	0	2915
North Melbourne	1	12483
North Shore (Vic.)	0	33
North Shore (Vic.)	1	315
North Wangaratta	0	52
North Wangaratta	1	250
North Warrandyte	0	146
North Warrandyte	1	2723
North Wonthaggi	0	146
North Wonthaggi	1	2599
Northcote	0	1677
Northcote	1	22433
Northwood (Vic.)	0	13
Northwood (Vic.)	1	183
Norval	1	31
Notting Hill	0	319
Notting Hill	1	2734
Nowa Nowa	0	5
Nowa Nowa	1	167
Nowhere Creek	0	3
Nowhere Creek	1	18
Nowie	0	5
Nowie	1	11
Nug Nug	0	4
Nug Nug	1	18
Nuggetty	0	53
Nuggetty	1	34
Nulla Vale	0	3
Nulla Vale	1	57
Nullawarre	0	21
Nullawarre	1	221
Nullawarre North	1	58
Nullawil	0	3
Nullawil	1	84
Numurkah	0	311
Numurkah	1	4081
Nunawading	0	649
Nunawading	1	10992
Nungurner	0	7
Nungurner	1	262
Nurcoung	0	4
Nurcoung	1	36
Nurrabiel	1	62
Nurran	1	3
Nutfield	0	17
Nutfield	1	135
Nyah	0	96
Nyah	1	451
Nyah West	0	169
Nyah West	1	494
Nyarrin	1	24
Nyerimilang	1	4
Nyora (Vic.)	0	85
Nyora (Vic.)	1	1421
Nyrraby	0	3
Nyrraby	1	17
Oak Park	0	299
Oak Park	1	5837
Oaklands Junction	0	20
Oaklands Junction	1	428
Oakleigh	0	517
Oakleigh	1	7312
Oakleigh East	0	366
Oakleigh East	1	5977
Oakleigh South	0	365
Oakleigh South	1	8817
Oakvale	1	21
Ocean Grove	0	664
Ocean Grove	1	12855
Officer	0	223
Officer	1	6824
Officer South	0	3
Officer South	1	70
Old Tallangatta	0	4
Old Tallangatta	1	31
Olinda (Vic.)	0	113
Olinda (Vic.)	1	1596
Ombersley	0	4
Ombersley	1	86
Omeo	0	87
Omeo	1	347
Omeo Valley	1	3
Ondit	1	94
Orbost	0	239
Orbost	1	1921
Orford (Vic.)	1	100
Ormond	0	277
Ormond	1	8000
Orrvale	0	13
Orrvale	1	412
Osbornes Flat	0	3
Osbornes Flat	1	204
Outtrim	0	20
Outtrim	1	212
Ouyen	0	198
Ouyen	1	992
Ovens	0	18
Ovens	1	192
Oxley (Vic.)	0	49
Oxley (Vic.)	1	564
Oxley Flats	1	51
Ozenkadnook	1	27
Paaratte	0	4
Paaratte	1	29
Painswick	1	5
Pakenham	0	2292
Pakenham	1	43603
Pakenham South	0	17
Pakenham South	1	188
Pakenham Upper	0	68
Pakenham Upper	1	1072
Panitya (Vic.)	0	4
Panitya (Vic.)	1	60
Panmure	0	32
Panmure	1	372
Panton Hill	0	60
Panton Hill	1	974
Paradise (Vic.)	0	3
Paradise (Vic.)	1	36
Paradise Beach	0	23
Paradise Beach	1	129
Paraparap	0	8
Paraparap	1	132
Park Orchards	0	71
Park Orchards	1	3646
Parkdale	0	532
Parkdale	1	10975
Parkville (Vic.)	0	4819
Parkville (Vic.)	1	4370
Parwan	0	11
Parwan	1	160
Paschendale	1	32
Pascoe Vale	0	1154
Pascoe Vale	1	15693
Pascoe Vale South	0	576
Pascoe Vale South	1	9359
Pastoria	1	47
Pastoria East	0	3
Pastoria East	1	30
Patchewollock	0	6
Patchewollock	1	127
Patho	0	10
Patho	1	99
Patterson Lakes	0	323
Patterson Lakes	1	7047
Patyah	1	61
Paynesville (Vic.)	0	298
Paynesville (Vic.)	1	2983
Pearcedale	0	131
Pearcedale	1	3618
Pearsondale	0	6
Pearsondale	1	130
Peechelba	0	5
Peechelba	1	163
Peechelba East	1	45
Pelluebla	1	27
Pennyroyal	0	5
Pennyroyal	1	75
Penshurst (Vic.)	0	46
Penshurst (Vic.)	1	576
Pental Island	0	8
Pental Island	1	125
Pentland Hills	0	8
Pentland Hills	1	170
Percydale	0	9
Percydale	1	35
Peronne	0	8
Peronne	1	47
Perry Bridge	0	5
Perry Bridge	1	79
Peterborough (Vic.)	0	36
Peterborough (Vic.)	1	197
Petticoat Creek	0	3
Pheasant Creek (Vic.)	0	20
Pheasant Creek (Vic.)	1	280
Piangil	0	22
Piangil	1	226
Picola	0	11
Picola	1	197
Picola West	1	9
Piedmont	0	3
Piedmont	1	43
Pier Milan	0	4
Pier Milan	1	4
Pigeon Ponds	1	29
Piggoreet	1	36
Pimpinio	0	8
Pimpinio	1	165
Pine Grove (Vic.)	1	27
Pine Lodge (Vic.)	1	224
Pine Mountain (Vic.)	1	31
Pioneer Bay	0	22
Pioneer Bay	1	312
Pipers Creek	0	24
Pipers Creek	1	132
Pira	0	3
Pira	1	6
Piries	0	4
Piries	1	56
Pirron Yallock	1	111
Pitfield	0	3
Pitfield	1	46
Pittong	1	14
Plenty (Vic.)	0	62
Plenty (Vic.)	1	2252
Plumpton (Vic.)	0	280
Plumpton (Vic.)	1	4040
Point Cook	0	1952
Point Cook	1	47485
Point Leo	0	14
Point Leo	1	144
Point Lonsdale	0	272
Point Lonsdale	1	2223
Polisbet	1	3
Pomborneit	0	4
Pomborneit	1	61
Pomborneit East	1	30
Pomborneit North	0	7
Pomborneit North	1	44
Pomonal	0	14
Pomonal	1	294
Pompapiel	0	14
Pompapiel	1	41
Poolaijelo	0	3
Poolaijelo	1	36
Pootilla	0	3
Pootilla	1	77
Poowong	0	21
Poowong	1	599
Poowong East	0	6
Poowong East	1	67
Poowong North	0	13
Poowong North	1	171
Porcupine Ridge	0	11
Porcupine Ridge	1	106
Porepunkah	0	91
Porepunkah	1	829
Port Albert	0	19
Port Albert	1	255
Port Campbell	0	172
Port Campbell	1	380
Port Fairy	0	437
Port Fairy	1	2849
Port Franklin	1	121
Port Melbourne	0	1348
Port Melbourne	1	14460
Port Welshpool	0	19
Port Welshpool	1	174
Portarlington	0	391
Portarlington	1	3095
Portland (Vic.)	0	960
Portland (Vic.)	1	8474
Portland North	0	46
Portland North	1	549
Portland West	0	22
Portland West	1	551
Portsea	0	47
Portsea	1	341
Pound Creek	0	3
Pound Creek	1	99
Powelltown	0	22
Powelltown	1	186
Powers Creek	1	10
Powlett Plains	0	10
Powlett Plains	1	36
Prahran	0	1816
Prahran	1	11004
Prairie (Vic.)	0	5
Prairie (Vic.)	1	59
Pranjip	1	18
Preston (Vic.)	0	2465
Preston (Vic.)	1	30037
Princes Hill	0	128
Princes Hill	1	1936
Princetown	0	15
Princetown	1	215
Puckapunyal	0	561
Puckapunyal	1	752
Pura Pura	0	5
Pura Pura	1	31
Purdeet	1	14
Purnim	0	35
Purnim	1	230
Purnim West	1	38
Pyalong	0	45
Pyalong	1	602
Pyramid Hill	0	30
Pyramid Hill	1	523
Quambatook	0	18
Quambatook	1	224
Quantong	0	14
Quantong	1	289
Quarry Hill	0	102
Quarry Hill	1	2169
Queenscliff (Vic.)	0	122
Queenscliff (Vic.)	1	1122
Raglan (Vic.)	0	25
Raglan (Vic.)	1	188
Rainbow	0	56
Rainbow	1	612
Ranceby	1	61
Rathscar	1	17
Rathscar West	1	23
Ravenhall	0	1146
Ravenhall	1	9
Ravenswood (Vic.)	0	14
Ravenswood (Vic.)	1	421
Ravenswood South	0	6
Ravenswood South	1	66
Rawson	0	16
Rawson	1	269
Raymond Island	0	38
Raymond Island	1	454
Raywood	0	16
Raywood	1	287
Red Cliffs	0	466
Red Cliffs	1	4459
Red Hill (Vic.)	0	106
Red Hill (Vic.)	1	764
Red Hill South	0	49
Red Hill South	1	530
Red Lion	0	15
Red Lion	1	102
Redan	0	190
Redan	1	2663
Redbank (Vic.)	0	7
Redbank (Vic.)	1	94
Redcastle	0	7
Redcastle	1	64
Redesdale	0	26
Redesdale	1	215
Reedy Creek (Vic.)	0	3
Reedy Creek (Vic.)	1	146
Reedy Dam	1	24
Reedy Flat	0	7
Reedy Flat	1	31
Reedy Lake	1	26
Reefton (Vic.)	0	10
Reefton (Vic.)	1	54
Research	0	70
Research	1	2507
Reservoir (Vic.)	0	3483
Reservoir (Vic.)	1	46608
Rheola	0	11
Rheola	1	50
Rhyll	0	27
Rhyll	1	512
Rhymney	0	10
Rhymney	1	46
Riachella	1	3
Rich Avon	1	3
Rich Avon East	1	3
Rich Avon West	0	3
Rich Avon West	1	27
Richmond (Vic.)	0	2950
Richmond (Vic.)	1	24927
Richmond Plains	1	3
Riddells Creek	0	106
Riddells Creek	1	3707
Riggs Creek	1	30
Ringwood (Vic.)	0	1051
Ringwood (Vic.)	1	16194
Ringwood East	0	699
Ringwood East	1	9646
Ringwood North	0	371
Ringwood North	1	9197
Ripplebrook	0	17
Ripplebrook	1	197
Rippleside	0	39
Rippleside	1	813
Ripponlea	0	146
Ripponlea	1	1380
Riverside (Vic.)	0	11
Riverside (Vic.)	1	272
Riverslea	0	3
Riverslea	1	129
Robertsons Beach	0	3
Robertsons Beach	1	46
Robinvale	0	483
Robinvale	1	2621
Rochester (Vic.)	0	189
Rochester (Vic.)	1	2788
Rochford	0	18
Rochford	1	55
Rockbank	0	255
Rockbank	1	1309
Rocklands	0	10
Rocklands	1	3
Rocklyn	0	20
Rocklyn	1	42
Rokeby (Vic.)	0	5
Rokeby (Vic.)	1	166
Rokewood	0	12
Rokewood	1	196
Rokewood Junction	0	3
Rokewood Junction	1	30
Romsey	0	219
Romsey	1	4403
Rosanna	0	513
Rosanna	1	7807
Rose River	1	25
Rosebery (Vic.)	1	3
Rosebrook (Vic.)	0	5
Rosebrook (Vic.)	1	114
Rosebud	0	841
Rosebud	1	12030
Rosebud West	0	754
Rosebud West	1	4148
Rosedale (Vic.)	0	126
Rosedale (Vic.)	1	1495
Roses Gap	0	3
Roses Gap	1	3
Rosewhite	0	12
Rosewhite	1	124
Roslynmead	1	46
Ross Creek (Vic.)	0	29
Ross Creek (Vic.)	1	1098
Rossbridge	0	6
Rossbridge	1	20
Rostron	1	14
Rowsley	0	10
Rowsley	1	180
Rowville	0	678
Rowville	1	32477
Roxburgh Park	0	980
Roxburgh Park	1	20762
Rubicon	0	12
Rubicon	1	44
Ruby	0	11
Ruby	1	165
Ruffy	0	10
Ruffy	1	104
Running Creek (Vic.)	0	3
Running Creek (Vic.)	1	31
Runnymede (Vic.)	0	3
Runnymede (Vic.)	1	52
Rupanyup	0	33
Rupanyup	1	477
Rushworth	0	123
Rushworth	1	1194
Russells Bridge	1	66
Rutherglen	0	211
Rutherglen	1	2116
Ryanston	0	12
Ryanston	1	251
Rye	0	620
Rye	1	7506
Rythdale	0	22
Rythdale	1	21
Safety Beach (Vic.)	0	378
Safety Beach (Vic.)	1	4208
Sailors Falls	0	10
Sailors Falls	1	56
Sailors Gully	0	41
Sailors Gully	1	659
Sailors Hill	0	3
Sailors Hill	1	75
Sale	0	1337
Sale	1	12122
Salisbury West	1	21
Samaria	0	3
Samaria	1	43
San Remo (Vic.)	0	255
San Remo (Vic.)	1	1031
Sandford (Vic.)	0	11
Sandford (Vic.)	1	128
Sandhill Lake	1	10
Sandhurst	0	144
Sandhurst	1	4694
Sandon (Vic.)	0	10
Sandon (Vic.)	1	76
Sandringham (Vic.)	0	910
Sandringham (Vic.)	1	9097
Sandy Creek (Vic.)	0	4
Sandy Creek (Vic.)	1	164
Sandy Point (Vic.)	0	37
Sandy Point (Vic.)	1	207
Sarsfield	0	45
Sarsfield	1	559
Sassafras (Vic.)	0	54
Sassafras (Vic.)	1	951
Sawmill Settlement	0	56
Sawmill Settlement	1	82
Scarsdale	0	32
Scarsdale	1	688
Scoresby	0	182
Scoresby	1	5774
Scotchmans Lead	0	6
Scotchmans Lead	1	77
Scotsburn	0	57
Scotsburn	1	216
Scotts Creek (Vic.)	0	19
Scotts Creek (Vic.)	1	214
Sea Lake	0	87
Sea Lake	1	539
Seabrook	0	241
Seabrook	1	4833
Seacombe	0	5
Seacombe	1	17
Seaford (Vic.)	0	1058
Seaford (Vic.)	1	15086
Seaholme	0	94
Seaholme	1	1793
Seaspray	0	43
Seaspray	1	272
Seaton (Vic.)	0	8
Seaton (Vic.)	1	146
Seaview	0	3
Seaview	1	113
Sebastian	0	14
Sebastian	1	200
Sebastopol (Vic.)	0	739
Sebastopol (Vic.)	1	9153
Seddon (Vic.)	0	257
Seddon (Vic.)	1	4787
Sedgwick	0	43
Sedgwick	1	489
Selby	0	116
Selby	1	1494
Separation Creek	0	4
Separation Creek	1	16
Serpentine (Vic.)	0	22
Serpentine (Vic.)	1	165
Serviceton	0	4
Serviceton	1	105
Seville	0	45
Seville	1	2276
Seville East	0	20
Seville East	1	769
Seymour (Vic.)	0	741
Seymour (Vic.)	1	5498
Shady Creek	0	6
Shady Creek	1	167
Shays Flat	1	8
She Oaks	0	3
She Oaks	1	104
Sheans Creek	1	28
Sheep Hills	0	7
Sheep Hills	1	23
Shelbourne	0	30
Shelbourne	1	408
Shelford	0	6
Shelford	1	242
Shelley (Vic.)	1	3
Shepherds Flat	0	3
Shepherds Flat	1	68
Shepparton	0	3396
Shepparton	1	27752
Shepparton East	0	77
Shepparton East	1	1025
Shepparton North	0	87
Shepparton North	1	932
Sherbrooke	0	6
Sherbrooke	1	252
Shoreham	0	127
Shoreham	1	448
Sidonia	1	13
Silvan	0	52
Silvan	1	1131
Silverleaves	0	25
Silverleaves	1	176
Simpson (Vic.)	0	35
Simpson (Vic.)	1	512
Simpsons Creek	1	38
Simson	0	3
Simson	1	59
Skenes Creek	0	46
Skenes Creek	1	123
Skenes Creek North	0	3
Skenes Creek North	1	6
Skibo	1	61
Skinners Flat	1	20
Skipton	0	64
Skipton	1	503
Skye (Vic.)	0	243
Skye (Vic.)	1	7730
Slaty Creek	1	35
Smeaton	0	29
Smeaton	1	202
Smiths Beach	0	38
Smiths Beach	1	181
Smiths Gully	0	28
Smiths Gully	1	336
Smokeytown	1	29
Smoko	0	9
Smoko	1	41
Smythes Creek	0	50
Smythes Creek	1	1370
Smythesdale	0	36
Smythesdale	1	974
Snake Valley	0	69
Snake Valley	1	649
Soldiers Hill (Vic.)	0	154
Soldiers Hill (Vic.)	1	2597
Somers	0	126
Somers	1	1444
Somerville (Vic.)	0	561
Somerville (Vic.)	1	10498
Sorrento (Vic.)	0	267
Sorrento (Vic.)	1	1258
South Dudley	0	23
South Dudley	1	429
South Geelong	0	47
South Geelong	1	917
South Kingsville	0	64
South Kingsville	1	1870
South Melbourne	0	1233
South Melbourne	1	9521
South Morang	0	1029
South Morang	1	22848
South Purrumbete	1	108
South Wharf	0	537
South Wharf	1	29
South Yarra	0	3348
South Yarra	1	21889
Southbank	0	6543
Southbank	1	15849
Southern Cross (Vic.)	0	3
Southern Cross (Vic.)	1	121
Spargo Creek	0	4
Spargo Creek	1	23
Speed	0	9
Speed	1	76
Spotswood	0	139
Spotswood	1	2443
Spring Gully (Vic.)	0	139
Spring Gully (Vic.)	1	2751
Spring Hill (Vic.)	0	25
Spring Hill (Vic.)	1	167
Springbank	0	14
Springbank	1	96
Springdallah	1	28
Springfield (Buloke - Vic.)	1	7
Springfield (Macedon Ranges - Vic.)	0	51
Springfield (Macedon Ranges - Vic.)	1	162
Springhurst	0	15
Springhurst	1	324
Springmount	0	12
Springmount	1	162
Springvale (Vic.)	0	1180
Springvale (Vic.)	1	20389
Springvale South	0	468
Springvale South	1	12190
St Albans (Vic.)	0	2933
St Albans (Vic.)	1	34699
St Albans Park	0	306
St Albans Park	1	4464
St Andrews (Vic.)	0	97
St Andrews (Vic.)	1	1097
St Andrews Beach	0	42
St Andrews Beach	1	800
St Arnaud	0	148
St Arnaud	1	2008
St Arnaud East	1	84
St Arnaud North	0	3
St Arnaud North	1	41
St Clair (Vic.)	0	3
St Clair (Vic.)	1	45
St Germains	0	3
St Germains	1	76
St Helena	0	118
St Helena	1	2725
St Helens (Vic.)	0	5
St Helens (Vic.)	1	40
St Helens Plains	0	3
St Helens Plains	1	34
St James (Vic.)	0	8
St James (Vic.)	1	117
St Kilda (Vic.)	0	3934
St Kilda (Vic.)	1	16481
St Kilda East	0	1224
St Kilda East	1	11757
St Kilda West	0	371
St Kilda West	1	2715
St Leonards (Vic.)	0	197
St Leonards (Vic.)	1	2208
Staceys Bridge	1	32
Staffordshire Reef	0	4
Staffordshire Reef	1	41
Staghorn Flat	0	11
Staghorn Flat	1	263
Stanhope (Vic.)	0	86
Stanhope (Vic.)	1	724
Stanley (Vic.)	0	48
Stanley (Vic.)	1	290
Staughton Vale	0	3
Staughton Vale	1	94
Stavely	1	33
Stawell	0	518
Stawell	1	5367
Steels Creek	0	17
Steels Creek	1	220
Steiglitz (Vic.)	0	7
Steiglitz (Vic.)	1	48
Stewarton (Vic.)	0	15
Stewarton (Vic.)	1	89
Stockdale	0	14
Stockdale	1	43
Stockyard Hill	1	49
Stonehaven	0	12
Stonehaven	1	66
Stoneleigh (Vic.)	1	38
Stony Creek (Central Goldfields - Vic.)	1	6
Stony Creek (South Gippsland - Vic.)	0	17
Stony Creek (South Gippsland - Vic.)	1	263
Stonyford	0	3
Stonyford	1	44
Stradbroke	0	13
Stradbroke	1	159
Strangways	0	13
Strangways	1	64
Straten	1	4
Stratford (Vic.)	0	132
Stratford (Vic.)	1	2379
Strath Creek	0	31
Strath Creek	1	140
Strathallan	0	10
Strathallan	1	129
Strathbogie	0	21
Strathbogie	1	263
Strathdale	0	294
Strathdale	1	5262
Strathdownie	0	24
Strathdownie	1	154
Strathewen	0	13
Strathewen	1	158
Strathfieldsaye	0	140
Strathfieldsaye	1	5138
Strathkellar	0	3
Strathkellar	1	88
Strathlea	0	3
Strathlea	1	16
Strathmerton	0	75
Strathmerton	1	974
Strathmore (Vic.)	0	271
Strathmore (Vic.)	1	7957
Strathmore Heights	0	36
Strathmore Heights	1	955
Streatham	0	7
Streatham	1	140
Strzelecki (Vic.)	0	16
Strzelecki (Vic.)	1	83
Stuart Mill	0	6
Stuart Mill	1	76
Sugarloaf (Vic.)	0	7
Sugarloaf (Vic.)	1	7
Sugarloaf Creek	0	14
Sugarloaf Creek	1	205
Sulky	1	220
Sunbury	0	1595
Sunbury	1	33855
Sunday Creek	0	22
Sunday Creek	1	289
Sunderland Bay	0	10
Sunderland Bay	1	220
Sunset Strip (Vic.)	0	45
Sunset Strip (Vic.)	1	370
Sunshine (Vic.)	0	719
Sunshine (Vic.)	1	8837
Sunshine North	0	652
Sunshine North	1	10999
Sunshine West	0	922
Sunshine West	1	17650
Surf Beach (Vic.)	0	52
Surf Beach (Vic.)	1	454
Surrey Hills	0	591
Surrey Hills	1	12669
Sutherland (Vic.)	1	15
Sutherlands Creek	0	17
Sutherlands Creek	1	97
Sutton Grange	0	6
Sutton Grange	1	119
Swan Bay (Vic.)	1	54
Swan Hill	0	1389
Swan Hill	1	9488
Swan Hill West	1	4
Swan Marsh	0	9
Swan Marsh	1	111
Swan Reach (Vic.)	0	54
Swan Reach (Vic.)	1	655
Swanpool	0	15
Swanpool	1	187
Swanwater	1	18
Swanwater West	1	13
Swifts Creek	0	31
Swifts Creek	1	241
Sydenham (Vic.)	0	826
Sydenham (Vic.)	1	9902
Sylvaterre	1	17
Tabilk	0	23
Tabilk	1	104
Tabor	1	39
Taggerty	0	21
Taggerty	1	296
Tahara	1	36
Tahara Bridge	1	20
Tahara West	1	20
Talbot (Vic.)	0	28
Talbot (Vic.)	1	394
Talgarno	0	8
Talgarno	1	197
Tallandoon	0	9
Tallandoon	1	72
Tallangatta	0	106
Tallangatta	1	937
Tallangatta East	1	51
Tallangatta South	1	137
Tallangatta Valley	0	22
Tallangatta Valley	1	173
Tallarook	0	62
Tallarook	1	649
Tallygaroopna	0	37
Tallygaroopna	1	524
Tambo Crossing	1	17
Tambo Upper	0	15
Tambo Upper	1	299
Tamboon	0	13
Tamboon	1	3
Taminick	0	6
Taminick	1	87
Tamleugh	1	43
Tamleugh North	1	34
Tandarook	1	19
Tandarra	1	52
Tangambalanga	0	22
Tangambalanga	1	516
Tanjil Bren	0	8
Tanjil Bren	1	6
Tanjil South	0	17
Tanjil South	1	496
Tanwood	0	5
Tanwood	1	23
Tanybryn	0	3
Tanybryn	1	10
Taradale (Vic.)	0	39
Taradale (Vic.)	1	395
Tarcombe	0	12
Tarcombe	1	27
Tarilta	1	21
Tarnagulla	0	17
Tarnagulla	1	119
Tarneit	0	1415
Tarneit	1	32951
Tarnook	0	9
Tarnook	1	86
Taroon	0	7
Taroon	1	14
Tarra Valley	0	18
Tarra Valley	1	71
Tarranyurk	1	23
Tarraville	0	6
Tarraville	1	72
Tarrawarra	0	26
Tarrawarra	1	51
Tarrawingee	0	31
Tarrawingee	1	328
Tarrayoukyan	1	23
Tarrengower	1	66
Tarrenlea	0	4
Tarrenlea	1	32
Tarrington	0	3
Tarrington	1	285
Tarrone	1	67
Tarwin	1	54
Tarwin Lower	0	21
Tarwin Lower	1	317
Tatong	0	24
Tatong	1	257
Tatura	0	354
Tatura	1	4122
Tatura East	0	17
Tatura East	1	132
Tatyoon	0	10
Tatyoon	1	116
Tawonga	0	26
Tawonga	1	513
Tawonga South	0	184
Tawonga South	1	754
Taylor Bay	0	13
Taylor Bay	1	24
Taylors Hill	0	338
Taylors Hill	1	14429
Taylors Lakes	0	473
Taylors Lakes	1	14955
Teal Point	0	3
Teal Point	1	59
Tecoma	0	72
Tecoma	1	1972
Teddywaddy	1	17
Teddywaddy West	0	3
Teddywaddy West	1	17
Teesdale (Vic.)	0	60
Teesdale (Vic.)	1	1631
Telangatuk East	1	66
Telford	1	29
Telopea Downs	0	10
Telopea Downs	1	41
Templestowe	0	910
Templestowe	1	15393
Templestowe Lower	0	632
Templestowe Lower	1	12598
Tempy	1	45
Tenby Point	0	10
Tenby Point	1	165
Tennyson (Vic.)	1	51
Terang	0	247
Terang	1	1942
Terip Terip	1	52
Terrappee	1	22
Terrick Terrick	0	7
Terrick Terrick	1	3
Terrick Terrick East	1	6
Tesbury	0	3
Tesbury	1	108
Tetoora Road	0	11
Tetoora Road	1	60
Thalia	1	10
The Basin (Vic.)	0	251
The Basin (Vic.)	1	4059
The Cove	1	10
The Gurdies	0	10
The Gurdies	1	174
The Heart	0	3
The Heart	1	26
The Honeysuckles	0	11
The Honeysuckles	1	80
The Patch	0	59
The Patch	1	961
The Sisters	0	6
The Sisters	1	139
Thologolong	1	8
Thomastown	0	794
Thomastown	1	19652
Thomson (Greater Geelong - Vic.)	0	177
Thomson (Greater Geelong - Vic.)	1	1416
Thoona	0	15
Thoona	1	117
Thornbury	0	1229
Thornbury	1	17068
Thornton (Vic.)	0	15
Thornton (Vic.)	1	259
Thorpdale	0	6
Thorpdale	1	452
Thorpdale South	0	10
Thorpdale South	1	24
Thowgla Valley	1	78
Three Bridges	0	10
Three Bridges	1	185
Timboon	0	52
Timboon	1	1107
Timboon West	0	3
Timboon West	1	45
Timmering	0	10
Timmering	1	85
Timor (Vic.)	0	3
Timor (Vic.)	1	52
Timor West	1	24
Tinamba	0	28
Tinamba	1	246
Tinamba West	0	3
Tinamba West	1	43
Tintaldra	0	4
Tintaldra	1	55
Tittybong	1	3
Tol Tol	0	35
Tol Tol	1	111
Tolmie	0	70
Tolmie	1	363
Tongala	0	148
Tongala	1	1742
Tonghi Creek	1	11
Tongio	0	4
Tongio	1	54
Tonimbuk	0	15
Tonimbuk	1	198
Tooan	1	17
Tooborac	0	27
Tooborac	1	256
Toolamba	0	30
Toolamba	1	710
Toolamba West	0	12
Toolamba West	1	102
Toolangi	0	51
Toolangi	1	287
Toolern Vale	0	34
Toolern Vale	1	679
Toolleen	0	10
Toolleen	1	164
Toolondo	1	63
Toolong	0	7
Toolong	1	82
Toongabbie (Vic.)	0	34
Toongabbie (Vic.)	1	941
Toora (Vic.)	0	29
Toora (Vic.)	1	629
Toora North	0	3
Toora North	1	101
Tooradin	0	133
Tooradin	1	1391
Toorak	0	945
Toorak	1	11609
Toorloo Arm	0	20
Toorloo Arm	1	326
Tootgarook	0	237
Tootgarook	1	2579
Torquay (Vic.)	0	797
Torquay (Vic.)	1	12062
Torrita	1	27
Torrumbarry	0	34
Torrumbarry	1	234
Torwood	0	5
Torwood	1	43
Tostaree	0	5
Tostaree	1	18
Tottington	1	6
Tourello	1	42
Towan	1	11
Towaninny	1	11
Tower Hill	0	20
Tower Hill	1	66
Towong	0	8
Towong	1	118
Towong Upper	0	6
Towong Upper	1	34
Trafalgar (Vic.)	0	276
Trafalgar (Vic.)	1	3495
Trafalgar East	0	44
Trafalgar East	1	378
Trafalgar South	0	13
Trafalgar South	1	254
Tragowel	0	12
Tragowel	1	90
Traralgon	0	2450
Traralgon	1	22156
Traralgon East	0	28
Traralgon East	1	1608
Traralgon South	0	26
Traralgon South	1	506
Travancore	0	242
Travancore	1	2216
Trawalla	0	4
Trawalla	1	126
Trawool	0	27
Trawool	1	91
Traynors Lagoon	0	4
Traynors Lagoon	1	24
Tremont	0	16
Tremont	1	54
Trentham	0	133
Trentham	1	973
Trentham East	0	14
Trentham East	1	142
Tresco	0	16
Tresco	1	179
Tresco West	0	9
Tresco West	1	138
Trida	0	15
Trida	1	49
Truganina	0	1945
Truganina	1	18703
Tubbut	0	3
Tubbut	1	4
Tuerong	0	16
Tuerong	1	306
Tulkara	0	3
Tullamarine	0	632
Tullamarine	1	6147
Tungamah	0	26
Tungamah	1	351
Turriff	1	29
Turriff East	1	3
Turtons Creek	0	9
Turtons Creek	1	19
Tutye	0	3
Tutye	1	17
Tyaak	0	3
Tyaak	1	68
Tyabb	0	110
Tyabb	1	3157
Tyenna (Vic.)	1	3
Tyers	0	33
Tyers	1	749
Tylden	0	34
Tylden	1	483
Tynong	0	31
Tynong	1	422
Tynong North	0	44
Tynong North	1	374
Tyntynder	0	13
Tyntynder	1	133
Tyntynder South	0	100
Tyntynder South	1	193
Tyrendarra	0	26
Tyrendarra	1	179
Tyrendarra East	1	27
Tyrrell	1	12
Tyrrell Downs	1	11
Ullina	0	3
Ullina	1	29
Ullswater	1	36
Ultima	0	20
Ultima	1	152
Ultima East	1	3
Ulupna	0	10
Ulupna	1	7
Undera	0	41
Undera	1	402
Underbool	0	14
Underbool	1	210
Upotipotpon	0	3
Upotipotpon	1	51
Upper Ferntree Gully	0	392
Upper Ferntree Gully	1	3087
Upper Gundowring	1	94
Upper Lurg	0	15
Upper Lurg	1	96
Upper Plenty	0	22
Upper Plenty	1	300
Upper Ryans Creek	1	36
Upton Hill	0	3
Upton Hill	1	15
Upwey	0	190
Upwey	1	6307
Valencia Creek	0	10
Valencia Creek	1	141
Vasey	1	52
Vaughan	0	11
Vaughan	1	51
Vectis	0	8
Vectis	1	158
Ventnor (Vic.)	0	71
Ventnor (Vic.)	1	731
Venus Bay (Vic.)	0	403
Venus Bay (Vic.)	1	597
Vermont	0	291
Vermont	1	9950
Vermont South	0	418
Vermont South	1	11083
Vervale	0	4
Vervale	1	33
Vesper	0	3
Vesper	1	45
Victoria Point (Vic.)	1	17
Victoria Valley (Vic.)	0	3
Victoria Valley (Vic.)	1	74
Viewbank	0	105
Viewbank	1	6664
Vinifera	0	14
Vinifera	1	140
Violet Town	0	98
Violet Town	1	728
Vite Vite	0	7
Vite Vite	1	36
Vite Vite North	0	5
Vite Vite North	1	21
W Tree	0	10
W Tree	1	29
Waaia	0	11
Waaia	1	383
Waanyarra	0	4
Waanyarra	1	25
Waarre	0	7
Waarre	1	9
Waggarandall	1	37
Wahgunyah	0	22
Wahgunyah	1	1034
Wahring	0	9
Wahring	1	67
Wail	1	37
Wairewa	1	78
Waitchie	0	9
Waitchie	1	36
Wal Wal	0	3
Wal Wal	1	28
Waldara	0	11
Waldara	1	574
Walhalla	0	16
Walhalla	1	16
Walkerville (Vic.)	0	16
Walkerville (Vic.)	1	68
Walkerville North	1	5
Walkerville South	0	8
Wallace	0	10
Wallace	1	183
