SSC_NAME16	PrivateDwelling	persons
Batar Creek	1	65
Bateau Bay	0	798
Bateau Bay	1	11108
Batehaven	0	275
Batehaven	1	1529
Batemans Bay	0	401
Batemans Bay	1	1275
Bathampton	1	32
Bathurst	0	984
Bathurst	1	5964
Batlow	0	113
Batlow	1	1151
Baulkham Hills	0	1067
Baulkham Hills	1	35717
Baw Baw (NSW)	0	26
Baw Baw (NSW)	1	221
Bawley Point	0	64
Bawley Point	1	613
Bayview (NSW)	0	248
Bayview (NSW)	1	3247
Beacon Hill	0	204
Beacon Hill	1	7106
Beaconsfield (NSW)	0	53
Beaconsfield (NSW)	1	906
Bean Creek	0	17
Bean Creek	1	61
Bearbong	0	6
Bearbong	1	52
Beaumont (NSW)	0	31
Beaumont (NSW)	1	98
Beaumont Hills	0	183
Beaumont Hills	1	8754
Beckom	0	15
Beckom	1	108
Bective	0	27
Bective	1	179
Bectric	0	9
Bectric	1	48
Bedgerabong	0	18
Bedgerabong	1	136
Beechwood	0	21
Beechwood	1	577
Beecroft	0	366
Beecroft	1	8930
Beelbangera	0	26
Beelbangera	1	369
Beemunnel	1	17
Bega	0	485
Bega	1	4200
Beggan Beggan	0	11
Beggan Beggan	1	91
Belanglo	0	8
Belanglo	1	15
Belbora	0	19
Belbora	1	97
Belfield	0	202
Belfield	1	6096
Belford	0	20
Belford	1	147
Belfrayden	1	24
Belgravia	1	111
Belimbla Park	0	21
Belimbla Park	1	542
Bell (NSW)	0	3
Bell (NSW)	1	44
Bella Vista	0	527
Bella Vista	1	7528
Bellambi	0	169
Bellambi	1	3767
Bellangry	0	4
Bellangry	1	91
Bellata	0	21
Bellata	1	309
Bellawongarah	0	23
Bellawongarah	1	102
Bellbird	0	111
Bellbird	1	1891
Bellbird Heights	0	27
Bellbird Heights	1	742
Bellbrook	0	21
Bellbrook	1	257
Bellevue Hill	0	1059
Bellevue Hill	1	9544
Bellimbopinni	0	22
Bellimbopinni	1	102
Bellingen	0	329
Bellingen	1	3477
Bellmount Forest	1	118
Belltrees	0	7
Belltrees	1	23
Belmont (NSW)	0	405
Belmont (NSW)	1	6672
Belmont North	0	226
Belmont North	1	5944
Belmont South	0	95
Belmont South	1	994
Belmore	0	741
Belmore	1	11855
Belmore River	0	8
Belmore River	1	258
Beloka	1	20
Belowra	1	10
Belrose	0	614
Belrose	1	8102
Bemboka	0	41
Bemboka	1	527
Ben Bullen	0	27
Ben Bullen	1	74
Ben Lomond (NSW)	0	11
Ben Lomond (NSW)	1	138
Benandarah	0	60
Benandarah	1	126
Bendalong	0	16
Bendalong	1	65
Bendemeer	0	47
Bendemeer	1	433
Bendick Murrell	0	26
Bendick Murrell	1	135
Bendolba	0	13
Bendolba	1	195
Bendoura	0	6
Bendoura	1	59
Benerembah	0	19
Benerembah	1	101
Bengalla	0	4
Bengalla	1	14
Bennetts Green	1	13
Benolong	1	42
Bensville	0	35
Bensville	1	2437
Bentley (NSW)	0	21
Bentley (NSW)	1	174
Berala	0	217
Berala	1	8752
Berambing	0	14
Berambing	1	90
Beresfield	0	104
Beresfield	1	3000
Bergalia	0	5
Bergalia	1	148
Berkeley	0	378
Berkeley	1	7184
Berkeley Vale	0	379
Berkeley Vale	1	7818
Berkshire Park	0	1062
Berkshire Park	1	1059
Bermagui	0	170
Bermagui	1	1368
Berowra	0	72
Berowra	1	4510
Berowra Creek	1	10
Berowra Heights	0	70
Berowra Heights	1	5088
Berowra Waters	0	72
Berowra Waters	1	53
Berrambool	0	18
Berrambool	1	417
Berrara	0	17
Berrara	1	261
Berremangra	0	5
Berremangra	1	70
Berrico	0	12
Berrico	1	25
Berridale	0	248
Berridale	1	1092
Berrigal	0	11
Berrigal	1	27
Berrigan	0	188
Berrigan	1	1041
Berrilee	0	6
Berrilee	1	211
Berrima	0	115
Berrima	1	578
Berringer Lake	0	7
Berringer Lake	1	20
Berry	0	316
Berry	1	2331
Berry Jerry	0	15
Berry Jerry	1	64
Berry Mountain	0	7
Berry Mountain	1	22
Berry Park	0	14
Berry Park	1	104
Berthong	0	6
Berthong	1	36
Beryl	0	20
Beryl	1	114
Bethungra	0	6
Bethungra	1	150
Bevendale	1	38
Beverley Park	0	187
Beverley Park	1	2246
Beverly Hills	0	325
Beverly Hills	1	9760
Bewong	0	10
Bewong	1	63
Bexhill	0	17
Bexhill	1	464
Bexley	0	2008
Bexley	1	17656
Bexley North	0	182
Bexley North	1	3895
